,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,5.857B,,,-1.652B,-1.682B,2.557B,446.00M,3.003B,3.003B,,,461.00M,,461.00M,358.00M,-117.00M,-90.00M,57.00M,,,2.043B,2.251B,9.89B,,-4.061B,-4.061B,,-863.00M,-2.278B,1.518B,-5.684B,,0.00,,0.00,,0.00,0.00,-1.353B,-1.353B,0.00,-344.00M,-1.697B,,3.356B,2.509B,,5.865B,,,0.00,0.00,0.00,450.00M,135.00M,,AOR,
2020-09,4.276B,,,-13.00M,-13.00M,2.677B,446.00M,3.123B,3.123B,,,452.00M,,452.00M,301.00M,-299.00M,70.00M,147.00M,,,122.00M,341.00M,8.179B,,-3.716B,-3.716B,,153.00M,2.451B,346.00M,-766.00M,,-1.75B,0.00,-1.75B,,-10.00B,-10.00B,-1.404B,-1.404B,385.00M,-24.00M,-12.79B,,8.736B,-5.38B,,3.356B,,,0.00,-1.75B,-10.00B,1.412B,207.00M,,AOR,
2020-06,5.105B,,,-226.00M,-226.00M,2.625B,438.00M,3.063B,3.063B,,,492.00M,,492.00M,1.02B,277.00M,-74.00M,-662.00M,,,2.162B,2.723B,11.16B,,-3.408B,-3.408B,,166.00M,-7.129B,-239.00M,-10.61B,,-1.70B,0.00,-1.70B,,0.00,0.00,-1.403B,-1.403B,9.00M,-97.00M,-3.191B,,11.38B,-2.644B,,8.736B,,,0.00,-1.70B,0.00,363.00M,185.00M,,AOR,
2020-03,5.661B,,,134.00M,134.00M,2.623B,427.00M,3.05B,3.05B,,,449.00M,,449.00M,-796.00M,-548.00M,-87.00M,870.00M,,,-2.575B,-3.136B,6.158B,,-3.268B,-3.268B,,20.00M,-125.00M,-363.00M,-3.736B,,9.172B,0.00,9.172B,,-4.229B,-4.229B,-1.408B,-1.408B,503.00M,726.00M,4.764B,,4.194B,7.186B,,11.38B,,,10.25B,-1.075B,-4.229B,211.00M,67.00M,,AOR,
2019-12,6.905B,,,-497.00M,-1.187B,2.557B,411.00M,2.968B,2.968B,,,415.00M,,415.00M,-779.00M,-105.00M,-108.00M,-32.00M,,,1.811B,787.00M,9.888B,,-4.666B,-4.666B,,-295.00M,-814.00M,1.29B,-4.485B,,1.593B,-835.00M,758.00M,,-3.476B,-3.476B,-1.362B,-1.362B,-47.00M,-1.017B,-5.144B,,3.935B,259.00M,,4.194B,,,2.742B,-1.149B,-3.476B,776.00M,157.00M,,AOR,Restated
2019-09,5.99B,,,-295.00M,-295.00M,2.268B,411.00M,2.679B,2.679B,,,431.00M,,431.00M,-646.00M,67.00M,-230.00M,297.00M,,,2.418B,1.906B,10.71B,,-4.672B,-4.672B,,83.00M,1.168B,-489.00M,-3.91B,,-396.00M,-161.00M,-557.00M,,-4.521B,-4.521B,-1.386B,-1.386B,492.00M,239.00M,-5.733B,,2.867B,1.068B,,3.935B,,,49.00M,-445.00M,-4.521B,222.00M,69.00M,,AOR,Restated
2019-06,4.179B,,,174.00M,174.00M,2.15B,404.00M,2.554B,2.554B,,,470.00M,,470.00M,725.00M,-931.00M,-216.00M,-205.00M,,,837.00M,210.00M,7.587B,,-3.554B,-3.554B,,254.00M,-141.00M,153.00M,-3.288B,,294.00M,-686.00M,-392.00M,,-3.049B,-3.049B,-1.414B,-1.414B,15.00M,254.00M,-4.586B,,3.154B,-287.00M,,2.867B,,,466.00M,-172.00M,-3.049B,987.00M,134.00M,,AOR,Restated
2019-03,3.974B,,,-274.00M,-274.00M,2.229B,396.00M,2.625B,2.625B,,,389.00M,,389.00M,-235.00M,-512.00M,-228.00M,636.00M,,,-1.416B,-1.755B,4.959B,,-3.321B,-3.321B,,1.077B,-239.00M,-239.00M,-2.722B,,-726.00M,1.682B,956.00M,,-2.53B,-2.53B,-1.414B,-1.414B,290.00M,596.00M,-2.102B,,3.019B,135.00M,,3.154B,,,135.00M,-861.00M,-2.53B,125.00M,109.00M,,AOR,Restated
2018-12,5.195B,,,484.00M,-13.00M,2.10B,393.00M,2.493B,2.493B,,,343.00M,,343.00M,-1.265B,148.00M,,-219.00M,,,-1.149B,-1.118B,6.90B,,-3.89B,-3.89B,,640.00M,1.262B,168.00M,-1.82B,,-1.098B,-1.707B,-2.805B,,-2.266B,-2.266B,-1.368B,-1.368B,10.00M,961.00M,-5.468B,,3.407B,-388.00M,,3.019B,,,0.00,-1.098B,-2.266B,959.00M,132.00M,,AOR,Restated
2018-09,6.398B,,,72.00M,72.00M,1.884B,390.00M,2.274B,2.274B,,,383.00M,,383.00M,-818.00M,-59.00M,,156.00M,,,429.00M,-292.00M,8.835B,,-3.851B,-3.851B,,1.431B,-666.00M,-349.00M,-3.435B,,-336.00M,-284.00M,-620.00M,,-2.657B,-2.657B,-1.373B,-1.373B,225.00M,-182.00M,-4.607B,,2.614B,793.00M,,3.407B,,,423.00M,-759.00M,-2.657B,658.00M,107.00M,,AOR,Restated
