,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2006-09,1.102B,1.102B,632.00M,470.00M,,29.00M,22.00M,,,-99.00M,,,,,,200.00M,270.00M,,,,-98.00M,,199.00M,106.00M,42.00M,156.00M,,-52.00M,,198.00M,101.40M,419.00M,149.00M,270.00M,0.09,0.35,,0.222,0.44,0.09,0.35,,0.2214,0.44,450.00M,452.00M,0.1
2006-06,1.293B,1.293B,674.00M,619.00M,,37.00M,24.00M,,,-29.00M,,,,,,207.00M,412.00M,,,,-29.00M,,337.00M,121.00M,128.00M,33.00M,,-128.00M,,161.00M,146.59M,558.00M,139.00M,412.00M,0.29,0.07,,0.3314,0.36,0.29,0.07,,0.3311,0.36,449.00M,452.00M,0.1
2006-03,1.132B,1.132B,592.00M,540.00M,,51.00M,21.00M,,,35.00M,,,,,,212.00M,328.00M,,,,35.00M,,343.00M,37.00M,207.00M,2.00M,,-99.00M,,209.00M,175.78M,470.00M,142.00M,328.00M,0.47,0.0,,0.4003,0.47,0.46,0.0,,0.3908,0.46,448.00M,451.00M,0.1
2005-12,1.142B,1.142B,419.00M,723.00M,,294.00M,5.00M,,,-232.00M,,,,,,406.00M,317.00M,,,,-231.00M,,325.00M,84.00M,-13.00M,75.00M,,-132.00M,,62.00M,159.04M,464.00M,147.00M,317.00M,0.16,-0.02,,0.5457,0.14,0.15,-0.02,,0.5332,0.14,446.00M,449.00M,0.1
2005-09,1.164B,1.164B,643.00M,521.00M,,32.00M,18.00M,,,46.00M,,,,,,210.00M,311.00M,,,,46.00M,,333.00M,94.00M,125.00M,1.00M,,-115.00M,,126.00M,91.98M,473.00M,162.00M,311.00M,0.28,0.0,,0.206,0.28,0.28,0.0,,0.2065,0.28,446.00M,449.00M,0.1
2005-06,997.00M,997.00M,588.00M,409.00M,,32.00M,12.00M,,,15.00M,,,,,,199.00M,210.00M,,,,14.00M,,207.00M,44.00M,88.00M,-38.00M,,-74.00M,,50.00M,76.19M,365.00M,143.00M,210.00M,0.2,-0.09,,0.1735,0.11,0.2,-0.09,,0.1737,0.11,446.00M,449.00M,0.1
2005-03,945.00M,945.00M,565.00M,380.00M,,31.00M,17.00M,,,43.00M,,,,,,209.00M,171.00M,,,,47.00M,,193.00M,53.00M,85.00M,-1.00M,,-59.00M,,84.00M,53.81M,332.00M,127.00M,171.00M,0.19,0.0,,0.1201,0.19,0.19,0.0,,0.1204,0.19,446.00M,448.00M,0.1
2004-12,1.094B,1.094B,545.00M,549.00M,,36.00M,21.00M,,,-88.00M,,,,,,205.00M,344.00M,,,,-87.00M,,324.00M,110.00M,110.00M,80.00M,0.00,-105.00M,,190.00M,168.12M,492.00M,144.00M,344.00M,0.25,0.18,0.0,0.3812,0.43,0.2466,0.18,0.0,0.3767,0.424,443.00M,447.00M,0.1
2004-09,1.144B,1.144B,597.00M,547.00M,,22.00M,25.00M,,,-7.00M,,,,,,209.00M,338.00M,,,,-7.00M,,314.00M,94.00M,130.00M,-1.00M,,-90.00M,,129.00M,134.90M,511.00M,173.00M,338.00M,0.29,0.0,,0.3011,0.29,0.29,-0.0022,,0.301,0.2886,443.00M,447.00M,0.075
2004-06,982.00M,982.00M,564.00M,418.00M,,47.00M,18.00M,,,-28.00M,,,,,,230.00M,188.00M,,,,-29.00M,,135.00M,32.00M,41.00M,-4.00M,,-61.00M,,37.00M,62.36M,360.00M,172.00M,188.00M,0.09,-0.01,,0.1362,0.08,0.09,-0.01,,0.1362,0.08,462.50M,462.50M,0.075
2004-03,1.122B,1.122B,596.00M,526.00M,,27.00M,16.00M,,,23.00M,,,,,,225.00M,301.00M,,,,25.00M,,298.00M,87.00M,134.00M,,-47.00M,-79.00M,,87.00M,117.71M,483.00M,167.00M,301.00M,0.3,-0.1,0.0,0.2632,0.2,0.2998,-0.1,-0.1061,0.2633,0.1946,443.00M,447.00M,0.05
2003-12,707.09M,707.09M,452.06M,255.03M,,43.34M,-47.74M,,,226.85M,,,,,,104.23M,150.80M,,,,151.06M,,341.35M,-20.58M,153.93M,,-0.467M,-42.28M,,153.46M,17.82M,287.14M,136.34M,150.80M,0.07,0.37,0.0,-0.2498,0.36,0.06,0.37,-0.0001,-0.2552,0.36,425.65M,431.83M,0.05
2003-09,881.16M,881.16M,461.35M,419.81M,,28.95M,30.65M,,,59.93M,,,,,,211.04M,208.77M,,,,75.77M,,195.41M,80.98M,114.43M,,,-57.12M,,114.43M,78.48M,360.21M,135.84M,208.77M,0.28,0.0,,0.1919,0.28,0.2771,0.0,,0.19,0.2771,408.38M,412.92M,0.04
2003-06,747.22M,747.22M,436.13M,311.10M,,31.29M,30.25M,,,216.36M,,,,,,200.88M,110.22M,,,,126.35M,,305.71M,89.04M,90.85M,,,-35.81M,,90.85M,-62.50M,249.56M,131.58M,110.22M,0.22,0.0,,-0.1583,0.22,0.22,0.0,,-0.1556,0.22,405.39M,408.24M,0.04
2003-03,733.99M,864.64M,406.68M,457.96M,,26.41M,21.47M,,,128.76M,,,,,,178.48M,279.49M,,,,125.57M,,255.33M,62.56M,151.79M,,-34.53M,-37.79M,,117.26M,54.58M,410.08M,124.23M,279.49M,0.29,0.0,0.0,0.0481,0.29,0.29,0.0,-0.0859,0.0495,0.29,401.89M,404.22M,0.04
2002-12,785.78M,692.04M,558.74M,133.30M,,36.29M,,,,-73.40M,,,,,,-0.466M,133.77M,,,,-56.42M,,88.84M,-24.28M,67.12M,,15.70M,-42.24M,0.262M,82.82M,111.16M,260.28M,126.51M,133.77M,0.06,0.1,0.0,0.1744,0.18,0.05,0.1,0.0427,0.1558,0.17,384.94M,416.37M,0.03
2002-09,712.17M,728.35M,432.47M,295.88M,,29.74M,25.36M,,,4.987M,,,,,33.08M,238.63M,57.25M,,,,22.46M,,35.19M,11.16M,24.03M,,,-28.34M,,24.03M,20.63M,225.29M,168.04M,57.25M,0.06,0.0,,0.0515,0.06,0.06,0.0,,0.0515,0.06,401.42M,402.96M,0.03
2002-06,636.98M,636.98M,393.54M,243.44M,,27.65M,18.79M,,,65.66M,,,,,-41.50M,141.48M,101.96M,,,,82.53M,,93.98M,27.88M,66.65M,,,-16.32M,1.869M,66.65M,20.47M,238.50M,135.76M,101.96M,0.16,0.0,,0.0438,0.16,0.16,0.0,,0.0444,0.16,397.53M,399.47M,0.03
2002-03,491.60M,495.82M,330.99M,164.83M,,21.32M,11.57M,,,-6.83M,,,,,,135.07M,29.76M,,,,-5.426M,,-4.165M,1.188M,-14.50M,,7.701M,-10.55M,1.869M,-6.798M,-10.40M,142.45M,112.69M,29.76M,-0.06,0.03,0.0,-0.0454,-0.03,-0.06,0.03,0.0274,-0.0454,-0.03,281.47M,281.47M,0.03
2001-12,450.31M,447.32M,331.50M,115.82M,,28.07M,,,,-111.23M,,,,,19.34M,83.03M,32.80M,,,,-109.45M,,-45.33M,-50.27M,4.944M,,,-22.09M,1.868M,4.944M,71.68M,129.91M,97.11M,32.80M,0.02,-0.01,,0.3732,0.01,0.02,-0.01,,0.3732,0.01,188.97M,188.97M,0.03
2001-09,424.40M,424.40M,284.88M,139.51M,,13.68M,12.84M,,,-2.348M,,,,,27.93M,126.55M,12.96M,,,,13.82M,,10.93M,-9.694M,20.63M,,,-19.14M,1.87M,20.63M,22.03M,88.84M,75.88M,12.96M,0.1,0.0,,0.1072,0.1,0.1,0.0,,0.1072,0.1,195.88M,196.07M,0.03
2001-06,362.36M,362.36M,260.40M,101.96M,,13.66M,15.30M,,,-12.98M,,,,,18.88M,120.02M,-18.07M,,,,-2.219M,,-32.30M,-0.703M,-31.60M,,,-10.27M,1.868M,-31.60M,-18.90M,63.13M,81.19M,-18.07M,-0.17,0.0,,-0.1051,-0.17,-0.17,0.0,,-0.1051,-0.17,195.64M,195.64M,0.03
2001-03,427.52M,427.52M,259.68M,167.84M,,14.48M,15.32M,,,-97.81M,,,,,,114.58M,53.26M,,,,-97.81M,,-34.70M,2.546M,-37.25M,,-0.061M,-14.82M,1.869M,-37.31M,21.44M,138.05M,84.79M,53.26M,-0.2,0.0,0.0,0.1047,-0.2,-0.2,0.0,-0.0003,0.1047,-0.2,192.61M,192.61M,0.03
2000-12,521.29M,521.29M,384.37M,136.91M,,48.61M,,,,-115.56M,,,,,13.52M,65.65M,71.27M,,,,-118.82M,,-26.14M,0.218M,-26.36M,,-0.428M,-26.27M,1.393M,-26.78M,42.98M,143.01M,71.74M,71.27M,-0.16,0.01,0.0,0.2153,-0.15,-0.16,0.01,-0.0029,0.2153,-0.15,184.74M,184.74M,0.03
2000-09,419.40M,419.40M,256.32M,163.08M,,18.59M,20.70M,,,-39.88M,,,,,42.90M,171.40M,-8.324M,,,,-39.21M,,-45.21M,-10.55M,-34.66M,,,-19.50M,1.87M,-34.66M,-4.090M,111.74M,120.06M,-8.324M,-0.19,0.0,,-0.0309,-0.19,-0.19,0.0,,-0.0309,-0.19,192.19M,192.19M,0.03
2000-06,411.23M,411.23M,240.93M,170.29M,,15.47M,21.05M,,,-16.04M,,,,,,119.90M,50.39M,,,,-23.33M,,-18.69M,5.272M,-23.96M,,,-22.40M,1.868M,-23.96M,-14.34M,153.32M,102.93M,50.39M,-0.13,0.0,,-0.0799,-0.13,-0.13,0.0,,-0.0799,-0.13,192.01M,192.01M,0.03
2000-03,457.53M,457.53M,232.12M,225.41M,,15.33M,17.14M,,,-8.83M,,,,,,147.73M,77.68M,,,,-8.83M,,19.04M,11.06M,7.977M,,-12.57M,-24.84M,1.869M,-4.595M,13.28M,192.95M,115.27M,77.68M,0.03,0.0,0.0,0.0576,0.03,0.03,0.0,-0.0655,0.0576,0.03,191.90M,191.90M,0.03
1999-12,656.22M,656.22M,474.49M,181.73M,,56.51M,,,,-53.90M,,,,,,180.14M,1.591M,,,,-145.53M,,-50.69M,21.88M,-72.56M,,,3.609M,,-72.56M,-40.22M,153.07M,151.48M,1.591M,-0.49,0.0,,-0.2753,-0.49,-0.49,0.0,,-0.2753,-0.49,150.63M,150.63M,0.03
1999-09,328.00M,328.00M,187.90M,140.10M,,12.60M,14.30M,,,-42.80M,,,,,,110.30M,29.80M,,,,-42.80M,,-46.80M,-7.80M,-39.00M,,,-19.20M,,-39.00M,-3.333M,113.20M,83.40M,29.80M,-0.23,0.0,,-0.0197,-0.23,-0.23,0.0,,-0.0197,-0.23,169.57M,169.57M,0.03
1999-06,315.80M,315.80M,195.10M,120.70M,,12.70M,14.40M,,,9.80M,,,,,,91.30M,29.40M,,,,9.80M,,9.20M,2.10M,7.10M,,,-13.00M,,7.10M,-0.4630M,93.60M,64.20M,29.40M,0.04,0.0,,-0.0026,0.04,0.04,0.0,,-0.0026,0.04,177.50M,177.50M,0.03
1999-03,327.14M,327.14M,193.70M,133.44M,,12.60M,11.50M,,,-1.80M,,,,,,85.60M,47.84M,,,,-1.80M,,15.50M,5.60M,9.90M,,,-12.20M,,9.90M,11.05M,109.34M,61.50M,47.84M,0.06,0.0,,0.067,0.06,0.06,0.0,,0.067,0.06,165.00M,165.00M,0.03
1998-12,352.00M,352.00M,270.00M,82.00M,,626.10M,,,,-0.10M,,,,,,655.60M,-573.60M,,,,-0.10M,,-617.10M,-193.20M,-423.90M,,,-23.00M,,-456.80M,-423.83M,-492.90M,80.70M,-573.60M,-2.67,-0.2,,-2.67,-2.87,-2.67,-0.2,,-2.67,-2.87,161.59M,161.59M,0.03
1998-09,349.90M,349.90M,195.40M,154.50M,,11.70M,18.50M,,,3.70M,,,,,,115.00M,39.50M,,,,3.70M,,4.30M,-2.60M,6.90M,,,-20.00M,,6.90M,4.68M,124.30M,84.80M,39.50M,0.04,0.0,,0.0271,0.04,0.03,0.0,,0.0171,0.03,172.50M,172.50M,0.03
1998-06,374.00M,374.00M,191.10M,182.90M,,12.30M,16.60M,,,2.30M,,,,,,120.20M,62.70M,,,,2.30M,,32.80M,7.10M,25.70M,,,-13.10M,,25.70M,23.90M,154.70M,92.00M,62.70M,0.16,0.0,,0.1488,0.16,0.16,0.0,,0.1488,0.16,160.62M,160.62M,0.03
