,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,622.00M,,24.00M,15.00M,139.00M,1.089B,1.089B,199.00M,43.00M,-386.00M,64.00M,101.00M,-434.00M,27.00M,-171.00M,-60.00M,-473.00M,1.391B,-2.087B,,,,-74.00M,-28.00M,-75.00M,-2.264B,753.00M,791.00M,1.544B,21.00M,,21.00M,0.00,,0.00,-599.00M,-599.00M,,-19.00M,947.00M,505.00M,74.00M,,579.00M,,21.00M,2.081B,-537.00M,,,
2017-12,703.00M,,-18.00M,-11.00M,-34.00M,1.056B,1.056B,417.00M,66.00M,-224.00M,-163.00M,20.00M,266.00M,-190.00M,50.00M,-321.00M,-338.00M,1.646B,-2.211B,,,,237.00M,-2.00M,-135.00M,-2.111B,918.00M,257.00M,1.175B,0.00,,0.00,,,,-625.00M,-625.00M,,-7.00M,543.00M,427.00M,78.00M,,505.00M,,0.00,1.253B,-78.00M,,,
2017-09,955.00M,,-36.00M,6.00M,-38.00M,1.037B,1.037B,347.00M,207.00M,-206.00M,-213.00M,95.00M,143.00M,-42.00M,-1.00M,-106.00M,-124.00M,2.178B,-1.91B,,,,-83.00M,2.00M,4.00M,-1.987B,1.95B,-1.60B,350.00M,0.00,,0.00,,,,-625.00M,-625.00M,,40.00M,-235.00M,471.00M,-44.00M,,427.00M,,0.00,2.228B,-1.878B,,,
2017-06,689.00M,,-36.00M,7.00M,-38.00M,962.00M,962.00M,327.00M,9.00M,-201.00M,-50.00M,-2.00M,27.00M,-146.00M,-53.00M,30.00M,-194.00M,1.554B,-1.771B,,,,-112.00M,8.00M,-108.00M,-1.983B,570.00M,-82.00M,488.00M,,,,,,,-600.00M,-600.00M,,-10.00M,-122.00M,1.022B,-551.00M,,471.00M,,,1.114B,-626.00M,,,
2017-03,717.00M,,-29.00M,6.00M,-34.00M,991.00M,991.00M,342.00M,0.00,-196.00M,343.00M,155.00M,-491.00M,-22.00M,-478.00M,-81.00M,-574.00M,1.246B,-2.16B,,,,-175.00M,19.00M,-45.00M,-2.361B,1.155B,1.063B,2.218B,,,,,,,-600.00M,-600.00M,0.00,-22.00M,1.596B,541.00M,481.00M,,1.022B,,,2.633B,-415.00M,,,
2016-12,-222.00M,,49.00M,9.00M,562.00M,1.033B,1.033B,252.00M,-67.00M,-380.00M,-96.00M,-183.00M,322.00M,-11.00M,339.00M,-297.00M,74.00M,1.252B,-2.649B,,,,-3.468B,24.00M,120.00M,-5.973B,-344.00M,-800.00M,-1.144B,,,,,,,-601.00M,-601.00M,-7.00M,6.00M,-1.015B,5.716B,-5.273B,,541.00M,463.00M,,1.248B,-2.392B,,,
2016-09,1.181B,,-11.00M,4.00M,-16.00M,979.00M,979.00M,363.00M,81.00M,-233.00M,-238.00M,277.00M,147.00M,-112.00M,124.00M,-167.00M,31.00M,2.386B,-1.859B,,,,-62.00M,33.00M,-59.00M,-1.947B,4.94B,694.00M,5.634B,,,,,,,-591.00M,-591.00M,0.00,21.00M,5.064B,281.00M,5.435B,,5.716B,-68.00M,,6.057B,-423.00M,,,
2016-06,512.00M,,-15.00M,4.00M,-20.00M,937.00M,937.00M,104.00M,195.00M,-196.00M,-177.00M,89.00M,233.00M,-64.00M,-200.00M,130.00M,11.00M,1.543B,-1.748B,,,,-77.00M,11.00M,-36.00M,-1.85B,1.968B,-1.183B,785.00M,,,,,,,-570.00M,-570.00M,0.00,-10.00M,205.00M,334.00M,-53.00M,,281.00M,49.00M,,2.874B,-2.089B,,,
2016-03,699.00M,,-8.00M,4.00M,-13.00M,931.00M,931.00M,181.00M,3.00M,-154.00M,139.00M,89.00M,-170.00M,13.00M,-81.00M,45.00M,35.00M,1.682B,-1.645B,,,,-59.00M,15.00M,-69.00M,-1.758B,751.00M,-158.00M,593.00M,,,,,,,-570.00M,-570.00M,7.00M,-33.00M,-3.00M,383.00M,-49.00M,,334.00M,30.00M,,1.14B,-547.00M,,,
2015-12,482.00M,,-16.00M,18.00M,-2.00M,933.00M,933.00M,140.00M,8.00M,-338.00M,316.00M,-224.00M,97.00M,54.00M,89.00M,-251.00M,81.00M,1.304B,-2.124B,,,,-225.00M,192.00M,171.00M,-1.986B,-590.00M,1.358B,768.00M,,0.00,17.00M,,,,-569.00M,-569.00M,-16.00M,-31.00M,169.00M,1.37B,586.00M,,383.00M,,,2.533B,-1.765B,0.00,,
2015-09,935.00M,,-17.00M,17.00M,-15.00M,896.00M,896.00M,405.00M,108.00M,-135.00M,-38.00M,-15.00M,176.00M,42.00M,224.00M,-66.00M,323.00M,2.517B,-1.58B,,,,-1.204B,-104.00M,-109.00M,-2.997B,1.188B,252.00M,1.44B,,0.00,0.00,,,,-570.00M,-570.00M,0.00,20.00M,890.00M,960.00M,410.00M,,1.37B,,,1.725B,-285.00M,0.00,,
2015-06,547.00M,,-23.00M,18.00M,-18.00M,901.00M,901.00M,331.00M,-6.00M,-139.00M,146.00M,-55.00M,-53.00M,-98.00M,-60.00M,-57.00M,-177.00M,1.439B,-1.651B,,,,2.832B,-105.00M,86.00M,1.162B,-766.00M,-1.636B,-2.402B,,-1.50B,-1.50B,,,,-551.00M,-551.00M,1.00M,-10.00M,-4.462B,2.821B,-1.861B,,960.00M,,,-1.538B,-864.00M,-1.50B,,
2015-03,867.00M,,-13.00M,18.00M,-11.00M,883.00M,883.00M,368.00M,43.00M,-200.00M,-41.00M,57.00M,-264.00M,-63.00M,-85.00M,-114.00M,-510.00M,1.44B,-1.411B,,,,-29.00M,20.00M,-36.00M,-1.456B,94.00M,1.271B,1.365B,,,,,,,-564.00M,-564.00M,15.00M,-15.00M,801.00M,2.036B,785.00M,,2.821B,,,2.411B,-1.046B,,,
2014-12,100.00M,,-33.00M,27.00M,-12.00M,866.00M,866.00M,587.00M,67.00M,-67.00M,82.00M,-252.00M,222.00M,-99.00M,-102.00M,27.00M,-122.00M,1.419B,-1.629B,,,,-31.00M,-23.00M,44.00M,-1.639B,163.00M,747.00M,910.00M,,0.00,25.00M,,,,-564.00M,-564.00M,-24.00M,-22.00M,325.00M,1.931B,-443.00M,,463.00M,,,2.008B,-1.098B,0.00,,
2014-09,1.269B,,-28.00M,27.00M,-26.00M,893.00M,893.00M,608.00M,-540.00M,-90.00M,94.00M,-139.00M,36.00M,136.00M,209.00M,98.00M,434.00M,2.548B,-1.355B,,,,53.00M,-26.00M,-39.00M,-1.367B,-617.00M,-83.00M,-700.00M,,0.00,0.00,,,,-563.00M,-563.00M,1.00M,4.00M,-1.258B,2.008B,-77.00M,,1.931B,,,46.00M,-746.00M,0.00,,
2014-06,613.00M,,-33.00M,27.00M,-8.00M,864.00M,864.00M,132.00M,6.00M,-33.00M,-147.00M,-150.00M,-30.00M,-154.00M,38.00M,115.00M,-328.00M,1.246B,-1.168B,,,,99.00M,-19.00M,7.00M,-1.081B,743.00M,126.00M,869.00M,,0.00,0.00,,,,-554.00M,-554.00M,4.00M,-7.00M,312.00M,1.531B,477.00M,,2.008B,,,1.339B,-470.00M,0.00,,
2014-03,-93.00M,,-36.00M,27.00M,-9.00M,884.00M,884.00M,-178.00M,1.382B,-28.00M,29.00M,272.00M,-272.00M,-297.00M,-346.00M,29.00M,-585.00M,1.373B,-1.232B,,,,4.00M,1.00M,-59.00M,-1.286B,-412.00M,898.00M,486.00M,,,,,,,-553.00M,-553.00M,19.00M,-9.00M,-57.00M,1.501B,30.00M,,1.531B,,,1.773B,-1.287B,,,
2013-12,692.00M,,-31.00M,48.00M,-70.00M,864.00M,864.00M,250.00M,12.00M,-271.00M,-127.00M,-150.00M,317.00M,13.00M,55.00M,-193.00M,-85.00M,1.392B,-1.672B,,,,218.00M,49.00M,-7.00M,-1.412B,353.00M,-444.00M,-91.00M,,,,,0.00,0.00,-552.00M,-552.00M,1.00M,-3.00M,-645.00M,2.166B,-665.00M,,1.501B,,,701.00M,-255.00M,0.00,,
2013-09,1.008B,,-33.00M,87.00M,54.00M,821.00M,821.00M,617.00M,2.00M,-32.00M,-10.00M,35.00M,46.00M,-5.00M,-35.00M,-354.00M,-323.00M,2.147B,-1.139B,,,,59.00M,144.00M,-68.00M,-1.004B,193.00M,-226.00M,-33.00M,,,,,0.00,0.00,-551.00M,-551.00M,1.00M,35.00M,-548.00M,1.571B,595.00M,,2.166B,,,1.161B,-968.00M,0.00,,
2013-06,342.00M,,-22.00M,85.00M,73.00M,782.00M,782.00M,44.00M,386.00M,-40.00M,-26.00M,-42.00M,64.00M,-5.00M,316.00M,-142.00M,165.00M,1.752B,-1.34B,,,,32.00M,-22.00M,233.00M,-1.097B,32.00M,136.00M,168.00M,,,,,0.00,0.00,-543.00M,-543.00M,2.00M,-7.00M,-380.00M,1.296B,275.00M,,1.571B,,,823.00M,-791.00M,0.00,,
2013-03,634.00M,,-36.00M,87.00M,49.00M,762.00M,762.00M,353.00M,0.00,-42.00M,-118.00M,126.00M,-277.00M,-38.00M,-312.00M,-46.00M,-665.00M,1.091B,-1.375B,,,,-32.00M,-79.00M,21.00M,-1.465B,262.00M,627.00M,889.00M,,,,,-96.00M,-96.00M,-542.00M,-542.00M,5.00M,-10.00M,246.00M,1.424B,-128.00M,,1.296B,,,1.009B,-747.00M,-96.00M,,
2012-12,437.00M,,-30.00M,87.00M,34.00M,787.00M,787.00M,147.00M,-2.00M,-305.00M,122.00M,-236.00M,218.00M,39.00M,167.00M,-143.00M,167.00M,1.265B,-1.656B,,,,-415.00M,31.00M,-168.00M,-2.208B,980.00M,180.00M,1.16B,,,,,0.00,0.00,-541.00M,-541.00M,7.00M,-20.00M,606.00M,1.761B,-337.00M,,1.424B,,,1.822B,-564.00M,0.00,,
2012-09,598.00M,,-33.00M,95.00M,48.00M,788.00M,788.00M,207.00M,180.00M,118.00M,-144.00M,143.00M,-60.00M,-4.00M,94.00M,9.00M,38.00M,1.977B,-1.593B,,,,71.00M,-125.00M,49.00M,-1.598B,849.00M,-533.00M,316.00M,,,,,0.00,0.00,-541.00M,-541.00M,2.00M,79.00M,-144.00M,1.526B,235.00M,,1.761B,,,1.905B,-1.056B,0.00,,
2012-06,448.00M,,-40.00M,29.00M,-15.00M,533.00M,533.00M,165.00M,1.00M,-57.00M,-111.00M,-3.00M,163.00M,-5.00M,24.00M,-13.00M,55.00M,1.13B,-1.264B,,,,6.00M,46.00M,1.00M,-1.211B,272.00M,603.00M,875.00M,,,,,0.00,0.00,-335.00M,-335.00M,6.00M,-10.00M,536.00M,1.071B,455.00M,,1.526B,,,329.00M,-57.00M,0.00,,
2012-03,299.00M,,-45.00M,28.00M,-20.00M,544.00M,544.00M,65.00M,407.00M,-160.00M,172.00M,-162.00M,-332.00M,110.00M,10.00M,-61.00M,-263.00M,872.00M,-988.00M,,,,-42.00M,-140.00M,-10.00M,-1.18B,-429.00M,28.00M,-401.00M,,,,,0.00,0.00,-335.00M,-335.00M,8.00M,-3.00M,-731.00M,2.11B,-1.039B,,1.071B,,,392.00M,-821.00M,0.00,,
2011-12,290.00M,,156.00M,104.00M,260.00M,518.00M,518.00M,76.00M,26.00M,-339.00M,-113.00M,-160.00M,493.00M,-63.00M,-82.00M,-261.00M,-186.00M,645.00M,-1.373B,-115.00M,-115.00M,,-1.00M,-49.00M,174.00M,-1.364B,1.456B,-329.00M,1.127B,-13.00M,,-13.00M,,,,,-335.00M,,-49.00M,797.00M,2.032B,78.00M,,2.11B,,-13.00M,1.555B,-636.00M,,,
2011-09,470.00M,,-113.00M,0.00,-105.00M,517.00M,517.00M,65.00M,300.00M,-47.00M,-51.00M,-2.00M,12.00M,120.00M,7.00M,24.00M,110.00M,1.31B,-1.052B,6.00M,6.00M,,-46.00M,-98.00M,-42.00M,-1.232B,419.00M,474.00M,893.00M,3.00M,,3.00M,,,,,-337.00M,,33.00M,592.00M,1.362B,670.00M,,2.032B,,3.00M,516.00M,377.00M,,,
2011-06,441.00M,,-111.00M,,-125.00M,487.00M,487.00M,286.00M,9.00M,-61.00M,-52.00M,-54.00M,-216.00M,32.00M,14.00M,-5.00M,-281.00M,756.00M,-932.00M,6.00M,6.00M,,-2.00M,4.00M,4.00M,-920.00M,435.00M,5.00M,440.00M,4.00M,,4.00M,,,,,-326.00M,,-11.00M,107.00M,1.419B,-57.00M,,1.362B,,4.00M,499.00M,-59.00M,,,
2011-03,513.00M,,-92.00M,,-105.00M,504.00M,504.00M,175.00M,0.00,-13.00M,218.00M,-31.00M,-221.00M,96.00M,-193.00M,18.00M,-113.00M,961.00M,-1.006B,103.00M,103.00M,,-2.00M,-38.00M,25.00M,-918.00M,-18.00M,58.00M,40.00M,6.00M,,6.00M,,,,,-331.00M,,-9.00M,-294.00M,1.67B,-251.00M,,1.419B,,6.00M,0.00,40.00M,,,
2010-12,429.00M,,143.00M,,-75.00M,513.00M,513.00M,214.00M,35.00M,-609.00M,-68.00M,-91.00M,373.00M,104.00M,137.00M,-112.00M,343.00M,850.00M,-1.311B,-8.00M,-8.00M,-9.00M,0.00,73.00M,368.00M,-898.00M,240.00M,-71.00M,169.00M,-215.00M,,-215.00M,,,,,-327.00M,,-19.00M,-90.00M,1.808B,-138.00M,,1.67B,,-215.00M,288.00M,-64.00M,,,
2010-09,666.00M,,-84.00M,,-107.00M,502.00M,502.00M,282.00M,45.00M,-86.00M,24.00M,72.00M,-9.00M,83.00M,27.00M,38.00M,235.00M,1.537B,-1.158B,3.00M,3.00M,1.00M,0.00,133.00M,2.00M,-1.017B,436.00M,32.00M,468.00M,103.00M,,103.00M,,,,,-322.00M,,29.00M,278.00M,1.01B,798.00M,,1.808B,,103.00M,1.087B,-619.00M,,,
2010-06,228.00M,,-91.00M,,-68.00M,473.00M,473.00M,83.00M,658.00M,-463.00M,-31.00M,37.00M,-1.00M,26.00M,58.00M,3.00M,92.00M,1.003B,-1.155B,2.00M,2.00M,1.00M,0.00,-102.00M,-27.00M,-1.272B,573.00M,-109.00M,464.00M,81.00M,,81.00M,,,,,-319.00M,,-27.00M,199.00M,1.08B,-70.00M,,1.01B,,81.00M,912.00M,-448.00M,,,
2010-03,,,-84.00M,,-17.00M,506.00M,506.00M,162.00M,,524.00M,94.00M,180.00M,-166.00M,14.00M,-179.00M,3.00M,-54.00M,1.121B,-1.179B,3.00M,3.00M,7.00M,0.00,-61.00M,-6.00M,-1.236B,-158.00M,93.00M,-65.00M,31.00M,,31.00M,,,,,-316.00M,,3.00M,-347.00M,1.542B,-462.00M,,1.08B,,31.00M,451.00M,-516.00M,,,
2009-12,348.00M,42.00M,-117.00M,-300.00M,-387.00M,451.00M,451.00M,282.00M,20.00M,-207.00M,-264.00M,-19.00M,184.00M,249.00M,140.00M,-305.00M,-15.00M,921.00M,-1.309B,,,-13.00M,0.00,49.00M,-35.00M,-1.271B,798.00M,-280.00M,518.00M,99.00M,,99.00M,,,,,-314.00M,,-17.00M,286.00M,1.606B,-64.00M,,1.542B,,99.00M,1.052B,-802.00M,,,
2009-09,106.00M,-42.00M,-17.00M,0.00,-72.00M,478.00M,478.00M,-57.00M,417.00M,417.00M,26.00M,-52.00M,39.00M,366.00M,60.00M,214.00M,653.00M,1.525B,-1.142B,-44.00M,-44.00M,-2.00M,-10.00M,-56.00M,148.00M,-1.088B,743.00M,-120.00M,623.00M,134.00M,,134.00M,,,,,-312.00M,,18.00M,463.00M,706.00M,900.00M,,1.606B,,134.00M,1.293B,-402.00M,,,
2009-06,282.00M,,-83.00M,0.00,-91.00M,454.00M,454.00M,551.00M,12.00M,-51.00M,-22.00M,-117.00M,19.00M,-362.00M,46.00M,118.00M,-318.00M,827.00M,-1.068B,44.00M,44.00M,-1.00M,-114.00M,-49.00M,-64.00M,-1.239B,22.00M,115.00M,137.00M,115.00M,,115.00M,,,,,-300.00M,,-35.00M,-83.00M,1.201B,-495.00M,,706.00M,,115.00M,148.00M,-11.00M,,,
2009-03,349.00M,,-6.00M,-500.00M,-517.00M,463.00M,463.00M,165.00M,,63.00M,222.00M,-110.00M,-270.00M,24.00M,-176.00M,-23.00M,-333.00M,190.00M,-870.00M,,,-10.00M,,-36.00M,-3.00M,-894.00M,1.313B,-263.00M,1.05B,171.00M,,171.00M,,,,,-296.00M,,-6.00M,919.00M,986.00M,215.00M,,1.201B,,171.00M,1.916B,-866.00M,,,
2008-12,263.00M,,0.00,0.00,-19.00M,447.00M,447.00M,242.00M,7.00M,209.00M,136.00M,-106.00M,10.00M,-511.00M,79.00M,7.00M,-385.00M,851.00M,-1.201B,,,-8.00M,0.00,109.00M,-53.00M,-1.127B,-33.00M,-390.00M,-423.00M,105.00M,,105.00M,,,,,-294.00M,,-2.00M,-614.00M,1.876B,-890.00M,,986.00M,,105.00M,1.181B,-1.604B,,,
2008-09,213.00M,,84.00M,0.00,83.00M,479.00M,479.00M,-43.00M,87.00M,87.00M,132.00M,-94.00M,-71.00M,38.00M,-49.00M,7.00M,-37.00M,782.00M,-1.082B,,,-7.00M,-389.00M,462.00M,46.00M,-957.00M,1.107B,504.00M,1.611B,5.00M,,5.00M,,,,,-301.00M,,19.00M,1.334B,717.00M,1.159B,,1.876B,,5.00M,1.22B,391.00M,,,
2008-06,349.00M,,61.00M,0.00,33.00M,456.00M,456.00M,272.00M,0.00,0.00,-240.00M,-75.00M,56.00M,-111.00M,41.00M,-98.00M,-427.00M,683.00M,-1.089B,,,48.00M,0.00,-517.00M,92.00M,-1.452B,1.231B,-126.00M,1.105B,15.00M,,15.00M,,,,,-272.00M,,-4.00M,844.00M,642.00M,75.00M,,717.00M,,15.00M,1.495B,-390.00M,,,
2008-03,466.00M,,-43.00M,0.00,-90.00M,452.00M,452.00M,14.00M,,,161.00M,66.00M,-84.00M,135.00M,-159.00M,51.00M,170.00M,1.012B,-1.076B,,,9.00M,,-8.00M,-9.00M,-1.075B,359.00M,-61.00M,298.00M,8.00M,,8.00M,,,,,-278.00M,,-1.00M,27.00M,678.00M,-36.00M,,642.00M,,8.00M,898.00M,-600.00M,,,
2007-12,243.00M,,,,-54.00M,,394.00M,440.00M,,,104.00M,21.00M,125.00M,-139.00M,-76.00M,-315.00M,-280.00M,743.00M,-910.00M,,-910.00M,,-8.00M,480.00M,-10.00M,-448.00M,,,-31.00M,26.00M,,26.00M,,,,,116.00M,,-403.00M,-292.00M,675.00M,3.00M,,678.00M,,26.00M,,,,,
2007-09,607.00M,,,,-95.00M,,546.00M,244.00M,,,-266.00M,4.00M,-77.00M,214.00M,12.00M,-156.00M,-269.00M,1.033B,-628.00M,,-628.00M,,-4.00M,63.00M,47.00M,-522.00M,,,-243.00M,24.00M,,24.00M,,,,,-278.00M,,50.00M,-447.00M,611.00M,64.00M,,675.00M,,24.00M,,,,,
2007-06,293.00M,,,,-403.00M,,487.00M,-44.00M,,,-48.00M,-76.00M,38.00M,-31.00M,12.00M,288.00M,183.00M,516.00M,-784.00M,,-784.00M,,-54.00M,233.00M,18.00M,-587.00M,,,401.00M,,,,,,,,-662.00M,,373.00M,112.00M,570.00M,41.00M,,611.00M,,,,,,,
2007-03,357.00M,,,,-5.00M,,461.00M,29.00M,,,-30.00M,15.00M,-258.00M,-66.00M,-269.00M,682.00M,74.00M,916.00M,-803.00M,,-803.00M,,,198.00M,11.00M,-594.00M,,,-45.00M,,,,,,,,-265.00M,,-390.00M,-700.00M,948.00M,-378.00M,,570.00M,,,,,,,
2006-12,387.00M,,,,-18.00M,,563.00M,46.00M,,-122.00M,-490.00M,-120.00M,355.00M,-112.00M,364.00M,182.00M,179.00M,1.035B,-1.096B,0.00,-1.096B,,-195.00M,915.00M,778.00M,402.00M,,,-921.00M,60.00M,-12.00M,48.00M,,,,,-405.00M,,-9.00M,-1.287B,820.00M,150.00M,,948.00M,,60.00M,,,-12.00M,,
2006-09,763.00M,,,,-392.00M,,610.00M,-97.00M,,1.00M,152.00M,-48.00M,-149.00M,139.00M,180.00M,110.00M,384.00M,1.269B,-892.00M,33.00M,-859.00M,,0.00,-3.363B,2.025B,-2.197B,,,1.265B,26.00M,12.00M,38.00M,,,,,-402.00M,,95.00M,996.00M,752.00M,68.00M,,820.00M,,26.00M,,,12.00M,,
2006-06,355.00M,,,,-617.00M,,604.00M,341.00M,,-3.00M,644.00M,-30.00M,-637.00M,428.00M,-759.00M,387.00M,33.00M,713.00M,-833.00M,165.00M,-668.00M,,148.00M,1.278B,-153.00M,605.00M,,,-519.00M,27.00M,-443.00M,-416.00M,,,,,-392.00M,,-24.00M,-1.351B,785.00M,-33.00M,,752.00M,,27.00M,,,-443.00M,,
2006-03,358.00M,,,,-210.00M,,438.00M,-40.00M,,,538.00M,174.00M,-1.093B,821.00M,-379.00M,124.00M,185.00M,731.00M,-560.00M,56.00M,-504.00M,,-90.00M,482.00M,-26.00M,-138.00M,,,34.00M,14.00M,-69.00M,-55.00M,,,,,-289.00M,,-9.00M,-319.00M,511.00M,274.00M,,785.00M,,14.00M,,,-69.00M,,
