,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.394B,3.394B,,,,,137.00M,-137.00M,1.169B,1.169B,137.00M,-137.00M,926.00M,-137.00M,183.00M,21.00M,162.00M,,,-23.00M,,139.00M,139.00M,320.00M,0.5,,,,0.5,0.5,0.5,,,,0.5,0.5,279.40M,279.49M,0.0625
2020-06,2.31B,2.31B,,,,,123.00M,-123.00M,1.277B,1.277B,123.00M,-123.00M,958.00M,-123.00M,-1.074B,-228.00M,-846.00M,,,11.00M,,-835.00M,-835.00M,-951.00M,-2.96,,,,-2.96,-2.96,-2.96,,,,-2.96,-2.96,281.48M,281.48M,0.0625
2020-03,3.099B,3.099B,,,,,144.00M,-144.00M,2.307B,2.307B,144.00M,-144.00M,1.283B,-144.00M,-1.121B,-77.00M,-1.044B,,,412.00M,,-632.00M,-632.00M,-977.00M,-2.2,,,,-2.2,-2.2,-2.2,,,,-2.2,-2.2,287.04M,287.04M,0.0625
2019-12,4.016B,4.016B,,,,,142.00M,-142.00M,1.617B,1.617B,142.00M,-142.00M,1.335B,-142.00M,276.00M,65.00M,211.00M,,,6.00M,,217.00M,217.00M,418.00M,0.74,,,,0.74,0.74,0.73,,,,0.73,0.73,295.56M,296.21M,0.0625
2019-09,3.659B,3.659B,,,,,144.00M,-144.00M,1.512B,1.512B,144.00M,-144.00M,1.252B,-144.00M,60.00M,21.00M,39.00M,,,33.00M,,72.00M,72.00M,204.00M,0.24,,,,0.24,0.24,0.24,,,,0.24,0.24,301.65M,302.35M,0.0625
2019-06,3.623B,3.623B,,,,,164.00M,-164.00M,1.494B,1.494B,164.00M,-164.00M,1.246B,-164.00M,275.00M,50.00M,225.00M,,,24.00M,,249.00M,249.00M,439.00M,0.82,,,,0.82,0.82,0.82,,,,0.82,0.82,303.84M,304.54M,0.0625
2019-03,3.757B,3.757B,,,,,141.00M,-141.00M,1.409B,1.409B,141.00M,-141.00M,1.266B,-141.00M,508.00M,112.00M,396.00M,,,-2.00M,,394.00M,394.00M,649.00M,1.27,,,,1.27,1.27,1.27,,,,1.27,1.27,309.83M,310.36M,0.0625
2018-12,3.287B,3.287B,,,,,144.00M,-144.00M,1.438B,1.438B,144.00M,-144.00M,1.24B,-144.00M,-232.00M,-21.00M,-211.00M,,,46.00M,,-165.00M,-165.00M,-88.00M,-0.51,,,,-0.51,-0.51,-0.51,,,,-0.51,-0.51,313.81M,314.53M,0.0625
2018-09,3.608B,3.608B,,,,,146.00M,-146.00M,1.459B,1.459B,146.00M,-146.00M,1.246B,-146.00M,354.00M,65.00M,289.00M,,,-11.00M,,278.00M,278.00M,500.00M,0.88,,,,0.88,0.88,0.88,,,,0.88,0.88,315.90M,316.81M,0.0625
2018-06,3.59B,3.59B,,,,,143.00M,-143.00M,1.454B,1.454B,143.00M,-143.00M,1.227B,-143.00M,307.00M,59.00M,248.00M,,,-18.00M,,230.00M,230.00M,450.00M,0.72,,,,0.72,0.72,0.72,,,,0.72,0.72,318.87M,319.78M,0.0625
2018-03,3.581B,3.581B,,,,,141.00M,-141.00M,1.40B,1.40B,141.00M,-141.00M,1.281B,-141.00M,405.00M,25.00M,380.00M,,,-87.00M,,293.00M,293.00M,546.00M,0.89,,,,0.89,0.89,0.89,,,,0.89,0.89,327.78M,328.72M,0.0625
2017-12,3.555B,3.555B,,,,,142.00M,-142.00M,1.388B,1.388B,142.00M,-142.00M,1.18B,-142.00M,461.00M,-70.00M,531.00M,,,-50.00M,,481.00M,481.00M,603.00M,1.43,,,,1.43,1.43,1.43,,,,1.43,1.43,335.74M,336.81M,0.0625
2017-09,3.521B,3.521B,,,,,223.00M,-223.00M,1.245B,1.245B,223.00M,-223.00M,1.142B,-223.00M,264.00M,52.00M,212.00M,,,-55.00M,,157.00M,157.00M,487.00M,0.46,,,,0.46,0.46,0.46,,,,0.46,0.46,336.91M,337.79M,0.0625
2017-06,3.359B,3.359B,,,,,139.00M,-139.00M,1.281B,1.281B,139.00M,-139.00M,1.104B,-139.00M,347.00M,69.00M,278.00M,,,-47.00M,,231.00M,231.00M,486.00M,0.69,,,,0.69,0.69,0.69,,,,0.69,0.69,336.91M,337.72M,0.0625
2017-03,3.30B,3.30B,,,,,142.00M,-142.00M,1.05B,1.05B,142.00M,-142.00M,1.017B,-142.00M,510.00M,119.00M,391.00M,,,-96.00M,,295.00M,295.00M,652.00M,0.88,,,,0.88,0.88,0.87,,,,0.87,0.87,336.88M,337.68M,0.0625
2016-12,3.338B,3.338B,,,,,133.00M,-133.00M,1.101B,1.101B,133.00M,-133.00M,1.013B,-133.00M,461.00M,49.00M,412.00M,,,-122.00M,,290.00M,290.00M,594.00M,0.85,,,,0.85,0.85,0.85,,,,0.85,0.85,336.81M,337.41M,0.0625
2016-09,3.287B,3.287B,,,,,130.00M,-130.00M,1.085B,1.085B,130.00M,-130.00M,914.00M,-130.00M,556.00M,163.00M,393.00M,,,-66.00M,,327.00M,327.00M,686.00M,0.97,,,,0.97,0.97,0.97,,,,0.97,0.97,337.18M,337.62M,0.0625
2016-06,3.307B,3.307B,,,,,130.00M,-130.00M,1.809B,1.809B,130.00M,-130.00M,989.00M,-130.00M,-276.00M,12.00M,-288.00M,,,223.00M,,-65.00M,-65.00M,-146.00M,-0.19,,,,-0.19,-0.19,-0.19,,,,-0.19,-0.19,338.72M,338.72M,0.0625
2016-03,3.173B,3.173B,,,,,143.00M,-143.00M,1.12B,1.12B,143.00M,-143.00M,1.08B,-143.00M,195.00M,-4.00M,199.00M,,,-97.00M,,102.00M,102.00M,338.00M,0.3,,,,0.3,0.3,0.3,,,,0.3,0.3,339.10M,339.25M,0.0625
