,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,352.00M,,,-60.00M,-60.00M,121.00M,121.00M,34.00M,,18.00M,-24.00M,52.00M,-24.00M,3.00M,,150.00M,181.00M,622.00M,-108.00M,,-108.00M,0.00,-49.00M,23.00M,-134.00M,-5.00M,-4.00M,-9.00M,45.00M,0.00,45.00M,-196.00M,-196.00M,-53.00M,-213.00M,1.047B,275.00M,7.00M,1.329B,45.00M,0.00,-5.00M,0.00,179.00M,-16.00M
2020-06,354.00M,,,-19.00M,-19.00M,117.00M,117.00M,15.00M,,18.00M,-12.00M,29.00M,-34.00M,61.00M,,51.00M,107.00M,580.00M,-106.00M,,-106.00M,0.00,-204.00M,-3.00M,-313.00M,517.00M,-536.00M,-19.00M,14.00M,0.00,14.00M,-195.00M,-195.00M,-43.00M,-243.00M,1.016B,24.00M,7.00M,1.047B,14.00M,554.00M,-37.00M,0.00,15.00M,132.00M
2020-03,350.00M,,,-39.00M,-39.00M,117.00M,117.00M,8.00M,,19.00M,-17.00M,-194.00M,1.00M,44.00M,,102.00M,-47.00M,391.00M,-112.00M,,-112.00M,,-63.00M,-27.00M,-202.00M,-3.00M,549.00M,546.00M,46.00M,0.00,46.00M,-195.00M,-195.00M,80.00M,477.00M,397.00M,666.00M,-47.00M,1.016B,46.00M,,-3.00M,0.00,18.00M,8.00M
2019-12,152.00M,,,69.00M,69.00M,124.00M,124.00M,-37.00M,,14.00M,60.00M,108.00M,-14.00M,-9.00M,,-216.00M,-131.00M,251.00M,-150.00M,,-150.00M,0.00,-1.00M,-6.00M,-157.00M,93.00M,-96.00M,-3.00M,24.00M,0.00,24.00M,-195.00M,-195.00M,0.00,-174.00M,453.00M,-80.00M,24.00M,397.00M,24.00M,102.00M,-96.00M,0.00,326.00M,104.00M
2019-09,248.00M,,,39.00M,39.00M,117.00M,117.00M,-229.00M,,13.00M,-78.00M,-14.00M,22.00M,-29.00M,,316.00M,295.00M,405.00M,-142.00M,,-142.00M,1.332B,65.00M,3.00M,1.258B,-988.00M,-382.00M,-1.37B,28.00M,0.00,28.00M,-194.00M,-194.00M,-18.00M,-1.554B,340.00M,109.00M,4.00M,453.00M,28.00M,12.00M,-1.00B,0.00,54.00M,26.00M
2019-06,292.00M,,,-27.00M,-27.00M,119.00M,119.00M,16.00M,,16.00M,2.00M,-10.00M,-18.00M,45.00M,,15.00M,32.00M,450.00M,-146.00M,,-146.00M,-8.00M,0.00,-10.00M,-164.00M,28.00M,-38.00M,-10.00M,5.00M,0.00,5.00M,-188.00M,-188.00M,-8.00M,-201.00M,272.00M,85.00M,-17.00M,340.00M,5.00M,28.00M,0.00,0.00,78.00M,146.00M
2019-03,285.00M,,,-38.00M,-38.00M,124.00M,124.00M,7.00M,,13.00M,-13.00M,-229.00M,12.00M,-16.00M,,-75.00M,-308.00M,70.00M,-148.00M,,-148.00M,,0.00,-15.00M,-163.00M,0.00,429.00M,429.00M,7.00M,-220.00M,-213.00M,-192.00M,-192.00M,,24.00M,321.00M,-69.00M,20.00M,272.00M,7.00M,,0.00,-220.00M,79.00M,8.00M
2018-12,-82.00M,,0.00,365.00M,365.00M,142.00M,142.00M,-76.00M,,17.00M,36.00M,215.00M,-19.00M,12.00M,,0.00,208.00M,610.00M,-189.00M,,-189.00M,0.00,-2.00M,28.00M,-163.00M,55.00M,-89.00M,-34.00M,7.00M,-200.00M,-193.00M,-194.00M,-194.00M,-9.00M,-430.00M,309.00M,17.00M,-5.00M,321.00M,7.00M,62.00M,-294.00M,-200.00M,25.00M,127.00M
2018-09,383.00M,,0.00,-102.00M,-102.00M,140.00M,140.00M,30.00M,,12.00M,-29.00M,-56.00M,-29.00M,39.00M,,91.00M,45.00M,479.00M,-119.00M,,-119.00M,-1.00M,-2.00M,-2.00M,-124.00M,0.00,-122.00M,-122.00M,90.00M,-70.00M,20.00M,-194.00M,-194.00M,-2.00M,-298.00M,257.00M,57.00M,-5.00M,309.00M,90.00M,0.00,0.00,-70.00M,87.00M,2.00M
2018-06,599.00M,,-200.00M,-39.00M,-239.00M,112.00M,112.00M,70.00M,,14.00M,-292.00M,92.00M,-51.00M,68.00M,,-154.00M,-45.00M,219.00M,-138.00M,,-138.00M,-416.00M,-4.00M,28.00M,-530.00M,592.00M,-175.00M,417.00M,20.00M,-50.00M,-30.00M,-187.00M,-187.00M,,200.00M,370.00M,-111.00M,-2.00M,257.00M,20.00M,894.00M,-401.00M,-50.00M,45.00M,137.00M
2018-03,444.00M,,,-47.00M,-47.00M,122.00M,122.00M,-1.00M,,16.00M,-49.00M,-175.00M,13.00M,-4.00M,,-91.00M,-257.00M,228.00M,-132.00M,,-132.00M,,0.00,1.00M,-131.00M,,99.00M,99.00M,50.00M,0.00,50.00M,-187.00M,-187.00M,,-38.00M,281.00M,59.00M,30.00M,370.00M,50.00M,99.00M,,0.00,31.00M,14.00M
2017-12,417.00M,,0.00,-210.00M,-210.00M,115.00M,115.00M,107.00M,,13.00M,-56.00M,-132.00M,2.00M,58.00M,,-101.00M,-173.00M,213.00M,-127.00M,,-127.00M,-596.00M,-1.00M,305.00M,-419.00M,606.00M,-219.00M,387.00M,10.00M,0.00,10.00M,-186.00M,-186.00M,,211.00M,267.00M,5.00M,9.00M,281.00M,10.00M,631.00M,-244.00M,0.00,73.00M,109.00M
2017-09,288.00M,,0.00,-95.00M,-95.00M,126.00M,126.00M,45.00M,,17.00M,5.00M,-452.00M,15.00M,65.00M,,84.00M,-288.00M,98.00M,-106.00M,,-106.00M,0.00,-6.00M,380.00M,268.00M,1.00M,-153.00M,-152.00M,22.00M,-126.00M,-104.00M,-187.00M,-187.00M,,-443.00M,334.00M,-77.00M,10.00M,267.00M,22.00M,-152.00M,0.00,-126.00M,74.00M,11.00M
2017-06,283.00M,,0.00,-40.00M,-40.00M,119.00M,119.00M,0.00,,19.00M,2.00M,-279.00M,5.00M,59.00M,,-42.00M,-257.00M,126.00M,-138.00M,,-138.00M,4.00M,0.00,320.00M,186.00M,30.00M,96.00M,126.00M,25.00M,-265.00M,-240.00M,-181.00M,-181.00M,,-295.00M,298.00M,17.00M,19.00M,334.00M,25.00M,751.00M,-625.00M,-265.00M,189.00M,122.00M
2017-03,266.00M,,,-56.00M,-56.00M,121.00M,121.00M,-66.00M,,17.00M,6.00M,-437.00M,58.00M,11.00M,,46.00M,-322.00M,-34.00M,-130.00M,,-130.00M,,,244.00M,114.00M,-1.00M,191.00M,190.00M,40.00M,-125.00M,-85.00M,-182.00M,-182.00M,,-77.00M,280.00M,3.00M,15.00M,298.00M,40.00M,191.00M,-1.00M,-125.00M,16.00M,16.00M
2016-12,-47.00M,,,251.00M,334.00M,160.00M,160.00M,-10.00M,,18.00M,81.00M,-272.00M,-18.00M,-99.00M,,103.00M,-286.00M,250.00M,-131.00M,,-131.00M,-379.00M,,501.00M,-11.00M,1.906B,-2.00B,-94.00M,12.00M,0.00,12.00M,-183.00M,-183.00M,,-265.00M,346.00M,-26.00M,-40.00M,280.00M,12.00M,2.557B,-2.651B,0.00,31.00M,111.00M
2016-09,292.00M,,,3.00M,3.00M,106.00M,106.00M,-33.00M,,15.00M,-20.00M,-49.00M,8.00M,91.00M,,-40.00M,10.00M,373.00M,-127.00M,,-127.00M,-8.00M,,4.00M,-131.00M,-3.00M,-325.00M,-328.00M,123.00M,-40.00M,83.00M,-182.00M,-182.00M,,-427.00M,531.00M,-185.00M,0.00,346.00M,123.00M,0.00,-328.00M,-40.00M,140.00M,10.00M
2016-06,280.00M,,,-28.00M,-28.00M,136.00M,136.00M,7.00M,,15.00M,32.00M,42.00M,-32.00M,145.00M,,46.00M,201.00M,643.00M,-105.00M,,-105.00M,32.00M,,-22.00M,-95.00M,-75.00M,61.00M,-14.00M,69.00M,-188.00M,-119.00M,-175.00M,-175.00M,,-308.00M,310.00M,240.00M,-19.00M,531.00M,69.00M,679.00M,-693.00M,-188.00M,26.00M,85.00M
2016-03,175.00M,,,-28.00M,-28.00M,115.00M,115.00M,0.00,,15.00M,-44.00M,-201.00M,49.00M,-13.00M,,-63.00M,-228.00M,5.00M,-144.00M,,-144.00M,-18.00M,,7.00M,-155.00M,909.00M,-485.00M,424.00M,164.00M,-198.00M,-34.00M,-176.00M,-176.00M,,214.00M,251.00M,64.00M,-5.00M,310.00M,164.00M,1.382B,-958.00M,-198.00M,59.00M,199.00M
2015-12,-40.00M,-45.00M,,388.00M,343.00M,147.00M,147.00M,-129.00M,49.00M,19.00M,-39.00M,87.00M,-43.00M,265.00M,,63.00M,372.00M,722.00M,-164.00M,,-164.00M,0.00,,0.00,-164.00M,236.00M,-373.00M,-137.00M,65.00M,-350.00M,-285.00M,-177.00M,-177.00M,3.00M,-596.00M,299.00M,-38.00M,-10.00M,251.00M,65.00M,148.00M,-285.00M,-350.00M,47.00M,74.00M
2015-09,205.00M,13.00M,,-27.00M,-14.00M,118.00M,118.00M,-50.00M,0.00,11.00M,-4.00M,-7.00M,-4.00M,157.00M,,-24.00M,122.00M,388.00M,-131.00M,,-131.00M,-500.00M,,1.00M,-630.00M,2.00M,419.00M,421.00M,106.00M,-96.00M,10.00M,-176.00M,-176.00M,-8.00M,247.00M,294.00M,5.00M,0.00,299.00M,106.00M,419.00M,2.00M,-96.00M,50.00M,40.00M
2015-06,222.00M,152.00M,,-20.00M,132.00M,138.00M,138.00M,-9.00M,-74.00M,11.00M,8.00M,33.00M,-65.00M,24.00M,,1.00M,-7.00M,421.00M,-110.00M,,-110.00M,0.00,,39.00M,-71.00M,-363.00M,133.00M,-230.00M,33.00M,0.00,33.00M,-173.00M,-173.00M,0.00,-370.00M,349.00M,-20.00M,-35.00M,294.00M,33.00M,114.00M,-344.00M,0.00,190.00M,74.00M
2015-03,227.00M,0.00,,-21.00M,-21.00M,131.00M,131.00M,-2.00M,25.00M,10.00M,10.00M,-240.00M,70.00M,42.00M,,-92.00M,-220.00M,160.00M,-148.00M,,-148.00M,-117.00M,,3.00M,-262.00M,429.00M,-19.00M,410.00M,57.00M,-285.00M,-228.00M,-174.00M,-174.00M,5.00M,13.00M,443.00M,-89.00M,-5.00M,349.00M,57.00M,672.00M,-262.00M,-285.00M,50.00M,40.00M
2014-12,-293.00M,0.00,,876.00M,876.00M,128.00M,128.00M,-256.00M,,,-134.00M,253.00M,-70.00M,75.00M,,0.00,258.00M,616.00M,-227.00M,,-227.00M,0.00,,2.00M,-225.00M,1.029B,-1.28B,-251.00M,53.00M,0.00,53.00M,-174.00M,-174.00M,-3.00M,-375.00M,426.00M,16.00M,1.00M,443.00M,53.00M,874.00M,-1.125B,0.00,,
2014-09,225.00M,0.00,,-28.00M,-28.00M,140.00M,140.00M,-16.00M,,,-25.00M,14.00M,95.00M,100.00M,,18.00M,227.00M,523.00M,-129.00M,,-129.00M,-6.00M,,13.00M,-122.00M,-2.00M,221.00M,219.00M,31.00M,-361.00M,-330.00M,-175.00M,-175.00M,6.00M,-280.00M,290.00M,121.00M,15.00M,426.00M,31.00M,221.00M,-2.00M,-361.00M,,
