,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,669.00M,11.00M,-95.00M,-84.00M,212.00M,212.00M,-56.00M,1.061B,,-430.00M,-392.00M,,,,,,-818.00M,,554.00M,,,,,-295.00M,-53.00M,-381.00M,391.00M,,391.00M,,-401.00M,-401.00M,,,-197.00M,-197.00M,85.00M,,-122.00M,344.00M,51.00M,2.00M,397.00M,,,491.00M,-100.00M,-401.00M,56.00M,39.00M
2017-12,551.00M,-70.00M,-97.00M,-167.00M,202.00M,202.00M,249.00M,1.072B,,50.00M,158.00M,,,,,,-1.294B,,663.00M,,,,0.00,248.00M,-55.00M,174.00M,-350.00M,,-350.00M,,-351.00M,-351.00M,,,-196.00M,-196.00M,25.00M,,-872.00M,379.00M,-35.00M,0.00,344.00M,,,100.00M,-450.00M,-351.00M,47.00M,150.00M
2017-09,293.00M,-61.00M,-90.00M,-151.00M,202.00M,202.00M,-18.00M,1.059B,,284.00M,-84.00M,,,,,,62.00M,,1.731B,,,,-439.00M,-678.00M,-55.00M,-1.186B,0.00,,0.00,,-328.00M,-328.00M,,,-200.00M,-200.00M,30.00M,,-498.00M,328.00M,47.00M,4.00M,379.00M,,,0.00,0.00,-328.00M,144.00M,39.00M
2017-06,595.00M,-80.00M,-101.00M,-181.00M,198.00M,198.00M,-45.00M,1.032B,,281.00M,-260.00M,,,,,,-974.00M,,906.00M,,,,,-609.00M,-56.00M,-675.00M,482.00M,,482.00M,,-475.00M,-475.00M,,,-199.00M,-199.00M,35.00M,,-157.00M,249.00M,74.00M,5.00M,328.00M,,,689.00M,-207.00M,-475.00M,321.00M,135.00M
2017-03,617.00M,-5.00M,-109.00M,-114.00M,211.00M,211.00M,151.00M,1.003B,,-572.00M,-192.00M,,,,,,-448.00M,,848.00M,,,,,-447.00M,-52.00M,-515.00M,0.00,,0.00,,-286.00M,-286.00M,,,-190.00M,-190.00M,83.00M,,-393.00M,307.00M,-60.00M,2.00M,249.00M,,,0.00,0.00,-286.00M,2.00M,43.00M
2016-12,943.00M,-35.00M,-118.00M,-153.00M,202.00M,202.00M,81.00M,1.013B,,340.00M,416.00M,,,,,,-1.02B,,1.406B,,,,0.00,-477.00M,-98.00M,-593.00M,0.00,,0.00,,-751.00M,-751.00M,,,-188.00M,-188.00M,168.00M,,-771.00M,269.00M,42.00M,-4.00M,307.00M,,,0.00,0.00,-751.00M,244.00M,135.00M
2016-09,716.00M,-23.00M,-70.00M,-93.00M,211.00M,211.00M,-46.00M,1.012B,,403.00M,159.00M,,,,,,-433.00M,,1.77B,,,,0.00,-947.00M,-86.00M,-1.043B,0.00,,0.00,,-562.00M,-562.00M,,,-194.00M,-194.00M,35.00M,,-721.00M,265.00M,6.00M,-2.00M,269.00M,,,0.00,0.00,-562.00M,181.00M,43.00M
2016-06,664.00M,-19.00M,-27.00M,-46.00M,200.00M,200.00M,-30.00M,989.00M,,108.00M,16.00M,,,,,,-1.442B,,443.00M,,,,,143.00M,-75.00M,55.00M,91.00M,,91.00M,,-550.00M,-550.00M,,,-195.00M,-195.00M,65.00M,,-589.00M,361.00M,-91.00M,-5.00M,265.00M,,,491.00M,-400.00M,-550.00M,404.00M,138.00M
2016-03,691.00M,9.00M,-17.00M,-8.00M,213.00M,213.00M,105.00M,971.00M,,-395.00M,-267.00M,,,,,,-727.00M,,850.00M,,,,,-129.00M,-10.00M,-146.00M,,,,,-609.00M,-609.00M,,,-180.00M,-180.00M,64.00M,,-725.00M,380.00M,-21.00M,2.00M,361.00M,,,,,-609.00M,63.00M,42.00M
2015-12,866.00M,32.00M,-4.00M,28.00M,198.00M,198.00M,12.00M,972.00M,,-39.00M,140.00M,,,,,,-1.277B,,760.00M,,,,,894.00M,-66.00M,808.00M,-400.00M,,-400.00M,,-1.001B,-1.001B,,,-182.00M,-182.00M,41.00M,13.00M,-1.529B,344.00M,39.00M,-3.00M,380.00M,,,0.00,-400.00M,-1.001B,325.00M,148.00M
2015-09,928.00M,-15.00M,-80.00M,-95.00M,191.00M,191.00M,-37.00M,987.00M,,530.00M,170.00M,,,,,,-705.00M,,1.799B,,,,,-1.17B,-39.00M,-1.256B,392.00M,,392.00M,,-751.00M,-751.00M,,,-188.00M,-188.00M,25.00M,11.00M,-511.00M,317.00M,32.00M,-5.00M,344.00M,,,392.00M,,-751.00M,285.00M,34.00M
2015-06,812.00M,-10.00M,-91.00M,-101.00M,204.00M,204.00M,9.00M,963.00M,,-85.00M,-34.00M,,,,,,-1.126B,,676.00M,,,,,439.00M,-85.00M,291.00M,0.00,,0.00,,-801.00M,-801.00M,,,-192.00M,-192.00M,27.00M,4.00M,-962.00M,308.00M,5.00M,4.00M,317.00M,,,0.00,0.00,-801.00M,471.00M,149.00M
2015-03,833.00M,-10.00M,-43.00M,-53.00M,225.00M,225.00M,133.00M,963.00M,,-350.00M,-189.00M,,,,,,-1.552B,,199.00M,,,,,563.00M,-83.00M,474.00M,,,,,-671.00M,-671.00M,,,-177.00M,-177.00M,90.00M,27.00M,-731.00M,374.00M,-58.00M,-8.00M,308.00M,,,,,-671.00M,126.00M,34.00M
2014-12,1.038B,-22.00M,-74.00M,-96.00M,211.00M,211.00M,28.00M,983.00M,,-118.00M,124.00M,,,,,,-1.521B,,525.00M,,,,0.00,701.00M,-86.00M,608.00M,0.00,,0.00,,-1.001B,-1.001B,,,-180.00M,-180.00M,41.00M,19.00M,-1.121B,367.00M,12.00M,-5.00M,374.00M,,,0.00,,-1.001B,362.00M,148.00M
2014-09,919.00M,-40.00M,-155.00M,-195.00M,211.00M,211.00M,-38.00M,984.00M,,731.00M,326.00M,,,,,,-772.00M,,1.84B,,,,0.00,-774.00M,-110.00M,-889.00M,0.00,,0.00,,-751.00M,-751.00M,,,-184.00M,-184.00M,32.00M,14.00M,-889.00M,311.00M,62.00M,-6.00M,367.00M,,,0.00,,-751.00M,58.00M,34.00M
2014-06,683.00M,-16.00M,-118.00M,-134.00M,215.00M,215.00M,-22.00M,965.00M,,-195.00M,-174.00M,,,,,,-887.00M,,625.00M,,,,0.00,527.00M,-88.00M,412.00M,,,,,-876.00M,-876.00M,,,-189.00M,-189.00M,65.00M,11.00M,-989.00M,260.00M,48.00M,3.00M,311.00M,,,,,-876.00M,634.00M,149.00M
2014-03,1.052B,-1.00M,-139.00M,-140.00M,227.00M,227.00M,153.00M,950.00M,,-355.00M,-83.00M,,,,,,-1.184B,,703.00M,,,,-12.00M,155.00M,-59.00M,75.00M,,,,,-704.00M,-704.00M,,,-176.00M,-176.00M,57.00M,13.00M,-810.00M,294.00M,-32.00M,-2.00M,260.00M,,,,,-704.00M,93.00M,34.00M
2013-12,988.00M,-11.00M,-110.00M,-121.00M,225.00M,225.00M,35.00M,970.00M,,78.00M,478.00M,,,,,,-1.248B,,927.00M,,,,-997.00M,1.337B,-101.00M,197.00M,0.00,,0.00,,-1.001B,-1.001B,,,-180.00M,-180.00M,48.00M,8.00M,-1.125B,295.00M,-1.00M,0.00,294.00M,,,0.00,0.00,-1.001B,333.00M,149.00M
2013-09,864.00M,22.00M,-72.00M,-50.00M,207.00M,207.00M,-19.00M,953.00M,,534.00M,516.00M,,,,,,-852.00M,,1.637B,,,,0.00,-1.096B,-97.00M,-1.199B,494.00M,,494.00M,,-801.00M,-801.00M,,,-183.00M,-183.00M,19.00M,14.00M,-457.00M,308.00M,-19.00M,6.00M,295.00M,,,494.00M,0.00,-801.00M,229.00M,22.00M
2013-06,925.00M,-167.00M,-101.00M,-268.00M,216.00M,216.00M,20.00M,950.00M,,-53.00M,109.00M,,,,,,-1.068B,,722.00M,,,,0.00,-101.00M,-57.00M,-211.00M,0.00,,0.00,,-301.00M,-301.00M,,,-191.00M,-191.00M,41.00M,8.00M,-443.00M,243.00M,68.00M,-3.00M,308.00M,,,,0.00,-301.00M,468.00M,149.00M
2013-03,896.00M,-10.00M,-74.00M,-84.00M,219.00M,219.00M,131.00M,948.00M,,-297.00M,235.00M,,,,,,-1.283B,,530.00M,,,,0.00,409.00M,-100.00M,303.00M,-500.00M,,-500.00M,,-358.00M,-358.00M,,,-175.00M,-175.00M,98.00M,21.00M,-914.00M,330.00M,-81.00M,-6.00M,243.00M,,,,-500.00M,-358.00M,27.00M,35.00M
2012-12,304.00M,-39.00M,-71.00M,-110.00M,209.00M,209.00M,2.00M,977.00M,,22.00M,-304.00M,,,,,,-940.00M,,464.00M,,,,,263.00M,-44.00M,186.00M,0.00,,0.00,,-419.00M,-419.00M,,,-175.00M,-175.00M,48.00M,6.00M,-540.00M,220.00M,110.00M,0.00,330.00M,,,0.00,0.00,-419.00M,-122.00M,149.00M
2012-09,864.00M,2.00M,-43.00M,-41.00M,206.00M,206.00M,96.00M,986.00M,,497.00M,335.00M,,,,,,-1.107B,,1.501B,,,,,-977.00M,-96.00M,-1.077B,0.00,,0.00,,-349.00M,-349.00M,,,-178.00M,-178.00M,77.00M,13.00M,-437.00M,230.00M,-13.00M,3.00M,220.00M,,,0.00,0.00,-349.00M,14.00M,35.00M
2012-06,499.00M,-4.00M,-114.00M,-118.00M,196.00M,196.00M,6.00M,976.00M,,-166.00M,-60.00M,,,,,,-942.00M,,451.00M,,,,,305.00M,-38.00M,214.00M,-258.00M,,-258.00M,,-353.00M,-353.00M,,,-180.00M,-180.00M,93.00M,7.00M,-691.00M,258.00M,-26.00M,-2.00M,230.00M,,,,-258.00M,-353.00M,276.00M,156.00M
2012-03,806.00M,-10.00M,-114.00M,-124.00M,216.00M,216.00M,119.00M,971.00M,,-147.00M,344.00M,,,,,,-1.027B,,814.00M,,,,,-198.00M,-92.00M,-295.00M,0.00,,0.00,,-406.00M,-406.00M,,,-161.00M,-161.00M,77.00M,12.00M,-478.00M,214.00M,41.00M,3.00M,258.00M,,,,0.00,-406.00M,20.00M,35.00M
2011-12,618.00M,-14.00M,-2.00M,-16.00M,203.00M,203.00M,-96.00M,976.00M,,-3.287B,1.011B,,,,,499.00M,-947.00M,,351.00M,,,,,1.299B,-318.00M,915.00M,0.00,,0.00,-270.00M,-1.164B,-1.434B,,,,-165.00M,,1.00M,-1.284B,231.00M,-18.00M,1.00M,214.00M,,-270.00M,,0.00,-1.164B,,
2011-09,333.00M,-2.00M,-48.00M,-50.00M,194.00M,194.00M,22.00M,982.00M,,982.00M,103.00M,,,,,259.00M,-564.00M,,917.00M,,,,,-296.00M,-122.00M,-418.00M,0.00,,0.00,25.00M,-395.00M,-370.00M,,,,-171.00M,,6.00M,-535.00M,273.00M,-36.00M,-6.00M,231.00M,,25.00M,,0.00,-395.00M,,
2011-06,-364.00M,-19.00M,-109.00M,-128.00M,197.00M,197.00M,-16.00M,970.00M,,970.00M,-375.00M,,,,,-374.00M,-391.00M,,268.00M,,,,,120.00M,5.00M,125.00M,-8.00M,,-8.00M,77.00M,-258.00M,-181.00M,,,,-174.00M,,4.00M,-359.00M,239.00M,34.00M,0.00,273.00M,,77.00M,,-8.00M,-258.00M,,
2011-03,839.00M,-20.00M,-122.00M,-142.00M,208.00M,208.00M,153.00M,948.00M,,948.00M,-167.00M,,,,,-384.00M,-1.373B,,633.00M,,,,,465.00M,65.00M,530.00M,,,,168.00M,-1.148B,-980.00M,,,,-155.00M,,7.00M,-1.128B,200.00M,35.00M,4.00M,239.00M,,168.00M,,,-1.148B,,
2010-12,894.00M,-44.00M,-122.00M,-166.00M,204.00M,204.00M,29.00M,957.00M,,-2.792B,1.502B,,,,,55.00M,-1.309B,,662.00M,,,,,328.00M,157.00M,464.00M,349.00M,,349.00M,-267.00M,-1.557B,-1.824B,,,,-161.00M,,2.00M,-1.226B,298.00M,-100.00M,2.00M,200.00M,,-267.00M,,-885.00M,-1.557B,,
2010-09,1.005B,-226.00M,-45.00M,-271.00M,197.00M,197.00M,98.00M,966.00M,,966.00M,154.00M,,,,,236.00M,-654.00M,,1.341B,,,,,-229.00M,-324.00M,-553.00M,-25.00M,,-25.00M,68.00M,-637.00M,-569.00M,,,,-169.00M,,1.00M,-762.00M,266.00M,26.00M,6.00M,298.00M,,68.00M,,-25.00M,-637.00M,,
2010-06,670.00M,31.00M,-71.00M,-40.00M,195.00M,195.00M,-25.00M,950.00M,,950.00M,-285.00M,,,,,-112.00M,-1.23B,,520.00M,,,,,1.413B,-167.00M,1.246B,-250.00M,,-250.00M,76.00M,-1.399B,-1.323B,,,,-175.00M,,1.00M,-1.747B,251.00M,19.00M,-4.00M,266.00M,,76.00M,,-250.00M,-1.399B,,
2010-03,647.00M,-25.00M,-45.00M,-70.00M,216.00M,216.00M,76.00M,929.00M,,929.00M,-97.00M,,,,,-179.00M,-1.267B,,531.00M,,,,,926.00M,26.00M,952.00M,,,,123.00M,-1.445B,-1.322B,,,,-168.00M,,4.00M,-1.486B,255.00M,-3.00M,-1.00M,251.00M,,123.00M,,,-1.445B,,
2009-12,1.285B,-189.00M,-85.00M,-274.00M,195.00M,195.00M,167.00M,949.00M,,949.00M,276.00M,,,,,-67.00M,-1.295B,,1.027B,,,,,809.00M,-263.00M,546.00M,0.00,,0.00,104.00M,-1.539B,-1.435B,,,,-175.00M,,4.00M,-1.606B,286.00M,-33.00M,2.00M,255.00M,,104.00M,0.00,0.00,-1.539B,,
2009-09,935.00M,-29.00M,-41.00M,-70.00M,187.00M,187.00M,77.00M,967.00M,,967.00M,282.00M,,,,,75.00M,-681.00M,,1.415B,,,,,-534.00M,211.00M,-323.00M,-2.00M,,-2.00M,48.00M,-971.00M,-923.00M,,,,-168.00M,,2.00M,-1.091B,282.00M,1.00M,3.00M,286.00M,,48.00M,0.00,-2.00M,-971.00M,,
2009-06,740.00M,-13.00M,58.00M,45.00M,209.00M,209.00M,-53.00M,953.00M,,953.00M,-150.00M,,,,,-327.00M,-918.00M,,976.00M,,,,,-331.00M,-208.00M,-539.00M,494.00M,,494.00M,18.00M,-751.00M,-733.00M,,,,-172.00M,,1.00M,-410.00M,245.00M,27.00M,10.00M,282.00M,,18.00M,494.00M,0.00,-751.00M,,
2009-03,662.00M,214.00M,194.00M,408.00M,206.00M,206.00M,22.00M,944.00M,,944.00M,-44.00M,,,,,-295.00M,-1.429B,,813.00M,,,,,-897.00M,314.00M,-583.00M,-141.00M,,-141.00M,10.00M,-27.00M,-17.00M,,,,-178.00M,,1.00M,-335.00M,350.00M,-105.00M,0.00,245.00M,,10.00M,,-141.00M,-27.00M,,
2008-12,801.00M,219.00M,278.00M,497.00M,194.00M,194.00M,-107.00M,975.00M,,975.00M,332.00M,,,,,-128.00M,-1.795B,,565.00M,,,,,-454.00M,291.00M,-163.00M,-149.00M,,-149.00M,17.00M,-113.00M,-96.00M,,,,-179.00M,,2.00M,-422.00M,387.00M,-20.00M,-17.00M,350.00M,,17.00M,0.00,-149.00M,-113.00M,,
2008-09,214.00M,170.00M,67.00M,237.00M,213.00M,213.00M,23.00M,990.00M,,990.00M,158.00M,,,,,58.00M,-735.00M,,942.00M,,,,,149.00M,-565.00M,-416.00M,-3.00M,,-3.00M,13.00M,-290.00M,-277.00M,,,,-177.00M,,1.00M,-456.00M,329.00M,70.00M,-12.00M,387.00M,,13.00M,0.00,-3.00M,-290.00M,,
2008-06,942.00M,-36.00M,-16.00M,-52.00M,201.00M,201.00M,34.00M,961.00M,,961.00M,-177.00M,,,,,-283.00M,-1.382B,,704.00M,,,,,-217.00M,-60.00M,-277.00M,496.00M,,496.00M,44.00M,-767.00M,-723.00M,,,,-180.00M,,3.00M,-404.00M,308.00M,23.00M,-2.00M,329.00M,,44.00M,496.00M,0.00,-767.00M,,
2008-03,967.00M,62.00M,-17.00M,45.00M,213.00M,213.00M,-8.00M,954.00M,,954.00M,-28.00M,,,,,-149.00M,-1.244B,,927.00M,,,,,723.00M,-29.00M,694.00M,-400.00M,,-400.00M,15.00M,-1.026B,-1.011B,,,,-179.00M,,4.00M,-1.586B,271.00M,35.00M,2.00M,308.00M,,15.00M,,-400.00M,-1.026B,,
2007-12,1.063B,-12.00M,-570.00M,-582.00M,206.00M,206.00M,230.00M,3.706B,23.00M,2.679B,131.00M,,,,,,-2.272B,,1.347B,,,,,-459.00M,122.00M,-337.00M,0.00,,0.00,26.00M,-973.00M,-947.00M,,,,-185.00M,,1.00M,-1.131B,391.00M,-121.00M,1.00M,271.00M,,26.00M,0.00,0.00,-973.00M,-935.00M,-240.00M
2007-09,1.198B,0.00,,0.00,197.00M,197.00M,,,-3.00M,761.00M,216.00M,,,,,,-138.00M,,2.015B,,,,,-467.00M,-467.00M,-934.00M,-488.00M,,-488.00M,32.00M,-613.00M,-581.00M,,,,-189.00M,,4.00M,-1.254B,562.00M,-173.00M,2.00M,391.00M,,32.00M,0.00,-488.00M,-613.00M,149.00M,79.00M
2007-06,1.254B,-128.00M,167.00M,39.00M,203.00M,203.00M,188.00M,-869.00M,-11.00M,488.00M,-368.00M,,,,,,-235.00M,,1.057B,,,,,-512.00M,-258.00M,-770.00M,618.00M,,618.00M,106.00M,-649.00M,-543.00M,,,,-193.00M,,12.00M,-106.00M,378.00M,181.00M,3.00M,562.00M,,106.00M,1.475B,-857.00M,-649.00M,698.00M,86.00M
2007-03,1.086B,-14.00M,-167.00M,-181.00M,205.00M,205.00M,-188.00M,869.00M,-9.00M,-222.00M,17.00M,,,,,,-693.00M,,867.00M,,,,,-587.00M,102.00M,-485.00M,375.00M,,375.00M,54.00M,-724.00M,-670.00M,,,,-175.00M,,8.00M,-462.00M,459.00M,-80.00M,-1.00M,378.00M,,54.00M,986.00M,-611.00M,-724.00M,88.00M,75.00M
2006-12,1.189B,5.00M,-120.00M,-115.00M,201.00M,201.00M,168.00M,867.00M,-8.00M,326.00M,37.00M,,,,,,-972.00M,,1.656B,,,,,-20.00M,-13.00M,-33.00M,-760.00M,,-760.00M,127.00M,-736.00M,-609.00M,,,,-178.00M,,25.00M,-1.522B,357.00M,101.00M,1.00M,459.00M,,127.00M,0.00,-760.00M,-736.00M,,
2006-09,1.043B,-12.00M,-84.00M,-96.00M,213.00M,213.00M,150.00M,858.00M,-2.00M,97.00M,154.00M,,,,,,-556.00M,,1.707B,,,,,-1.045B,-252.00M,-1.297B,-42.00M,,-42.00M,31.00M,-137.00M,-106.00M,,,,-181.00M,,1.00M,-328.00M,274.00M,82.00M,1.00M,357.00M,,31.00M,0.00,-42.00M,-137.00M,,
2006-06,970.00M,-10.00M,-274.00M,-284.00M,197.00M,197.00M,44.00M,814.00M,-1.00M,206.00M,-358.00M,,,,,,-1.097B,,849.00M,,,,,-1.289B,-65.00M,-1.354B,786.00M,,786.00M,26.00M,-231.00M,-205.00M,,,,-182.00M,,4.00M,403.00M,373.00M,-102.00M,3.00M,274.00M,,26.00M,786.00M,0.00,-231.00M,,
2006-03,1.006B,6.00M,,6.00M,197.00M,197.00M,159.00M,800.00M,-5.00M,-481.00M,110.00M,,,,,,-1.12B,,562.00M,,,,,-832.00M,452.00M,-380.00M,-4.00M,,-4.00M,32.00M,-16.00M,16.00M,,,,-161.00M,,3.00M,-146.00M,337.00M,36.00M,0.00,373.00M,,32.00M,0.00,-4.00M,-16.00M,,
2005-12,178.00M,-33.00M,,-428.00M,192.00M,192.00M,-17.00M,829.00M,0.00,351.00M,25.00M,,,,,,-628.00M,0.00,477.00M,,,,,354.00M,-857.00M,-552.00M,107.00M,,107.00M,35.00M,-6.00M,29.00M,,,,-161.00M,,-3.00M,-28.00M,442.00M,-103.00M,-2.00M,337.00M,0.00,35.00M,400.00M,-293.00M,-6.00M,826.00M,337.00M
2005-09,75.00M,-39.00M,,-39.00M,113.00M,113.00M,-218.00M,830.00M,0.00,-174.00M,147.00M,,,,,,794.00M,0.00,1.381B,,,,,-2.273B,-285.00M,-2.506B,-41.00M,,-41.00M,510.00M,-13.00M,497.00M,,,,-160.00M,,,296.00M,738.00M,-297.00M,1.00M,442.00M,532.00M,510.00M,0.00,-41.00M,-13.00M,-371.00M,-179.00M
2005-06,931.00M,55.00M,,55.00M,236.00M,236.00M,625.00M,783.00M,0.00,-822.00M,-187.00M,,,,,,-1.105B,0.00,703.00M,,,,,-1.957B,220.00M,-1.745B,-479.00M,,-479.00M,29.00M,-6.00M,23.00M,,,,-157.00M,,-13.00M,-626.00M,541.00M,199.00M,-2.00M,738.00M,1.867B,29.00M,0.00,-479.00M,-6.00M,371.00M,179.00M
2005-03,877.00M,,,,150.00M,150.00M,110.00M,810.00M,0.00,150.00M,92.00M,,,,,,-1.069B,24.00M,1.052B,,,,,-832.00M,195.00M,-652.00M,-2.00M,,-2.00M,32.00M,-8.00M,24.00M,,,,-150.00M,,13.00M,-111.00M,262.00M,281.00M,-2.00M,541.00M,-8.00M,32.00M,,-2.00M,-8.00M,,
2004-12,271.00M,3.00M,,3.00M,174.00M,174.00M,-102.00M,827.00M,,-2.618B,102.00M,,,,,448.00M,307.00M,,1.188B,,,,-3.00M,-453.00M,-558.00M,-1.227B,94.00M,,94.00M,111.00M,-3.00M,108.00M,,,,-149.00M,,17.00M,46.00M,258.00M,-5.00M,9.00M,262.00M,,111.00M,94.00M,0.00,-3.00M,,
2004-09,311.00M,49.00M,,49.00M,252.00M,252.00M,-63.00M,820.00M,,820.00M,320.00M,,,,,86.00M,471.00M,,1.84B,,,,0.00,-2.574B,752.00M,-1.784B,137.00M,,137.00M,0.00,0.00,0.00,,,,-149.00M,,24.00M,12.00M,192.00M,68.00M,-2.00M,258.00M,,0.00,140.00M,-3.00M,0.00,,
