,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,-317.00M,,1.00M,9.00M,-4.00M,5.00M,,554.00M,12.00M,1.00M,15.00M,82.00M,-22.00M,0.00,-22.00M,,,37.00M,-7.00M,,345.00M,-144.00M,,-144.00M,-4.00M,,3.00M,-145.00M,400.00M,,400.00M,,0.00,0.00,0.00,0.00,-3.00M,397.00M,522.00M,597.00M,,1.119B,,,400.00M,,0.00,,
2020-06,-750.00M,,70.00M,152.00M,-20.00M,204.00M,,597.00M,-13.00M,0.00,13.00M,35.00M,82.00M,1.00M,-222.00M,,,62.00M,-77.00M,,9.00M,-326.00M,,-326.00M,3.00M,,19.00M,-304.00M,,,,,0.00,0.00,0.00,0.00,0.00,0.00,817.00M,-295.00M,0.00,522.00M,,,,,0.00,,
2020-03,-46.00M,,-202.00M,28.00M,-11.00M,-194.00M,,644.00M,-1.00M,97.00M,15.00M,35.00M,407.00M,-6.00M,-234.00M,,,-16.00M,151.00M,,701.00M,-620.00M,,-620.00M,7.00M,,2.00M,-611.00M,,,,,-92.00M,-92.00M,-40.00M,-40.00M,1.00M,-131.00M,858.00M,-41.00M,0.00,817.00M,,,,,-92.00M,,
2019-12,-20.00M,,44.00M,-8.00M,-1.00M,44.00M,,616.00M,0.00,0.00,15.00M,30.00M,151.00M,-1.00M,-23.00M,,,-112.00M,15.00M,,700.00M,-616.00M,,-616.00M,-280.00M,,2.00M,-894.00M,-2.00M,,-2.00M,,-66.00M,-66.00M,-40.00M,-40.00M,-5.00M,-113.00M,1.165B,-307.00M,0.00,858.00M,,,600.00M,,-66.00M,,
2019-09,165.00M,,-47.00M,14.00M,-10.00M,-65.00M,,622.00M,-1.00M,0.00,13.00M,23.00M,-4.00M,1.00M,-6.00M,,,-11.00M,-20.00M,,737.00M,-672.00M,,-672.00M,2.00M,,-125.00M,-795.00M,0.00,,0.00,,-30.00M,-30.00M,-40.00M,-40.00M,-2.00M,-72.00M,1.296B,-130.00M,-1.00M,1.165B,,,0.00,,-30.00M,,
2019-06,161.00M,,-16.00M,-2.00M,-16.00M,-26.00M,,605.00M,-2.00M,18.00M,18.00M,-3.00M,-22.00M,-1.00M,-56.00M,,,105.00M,26.00M,,797.00M,-647.00M,,-647.00M,37.00M,,45.00M,-565.00M,,,,,-236.00M,-236.00M,-41.00M,-41.00M,-1.00M,-278.00M,1.342B,-46.00M,0.00,1.296B,,,,,-236.00M,,
2019-03,174.00M,,91.00M,14.00M,-25.00M,38.00M,,554.00M,-31.00M,6.00M,14.00M,-83.00M,-73.00M,4.00M,-102.00M,,,14.00M,-157.00M,,515.00M,-615.00M,,-615.00M,12.00M,,39.00M,-564.00M,,,,,-30.00M,-30.00M,-41.00M,-41.00M,-1.00M,-72.00M,1.462B,-121.00M,1.00M,1.342B,,,,,-30.00M,,
2018-12,390.00M,,-310.00M,3.00M,-5.00M,-308.00M,,613.00M,-10.00M,25.00M,9.00M,47.00M,256.00M,10.00M,-155.00M,,,-22.00M,89.00M,,851.00M,-684.00M,,-684.00M,9.00M,,126.00M,-549.00M,,,,,-364.00M,-364.00M,-41.00M,-41.00M,1.00M,-404.00M,1.564B,-102.00M,0.00,1.462B,,,,,-364.00M,,
2018-09,254.00M,,70.00M,15.00M,-9.00M,60.00M,,626.00M,68.00M,8.00M,16.00M,-151.00M,-133.00M,6.00M,201.00M,,,8.00M,82.00M,,963.00M,-769.00M,,-769.00M,16.00M,,64.00M,-689.00M,,,,,-338.00M,-338.00M,-43.00M,-43.00M,4.00M,-377.00M,1.667B,-103.00M,0.00,1.564B,,,,,-338.00M,,
2018-06,96.00M,,152.00M,-5.00M,-17.00M,80.00M,,612.00M,25.00M,34.00M,14.00M,-29.00M,-126.00M,-8.00M,52.00M,,,17.00M,-65.00M,,767.00M,-638.00M,,-638.00M,2.00M,,-45.00M,-681.00M,,,,,-2.00M,-2.00M,-43.00M,-43.00M,16.00M,-29.00M,1.613B,57.00M,-3.00M,1.667B,,,,,-2.00M,,
