,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,64.76B,64.76B,49.57B,15.19B,,,,,395.00M,-395.00M,10.17B,10.89B,4.30B,395.00M,-395.00M,351.00M,-395.00M,4.256B,1.00B,3.256B,-84.00M,,3.172B,2.903B,5.37B,719.00M,4.651B,3.34,,,3.057,3.34,3.3,,,3.0210000000000004,3.3,950.00M,962.00M,1.25
2020-06,61.80B,61.80B,42.18B,19.62B,,,,,430.00M,-430.00M,10.00B,10.72B,8.90B,430.00M,-430.00M,341.00M,-430.00M,8.811B,2.115B,6.696B,-59.00M,,6.637B,6.378B,9.958B,717.00M,9.241B,6.99,,,6.7170000000000005,6.99,6.91,,,6.64,6.91,949.00M,960.00M,1.25
2020-03,64.06B,64.06B,48.69B,15.37B,,,,,437.00M,-437.00M,10.02B,10.74B,4.631B,437.00M,-437.00M,365.00M,-437.00M,4.559B,1.094B,3.465B,-83.00M,,3.382B,3.105B,5.719B,723.00M,4.996B,3.56,,,3.2680000000000002,3.56,3.52,,,3.2319999999999998,3.52,949.00M,962.00M,1.08
2019-12,60.47B,60.47B,45.79B,14.68B,,,,,437.00M,-437.00M,9.301B,10.02B,4.662B,437.00M,-437.00M,433.00M,-437.00M,4.658B,990.00M,3.668B,-127.00M,,3.541B,3.200B,5.813B,718.00M,5.095B,3.735,,,3.3760000000000003,3.735,3.68,,,3.326,3.68,948.00M,963.00M,1.08
2019-09,59.88B,59.88B,45.67B,14.22B,,,,,449.00M,-449.00M,8.96B,9.669B,4.548B,449.00M,-449.00M,466.00M,-449.00M,4.565B,936.00M,3.629B,-91.00M,,3.538B,3.168B,5.723B,709.00M,5.014B,3.73,,,3.34,3.73,3.67,,,3.285,3.67,949.00M,963.00M,1.08
2019-06,60.01B,60.01B,46.78B,13.23B,,,,,418.00M,-418.00M,8.415B,9.069B,4.162B,418.00M,-418.00M,582.00M,-418.00M,4.326B,941.00M,3.385B,-92.00M,,3.293B,2.838B,5.398B,654.00M,4.744B,3.47,,,2.991,3.47,3.42,,,2.948,3.42,950.00M,964.00M,1.08
2019-03,59.90B,59.90B,46.32B,13.58B,,,,,400.00M,-400.00M,8.517B,9.156B,4.427B,400.00M,-400.00M,405.00M,-400.00M,4.432B,875.00M,3.557B,-90.00M,,3.467B,3.142B,5.471B,639.00M,4.832B,3.62,,,3.281,3.62,3.56,,,3.2260000000000004,3.56,958.00M,975.00M,0.9
2018-12,58.08B,58.08B,44.58B,13.50B,,,,,374.00M,-374.00M,8.703B,9.34B,4.156B,374.00M,-374.00M,341.00M,-374.00M,4.123B,959.00M,3.164B,-124.00M,,3.04B,2.778B,5.134B,637.00M,4.497B,3.167,,,2.895,3.167,3.1,,,2.833,3.1,963.00M,980.00M,0.9
2018-09,56.17B,56.17B,42.88B,13.30B,,,,,353.00M,-353.00M,8.479B,9.09B,4.208B,353.00M,-353.00M,382.00M,-353.00M,4.237B,953.00M,3.284B,-96.00M,,3.188B,2.892B,5.201B,611.00M,4.59B,3.31,,,3.002,3.31,3.24,,,2.9389999999999996,3.24,962.00M,983.00M,0.9
2018-06,55.73B,55.73B,42.90B,12.83B,,,,,344.00M,-344.00M,8.386B,8.984B,3.849B,344.00M,-344.00M,355.00M,-344.00M,3.86B,850.00M,3.01B,-88.00M,,2.922B,2.645B,4.802B,598.00M,4.204B,3.04,,,2.752,3.04,2.98,,,2.698,2.98,961.00M,982.00M,0.9
