,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-09,16.27B,3.525B,19.79B,8.638B,6.826B,15.46B,2.581B,,3.082B,40.92B,,,,,,,6.562B,53.40B,8.457B,61.86B,27.70B,3.387B,99.51B,140.43B,33.84B,,33.84B,,33.84B,4.539B,4.539B,6.635B,6.635B,13.07B,58.09B,24.72B,24.72B,2.697B,2.697B,,2.012B,2.17B,5.444B,35.03B,93.12B,10.00M,45.84B,1.801B,,,,-2.353B,45.30B
2017-06,14.58B,3.388B,17.97B,10.54B,7.232B,17.77B,2.522B,,2.977B,41.24B,,,,,,,6.324B,52.50B,8.338B,60.84B,26.40B,3.301B,96.86B,138.10B,32.22B,,32.22B,,32.22B,5.739B,5.739B,6.115B,6.115B,13.04B,57.12B,26.20B,26.20B,2.844B,2.844B,,2.175B,1.657B,4.942B,35.64B,92.76B,10.00M,44.08B,1.661B,,,,-2.591B,43.16B
2017-03,16.14B,3.21B,19.35B,9.595B,6.609B,16.20B,2.547B,,2.886B,40.99B,,,,,,,6.329B,52.38B,8.618B,60.99B,25.76B,3.085B,96.17B,137.16B,31.12B,,31.12B,,31.12B,7.747B,7.747B,6.475B,6.475B,12.20B,57.54B,26.15B,26.15B,2.894B,2.894B,,2.092B,1.667B,4.904B,35.62B,93.16B,10.00M,42.52B,1.819B,,,,-2.447B,41.90B
2016-12,10.43B,2.845B,13.28B,8.152B,7.908B,15.65B,1.848B,,3.105B,33.88B,0.0,324.00M,3.148B,6.178B,9.65B,-3.749B,5.901B,47.58B,8.541B,56.12B,23.87B,3.037B,88.93B,122.81B,29.75B,,29.75B,,29.75B,7.193B,7.193B,1.968B,1.968B,10.34B,49.25B,25.78B,25.78B,2.761B,2.761B,,-97.00M,2.012B,4.831B,35.38B,84.63B,10.00M,40.94B,,,,,-2.681B,38.27B
2016-09,12.80B,2.871B,15.67B,7.347B,7.502B,14.85B,2.30B,,2.952B,35.77B,,,,,,,5.524B,47.18B,8.719B,55.90B,23.32B,3.124B,87.87B,123.64B,29.49B,,29.49B,,29.49B,7.202B,7.202B,5.73B,5.73B,8.67B,51.10B,26.02B,26.02B,2.492B,2.492B,,-98.00M,1.937B,4.541B,34.99B,86.09B,10.00M,39.94B,,,,,-2.303B,37.65B
2016-06,8.217B,2.757B,10.97B,9.346B,7.355B,16.70B,2.768B,,2.855B,33.30B,,,,,,,5.189B,46.88B,8.878B,55.76B,22.21B,3.146B,86.30B,119.60B,31.00B,,31.00B,,31.00B,6.364B,6.364B,1.567B,1.567B,8.447B,47.38B,26.83B,26.83B,2.857B,2.857B,,-99.00M,1.744B,4.505B,35.94B,83.32B,10.00M,38.58B,0.00,,,,-2.203B,36.39B
2016-03,10.60B,2.418B,13.01B,7.777B,6.865B,14.64B,3.211B,,2.878B,33.74B,,,,,,,4.976B,46.29B,8.861B,55.16B,20.90B,3.084B,84.11B,117.86B,29.56B,,29.56B,,29.56B,6.504B,6.504B,1.901B,1.901B,8.317B,46.28B,27.22B,27.22B,3.066B,3.066B,,-102.00M,1.824B,4.395B,36.50B,82.79B,10.00M,37.96B,0.00,,,,-2.804B,35.17B
2015-12,10.92B,1.988B,12.91B,6.523B,6.801B,13.32B,2.406B,,2.998B,31.64B,0.0,237.00M,2.42B,5.377B,8.034B,-3.173B,4.861B,44.45B,8.391B,52.84B,18.79B,3.118B,79.62B,111.25B,26.32B,,26.32B,,26.32B,6.634B,6.634B,2.142B,2.142B,7.798B,42.90B,25.33B,25.33B,3.587B,3.587B,,-105.00M,1.736B,3.977B,34.63B,77.53B,10.00M,37.12B,29.00M,,,,-3.334B,33.83B
2015-09,7.983B,1.942B,9.925B,6.752B,7.667B,14.42B,1.973B,670.00M,2.948B,29.94B,,,,,,,4.532B,43.68B,8.405B,52.08B,18.54B,3.185B,78.34B,108.27B,25.21B,,25.21B,,25.21B,5.767B,5.767B,1.731B,1.731B,7.249B,39.95B,26.02B,26.02B,3.593B,3.593B,,8.00M,1.571B,4.018B,35.20B,75.15B,10.00M,36.38B,69.00M,,,,-3.347B,33.11B
2015-06,7.887B,1.915B,9.802B,6.034B,6.16B,12.19B,2.193B,514.00M,2.863B,27.57B,,,,,,,4.473B,34.15B,3.316B,37.47B,19.00B,2.918B,63.86B,91.42B,24.77B,,24.77B,,24.77B,2.693B,2.693B,1.508B,1.508B,6.772B,35.74B,15.38B,15.38B,1.877B,1.877B,,,1.615B,3.792B,22.66B,58.40B,10.00M,35.26B,55.00M,,,,-2.307B,33.02B
2015-03,8.65B,1.78B,10.43B,5.04B,5.346B,10.39B,2.632B,405.00M,2.921B,26.77B,,,,,,,4.245B,32.78B,3.441B,36.22B,19.42B,3.061B,62.94B,89.72B,24.06B,,24.06B,,24.06B,2.797B,2.797B,1.734B,1.734B,6.392B,34.98B,15.58B,15.58B,2.056B,2.056B,,,1.452B,3.778B,22.86B,57.84B,10.00M,34.15B,,,,,-2.285B,31.88B
2014-12,7.495B,1.741B,9.236B,4.252B,5.498B,9.75B,1.052B,556.00M,2.962B,23.56B,0.0,310.00M,2.295B,4.767B,7.372B,-2.954B,4.418B,32.94B,3.669B,36.61B,18.83B,2.972B,62.83B,86.38B,21.29B,,21.29B,,21.29B,1.399B,1.399B,1.972B,1.972B,5.965B,30.62B,16.01B,16.01B,2.065B,2.065B,,0.00,1.388B,3.845B,23.30B,53.93B,10.00M,33.84B,0.00,,,,-1.392B,32.45B
2014-09,7.233B,1.979B,9.212B,3.826B,5.189B,9.015B,1.361B,520.00M,2.855B,22.96B,,,,,,,4.309B,32.36B,3.579B,35.94B,19.35B,2.872B,62.46B,85.43B,20.72B,,20.72B,,20.72B,2.925B,2.925B,1.691B,1.691B,5.792B,31.13B,14.59B,14.59B,1.901B,1.901B,,,1.386B,3.813B,21.69B,52.82B,10.00M,33.58B,,,,,-984.00M,32.60B
2014-06,6.412B,1.877B,8.289B,5.383B,4.041B,9.424B,1.851B,496.00M,2.791B,22.85B,,,,,,,4.267B,32.46B,3.791B,36.25B,19.27B,2.821B,62.62B,85.47B,21.93B,,21.93B,,21.93B,2.117B,2.117B,1.482B,1.482B,5.247B,30.78B,14.63B,14.63B,2.011B,2.011B,,,1.303B,3.811B,21.76B,52.53B,10.00M,33.22B,,,,,-290.00M,32.94B
2014-03,7.514B,1.869B,9.383B,4.202B,3.624B,7.826B,2.056B,319.00M,2.78B,22.36B,,,,,,,4.065B,32.15B,3.867B,36.02B,19.38B,2.799B,62.26B,84.62B,21.39B,,21.39B,,21.39B,2.241B,2.241B,1.838B,1.838B,5.247B,30.72B,14.52B,14.52B,1.831B,1.831B,,,1.268B,3.734B,21.36B,52.07B,10.00M,33.11B,,,,,-573.00M,32.55B
2013-12,7.276B,1.937B,9.213B,3.052B,3.998B,7.05B,930.00M,430.00M,2.757B,20.38B,0.0,318.00M,2.051B,4.316B,6.685B,-2.675B,4.01B,31.60B,3.844B,35.45B,19.60B,2.439B,61.50B,81.88B,19.03B,,19.03B,,19.03B,1.969B,1.969B,1.60B,1.60B,5.279B,27.88B,14.89B,14.89B,1.796B,1.796B,,,1.175B,3.99B,21.85B,49.73B,10.00M,33.05B,,,,,-908.00M,32.15B
2013-09,8.286B,2.433B,10.72B,2.853B,3.772B,6.625B,790.00M,366.00M,2.694B,21.19B,,,,,,,3.829B,31.75B,4.019B,35.77B,18.78B,2.287B,60.67B,81.86B,18.96B,,18.96B,,18.96B,1.895B,1.895B,1.525B,1.525B,5.484B,27.87B,14.89B,14.89B,1.881B,1.881B,,,1.13B,4.081B,21.98B,49.85B,10.00M,32.59B,0.00,,,,-587.00M,32.02B
2013-06,7.654B,2.443B,10.10B,3.674B,3.02B,6.694B,848.00M,366.00M,2.613B,20.62B,,,,,,,3.785B,31.43B,4.079B,35.51B,17.98B,2.316B,59.58B,80.20B,18.90B,,18.90B,,18.90B,1.086B,1.086B,1.242B,1.242B,5.176B,26.40B,15.54B,15.54B,2.076B,2.076B,,,769.00M,4.027B,22.42B,48.82B,10.00M,31.91B,0.00,,,,-535.00M,31.38B
2013-03,10.04B,3.019B,13.06B,3.185B,2.614B,5.799B,866.00M,336.00M,2.659B,22.72B,,,,,,,3.945B,31.81B,4.309B,36.12B,18.00B,2.347B,60.41B,83.13B,18.28B,,18.28B,,18.28B,2.39B,2.39B,1.386B,1.386B,5.122B,27.18B,15.66B,15.66B,2.321B,2.321B,,,2.188B,4.018B,24.19B,51.37B,10.00M,31.36B,0.00,,,,388.00M,31.76B
2012-12,8.406B,3.031B,11.44B,2.709B,2.889B,5.598B,781.00M,463.00M,2.773B,21.05B,0.0,358.00M,1.91B,4.235B,6.503B,-2.564B,3.939B,31.29B,4.682B,35.97B,17.71B,2.215B,59.83B,80.88B,17.99B,,17.99B,,17.99B,2.713B,2.713B,1.505B,1.505B,4.91B,27.12B,14.04B,14.04B,2.45B,2.45B,,,2.121B,3.979B,22.59B,49.71B,10.00M,30.66B,66.00M,,,,438.00M,31.18B
2012-09,8.916B,3.038B,11.95B,2.403B,2.145B,4.548B,678.00M,414.00M,2.737B,20.33B,,,,,,,2.619B,26.34B,3.049B,29.39B,17.23B,2.135B,51.37B,71.70B,10.39B,6.579B,16.97B,,16.97B,1.852B,1.852B,1.186B,1.186B,4.843B,24.85B,13.59B,13.59B,3.033B,3.033B,,,,,16.62B,41.48B,10.00M,29.64B,,,,,575.00M,30.22B
2012-06,11.58B,2.852B,14.43B,2.648B,1.887B,4.535B,673.00M,461.00M,2.628B,22.73B,,,,,,,2.589B,26.19B,3.141B,29.33B,16.70B,2.119B,50.74B,73.46B,10.49B,6.46B,16.95B,,16.95B,1.461B,1.461B,3.853B,3.853B,5.358B,27.62B,13.60B,13.60B,2.87B,2.87B,,,,,16.47B,44.09B,10.00M,28.90B,,,,,469.00M,29.38B
2012-03,11.66B,2.665B,14.33B,2.688B,1.978B,4.666B,698.00M,432.00M,2.568B,22.69B,,,,,,,2.56B,25.75B,3.103B,28.86B,16.49B,2.091B,50.00B,72.69B,10.22B,6.197B,16.42B,,16.42B,1.771B,1.771B,3.816B,3.816B,5.457B,27.46B,13.53B,13.53B,2.845B,2.845B,,,,,16.37B,43.83B,10.00M,28.39B,,,,,458.00M,28.86B
2011-12,9.429B,2.577B,12.01B,2.294B,2.255B,4.549B,615.00M,472.00M,2.708B,20.35B,0.0,45.00M,1.052B,3.858B,4.955B,-2.44B,2.515B,23.98B,2.795B,26.77B,16.17B,2.088B,47.54B,67.89B,16.65B,,16.65B,,16.65B,982.00M,982.00M,1.225B,1.225B,5.063B,23.92B,10.66B,10.66B,1.351B,1.351B,,,0.00,3.668B,15.68B,39.60B,10.00M,27.82B,0.00,,,,461.00M,28.29B
2011-09,13.68B,2.698B,16.38B,2.234B,2.142B,4.376B,666.00M,492.00M,2.597B,24.51B,,,,,,,2.388B,23.72B,2.855B,26.58B,15.40B,2.038B,46.40B,70.91B,9.448B,6.643B,16.09B,,16.09B,2.364B,2.364B,3.631B,3.631B,6.532B,28.62B,12.00B,12.00B,2.422B,2.422B,,,,,14.42B,43.04B,11.00M,27.46B,,,,,397.00M,27.87B
2011-06,9.775B,2.532B,12.31B,2.851B,1.961B,4.812B,647.00M,153.00M,2.51B,20.43B,,,,,,,2.302B,23.42B,2.878B,26.30B,14.94B,2.148B,45.69B,66.12B,9.521B,6.373B,15.89B,,15.89B,1.689B,1.689B,1.474B,1.474B,5.317B,24.37B,11.89B,11.89B,2.488B,2.488B,,,,,14.38B,38.75B,11.00M,27.02B,,,,,332.00M,27.36B
2011-03,9.79B,2.36B,12.15B,2.495B,1.827B,4.322B,641.00M,235.00M,2.47B,19.82B,,,,,,,2.189B,23.39B,2.893B,26.29B,14.93B,2.11B,45.52B,65.34B,9.543B,6.382B,15.92B,,15.92B,2.286B,2.286B,1.382B,1.382B,4.934B,24.53B,11.80B,11.80B,2.436B,2.436B,,,,,14.24B,38.76B,11.00M,26.35B,,,,,207.00M,26.57B
2010-12,9.123B,2.072B,11.20B,2.061B,1.643B,3.704B,541.00M,403.00M,2.55B,18.39B,0.0,38.00M,764.00M,4.177B,4.979B,-2.779B,2.20B,22.74B,2.91B,25.66B,14.71B,2.108B,44.67B,63.06B,9.22B,6.488B,15.71B,,15.71B,2.48B,2.48B,1.533B,1.533B,3.979B,23.70B,11.02B,11.02B,2.515B,2.515B,,,,,13.54B,37.24B,11.00M,25.56B,,,,,252.00M,25.82B
2010-09,9.577B,1.426B,11.00B,2.082B,1.708B,3.79B,450.00M,505.00M,2.508B,18.26B,,,,,,,2.033B,22.86B,3.008B,25.86B,14.75B,2.122B,44.77B,63.02B,,,16.33B,,16.33B,2.929B,2.929B,1.11B,1.11B,4.074B,24.44B,8.076B,8.076B,,,,,,4.894B,12.97B,37.41B,11.00M,25.11B,,491.00M,,,491.00M,25.61B
2010-06,9.983B,1.09B,11.07B,2.766B,1.81B,4.576B,501.00M,391.00M,2.441B,18.98B,,,,,,,2.069B,20.98B,2.257B,23.24B,14.02B,2.112B,41.44B,60.42B,,,15.54B,,15.54B,2.676B,2.676B,992.00M,992.00M,3.891B,23.10B,8.036B,8.036B,,,,,,4.456B,12.49B,35.60B,11.00M,24.46B,,353.00M,,,353.00M,24.83B
2010-03,9.92B,1.155B,11.08B,2.309B,1.664B,3.973B,595.00M,335.00M,2.401B,18.38B,,,,,,,2.07B,20.83B,2.297B,23.13B,13.84B,2.13B,41.16B,59.54B,,,15.67B,,15.67B,2.522B,2.522B,1.144B,1.144B,3.61B,22.94B,8.001B,8.001B,,,,,,4.279B,12.28B,35.22B,11.00M,24.06B,,252.00M,,,252.00M,24.32B
2009-12,9.80B,1.239B,11.04B,1.954B,1.838B,3.792B,538.00M,448.00M,2.383B,18.20B,0.0,32.00M,662.00M,4.184B,4.878B,-2.738B,2.14B,20.73B,2.381B,23.11B,13.31B,2.286B,40.84B,59.04B,9.362B,6.283B,15.64B,,15.64B,2.164B,2.164B,1.217B,1.217B,3.137B,22.16B,11.33B,11.33B,1.942B,1.942B,,,,,13.28B,35.44B,11.00M,23.34B,,,,,253.00M,23.61B
2009-09,9.535B,966.00M,10.50B,1.957B,1.617B,3.574B,475.00M,415.00M,2.339B,17.30B,,,,,,,2.054B,20.36B,2.33B,22.69B,13.23B,2.168B,40.14B,57.45B,,,15.35B,,15.35B,500.00M,500.00M,1.051B,1.051B,2.845B,19.74B,13.00B,13.00B,1.809B,1.809B,,,,,14.81B,34.55B,12.00M,22.48B,81.00M,329.00M,,,329.00M,22.90B
2009-06,7.247B,908.00M,8.155B,2.705B,1.521B,4.226B,758.00M,321.00M,2.224B,15.68B,,,,,,,2.08B,20.36B,2.397B,22.76B,13.16B,2.208B,40.21B,55.89B,,,14.81B,,14.81B,1.012B,1.012B,976.00M,976.00M,2.854B,19.65B,10.71B,10.71B,1.69B,1.69B,,,,2.296B,14.69B,34.34B,11.00M,21.44B,0.00,113.00M,-19.00M,,94.00M,21.54B
2009-03,7.887B,958.00M,8.845B,2.30B,1.888B,4.188B,500.00M,403.00M,2.187B,16.12B,,,,,,,2.106B,20.08B,2.30B,22.38B,13.25B,2.228B,39.96B,56.08B,,,14.97B,,14.97B,514.00M,514.00M,1.078B,1.078B,2.988B,19.55B,11.22B,11.22B,1.647B,1.647B,,,,2.291B,15.16B,34.71B,12.00M,21.36B,0.00,34.00M,-28.00M,,6.00M,21.38B
2008-12,7.426B,783.00M,8.209B,1.929B,1.715B,3.644B,514.00M,424.00M,2.199B,14.99B,0.0,32.00M,595.00M,3.917B,4.544B,-2.363B,2.181B,20.09B,2.329B,22.42B,13.37B,2.861B,40.82B,55.82B,8.664B,5.685B,14.35B,,14.35B,1.456B,1.456B,,,3.956B,19.76B,11.34B,11.34B,1.65B,1.65B,,,,2.286B,15.27B,35.04B,12.00M,20.78B,38.00M,,-22.00M,-30.00M,-52.00M,20.78B
2008-09,6.081B,719.00M,6.80B,1.873B,,1.873B,,354.00M,3.932B,12.96B,,,,,,,2.246B,20.05B,2.416B,22.47B,13.59B,2.446B,40.75B,53.71B,,,13.10B,,13.10B,1.938B,1.938B,,,4.599B,19.63B,10.88B,10.88B,1.449B,1.449B,1.864B,,,,14.19B,33.82B,12.00M,20.06B,0.00,-182.00M,,,-182.00M,19.88B
2008-06,5.273B,816.00M,6.089B,2.35B,,2.35B,,380.00M,4.436B,13.26B,,,,,,,2.257B,20.06B,2.482B,22.54B,13.70B,2.411B,40.91B,54.17B,,,13.28B,,13.28B,1.929B,1.929B,,,4.78B,19.99B,11.22B,11.22B,1.695B,1.695B,1.86B,,,,14.78B,34.76B,12.00M,19.43B,0.00,-35.00M,,,-35.00M,19.40B
2008-03,6.275B,765.00M,7.04B,1.934B,,1.934B,,346.00M,4.447B,13.77B,,,,,2.203B,,2.203B,19.31B,2.456B,21.76B,13.34B,2.465B,39.78B,53.54B,,,12.27B,,12.27B,1.727B,1.727B,,,4.788B,18.78B,11.50B,11.50B,1.652B,1.652B,,,,1.854B,15.00B,33.78B,12.00M,19.62B,0.00,,,,126.00M,19.76B
2007-12,8.865B,754.00M,9.619B,1.574B,1.326B,2.90B,429.00M,386.00M,2.21B,15.54B,0.0,37.00M,511.00M,3.151B,3.699B,-1.578B,2.121B,16.85B,1.737B,18.59B,12.67B,1.976B,35.36B,50.90B,8.331B,3.654B,11.98B,,11.98B,1.946B,1.946B,,,4.561B,18.49B,9.063B,9.063B,1.432B,1.432B,,,,1.849B,12.34B,30.84B,13.00M,18.93B,1.023B,,0.00,98.00M,98.00M,20.06B
2007-09,10.35B,771.00M,11.12B,1.318B,,1.318B,,521.00M,3.879B,16.84B,,,,,1.999B,,1.999B,16.91B,1.777B,18.69B,10.95B,1.971B,33.60B,50.44B,,,12.46B,,12.46B,1.162B,1.162B,,,6.01B,19.63B,6.965B,6.965B,1.343B,1.343B,,,,1.839B,10.15B,29.78B,13.00M,17.71B,2.916B,,,,22.00M,20.66B
2007-06,13.03B,866.00M,13.90B,1.536B,,1.536B,,595.00M,3.924B,19.95B,,,,,1.953B,,1.953B,16.91B,1.814B,18.73B,10.56B,1.965B,33.20B,53.15B,,,12.74B,,12.74B,1.465B,1.465B,,,7.756B,21.96B,6.964B,6.964B,1.332B,1.332B,,,,1.83B,10.13B,32.09B,13.00M,16.43B,4.684B,,,,-62.00M,21.06B
2007-03,12.06B,796.00M,12.86B,1.311B,,1.311B,,583.00M,3.658B,18.41B,,,,,1.884B,,1.884B,16.89B,1.845B,18.73B,10.02B,1.961B,32.60B,51.01B,,,12.14B,,12.14B,1.581B,1.581B,,,7.566B,21.28B,5.473B,5.473B,1.356B,1.356B,,,,1.83B,8.659B,29.94B,13.00M,15.24B,5.788B,,,,24.00M,21.07B
2006-12,10.32B,620.00M,10.94B,1.323B,,1.323B,,561.00M,3.22B,16.04B,,,,,3.109B,-1.215B,1.894B,16.82B,1.904B,18.73B,9.642B,2.014B,32.28B,48.32B,8.076B,3.713B,11.79B,,11.79B,1.483B,1.483B,,,5.225B,18.50B,5.973B,5.973B,1.19B,1.19B,,,,1.85B,9.013B,27.51B,13.00M,14.38B,6.406B,,,,15.00M,20.81B
2006-09,9.252B,673.00M,9.925B,1.218B,,1.218B,,568.00M,3.285B,15.00B,,,,,1.721B,,1.721B,16.67B,1.966B,18.63B,9.152B,1.922B,31.43B,46.42B,,,11.90B,,11.90B,1.447B,1.447B,,,4.708B,18.05B,5.878B,5.878B,1.173B,1.173B,,,,1.821B,8.872B,26.92B,13.00M,13.20B,6.269B,,,,17.00M,19.50B
2006-06,9.472B,584.00M,10.06B,1.35B,,1.35B,,627.00M,3.445B,15.48B,,,,,1.666B,,1.666B,16.62B,2.005B,18.62B,8.937B,1.932B,31.16B,46.64B,,,11.97B,,11.97B,939.00M,939.00M,,,6.355B,19.27B,6.426B,6.426B,1.106B,1.106B,,,,1.799B,9.331B,28.60B,13.00M,12.09B,6.029B,,,,,18.04B
