,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.283B,,1.283B,2.068B,,2.068B,709.00M,,,4.06B,,,,,64.60B,64.60B,-30.41B,34.20B,29.55B,73.79B,103.34B,2.597B,140.13B,144.19B,728.00M,585.00M,,1.313B,6.518B,7.831B,1.715B,1.715B,233.00M,1.948B,477.00M,477.00M,,10.26B,77.95B,,77.95B,17.93B,,17.93B,6.806B,,4.349B,100.22B,110.48B,0.00,2.016B,31.76B,6.868B,0.00,26.91B
2020-06,2.097B,,2.097B,1.994B,,1.994B,674.00M,,,4.765B,,,,,63.21B,63.21B,-29.14B,34.07B,29.55B,74.23B,103.78B,2.512B,140.37B,145.14B,667.00M,582.00M,,1.249B,6.493B,7.742B,706.00M,706.00M,223.00M,929.00M,471.00M,471.00M,,9.142B,77.66B,,77.66B,17.79B,,17.79B,7.045B,,4.141B,99.59B,108.74B,0.00,1.202B,31.66B,3.507B,0.00,29.36B
2020-03,2.908B,,2.908B,2.091B,,2.091B,760.00M,,,5.759B,,,,,63.13B,63.13B,-29.04B,34.10B,29.55B,74.71B,104.26B,2.434B,140.79B,146.55B,733.00M,511.00M,,1.244B,6.371B,7.615B,4.905B,4.905B,218.00M,5.123B,477.00M,477.00M,,13.22B,74.79B,,74.79B,17.66B,,17.66B,7.094B,,4.163B,96.62B,109.83B,0.00,436.00M,31.54B,2.352B,0.00,29.63B
2019-12,3.483B,,3.483B,2.227B,,2.227B,761.00M,,,6.471B,0.0,,4.843B,57.40B,1.092B,63.34B,-27.66B,35.68B,29.55B,75.22B,104.77B,1.263B,141.72B,148.19B,786.00M,537.00M,,1.323B,6.888B,8.211B,3.50B,3.50B,214.00M,3.714B,460.00M,460.00M,,12.38B,75.58B,979.00M,76.56B,17.71B,,17.71B,7.366B,,2.724B,96.99B,109.38B,0.00,40.00M,31.40B,,0.00,31.44B
2019-09,508.00M,,508.00M,2.284B,,2.284B,596.00M,,,3.388B,,,,,61.69B,61.69B,-26.36B,35.32B,29.55B,75.73B,105.28B,1.273B,141.88B,145.27B,663.00M,575.00M,,1.238B,6.499B,7.737B,3.509B,3.509B,210.00M,3.719B,526.00M,526.00M,,11.98B,71.39B,991.00M,72.38B,17.61B,,17.61B,7.548B,,2.773B,92.76B,104.74B,0.00,3.734B,33.81B,4.568B,-2.00M,32.97B
2019-06,696.00M,,696.00M,2.07B,,2.07B,574.00M,,,3.34B,,,,,60.64B,60.64B,-25.00B,35.64B,29.55B,76.23B,105.79B,1.316B,142.74B,146.08B,790.00M,543.00M,,1.333B,6.423B,7.756B,1.522B,1.522B,208.00M,1.73B,389.00M,389.00M,,9.875B,71.78B,1.052B,72.84B,17.52B,,17.52B,7.808B,,2.758B,93.12B,102.99B,0.00,3.347B,33.74B,1.801B,-2.00M,35.29B
2019-03,1.451B,,1.451B,1.578B,,1.578B,722.00M,,,3.751B,,,,,60.57B,60.57B,-24.61B,35.96B,29.55B,76.78B,106.34B,1.211B,143.51B,147.26B,661.00M,490.00M,,1.151B,6.575B,7.726B,3.532B,3.532B,205.00M,3.737B,487.00M,487.00M,,11.95B,70.57B,981.00M,71.55B,17.47B,,17.47B,7.909B,,2.643B,91.66B,103.61B,0.00,3.033B,33.64B,940.00M,-2.00M,35.73B
2018-12,551.00M,,551.00M,1.733B,,1.733B,446.00M,,,2.73B,0.0,,4.36B,53.84B,,58.20B,-23.08B,35.13B,29.55B,77.36B,106.91B,1.36B,143.40B,146.13B,758.00M,526.00M,,1.284B,7.027B,8.311B,3.29B,3.29B,0.00,3.29B,494.00M,494.00M,,12.10B,69.54B,0.00,69.54B,17.39B,,17.39B,7.987B,,2.837B,89.76B,101.86B,0.00,2.78B,33.51B,,-2.00M,36.28B
2018-09,612.00M,,612.00M,1.736B,,1.736B,381.00M,,,2.729B,,,,,56.25B,56.25B,-21.51B,34.74B,29.55B,77.93B,107.48B,1.133B,143.36B,146.08B,604.00M,575.00M,,1.179B,6.834B,8.013B,3.339B,3.339B,,3.339B,498.00M,498.00M,,11.85B,69.14B,,69.14B,17.42B,,17.42B,8.123B,,2.451B,89.01B,100.86B,0.00,4.828B,35.49B,3.214B,-2.00M,37.10B
2018-06,773.00M,,773.00M,1.619B,,1.619B,358.00M,,,2.75B,,,,,54.46B,54.46B,-20.05B,34.41B,29.55B,78.47B,108.02B,1.066B,143.50B,146.25B,732.00M,558.00M,,1.29B,6.861B,8.151B,5.387B,5.387B,,5.387B,486.00M,486.00M,,14.02B,66.73B,,66.73B,17.38B,,17.38B,8.199B,,2.479B,86.58B,100.61B,0.00,4.307B,35.42B,2.281B,-2.00M,37.44B
