,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,204.00M,-7.00M,,,28.00M,8.00M,29.00M,320.00M,320.00M,-17.00M,,208.00M,35.00M,9.00M,11.00M,,,-71.00M,-16.00M,,735.00M,2020-09,-119.00M,0.00,0.00,250.00M,,3.00M,134.00M,,-765.00M,26.00M,-739.00M,,-1.00M,-1.00M,,,,-202.00M,-202.00M,-100.00M,,2020-09,847.00M,-171.00M,678.00M,,2020-09,2.00M,,113.00M,-878.00M,,2020-09,AOR,
2020-06,266.00M,8.00M,,,-72.00M,5.00M,-59.00M,312.00M,312.00M,-23.00M,,-39.00M,203.00M,5.00M,6.00M,,,73.00M,287.00M,,890.00M,2020-06,-252.00M,2.00M,2.00M,-64.00M,,15.00M,-299.00M,,-762.00M,-1.00M,-763.00M,,0.00,0.00,,,,-201.00M,-201.00M,-18.00M,,2020-06,1.239B,-395.00M,847.00M,,2020-06,-4.00M,,19.00M,-781.00M,,2020-06,AOR,
2020-03,-141.00M,311.00M,,,31.00M,11.00M,353.00M,323.00M,323.00M,35.00M,,174.00M,-140.00M,60.00M,-43.00M,,,23.00M,-100.00M,,649.00M,2020-03,-286.00M,1.00M,1.00M,250.00M,,,-35.00M,,424.00M,-9.00M,415.00M,,-41.00M,-41.00M,,,,-202.00M,-202.00M,-7.00M,,2020-03,511.00M,770.00M,1.239B,,2020-03,-9.00M,,560.00M,-136.00M,,2020-03,AOR,
2019-12,166.00M,52.00M,,,-29.00M,23.00M,46.00M,343.00M,343.00M,144.00M,,50.00M,74.00M,8.00M,162.00M,,,-78.00M,166.00M,,928.00M,2019-12,-363.00M,3.00M,3.00M,60.00M,,-6.00M,-306.00M,,-582.00M,-37.00M,-619.00M,,0.00,0.00,,,,-201.00M,-201.00M,-22.00M,,2019-12,697.00M,-201.00M,511.00M,,2019-12,19.00M,,153.00M,-735.00M,,2019-12,AOR,
2019-09,342.00M,8.00M,,,-27.00M,23.00M,4.00M,327.00M,327.00M,18.00M,,104.00M,130.00M,-57.00M,-45.00M,,,50.00M,78.00M,,882.00M,2019-09,-285.00M,11.00M,11.00M,0.00,,-5.00M,-279.00M,,-383.00M,-15.00M,-398.00M,,-75.00M,-75.00M,,,,-197.00M,-197.00M,-1.00M,,2019-09,787.00M,-66.00M,697.00M,,2019-09,2.00M,,-63.00M,-320.00M,,2019-09,AOR,Restated
2019-06,286.00M,152.00M,,,-80.00M,21.00M,93.00M,321.00M,321.00M,28.00M,,9.00M,33.00M,70.00M,-6.00M,,,-12.00M,85.00M,,1.067B,2019-06,-335.00M,1.00M,1.00M,-82.00M,,-5.00M,-421.00M,,-74.00M,11.00M,-63.00M,,-231.00M,-231.00M,,,,-197.00M,-197.00M,4.00M,,2019-06,641.00M,138.00M,787.00M,,2019-06,-21.00M,,236.00M,-310.00M,,2019-06,AOR,Restated
2019-03,426.00M,-7.00M,,,-114.00M,26.00M,-95.00M,315.00M,315.00M,22.00M,,46.00M,11.00M,-22.00M,9.00M,,,15.00M,13.00M,,733.00M,2019-03,-293.00M,3.00M,3.00M,0.00,,-4.00M,-294.00M,,66.00M,-25.00M,41.00M,,-229.00M,-229.00M,,,,-201.00M,-201.00M,,,2019-03,589.00M,50.00M,641.00M,,2019-03,0.00,,208.00M,-142.00M,,2019-03,AOR,Restated
2018-12,318.00M,0.00,,,-79.00M,460.00M,381.00M,338.00M,338.00M,-30.00M,,-19.00M,87.00M,-116.00M,-125.00M,,,-36.00M,-190.00M,,821.00M,2018-12,-286.00M,11.00M,11.00M,-8.00M,,24.00M,-259.00M,,-625.00M,32.00M,-593.00M,,-200.00M,-200.00M,,,,-201.00M,-201.00M,,,2018-12,1.026B,-438.00M,589.00M,,2018-12,,,141.00M,-766.00M,,2018-12,AOR,Restated
2018-09,562.00M,122.00M,,,-92.00M,57.00M,87.00M,335.00M,335.00M,-33.00M,,18.00M,-111.00M,-94.00M,124.00M,,,45.00M,-36.00M,,941.00M,2018-09,-357.00M,10.00M,10.00M,0.00,,1.00M,-346.00M,,-231.00M,-9.00M,-240.00M,,-201.00M,-201.00M,,,,-195.00M,-195.00M,,,2018-09,1.073B,-41.00M,1.026B,,2018-09,0.00,,-62.00M,-169.00M,,2018-09,AOR,Restated
2018-06,407.00M,28.00M,,,-70.00M,73.00M,31.00M,330.00M,330.00M,39.00M,,69.00M,-206.00M,-47.00M,167.00M,,,5.00M,-81.00M,,801.00M,2018-06,-440.00M,1.00M,1.00M,-41.00M,,5.00M,-475.00M,,149.00M,-7.00M,142.00M,,-300.00M,-300.00M,,,,-196.00M,-196.00M,,,2018-06,1.141B,-28.00M,1.073B,,2018-06,0.00,,188.00M,-39.00M,,2018-06,AOR,Restated
