,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,819.48M,819.48M,360.56M,458.93M,115.84M,94.91M,6.219M,27.70M,6.237M,1.071M,-5.166M,,216.97M,241.96M,1.071M,6.237M,-5.166M,26.94M,-5.166M,263.73M,41.01M,222.72M,,,222.72M,199.34M,300.12M,30.15M,269.97M,1.34,,,1.199,1.34,1.21,,,1.083,1.21,166.01M,184.34M,0.1
2020-06,838.66M,838.66M,367.19M,471.47M,113.26M,94.10M,8.941M,-37.22M,6.043M,1.368M,-4.675M,,216.30M,255.17M,1.368M,6.043M,-4.675M,-33.20M,-4.675M,217.29M,28.38M,188.91M,,,188.91M,221.25M,255.99M,32.66M,223.33M,1.14,,,1.335,1.14,1.05,,,1.229,1.05,165.79M,180.26M,0.1
2020-03,704.36M,704.36M,298.80M,405.55M,111.39M,85.16M,9.891M,7.606M,5.551M,2.751M,-2.80M,,206.44M,199.11M,2.751M,5.551M,-2.80M,0.757M,-2.80M,197.07M,20.88M,176.19M,,,176.19M,169.39M,234.50M,31.88M,202.62M,1.06,,,1.0190000000000001,1.06,0.97,,,0.9324,0.97,166.59M,180.74M,0.1
2019-12,654.65M,654.65M,271.41M,383.24M,117.09M,86.79M,9.784M,2.088M,6.299M,10.98M,4.681M,,213.67M,169.57M,10.98M,6.299M,4.681M,-25.36M,4.681M,148.88M,23.81M,125.07M,,,125.07M,123.32M,187.48M,32.30M,155.18M,0.82,,,0.8095,0.82,0.75,,,0.7404,0.75,167.29M,181.78M,0.09
2019-09,582.04M,582.04M,237.00M,345.04M,109.17M,77.80M,9.647M,6.50M,5.463M,4.433M,-1.03M,,196.62M,148.42M,4.433M,5.463M,-1.03M,4.342M,-1.03M,151.73M,15.87M,135.86M,,,135.86M,130.04M,186.70M,29.50M,157.20M,0.8,,,0.7657,0.8,0.75,,,0.7178,0.75,169.64M,180.49M,0.09
2019-06,564.18M,564.18M,240.26M,323.92M,108.81M,81.43M,10.08M,10.40M,5.80M,4.384M,-1.416M,,200.33M,123.59M,4.384M,5.80M,-1.416M,9.003M,-1.416M,131.18M,33.78M,97.40M,,,97.40M,89.68M,166.24M,29.26M,136.98M,0.57,,,0.5249,0.57,0.55,,,0.5068,0.55,171.24M,178.59M,0.09
2019-03,494.10M,494.10M,206.46M,287.64M,102.01M,76.79M,10.63M,-5.112M,5.52M,4.989M,-0.531M,,189.44M,98.20M,4.989M,5.52M,-0.531M,-3.687M,-0.531M,93.98M,-15.16M,109.14M,,,109.14M,112.87M,129.09M,29.59M,99.50M,0.63,,,0.6515,0.63,0.62,,,0.6411,0.62,173.53M,176.97M,0.09
2018-12,519.56M,519.56M,210.02M,309.54M,100.55M,74.71M,10.56M,-11.45M,13.18M,9.084M,-4.098M,,185.82M,123.72M,9.084M,13.18M,-4.098M,-8.493M,-4.098M,111.13M,-32.66M,143.79M,,,143.79M,152.14M,154.69M,30.38M,124.31M,0.8,,,0.8467,0.8,0.79,,,0.836,0.79,178.96M,181.52M,0.09
2018-09,566.85M,566.85M,233.16M,333.69M,100.20M,77.05M,11.14M,-1.71M,5.557M,6.213M,0.656M,,188.39M,145.30M,6.213M,5.557M,0.656M,-5.115M,0.656M,140.84M,20.86M,119.98M,,,119.98M,121.44M,175.91M,29.51M,146.40M,0.65,,,0.6578,0.65,0.63,,,0.6376,0.63,185.74M,190.50M,0.09
2018-06,526.93M,526.93M,219.60M,307.33M,99.41M,75.34M,9.793M,-2.389M,5.639M,5.427M,-0.212M,,184.54M,122.79M,5.427M,5.639M,-0.212M,-2.565M,-0.212M,120.01M,18.98M,101.04M,,,101.04M,103.05M,153.44M,27.79M,125.65M,0.53,,,0.5405,0.53,0.52,,,0.5303,0.52,190.73M,194.91M,0.09
2018-03,487.47M,487.47M,217.64M,269.83M,90.50M,74.41M,7.698M,0.313M,6.89M,5.981M,-0.909M,,172.61M,97.22M,5.981M,6.89M,-0.909M,-0.492M,-0.909M,95.82M,8.846M,86.97M,,,86.97M,86.69M,128.25M,25.54M,102.71M,0.45,,,0.4485,0.45,0.43,,,0.4286,0.43,195.26M,203.48M,0.09
2017-12,479.42M,479.42M,208.49M,270.93M,87.88M,72.07M,7.385M,-8.97M,5.38M,6.476M,1.096M,,167.33M,103.60M,6.476M,5.38M,1.096M,-6.608M,1.096M,98.08M,204.01M,-105.92M,,,-105.92M,-100.54M,129.98M,26.52M,103.46M,-0.54,,,-0.5125,-0.54,-0.54,,,-0.5134,-0.54,196.01M,202.32M,0.07
2017-09,503.38M,503.38M,208.51M,294.87M,86.13M,76.99M,7.028M,4.407M,5.372M,4.517M,-0.855M,,170.14M,124.72M,4.517M,5.372M,-0.855M,3.567M,-0.855M,127.44M,24.02M,103.42M,,,103.42M,99.84M,159.48M,26.67M,132.81M,0.52,,,0.5019,0.52,0.52,,,0.5022,0.52,197.48M,200.78M,0.07
2017-06,696.90M,696.90M,306.26M,390.64M,90.11M,82.27M,8.166M,-2.288M,5.509M,3.292M,-2.217M,,180.55M,210.09M,3.292M,5.509M,-2.217M,-0.997M,-2.217M,206.88M,31.90M,174.98M,,,174.98M,176.91M,240.06M,27.67M,212.39M,0.88,,,0.8897,0.88,0.87,,,0.8796,0.87,198.77M,201.53M,0.07
