,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalDeposits,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.708B,123.04B,124.75B,16.98B,,16.98B,144.84B,,1.778B,,1.778B,19.19B,127.67B,,165.13B,365.94B,,,,6.222B,6.222B,6.222B,,0.00,0.00,0.00,6.222B,6.682B,6.682B,,,1.942B,,,392.00M,,,9.016B,343.24B,,5.082B,8.686B,,,9.209B,-266.00M,-12.00M,,8.931B,22.70B,,AOR,
2020-09,2.595B,118.25B,120.85B,17.11B,,17.11B,141.19B,,1.778B,,1.778B,19.07B,123.01B,,160.06B,347.80B,,,,6.435B,6.435B,6.435B,,0.00,0.00,0.00,6.435B,6.714B,6.714B,,,1.91B,,,334.00M,,,8.958B,326.26B,,5.093B,8.647B,,,,,,,7.809B,21.55B,,AOR,
2020-06,4.201B,113.52B,117.72B,17.36B,,17.36B,138.03B,,1.778B,,1.778B,19.13B,118.26B,,155.60B,339.66B,,,,7.031B,7.031B,7.031B,,0.00,0.00,0.00,7.031B,6.736B,6.736B,,,1.867B,,,245.00M,,,8.848B,318.93B,,5.081B,8.327B,,,,,,,7.323B,20.73B,,AOR,
2020-03,6.202B,102.61B,108.81B,17.48B,,17.48B,130.85B,,1.778B,,1.778B,19.36B,106.71B,,144.63B,318.65B,,,,8.434B,8.434B,8.434B,,0.00,0.00,0.00,8.434B,6.748B,6.748B,,,1.843B,,,0.00,,,8.591B,302.07B,,5.071B,8.50B,,,,,,,3.004B,16.58B,,AOR,
2019-12,2.563B,105.20B,107.76B,17.61B,,17.61B,127.28B,,1.778B,,1.778B,18.82B,109.98B,,147.28B,334.76B,,,,5.082B,5.082B,5.082B,,300.00M,300.00M,300.00M,5.382B,6.067B,6.067B,,,1.81B,,,327.00M,,,8.204B,315.07B,,5.162B,8.854B,,,,,,,5.673B,19.69B,,AOR,
2019-09,2.939B,103.66B,106.60B,17.79B,,17.79B,126.59B,,1.778B,,1.778B,18.42B,108.51B,,145.19B,325.28B,,,,5.528B,5.528B,5.528B,,300.00M,300.00M,300.00M,5.828B,6.07B,6.07B,,,1.817B,,,339.00M,,,8.226B,305.28B,,5.192B,8.559B,,,,,,,6.248B,20.00B,,AOR,Restated
2019-06,3.314B,99.73B,103.05B,18.03B,,18.03B,122.59B,,1.778B,,1.778B,17.57B,104.45B,,140.55B,322.26B,,,,5.632B,5.632B,5.632B,,300.00M,300.00M,300.00M,5.932B,5.621B,5.621B,,,1.796B,,,310.00M,,,7.727B,303.80B,,5.241B,8.878B,,,,,,,4.336B,18.46B,,AOR,Restated
2019-03,1.593B,98.05B,99.64B,18.27B,,18.27B,118.89B,,1.778B,,1.778B,16.50B,101.52B,,136.71B,314.30B,,,,5.362B,5.362B,5.362B,,300.00M,300.00M,300.00M,5.662B,5.572B,5.572B,,,1.762B,,,177.00M,,,7.511B,297.88B,,5.285B,8.679B,,,,,,,2.453B,16.42B,,AOR,Restated
2018-12,2.345B,94.02B,96.37B,18.32B,,18.32B,115.79B,,1.782B,,1.782B,15.77B,96.07B,,129.89B,298.15B,,,,4.805B,4.805B,4.805B,,0.00,0.00,0.00,4.805B,5.839B,5.839B,,,1.74B,,,3.00M,,,7.582B,283.80B,,5.392B,8.551B,,,,,,,407.00M,14.35B,,AOR,Restated
2018-09,1.46B,93.16B,94.62B,18.86B,,18.86B,114.19B,,1.757B,,1.757B,15.06B,94.71B,,121.74B,303.85B,,,,4.212B,4.212B,4.212B,,0.00,0.00,0.00,4.212B,5.804B,5.804B,1.00M,1.00M,1.733B,,,20.00M,,,7.558B,288.78B,,5.619B,8.615B,,,,,,,836.00M,15.07B,,AOR,Restated
2018-06,1.775B,93.06B,94.84B,18.55B,,18.55B,113.97B,,1.75B,,1.75B,14.74B,94.62B,,120.60B,298.83B,,,,4.699B,4.699B,4.699B,,0.00,0.00,0.00,4.699B,5.826B,5.826B,1.00M,1.00M,1.711B,,,25.00M,,,7.563B,283.66B,,5.674B,8.302B,,,,,,,1.201B,15.18B,,AOR,Restated
2018-03,2.257B,92.06B,94.32B,5.489B,,5.489B,100.63B,,1.368B,,1.368B,13.45B,93.72B,,115.43B,279.24B,,,,4.265B,4.265B,4.265B,,250.00M,250.00M,250.00M,4.515B,5.648B,5.648B,1.00M,1.00M,1.726B,,,34.00M,,,7.409B,263.25B,,5.70B,8.052B,,,,,,,2.233B,15.98B,,AOR,Restated
2017-12,1.628B,95.09B,96.71B,5.303B,,5.303B,102.93B,,1.368B,,1.368B,13.17B,96.71B,,117.92B,281.76B,,,,4.417B,4.417B,4.417B,,450.00M,450.00M,450.00M,4.867B,4.894B,4.894B,,,1.761B,,,57.00M,,,6.712B,264.44B,,5.693B,8.399B,,,,,,,3.23B,17.32B,,AOR,Restated
2017-09,1.965B,94.07B,96.03B,5.432B,,5.432B,102.43B,,2.273B,,2.273B,12.81B,95.73B,,116.93B,276.78B,,,,4.968B,4.968B,4.968B,450.00M,,450.00M,450.00M,5.418B,4.90B,4.90B,2.00M,2.00M,1.807B,,,63.00M,,,6.772B,260.47B,,5.717B,7.738B,,,,,,,2.859B,16.31B,,AOR,Restated
