,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-03,350.23M,350.23M,287.07M,63.16M,,42.99M,,,,-1.219M,,,,,42.99M,20.17M,,,,-1.219M,,11.66M,4.528M,7.131M,0.199M,,-0.784M,,7.33M,7.877M,37.67M,17.50M,20.17M,0.105,0.0,,0.1158,0.105,0.105,0.0,,0.1158,0.105,69.03M,69.03M,0.04
2002-12,329.85M,329.85M,267.92M,61.93M,,47.02M,,,,0.519M,,,,,47.02M,14.91M,,,,0.519M,,8.277M,3.332M,4.945M,0.125M,,-0.738M,,5.07M,4.634M,32.86M,17.95M,14.91M,0.07,0.005,,0.0654,0.075,0.07,0.005,,0.0655,0.075,68.33M,69.00M,0.04
2002-09,313.22M,313.22M,260.93M,52.29M,,35.18M,,,,-8.18M,,,,,25.50M,26.80M,,,,-8.18M,,1.651M,1.052M,0.599M,,0.00,-0.577M,,3.216M,5.507M,40.65M,13.86M,26.80M,0.0846,0.0381,0.0,0.1561,0.0376,0.045,0.0,0.0001,0.115,0.0376,68.60M,70.07M,0.0375
2002-06,357.14M,357.14M,280.43M,76.71M,,50.85M,,,,-9.681M,,,,9.681M,60.54M,16.17M,,,,-9.681M,,8.791M,3.32M,5.471M,,,-0.874M,,5.471M,11.50M,34.27M,18.09M,16.17M,0.08,0.0,,0.1668,0.08,0.08,0.0,,0.1668,0.08,69.39M,69.39M,0.0375
2002-03,348.12M,348.12M,275.58M,72.53M,,46.92M,,,,0.172M,,,,,46.92M,25.62M,,,,0.172M,,18.93M,7.349M,11.58M,,,-0.76M,,11.58M,11.48M,44.00M,18.38M,25.62M,0.17,0.0,,0.1685,0.17,0.17,0.0,,0.1685,0.17,68.71M,68.71M,0.0375
2001-12,350.57M,350.57M,273.46M,77.11M,,48.75M,,,,-0.866M,,,,,48.75M,28.36M,,,,-0.866M,,20.10M,7.904M,12.20M,,,-0.76M,,12.20M,12.72M,46.12M,17.76M,28.36M,0.18,0.0,,0.1878,0.18,0.18,0.0,,0.1878,0.18,67.67M,67.67M,0.0375
2001-09,371.99M,371.99M,348.20M,23.79M,,46.74M,,,2.141M,-11.33M,,,,67.26M,58.21M,-34.42M,,,,-11.33M,,13.97M,4.677M,9.294M,,0.00,-0.069M,,9.294M,16.83M,-14.75M,19.67M,-34.42M,0.14,0.0,0.0,0.2547,0.14,0.135,0.0,-0.0,0.2455,0.135,65.72M,68.25M,0.0375
2001-06,357.06M,357.06M,262.05M,95.01M,,45.66M,,19.66M,2.143M,-2.523M,,,,-17.14M,50.32M,44.69M,,,,-2.523M,,16.23M,7.11M,9.12M,,,-0.846M,,9.12M,10.63M,66.49M,19.66M,44.69M,0.135,0.0,,0.1577,0.135,0.135,0.0,,0.1575,0.135,66.78M,67.16M,0.0375
2001-03,367.41M,367.41M,274.61M,92.80M,,45.16M,,19.00M,2.142M,-3.175M,,,,-15.83M,50.48M,42.32M,,,,-3.175M,,13.27M,5.95M,7.318M,,,-0.777M,,7.318M,9.223M,63.46M,19.00M,42.32M,0.11,0.0,,0.1387,0.11,0.11,0.0,,0.1386,0.11,66.44M,66.50M,0.0375
2000-12,345.17M,345.17M,262.08M,83.09M,,42.72M,,,,-1.865M,,,,,61.98M,21.10M,,,,-1.865M,,8.665M,4.16M,4.505M,,0.286M,-0.747M,,4.791M,5.624M,40.37M,19.26M,21.10M,0.07,0.0,0.0,0.0867,0.07,0.07,0.0,0.0043,0.0867,0.07,66.95M,66.95M,0.0375
2000-09,375.98M,375.98M,286.08M,89.91M,,108.26M,,,,,,,,,127.35M,-37.45M,,,,,,11.37M,5.247M,6.125M,,,-1.174M,,6.125M,6.125M,-18.35M,19.10M,-37.45M,0.085,0.0,,0.085,0.085,0.085,0.0,,0.085,0.085,67.77M,67.77M,0.0375
2000-06,370.54M,370.54M,283.58M,86.96M,,46.82M,,,,-4.876M,,,,,66.33M,20.64M,,,,-4.876M,,5.584M,2.979M,2.605M,,,-1.371M,,2.605M,5.531M,40.15M,19.51M,20.64M,0.04,0.0,,0.0822,0.04,0.035,0.0,,0.0771,0.035,69.38M,69.54M,0.0375
2000-03,369.94M,369.94M,276.95M,92.99M,,45.65M,,19.35M,2.357M,-52.72M,,,,,67.36M,25.63M,,,,-52.72M,,-36.75M,-3.493M,-33.26M,,,-1.274M,,-33.26M,14.46M,47.34M,19.35M,25.63M,-0.48,0.0,,0.2056,-0.48,-0.48,0.0,,0.2056,-0.48,69.59M,69.59M,0.0375
1999-12,346.00M,346.00M,238.80M,107.20M,,63.60M,,,,,,,,,82.70M,24.50M,,,,,,15.40M,6.80M,8.60M,,,-1.20M,,8.60M,8.60M,43.60M,19.10M,24.50M,0.125,0.0,,0.125,0.125,0.12,0.0,,0.12,0.12,68.80M,71.67M,0.0375
1999-09,358.80M,358.80M,262.95M,95.85M,,53.21M,,,,,,,,,71.49M,24.36M,,,,,,21.30M,9.10M,12.20M,,,-1.40M,,12.20M,12.20M,42.64M,18.28M,24.36M,0.1728,,,0.1728,0.1728,0.1728,0.0,,0.1728,0.1728,67.49M,70.07M,0.0375
1999-06,330.50M,330.50M,241.10M,89.40M,,42.10M,,,,-2.70M,,,,,60.10M,29.30M,,,,-2.70M,,17.50M,7.60M,9.90M,,,-1.60M,,9.90M,11.52M,47.30M,18.00M,29.30M,0.14,0.0,,0.163,0.14,0.14,0.0,,0.163,0.14,70.46M,70.46M,0.0375
1999-03,312.20M,312.20M,209.60M,102.60M,,58.30M,,,,-1.00M,,,,,76.50M,26.10M,,,,-1.00M,,15.80M,7.00M,8.80M,,,-1.50M,,8.80M,9.40M,44.30M,18.20M,26.10M,0.125,0.0,,0.1335,0.125,0.125,0.0,,0.1335,0.125,70.40M,70.40M,0.0375
1998-12,310.80M,310.80M,206.60M,104.20M,,58.80M,,,,-2.00M,,,,,76.80M,27.40M,,,,-2.00M,,15.70M,6.90M,8.80M,,,-1.40M,,8.80M,10.00M,45.40M,18.00M,27.40M,0.125,0.0,,0.142,0.125,0.125,0.0,,0.142,0.125,70.40M,70.40M,0.0375
1998-09,333.00M,333.00M,290.90M,42.10M,,-6.299M,,,,0.10M,,,,,11.73M,30.38M,,,,0.10M,,20.50M,8.80M,11.70M,,,-1.40M,,11.70M,11.64M,48.40M,18.03M,30.38M,0.1723,,,0.1715,0.1723,0.165,0.0,,0.1642,0.165,69.66M,71.03M,0.0375
1998-06,320.10M,320.10M,213.50M,106.60M,,58.70M,,,,0.70M,,,,,76.50M,30.10M,,,,0.70M,,20.60M,8.80M,11.80M,,,-1.50M,,11.80M,11.38M,47.90M,17.80M,30.10M,0.17,0.0,,0.1639,0.17,0.17,0.0,,0.1639,0.17,69.41M,69.41M,0.0375
