,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-12,262.00M,,72.00M,38.00M,110.00M,110.00M,15.00M,,,145.00M,54.00M,-84.00M,325.00M,-390.00M,188.00M,-16.00M,77.00M,178.00M,801.00M,-137.00M,-15.00M,182.00M,-24.00M,,258.00M,72.00M,,,-319.00M,-192.00M,0.00,-192.00M,,-93.00M,,119.00M,-232.00M,963.00M,641.00M,1.604B,,-192.00M,,,0.00,,
2006-09,438.00M,203.00M,59.00M,38.00M,97.00M,97.00M,19.00M,,,13.00M,-125.00M,61.00M,-145.00M,23.00M,133.00M,4.00M,-49.00M,-187.00M,534.00M,-80.00M,-284.00M,-364.00M,-164.00M,,-178.00M,-396.00M,,,-543.00M,55.00M,0.00,55.00M,,-93.00M,,7.00M,-574.00M,1.399B,-436.00M,963.00M,,55.00M,,,0.00,,
2006-06,636.00M,-201.00M,64.00M,30.00M,94.00M,94.00M,30.00M,,,53.00M,-168.00M,-71.00M,-12.00M,-23.00M,-69.00M,78.00M,-265.00M,-19.00M,328.00M,-63.00M,299.00M,236.00M,-2.001B,,-7.00M,-1.779B,,,362.00M,137.00M,-67.00M,70.00M,,-93.00M,,-88.00M,251.00M,2.599B,-1.20B,1.399B,,137.00M,,,-67.00M,,
2006-03,374.00M,-2.00M,56.00M,27.00M,83.00M,83.00M,-19.00M,,,,79.00M,-143.00M,12.00M,,147.00M,-66.00M,29.00M,,465.00M,-54.00M,,-54.00M,-153.00M,,-1.00M,-213.00M,,,,,-18.00M,-18.00M,,-80.00M,,114.00M,16.00M,2.331B,268.00M,2.599B,,,,,-18.00M,,
2005-12,393.00M,,58.00M,25.00M,83.00M,83.00M,41.00M,,,-37.00M,-110.00M,15.00M,112.00M,-196.00M,553.00M,-1.00M,373.00M,10.00M,900.00M,-95.00M,-39.00M,128.00M,0.00,,32.00M,-109.00M,,,,-127.00M,-148.00M,-275.00M,,-82.00M,,-5.00M,-214.00M,1.754B,577.00M,2.331B,,-127.00M,,,-148.00M,,
2005-09,374.00M,-5.00M,56.00M,25.00M,81.00M,81.00M,56.00M,,,-22.00M,-50.00M,-142.00M,75.00M,121.00M,261.00M,-167.00M,98.00M,17.00M,599.00M,-78.00M,-310.00M,-388.00M,-240.00M,,72.00M,-233.00M,,,,31.00M,0.00,31.00M,,-80.00M,,-1.00M,-50.00M,1.438B,316.00M,1.754B,,31.00M,,,0.00,,
2005-06,345.00M,5.00M,54.00M,25.00M,79.00M,79.00M,32.00M,,,,-192.00M,21.00M,52.00M,-121.00M,-136.00M,114.00M,-262.00M,0.00,199.00M,-51.00M,-24.00M,-75.00M,0.00,,-64.00M,-136.00M,,,,96.00M,-100.00M,-4.00M,,-80.00M,,-52.00M,-136.00M,1.511B,-73.00M,1.438B,,96.00M,,,-100.00M,,
2005-03,336.00M,,58.00M,26.00M,84.00M,84.00M,12.00M,,,,-203.00M,-16.00M,-52.00M,,276.00M,-75.00M,-70.00M,-4.00M,358.00M,-38.00M,373.00M,335.00M,-37.00M,,2.00M,297.00M,,,,,-100.00M,-100.00M,,-72.00M,,52.00M,-120.00M,976.00M,535.00M,1.511B,,,,,-100.00M,,
2004-12,-875.00M,,58.00M,26.00M,84.00M,84.00M,54.00M,,,1.163B,227.00M,75.00M,224.00M,-281.00M,-131.00M,245.00M,359.00M,19.00M,804.00M,-89.00M,-23.00M,152.00M,-17.00M,,32.00M,-106.00M,,,109.00M,-114.00M,,-114.00M,,-72.00M,,-500.00M,-408.00M,686.00M,290.00M,976.00M,,-114.00M,,,,,
2004-09,320.00M,,58.00M,22.00M,80.00M,80.00M,8.00M,,,165.00M,-285.00M,-50.00M,7.00M,-1.00M,38.00M,36.00M,-255.00M,-7.00M,311.00M,-58.00M,23.00M,-35.00M,-490.00M,,-13.00M,-538.00M,,,-129.00M,114.00M,,114.00M,,-72.00M,,-97.00M,-184.00M,1.097B,-411.00M,686.00M,,114.00M,,,,,
2004-06,290.00M,,60.00M,23.00M,83.00M,83.00M,110.00M,,,-25.00M,144.00M,30.00M,-115.00M,1.00M,-134.00M,-36.00M,-110.00M,11.00M,359.00M,-64.00M,,-64.00M,-5.00M,,0.00,-69.00M,,,-41.00M,,,,,-71.00M,,52.00M,-60.00M,867.00M,230.00M,1.097B,,,,,,,
2004-03,265.00M,,53.00M,22.00M,75.00M,75.00M,104.00M,,,-80.00M,-153.00M,-109.00M,50.00M,,170.00M,,-42.00M,4.00M,326.00M,-53.00M,,-53.00M,-31.00M,,16.00M,-68.00M,,,-186.00M,,,,,-63.00M,,-3.00M,-252.00M,861.00M,6.00M,867.00M,,,,,,,
2003-12,264.00M,,60.00M,18.00M,78.00M,78.00M,53.00M,,,89.00M,526.00M,39.00M,-59.00M,-452.00M,335.00M,,379.00M,34.00M,897.00M,-107.00M,,115.00M,-57.00M,,25.00M,-138.00M,,,-3.645B,-45.00M,0.00,-45.00M,,-63.00M,,,-594.00M,697.00M,165.00M,861.00M,,-45.00M,,,0.00,,
2003-09,255.00M,,52.00M,28.00M,80.00M,80.00M,43.00M,,,-52.00M,-134.00M,152.00M,108.00M,,-87.00M,,39.00M,3.00M,368.00M,-48.00M,,-48.00M,-1.859B,,3.00M,-1.904B,,,1.464B,21.00M,0.00,21.00M,,-63.00M,,,1.422B,811.00M,-114.00M,697.00M,,21.00M,,,0.00,,
2003-06,242.00M,,46.00M,10.00M,56.00M,56.00M,8.00M,,,17.00M,-290.00M,78.00M,-11.00M,124.00M,32.00M,,-67.00M,1.00M,257.00M,-36.00M,-1.00M,-37.00M,-53.00M,,14.00M,-76.00M,,,-32.00M,3.00M,-26.00M,-23.00M,,-63.00M,,,-118.00M,748.00M,63.00M,811.00M,,3.00M,,,-26.00M,,
2003-03,221.00M,,47.00M,10.00M,57.00M,57.00M,33.00M,,,33.00M,-41.00M,-80.00M,11.00M,-124.00M,103.00M,,-131.00M,-12.00M,201.00M,-31.00M,1.00M,-30.00M,-1.075B,,-7.00M,-1.112B,,,1.644B,21.00M,-274.00M,-253.00M,,-60.00M,,,1.331B,328.00M,420.00M,748.00M,,21.00M,,,-274.00M,,
2002-12,269.00M,,39.00M,9.00M,48.00M,48.00M,52.00M,,,-86.00M,211.00M,139.00M,0.00,-202.00M,94.00M,,242.00M,6.00M,531.00M,-118.00M,,146.00M,6.00M,,97.00M,-17.00M,,,-555.00M,-55.00M,-19.00M,-74.00M,,-60.00M,,-13.00M,-653.00M,468.00M,-139.00M,328.00M,,-55.00M,,,-19.00M,,
2002-09,278.00M,,49.00M,8.00M,57.00M,57.00M,34.00M,,,25.00M,20.00M,-184.00M,118.00M,,-86.00M,,-132.00M,-8.00M,254.00M,-46.00M,,-46.00M,-68.00M,,12.00M,-102.00M,,,69.00M,11.00M,-71.00M,-60.00M,,-60.00M,,-9.00M,-60.00M,375.00M,92.00M,468.00M,,11.00M,,,-71.00M,,
2002-06,272.00M,,46.00M,10.00M,56.00M,56.00M,36.00M,,,8.00M,-102.00M,-22.00M,39.00M,-20.00M,147.00M,,42.00M,9.00M,423.00M,-56.00M,-18.00M,-74.00M,-213.00M,,21.00M,-266.00M,,,-118.00M,13.00M,0.00,13.00M,,-60.00M,,6.00M,-159.00M,377.00M,-2.00M,375.00M,,13.00M,,,0.00,,
2002-03,232.00M,,45.00M,7.00M,52.00M,52.00M,57.00M,,,-17.00M,-219.00M,-74.00M,-39.00M,20.00M,-87.00M,,-399.00M,-8.00M,-83.00M,-44.00M,18.00M,-26.00M,,,11.00M,-15.00M,,,77.00M,31.00M,-10.00M,21.00M,,-56.00M,,-6.00M,36.00M,439.00M,-62.00M,377.00M,,31.00M,,,-10.00M,,
2001-12,246.00M,,37.00M,32.00M,69.00M,69.00M,72.00M,,,5.00M,174.00M,-43.00M,102.00M,-225.00M,36.00M,,44.00M,,438.00M,-119.00M,-81.00M,156.00M,1.00M,,81.00M,-121.00M,,,-297.00M,-58.00M,-93.00M,-151.00M,,-56.00M,,-20.00M,-456.00M,579.00M,-139.00M,439.00M,,-58.00M,,,-93.00M,,
2001-09,230.00M,,47.00M,21.00M,68.00M,68.00M,42.00M,,,101.00M,-45.00M,-98.00M,-40.00M,4.00M,32.00M,,-147.00M,,294.00M,-127.00M,11.00M,-116.00M,-741.00M,,-14.00M,-871.00M,,,1.035B,20.00M,0.00,20.00M,,-55.00M,,-7.00M,993.00M,163.00M,416.00M,579.00M,,20.00M,,,0.00,,
2001-06,227.00M,,44.00M,23.00M,67.00M,67.00M,15.00M,,,8.00M,-28.00M,-26.00M,88.00M,-6.00M,-55.00M,,-27.00M,,290.00M,-57.00M,0.00,-57.00M,-356.00M,,-1.00M,-414.00M,,,39.00M,24.00M,0.00,24.00M,,-56.00M,,0.00,7.00M,280.00M,-117.00M,163.00M,,24.00M,,,0.00,,
2001-03,240.00M,,36.00M,24.00M,60.00M,60.00M,-15.00M,,,-59.00M,-126.00M,-56.00M,-70.00M,2.00M,103.00M,,-147.00M,,79.00M,-53.00M,70.00M,17.00M,-355.00M,,-2.00M,-340.00M,,,415.00M,14.00M,-20.00M,-6.00M,,-52.00M,,7.00M,364.00M,177.00M,103.00M,280.00M,,14.00M,,,-20.00M,,
2000-12,219.00M,,35.00M,20.00M,55.00M,55.00M,128.00M,,,-53.00M,138.00M,-35.00M,2.00M,-76.00M,-2.00M,,27.00M,,376.00M,-69.00M,,219.00M,-30.00M,6.00M,16.00M,-77.00M,,,-484.00M,-47.00M,0.00,-47.00M,,-51.00M,,,-489.00M,367.00M,-190.00M,177.00M,,-47.00M,,,0.00,,
2000-09,294.00M,,110.00M,61.00M,60.00M,60.00M,-12.00M,,,-24.00M,-181.00M,152.00M,16.00M,8.00M,-72.00M,,-77.00M,5.00M,246.00M,-41.00M,-6.00M,-47.00M,0.00,-5.00M,13.00M,-39.00M,,,-67.00M,22.00M,-19.00M,3.00M,,-51.00M,,,-115.00M,275.00M,92.00M,367.00M,,22.00M,,,-19.00M,,
2000-06,204.00M,,-37.00M,-19.00M,55.00M,55.00M,-2.00M,,,-7.00M,128.00M,133.00M,23.00M,-7.00M,-75.00M,,202.00M,-5.00M,447.00M,-99.00M,5.00M,-94.00M,-33.00M,5.00M,-3.00M,-125.00M,,,-108.00M,23.00M,-146.00M,-123.00M,,-52.00M,,,-283.00M,236.00M,39.00M,275.00M,,23.00M,,,-146.00M,,
2000-03,184.00M,,37.00M,19.00M,56.00M,56.00M,14.00M,,,-11.00M,-124.00M,-239.00M,35.00M,-7.00M,94.00M,,-241.00M,,2.00M,-79.00M,1.00M,-78.00M,-8.00M,,-2.00M,-88.00M,,,141.00M,2.00M,-43.00M,-41.00M,,-48.00M,,,52.00M,270.00M,-34.00M,236.00M,,2.00M,,,-43.00M,,
1999-12,198.00M,0.00,,,53.00M,53.00M,-7.00M,,,11.00M,99.00M,331.00M,-103.00M,-17.00M,-24.00M,,286.00M,5.00M,546.00M,1.05B,5.00M,1.055B,-1.09B,5.00M,-7.00M,-37.00M,,,-307.00M,2.00M,0.00,2.00M,,-48.00M,,,-353.00M,69.00M,156.00M,270.00M,,2.00M,,,0.00,,
1999-09,184.00M,-65.00M,,,55.00M,55.00M,8.00M,,,19.00M,35.00M,-334.00M,5.00M,176.00M,-128.00M,,-246.00M,-2.00M,-47.00M,-1.17B,0.00,-1.17B,71.00M,0.00,-1.00M,-1.10B,,,812.00M,22.00M,0.00,22.00M,,-30.00M,,,804.00M,457.00M,-343.00M,69.00M,,22.00M,,,0.00,,
1999-06,175.00M,,,,49.00M,49.00M,28.00M,,,-21.00M,-34.00M,-27.00M,-55.00M,-147.00M,376.00M,,113.00M,-1.00M,343.00M,-46.00M,0.00,-46.00M,-51.00M,49.00M,-1.00M,-49.00M,,,-67.00M,13.00M,-13.00M,0.00,,-30.00M,,,-97.00M,260.00M,197.00M,457.00M,,13.00M,,,-13.00M,,
1999-03,323.00M,,,,43.00M,43.00M,12.00M,,,-18.00M,-64.00M,-54.00M,-55.00M,39.00M,-50.00M,,-184.00M,-2.00M,174.00M,-31.00M,13.00M,-18.00M,-20.00M,,1.00M,-37.00M,,,-27.00M,14.00M,-46.00M,-32.00M,,-28.00M,,,-87.00M,210.00M,50.00M,260.00M,,14.00M,,,-46.00M,,
1998-12,160.00M,,,,45.00M,45.00M,-68.00M,,,-33.00M,-92.00M,-170.00M,-12.00M,226.00M,200.00M,,152.00M,11.00M,267.00M,175.00M,83.00M,258.00M,,196.00M,-74.00M,-101.00M,,,-85.00M,11.00M,-3.00M,8.00M,,-27.00M,,0.00,-104.00M,122.00M,62.00M,210.00M,,11.00M,,,-3.00M,,
1998-09,255.00M,,,,55.00M,55.00M,63.00M,,,8.00M,20.00M,21.00M,112.00M,-204.00M,-84.00M,,-135.00M,-7.00M,239.00M,-296.00M,-11.00M,-307.00M,,-99.00M,73.00M,-333.00M,,,-11.00M,33.00M,-223.00M,-190.00M,,-28.00M,,0.00,-229.00M,0.00,-323.00M,122.00M,,33.00M,,,-223.00M,,
1998-06,92.00M,,,,30.00M,30.00M,19.00M,,,-7.00M,-38.00M,-16.00M,-1.00M,-23.00M,-18.00M,,-96.00M,-1.00M,37.00M,-20.00M,27.00M,7.00M,,0.00,-14.00M,-7.00M,,,-115.00M,10.00M,,10.00M,,-27.00M,,-4.00M,-136.00M,0.00,-106.00M,0.00,,10.00M,,,,,
