,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2021-03,3.734B,24.00M,3.758B,2.118B,2.118B,642.00M,392.00M,1.861B,,2.895B,1.065B,164.00M,,10.00B,,,,,,,12.42B,-6.277B,6.142B,23.77B,13.25B,37.02B,,1.758B,44.92B,54.92B,,,,,,5.375B,,,1.00M,1.00M,,,,5.376B,17.72B,17.72B,5.575B,5.575B,1.425B,,24.72B,30.09B,,367.00M,13.56B,19.34B,6.132B,2.00M,,,-2.329B,24.83B,,AOR,
2020-12,3.248B,17.00M,3.265B,2.37B,2.37B,651.00M,366.00M,1.798B,-1.00M,2.814B,889.00M,199.00M,,9.537B,,,,,,,12.27B,-6.177B,6.096B,23.76B,13.56B,37.32B,,1.801B,45.21B,54.75B,,,,,,5.284B,,,1.737B,1.737B,,,,7.021B,16.08B,16.08B,5.549B,5.549B,1.434B,-1.00M,23.06B,30.08B,,367.00M,13.52B,19.30B,6.136B,2.00M,,,-2.414B,24.66B,,AOR,
2020-09,2.825B,20.00M,2.845B,2.398B,2.398B,602.00M,335.00M,1.806B,,2.743B,891.00M,92.00M,,8.969B,0.00,166.00M,3.082B,8.454B,1.00M,216.00M,11.92B,-5.996B,5.923B,23.62B,13.81B,37.43B,,1.687B,45.04B,54.01B,,1.355B,144.00M,1.499B,3.631B,5.13B,,706.00M,706.00M,706.00M,,,,5.836B,17.22B,17.22B,5.753B,5.753B,1.435B,-1.00M,24.41B,30.25B,,367.00M,12.79B,19.27B,6.138B,2.00M,,,-2.548B,23.76B,,AOR,
2020-06,2.882B,22.00M,2.904B,1.993B,1.993B,627.00M,336.00M,1.983B,-1.00M,2.945B,903.00M,82.00M,,8.827B,,,,,,,11.66B,-5.819B,5.841B,23.55B,14.11B,37.66B,,1.632B,45.13B,53.96B,,,,,,4.437B,,,1.63B,1.63B,,,,6.067B,17.09B,17.09B,5.483B,5.483B,1.297B,,23.87B,29.94B,,367.00M,12.92B,19.23B,6.145B,2.00M,,,-2.367B,24.02B,,AOR,
2020-03,2.351B,6.00M,2.357B,2.16B,2.16B,601.00M,357.00M,1.836B,-1.00M,2.793B,1.156B,88.00M,1.00M,8.555B,,,,,,,11.26B,-5.598B,5.664B,23.42B,14.37B,37.79B,,1.509B,44.96B,53.52B,,,,,,4.398B,,,4.357B,4.357B,,,,8.755B,16.81B,16.81B,5.747B,5.747B,1.253B,1.00M,23.81B,32.56B,,349.00M,12.87B,16.29B,6.158B,2.00M,,,-2.419B,20.95B,,AOR,Restated
2019-12,560.00M,8.00M,568.00M,2.074B,2.074B,599.00M,350.00M,1.811B,,2.76B,987.00M,49.00M,,6.438B,,,,,,,11.42B,-5.643B,5.782B,23.44B,14.72B,38.16B,,1.573B,45.52B,51.95B,,,,,,4.269B,,,2.456B,2.456B,,,1.00M,6.726B,16.95B,16.95B,5.785B,5.785B,1.29B,1.00M,24.02B,30.75B,,349.00M,12.94B,16.32B,6.228B,2.00M,,,-2.202B,21.20B,,AOR,Restated
2019-09,536.00M,30.00M,566.00M,2.345B,2.345B,544.00M,318.00M,1.717B,,2.579B,1.119B,54.00M,1.00M,6.664B,0.00,164.00M,2.842B,7.932B,,190.00M,11.13B,-5.469B,5.659B,23.38B,14.98B,38.35B,,1.088B,45.10B,51.76B,,1.092B,140.00M,1.232B,3.114B,4.346B,,1.309B,1.309B,1.309B,,,,5.655B,18.08B,18.08B,5.676B,5.676B,1.272B,-1.00M,25.03B,30.68B,,349.00M,12.91B,16.27B,6.19B,2.00M,,,-2.283B,21.08B,,AOR,Restated
2019-06,523.00M,12.00M,535.00M,2.22B,2.22B,569.00M,317.00M,1.743B,,2.629B,1.326B,71.00M,,6.781B,,,,,,,11.04B,-5.491B,5.55B,23.50B,15.34B,38.84B,,1.063B,45.45B,52.23B,,,,,,4.069B,,,2.168B,2.168B,,,,6.237B,18.02B,18.02B,5.621B,5.621B,862.00M,-1.00M,24.50B,30.74B,,349.00M,13.00B,16.23B,6.201B,2.00M,,,-1.897B,21.50B,,AOR,Restated
2019-03,686.00M,10.00M,696.00M,2.279B,2.279B,555.00M,325.00M,1.748B,-1.00M,2.627B,1.161B,81.00M,,6.844B,,,,,,,10.88B,-5.402B,5.473B,23.51B,15.70B,39.22B,,1.061B,45.75B,52.60B,,,,,,4.05B,,,3.057B,3.057B,,,1.00M,7.108B,17.56B,17.56B,5.81B,5.81B,815.00M,-1.00M,24.18B,31.29B,,349.00M,12.79B,16.18B,6.192B,2.00M,,,-1.839B,21.31B,,AOR,Restated
2018-12,943.00M,5.00M,948.00M,2.216B,2.216B,552.00M,296.00M,1.674B,,2.522B,1.157B,98.00M,,6.941B,,,,,,,10.58B,-5.223B,5.362B,23.50B,16.06B,39.56B,,1.062B,45.99B,52.93B,,,,,,3.891B,,,3.254B,3.254B,,,,7.145B,17.82B,17.82B,5.762B,5.762B,805.00M,,24.38B,31.53B,,349.00M,13.02B,16.17B,6.235B,2.00M,,,-1.927B,21.40B,,AOR,Restated
2018-09,1.14B,17.00M,1.157B,2.319B,2.319B,510.00M,297.00M,1.644B,,2.451B,1.251B,96.00M,,7.411B,0.00,173.00M,2.724B,7.405B,1.00M,182.00M,10.49B,-5.111B,5.375B,23.60B,16.44B,40.04B,,1.078B,46.49B,53.90B,,1.106B,343.00M,1.449B,3.165B,4.614B,,2.601B,2.601B,2.601B,,,1.00M,7.216B,18.89B,18.89B,5.743B,5.743B,1.056B,1.00M,25.69B,32.91B,,349.00M,12.60B,16.18B,6.243B,2.00M,,,-1.909B,20.99B,,AOR,Restated
2018-06,1.384B,15.00M,1.399B,2.243B,2.243B,514.00M,330.00M,1.718B,,2.562B,1.196B,125.00M,,7.525B,,,,,,,10.38B,-5.063B,5.321B,23.50B,16.64B,40.15B,,984.00M,46.45B,53.98B,,,,,,4.207B,,,1.90B,1.90B,,,-1.00M,6.106B,20.35B,20.35B,5.088B,5.088B,1.075B,,26.51B,32.62B,,349.00M,12.97B,16.19B,6.275B,2.00M,,,-1.902B,21.36B,,AOR,Restated
2018-03,1.251B,16.00M,1.267B,2.293B,2.293B,498.00M,355.00M,1.691B,,2.544B,1.241B,167.00M,,7.512B,,,,,,,10.46B,-5.049B,5.411B,23.49B,17.00B,40.49B,,1.159B,47.06B,54.57B,,,,,,4.224B,,,202.00M,202.00M,,,,4.426B,22.59B,22.59B,5.233B,5.233B,1.172B,1.00M,29.00B,33.42B,,349.00M,12.62B,16.17B,6.30B,2.00M,,,-1.704B,21.15B,,AOR,Restated
2017-12,1.124B,84.00M,1.208B,2.00B,2.00B,520.00M,424.00M,2.022B,,2.966B,1.255B,113.00M,,7.542B,,,,,,,10.11B,-4.848B,5.262B,22.70B,18.68B,41.38B,,1.184B,47.82B,55.36B,,,,,,4.193B,,,703.00M,703.00M,,,-1.00M,4.895B,22.10B,22.10B,5.961B,5.961B,1.164B,1.00M,29.22B,34.12B,,349.00M,12.76B,16.20B,6.343B,2.00M,,,-1.74B,21.25B,,AOR,Restated
