,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,29.16B,29.16B,21.75B,7.413B,5.015B,5.015B,0.00,,1.291B,,-1.291B,,5.015B,2.398B,,1.291B,-1.291B,130.00M,-1.291B,1.236B,504.00M,732.00M,-63.00M,,132.00M,185.00M,800.00M,863.00M,4.442B,1.915B,2.527B,,0.08,-0.01,,0.08,0.07,,0.08,-0.01,,0.08,0.07,,8.688B,8.699B,0.12,,AOR,Restated
2018-03,27.79B,27.79B,20.91B,6.877B,4.718B,4.718B,,,1.282B,,-1.282B,,4.718B,2.159B,,1.282B,-1.282B,-602.00M,-1.282B,277.00M,-50.00M,328.00M,-1.441B,,-34.00M,37.00M,-1.147B,294.00M,3.433B,1.874B,1.559B,,0.03,-0.17,,0.03,-0.14,,0.03,-0.17,,0.03,-0.14,,8.683B,8.696B,0.12,,AOR,Restated
2017-12,12.64B,12.64B,10.07B,2.571B,,13.24B,-579.00M,,1.11B,,-752.00M,,13.24B,-10.67B,,1.11B,-752.00M,-1.738B,-752.00M,-13.16B,-2.115B,-11.05B,178.00M,,53.00M,184.00M,-10.82B,-10.51B,-11.29B,766.00M,-12.06B,,-1.15,0.02,,-1.094,-1.13,,-1.15,0.02,,-1.094,-1.13,,8.681B,8.681B,0.12,,AOR,Restated
2017-09,30.66B,30.66B,23.67B,6.992B,,4.741B,-947.00M,,1.232B,,-1.232B,,4.741B,2.251B,,1.232B,-1.232B,-271.00M,-1.232B,746.00M,-551.00M,1.297B,-106.00M,,169.00M,36.00M,1.36B,2.404B,4.005B,2.027B,1.978B,,0.16,-0.01,,0.2683,0.15,,0.16,-0.01,,0.2675,0.15,,8.665B,8.732B,0.24,,AOR,Restated
2017-06,29.10B,29.10B,21.62B,7.474B,,4.152B,,,1.174B,,-1.174B,,4.152B,3.322B,,1.174B,-1.174B,-1.021B,-1.174B,1.127B,-38.00M,1.164B,-146.00M,,38.00M,182.00M,1.057B,1.597B,3.97B,1.669B,2.301B,,0.12,-0.02,,0.1655,0.10,,0.12,-0.02,,0.165,0.10,,8.671B,8.76B,0.24,,AOR,Restated
2017-03,26.88B,26.88B,20.23B,6.65B,,4.287B,,,1.139B,,-1.139B,,4.287B,2.363B,,1.139B,-1.139B,-1.278B,-1.139B,-53.00M,-105.00M,52.00M,-239.00M,,104.00M,34.00M,-83.00M,536.40M,2.818B,1.732B,1.086B,,0.01,-0.03,,0.0537,-0.01,,0.01,-0.03,,0.0532,-0.01,,8.714B,8.811B,0.24,,AOR,Restated
2016-12,32.25B,32.25B,23.94B,8.307B,,3.805B,,,1.001B,,-738.00M,,7.19B,1.117B,,1.001B,-738.00M,518.00M,-738.00M,894.00M,-1.435B,2.33B,0.00,,6.00M,182.00M,2.336B,2.754B,5.324B,3.429B,1.895B,,0.40,0.00,,0.4474,0.40,,0.39,0.00,,0.4368,0.39,,8.812B,8.917B,0.24,,AOR,Restated
2016-09,29.04B,29.04B,20.97B,8.072B,,4.343B,,,961.00M,,-961.00M,-227.00M,4.116B,3.956B,,961.00M,-961.00M,-922.00M,-961.00M,2.074B,18.00M,2.056B,-105.00M,,76.00M,33.00M,2.027B,2.809B,6.676B,3.641B,3.035B,,0.24,-0.01,,0.3161,0.22,,0.23,-0.01,,0.3051,0.22,,8.904B,9.016B,0.23,,AOR,Restated
2016-06,30.34B,30.34B,22.38B,7.961B,,4.883B,,,1.326B,,-1.326B,-3.15B,1.733B,6.228B,,1.326B,-1.326B,-1.079B,-1.326B,3.824B,461.00M,3.363B,-541.00M,,86.00M,152.00M,2.908B,4.132B,6.445B,1.295B,5.15B,,0.36,-0.06,,0.4344,0.30,,0.36,-0.06,,0.4343,0.30,,9.179B,9.187B,0.23,,AOR,Restated
2016-03,27.84B,27.84B,20.36B,7.475B,,4.608B,,,1.736B,,-1.736B,-9.00M,4.599B,2.876B,,1.736B,-1.736B,-901.00M,-1.736B,238.00M,-177.00M,415.00M,-308.00M,,121.00M,289.00M,228.00M,921.20M,3.184B,1.21B,1.974B,,0.03,-0.03,,0.0715,-0.01,,0.03,-0.03,,0.0711,-0.01,,9.288B,9.383B,0.23,,AOR,Restated
2015-12,32.76B,32.76B,23.58B,9.173B,,4.773B,,,1.235B,,-1.235B,-1.135B,3.638B,5.535B,,1.235B,-1.235B,-2.398B,-1.235B,1.903B,-742.00M,2.645B,3.758B,,-103.00M,,6.301B,2.941B,4.431B,1.293B,3.138B,,0.26,0.38,,0.3018,0.64,,0.26,0.38,,0.3006,0.64,,9.521B,9.809B,0.23,,AOR,Restated
2015-09,27.86B,27.86B,19.86B,8.004B,,4.258B,,,897.00M,,-897.00M,-169.00M,4.089B,3.915B,,897.00M,-897.00M,-968.00M,-897.00M,2.05B,135.00M,1.915B,629.00M,,-39.00M,,2.506B,2.506B,6.501B,3.554B,2.947B,,0.19,0.05,,0.2522,0.25,,0.19,0.05,,0.2518,0.25,,10.10B,10.17B,0.23,,AOR,Restated
2015-06,28.45B,28.45B,20.57B,7.874B,,4.385B,,,713.00M,,-713.00M,-780.00M,3.605B,4.269B,,713.00M,-713.00M,-944.00M,-713.00M,2.612B,799.00M,1.813B,-2.947B,,-225.00M,,-1.36B,2.043B,4.513B,1.188B,3.325B,,0.17,-0.30,,0.2152,-0.13,,0.17,-0.30,,0.2149,-0.13,,10.09B,10.16B,0.23,,AOR,Restated
2015-03,26.10B,26.10B,18.68B,7.415B,,4.415B,,,618.00M,,-618.00M,-142.00M,4.273B,3.142B,,618.00M,-618.00M,-904.00M,-618.00M,1.621B,6.294B,-4.673B,-8.936B,,35.00M,,-13.57B,-4.269B,3.34B,1.101B,2.239B,,-0.45,-0.90,,-0.4135,-1.35,,-0.45,-0.90,,-0.4135,-1.35,,10.07B,10.07B,0.23,,AOR,Restated
2014-12,22.60B,22.60B,25.44B,-2.833B,,,,,-1.252B,,1.252B,14.00M,14.17B,-17.00B,,-1.252B,1.252B,17.04B,1.252B,1.288B,-261.00M,1.549B,3.79B,,-187.00M,,5.152B,1.746B,1.169B,1.133B,36.00M,,0.53,-0.02,,0.5681,0.51,,0.52,-0.02,,0.5579,0.51,,10.05B,10.13B,0.23,,AOR,Restated
2014-09,31.85B,31.85B,19.74B,12.11B,,,,858.00M,1.325B,,-1.325B,-258.00M,600.00M,11.51B,,1.325B,-1.325B,-6.98B,-1.325B,3.204B,401.00M,2.803B,706.00M,,28.00M,,3.537B,3.410B,5.954B,1.425B,4.529B,,0.28,0.07,,0.3377,0.35,,0.28,0.07,,0.3372,0.35,,10.04B,10.12B,0.22,,AOR,Restated
2014-06,31.92B,31.92B,20.01B,11.92B,,,,948.00M,1.299B,,-1.299B,-338.00M,610.00M,11.31B,,1.299B,-1.299B,-6.931B,-1.299B,3.076B,192.00M,2.884B,661.00M,,0.00,,3.545B,3.501B,4.581B,206.00M,4.375B,,0.29,0.07,,0.3515,0.35,,0.28,0.07,,0.3410,0.35,,10.03B,10.11B,0.22,,AOR,Restated
2014-03,33.35B,33.35B,18.52B,14.83B,,,,984.00M,2.141B,,-2.141B,-196.00M,788.00M,14.04B,,2.141B,-2.141B,-8.582B,-2.141B,3.319B,619.00M,2.70B,252.00M,,47.00M,,2.999B,3.251B,7.649B,2.189B,5.46B,,0.27,0.03,,0.3202,0.30,,0.27,0.02,,0.3198,0.30,,10.04B,10.12B,0.22,,AOR,Restated
2013-12,6.556B,6.556B,24.58B,-18.02B,,,,,-4.778B,,4.778B,-1.025B,13.66B,-31.69B,,-4.778B,4.778B,24.52B,4.778B,-2.392B,53.00M,-2.445B,5.81B,,-158.00M,,3.206B,-2.189B,-7.17B,-1.95B,-7.17B,,0.49,-0.07,,0.5298,0.42,,0.49,-0.08,,0.5296,0.41,,10.44B,10.49B,0.22,,AOR,Restated
2013-09,35.30B,35.30B,19.46B,15.84B,,,,789.00M,2.445B,,-2.445B,-363.00M,426.00M,15.42B,,2.445B,-2.445B,-9.352B,-2.445B,3.62B,348.00M,3.272B,-91.00M,,10.00M,,3.191B,3.889B,8.642B,2.577B,6.065B,,0.32,-0.03,,0.3792,0.31,,0.32,-0.03,,0.3788,0.31,,10.26B,10.33B,0.19,,AOR,Restated
2013-06,34.96B,34.96B,18.49B,16.46B,,,,1.01B,2.60B,,-2.60B,-104.00M,906.00M,15.56B,,2.60B,-2.60B,-9.225B,-2.60B,3.733B,310.00M,3.423B,-124.00M,,-166.00M,,3.133B,3.887B,8.599B,2.266B,6.333B,,0.32,-0.01,,0.3814,0.30,,0.31,-0.01,,0.3710,0.30,,10.26B,10.33B,0.19,,AOR,Restated
2013-03,33.33B,33.33B,17.32B,16.01B,,,,1.457B,2.603B,,-2.603B,-1.615B,-158.00M,16.17B,,2.603B,-2.603B,-9.429B,-2.603B,4.139B,508.00M,3.631B,-120.00M,,16.00M,,3.527B,4.228B,9.051B,2.309B,6.742B,,0.35,-0.01,,0.4060,0.34,,0.35,-0.01,,0.4057,0.34,,10.37B,10.43B,0.19,,AOR,Restated
2012-12,38.13B,38.13B,18.73B,19.39B,,,,1.104B,2.886B,,-2.886B,-826.00M,278.00M,19.12B,,2.886B,-2.886B,-10.99B,-2.886B,5.236B,816.00M,4.42B,-274.00M,,-135.00M,,4.011B,4.878B,10.62B,2.493B,8.122B,,0.41,-0.03,,0.4668,0.38,,0.41,-0.03,,0.4665,0.38,,10.44B,10.49B,0.19,,AOR,Restated
2012-09,35.47B,35.47B,18.51B,16.96B,,,,1.122B,2.972B,,-2.972B,-787.00M,335.00M,16.62B,,2.972B,-2.972B,-9.627B,-2.972B,4.024B,557.00M,3.467B,41.00M,,-17.00M,,3.491B,4.102B,9.283B,2.287B,6.996B,,0.33,0.00,,0.3919,0.33,,0.33,0.00,,0.3917,0.33,,10.52B,10.57B,0.17,,AOR,Restated
2012-06,36.00B,36.00B,19.20B,16.80B,,,,743.00M,3.202B,,-3.202B,-393.00M,350.00M,16.46B,,3.202B,-3.202B,-9.066B,-3.202B,4.187B,496.00M,3.691B,-553.00M,,-33.00M,,3.105B,4.242B,9.581B,2.192B,7.389B,,0.35,-0.05,,0.4052,0.29,,0.34,-0.05,,0.3950,0.29,,10.57B,10.61B,0.17,,AOR,Restated
2012-03,34.52B,34.52B,17.87B,16.65B,,,,863.00M,3.347B,,-3.347B,,863.00M,15.79B,,3.347B,-3.347B,-8.51B,-3.347B,3.934B,665.00M,3.269B,-197.00M,,-38.00M,,3.034B,3.843B,9.501B,2.22B,7.281B,,0.30,-0.02,,0.3579,0.29,,0.30,-0.02,,0.3577,0.29,,10.58B,10.61B,0.17,,AOR,Restated
2011-12,36.97B,32.16B,17.39B,14.78B,,,,1.037B,3.125B,,-3.125B,,-27.46B,42.24B,,3.125B,-3.125B,,-3.125B,4.422B,474.00M,3.948B,-135.00M,,-83.00M,0.00,3.73B,3.865B,9.589B,2.042B,7.547B,,0.37,-0.02,,0.37,0.35,,0.37,-0.02,,0.37,0.35,,10.58B,10.60B,0.17,,AOR,Restated
2011-09,34.81B,35.36B,16.76B,18.60B,10.15B,10.15B,,961.00M,3.731B,,-3.731B,,11.11B,7.498B,,3.731B,-3.731B,,-3.731B,3.767B,437.00M,3.33B,-65.00M,,-41.00M,881.00M,3.224B,3.289B,9.848B,2.35B,7.498B,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,10.58B,10.61B,0.15,,AOR,Restated
2011-06,35.00B,35.62B,17.42B,18.21B,9.108B,9.108B,,792.00M,3.77B,,-3.77B,,9.90B,8.306B,,3.77B,-3.77B,,-3.77B,4.536B,892.00M,3.644B,194.00M,,-74.00M,75.00M,3.764B,3.57B,10.61B,2.302B,8.306B,,0.33,0.02,,0.33,0.35,,0.33,0.02,,0.33,0.35,,10.60B,10.64B,0.15,,AOR,Restated
2011-03,34.70B,38.33B,16.72B,21.61B,9.243B,9.243B,,1.14B,3.796B,,-3.796B,,10.38B,11.23B,,3.796B,-3.796B,,-3.796B,7.434B,3.942B,3.492B,35.00M,,-94.00M,75.00M,3.433B,3.398B,13.52B,2.292B,11.23B,,0.31,0.01,,0.31,0.32,,0.31,0.00,,0.31,0.31,,10.61B,10.64B,0.14,,AOR,Restated
2010-12,40.86B,40.05B,20.38B,19.67B,,,,1.261B,3.848B,,-3.848B,,-27.72B,47.38B,,3.848B,-3.848B,,-3.848B,3.642B,-585.00M,4.227B,537.00M,,-229.00M,75.00M,4.535B,3.998B,9.827B,2.337B,7.49B,,0.36,0.06,,0.36,0.42,,0.36,0.06,,0.36,0.42,,10.63B,10.70B,0.14,,AOR,Restated
2010-09,35.19B,35.37B,16.63B,18.75B,9.704B,9.704B,,1.637B,3.822B,,-3.822B,,11.34B,7.405B,,3.822B,-3.822B,,-3.822B,3.583B,319.00M,3.264B,-1.052B,,-157.00M,75.00M,2.055B,3.107B,10.02B,2.611B,7.405B,,0.28,-0.10,,0.28,0.18,,0.28,-0.10,,0.28,0.18,,10.67B,10.67B,0.12,,AOR,Restated
2010-06,36.65B,36.93B,17.20B,19.73B,9.608B,9.608B,,2.007B,3.946B,,-3.946B,,11.62B,8.118B,,3.946B,-3.946B,,-3.946B,4.172B,866.00M,3.306B,-101.00M,,-96.00M,75.00M,3.109B,3.21B,10.49B,2.373B,8.118B,,0.29,-0.01,,0.29,0.28,,0.29,-0.01,,0.29,0.28,,10.68B,10.70B,0.10,,AOR,Restated
2010-03,35.85B,36.20B,17.51B,18.69B,9.675B,9.675B,,2.187B,4.023B,,-4.023B,,11.86B,6.83B,,4.023B,-4.023B,,-4.023B,2.807B,443.00M,2.364B,-366.00M,,-53.00M,75.00M,1.945B,2.311B,9.295B,2.465B,6.83B,,0.21,-0.04,,0.21,0.17,,0.21,-0.04,,0.21,0.17,,10.67B,10.67B,0.10,,AOR,Restated
2009-12,39.83B,39.93B,20.50B,19.43B,10.54B,10.54B,,2.606B,4.007B,,-4.007B,,13.15B,6.279B,,4.007B,-4.007B,,-4.007B,2.272B,-582.00M,2.854B,257.00M,,-98.00M,75.00M,3.013B,2.756B,9.005B,2.726B,6.279B,,0.25,0.03,,0.25,0.28,,0.25,0.03,,0.25,0.28,,10.65B,10.66B,0.10,,AOR,Restated
2009-09,37.36B,37.80B,18.55B,19.25B,10.09B,10.09B,,2.868B,4.322B,,-4.322B,,12.95B,6.297B,,4.322B,-4.322B,,-4.322B,1.975B,-484.00M,2.459B,40.00M,,-5.00M,75.00M,2.494B,2.454B,8.955B,2.658B,6.297B,,0.22,0.01,,0.22,0.23,,0.22,0.01,,0.22,0.23,,10.64B,10.64B,0.10,,AOR,Restated
2009-06,39.07B,39.11B,18.80B,20.30B,9.712B,9.712B,,2.817B,4.653B,,-4.653B,,12.53B,7.775B,,4.653B,-4.653B,,-4.653B,3.122B,227.00M,2.895B,-194.00M,,-12.00M,75.00M,2.689B,2.883B,10.28B,2.504B,7.775B,,0.26,-0.01,,0.26,0.25,,0.26,-0.01,,0.26,0.25,,10.61B,10.61B,0.10,,AOR,Restated
2009-03,38.01B,38.44B,18.07B,20.37B,10.08B,10.08B,,2.336B,5.327B,,-5.327B,,12.42B,7.953B,,5.327B,-5.327B,,-5.327B,2.626B,-309.00M,2.935B,-21.00M,,-85.00M,75.00M,2.829B,2.85B,10.68B,2.731B,7.953B,,0.26,0.00,,0.26,0.26,,0.26,0.00,,0.26,0.26,,10.56B,10.56B,0.31,,AOR,Restated
2008-12,45.39B,45.28B,22.91B,22.37B,11.32B,11.32B,,2.78B,5.655B,,-5.655B,,14.10B,8.267B,,5.655B,-5.655B,,-5.655B,2.612B,-1.332B,3.944B,-83.00M,,-139.00M,,3.722B,3.805B,11.53B,3.265B,8.267B,,0.41,-0.06,,0.41,0.35,,0.41,-0.06,,0.41,0.35,,10.42B,10.42B,0.31,,AOR,Restated
2008-09,46.69B,47.23B,22.14B,25.10B,11.33B,11.33B,,1.641B,6.955B,,-6.955B,,12.97B,12.13B,,6.955B,-6.955B,,-6.955B,5.172B,539.00M,4.633B,-165.00M,,-156.00M,,4.312B,4.477B,14.99B,2.861B,12.13B,,0.43,0.00,,0.43,0.43,,0.43,0.00,,0.43,0.43,,9.953B,9.97B,0.31,,AOR,Restated
2008-06,46.27B,46.84B,20.73B,26.11B,11.39B,11.39B,,1.469B,6.621B,,-6.621B,,12.86B,13.25B,,6.621B,-6.621B,,-6.621B,6.632B,1.054B,5.578B,-322.00M,,-184.00M,,5.072B,5.394B,15.93B,2.673B,13.25B,,0.51,0.00,,0.51,0.51,,0.51,0.00,,0.51,0.51,,9.958B,9.958B,0.31,,AOR,Restated
2008-03,41.65B,42.23B,17.99B,24.24B,11.01B,11.01B,,1.343B,6.527B,,-6.527B,,12.35B,11.88B,,6.527B,-6.527B,,-6.527B,5.354B,841.00M,4.513B,-47.00M,,-162.00M,,4.304B,4.351B,14.56B,2.682B,11.88B,,0.44,-0.01,,0.44,0.43,,0.43,-0.01,,0.43,0.43,,9.978B,10.01B,0.31,,AOR,Restated
2007-12,50.85B,48.53B,21.51B,27.02B,11.31B,11.31B,,1.299B,6.483B,,-6.483B,,12.61B,14.41B,,6.483B,-6.483B,,-6.483B,8.564B,821.00M,7.743B,-131.00M,,,,6.696B,6.827B,17.89B,2.844B,15.05B,,0.68,-0.01,,0.68,0.66,,0.68,-0.01,,0.68,0.66,,10.04B,10.07B,0.31,,AOR,Restated
2007-09,42.13B,42.51B,18.26B,24.25B,11.05B,11.05B,-190.00M,1.19B,6.07B,,-6.07B,,12.24B,12.01B,,6.07B,-6.07B,-190.00M,-6.07B,5.751B,640.00M,5.111B,448.00M,,,,5.559B,5.280B,14.40B,2.58B,11.82B,,0.50,0.05,,0.5166,0.55,,0.50,0.04,,0.5165,0.54,,10.18B,10.22B,0.28,,AOR,Restated
2007-06,40.96B,42.38B,17.51B,24.88B,10.89B,10.89B,-221.00M,1.057B,5.645B,,-5.645B,,11.94B,12.93B,,5.645B,-5.645B,-221.00M,-5.645B,7.066B,1.453B,5.613B,-231.00M,,,,5.382B,5.789B,15.12B,2.411B,12.71B,,0.55,-0.03,,0.5671,0.52,,0.54,-0.03,,0.5570,0.52,,10.27B,10.30B,0.28,,AOR,Restated
2007-03,38.69B,39.20B,15.85B,23.35B,10.46B,10.46B,-223.00M,936.00M,5.578B,,-5.578B,,11.39B,11.96B,,5.578B,-5.578B,-223.00M,-5.578B,6.16B,1.232B,4.928B,-357.00M,,,,4.571B,5.106B,14.18B,2.44B,11.74B,,0.48,-0.04,,0.4973,0.44,,0.48,-0.04,,0.4973,0.44,,10.28B,10.32B,0.28,,AOR,Restated
2006-12,40.54B,41.03B,17.81B,23.22B,9.99B,9.99B,-227.00M,862.00M,5.153B,,-5.153B,,10.85B,12.37B,,5.153B,-5.153B,-227.00M,-5.153B,6.99B,1.064B,5.926B,532.00M,,,,6.458B,6.118B,14.44B,2.298B,12.14B,,0.58,0.04,,0.5987,0.62,,0.57,0.04,,0.5886,0.62,,10.30B,10.33B,0.28,,AOR,Restated
2006-09,37.31B,37.87B,16.62B,21.26B,9.613B,9.613B,-198.00M,793.00M,5.03B,,-5.03B,,10.41B,10.85B,,5.03B,-5.03B,-198.00M,-5.03B,5.624B,875.00M,4.749B,117.00M,,,,4.866B,4.916B,12.76B,2.108B,10.65B,,0.46,0.01,,0.4762,0.47,,0.46,0.01,,0.4762,0.47,,10.32B,10.35B,0.25,,AOR,Restated
2006-06,37.10B,37.74B,16.32B,21.42B,9.967B,9.967B,-216.00M,896.00M,4.48B,,-4.48B,,10.86B,10.56B,,4.48B,-4.48B,-216.00M,-4.48B,5.864B,1.063B,4.801B,145.00M,,,,4.946B,4.978B,12.26B,1.919B,10.34B,,0.46,0.02,,0.4771,0.48,,0.46,0.02,,0.4770,0.48,,10.36B,10.40B,0.25,,AOR,Restated
2006-03,37.58B,38.03B,17.66B,20.37B,9.786B,9.786B,-238.00M,822.00M,4.348B,,-4.348B,,10.61B,9.76B,,4.348B,-4.348B,-238.00M,-4.348B,5.174B,997.00M,4.177B,263.00M,,,,4.44B,4.369B,11.65B,2.132B,9.522B,,0.43,0.00,,0.4484,0.43,,0.42,0.00,,0.4384,0.42,,10.44B,10.44B,0.25,,AOR,Restated
2005-12,28.91B,29.32B,11.64B,17.68B,7.814B,7.814B,-180.00M,284.00M,3.639B,,-3.639B,,8.098B,9.58B,,3.639B,-3.639B,-180.00M,-3.639B,5.761B,935.00M,4.826B,-1.395B,,,,3.431B,4.977B,10.76B,1.358B,9.40B,,0.46,-0.13,,0.4744,0.33,,0.46,-0.14,,0.4743,0.32,,10.51B,10.54B,0.25,,AOR,Restated
2005-09,36.02B,36.37B,16.00B,20.37B,9.623B,9.623B,-230.00M,1.095B,3.715B,,-3.715B,,10.72B,9.649B,,3.715B,-3.715B,-230.00M,-3.715B,5.704B,1.112B,4.592B,85.00M,,,,4.677B,4.777B,11.64B,2.217B,9.419B,,0.43,0.01,,0.4475,0.44,,0.43,0.01,,0.4474,0.44,,10.58B,10.62B,0.22,,AOR,Restated
2005-06,35.94B,36.54B,16.60B,19.94B,9.54B,9.54B,-290.00M,958.00M,3.786B,,-3.786B,,10.50B,9.445B,,3.786B,-3.786B,-290.00M,-3.786B,5.369B,993.00M,4.376B,271.00M,,,,4.647B,4.612B,11.14B,1.986B,9.155B,,0.41,0.03,,0.4323,0.44,,0.41,0.03,,0.4322,0.44,,10.60B,10.65B,0.22,,AOR,Restated
