,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2009-04,7.359B,26.19B,33.55B,2.392B,,,2.392B,315.00M,39.00M,634.00M,35.00M,1.023B,2.32B,2.05B,,41.34B,4.534B,7.591B,,12.12B,-8.036B,4.089B,12.57B,1.656B,14.22B,725.00M,,882.00M,,2.091B,1.318B,23.33B,64.67B,653.00M,83.00M,736.00M,,736.00M,,,,,,6.11B,6.11B,3.602B,12.86B,10.32B,10.32B,,2.663B,2.663B,27.00M,504.00M,14.52B,27.38B,33.97B,3.292B,,,-10.00M,37.26B
2009-01,4.175B,25.36B,29.53B,2.893B,,,2.893B,311.00M,50.00M,708.00M,38.00M,1.107B,2.33B,2.134B,,38.00B,4.499B,7.428B,,11.93B,-7.786B,4.141B,12.57B,1.792B,14.36B,716.00M,,874.00M,,2.139B,1.128B,23.36B,61.36B,625.00M,108.00M,733.00M,,733.00M,,,,500.00M,500.00M,6.592B,6.592B,3.701B,13.60B,6.348B,6.348B,,2.708B,2.708B,18.00M,698.00M,10.95B,24.56B,34.09B,2.695B,,,-4.00M,36.78B
2008-10,4.197B,22.57B,26.76B,3.278B,,,3.278B,323.00M,65.00M,776.00M,45.00M,1.209B,2.341B,2.071B,,35.66B,4.438B,7.31B,,11.75B,-7.567B,4.181B,12.55B,1.976B,14.53B,703.00M,,842.00M,,1.886B,1.083B,23.22B,58.89B,804.00M,101.00M,905.00M,,905.00M,,,500.00M,500.00M,500.00M,6.276B,6.276B,3.767B,13.55B,6.371B,6.371B,,2.568B,2.568B,24.00M,682.00M,10.28B,23.83B,33.79B,1.58B,,,-336.00M,35.04B
2008-07,5.191B,21.04B,26.24B,3.821B,,,3.821B,302.00M,53.00M,833.00M,47.00M,1.235B,2.333B,2.075B,,35.70B,4.445B,7.257B,,11.70B,-7.551B,4.151B,12.39B,2.089B,14.48B,706.00M,216.00M,862.00M,,1.77B,849.00M,23.04B,58.73B,869.00M,107.00M,976.00M,,976.00M,,,,500.00M,500.00M,6.197B,6.197B,3.757B,13.86B,6.393B,6.393B,,2.663B,2.663B,49.00M,669.00M,10.47B,24.33B,33.50B,120.00M,,,728.00M,34.35B
2008-04,6.154B,18.28B,24.43B,4.183B,,,4.183B,320.00M,48.00M,870.00M,41.00M,1.279B,2.172B,2.078B,,34.14B,4.282B,7.081B,,11.36B,-7.318B,4.045B,12.42B,2.181B,14.60B,678.00M,754.00M,,,1.851B,1.05B,22.98B,57.12B,808.00M,83.00M,891.00M,,891.00M,,,500.00M,500.00M,500.00M,6.103B,6.103B,3.545B,13.36B,6.415B,6.415B,,2.487B,2.487B,63.00M,646.00M,10.56B,23.92B,32.93B,-843.00M,,,1.05B,33.14B
2008-01,5.202B,17.49B,22.69B,4.165B,,,4.165B,349.00M,58.00M,820.00M,40.00M,1.267B,2.269B,2.048B,,32.44B,4.159B,6.885B,,11.04B,-7.071B,3.973B,12.39B,2.338B,14.73B,666.00M,706.00M,,361.00M,1.613B,811.00M,22.86B,55.30B,763.00M,96.00M,859.00M,,859.00M,,,,,,5.786B,5.786B,3.567B,12.19B,6.851B,6.851B,,2.197B,2.197B,81.00M,375.00M,10.21B,22.41B,32.77B,-1.073B,,,1.112B,32.81B
2007-10,4.413B,20.27B,24.68B,3.418B,,,3.418B,341.00M,45.00M,894.00M,35.00M,1.315B,2.127B,1.916B,,33.46B,4.095B,6.695B,,10.79B,-6.834B,3.956B,12.16B,2.379B,14.54B,660.00M,628.00M,,,1.612B,854.00M,22.25B,55.70B,820.00M,439.00M,1.259B,,1.259B,,,,,,5.381B,5.381B,3.66B,12.22B,6.582B,6.582B,,1.726B,1.726B,131.00M,489.00M,9.479B,21.70B,32.51B,121.00M,,,1.241B,33.87B
2007-07,3.728B,18.54B,22.27B,3.989B,,,3.989B,384.00M,45.00M,858.00M,35.00M,1.322B,2.044B,1.953B,,31.57B,4.022B,6.444B,,10.47B,-6.573B,3.893B,12.12B,2.54B,14.66B,643.00M,,816.00M,,1.06B,693.00M,21.77B,53.34B,786.00M,1.74B,2.526B,,2.526B,,,,,,5.391B,5.391B,3.422B,13.36B,6.408B,6.408B,,1.646B,1.646B,10.00M,438.00M,8.492B,21.85B,30.69B,231.00M,,,562.00M,31.48B
2007-04,5.457B,16.88B,22.34B,3.238B,,,3.238B,385.00M,117.00M,752.00M,35.00M,1.289B,1.922B,1.755B,,30.54B,3.852B,6.265B,,10.12B,-6.422B,3.695B,9.493B,1.909B,11.40B,641.00M,526.00M,277.00M,,1.147B,607.00M,18.30B,48.84B,864.00M,1.525B,2.389B,,2.389B,,,,,,4.854B,4.854B,2.938B,11.97B,6.478B,6.478B,,1.485B,1.485B,9.00M,373.00M,8.336B,20.31B,28.41B,-457.00M,,,564.00M,28.52B
2007-01,2.434B,18.25B,20.68B,2.908B,,,2.908B,371.00M,440.00M,795.00M,36.00M,1.642B,1.612B,1.673B,,28.52B,3.736B,5.969B,,9.705B,-6.166B,3.539B,9.318B,1.96B,11.28B,636.00M,479.00M,277.00M,,972.00M,557.00M,17.74B,46.25B,931.00M,1.33B,2.261B,,2.261B,,,,,,4.718B,4.718B,2.923B,11.49B,6.416B,6.416B,,1.343B,1.343B,8.00M,414.00M,8.173B,19.66B,27.24B,-1.083B,,,420.00M,26.58B
2006-10,4.313B,15.21B,19.52B,3.091B,,,3.091B,345.00M,402.00M,696.00M,34.00M,1.477B,1.581B,1.582B,,27.25B,3.674B,5.718B,,9.392B,-5.948B,3.444B,9.298B,2.065B,11.36B,618.00M,468.00M,277.00M,,943.00M,544.00M,17.66B,44.91B,869.00M,1.605B,2.474B,,2.474B,,,,,,4.546B,4.546B,2.774B,11.28B,6.455B,6.455B,,1.219B,1.219B,14.00M,410.00M,8.084B,19.36B,25.42B,-233.00M,,,343.00M,25.53B
2006-07,3.297B,14.52B,17.81B,3.303B,,,3.303B,301.00M,377.00M,659.00M,34.00M,1.371B,1.584B,1.604B,,25.68B,3.647B,5.546B,,9.193B,-5.753B,3.44B,9.227B,2.161B,11.39B,574.00M,464.00M,279.00M,,983.00M,511.00M,17.64B,43.32B,880.00M,1.744B,2.624B,,2.624B,,,,,,4.408B,4.408B,2.765B,11.31B,6.332B,6.332B,,1.241B,1.241B,6.00M,511.00M,8.084B,19.40B,24.26B,-617.00M,,,272.00M,23.91B
2006-04,4.237B,13.95B,18.18B,2.98B,,,2.98B,322.00M,336.00M,619.00M,36.00M,1.313B,1.527B,1.484B,,25.49B,3.625B,5.428B,,9.053B,-5.574B,3.479B,9.186B,2.356B,11.54B,548.00M,398.00M,279.00M,,856.00M,493.00M,17.60B,43.08B,837.00M,1.346B,2.183B,,2.183B,,,,,,4.30B,4.30B,2.516B,10.43B,6.346B,6.346B,,1.188B,1.188B,8.00M,495.00M,8.029B,18.46B,24.13B,121.00M,,,362.00M,24.62B
2006-01,5.151B,9.838B,14.99B,2.537B,,,2.537B,267.00M,477.00M,564.00M,37.00M,1.345B,1.264B,1.476B,,21.61B,3.538B,5.182B,,8.72B,-5.404B,3.316B,5.422B,510.00M,5.932B,452.00M,379.00M,277.00M,,1.329B,356.00M,12.04B,33.65B,684.00M,1.437B,2.121B,,2.121B,,,,,,3.937B,3.937B,2.243B,9.521B,,,,1.163B,1.163B,4.00M,,1.163B,10.68B,22.91B,-268.00M,,,325.00M,22.96B
2005-10,1.704B,11.79B,13.49B,2.342B,,,2.342B,270.00M,426.00M,582.00M,40.00M,1.318B,1.193B,1.41B,,19.75B,3.524B,5.014B,,8.538B,-5.203B,3.335B,5.412B,548.00M,5.96B,433.00M,366.00M,277.00M,,1.294B,337.00M,12.00B,31.76B,721.00M,1.462B,2.183B,,2.183B,,,,,,3.716B,3.716B,2.144B,9.236B,,,,1.078B,1.078B,4.00M,,1.078B,10.31B,22.26B,-1.046B,,,222.00M,21.44B
2005-07,4.742B,11.31B,16.06B,2.216B,,,2.216B,262.00M,431.00M,569.00M,35.00M,1.297B,967.00M,1.475B,,22.01B,3.492B,4.83B,,8.322B,-5.002B,3.32B,5.295B,549.00M,5.844B,421.00M,353.00M,277.00M,,1.308B,350.00M,11.87B,33.88B,735.00M,1.511B,2.246B,,2.246B,,,,,,3.854B,3.854B,2.094B,9.511B,,,,1.188B,1.188B,10.00M,,1.188B,10.70B,22.39B,506.00M,,,274.00M,23.17B
2005-04,2.641B,2.397B,5.038B,2.241B,,,2.241B,266.00M,427.00M,556.00M,31.00M,1.28B,867.00M,1.537B,,10.96B,3.49B,4.687B,,8.177B,-4.879B,3.298B,5.063B,459.00M,5.522B,11.55B,317.00M,857.00M,,1.139B,327.00M,23.01B,33.97B,706.00M,1.418B,2.124B,,2.124B,,,,,,3.80B,3.80B,2.005B,9.187B,,,,1.016B,1.016B,11.00M,,1.016B,10.20B,22.45B,1.002B,,,304.00M,23.76B
2005-01,2.473B,3.291B,5.764B,2.278B,,,2.278B,256.00M,415.00M,554.00M,30.00M,1.255B,792.00M,1.881B,,11.97B,3.494B,4.539B,,8.033B,-4.731B,3.302B,4.674B,396.00M,5.07B,11.16B,272.00M,690.00M,,1.039B,318.00M,21.86B,33.82B,673.00M,1.397B,2.07B,,2.07B,,,,,,3.657B,3.657B,2.126B,9.072B,,,,990.00M,990.00M,12.00M,,990.00M,10.06B,22.14B,1.245B,,,361.00M,23.75B
2004-10,3.309B,3.489B,6.798B,1.792B,,,1.792B,60.00M,408.00M,714.00M,28.00M,1.21B,878.00M,1.798B,,12.48B,3.457B,4.361B,,7.818B,-4.539B,3.279B,4.535B,399.00M,4.934B,11.27B,,944.00M,,1.027B,379.00M,21.84B,34.31B,680.00M,1.161B,1.841B,,1.841B,,,,,,3.291B,3.291B,2.307B,8.626B,,,,970.00M,970.00M,128.00M,,970.00M,9.596B,22.15B,2.079B,,,359.00M,24.59B
2004-07,3.722B,4.947B,8.669B,1.825B,,,1.825B,235.00M,416.00M,522.00M,34.00M,1.207B,815.00M,1.827B,,14.34B,3.429B,4.213B,,7.642B,-4.352B,3.29B,4.198B,325.00M,4.523B,10.95B,231.00M,690.00M,,1.13B,435.00M,21.25B,35.59B,657.00M,963.00M,1.62B,,1.62B,,,,,,3.527B,3.527B,2.09B,8.703B,,,,975.00M,975.00M,90.00M,,975.00M,9.678B,22.45B,3.164B,,,212.00M,25.83B
2004-04,3.949B,4.912B,8.861B,1.54B,,65.00M,1.605B,56.00M,422.00M,611.00M,32.00M,1.121B,581.00M,1.905B,,14.07B,3.424B,4.354B,,7.778B,-4.427B,3.351B,4.198B,387.00M,4.585B,10.44B,19.00M,983.00M,,1.316B,425.00M,21.12B,35.20B,604.00M,848.00M,1.452B,,1.452B,,,,,,3.42B,3.42B,1.97B,8.274B,,,,937.00M,937.00M,5.00M,,937.00M,9.211B,22.28B,3.489B,,,215.00M,25.98B
2004-01,4.225B,5.155B,9.38B,2.04B,,57.00M,2.097B,50.00M,302.00M,543.00M,38.00M,933.00M,604.00M,1.947B,,14.96B,3.455B,4.285B,,7.74B,-4.299B,3.441B,4.103B,441.00M,4.544B,10.82B,24.00M,965.00M,,1.40B,433.00M,21.63B,36.59B,645.00M,715.00M,1.36B,,1.36B,,,,,,3.202B,3.202B,2.118B,8.08B,,,,863.00M,863.00M,11.00M,,863.00M,8.943B,22.30B,4.902B,,,432.00M,27.64B
2003-10,4.158B,4.837B,8.995B,1.388B,,140.00M,1.528B,37.00M,271.00M,539.00M,28.00M,875.00M,567.00M,2.062B,,14.03B,3.431B,4.31B,,7.741B,-4.17B,3.571B,4.043B,490.00M,4.533B,11.18B,30.00M,769.00M,,1.287B,448.00M,21.82B,35.85B,602.00M,687.00M,1.289B,,1.289B,,,,,,3.001B,3.001B,2.241B,7.715B,,,,706.00M,706.00M,10.00M,,706.00M,8.421B,21.09B,5.955B,,,370.00M,27.42B
2003-07,3.925B,4.56B,8.485B,1.351B,,,1.351B,38.00M,291.00M,515.00M,29.00M,873.00M,753.00M,1.975B,,13.44B,3.411B,4.263B,,7.674B,-4.031B,3.643B,4.043B,556.00M,4.599B,12.68B,158.00M,727.00M,,1.476B,384.00M,23.67B,37.11B,594.00M,739.00M,1.333B,,1.333B,,,,,,3.034B,3.034B,2.457B,8.294B,,,,774.00M,774.00M,10.00M,,774.00M,9.068B,21.12B,6.559B,,,354.00M,28.03B
2003-04,3.94B,4.048B,7.988B,1.157B,,181.00M,1.338B,51.00M,259.00M,422.00M,33.00M,765.00M,595.00M,1.935B,,12.62B,3.384B,4.315B,,7.699B,-3.894B,3.805B,3.813B,551.00M,4.364B,12.86B,47.00M,775.00M,,1.44B,347.00M,23.64B,36.26B,480.00M,544.00M,1.024B,,1.024B,,,,,,2.954B,2.954B,2.524B,7.795B,,,,805.00M,805.00M,11.00M,,805.00M,8.60B,20.59B,6.767B,,,286.00M,27.64B
2003-01,5.013B,4.523B,9.536B,1.107B,,175.00M,1.282B,50.00M,252.00M,434.00M,39.00M,775.00M,580.00M,2.116B,,14.29B,3.364B,4.202B,,7.566B,-3.676B,3.89B,3.717B,606.00M,4.323B,12.18B,38.00M,769.00M,,1.488B,373.00M,23.06B,37.35B,518.00M,773.00M,1.291B,,1.291B,,,,,,2.92B,2.92B,2.602B,8.064B,,,,817.00M,817.00M,10.00M,,817.00M,8.881B,20.81B,7.346B,,,295.00M,28.46B
2002-10,6.986B,3.325B,10.31B,1.109B,,194.00M,1.303B,55.00M,283.00M,444.00M,46.00M,828.00M,548.00M,2.106B,,15.10B,3.30B,4.061B,,7.361B,-3.44B,3.921B,3.709B,682.00M,4.391B,11.36B,45.00M,433.00M,,1.534B,417.00M,22.10B,37.20B,540.00M,508.00M,1.048B,,1.048B,,,,,,2.98B,2.98B,2.76B,7.871B,,,,771.00M,771.00M,10.00M,,771.00M,8.642B,20.88B,7.527B,,,144.00M,28.55B
2002-07,9.484B,3.172B,12.66B,1.105B,,239.00M,1.344B,38.00M,297.00M,490.00M,55.00M,880.00M,523.00M,2.03B,,17.43B,3.352B,3.953B,,7.305B,-3.203B,4.102B,3.565B,797.00M,4.362B,9.277B,61.00M,431.00M,,1.663B,466.00M,20.36B,37.80B,470.00M,579.00M,1.049B,,1.049B,,,,,,3.143B,3.143B,2.818B,8.375B,,,,749.00M,749.00M,15.00M,,749.00M,9.124B,20.95B,7.733B,,,-27.00M,28.66B
2002-04,6.493B,2.478B,8.971B,990.00M,,272.00M,1.262B,45.00M,299.00M,462.00M,63.00M,869.00M,498.00M,2.01B,,13.61B,,,,,,4.002B,3.35B,1.09B,4.44B,12.64B,106.00M,485.00M,,1.40B,442.00M,23.52B,37.13B,436.00M,292.00M,728.00M,,728.00M,,,,,,3.122B,3.122B,2.864B,7.98B,,,,711.00M,711.00M,16.00M,,711.00M,8.691B,20.63B,7.684B,,,104.00M,28.42B
2002-01,5.337B,2.211B,7.548B,1.15B,,389.00M,1.539B,64.00M,339.00M,537.00M,83.00M,1.023B,570.00M,2.085B,,12.76B,,,,,,2.504B,3.326B,1.224B,4.55B,12.98B,97.00M,510.00M,,1.304B,1.599B,23.94B,36.70B,371.00M,277.00M,648.00M,,648.00M,,,,,,3.047B,3.047B,2.644B,7.753B,,,,790.00M,790.00M,18.00M,,790.00M,8.543B,20.60B,7.246B,,,294.00M,28.14B
2001-10,4.487B,2.873B,7.36B,1.181B,,395.00M,1.576B,521.00M,100.00M,594.00M,86.00M,1.301B,513.00M,2.271B,,13.02B,,,,,,2.585B,3.30B,1.366B,4.666B,11.35B,112.00M,541.00M,,1.22B,1.651B,22.52B,35.54B,459.00M,276.00M,735.00M,,735.00M,,,,,,2.784B,2.784B,2.62B,7.319B,,,,751.00M,751.00M,20.00M,,751.00M,8.07B,20.37B,6.80B,,,278.00M,27.45B
2001-07,4.873B,2.034B,6.907B,1.466B,,405.00M,1.871B,662.00M,260.00M,669.00M,93.00M,1.684B,564.00M,1.809B,,12.84B,1.30B,3.729B,,5.029B,-2.438B,2.591B,3.189B,1.47B,4.659B,11.12B,84.00M,696.00M,,1.314B,1.618B,22.40B,35.24B,644.00M,241.00M,885.00M,,885.00M,,,,,,2.47B,2.47B,2.939B,7.352B,,,,744.00M,744.00M,22.00M,,744.00M,8.096B,20.05B,7.344B,,,-275.00M,27.12B
2001-04,5.102B,1.098B,6.20B,1.983B,,488.00M,2.471B,947.00M,338.00M,542.00M,86.00M,1.913B,542.00M,950.00M,,12.08B,,,,,,2.41B,3.991B,964.00M,4.955B,10.57B,91.00M,846.00M,,907.00M,1.614B,21.71B,33.79B,664.00M,111.00M,775.00M,,775.00M,,,,,,2.585B,2.585B,3.109B,7.675B,,,0.00,,0.00,22.00M,,0.00,7.675B,18.74B,7.337B,,,11.00M,26.09B
2001-01,3.994B,788.00M,4.782B,3.512B,,454.00M,3.966B,941.00M,902.00M,610.00M,80.00M,2.533B,469.00M,1.162B,,12.91B,,,,,,2.211B,3.645B,1.051B,4.696B,12.77B,831.00M,516.00M,,,1.623B,22.97B,35.88B,942.00M,287.00M,1.229B,,1.229B,,,,,,1.994B,1.994B,1.80B,6.335B,,,0.00,,0.00,48.00M,,0.00,6.335B,18.20B,10.03B,,,1.265B,29.50B
2000-10,5.538B,853.00M,6.391B,2.887B,,459.00M,3.346B,631.00M,621.00M,618.00M,86.00M,1.956B,724.00M,642.00M,,13.06B,,,,,,1.769B,3.364B,1.063B,4.427B,11.81B,,550.00M,,,2.539B,21.09B,34.15B,999.00M,256.00M,1.255B,,1.255B,,,,,,1.697B,1.697B,1.767B,5.802B,,,664.00M,,664.00M,45.00M,,664.00M,6.466B,16.10B,9.156B,,,2.382B,27.64B
2000-07,4.234B,1.291B,5.525B,2.299B,,588.00M,2.887B,145.00M,472.00M,496.00M,119.00M,1.232B,375.00M,1.091B,,11.11B,607.00M,2.398B,,3.005B,-1.579B,1.426B,2.937B,1.15B,4.087B,13.87B,205.00M,527.00M,,,1.646B,21.76B,32.87B,739.00M,233.00M,972.00M,,972.00M,,,,,,1.386B,1.386B,1.521B,5.196B,,,1.132B,,1.132B,45.00M,,1.132B,6.328B,14.61B,8.358B,,,3.53B,26.50B
2000-04,3.542B,1.111B,4.653B,1.922B,,,1.922B,109.00M,303.00M,360.00M,106.00M,878.00M,722.00M,905.00M,,9.08B,,,,,,1.153B,2.20B,1.014B,3.214B,10.42B,,,,,2.219B,17.00B,26.08B,596.00M,941.00M,1.537B,3.562B,5.099B,,,,,,,,,5.099B,,,915.00M,,915.00M,45.00M,,915.00M,6.014B,10.70B,7.624B,,,1.701B,20.03B
2000-01,3.719B,249.00M,3.968B,1.711B,,,1.711B,91.00M,263.00M,280.00M,61.00M,695.00M,637.00M,711.00M,,7.722B,,,,,,1.004B,374.00M,588.00M,962.00M,10.38B,,,,,1.321B,13.67B,21.39B,482.00M,595.00M,1.077B,2.701B,3.778B,,,,,,,,,3.778B,,,1.045B,,1.045B,45.00M,,1.045B,4.823B,7.691B,7.011B,,,1.821B,16.52B
1999-10,1.251B,514.00M,1.765B,1.391B,,,1.391B,79.00M,263.00M,265.00M,48.00M,655.00M,477.00M,604.00M,,4.892B,,,,,,898.00M,299.00M,616.00M,915.00M,9.471B,,,,,1.231B,12.52B,17.41B,484.00M,475.00M,959.00M,2.07B,3.029B,,,,,,,,,3.029B,,,452.00M,,452.00M,44.00M,,452.00M,3.481B,6.794B,6.264B,,,824.00M,13.88B
1999-07,913.00M,1.189B,2.102B,1.25B,,,1.25B,143.00M,198.00M,282.00M,35.00M,658.00M,171.00M,580.00M,,4.761B,0.00,1.562B,289.00M,1.851B,-1.026B,825.00M,157.00M,303.00M,460.00M,7.032B,,500.00M,,,1.315B,10.13B,14.89B,374.00M,630.00M,1.004B,,1.004B,,,,,,724.00M,724.00M,631.00M,3.038B,,,0.00,,0.00,44.00M,,0.00,3.038B,5.731B,5.782B,,,298.00M,11.81B
1999-04,690.00M,1.161B,1.851B,1.275B,,,1.275B,118.00M,232.00M,230.00M,41.00M,621.00M,89.00M,490.00M,,4.326B,,,,,,701.00M,,,,5.84B,,,,,1.841B,8.382B,12.71B,348.00M,522.00M,870.00M,1.542B,2.412B,,,,,,,,,2.412B,,,,,,44.00M,,0.00,2.412B,4.847B,5.28B,,,125.00M,10.25B
1999-01,1.421B,886.00M,2.307B,1.477B,,,1.477B,74.00M,197.00M,168.00M,33.00M,472.00M,144.00M,408.00M,,4.808B,,,,,,679.00M,,,,4.225B,,,,,1.722B,6.626B,11.43B,345.00M,462.00M,807.00M,1.427B,2.234B,,,,,,,,,2.234B,,,,,,44.00M,,0.00,2.234B,4.361B,4.634B,,,161.00M,9.156B
1998-10,961.00M,920.00M,1.881B,1.333B,,,1.333B,41.00M,165.00M,135.00M,34.00M,375.00M,94.00M,315.00M,,3.998B,,,,,,621.00M,,,,4.009B,,,,,1.237B,5.867B,9.865B,282.00M,405.00M,687.00M,1.182B,1.869B,,,,,,,,,1.869B,,,,,,43.00M,,0.00,1.869B,3.52B,4.346B,,,87.00M,7.953B
1998-07,580.00M,1.157B,1.737B,1.303B,,,1.303B,76.00M,143.00M,111.00M,32.00M,362.00M,67.00M,345.00M,,3.814B,0.00,1.117B,154.00M,1.271B,-672.00M,599.00M,57.00M,113.00M,170.00M,3.743B,,,,,646.00M,5.158B,8.972B,250.00M,411.00M,661.00M,440.00M,1.101B,,,,,,339.00M,339.00M,341.00M,1.781B,,,,,,43.00M,,0.00,1.781B,3.262B,3.828B,,,58.00M,7.148B
