,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,3.726B,3.726B,3.073B,653.00M,,,370.00M,,,42.00M,,-42.00M,,370.00M,283.00M,,42.00M,-42.00M,19.00M,-42.00M,260.00M,36.00M,224.00M,,,,224.00M,224.00M,413.00M,111.00M,302.00M,,0.88,,,,0.88,0.88,,0.87,,,,0.87,0.87,,253.90M,257.18M,0.02,,AOR,Restated
2018-03,3.296B,3.296B,2.729B,567.00M,,,327.00M,,,41.00M,,-41.00M,,327.00M,240.00M,,41.00M,-41.00M,19.00M,-41.00M,218.00M,29.00M,189.00M,,,,189.00M,189.00M,364.00M,105.00M,259.00M,,0.73,,,,0.73,0.73,,0.72,,,,0.72,0.72,,260.50M,263.67M,0.02,,AOR,Restated
2017-12,4.017B,4.017B,3.355B,662.00M,,,347.00M,-55.00M,,45.00M,,-45.00M,,347.00M,315.00M,,45.00M,-45.00M,-47.00M,-45.00M,223.00M,329.00M,-106.00M,0.00,,,-106.00M,-65.85M,383.00M,115.00M,268.00M,,-0.4054,0.00,,,-0.2529,-0.4054,,-0.4054,0.00,,,-0.2543,-0.4054,,263.29M,265.80M,0.02,,AOR,Restated
2017-09,3.484B,3.484B,2.884B,600.00M,,,335.00M,-25.00M,,44.00M,,-44.00M,,335.00M,265.00M,,44.00M,-44.00M,-18.00M,-44.00M,203.00M,44.00M,159.00M,0.00,,,159.00M,178.58M,361.00M,114.00M,247.00M,,0.60,0.00,,,0.6740,0.60,,0.60,0.00,,,0.6733,0.60,,264.62M,266.99M,0.02,,AOR,Restated
2017-06,3.604B,3.604B,2.996B,608.00M,,,343.00M,-13.00M,,43.00M,,-43.00M,,343.00M,265.00M,,43.00M,-43.00M,-7.00M,-43.00M,215.00M,62.00M,153.00M,0.00,,,153.00M,162.25M,370.00M,112.00M,258.00M,,0.57,0.00,,,0.6046,0.57,,0.57,0.00,,,0.6044,0.57,,267.11M,269.30M,0.02,,AOR,Restated
2017-03,3.093B,3.093B,2.592B,501.00M,,,309.00M,-37.00M,,42.00M,,-42.00M,,309.00M,192.00M,,42.00M,-42.00M,-29.00M,-42.00M,121.00M,21.00M,100.00M,1.00M,,,101.00M,130.56M,269.00M,106.00M,163.00M,,0.37,0.00,,,0.4830,0.37,,0.37,0.00,,,0.4820,0.37,,270.49M,272.83M,0.02,,AOR,Restated
2016-12,3.825B,3.825B,3.152B,673.00M,,,368.00M,-8.00M,,42.00M,,-42.00M,,368.00M,305.00M,,42.00M,-42.00M,31.00M,-42.00M,294.00M,79.00M,215.00M,-1.00M,,,214.00M,220.85M,454.00M,118.00M,336.00M,,0.7955,-0.0037,,,0.8170,0.7918,,0.78,-0.0037,,,0.8014,0.78,,270.99M,273.31M,0.02,,AOR,Restated
2016-09,3.251B,3.251B,2.661B,590.00M,,,323.00M,-115.00M,,45.00M,,-45.00M,,323.00M,267.00M,,45.00M,-45.00M,-115.00M,-45.00M,107.00M,-192.00M,299.00M,122.00M,,,421.00M,368.00M,260.00M,108.00M,152.00M,,1.11,0.45,,,1.365,1.56,,1.10,0.45,,,1.354,1.55,,270.56M,272.10M,0.02,,AOR,Restated
2016-06,3.511B,3.511B,2.889B,622.00M,,,318.00M,0.00,,44.00M,,-44.00M,,318.00M,304.00M,,44.00M,-44.00M,,-44.00M,260.00M,82.00M,178.00M,-1.00M,,,177.00M,178.00M,418.00M,114.00M,304.00M,,0.66,0.00,,,0.66,0.66,,0.66,-0.01,,,0.66,0.65,,269.89M,271.32M,0.02,,AOR,Restated
2016-03,3.201B,3.201B,2.635B,566.00M,,,308.00M,0.00,,43.00M,,-43.00M,,308.00M,258.00M,,43.00M,-43.00M,,-43.00M,215.00M,64.00M,151.00M,-1.00M,,,150.00M,151.00M,367.00M,109.00M,258.00M,,0.55,0.00,,,0.55,0.55,,0.55,0.00,,,0.55,0.55,,271.66M,273.02M,0.02,,AOR,Restated
2015-12,3.923B,3.923B,3.251B,672.00M,,,335.00M,0.00,,43.00M,,-43.00M,,335.00M,337.00M,,43.00M,-43.00M,,-43.00M,294.00M,69.00M,225.00M,1.00M,,,226.00M,225.00M,466.00M,129.00M,337.00M,,0.8222,0.0037,,,0.8222,0.8258,,0.81,0.0037,,,0.81,0.82,,274.78M,276.71M,0.02,,AOR,Restated
2015-09,3.18B,3.18B,2.584B,596.00M,,,303.00M,0.00,,41.00M,,-41.00M,,303.00M,293.00M,,41.00M,-41.00M,,-41.00M,252.00M,76.00M,176.00M,0.00,,,176.00M,176.00M,405.00M,112.00M,293.00M,,0.64,0.00,,,0.64,0.64,,0.63,0.00,,,0.63,0.63,,276.33M,278.04M,0.02,,AOR,Restated
2015-06,3.247B,3.247B,2.635B,612.00M,,,329.00M,,,42.00M,,-42.00M,,329.00M,283.00M,,42.00M,-42.00M,,-42.00M,241.00M,72.00M,169.00M,-2.00M,,,167.00M,169.00M,393.00M,110.00M,283.00M,,0.61,-0.01,,,0.61,0.60,,0.60,-0.01,,,0.60,0.60,,277.72M,279.94M,0.02,,AOR,Restated
2015-03,3.073B,3.073B,2.509B,564.00M,,,337.00M,,,43.00M,,-43.00M,,337.00M,227.00M,,43.00M,-43.00M,,-43.00M,184.00M,56.00M,128.00M,0.00,,,128.00M,128.00M,337.00M,110.00M,227.00M,,0.46,0.00,,,0.46,0.46,,0.46,0.00,,,0.46,0.46,,277.90M,280.08M,0.02,,AOR,Restated
2014-12,4.096B,4.096B,3.344B,752.00M,,,402.00M,-13.00M,,50.00M,,-50.00M,,402.00M,350.00M,,50.00M,-50.00M,-13.00M,-50.00M,287.00M,74.00M,213.00M,-1.00M,,,212.00M,222.65M,471.00M,134.00M,337.00M,,0.7716,-0.0036,,,0.8064,0.7680,,0.76,-0.0036,,,0.7945,0.76,,277.35M,279.89M,0.02,,AOR,Restated
2014-09,3.43B,3.43B,2.845B,585.00M,,,304.00M,-3.00M,,47.00M,,-47.00M,,304.00M,281.00M,,47.00M,-47.00M,-3.00M,-47.00M,231.00M,71.00M,160.00M,-1.00M,,,159.00M,162.08M,389.00M,111.00M,278.00M,,0.57,0.00,,,0.5775,0.57,,0.57,0.00,,,0.5774,0.57,,278.86M,281.03M,0.02,,AOR,Restated
2014-06,3.505B,3.505B,2.875B,630.00M,,,353.00M,-20.00M,,47.00M,,-47.00M,,353.00M,277.00M,,47.00M,-47.00M,-20.00M,-47.00M,210.00M,65.00M,145.00M,-1.00M,,,144.00M,158.81M,373.00M,116.00M,257.00M,,0.52,0.00,,,0.5693,0.52,,0.51,0.00,,,0.5588,0.51,,280.28M,282.76M,0.02,,AOR,Restated
2014-03,2.847B,2.847B,2.357B,490.00M,,,302.00M,-16.00M,,47.00M,,-47.00M,,302.00M,188.00M,,47.00M,-47.00M,-16.00M,-47.00M,125.00M,38.00M,87.00M,-2.00M,,,85.00M,98.14M,270.00M,98.00M,172.00M,,0.31,-0.01,,,0.3496,0.30,,0.31,-0.01,,,0.3493,0.30,,281.09M,283.33M,0.02,,AOR,Restated
2013-12,3.506B,3.506B,2.938B,568.00M,,,306.00M,0.00,,39.00M,,-39.00M,,306.00M,262.00M,,39.00M,-39.00M,,-39.00M,223.00M,52.00M,171.00M,-4.00M,,,167.00M,171.00M,366.00M,104.00M,262.00M,,0.6062,-0.0142,,,0.6062,0.5920,,0.60,-0.0142,,,0.60,0.59,,282.31M,283.48M,0.02,,AOR,Restated
2013-09,2.904B,2.904B,2.473B,431.00M,,,245.00M,0.00,,41.00M,,-41.00M,,245.00M,186.00M,,41.00M,-41.00M,,-41.00M,145.00M,47.00M,98.00M,1.00M,,,99.00M,98.00M,279.00M,93.00M,186.00M,,0.35,0.00,,,0.35,0.35,,0.35,0.00,,,0.35,0.35,,281.52M,281.71M,0.02,,AOR,Restated
2013-06,2.839B,2.839B,2.338B,501.00M,,,296.00M,0.00,,42.00M,,-42.00M,,296.00M,205.00M,,42.00M,-42.00M,,-42.00M,163.00M,49.00M,114.00M,-1.00M,,,113.00M,114.00M,300.00M,95.00M,205.00M,,0.41,-0.01,,,0.41,0.40,,0.40,-0.01,,,0.40,0.40,,280.16M,283.82M,0.02,,AOR,Restated
2013-03,2.855B,2.855B,2.382B,473.00M,,,279.00M,0.00,,51.00M,,-51.00M,,279.00M,194.00M,,51.00M,-51.00M,,-51.00M,143.00M,28.00M,115.00M,4.00M,,,119.00M,115.00M,291.00M,97.00M,194.00M,,0.42,0.02,,,0.42,0.44,,0.40,0.01,,,0.40,0.41,,273.20M,288.98M,0.02,,AOR,Restated
2012-12,3.362B,3.362B,2.797B,565.00M,,,313.00M,,,52.00M,,-52.00M,,313.00M,252.00M,,52.00M,-52.00M,,-52.00M,200.00M,54.00M,146.00M,2.00M,,,148.00M,146.00M,358.00M,106.00M,252.00M,,0.5382,0.0074,,,0.5382,0.5455,,0.50,0.0074,,,0.50,0.51,,277.78M,291.56M,0.02,,AOR,Restated
2012-09,3.00B,3.00B,2.475B,525.00M,,,264.00M,,,52.00M,,-52.00M,,264.00M,261.00M,,52.00M,-52.00M,,-52.00M,209.00M,67.00M,142.00M,9.00M,,,151.00M,142.00M,355.00M,94.00M,261.00M,,0.51,0.03,,,0.51,0.54,,0.48,0.03,,,0.48,0.51,,281.81M,296.92M,0.02,,AOR,Restated
2012-06,3.019B,3.019B,2.435B,584.00M,,,276.00M,,,53.00M,,-53.00M,,276.00M,308.00M,,53.00M,-53.00M,,-53.00M,255.00M,82.00M,173.00M,-1.00M,,,172.00M,173.00M,400.00M,92.00M,308.00M,,0.61,0.00,,,0.61,0.61,,0.58,0.00,,,0.58,0.58,,281.11M,295.55M,0.02,,AOR,Restated
2012-03,2.856B,2.856B,2.312B,544.00M,,,312.00M,,,55.00M,,-55.00M,,312.00M,232.00M,,55.00M,-55.00M,,-55.00M,177.00M,57.00M,120.00M,-2.00M,,,118.00M,120.00M,323.00M,91.00M,232.00M,,0.43,-0.01,,,0.43,0.42,,0.41,-0.01,,,0.41,0.40,,280.02M,294.63M,0.02,,AOR,Restated
2011-12,3.254B,3.254B,2.715B,539.00M,,,345.00M,,,62.00M,,-62.00M,,531.00M,8.00M,,62.00M,-62.00M,24.00M,-62.00M,-30.00M,-13.00M,-17.00M,-2.00M,,,-19.00M,-17.00M,146.00M,114.00M,32.00M,,-0.06,-0.01,,,-0.06,-0.07,,-0.06,-0.01,,,-0.06,-0.07,,278.88M,290.76M,0.02,,AOR,Restated
2011-09,2.814B,2.814B,2.313B,501.00M,,,251.00M,-3.00M,,61.00M,,-61.00M,,251.00M,250.00M,,61.00M,-61.00M,-3.00M,-61.00M,186.00M,50.00M,136.00M,6.00M,,,142.00M,138.19M,341.00M,94.00M,247.00M,,0.49,0.02,,,0.4979,0.51,,0.45,0.02,,,0.4573,0.47,,278.09M,300.87M,0.02,,AOR,Restated
2011-06,2.728B,2.728B,2.225B,503.00M,,,295.00M,-12.00M,,61.00M,,-61.00M,,295.00M,208.00M,,61.00M,-61.00M,-12.00M,-61.00M,135.00M,43.00M,92.00M,-2.00M,,,90.00M,100.18M,296.00M,100.00M,196.00M,,0.33,-0.01,,,0.3595,0.32,,0.29,-0.01,,,0.3159,0.29,,277.41M,315.21M,0.02,,AOR,Restated
2011-03,2.479B,2.479B,2.055B,424.00M,,,304.00M,,12.00M,62.00M,,-62.00M,,316.00M,108.00M,,62.00M,-62.00M,,-62.00M,46.00M,15.00M,31.00M,-2.00M,,,29.00M,31.00M,203.00M,95.00M,108.00M,,0.11,-0.01,,,0.11,0.10,,0.10,-0.01,,,0.10,0.09,,276.36M,319.12M,0.02,,AOR,Restated
2010-12,3.127B,3.127B,2.605B,522.00M,,,345.00M,-54.00M,15.00M,63.00M,,-63.00M,,360.00M,162.00M,,63.00M,-63.00M,-54.00M,-63.00M,45.00M,-18.00M,63.00M,-3.00M,,,60.00M,98.10M,219.00M,111.00M,108.00M,,0.22,-0.01,,,0.3473,0.21,,0.20,-0.01,,,0.3136,0.19,,275.64M,308.99M,0.02,,AOR,Restated
2010-09,2.479B,2.479B,2.037B,442.00M,,,301.00M,-114.00M,29.00M,67.00M,,-67.00M,,330.00M,112.00M,,67.00M,-67.00M,-114.00M,-67.00M,-69.00M,-21.00M,-48.00M,0.00,,,-48.00M,31.30M,93.00M,95.00M,-2.00M,,-0.17,0.00,,,0.1185,-0.17,,-0.17,0.00,,,0.1185,-0.17,,274.90M,274.90M,0.02,,AOR,Restated
2010-06,2.709B,2.709B,2.188B,521.00M,,,299.00M,-10.00M,44.00M,69.00M,,-69.00M,,343.00M,178.00M,,69.00M,-69.00M,-10.00M,-69.00M,99.00M,18.00M,81.00M,1.00M,,,82.00M,89.18M,265.00M,97.00M,168.00M,,0.30,0.00,,,0.3298,0.30,,0.27,0.00,,,0.2971,0.27,,274.10M,302.40M,0.02,,AOR,Restated
2010-03,2.21B,2.21B,1.776B,434.00M,,,285.00M,-12.00M,55.00M,71.00M,,-71.00M,,340.00M,94.00M,,71.00M,-71.00M,-12.00M,-71.00M,11.00M,15.00M,-4.00M,-4.00M,,,-8.00M,3.80M,172.00M,90.00M,82.00M,,-0.01,-0.02,,,0.0186,-0.03,,-0.01,-0.02,,,0.0186,-0.03,,273.17M,273.17M,0.02,,AOR,Restated
2009-12,2.813B,2.813B,2.324B,489.00M,,,304.00M,-114.00M,61.00M,75.00M,,-75.00M,,365.00M,124.00M,,75.00M,-75.00M,-114.00M,-75.00M,-65.00M,-5.00M,-60.00M,-3.00M,,,-63.00M,45.23M,122.00M,112.00M,10.00M,,-0.23,-0.01,,,0.1577,-0.24,,-0.23,-0.01,,,0.1577,-0.24,,271.40M,271.40M,0.02,,AOR,Restated
2009-09,2.549B,2.549B,2.047B,502.00M,,,348.00M,-42.00M,43.00M,74.00M,,-74.00M,,391.00M,111.00M,,74.00M,-74.00M,-42.00M,-74.00M,-5.00M,-11.00M,6.00M,-2.00M,,,4.00M,33.30M,169.00M,100.00M,69.00M,,0.02,-0.01,,,0.1207,0.01,,0.02,-0.01,,,0.1180,0.01,,271.22M,278.43M,0.02,,AOR,Restated
2009-06,2.612B,2.612B,2.099B,513.00M,,,340.00M,-129.00M,87.00M,77.00M,,-77.00M,,427.00M,86.00M,,77.00M,-77.00M,-129.00M,-77.00M,-120.00M,-58.00M,-62.00M,4.00M,,,-58.00M,21.85M,58.00M,101.00M,-43.00M,,-0.23,0.01,,,0.0875,-0.22,,-0.23,0.01,,,0.0875,-0.22,,264.09M,264.09M,0.02,,AOR,Restated
2009-03,2.526B,2.526B,1.999B,527.00M,,,346.00M,-32.00M,76.00M,83.00M,1.00M,-82.00M,-50.00M,372.00M,155.00M,1.00M,83.00M,-82.00M,-32.00M,-82.00M,41.00M,-2.00M,43.00M,43.00M,,,86.00M,63.80M,220.00M,96.00M,124.00M,,0.18,0.17,,,0.2652,0.35,,0.18,0.17,,,0.2649,0.35,,243.99M,244.96M,0.02,,AOR,Restated
2008-12,3.549B,3.549B,2.779B,770.00M,,,403.00M,-526.00M,133.00M,130.00M,,-114.00M,,536.00M,234.00M,,130.00M,-114.00M,,-114.00M,-406.00M,-50.00M,-356.00M,147.00M,,,-209.00M,105.22M,-169.00M,107.00M,-276.00M,,-1.43,0.59,,,0.4702,-0.84,,-1.43,0.59,,,0.4442,-0.84,,242.72M,246.10M,0.23,,AOR,Restated
2008-09,3.471B,3.471B,2.595B,876.00M,,,419.00M,0.00,34.00M,102.00M,,-102.00M,,453.00M,423.00M,,102.00M,-102.00M,,-102.00M,321.00M,116.00M,205.00M,1.00M,,,206.00M,205.00M,517.00M,94.00M,423.00M,,0.85,0.00,,,0.85,0.85,,0.83,0.00,,,0.83,0.83,,243.75M,247.18M,0.23,,AOR,Restated
2008-06,3.684B,3.684B,2.775B,909.00M,,,393.00M,0.00,40.00M,101.00M,,-101.00M,,433.00M,476.00M,,101.00M,-101.00M,,-101.00M,375.00M,125.00M,250.00M,8.00M,,,258.00M,250.00M,576.00M,100.00M,476.00M,,1.00,0.03,,,1.00,1.03,,0.98,0.03,,,0.98,1.01,,250.04M,254.58M,0.23,,,Restated
2008-03,3.306B,3.306B,2.434B,872.00M,391.00M,27.00M,418.00M,0.00,,115.00M,,-115.00M,,418.00M,454.00M,,115.00M,-115.00M,,-115.00M,339.00M,114.00M,225.00M,6.00M,,,231.00M,225.00M,553.00M,99.00M,454.00M,,0.90,0.03,,,0.90,0.93,,0.88,0.03,,,0.88,0.91,,249.32M,254.50M,0.23,,,Restated
2007-12,3.591B,3.591B,2.65B,941.00M,,,462.00M,,11.00M,120.00M,,-120.00M,,473.00M,468.00M,,120.00M,-120.00M,,-120.00M,348.00M,101.00M,247.00M,9.00M,,,256.00M,247.00M,563.00M,95.00M,468.00M,,0.99,0.03,,,0.99,1.02,,0.97,0.03,,,0.97,1.00,,249.83M,255.51M,0.23,,AOR,Restated
2007-09,3.11B,3.11B,2.275B,835.00M,,,383.00M,,6.00M,117.00M,,-117.00M,,389.00M,446.00M,,117.00M,-117.00M,,-117.00M,329.00M,104.00M,225.00M,30.00M,,,255.00M,225.00M,523.00M,77.00M,446.00M,,0.90,0.12,,,0.90,1.02,,0.88,0.12,,,0.88,1.00,,249.33M,254.32M,0.23,,,Restated
2007-06,3.235B,3.235B,2.374B,861.00M,,,440.00M,,,,,,,440.00M,421.00M,,,,,,297.00M,82.00M,215.00M,-5.00M,,,210.00M,215.00M,500.00M,79.00M,421.00M,,0.86,-0.015,,,0.86,0.845,,0.845,-0.015,,,0.845,0.83,,248.52M,253.01M,0.1938,,,
2007-03,2.964B,2.964B,2.18B,784.00M,,,372.00M,-5.00M,,,,,,372.00M,412.00M,,,,-5.00M,,284.00M,86.00M,198.00M,-2.00M,,,196.00M,201.49M,486.00M,74.00M,412.00M,,0.79,-0.01,,,0.8039,0.78,,0.78,-0.01,,,0.7937,0.77,,251.28M,254.55M,0.1938,,,
2006-12,3.201B,3.201B,2.393B,808.00M,,,399.00M,,,,,,,425.00M,383.00M,,,,,,265.00M,69.00M,196.00M,-1.00M,,,195.00M,196.00M,463.00M,80.00M,383.00M,,0.77,0.00,,,0.77,0.77,,0.76,0.00,,,0.76,0.76,,249.51M,255.97M,0.1938,,AOR,Restated
2006-09,2.837B,2.837B,2.099B,738.00M,,,379.00M,,,,,,,379.00M,359.00M,,,,,,242.00M,67.00M,175.00M,-6.00M,,,169.00M,175.00M,431.00M,72.00M,359.00M,,0.70,-0.03,,,0.70,0.67,,0.68,-0.03,,,0.68,0.66,,252.24M,256.06M,0.1938,,,
2006-06,2.82B,2.82B,2.081B,739.00M,,,375.00M,,,,,,,375.00M,364.00M,,,,,,255.00M,78.00M,177.00M,-108.00M,,,69.00M,177.00M,436.00M,72.00M,364.00M,,0.69,-0.42,,,0.69,0.27,,0.67,-0.42,,,0.67,0.265,,256.91M,262.59M,0.1938,,,
2006-03,2.632B,2.632B,1.955B,677.00M,,,361.00M,-9.00M,,,,,,361.00M,316.00M,,,,-9.00M,,213.00M,55.00M,158.00M,10.00M,,,168.00M,164.68M,382.00M,66.00M,316.00M,,0.605,0.04,,,0.6307,0.645,,0.595,0.035,,,0.6201,0.63,,260.19M,265.71M,0.1938,,,
2005-12,2.701B,2.701B,1.982B,719.00M,,,359.00M,-21.00M,,,,,,388.00M,331.00M,,,,-21.00M,,224.00M,56.00M,168.00M,-50.00M,,,118.00M,183.75M,295.00M,82.00M,213.00M,,0.635,-0.19,,,0.6948,0.445,,0.625,-0.19,,,0.6836,0.435,,263.17M,268.75M,0.175,,AOR,Restated
2005-09,2.405B,2.405B,1.787B,618.00M,,,354.00M,-2.00M,,,,,,354.00M,264.00M,,,,-2.00M,,198.00M,52.00M,146.00M,-310.00M,,,-164.00M,147.47M,339.00M,75.00M,264.00M,,0.55,-1.165,,,0.5555,-0.615,,0.535,-1.165,,,0.5404,-0.615,,265.82M,271.26M,0.175,,,
2005-06,2.667B,2.667B,2.029B,638.00M,,,337.00M,-41.00M,,,,,,337.00M,301.00M,,,,-41.00M,,188.00M,70.00M,118.00M,5.00M,,,123.00M,143.73M,376.00M,75.00M,301.00M,,0.44,0.02,,,0.5356,0.46,,0.43,0.015,,,0.5235,0.445,,269.21M,275.16M,0.175,,,
2005-03,2.27B,2.27B,1.667B,603.00M,,,340.00M,-66.00M,,,,,,340.00M,263.00M,,,,-66.00M,,129.00M,44.00M,84.00M,42.00M,,,126.00M,127.49M,334.00M,71.00M,263.00M,,0.29,0.175,,,0.4509,0.465,,0.285,0.17,,,0.4422,0.455,,270.25M,276.57M,0.175,,,
2004-12,909.00M,909.00M,477.00M,432.00M,,,205.00M,74.00M,,,,,,263.00M,169.00M,,,,74.00M,,182.00M,58.00M,124.00M,1.00M,,,125.00M,73.58M,134.00M,24.00M,110.00M,,0.455,0.005,,,0.2702,0.46,,0.445,0.005,,,0.2643,0.45,,272.76M,279.08M,0.175,,AOR,Restated
2004-09,2.549B,2.569B,1.975B,594.00M,,,354.00M,-16.00M,,,,,,354.00M,240.00M,,,,-16.00M,,143.00M,42.00M,101.00M,2.00M,,,103.00M,112.30M,326.00M,86.00M,240.00M,,0.365,0.01,,,0.4060,0.375,,0.36,0.005,,,0.4002,0.365,,275.79M,281.24M,0.1625,,,
2004-06,2.523B,2.523B,1.936B,587.00M,,,342.00M,-31.00M,,,,,,342.00M,245.00M,,,,-31.00M,,154.00M,45.00M,109.00M,-9.00M,,,100.00M,130.94M,331.00M,86.00M,245.00M,,0.395,-0.035,,,0.4746,0.36,,0.39,-0.035,,,0.4682,0.355,,275.50M,280.57M,0.1625,,,
2004-03,2.337B,2.337B,1.818B,519.00M,,,322.00M,-72.00M,,,,,,322.00M,197.00M,,,,-72.00M,,61.00M,20.00M,41.00M,-4.00M,,,37.00M,89.39M,281.00M,84.00M,197.00M,,0.15,-0.015,,,0.3261,0.135,,0.145,-0.015,,,0.3176,0.13,,274.76M,280.46M,0.1625,,,
