,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,17.98B,17.98B,16.63B,1.352B,749.00M,19.00M,-18.00M,69.00M,17.00M,-52.00M,749.00M,603.00M,17.00M,69.00M,-52.00M,205.00M,-52.00M,756.00M,63.00M,693.00M,-6.00M,687.00M,703.56M,1.074B,249.00M,825.00M,,1.235,,,1.265,1.235,,1.22,,,1.249,1.22,,556.10M,563.00M,0.36,,AOR,
2020-09,15.13B,15.13B,14.08B,1.042B,636.00M,,-332.00M,100.00M,16.00M,-84.00M,636.00M,406.00M,16.00M,100.00M,-84.00M,-122.00M,-84.00M,200.00M,-26.00M,226.00M,-1.00M,225.00M,467.36M,538.00M,238.00M,300.00M,,0.40,,,0.8320,0.40,,0.40,,,0.8312,0.40,,561.00M,562.00M,0.36,,AOR,
2020-06,16.28B,16.28B,15.17B,1.108B,638.00M,,48.00M,87.00M,15.00M,-72.00M,638.00M,470.00M,15.00M,87.00M,-72.00M,154.00M,-72.00M,552.00M,80.00M,472.00M,-3.00M,469.00M,427.96M,883.00M,244.00M,639.00M,,0.84,,,0.7668,0.84,,0.84,,,0.7670,0.84,,561.00M,562.00M,0.36,,AOR,
2020-03,14.97B,14.97B,14.02B,951.00M,664.00M,,-41.00M,83.00M,40.00M,-43.00M,664.00M,287.00M,40.00M,83.00M,-43.00M,131.00M,-43.00M,375.00M,-16.00M,391.00M,0.00,391.00M,420.93M,703.00M,245.00M,458.00M,,0.69,,,0.7432,0.69,,0.69,,,0.7431,0.69,,563.00M,564.00M,0.36,,AOR,
2019-12,16.33B,16.33B,15.16B,1.169B,654.00M,,-179.00M,95.00M,50.00M,-45.00M,654.00M,515.00M,50.00M,95.00M,-45.00M,26.00M,-45.00M,496.00M,-3.00M,499.00M,5.00M,504.00M,634.67M,842.00M,251.00M,591.00M,,0.9048,,,1.138,0.9048,,0.90,,,1.131,0.90,,560.00M,565.00M,0.35,,AOR,
2019-09,16.73B,16.73B,15.65B,1.078B,578.00M,,-46.00M,97.00M,47.00M,-50.00M,578.00M,500.00M,47.00M,97.00M,-50.00M,53.00M,-50.00M,503.00M,95.00M,408.00M,-1.00M,407.00M,444.31M,849.00M,249.00M,600.00M,,0.72,,,0.7864,0.72,,0.72,,,0.7863,0.72,,562.00M,563.00M,0.35,,AOR,Restated
2019-06,16.30B,16.30B,15.32B,972.00M,602.00M,,-121.00M,109.00M,46.00M,-63.00M,602.00M,370.00M,46.00M,109.00M,-63.00M,-33.00M,-63.00M,274.00M,36.00M,238.00M,-3.00M,235.00M,340.15M,631.00M,248.00M,383.00M,,0.42,,,0.6061,0.42,,0.42,,,0.6058,0.42,,565.00M,566.00M,0.35,,AOR,Restated
2019-03,15.30B,15.30B,14.38B,928.00M,659.00M,,4.00M,101.00M,49.00M,-52.00M,659.00M,269.00M,49.00M,101.00M,-52.00M,98.00M,-52.00M,315.00M,81.00M,234.00M,-1.00M,233.00M,230.03M,661.00M,245.00M,416.00M,,0.41,,,0.4047,0.41,,0.41,,,0.4047,0.41,,565.00M,566.00M,0.35,,AOR,Restated
2018-12,15.95B,15.95B,14.89B,1.053B,558.00M,-21.00M,-132.00M,97.00M,47.00M,-50.00M,558.00M,495.00M,47.00M,97.00M,-50.00M,-133.00M,-50.00M,312.00M,-5.00M,317.00M,-2.00M,315.00M,411.36M,644.00M,235.00M,409.00M,,0.5635,,,0.7344,0.5635,,0.55,,,0.7199,0.55,,564.00M,567.00M,0.335,,AOR,Restated
2018-09,15.80B,15.80B,14.74B,1.058B,534.00M,,32.00M,87.00M,40.00M,-47.00M,534.00M,524.00M,40.00M,87.00M,-47.00M,155.00M,-47.00M,632.00M,96.00M,536.00M,0.00,536.00M,508.86M,951.00M,232.00M,719.00M,,0.95,,,0.9020,0.95,,0.94,,,0.8922,0.94,,565.00M,568.00M,0.335,,AOR,Restated
