,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,4.121B,440.00M,4.561B,4.623B,,4.623B,901.00M,1.224B,1.859B,,3.984B,516.00M,,,426.00M,14.11B,,,,,27.30B,,,27.30B,-17.24B,10.06B,13.54B,5.926B,19.46B,,,,1.759B,31.28B,45.39B,2.208B,,220.00M,2.428B,721.00M,3.149B,,,1.169B,1.169B,252.00M,1.421B,,,,2.84B,7.41B,18.43B,605.00M,19.03B,,,,3.679B,63.00M,3.324B,26.04B,33.45B,9.00M,43.28B,6.116B,29.57B,,,-7.96B,11.88B
2020-06,4.219B,247.00M,4.466B,4.459B,,4.459B,990.00M,1.246B,1.932B,,4.168B,567.00M,,,446.00M,14.11B,,,,,26.78B,,,26.78B,-16.85B,9.929B,13.36B,6.033B,19.39B,,,,1.651B,30.97B,45.08B,1.975B,,371.00M,2.346B,500.00M,2.846B,,,1.486B,1.486B,248.00M,1.734B,,,,2.702B,7.282B,19.28B,607.00M,19.88B,,,,3.724B,58.00M,3.275B,26.88B,34.16B,9.00M,42.76B,6.074B,29.70B,,,-8.286B,10.86B
2020-03,4.253B,224.00M,4.477B,4.821B,,4.821B,982.00M,1.214B,2.021B,,4.217B,604.00M,,,971.00M,15.09B,,,,,26.85B,,,26.85B,-16.84B,10.01B,13.31B,6.191B,19.50B,,,,1.605B,31.12B,46.21B,2.207B,,136.00M,2.343B,523.00M,2.866B,,,3.248B,3.248B,244.00M,3.492B,,,,2.776B,9.134B,19.25B,603.00M,19.85B,,,,3.794B,62.00M,3.225B,26.87B,36.00B,9.00M,42.34B,6.024B,29.82B,,,-8.414B,10.15B
2019-12,2.353B,98.00M,2.451B,4.791B,172.00M,4.963B,937.00M,1.194B,2.003B,,4.134B,704.00M,470.00M,,174.00M,12.97B,0.0,351.00M,7.877B,16.59B,858.00M,1.31B,,26.98B,-16.79B,10.19B,13.44B,6.379B,19.82B,196.00M,67.00M,521.00M,660.00M,31.69B,44.66B,2.228B,,441.00M,2.669B,1.296B,3.965B,150.00M,800.00M,1.845B,2.795B,247.00M,3.042B,430.00M,430.00M,,1.489B,9.222B,17.52B,718.00M,18.24B,301.00M,,301.00M,4.223B,63.00M,1.044B,25.31B,34.53B,9.00M,42.14B,5.907B,29.85B,,,-8.139B,10.06B
2019-09,7.731B,30.00M,7.761B,5.02B,,5.02B,886.00M,1.231B,1.89B,,4.007B,717.00M,,,515.00M,18.02B,,,,,26.34B,,,26.34B,-16.62B,9.725B,10.41B,2.847B,13.26B,,,,1.548B,24.53B,42.55B,2.079B,,137.00M,2.216B,669.00M,2.885B,,,1.96B,1.96B,241.00M,2.201B,,,,2.735B,7.821B,17.48B,584.00M,18.06B,,,,2.667B,62.00M,3.235B,23.96B,31.79B,9.00M,42.08B,5.861B,29.86B,,,-7.388B,10.70B
2019-06,2.849B,139.00M,2.988B,5.374B,,5.374B,972.00M,1.348B,1.98B,,4.30B,949.00M,,,440.00M,14.05B,,,,,26.44B,,,26.44B,-16.57B,9.877B,10.57B,2.964B,13.54B,,,,1.503B,24.92B,38.97B,2.13B,,223.00M,2.353B,604.00M,2.957B,,,892.00M,892.00M,247.00M,1.139B,,,,3.169B,7.265B,14.91B,619.00M,15.53B,,,,2.761B,59.00M,3.268B,21.56B,28.83B,9.00M,41.36B,5.812B,29.83B,,,-7.272B,10.08B
2019-03,2.938B,539.00M,3.477B,5.173B,,5.173B,984.00M,1.333B,2.221B,,4.538B,713.00M,,,473.00M,14.37B,,,,,25.92B,,,25.92B,-16.30B,9.626B,10.61B,3.047B,13.66B,,,,1.482B,24.77B,39.14B,2.309B,,183.00M,2.492B,517.00M,3.009B,,,790.00M,790.00M,255.00M,1.045B,,,,3.071B,7.125B,15.58B,531.00M,16.11B,,,,2.919B,54.00M,3.228B,22.26B,29.38B,9.00M,41.16B,5.755B,29.67B,,,-7.552B,9.703B
2018-12,2.853B,380.00M,3.233B,5.02B,103.00M,5.123B,954.00M,1.292B,2.12B,,4.366B,741.00M,0.00,,158.00M,13.71B,0.0,340.00M,7.564B,15.78B,,1.193B,,24.87B,-16.14B,8.738B,10.05B,2.657B,12.71B,188.00M,68.00M,365.00M,516.00M,22.79B,36.50B,2.266B,,516.00M,2.782B,1.307B,4.089B,435.00M,0.00,776.00M,1.211B,0.00,1.211B,617.00M,617.00M,,1.023B,7.244B,13.41B,75.00M,13.49B,279.00M,,279.00M,3.286B,52.00M,1.083B,19.41B,26.65B,9.00M,40.64B,5.643B,29.63B,,,-6.866B,9.796B
2018-09,3.185B,338.00M,3.523B,5.329B,,5.329B,962.00M,1.35B,2.125B,,4.437B,745.00M,,,385.00M,14.42B,,,,,24.76B,,,24.76B,-16.14B,8.63B,10.12B,2.726B,12.85B,,,,1.377B,22.86B,37.28B,2.029B,,186.00M,2.215B,783.00M,2.998B,,,,1.307B,,1.307B,,,,3.031B,7.336B,13.54B,,13.54B,,,,3.183B,63.00M,2.906B,19.63B,26.96B,9.00M,40.12B,5.597B,28.51B,,,-6.968B,10.25B
2018-06,2.801B,385.00M,3.186B,5.383B,,5.383B,967.00M,1.292B,1.979B,,4.238B,713.00M,,,370.00M,13.89B,,,,,24.76B,,,24.76B,-16.11B,8.645B,10.11B,2.787B,12.89B,,,,1.349B,22.89B,36.78B,1.871B,,293.00M,2.164B,646.00M,2.81B,,,,3.225B,,3.225B,,,,2.867B,8.902B,11.29B,,11.29B,,,,3.254B,63.00M,2.90B,17.45B,26.35B,9.00M,39.44B,5.55B,27.62B,,,-7.019B,10.36B
2018-03,3.491B,604.00M,4.095B,5.252B,,5.252B,957.00M,1.313B,2.025B,,4.295B,832.00M,,,344.00M,14.82B,,,,,25.17B,,,25.17B,-16.31B,8.864B,10.57B,2.885B,13.46B,,,,1.438B,23.76B,38.58B,1.874B,,282.00M,2.156B,563.00M,2.719B,,,,3.449B,,3.449B,,,,2.791B,8.959B,12.21B,,12.21B,,,,3.381B,62.00M,2.985B,18.58B,27.54B,9.00M,38.45B,5.496B,26.18B,,,-6.803B,10.98B
2017-12,3.053B,1.076B,4.129B,4.911B,71.00M,4.982B,901.00M,1.218B,1.915B,,4.034B,937.00M,,,158.00M,14.28B,0.0,348.00M,7.681B,15.91B,135.00M,843.00M,,24.91B,-16.05B,8.866B,10.51B,2.936B,13.45B,150.00M,63.00M,511.00M,434.00M,23.71B,37.99B,1.945B,,587.00M,2.532B,1.386B,3.918B,,,1.853B,1.853B,,1.853B,513.00M,513.00M,,1.126B,7.687B,12.10B,60.00M,12.16B,235.00M,,235.00M,3.939B,59.00M,1.061B,18.68B,26.36B,9.00M,39.12B,5.352B,25.89B,,,-7.026B,11.56B
