,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-09,1.412B,1.412B,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,2.00M,-13.00M,129.00M,27.00M,102.00M,,102.00M,102.00M,13.00M,142.00M,,0.62,,,0.62,0.62,,0.61,,,0.61,0.61,,164.00M,165.90M,0.50,,AOR,Restated
2017-06,1.386B,1.386B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,1.00M,-13.00M,128.00M,28.00M,100.00M,,100.00M,100.00M,13.00M,141.00M,,0.61,,,0.61,0.61,,0.60,,,0.60,0.60,,164.30M,166.00M,0.50,,AOR,Restated
2017-03,1.523B,1.523B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,1.00M,-13.00M,276.00M,75.00M,201.00M,,201.00M,201.00M,14.00M,289.00M,,1.22,,,1.22,1.22,,1.21,,,1.21,1.21,,164.60M,166.50M,0.50,,AOR,Restated
2016-12,1.312B,1.312B,,,,,14.00M,-14.00M,2.00M,2.00M,14.00M,-14.00M,0.00,-14.00M,128.00M,28.00M,100.00M,,100.00M,100.00M,14.00M,142.00M,,0.61,,,0.61,0.61,,0.60,,,0.60,0.60,,164.50M,166.50M,0.48,,AOR,Restated
2016-09,1.402B,1.402B,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,2.00M,-13.00M,253.00M,73.00M,180.00M,,180.00M,180.00M,10.00M,266.00M,,1.09,,,1.09,1.09,,1.08,,,1.08,1.08,,164.60M,166.80M,0.48,,AOR,Restated
2016-06,1.371B,1.371B,,,,,13.00M,-13.00M,5.00M,5.00M,13.00M,-13.00M,2.00M,-13.00M,166.00M,43.00M,123.00M,,123.00M,123.00M,12.00M,179.00M,,0.75,,,0.75,0.75,,0.74,,,0.74,0.74,,164.50M,166.50M,0.48,,AOR,Restated
2016-03,1.364B,1.364B,,,,,13.00M,-13.00M,2.00M,2.00M,13.00M,-13.00M,1.00M,-13.00M,265.00M,77.00M,188.00M,,188.00M,188.00M,12.00M,278.00M,,1.14,,,1.14,1.14,,1.13,,,1.13,1.13,,164.20M,166.00M,0.48,,AOR,Restated
2015-12,1.263B,1.263B,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,2.00M,-13.00M,216.00M,60.00M,156.00M,,156.00M,156.00M,13.00M,229.00M,,0.95,,,0.95,0.95,,0.94,,,0.94,0.94,,163.70M,165.90M,0.46,,AOR,Restated
2015-09,1.278B,1.278B,,,,,14.00M,-14.00M,3.00M,3.00M,14.00M,-14.00M,1.00M,-14.00M,243.00M,69.00M,174.00M,,174.00M,174.00M,12.00M,257.00M,,1.06,,,1.06,1.06,,1.05,,,1.05,1.05,,164.00M,165.50M,0.46,,AOR,Restated
2015-06,1.316B,1.316B,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,2.00M,-13.00M,248.00M,72.00M,176.00M,,176.00M,176.00M,13.00M,261.00M,,1.07,,,1.07,1.07,,1.06,,,1.06,1.06,,164.10M,165.50M,0.46,,AOR,Restated
2015-03,1.285B,1.285B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,2.00M,-13.00M,174.00M,46.00M,128.00M,,128.00M,128.00M,14.00M,187.00M,,0.78,,,0.78,0.78,,0.77,,,0.77,0.77,,164.00M,165.60M,0.46,,AOR,Restated
2014-12,1.262B,1.262B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,1.00M,-13.00M,236.00M,69.00M,167.00M,,167.00M,167.00M,13.00M,249.00M,,1.03,,,1.03,1.03,,1.02,,,1.02,1.02,,163.50M,165.40M,0.44,,AOR,Restated
2014-09,1.28B,1.28B,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,3.00M,-13.00M,259.00M,76.00M,183.00M,,183.00M,183.00M,13.00M,272.00M,,1.12,,,1.12,1.12,,1.11,,,1.11,1.11,,163.50M,165.00M,0.44,,AOR,Restated
2014-06,1.214B,1.214B,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,2.00M,-13.00M,107.00M,23.00M,84.00M,,84.00M,84.00M,12.00M,120.00M,,0.51,,,0.51,0.51,,0.51,,,0.51,0.51,,163.50M,165.10M,0.44,,AOR,Restated
2014-03,1.189B,1.189B,,,,,14.00M,-14.00M,4.00M,4.00M,14.00M,-14.00M,2.00M,-14.00M,119.00M,28.00M,91.00M,,91.00M,91.00M,13.00M,133.00M,,0.56,,,0.56,0.56,,0.55,,,0.55,0.55,,163.40M,165.00M,0.44,,AOR,Restated
2013-12,1.172B,1.172B,,,,,14.00M,-14.00M,3.00M,3.00M,14.00M,-14.00M,2.00M,-14.00M,167.00M,45.00M,122.00M,,122.00M,122.00M,20.00M,181.00M,,0.75,,,0.75,0.75,,0.74,,,0.74,0.74,,163.50M,165.70M,0.42,,AOR,Restated
2013-09,1.152B,1.152B,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,3.00M,-13.00M,182.00M,51.00M,131.00M,,131.00M,131.00M,10.00M,195.00M,,0.80,,,0.80,0.80,,0.79,,,0.79,0.79,,163.70M,165.60M,0.42,,AOR,Restated
2013-06,1.104B,1.104B,,,,,14.00M,-14.00M,4.00M,4.00M,14.00M,-14.00M,2.00M,-14.00M,148.00M,38.00M,110.00M,,110.00M,110.00M,11.00M,162.00M,,0.67,,,0.67,0.67,,0.66,,,0.66,0.66,,163.50M,165.40M,0.4075,,AOR,Restated
2013-03,1.103B,1.103B,,,,,13.00M,-13.00M,5.00M,5.00M,13.00M,-13.00M,2.00M,-13.00M,217.00M,63.00M,154.00M,,154.00M,154.00M,9.00M,230.00M,,0.95,,,0.95,0.95,,0.94,,,0.94,0.94,,163.10M,164.90M,0.4075,,AOR,Restated
2012-12,1.07B,1.07B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,2.00M,-13.00M,273.00M,81.00M,192.00M,,192.00M,192.00M,12.00M,286.00M,,1.18,,,1.18,1.18,,1.17,,,1.17,1.17,,162.74M,164.28M,0.4075,,AOR,Restated
2012-09,1.035B,1.035B,,,,,14.00M,-14.00M,2.00M,2.00M,14.00M,-14.00M,3.00M,-14.00M,152.00M,41.00M,111.00M,,111.00M,111.00M,10.00M,166.00M,,0.69,,,0.69,0.69,,0.68,,,0.68,0.68,,162.56M,163.86M,0.4075,,AOR,Restated
2012-06,1.02B,1.02B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,3.00M,-13.00M,29.00M,-3.00M,32.00M,,32.00M,32.00M,11.00M,42.00M,,0.20,,,0.20,0.20,,0.20,,,0.20,0.20,,162.42M,163.51M,0.4025,,AOR,Restated
2012-03,986.00M,986.00M,,,,,14.00M,-14.00M,4.00M,4.00M,14.00M,-14.00M,2.00M,-14.00M,112.00M,26.00M,86.00M,,86.00M,86.00M,11.00M,126.00M,,0.53,,,0.53,0.53,,0.53,,,0.53,0.53,,162.28M,163.14M,0.4025,,AOR,Restated
2011-12,955.00M,955.00M,,,,,14.00M,-14.00M,-1.00M,-1.00M,14.00M,-14.00M,2.00M,-14.00M,186.00M,52.00M,134.00M,,134.00M,134.00M,4.00M,200.00M,,0.83,0.00,,0.83,0.83,,0.83,0.00,,0.83,0.83,,162.26M,162.80M,0.4025,,AOR,Restated
2011-09,944.00M,944.00M,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,3.00M,-13.00M,11.00M,-8.00M,19.00M,,19.00M,19.00M,15.00M,24.00M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,162.54M,163.09M,0.4025,,AOR,Restated
2011-06,975.00M,975.00M,,,,,14.00M,-14.00M,6.00M,6.00M,14.00M,-14.00M,2.00M,-14.00M,-99.00M,-49.00M,-50.00M,,-50.00M,-50.00M,12.00M,-85.00M,,-0.31,0.00,,-0.31,-0.31,,-0.31,0.00,,-0.31,-0.31,,163.07M,163.07M,0.40,,AOR,Restated
2011-03,929.00M,929.00M,,,4.00M,,13.00M,-13.00M,,4.00M,13.00M,-13.00M,3.00M,-13.00M,75.00M,14.00M,61.00M,,61.00M,61.00M,11.00M,88.00M,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,162.94M,163.67M,0.40,,AOR,Restated
2010-12,936.00M,936.00M,,,,,14.00M,-14.00M,5.00M,5.00M,14.00M,-14.00M,3.00M,-14.00M,171.00M,47.00M,124.00M,,124.00M,124.00M,11.00M,185.00M,,0.76,,,0.76,0.76,,0.76,,,0.76,0.76,,161.36M,161.36M,0.40,,AOR,Restated
2010-09,1.071B,1.071B,,,,,13.00M,-13.00M,4.00M,4.00M,13.00M,-13.00M,3.00M,-13.00M,221.00M,65.00M,156.00M,,156.00M,156.00M,13.00M,234.00M,,0.95,0.00,,0.95,0.95,,0.95,0.00,,0.95,0.95,,163.18M,163.18M,0.40,,AOR,Restated
2010-06,878.00M,878.00M,,,,,13.00M,-13.00M,3.00M,3.00M,13.00M,-13.00M,2.00M,-13.00M,21.00M,-6.00M,27.00M,,27.00M,27.00M,7.00M,34.00M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,163.28M,163.28M,0.395,,AOR,Restated
2010-03,887.00M,887.00M,,,,,14.00M,-14.00M,4.00M,4.00M,14.00M,-14.00M,2.00M,-14.00M,85.00M,17.00M,68.00M,,68.00M,68.00M,10.00M,99.00M,,0.42,0.00,,0.42,0.42,,0.42,0.00,,0.42,0.42,,163.31M,163.31M,0.395,,AOR,Restated
2009-12,1.133B,1.133B,,,,,13.00M,-13.00M,,,13.00M,-13.00M,0.00,-13.00M,355.00M,110.00M,245.00M,,245.00M,245.00M,17.00M,368.00M,,1.51,0.00,,1.51,1.51,,1.50,0.00,,1.50,1.50,,162.00M,163.08M,0.395,,AOR,Restated
2009-09,1.007B,1.007B,,,4.00M,,14.00M,-14.00M,,4.00M,14.00M,-14.00M,4.00M,-14.00M,244.00M,73.00M,171.00M,,171.00M,171.00M,7.00M,258.00M,,1.05,0.00,,1.05,1.05,,1.05,0.00,,1.05,1.05,,162.90M,162.90M,0.395,,AOR,Restated
2009-06,874.00M,874.00M,,,4.00M,,14.00M,-14.00M,,4.00M,14.00M,-14.00M,3.00M,-14.00M,-50.00M,-31.00M,-19.00M,,-19.00M,-19.00M,6.00M,-36.00M,,-0.12,0.00,,-0.12,-0.12,,-0.12,0.00,,-0.12,-0.12,,162.56M,162.56M,0.39,,AOR,Restated
2009-03,890.00M,890.00M,,,6.00M,,14.00M,-14.00M,,6.00M,14.00M,-14.00M,3.00M,-14.00M,34.00M,-1.00M,35.00M,,35.00M,35.00M,8.00M,48.00M,,0.22,0.00,,0.22,0.22,,0.22,0.00,,0.22,0.22,,162.66M,162.66M,0.39,,AOR,Restated
2008-12,1.018B,1.018B,,,,,14.00M,-14.00M,,,14.00M,-14.00M,-1.00M,-14.00M,220.00M,59.00M,161.00M,,161.00M,161.00M,5.00M,234.00M,,0.99,0.00,,0.99,0.99,,0.98,0.00,,0.98,0.98,,161.10M,161.95M,0.39,,AOR,Restated
2008-09,1.186B,1.186B,,,5.00M,,14.00M,-14.00M,,5.00M,14.00M,-14.00M,3.00M,-14.00M,356.00M,109.00M,247.00M,,247.00M,247.00M,8.00M,370.00M,,1.51,0.00,,1.51,1.51,,1.50,0.00,,1.50,1.50,,164.24M,164.67M,0.39,,AOR,Restated
2008-06,917.00M,917.00M,,,6.00M,,13.00M,-13.00M,,6.00M,13.00M,-13.00M,4.00M,-13.00M,64.00M,1.00M,63.00M,,63.00M,63.00M,11.00M,77.00M,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,165.04M,165.04M,0.39,,AOR,Restated
2008-03,704.00M,704.00M,150.00M,91.00M,241.00M,-21.00M,12.00M,-12.00M,,220.00M,12.00M,-12.00M,4.00M,-12.00M,-100.00M,-58.00M,-42.00M,,-42.00M,-28.35M,8.00M,-88.00M,,-0.26,0.00,,-0.1773,-0.26,,-0.26,0.00,,-0.1773,-0.26,,165.11M,165.11M,0.39,,AOR,Restated
2007-12,976.00M,976.00M,,,-719.00M,,13.00M,-13.00M,,-719.00M,13.00M,-13.00M,4.00M,-13.00M,253.00M,67.00M,186.00M,,186.00M,186.00M,10.00M,266.00M,,1.12,0.00,,1.12,1.12,,1.11,0.00,,1.11,1.11,,162.11M,168.72M,0.355,,AOR,Restated
2007-09,982.00M,982.00M,136.00M,90.00M,226.00M,-18.00M,13.00M,-13.00M,,208.00M,13.00M,-13.00M,3.00M,-13.00M,160.00M,36.00M,124.00M,,124.00M,137.95M,10.00M,173.00M,,0.72,0.00,,0.8009,0.72,,0.72,0.00,,0.8009,0.72,,172.40M,172.40M,0.355,,AOR,Restated
2007-06,1.27B,1.27B,160.00M,87.00M,247.00M,-19.00M,13.00M,-13.00M,,228.00M,13.00M,-13.00M,5.00M,-13.00M,508.00M,157.00M,351.00M,,351.00M,364.13M,9.00M,521.00M,,2.04,0.00,,2.116,2.04,,2.02,0.00,,2.096,2.02,,173.42M,173.76M,0.355,,AOR,Restated
2007-03,1.031B,1.031B,170.00M,88.00M,258.00M,-20.00M,13.00M,-13.00M,,238.00M,13.00M,-13.00M,6.00M,-13.00M,271.00M,77.00M,194.00M,,194.00M,208.32M,7.00M,284.00M,,1.12,0.00,,1.202,1.12,,1.11,0.00,,1.192,1.11,,174.27M,174.77M,0.355,,AOR,Restated
2006-12,994.00M,994.00M,152.00M,99.00M,251.00M,-19.00M,14.00M,-14.00M,,232.00M,14.00M,-14.00M,4.00M,-14.00M,172.00M,42.00M,130.00M,,130.00M,144.36M,12.00M,186.00M,,0.75,0.00,,0.8360,0.75,,0.74,0.00,,0.8218,0.74,,167.07M,175.49M,0.335,,AOR,Restated
2006-09,967.00M,967.00M,156.00M,87.00M,243.00M,-19.00M,13.00M,-13.00M,,224.00M,13.00M,-13.00M,4.00M,-13.00M,148.00M,33.00M,115.00M,,115.00M,129.76M,10.00M,161.00M,,0.67,0.00,,0.7542,0.67,,0.66,0.00,,0.7442,0.66,,175.26M,175.26M,0.335,,AOR,Restated
2006-06,981.00M,981.00M,156.00M,84.00M,240.00M,-14.00M,13.00M,-13.00M,,226.00M,13.00M,-13.00M,5.00M,-13.00M,175.00M,43.00M,132.00M,,132.00M,142.56M,8.00M,188.00M,,0.77,0.00,,0.8303,0.77,,0.76,0.00,,0.8203,0.76,,175.02M,175.02M,0.335,,AOR,Restated
2006-03,1.607B,1.607B,166.00M,83.00M,249.00M,-24.00M,13.00M,-13.00M,,225.00M,13.00M,-13.00M,4.00M,-13.00M,834.00M,282.00M,552.00M,,552.00M,567.88M,8.00M,847.00M,,3.17,0.00,,3.260,3.17,,3.13,0.00,,3.220,3.13,,176.13M,176.36M,0.335,,AOR,Restated
2005-12,966.00M,966.00M,151.00M,89.00M,240.00M,-20.00M,12.00M,-12.00M,,220.00M,12.00M,-12.00M,4.00M,-12.00M,261.00M,78.00M,183.00M,,183.00M,197.02M,11.00M,273.00M,,1.05,0.00,,1.129,1.05,,1.03,0.00,,1.109,1.03,,176.83M,177.86M,0.305,,AOR,Restated
2005-09,944.00M,944.00M,160.00M,74.00M,234.00M,-17.00M,13.00M,-13.00M,6.00M,223.00M,13.00M,-13.00M,4.00M,-13.00M,151.00M,34.00M,117.00M,,117.00M,130.17M,8.00M,164.00M,,0.67,0.00,,0.7445,0.67,,0.66,0.00,,0.7343,0.66,,176.81M,177.27M,0.305,,AOR,Restated
2005-06,940.00M,940.00M,166.00M,72.00M,238.00M,-18.00M,13.00M,-13.00M,2.00M,222.00M,13.00M,-13.00M,4.00M,-13.00M,215.00M,57.00M,158.00M,,158.00M,171.23M,7.00M,228.00M,,0.90,0.00,,0.9747,0.90,,0.89,0.00,,0.9645,0.89,,177.10M,177.53M,0.305,,AOR,Restated
2005-03,916.00M,916.00M,150.00M,67.00M,217.00M,-17.00M,13.00M,-13.00M,4.00M,204.00M,13.00M,-13.00M,4.00M,-13.00M,195.00M,51.00M,144.00M,,144.00M,156.55M,7.00M,208.00M,,0.82,0.00,,0.8906,0.82,,0.81,0.00,,0.8806,0.81,,177.86M,177.86M,0.2905,,,Restated
2004-12,942.00M,942.00M,,,,,11.00M,-11.00M,,,11.00M,-11.00M,2.00M,-11.00M,271.00M,79.00M,192.00M,,192.00M,192.00M,5.00M,282.00M,,1.08,0.00,,1.08,1.08,,1.08,0.00,,1.08,1.08,,183.78M,183.78M,0.2619,,,Restated
2004-09,879.00M,879.00M,,,,,11.00M,-11.00M,224.00M,224.00M,11.00M,-11.00M,4.00M,-11.00M,113.00M,23.00M,90.00M,,90.00M,90.00M,16.00M,124.00M,,0.51,0.00,,0.51,0.51,,0.50,0.00,,0.50,0.50,,176.47M,180.00M,0.2619,,AOR,Restated
2004-06,923.00M,923.00M,,,,,9.00M,-9.00M,228.00M,228.00M,9.00M,-9.00M,3.00M,-9.00M,214.00M,59.00M,155.00M,,155.00M,155.00M,-1.00M,223.00M,,0.88,0.00,,0.88,0.88,,0.87,0.00,,0.87,0.87,,176.14M,178.16M,0.2619,,AOR,Restated
2004-03,870.00M,870.00M,,,,,8.00M,-8.00M,209.00M,209.00M,8.00M,-8.00M,3.00M,-8.00M,201.00M,55.00M,146.00M,,146.00M,146.00M,8.00M,209.00M,,0.83,0.00,,0.83,0.83,,0.82,0.00,,0.82,0.82,,175.90M,178.05M,0.2494,,AOR,
2003-12,839.00M,839.00M,134.00M,62.00M,196.00M,-19.00M,9.00M,-9.00M,5.00M,182.00M,9.00M,-9.00M,1.00M,-9.00M,170.00M,41.00M,129.00M,,129.00M,143.42M,10.00M,179.00M,,0.7333,0.00,,0.8130,0.7333,,0.7238,0.00,,0.8035,0.7238,,180.93M,180.93M,0.2268,,AOR,
2003-09,836.00M,836.00M,143.00M,32.00M,175.00M,-19.00M,8.00M,-8.00M,3.00M,159.00M,8.00M,-8.00M,3.00M,-8.00M,137.00M,33.00M,104.00M,,104.00M,118.42M,6.00M,145.00M,,0.5905,0.00,,0.6724,0.5905,,0.5810,0.00,,0.6615,0.5810,,176.13M,179.02M,0.2268,,AOR,Restated
2003-06,798.00M,798.00M,128.00M,57.00M,185.00M,-12.00M,8.00M,-8.00M,2.00M,175.00M,8.00M,-8.00M,3.00M,-8.00M,107.00M,23.00M,84.00M,,84.00M,93.42M,7.00M,115.00M,,0.4762,0.00,,0.5296,0.4762,,0.4762,0.00,,0.5296,0.4762,,176.40M,176.40M,0.2268,,AOR,Restated
2003-03,707.00M,707.00M,132.00M,53.00M,185.00M,-18.00M,8.00M,-8.00M,5.00M,172.00M,8.00M,-8.00M,3.00M,-8.00M,65.00M,8.00M,57.00M,,57.00M,72.78M,7.00M,73.00M,,0.3175,0.00,,0.4054,0.3175,,0.3175,0.00,,0.4054,0.3175,,179.55M,179.55M,0.2268,,AOR,Restated
2002-12,722.00M,722.00M,127.00M,52.00M,179.00M,-29.00M,9.00M,-9.00M,0.00,150.00M,9.00M,-9.00M,2.00M,-9.00M,64.00M,8.00M,56.00M,,56.00M,81.38M,8.00M,73.00M,,0.3175,0.00,,0.4567,0.3175,,0.3170,0.00,,0.4563,0.3170,,182.21M,182.21M,0.2018,,AOR,
2002-09,731.00M,731.00M,120.00M,53.00M,173.00M,-19.00M,9.00M,-9.00M,1.00M,155.00M,9.00M,-9.00M,2.00M,-9.00M,90.00M,18.00M,72.00M,,72.00M,87.20M,2.00M,99.00M,,0.3991,0.00,,0.4833,0.3991,,0.3991,0.00,,0.4833,0.3991,,180.41M,180.41M,0.2018,,AOR,Restated
2002-06,703.00M,703.00M,113.00M,47.00M,160.00M,-17.00M,9.00M,-9.00M,1.00M,144.00M,9.00M,-9.00M,2.00M,-9.00M,31.00M,-4.00M,35.00M,,35.00M,45.20M,6.00M,40.00M,,0.1995,0.00,,0.2577,0.1995,,0.1905,0.00,,0.2460,0.1905,,175.40M,183.75M,0.2018,,AOR,Restated
2002-03,687.00M,687.00M,112.00M,49.00M,161.00M,-15.00M,9.00M,-9.00M,3.00M,149.00M,9.00M,-9.00M,7.00M,-9.00M,93.00M,18.00M,75.00M,,75.00M,87.10M,6.00M,102.00M,,0.4263,0.00,,0.4951,0.4263,,0.4172,0.00,,0.4845,0.4172,,175.93M,179.76M,0.2018,,AOR,Restated
2001-12,654.00M,654.00M,95.00M,48.00M,143.00M,-28.00M,9.00M,-9.00M,4.00M,119.00M,9.00M,-9.00M,4.00M,-9.00M,39.00M,3.00M,36.00M,,36.00M,61.85M,6.00M,48.00M,,0.1995,0.00,,0.3467,0.1995,,0.1995,0.00,,0.3463,0.1995,,175.69M,176.07M,0.1905,,AOR,Restated
2001-09,644.00M,644.00M,100.00M,41.00M,141.00M,-15.00M,10.00M,-10.00M,5.00M,131.00M,10.00M,-10.00M,3.00M,-10.00M,34.00M,-2.00M,36.00M,,36.00M,45.00M,6.00M,44.00M,,0.2086,0.00,,0.2599,0.2086,,0.1995,0.00,,0.2500,0.1995,,175.60M,178.44M,0.1905,,AOR,Restated
2001-06,645.00M,645.00M,102.00M,49.00M,151.00M,-12.00M,10.00M,-10.00M,5.00M,144.00M,10.00M,-10.00M,1.00M,-10.00M,51.00M,2.00M,49.00M,,49.00M,60.53M,6.00M,61.00M,,0.2721,0.00,,0.3371,0.2721,,0.2721,0.00,,0.3359,0.2721,,177.50M,180.81M,0.1905,,AOR,Restated
2001-03,618.00M,618.00M,94.00M,46.00M,140.00M,-18.00M,10.00M,-10.00M,4.00M,126.00M,10.00M,-10.00M,5.00M,-10.00M,97.00M,24.00M,73.00M,,73.00M,86.55M,7.00M,107.00M,,0.4082,0.00,,0.4835,0.4082,,0.3991,0.00,,0.4731,0.3991,,179.71M,183.02M,0.1905,,AOR,Restated
