,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,900.00M,,900.00M,2.532B,95.00M,2.627B,65.00M,3.592B,213.00M,,21.54B,,22.19B,27.54B,,,,,54.00M,,54.00M,54.00M,54.00M,845.00M,,845.00M,1.299B,1.299B,,6.746B,2.96B,11.85B,16.75B,,397.00M,10.08B,1.328B,1.79B,769.00M,10.79B,,AOR,
2020-09,914.00M,,914.00M,2.589B,86.00M,2.675B,73.00M,3.662B,211.00M,,20.30B,,20.96B,26.37B,,,,,123.00M,,123.00M,123.00M,123.00M,844.00M,,844.00M,1.077B,1.077B,,6.747B,3.024B,11.69B,16.62B,,397.00M,9.132B,1.318B,1.788B,686.00M,9.745B,,AOR,
2020-06,706.00M,,706.00M,2.71B,86.00M,2.796B,91.00M,3.593B,209.00M,,19.49B,,20.11B,25.45B,,,,,122.00M,,122.00M,122.00M,122.00M,845.00M,,845.00M,979.00M,979.00M,,6.463B,3.107B,11.39B,16.19B,,397.00M,8.745B,1.309B,1.79B,597.00M,9.258B,,AOR,
2020-03,486.00M,,486.00M,2.591B,76.00M,2.667B,57.00M,3.21B,208.00M,,17.88B,,18.47B,23.37B,,,,,114.00M,,114.00M,114.00M,114.00M,846.00M,,846.00M,660.00M,660.00M,,6.206B,2.922B,10.63B,15.32B,,397.00M,7.932B,1.30B,1.791B,204.00M,8.042B,,AOR,
2019-12,767.00M,,767.00M,2.52B,77.00M,2.597B,54.00M,3.418B,207.00M,,19.75B,,20.33B,25.41B,,,,,39.00M,,39.00M,39.00M,39.00M,788.00M,58.00M,846.00M,1.079B,1.079B,,6.147B,2.788B,10.86B,15.54B,,397.00M,9.257B,1.306B,1.544B,448.00M,9.864B,,AOR,
2019-09,787.00M,,787.00M,2.488B,78.00M,2.566B,60.00M,3.413B,207.00M,,19.06B,,19.67B,24.74B,,,,,38.00M,,38.00M,38.00M,38.00M,847.00M,,847.00M,972.00M,972.00M,,6.056B,2.859B,10.73B,15.37B,,397.00M,8.722B,1.295B,1.485B,442.00M,9.371B,,AOR,Restated
2019-06,803.00M,,803.00M,2.558B,76.00M,2.634B,70.00M,3.507B,207.00M,,18.60B,,19.18B,24.34B,,,,,37.00M,,37.00M,37.00M,37.00M,847.00M,,847.00M,932.00M,932.00M,,6.009B,2.896B,10.68B,15.21B,,397.00M,8.566B,1.286B,1.482B,364.00M,9.131B,,AOR,Restated
2019-03,802.00M,,802.00M,2.44B,72.00M,2.512B,50.00M,3.364B,202.00M,,17.86B,,18.41B,23.35B,,,,,32.00M,,32.00M,32.00M,32.00M,845.00M,,845.00M,817.00M,817.00M,,5.944B,2.717B,10.32B,14.72B,,397.00M,8.229B,1.277B,1.483B,210.00M,8.63B,,AOR,Restated
2018-12,784.00M,,784.00M,2.26B,71.00M,2.331B,44.00M,3.159B,195.00M,,16.73B,,17.24B,21.94B,,,,,32.00M,,32.00M,32.00M,32.00M,788.00M,46.00M,834.00M,627.00M,627.00M,,5.707B,2.516B,9.684B,14.10B,,397.00M,7.625B,1.281B,1.492B,22.00M,7.833B,,AOR,Restated
2018-09,616.00M,,616.00M,2.262B,69.00M,2.331B,44.00M,2.991B,191.00M,,17.43B,,17.95B,22.48B,,,,,30.00M,,30.00M,30.00M,30.00M,830.00M,,830.00M,797.00M,797.00M,,5.578B,2.591B,9.796B,14.15B,,397.00M,8.164B,1.273B,1.496B,-4.00M,8.334B,,AOR,Restated
