,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,35.95B,35.95B,33.08B,2.877B,3.53B,0.00,,474.00M,91.00M,-383.00M,1.789B,5.319B,-2.442B,91.00M,474.00M,-383.00M,-985.00M,-383.00M,-3.81B,-1.019B,-2.791B,,,3.00M,,-2.788B,-2.798B,-1.611B,1.725B,-3.336B,,-0.70,,,,-0.7024,-0.70,,-0.70,,,,-0.7024,-0.70,,3.979B,3.979B,0.00,,AOR,
2020-09,37.50B,37.50B,31.22B,6.278B,2.266B,,,498.00M,86.00M,-412.00M,1.661B,3.927B,2.351B,86.00M,498.00M,-412.00M,817.00M,-412.00M,2.756B,366.00M,2.39B,,,-5.00M,,2.385B,2.128B,4.774B,1.52B,3.254B,,0.60,,,,0.5352,0.60,,0.60,,,,0.5357,0.60,,3.976B,4.005B,0.00,,AOR,
2020-06,19.37B,19.37B,17.93B,1.439B,1.965B,-1.00M,,450.00M,134.00M,-316.00M,2.233B,4.198B,-2.759B,134.00M,450.00M,-316.00M,4.159B,-316.00M,1.084B,-34.00M,1.118B,,,-1.00M,,1.117B,1.083B,3.604B,2.07B,1.534B,,0.28,,,,0.2716,0.28,,0.28,,,,0.2716,0.28,,3.975B,3.992B,0.00,,AOR,
2020-03,34.32B,34.32B,30.52B,3.798B,2.432B,,,250.00M,162.00M,-88.00M,2.924B,5.356B,-1.558B,162.00M,250.00M,-88.00M,500.00M,-88.00M,-1.146B,847.00M,-1.993B,,,0.00,,-1.993B,-1.970B,1.246B,2.142B,-896.00M,,-0.50,,,,-0.4941,-0.50,,-0.50,,,,-0.4941,-0.50,,3.963B,3.963B,0.15,,AOR,
2019-12,39.72B,39.72B,34.81B,4.903B,2.992B,-1.00M,,255.00M,194.00M,-61.00M,2.368B,5.36B,-457.00M,194.00M,255.00M,-61.00M,-1.918B,-61.00M,-2.436B,-764.00M,-1.672B,,,0.00,,-1.672B,-1.716B,-110.00M,2.071B,-2.181B,,-0.42,,,,-0.4311,-0.42,,-0.42,,,,-0.4310,-0.42,,3.96B,3.998B,0.15,,AOR,Restated
2019-09,36.99B,36.99B,32.28B,4.708B,2.601B,-1.00M,,276.00M,197.00M,-79.00M,2.368B,4.969B,-261.00M,197.00M,276.00M,-79.00M,321.00M,-79.00M,-19.00M,-442.00M,423.00M,,,2.00M,,425.00M,280.46M,2.275B,2.018B,257.00M,,0.11,,,,0.0736,0.11,,0.11,,,,0.0739,0.11,,3.97B,4.007B,0.15,,AOR,Restated
2019-06,38.85B,38.85B,33.66B,5.196B,2.725B,-53.00M,,244.00M,206.00M,-38.00M,2.381B,5.106B,90.00M,206.00M,244.00M,-38.00M,153.00M,-38.00M,205.00M,55.00M,150.00M,,,-2.00M,,148.00M,324.16M,2.708B,2.259B,449.00M,,0.04,,,,0.0842,0.04,,0.04,,,,0.0839,0.04,,3.984B,4.013B,0.15,,AOR,Restated
2019-03,40.34B,40.34B,33.94B,6.40B,2.843B,,,265.00M,203.00M,-62.00M,2.355B,5.198B,1.202B,203.00M,265.00M,-62.00M,470.00M,-62.00M,1.61B,427.00M,1.183B,,,-37.00M,,1.146B,1.097B,4.017B,2.142B,1.875B,,0.29,,,,0.2776,0.29,,0.29,,,,0.2777,0.29,,3.973B,3.997B,0.15,,AOR,Restated
2018-12,41.79B,41.79B,35.75B,6.039B,2.996B,0.00,,295.00M,190.00M,-105.00M,2.411B,5.407B,632.00M,190.00M,295.00M,-105.00M,-544.00M,-105.00M,-17.00M,95.00M,-112.00M,,,-4.00M,,-116.00M,-100.67M,2.387B,2.109B,278.00M,,-0.02,,,,-0.0161,-0.02,,-0.03,,,,-0.0262,-0.03,,3.968B,3.995B,0.15,,AOR,Restated
2018-09,37.67B,37.67B,31.57B,6.098B,2.882B,0.00,,348.00M,169.00M,-179.00M,2.352B,5.234B,864.00M,169.00M,348.00M,-179.00M,409.00M,-179.00M,1.094B,101.00M,993.00M,,,-2.00M,,991.00M,1.060B,1.442B,,1.442B,,0.25,,,,0.2674,0.25,,0.25,,,,0.2673,0.25,,3.976B,4.00B,0.15,,AOR,Restated
2018-06,38.92B,38.92B,33.19B,5.726B,2.778B,0.00,,301.00M,199.00M,-102.00M,2.362B,5.14B,586.00M,199.00M,301.00M,-102.00M,865.00M,-102.00M,1.349B,280.00M,1.069B,,,-3.00M,,1.066B,894.04M,1.65B,,1.65B,,0.27,,,,0.2268,0.27,,0.27,,,,0.2270,0.27,,3.977B,3.999B,0.15,,AOR,Restated
2018-03,41.96B,41.96B,35.75B,6.206B,2.747B,,,289.00M,147.00M,-142.00M,2.338B,5.085B,1.121B,147.00M,289.00M,-142.00M,940.00M,-142.00M,1.919B,174.00M,1.745B,,,-9.00M,,1.736B,1.741B,2.208B,,2.208B,,0.44,,,,0.4411,0.44,,0.43,,,,0.4311,0.43,,3.974B,3.997B,0.15,,AOR,Restated
2017-12,41.33B,41.33B,28.32B,13.00B,3.088B,,,308.00M,137.00M,-171.00M,,12.14B,867.00M,137.00M,308.00M,-171.00M,1.176B,-171.00M,1.872B,-652.00M,2.524B,,,-4.00M,,2.52B,2.542B,2.18B,,2.18B,,0.63,,,,0.6356,0.63,,0.63,,,,0.6355,0.63,,3.975B,4.004B,0.15,,AOR,Restated
2017-09,36.45B,36.45B,32.53B,3.917B,2.919B,,,298.00M,122.00M,-176.00M,,2.919B,998.00M,122.00M,298.00M,-176.00M,948.00M,-176.00M,1.77B,191.00M,1.579B,,,-7.00M,,1.572B,1.584B,2.068B,,2.068B,,0.40,,,,0.4029,0.40,,0.39,,,,0.3929,0.39,,3.972B,3.996B,0.15,,AOR,Restated
2017-06,39.85B,39.85B,35.54B,4.308B,2.756B,,,291.00M,109.00M,-182.00M,,2.756B,1.552B,109.00M,291.00M,-182.00M,896.00M,-182.00M,2.266B,211.00M,2.055B,,,-8.00M,,2.047B,2.069B,2.557B,,2.557B,,0.51,,,,0.5155,0.51,,0.51,,,,0.5154,0.51,,3.977B,3.996B,0.15,,AOR,Restated
2017-03,39.15B,39.15B,32.70B,6.446B,2.764B,,,293.00M,93.00M,-200.00M,2.218B,4.982B,1.464B,93.00M,293.00M,-200.00M,987.00M,-200.00M,2.251B,652.00M,1.599B,,,-7.00M,,1.592B,1.556B,2.544B,,2.544B,,0.40,,,,0.3909,0.40,,0.40,,,,0.3909,0.40,,3.976B,3.999B,0.15,,AOR,Restated
2016-12,38.65B,38.65B,32.49B,6.166B,2.841B,38.00M,,301.00M,55.00M,-246.00M,2.329B,5.17B,996.00M,55.00M,301.00M,-246.00M,-1.879B,-246.00M,-1.129B,-341.00M,-788.00M,,,-2.00M,,-790.00M,-781.62M,-828.00M,,-828.00M,,-0.19,,,,-0.1879,-0.19,,-0.20,,,,-0.1979,-0.20,,3.976B,4.005B,0.15,,AOR,Restated
