,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2015-09,3.443B,3.443B,1.824B,1.619B,1.00M,504.00M,162.00M,,-162.00M,,789.00M,830.00M,,162.00M,-162.00M,9.00M,-162.00M,677.00M,249.00M,428.00M,,,,,428.00M,419.81M,1.124B,285.00M,839.00M,1.46,,,1.432,1.46,1.45,,,1.422,1.45,292.90M,294.20M,0.65
2015-06,2.788B,2.788B,1.582B,1.206B,1.00M,458.00M,162.00M,,-162.00M,,734.00M,472.00M,,162.00M,-162.00M,10.00M,-162.00M,320.00M,101.00M,219.00M,,,,,219.00M,208.80M,758.00M,276.00M,482.00M,0.75,,,0.7152,0.75,0.74,,,0.7053,0.74,292.90M,294.00M,0.65
2015-03,3.616B,3.616B,2.114B,1.502B,1.00M,497.00M,161.00M,,-161.00M,,776.00M,726.00M,,161.00M,-161.00M,4.00M,-161.00M,569.00M,199.00M,370.00M,,,,,370.00M,366.10M,1.009B,279.00M,730.00M,1.26,,,1.247,1.26,1.26,,,1.247,1.26,292.90M,293.90M,0.65
2014-12,2.828B,2.828B,1.845B,983.00M,-2.00M,458.00M,156.00M,,-156.00M,,733.00M,250.00M,,156.00M,-156.00M,-3.00M,-156.00M,91.00M,9.00M,82.00M,,,,,82.00M,82.90M,522.00M,275.00M,247.00M,0.28,,,0.2831,0.28,0.28,,,0.2831,0.28,292.90M,294.00M,0.63
2014-09,3.39B,3.39B,1.849B,1.541B,1.00M,452.00M,150.00M,,-150.00M,,722.00M,819.00M,,150.00M,-150.00M,26.00M,-150.00M,695.00M,259.00M,436.00M,,,,,436.00M,417.73M,1.115B,270.00M,845.00M,1.49,,,1.4280000000000002,1.49,1.48,,,1.4180000000000001,1.48,292.90M,294.00M,0.63
2014-06,2.911B,2.911B,1.769B,1.142B,46.00M,467.00M,150.00M,,-150.00M,,732.00M,410.00M,,150.00M,-150.00M,54.00M,-150.00M,314.00M,102.00M,212.00M,,,,,212.00M,171.20M,729.00M,265.00M,464.00M,0.73,,,0.5907,0.73,0.72,,,0.5812,0.72,292.90M,294.00M,0.63
2014-03,3.789B,3.789B,2.344B,1.445B,1.00M,499.00M,136.00M,,-136.00M,,760.00M,685.00M,,136.00M,-136.00M,10.00M,-136.00M,559.00M,198.00M,361.00M,,,,,361.00M,352.55M,956.00M,261.00M,695.00M,1.23,,,1.2009999999999998,1.23,1.23,,,1.2009999999999998,1.23,292.90M,294.10M,0.63
2013-12,2.867B,2.867B,1.666B,1.201B,2.00M,464.00M,144.00M,,-144.00M,,724.00M,477.00M,,144.00M,-144.00M,4.00M,-144.00M,337.00M,103.00M,234.00M,,,,,234.00M,229.14M,741.00M,260.00M,481.00M,0.79,,,0.7734,0.79,0.79,,,0.7735,0.79,292.90M,294.70M,0.615
2013-09,3.484B,3.484B,1.871B,1.613B,1.00M,500.00M,146.00M,,-146.00M,,758.00M,855.00M,,146.00M,-146.00M,5.00M,-146.00M,714.00M,250.00M,464.00M,,,,,464.00M,458.15M,1.118B,258.00M,860.00M,1.58,,,1.56,1.58,1.58,,,1.56,1.58,292.90M,294.30M,0.615
2013-06,2.818B,2.818B,1.72B,1.098B,1.00M,457.00M,151.00M,,-151.00M,,712.00M,386.00M,,151.00M,-151.00M,2.00M,-151.00M,237.00M,65.00M,172.00M,,,,,172.00M,166.16M,643.00M,255.00M,388.00M,0.59,,,0.5701,0.59,0.59,,,0.5702,0.59,292.90M,294.30M,0.615
2013-03,3.184B,3.184B,1.934B,1.25B,1.00M,473.00M,279.00M,,-279.00M,,724.00M,526.00M,,279.00M,-279.00M,2.00M,-279.00M,249.00M,57.00M,192.00M,,,,,192.00M,188.15M,779.00M,251.00M,528.00M,0.66,,,0.6469,0.66,0.65,,,0.6369,0.65,292.90M,294.20M,0.615
2012-12,2.901B,2.901B,1.737B,1.164B,1.00M,465.00M,149.00M,,-149.00M,,711.00M,453.00M,,149.00M,-149.00M,2.00M,-149.00M,306.00M,99.00M,207.00M,,,,0.00,207.00M,203.62M,701.00M,246.00M,455.00M,0.71,,,0.6985,0.71,0.7,,,0.6885,0.7,292.90M,294.20M,0.605
2012-09,3.438B,3.438B,1.871B,1.567B,1.00M,476.00M,152.00M,,-152.00M,,716.00M,851.00M,,152.00M,-152.00M,2.00M,-152.00M,701.00M,261.00M,440.00M,,,,,440.00M,436.85M,1.093B,240.00M,853.00M,1.5,,,1.489,1.5,1.49,,,1.479,1.49,292.90M,294.60M,0.605
2012-06,2.771B,2.771B,1.627B,1.144B,2.00M,433.00M,153.00M,,-153.00M,,669.00M,475.00M,,153.00M,-153.00M,-2.00M,-153.00M,320.00M,106.00M,214.00M,,,,,214.00M,211.32M,709.00M,236.00M,473.00M,0.73,,,0.7208,0.73,0.73,,,0.7209,0.73,292.90M,294.40M,0.605
2012-03,3.078B,3.078B,1.834B,1.244B,0.00,450.00M,150.00M,,-150.00M,,683.00M,561.00M,,150.00M,-150.00M,3.00M,-150.00M,414.00M,134.00M,280.00M,,,,3.00M,280.00M,275.27M,797.00M,233.00M,564.00M,0.95,,,0.9338,0.95,0.94,,,0.9239,0.94,292.90M,294.50M,0.605
2011-12,2.914B,2.914B,4.038B,-1.124B,13.00M,406.00M,142.00M,,-142.00M,,-1.582B,458.00M,,142.00M,-142.00M,0.00,-142.00M,316.00M,123.00M,193.00M,,,,2.00M,193.00M,182.62M,683.00M,225.00M,458.00M,0.65,,,0.6146,0.65,0.65,,,0.6148,0.65,292.90M,295.00M,0.6
2011-09,3.629B,3.629B,1.385B,2.244B,0.00,483.00M,145.00M,,-145.00M,,1.488B,756.00M,,145.00M,-145.00M,,-145.00M,611.00M,225.00M,386.00M,,,,3.00M,386.00M,386.00M,978.00M,222.00M,756.00M,1.31,0.0,,1.31,1.31,1.3,0.0,,1.3,1.3,292.90M,294.60M,0.6
2011-06,2.993B,2.993B,1.199B,1.794B,5.00M,445.00M,153.00M,1.00M,-152.00M,732.00M,1.396B,398.00M,1.00M,153.00M,-152.00M,5.00M,-152.00M,251.00M,83.00M,168.00M,,,,3.00M,168.00M,164.65M,623.00M,219.00M,404.00M,0.57,0.0,,0.5586,0.57,0.56,0.0,,0.5486,0.56,292.70M,294.30M,0.6
2011-03,3.349B,3.349B,1.349B,2.00B,9.00M,458.00M,154.00M,2.00M,-152.00M,698.00M,1.374B,626.00M,2.00M,154.00M,-152.00M,9.00M,-152.00M,483.00M,169.00M,314.00M,,,,3.00M,314.00M,308.15M,855.00M,218.00M,637.00M,1.07,0.0,,1.05,1.07,1.06,0.0,,1.04,1.06,292.00M,293.60M,0.6
2010-12,3.14B,3.14B,4.11B,-970.00M,-15.00M,440.00M,146.00M,,-153.00M,,-1.463B,493.00M,,146.00M,-153.00M,10.00M,-153.00M,350.00M,115.00M,235.00M,,,,2.00M,235.00M,245.07M,710.00M,214.00M,496.00M,0.8,,,0.8347,0.8,0.79,,,0.8244,0.79,290.60M,292.50M,0.595
2010-09,3.707B,3.707B,1.604B,2.103B,10.00M,449.00M,159.00M,2.00M,-157.00M,738.00M,1.398B,705.00M,2.00M,159.00M,-157.00M,10.00M,-157.00M,558.00M,205.00M,353.00M,,,,3.00M,353.00M,346.67M,928.00M,211.00M,717.00M,1.24,0.0,,1.218,1.24,1.23,0.0,,1.208,1.23,283.00M,284.60M,0.595
2010-06,3.017B,3.017B,1.294B,1.723B,12.00M,405.00M,152.00M,3.00M,-149.00M,678.00M,1.294B,429.00M,3.00M,152.00M,-149.00M,12.00M,-149.00M,292.00M,106.00M,186.00M,,,,3.00M,186.00M,178.36M,655.00M,211.00M,444.00M,0.65,0.0,,0.6229,0.65,0.64,0.0,,0.613,0.64,282.00M,283.50M,0.595
2010-03,3.462B,3.462B,1.636B,1.826B,8.00M,428.00M,149.00M,,-149.00M,702.00M,1.334B,492.00M,,149.00M,-149.00M,8.00M,-149.00M,351.00M,122.00M,229.00M,,,,3.00M,229.00M,223.78M,704.00M,204.00M,500.00M,0.8,0.0,,0.7815,0.8,0.8,0.0,,0.7815,0.8,281.40M,282.70M,0.595
2009-12,3.274B,3.274B,1.573B,1.701B,1.00M,400.00M,156.00M,,-156.00M,,1.278B,423.00M,,156.00M,-156.00M,8.00M,-156.00M,275.00M,71.00M,204.00M,,,,2.00M,204.00M,198.07M,633.00M,202.00M,431.00M,0.73,0.0,,0.7086,0.73,0.72,0.0,,0.6987,0.72,277.30M,279.00M,0.59
2009-09,3.489B,3.489B,1.51B,1.979B,1.00M,418.00M,155.00M,,-155.00M,676.00M,1.294B,685.00M,,155.00M,-155.00M,4.00M,-155.00M,534.00M,195.00M,339.00M,,,,3.00M,339.00M,336.46M,889.00M,200.00M,689.00M,1.22,0.0,,1.2109999999999999,1.22,1.22,0.0,,1.2109999999999999,1.22,275.10M,276.00M,0.59
2009-06,2.845B,2.845B,1.287B,1.558B,5.00M,367.00M,157.00M,,-157.00M,622.00M,1.186B,372.00M,,157.00M,-157.00M,18.00M,-157.00M,233.00M,80.00M,153.00M,,,,3.00M,153.00M,137.90M,587.00M,197.00M,390.00M,0.55,0.0,,0.495,0.55,0.55,0.0,,0.4951,0.55,274.50M,275.30M,0.59
2009-03,3.423B,3.423B,1.872B,1.551B,1.00M,359.00M,146.00M,,-146.00M,581.00M,1.132B,419.00M,,146.00M,-146.00M,4.00M,-146.00M,277.00M,94.00M,183.00M,,,,3.00M,183.00M,180.36M,615.00M,192.00M,423.00M,0.66,0.0,,0.6504,0.66,0.66,0.0,,0.6504,0.66,273.90M,274.50M,0.59
2008-12,2.999B,2.999B,1.54B,1.459B,277.00M,331.00M,151.00M,,-151.00M,,648.00M,811.00M,,151.00M,-151.00M,287.00M,-151.00M,,,162.00M,0.00,,,2.00M,162.00M,-24.55M,1.339B,186.00M,1.153B,0.58,0.0,,-0.1021,0.58,0.57,0.0,,-0.1096,0.58,273.50M,274.50M,0.585
2008-09,3.858B,3.858B,2.327B,1.531B,3.00M,356.00M,139.00M,,-139.00M,682.00M,1.221B,310.00M,,139.00M,-139.00M,13.00M,-139.00M,,,185.00M,0.00,,,3.00M,185.00M,176.55M,494.00M,184.00M,310.00M,0.66,0.0,,0.6291,0.66,0.66,0.0,,0.6291,0.66,273.20M,273.80M,0.585
2008-06,3.149B,3.149B,1.729B,1.42B,-8.00M,328.00M,128.00M,,-128.00M,762.00M,1.272B,148.00M,,128.00M,-128.00M,3.00M,-128.00M,,,283.00M,272.00M,,,3.00M,555.00M,281.05M,330.00M,182.00M,148.00M,1.03,0.99,,1.023,2.02,1.03,0.99,,1.023,2.02,272.70M,273.50M,0.585
2008-03,3.577B,3.577B,1.989B,1.588B,-19.00M,349.00M,126.00M,,-126.00M,684.00M,1.198B,390.00M,,126.00M,-126.00M,39.00M,-126.00M,,,303.00M,3.00M,,,3.00M,306.00M,277.65M,555.00M,165.00M,390.00M,1.1,0.01,,1.0070000000000001,1.11,1.1,0.01,,1.0070000000000001,1.11,272.20M,273.00M,0.585
2007-12,3.227B,3.227B,1.75B,1.477B,8.00M,335.00M,,,,548.00M,1.047B,430.00M,,,,8.00M,,301.00M,95.00M,206.00M,,,,,210.00M,200.52M,832.00M,402.00M,430.00M,0.76,0.0,,0.7398,0.76,0.75,0.0,,0.7299,0.75,271.40M,271.80M,0.58
2007-09,3.579B,3.579B,1.984B,1.595B,16.00M,343.00M,,,,544.00M,1.05B,545.00M,,,,16.00M,,434.00M,124.00M,310.00M,,,,,310.00M,298.57M,733.00M,188.00M,545.00M,1.14,0.01,,1.0979999999999999,1.15,1.14,0.01,,1.0979999999999999,1.15,271.00M,272.00M,0.58
2007-06,2.957B,2.957B,1.64B,1.317B,5.00M,317.00M,,,,497.00M,974.00M,343.00M,,,,5.00M,,222.00M,71.00M,151.00M,3.00M,,,,154.00M,147.60M,503.00M,-11.00M,343.00M,0.57,0.01,,0.5572,0.58,0.57,0.01,,0.5572,0.58,264.90M,266.20M,0.58
2007-03,3.357B,3.357B,1.851B,1.506B,8.00M,328.00M,,,,490.00M,976.00M,530.00M,,,,8.00M,,406.00M,148.00M,258.00M,-2.00M,,,,256.00M,252.92M,688.00M,88.00M,530.00M,1.0,-0.01,,0.9803,0.99,1.0,-0.01,,0.9804,0.99,258.00M,259.10M,0.58
2006-12,2.648B,2.648B,1.376B,1.272B,-5.00M,304.00M,,,,446.00M,885.00M,387.00M,,,,-5.00M,,292.00M,89.00M,203.00M,-2.00M,,,,201.00M,206.48M,548.00M,161.00M,387.00M,0.8,-0.01,,0.8136,0.79,0.8,-0.01,,0.8135,0.79,256.20M,257.20M,0.575
2006-09,3.441B,3.441B,1.887B,1.554B,4.00M,328.00M,,,,556.00M,1.039B,515.00M,,,,4.00M,,360.00M,129.00M,231.00M,,,,,231.00M,228.43M,807.00M,292.00M,515.00M,0.93,0.0,,0.9197,0.93,0.92,0.0,,0.9097,0.92,249.00M,250.00M,0.575
2006-06,2.555B,2.555B,,,,,,,,,,2.555B,,,,,,,,126.00M,-2.00M,,,,124.00M,126.00M,2.622B,67.00M,2.555B,0.51,-0.01,,0.51,0.5,0.51,-0.01,,0.51,0.5,245.90M,246.70M,0.575
2006-03,3.317B,3.317B,1.995B,1.322B,13.00M,318.00M,,,,440.00M,909.00M,413.00M,,,,13.00M,,293.00M,113.00M,180.00M,1.00M,,,,181.00M,172.01M,564.00M,101.00M,413.00M,0.74,0.0,,0.7075,0.74,0.74,0.0,,0.7076,0.74,245.50M,246.50M,0.575
2005-12,2.82B,2.82B,1.701B,1.119B,6.00M,306.00M,,,,422.00M,852.00M,267.00M,,,,6.00M,,195.00M,36.00M,159.00M,-21.00M,,,,138.00M,154.11M,417.00M,150.00M,267.00M,0.64,-0.08,,0.62,0.56,0.64,-0.08,,0.6201,0.56,245.10M,246.20M,0.57
2005-09,3.337B,3.337B,1.877B,1.46B,5.00M,323.00M,,,,420.00M,890.00M,570.00M,,,,5.00M,,455.00M,168.00M,287.00M,-2.00M,,,,285.00M,283.85M,754.00M,184.00M,570.00M,1.17,0.0,,1.157,1.17,1.17,-0.01,,1.157,1.16,244.40M,245.40M,0.57
2005-06,2.395B,2.395B,1.298B,1.097B,7.00M,281.00M,,,,405.00M,832.00M,265.00M,,,,7.00M,,158.00M,37.00M,121.00M,-3.00M,,,,118.00M,115.64M,411.00M,109.00M,265.00M,0.48,-0.01,,0.458,0.47,0.48,-0.01,,0.458,0.47,243.40M,244.20M,0.57
2005-03,2.80B,2.80B,1.583B,1.217B,12.00M,270.00M,,,,414.00M,825.00M,392.00M,,,,12.00M,,287.00M,106.00M,181.00M,,,,,181.00M,173.43M,533.00M,141.00M,392.00M,0.75,0.0,,0.7188,0.75,0.75,0.0,,0.7189,0.75,242.70M,243.40M,0.57
2004-12,2.153B,2.153B,1.229B,924.00M,-8.00M,265.00M,,,,374.00M,777.00M,147.00M,,,,-8.00M,,30.00M,-22.00M,52.00M,-2.00M,,,0.00,50.00M,56.80M,285.00M,135.00M,147.00M,0.28,-0.08,,0.3019,0.2,0.27,-0.08,,0.29,0.19,219.35M,240.20M,0.565
2004-09,2.734B,2.734B,1.449B,1.285B,20.00M,278.00M,,,,384.00M,802.00M,483.00M,,,,20.00M,,397.00M,147.00M,250.00M,-4.00M,,,,246.00M,237.41M,624.00M,141.00M,483.00M,1.04,-0.02,,0.9878,1.02,1.03,-0.02,,0.978,1.01,241.50M,242.20M,0.565
2004-06,2.164B,2.164B,1.179B,985.00M,1.00M,255.00M,,,,359.00M,751.00M,234.00M,,,,1.00M,,130.00M,41.00M,89.00M,-3.00M,,,,86.00M,88.32M,372.00M,138.00M,234.00M,0.38,-0.01,,0.3771,0.37,0.38,-0.01,,0.3771,0.37,234.00M,234.90M,0.565
2004-03,2.679B,2.679B,1.516B,1.163B,8.00M,282.00M,,,,378.00M,796.00M,367.00M,,,,8.00M,,268.00M,110.00M,158.00M,-3.00M,,3.00M,,155.00M,153.20M,504.00M,137.00M,367.00M,0.7,-0.01,,0.6788,0.69,0.69,-0.01,,0.6689,0.68,226.20M,227.20M,0.565
2003-12,2.26B,2.26B,1.213B,1.047B,8.00M,267.00M,,,,310.00M,700.00M,347.00M,,,,8.00M,,240.00M,84.00M,156.00M,,,,3.00M,50.00M,150.80M,483.00M,136.00M,347.00M,0.73,-0.54,,0.7049,0.21,0.73,-0.54,,0.7067,0.21,206.77M,222.80M,0.56
2003-09,2.801B,2.801B,1.452B,1.349B,-2.00M,295.00M,,,,386.00M,815.00M,534.00M,,,,-2.00M,,425.00M,168.00M,257.00M,,,-3.00M,,257.00M,258.21M,668.00M,134.00M,534.00M,1.17,0.0,,1.175,1.17,1.16,0.0,,1.165,1.16,225.00M,226.00M,0.56
2003-06,2.176B,2.176B,1.20B,976.00M,1.00M,270.00M,,,,369.00M,769.00M,207.00M,,,,1.00M,,108.00M,39.00M,69.00M,,,,3.00M,69.00M,68.36M,337.00M,130.00M,207.00M,0.29,0.0,,0.2871,0.29,0.29,0.0,,0.2871,0.29,219.30M,220.30M,0.56
2003-03,2.57B,2.57B,1.413B,1.157B,2.00M,284.00M,,,,388.00M,801.00M,356.00M,,,,2.00M,,254.00M,97.00M,157.00M,,,,3.00M,157.00M,155.76M,485.00M,129.00M,356.00M,0.72,0.0,,0.7142,0.72,0.72,0.0,,0.7143,0.72,214.20M,215.10M,0.56
2002-12,2.053B,2.053B,1.032B,1.021B,36.00M,277.00M,,,,334.00M,729.00M,292.00M,,,,36.00M,,205.00M,62.00M,143.00M,,-2.00M,,3.00M,120.00M,117.89M,418.00M,126.00M,292.00M,0.66,0.0,0.0,0.5429,0.55,0.66,0.0,-0.0093,0.5429,0.55,214.41M,214.41M,0.555
2002-09,2.539B,2.539B,1.222B,1.317B,-2.00M,301.00M,,,,323.00M,750.00M,567.00M,,,,-2.00M,,458.00M,171.00M,287.00M,,,,3.00M,287.00M,288.25M,693.43M,126.43M,567.00M,1.34,0.0,,1.3459999999999999,1.34,1.33,0.0,,1.3359999999999999,1.33,213.20M,214.20M,0.555
2002-06,1.900B,1.900B,918.56M,981.68M,2.632M,269.25M,,,,329.36M,720.74M,260.94M,,,,2.632M,,159.93M,58.95M,100.98M,,,,3.398M,100.98M,99.32M,383.51M,122.57M,260.94M,0.46,0.0,,0.4522,0.46,0.46,0.0,,0.4522,0.46,212.76M,213.93M,0.555
2002-03,2.056B,2.056B,965.00M,1.091B,4.00M,267.00M,,,,337.00M,724.00M,367.00M,,,,4.00M,,266.00M,97.00M,169.00M,,-20.00M,,3.00M,149.00M,166.46M,487.00M,120.00M,367.00M,0.78,-0.1,0.0,0.768,0.68,0.78,-0.1,-0.0942,0.7681,0.68,212.34M,213.31M,0.555
2001-12,1.887B,1.887B,829.32M,1.058B,-11.43M,260.95M,,,,351.50M,733.57M,324.43M,,,,-11.43M,,204.46M,75.79M,128.67M,,,,3.806M,128.67M,135.87M,445.67M,121.24M,324.43M,0.65,-0.06,,0.684,0.59,0.65,-0.06,,0.684,0.59,211.64M,211.64M,0.55
