,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,309.00M,0.00,,-20.00M,-20.00M,76.00M,76.00M,25.00M,,16.00M,21.00M,-189.00M,-38.00M,8.00M,-28.00M,,,,-247.00M,,180.00M,-74.00M,,-74.00M,2.00M,,,-72.00M,0.00,-123.00M,-123.00M,0.00,,0.00,-108.00M,-108.00M,-14.00M,-245.00M,859.00M,-137.00M,0.00,722.00M,0.00,0.00,-123.00M,
2020-07,86.00M,0.00,0.00,104.00M,104.00M,87.00M,87.00M,-41.00M,0.00,14.00M,14.00M,91.00M,-138.00M,1.00M,53.00M,,,,7.00M,,271.00M,-79.00M,,-79.00M,2.00M,,1.00M,-46.00M,-1.00M,-497.00M,-498.00M,0.00,,0.00,-106.00M,-106.00M,-5.00M,-609.00M,1.242B,-384.00M,1.00M,859.00M,0.00,1.007B,-1.505B,
2020-04,168.00M,-3.00M,49.00M,36.00M,82.00M,79.00M,79.00M,3.00M,0.00,14.00M,-6.00M,-9.00M,45.00M,-15.00M,101.00M,,,,122.00M,,462.00M,-53.00M,,-53.00M,3.00M,,0.00,-50.00M,997.00M,-125.00M,872.00M,19.00M,,19.00M,-107.00M,-107.00M,-10.00M,774.00M,58.00M,1.186B,-2.00M,1.242B,19.00M,1.93B,-1.058B,
2020-01,1.208B,-1.076B,,-29.00M,-1.03B,81.00M,81.00M,41.00M,0.00,19.00M,26.00M,62.00M,110.00M,5.00M,-41.00M,,,,136.00M,,481.00M,-69.00M,,-69.00M,2.165B,,3.00M,2.099B,-4.373B,1.777B,-2.596B,3.00M,,3.00M,-106.00M,-106.00M,0.00,-2.699B,61.00M,-119.00M,1.00M,58.00M,3.00M,1.172B,-3.768B,
2019-10,166.00M,104.00M,,-18.00M,86.00M,81.00M,81.00M,-9.00M,,14.00M,17.00M,-174.00M,-37.00M,6.00M,32.00M,,,,-173.00M,,182.00M,-98.00M,,-98.00M,367.00M,,,269.00M,2.109B,-2.447B,-338.00M,1.00M,,1.00M,-107.00M,-107.00M,-9.00M,-453.00M,31.00M,-2.00M,-1.00M,61.00M,1.00M,2.508B,-2.846B,
2019-07,-8.00M,14.00M,,119.00M,134.00M,97.00M,97.00M,-36.00M,33.00M,13.00M,2.00M,52.00M,-120.00M,18.00M,65.00M,,,,15.00M,,250.00M,-110.00M,,-110.00M,485.00M,,0.00,375.00M,-402.00M,-143.00M,-545.00M,0.00,,0.00,-105.00M,-105.00M,0.00,-650.00M,45.00M,-25.00M,-2.00M,31.00M,0.00,1.158B,-1.703B,
2019-04,84.00M,18.00M,,13.00M,31.00M,108.00M,108.00M,90.00M,0.00,14.00M,-19.00M,87.00M,34.00M,-17.00M,-110.00M,,,,-6.00M,,302.00M,-76.00M,,-76.00M,54.00M,,3.00M,-19.00M,-300.00M,129.00M,-171.00M,0.00,,0.00,-106.00M,-106.00M,-1.00M,-278.00M,46.00M,5.00M,-2.00M,45.00M,0.00,1.85B,-2.021B,
2019-01,-59.00M,0.00,,-14.00M,-14.00M,119.00M,119.00M,-57.00M,346.00M,17.00M,-13.00M,73.00M,155.00M,8.00M,40.00M,,,,276.00M,,615.00M,-87.00M,,-87.00M,-17.00M,,1.00M,-103.00M,0.00,-408.00M,-408.00M,0.00,,0.00,-105.00M,-105.00M,-2.00M,-515.00M,85.00M,-3.00M,1.00M,46.00M,0.00,1.121B,-1.529B,
2018-10,194.00M,0.00,,-15.00M,-15.00M,122.00M,122.00M,17.00M,14.00M,14.00M,21.00M,-223.00M,-33.00M,-10.00M,130.00M,,,,-136.00M,,231.00M,-111.00M,,-111.00M,1.00M,,10.00M,-100.00M,0.00,-35.00M,-35.00M,0.00,,0.00,-107.00M,-107.00M,-6.00M,-148.00M,49.00M,-17.00M,-4.00M,85.00M,0.00,1.71B,-1.745B,
2018-07,94.00M,0.00,,-139.00M,-129.00M,128.00M,128.00M,7.00M,54.00M,13.00M,11.00M,74.00M,-134.00M,111.00M,52.00M,,,,103.00M,,281.00M,-184.00M,,-184.00M,2.00M,,-7.00M,-189.00M,4.00M,44.00M,48.00M,,0.00,0.00,-105.00M,-105.00M,-1.00M,-58.00M,195.00M,34.00M,-7.00M,49.00M,,2.435B,-2.387B,0.00
