,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.217B,1.217B,724.30M,492.70M,186.00M,107.60M,293.60M,38.40M,0.00,-2.00M,,,-31.40M,2.90M,334.90M,157.80M,,,-31.40M,-15.90M,-31.40M,110.50M,29.70M,80.80M,,80.80M,89.28M,267.30M,109.50M,157.80M,0.57,,0.6302,0.57,0.57,,0.63,0.57,140.80M,141.40M,0.19
2017-12,1.283B,1.283B,770.30M,512.80M,167.10M,134.20M,301.30M,46.90M,0.10M,-6.40M,,,-35.00M,-0.40M,347.80M,165.00M,,,-35.00M,1.90M,-35.00M,131.90M,58.70M,73.20M,,73.20M,77.46M,276.70M,111.70M,165.00M,0.51,,0.5401,0.51,0.51,,0.54,0.51,141.70M,142.00M,0.16
2017-09,1.231B,1.231B,733.50M,497.80M,165.00M,123.30M,288.30M,38.40M,7.80M,-11.60M,,,-34.70M,-2.90M,323.80M,174.00M,,,-34.70M,-10.60M,-34.70M,128.70M,84.20M,44.50M,,44.50M,53.02M,286.30M,112.30M,174.00M,0.31,,0.3703,0.31,0.31,,0.3701,0.31,141.30M,141.70M,0.16
2017-06,1.238B,1.238B,733.30M,504.60M,177.20M,98.20M,275.40M,42.60M,27.40M,-174.70M,,,-45.10M,-1.70M,316.30M,188.30M,,,-45.10M,-219.50M,-45.10M,-76.30M,-6.70M,-69.60M,,-69.60M,125.23M,299.70M,111.40M,188.30M,-0.49,,0.8696,-0.49,-0.49,,0.8696,-0.49,143.30M,143.30M,0.16
2017-03,1.194B,1.194B,729.60M,464.40M,176.10M,105.40M,281.50M,39.80M,12.20M,-50.90M,,,-53.30M,-36.30M,285.00M,179.40M,,,-53.30M,-30.30M,-53.30M,95.80M,24.20M,71.60M,,71.60M,96.85M,288.80M,109.40M,179.40M,0.5,,0.6761,0.5,0.5,,0.6758,0.5,143.40M,143.60M,0.16
2016-12,1.331B,1.331B,843.60M,487.70M,180.50M,135.00M,315.50M,41.50M,602.20M,-615.30M,,,-53.40M,,357.00M,130.70M,,,-53.40M,-1.721B,-53.40M,-1.644B,-284.80M,-1.359B,,-1.359B,71.93M,249.30M,118.60M,130.70M,-9.48,,0.4854,-9.48,-9.48,,0.4854,-9.48,143.60M,143.60M,0.145
2016-09,1.262B,1.262B,777.10M,484.50M,176.20M,105.40M,281.60M,50.20M,1.614B,-1.622B,,,-54.60M,,331.80M,152.70M,,,-54.60M,-2.000B,-54.60M,-1.902B,-311.80M,-1.590B,,-1.590B,81.05M,267.40M,114.70M,152.70M,-11.1,,0.5626,-11.1,-11.1,,0.5626,-11.1,143.30M,143.30M,0.145
2016-06,1.340B,1.340B,794.00M,546.50M,194.10M,104.30M,298.40M,47.00M,10.50M,-16.30M,,,-57.40M,,345.40M,201.10M,,,-57.40M,-955.90M,-57.40M,-812.20M,-277.90M,-534.30M,,-534.30M,312.14M,242.30M,41.20M,201.10M,-3.73,,2.181,-3.73,-3.73,,2.181,-3.73,143.20M,143.20M,0.145
2016-03,1.383B,1.383B,860.30M,522.90M,202.60M,106.40M,309.00M,45.30M,467.00M,-472.80M,,,-51.20M,,354.30M,168.60M,,,-51.20M,-476.60M,-51.20M,-359.20M,-24.60M,-334.60M,,-334.60M,106.05M,351.10M,182.50M,168.60M,-2.34,,0.7372,-2.34,-2.34,,0.7372,-2.34,143.20M,143.20M,0.145
2015-12,1.425B,1.425B,865.50M,559.30M,181.00M,185.50M,366.50M,46.60M,,-241.20M,,,-46.50M,,413.10M,146.20M,,,-46.50M,-255.10M,-46.50M,-155.40M,-48.40M,-107.00M,,-107.00M,59.08M,298.80M,152.60M,146.20M,-0.73,,0.4162,-0.73,-0.73,,0.413,-0.73,144.90M,145.30M,0.125
2015-09,1.345B,1.345B,795.90M,548.80M,192.80M,123.60M,316.40M,41.60M,,-2.20M,,,-43.40M,,358.00M,190.80M,,,-43.40M,-15.20M,-43.40M,132.20M,19.60M,112.60M,,112.60M,114.47M,366.20M,175.40M,190.80M,0.77,,0.7828,0.77,0.77,,0.7828,0.77,146.30M,146.90M,0.125
2015-06,1.155B,1.155B,594.90M,559.90M,198.70M,140.20M,338.90M,62.60M,,-7.50M,,,-46.00M,,401.50M,158.40M,,,-46.00M,57.30M,-46.00M,169.70M,105.10M,64.60M,,64.60M,69.10M,158.40M,-122.80M,158.40M,0.39,,0.4208,0.39,0.38,,0.4107,0.38,146.20M,146.70M,0.125
2015-03,1.049B,1.049B,670.30M,378.80M,63.50M,79.60M,143.10M,35.40M,,-1.10M,,,-43.30M,,178.50M,200.30M,,,-43.30M,-259.70M,-43.30M,-102.70M,-7.80M,-94.90M,,-94.90M,-93.88M,328.10M,127.80M,200.30M,-0.67,,-0.6628,-0.67,-0.67,,-0.6628,-0.67,140.80M,140.80M,0.125
2014-12,1.072B,1.072B,687.90M,383.80M,59.70M,84.10M,143.80M,53.20M,,-12.00M,,,-30.80M,,197.00M,186.80M,,,-30.80M,-71.30M,-30.80M,84.70M,14.50M,70.20M,,70.20M,80.15M,313.90M,127.10M,186.80M,0.52,,0.593,0.52,0.51,,0.5827,0.51,136.30M,136.80M,0.105
2014-09,951.50M,951.50M,629.70M,321.80M,64.80M,81.50M,146.30M,36.60M,,-1.70M,,,-25.90M,,182.90M,138.90M,,,-25.90M,-4.40M,-25.90M,108.60M,12.30M,96.30M,,96.30M,97.81M,265.50M,126.60M,138.90M,0.72,,0.7312,0.72,0.72,,0.7312,0.72,133.90M,134.40M,0.105
2014-06,997.50M,997.50M,577.30M,420.20M,72.70M,97.10M,169.80M,38.00M,,-10.50M,,,-26.20M,,207.80M,212.40M,,,-26.20M,10.50M,-26.20M,196.70M,37.30M,159.40M,,159.40M,167.91M,212.40M,-31.50M,212.40M,1.35,,1.4140000000000001,1.35,1.34,,1.403,1.34,133.70M,134.20M,0.105
2014-03,1.004B,1.004B,689.20M,315.00M,66.40M,81.10M,147.50M,44.70M,,-19.50M,,,-26.20M,,192.20M,122.80M,,,-26.20M,-33.90M,-26.20M,62.70M,14.60M,48.10M,,48.10M,63.06M,250.00M,127.20M,122.80M,0.36,,0.4719,0.36,0.36,,0.4714,0.36,133.70M,134.30M,0.105
2013-12,979.00M,979.00M,618.30M,360.70M,61.30M,154.40M,215.70M,37.50M,,-186.70M,,,-29.70M,,253.20M,107.50M,,,-29.70M,-190.80M,-29.70M,-113.00M,-27.00M,-86.00M,,-86.00M,56.08M,170.20M,62.70M,107.50M,-0.87,,0.5695,-0.87,-0.87,,0.5695,-0.87,98.70M,98.70M,0.09
2013-09,933.40M,933.40M,577.10M,356.30M,63.40M,78.80M,142.20M,32.30M,,-2.10M,,,-21.40M,,174.50M,181.80M,,,-21.40M,-3.10M,-21.40M,157.30M,45.90M,111.40M,,111.40M,112.89M,229.50M,47.70M,181.80M,1.18,,1.196,1.18,1.18,,1.196,1.18,94.20M,94.70M,0.09
2013-06,967.20M,967.20M,611.00M,356.20M,69.00M,64.20M,133.20M,31.00M,,-11.90M,,,-18.60M,,164.20M,192.00M,,,-18.60M,-12.00M,-18.60M,161.40M,43.00M,118.40M,,118.40M,127.13M,239.40M,47.40M,192.00M,1.26,,1.3530000000000002,1.26,1.26,,1.3519999999999999,1.26,94.20M,94.80M,0.09
2013-03,919.80M,919.80M,588.40M,331.40M,61.70M,62.60M,124.30M,28.50M,,0.00,,,-16.10M,,152.80M,178.60M,,,-16.10M,-2.40M,-16.10M,160.10M,48.20M,111.90M,,111.90M,113.02M,221.50M,42.90M,178.60M,1.19,,1.202,1.19,1.18,,1.192,1.18,94.00M,94.50M,0.09
2012-12,883.00M,883.00M,575.80M,307.20M,54.80M,60.20M,115.00M,28.30M,,0.00,,,-15.30M,,143.30M,163.90M,,,-15.30M,-3.10M,-15.30M,145.50M,39.50M,106.00M,,106.00M,108.25M,200.40M,36.50M,163.90M,1.13,,1.1540000000000001,1.13,1.12,,1.1440000000000001,1.12,93.90M,94.50M,0.09
2012-09,769.80M,769.80M,484.50M,285.30M,10.80M,90.50M,101.30M,27.40M,,0.00,,,-15.90M,,128.70M,156.60M,,,-15.90M,0.10M,-15.90M,140.80M,35.20M,105.60M,,105.60M,105.60M,190.00M,33.40M,156.60M,1.13,,1.13,1.13,1.12,,1.12,1.12,93.60M,94.30M,0.08
2012-06,831.72M,831.72M,537.94M,293.87M,157.86M,-53.68M,104.18M,27.06M,,-1.719M,,,-15.84M,,131.24M,162.63M,,,-15.84M,-2.44M,-15.84M,144.35M,37.28M,107.08M,,115.68M,108.35M,196.22M,33.59M,162.63M,1.15,,1.1640000000000001,1.24,1.14,,1.1540000000000001,1.23,93.34M,94.32M,0.08
2012-03,778.02M,778.02M,498.74M,279.27M,10.18M,87.99M,98.17M,27.95M,,-7.081M,,,-16.65M,,126.12M,153.15M,,,-16.65M,-1.879M,-16.65M,134.62M,18.89M,115.73M,,115.73M,121.82M,187.76M,34.61M,153.15M,1.24,,1.305,1.24,1.23,,1.295,1.23,93.33M,94.12M,0.08
2011-12,838.17M,838.17M,543.30M,294.88M,9.095M,93.96M,103.06M,31.15M,,,,,-15.64M,,134.21M,160.67M,,,-15.64M,-0.752M,-15.64M,144.28M,44.54M,99.74M,,99.74M,99.74M,193.05M,32.38M,160.67M,1.07,,1.07,1.07,1.06,,1.06,1.06,93.22M,94.04M,0.08
2011-09,725.30M,725.30M,497.72M,227.58M,,,106.39M,19.64M,,-0.229M,13.70M,1.127M,-12.57M,,126.03M,101.55M,1.127M,13.70M,-12.57M,-0.229M,-12.57M,88.75M,18.30M,70.46M,,70.46M,70.64M,137.17M,34.72M,102.45M,0.76,0.0,0.762,0.76,0.75,0.0,0.7519,0.75,92.90M,93.95M,0.07
2011-06,704.60M,704.60M,462.39M,242.31M,,,94.57M,23.46M,,-2.945M,,,-10.58M,,118.03M,124.28M,,,-10.58M,-0.245M,-10.58M,113.45M,27.84M,85.61M,-0.039M,85.57M,87.83M,148.98M,26.64M,122.34M,0.92,0.0,0.944,0.92,0.91,0.0,0.9337,0.91,92.68M,93.89M,0.07
2011-03,691.56M,691.56M,452.43M,239.13M,,,92.71M,23.51M,,0.753M,10.92M,,-10.92M,,116.22M,122.91M,,10.92M,-10.92M,0.753M,-10.92M,112.75M,21.22M,91.53M,-2.446M,89.08M,90.92M,149.55M,25.89M,123.67M,0.99,-0.03,0.9834,0.96,0.98,-0.03,0.9735,0.95,92.46M,93.55M,0.07
2010-12,717.52M,717.52M,468.02M,249.50M,,,92.66M,24.60M,,0.633M,10.72M,,-10.72M,,117.26M,132.24M,,10.72M,-10.72M,0.633M,-10.72M,122.16M,32.38M,89.78M,0.388M,90.17M,89.31M,159.81M,26.93M,132.87M,0.97,0.0,0.965,0.98,0.96,0.0,0.955,0.97,92.23M,93.36M,0.07
2010-09,641.32M,641.32M,427.37M,213.95M,,,84.46M,17.73M,,0.559M,10.09M,,-10.09M,,102.19M,111.77M,,10.09M,-10.09M,0.559M,-10.09M,102.24M,28.56M,73.68M,0.697M,74.38M,73.28M,135.76M,23.44M,112.33M,0.8,0.01,0.7956,0.81,0.79,0.01,0.7857,0.8,91.82M,93.27M,0.0625
2010-06,619.76M,619.76M,421.76M,198.00M,,,88.00M,31.36M,,-2.57M,10.55M,,-10.55M,-10.55M,108.82M,89.18M,,10.55M,-10.55M,-2.57M,-10.55M,65.52M,16.52M,49.00M,-0.058M,48.94M,50.92M,98.36M,22.29M,76.06M,0.54,0.0,0.561,0.54,0.53,0.0,0.5507,0.53,91.31M,92.92M,0.0625
2010-03,537.63M,537.63M,350.24M,187.40M,,,73.05M,17.72M,,-6.107M,5.927M,,-5.927M,-5.927M,84.84M,102.55M,,5.927M,-5.927M,-6.107M,-5.927M,84.59M,23.05M,61.54M,0.64M,62.18M,65.98M,108.09M,17.57M,90.52M,0.67,0.01,0.7187,0.68,0.66,0.01,0.708,0.67,91.18M,92.59M,0.0625
2009-12,582.42M,582.42M,384.80M,197.62M,7.084M,71.82M,78.91M,20.69M,0.00,-1.023M,,,5.447M,,99.59M,98.03M,,,5.447M,-1.023M,5.447M,93.61M,30.82M,62.79M,-1.978M,60.81M,63.48M,116.04M,18.01M,98.03M,0.69,-0.02,0.6975,0.66,0.68,-0.02,0.6874,0.65,91.63M,93.00M,0.0625
2009-09,528.33M,528.33M,365.12M,163.21M,6.471M,51.86M,58.33M,18.75M,14.00M,-14.70M,6.495M,,-6.495M,,77.08M,86.13M,,6.495M,-6.495M,-14.70M,-6.495M,64.93M,13.83M,51.10M,0.761M,51.86M,62.67M,87.65M,16.23M,71.42M,0.56,0.01,0.6857,0.56,0.55,0.01,0.6739,0.56,92.04M,93.40M,0.055
2009-06,508.21M,508.21M,344.36M,163.85M,5.69M,66.11M,71.80M,21.89M,0.00,-13.35M,6.689M,,-6.689M,,93.68M,70.17M,,6.689M,-6.689M,-13.35M,-6.689M,50.13M,17.85M,32.28M,2.921M,35.20M,40.88M,76.06M,19.24M,56.82M,0.35,0.03,0.4435,0.38,0.35,0.03,0.4422,0.38,91.98M,93.28M,0.055
2009-03,505.90M,505.90M,356.31M,149.59M,6.167M,53.64M,59.80M,17.89M,0.00,-1.16M,6.966M,,-6.966M,,77.70M,71.90M,,6.966M,-6.966M,-1.16M,-6.966M,63.77M,17.30M,46.47M,-0.572M,45.90M,47.31M,87.28M,16.54M,70.74M,0.51,-0.01,0.5192,0.5,0.5,-0.01,0.5091,0.49,91.97M,93.15M,0.055
2008-12,537.20M,537.20M,390.64M,146.56M,6.078M,59.49M,65.56M,19.92M,0.279M,-16.48M,7.513M,,-7.513M,,85.49M,61.08M,,7.513M,-7.513M,-16.48M,-7.513M,37.08M,13.04M,24.04M,0.951M,24.99M,34.73M,62.19M,17.60M,44.60M,0.26,0.01,0.3761,0.27,0.26,0.01,0.3742,0.27,92.04M,93.59M,0.055
2008-09,455.55M,455.55M,319.56M,135.99M,6.268M,52.41M,58.68M,18.22M,,-0.307M,5.986M,,-5.986M,,76.90M,59.09M,,5.986M,-5.986M,-0.307M,-5.986M,52.79M,14.49M,38.31M,-0.349M,37.96M,38.53M,75.55M,16.77M,58.78M,0.41,0.0,0.4124,0.41,0.41,0.0,0.4124,0.4,92.79M,94.57M,0.05
2008-06,407.99M,407.99M,296.29M,111.70M,,,49.95M,20.57M,,-2.098M,,,,,70.52M,41.18M,,,,-2.098M,,33.68M,1.761M,31.92M,,27.50M,33.91M,54.99M,18.41M,36.58M,0.35,-0.05,0.3714,0.3,0.33,-0.05,0.3508,0.29,93.12M,95.50M,0.05
2008-03,503.71M,503.71M,345.76M,157.95M,,,75.96M,19.16M,,-3.582M,,,,-35.44M,59.69M,98.26M,,,,-3.582M,,55.55M,15.58M,39.97M,,39.97M,42.54M,118.10M,19.84M,98.26M,0.43,0.0,0.4578,0.43,0.42,0.0,0.4471,0.42,92.85M,94.96M,0.05
2007-12,435.48M,435.48M,305.07M,130.41M,,,65.43M,16.14M,,0.969M,,,,,81.57M,48.84M,,,,0.969M,,46.14M,11.85M,34.29M,,34.29M,33.57M,64.25M,15.41M,48.84M,0.37,0.0,0.3623,0.37,0.36,0.0,0.3524,0.36,93.15M,95.28M,0.05
2007-09,382.74M,382.74M,266.02M,116.72M,,,54.35M,16.32M,,1.183M,,,,,70.67M,46.05M,,,,1.183M,,42.58M,8.558M,34.02M,,34.02M,33.07M,61.62M,15.57M,46.05M,0.37,0.0,0.3599,0.37,0.36,0.0,0.35,0.36,93.14M,94.88M,0.045
2007-06,374.30M,374.30M,265.82M,108.47M,,,63.48M,22.14M,,2.399M,,,,,85.62M,22.85M,,,,2.399M,,20.77M,1.996M,18.77M,,18.77M,16.60M,38.89M,16.04M,22.85M,0.2,0.0,0.1765,0.2,0.2,0.0,0.177,0.2,92.44M,94.42M,0.045
2007-03,362.29M,362.29M,262.08M,100.21M,,,51.73M,16.39M,,-6.684M,,,,,68.12M,32.09M,,,,-6.684M,,21.76M,4.699M,17.06M,,17.06M,22.30M,46.40M,14.32M,32.09M,0.19,0.0,0.2472,0.19,0.18,0.0,0.2362,0.18,91.64M,93.30M,0.045
2006-12,370.63M,370.63M,272.30M,98.32M,,,56.39M,14.90M,,1.616M,,,,,71.30M,27.03M,,,,1.616M,,25.34M,4.257M,21.09M,,21.09M,19.74M,41.21M,14.18M,27.03M,0.23,0.0,0.2154,0.23,0.23,0.0,0.2156,0.23,91.84M,93.51M,0.045
2006-09,340.22M,340.22M,247.40M,92.82M,,,54.06M,13.05M,,0.061M,,,,,67.10M,25.71M,,,,0.061M,,21.19M,4.305M,16.88M,,16.88M,16.83M,39.21M,13.50M,25.71M,0.18,0.0,0.1795,0.18,0.18,0.0,0.1795,0.18,92.17M,93.27M,0.0425
2006-06,355.07M,355.07M,247.09M,107.98M,,,63.03M,15.16M,,-8.382M,,,,,78.19M,29.78M,,,,-8.382M,,17.80M,5.54M,12.26M,,12.26M,18.04M,44.23M,14.45M,29.78M,0.13,0.0,0.1923,0.13,0.13,0.0,0.1914,0.13,92.60M,93.99M,0.0425
2006-03,332.32M,332.32M,235.04M,97.28M,,,54.66M,12.26M,,2.31M,,,,,66.92M,30.36M,,,,2.31M,,30.20M,9.339M,20.86M,,20.86M,19.27M,45.76M,15.40M,30.36M,0.23,0.0,0.2128,0.23,0.22,0.0,0.203,0.22,92.68M,94.04M,0.0425
2005-12,359.70M,359.70M,254.13M,105.57M,,,54.04M,12.23M,,5.791M,,,,,66.26M,39.31M,,,,5.791M,,39.98M,14.62M,25.37M,,25.37M,21.69M,51.77M,12.46M,39.31M,0.27,0.0,0.2304,0.27,0.27,0.0,0.2309,0.27,92.83M,93.96M,0.0425
2005-09,319.73M,319.73M,232.82M,86.92M,,,53.54M,12.65M,,1.246M,,,,,66.19M,20.73M,,,,1.246M,,17.95M,5.038M,12.91M,,12.91M,12.01M,35.02M,14.30M,20.73M,0.14,0.0,0.1304,0.14,0.14,0.0,0.1305,0.14,93.19M,94.31M,0.04
2005-06,324.54M,324.54M,258.88M,65.66M,,,57.32M,15.56M,,3.556M,,,,,-315.72M,381.38M,,,,3.556M,,-8.628M,-1.665M,-6.963M,,-6.963M,-9.833M,392.63M,11.25M,381.38M,0.24,0.0,0.2093,0.24,0.24,0.0,0.2093,0.24,93.34M,93.34M,0.04
2005-03,220.09M,220.09M,157.13M,62.96M,,,36.58M,7.224M,,-394.98M,,,,388.60M,432.41M,-369.45M,,,,-394.98M,,-374.28M,5.152M,-379.44M,,-379.44M,-142.45M,-361.40M,8.047M,-369.45M,-5.15,0.0,-1.933,-5.15,-5.15,0.0,-1.933,-5.15,73.66M,73.66M,0.04
2004-12,251.75M,251.75M,184.69M,67.06M,,,33.62M,9.286M,,,,,,,42.91M,24.15M,,,,,,24.75M,8.915M,15.84M,,15.84M,15.84M,32.57M,8.422M,24.15M,0.22,0.0,0.22,0.22,0.22,0.0,0.22,0.22,71.21M,73.28M,0.04
2004-09,227.72M,227.72M,163.01M,64.71M,,,31.73M,6.354M,,,,,,,38.09M,26.63M,,,,,,27.47M,9.888M,17.58M,,17.58M,17.58M,33.72M,7.092M,26.63M,0.25,0.0,0.25,0.25,0.24,0.0,0.24,0.24,70.95M,73.04M,0.035
2004-06,212.56M,212.56M,143.12M,69.45M,,,48.04M,9.137M,,,,,,,57.18M,12.27M,,,,,,13.20M,5.112M,8.085M,,8.085M,8.085M,19.45M,7.182M,12.27M,0.12,0.0,0.12,0.12,0.1,0.0,0.1,0.1,70.52M,73.05M,0.035
2004-03,230.74M,230.74M,164.11M,66.63M,,,33.44M,6.685M,,,,,,,40.12M,26.51M,,,,,,27.72M,9.979M,17.74M,,17.74M,17.74M,33.42M,6.903M,26.51M,0.25,0.0,0.25,0.25,0.24,0.0,0.24,0.24,70.30M,72.60M,0.035
2003-12,247.38M,247.38M,171.20M,76.18M,,,31.22M,6.186M,,,,,,,37.41M,38.77M,,,,,,39.27M,1.039M,38.24M,,38.24M,38.24M,46.11M,7.336M,38.77M,0.55,0.0,0.55,0.55,0.53,0.0,0.53,0.53,69.97M,71.50M,0.035
2003-09,211.84M,211.84M,151.82M,60.02M,,,28.96M,5.713M,,,,,,,34.68M,25.34M,,,,,,25.79M,9.286M,16.51M,,16.51M,16.51M,32.38M,7.031M,25.34M,0.24,0.0,0.24,0.24,0.23,0.0,0.23,0.23,70.04M,71.81M,0.025
2003-06,190.75M,190.75M,137.40M,53.34M,,,39.69M,7.078M,,0.00,,,,0.00,46.76M,6.579M,,,,0.00,,6.564M,2.24M,4.324M,,4.324M,4.324M,12.93M,6.349M,6.579M,0.06,0.0,0.06,0.06,0.06,0.0,0.06,0.06,69.64M,71.73M,0.025
2003-03,202.62M,202.62M,143.91M,58.71M,,,30.71M,5.468M,,,,,,,36.18M,22.52M,,,,,,22.90M,8.766M,14.13M,,14.13M,14.13M,28.78M,6.257M,22.52M,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.2,69.34M,70.60M,0.025
2002-12,227.52M,227.52M,163.22M,64.30M,,,32.63M,5.321M,,,,,,,37.95M,26.34M,,,,,,26.86M,10.04M,16.81M,,16.81M,16.81M,33.05M,6.708M,26.34M,0.24,0.0,0.24,0.24,0.24,0.0,0.24,0.24,69.27M,70.39M,
2002-09,213.22M,213.22M,151.54M,61.68M,,,28.30M,5.448M,,3.128M,,,,-3.128M,30.62M,31.06M,,,,3.128M,,31.27M,11.26M,20.01M,,20.01M,18.01M,37.87M,6.812M,31.06M,0.28,0.0,0.2517,0.28,0.28,0.0,0.2522,0.28,70.72M,72.14M,
2002-06,190.76M,190.76M,135.97M,54.79M,,,40.63M,8.224M,,3.464M,,,,-8.554M,40.30M,14.49M,,,,3.464M,,10.26M,10.33M,-0.071M,,-0.071M,-2.149M,22.13M,7.645M,14.49M,0.0,0.0,-0.0287,0.0,0.0,0.0,-0.0282,0.0,72.30M,73.61M,
2002-03,198.49M,198.49M,141.88M,56.61M,,,30.31M,5.762M,,7.813M,,,,-7.813M,28.26M,28.35M,,,,7.813M,,28.57M,10.66M,17.91M,,17.91M,13.01M,34.00M,5.656M,28.35M,0.25,0.0,0.1826,0.25,0.24,0.0,0.1737,0.24,72.69M,73.86M,
