,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-06,580.50M,,580.50M,,740.70M,172.20M,116.90M,171.20M,460.30M,177.60M,147.10M,2.106B,0.00,4.70M,279.00M,1.102B,319.80M,26.10M,1.731B,-1.205B,525.80M,905.60M,231.60M,1.137B,,110.50M,139.20M,2.058B,4.164B,,287.60M,,20.20M,,307.80M,,307.80M,,,,,,,648.60M,956.40M,904.80M,,904.80M,,,389.10M,,306.20M,1.600B,2.556B,,216.40M,4.498B,1.297B,4.000B,,,,-403.50M,1.608B,,AOR,Restated
2009-03,519.50M,,519.50M,,748.10M,186.40M,134.60M,207.30M,528.30M,174.60M,167.30M,2.138B,0.00,4.70M,274.90M,1.080B,313.00M,35.90M,1.708B,-1.175B,532.70M,881.20M,227.20M,1.108B,,116.10M,141.70M,2.038B,4.176B,,299.00M,,26.10M,,325.10M,,325.10M,,75.10M,,75.10M,,,599.60M,999.80M,904.70M,,904.70M,,,379.20M,,305.90M,1.590B,2.590B,,216.40M,4.552B,1.289B,4.007B,,,,-463.70M,1.586B,,AOR,Restated
2008-12,554.00M,,554.00M,824.00M,824.00M,207.20M,152.90M,240.40M,600.50M,169.30M,213.20M,2.361B,0.00,4.70M,273.50M,1.083B,304.70M,42.00M,1.708B,-1.169B,539.30M,870.90M,227.20M,1.098B,,118.50M,282.40M,2.038B,4.399B,,362.10M,,,,362.10M,,362.10M,,175.10M,,175.10M,,,655.10M,1.192B,904.50M,,904.50M,,,,,683.70M,1.588B,2.780B,,216.40M,4.554B,1.283B,4.010B,,,,-425.40M,1.619B,,,Restated
2008-09,582.20M,,582.20M,,959.90M,212.60M,125.90M,237.00M,575.50M,190.00M,129.00M,2.437B,0.00,5.20M,273.60M,1.090B,300.00M,46.80M,1.715B,-1.162B,553.80M,915.00M,250.80M,1.166B,,120.10M,178.90M,2.157B,4.594B,,437.30M,,,,437.30M,,437.30M,,100.10M,,100.10M,,,765.70M,1.303B,904.40M,,904.40M,,,386.80M,,310.50M,1.602B,2.905B,,216.40M,4.486B,1.281B,3.976B,,,,-319.00M,1.689B,,,Restated
2008-06,805.90M,,805.90M,990.30M,990.30M,228.50M,134.20M,239.50M,602.20M,197.50M,145.00M,2.741B,0.00,5.20M,269.30M,1.105B,286.90M,56.40M,1.723B,-1.188B,535.60M,946.20M,263.60M,1.210B,,26.00M,599.00M,2.370B,5.111B,,490.70M,,,,490.70M,,490.70M,,334.10M,,334.10M,,,756.80M,1.582B,904.20M,,904.20M,,,,,728.90M,1.633B,3.215B,,216.40M,4.363B,1.272B,3.875B,,,,-79.40M,1.897B,,,
2008-03,760.70M,,760.70M,980.40M,980.40M,219.60M,139.90M,233.20M,592.70M,189.50M,141.40M,2.665B,0.00,5.20M,266.60M,1.112B,271.50M,49.90M,1.706B,-1.184B,521.60M,919.90M,253.80M,1.174B,,28.50M,591.00M,2.315B,4.980B,,466.40M,,,,466.40M,15.60M,482.00M,,320.10M,,320.10M,,,676.70M,1.479B,904.10M,,904.10M,,,,,716.00M,1.620B,3.099B,,216.40M,4.297B,1.262B,3.820B,,,,-74.40M,1.881B,,,
2007-12,867.00M,,867.00M,937.50M,937.50M,209.50M,147.70M,197.40M,554.60M,176.30M,131.70M,2.667B,0.00,7.60M,263.40M,1.112B,256.50M,50.50M,1.690B,-1.180B,510.20M,895.10M,261.10M,1.156B,,38.20M,569.30M,2.274B,4.941B,,455.60M,,,,455.60M,24.90M,480.50M,,349.90M,,349.90M,,,711.10M,1.542B,903.90M,,903.90M,,,,,711.80M,1.616B,3.157B,,216.40M,4.198B,1.253B,3.725B,,,,-158.40M,1.784B,,,
2007-09,624.20M,,624.20M,927.70M,927.70M,189.40M,130.40M,184.90M,504.70M,170.20M,155.20M,2.382B,0.00,7.50M,255.60M,1.097B,241.70M,63.00M,1.665B,-1.155B,510.30M,858.50M,243.40M,1.102B,,25.30M,526.30M,2.164B,4.546B,,498.50M,,,,498.50M,,498.50M,,521.40M,,521.40M,,,724.60M,1.744B,405.70M,,405.70M,,,,,652.80M,1.058B,2.803B,,216.40M,4.098B,1.248B,3.650B,,61.20M,-230.90M,-169.70M,1.743B,,,
2007-06,794.30M,,794.30M,882.90M,882.90M,193.50M,113.80M,165.00M,472.30M,167.20M,195.40M,2.512B,0.00,7.40M,250.90M,1.274B,,51.30M,1.584B,-1.103B,480.70M,730.80M,137.10M,867.90M,,,726.20M,2.075B,4.587B,,386.30M,,,,386.30M,,386.30M,,396.20M,,396.20M,,,803.50M,1.586B,409.00M,,409.00M,80.60M,80.60M,,,545.90M,1.036B,2.622B,,216.40M,3.950B,1.235B,3.421B,,,,-14.00M,1.965B,,,
2007-03,1.120B,,1.120B,847.70M,847.70M,198.50M,113.00M,142.50M,454.00M,171.20M,176.50M,2.769B,0.00,6.00M,253.00M,1.265B,,43.00M,1.567B,-1.093B,474.30M,719.40M,150.50M,869.90M,,,703.70M,2.048B,4.817B,,384.40M,,,,384.40M,,384.40M,,349.20M,,349.20M,,,830.00M,1.564B,408.90M,,408.90M,85.80M,85.80M,,,573.70M,1.068B,2.632B,,216.40M,3.899B,1.215B,3.092B,,,,-53.30M,2.185B,,,
2006-12,433.50M,,433.50M,788.30M,788.30M,203.00M,107.40M,140.50M,450.90M,372.80M,458.50M,2.504B,0.00,5.10M,248.60M,1.244B,,41.10M,1.539B,-1.071B,468.10M,699.70M,125.10M,824.80M,,,1.265B,2.558B,5.062B,,376.60M,,,,376.60M,,376.60M,,533.20M,,533.20M,,,714.30M,1.624B,749.50M,,749.50M,82.30M,82.30M,,,617.30M,1.449B,3.073B,,216.40M,3.227B,1.203B,2.600B,,,,-58.80M,1.988B,,,
2006-09,408.10M,,408.10M,743.60M,743.60M,180.20M,98.70M,132.60M,411.50M,160.40M,464.40M,2.188B,0.00,5.10M,243.50M,1.228B,,39.20M,1.516B,-1.047B,468.50M,693.80M,126.10M,819.90M,,,1.259B,2.547B,4.735B,,395.70M,,,,395.70M,,395.70M,,219.00M,,219.00M,,,678.60M,1.293B,748.20M,,748.20M,75.50M,75.50M,,,700.20M,1.524B,2.817B,,216.40M,2.856B,1.194B,2.273B,,,,-75.30M,1.918B,,,
2006-06,338.90M,,338.90M,867.90M,867.90M,251.40M,158.00M,204.80M,614.20M,189.00M,176.80M,2.187B,,,,,,,2.055B,-1.405B,650.30M,834.90M,327.70M,1.163B,,73.40M,741.20M,2.628B,4.814B,,395.30M,,,,395.30M,,395.30M,,152.20M,,152.20M,,,634.30M,1.182B,745.10M,,745.10M,,,,,1.251B,1.996B,3.178B,,216.40M,2.693B,1.184B,1.968B,,,,-490.20M,1.636B,,,
2006-03,302.30M,,302.30M,849.50M,849.50M,252.10M,149.10M,205.00M,606.20M,200.30M,139.90M,2.098B,,,,,,,2.057B,-1.405B,651.50M,,1.150B,1.150B,,58.40M,808.40M,2.669B,4.767B,,388.50M,,,,388.50M,,388.50M,,101.50M,,101.50M,,,615.40M,1.105B,745.80M,,745.80M,,,,,1.243B,1.989B,3.094B,,216.40M,2.635B,1.170B,1.848B,,,,-500.50M,1.673B,,,
2005-12,246.70M,,246.70M,793.70M,793.70M,238.90M,161.40M,195.40M,595.70M,184.20M,144.00M,1.964B,,,,,,,2.069B,-1.405B,663.50M,,1.141B,1.141B,,30.10M,820.10M,2.655B,4.619B,,397.10M,,,,397.10M,,397.10M,,103.20M,,103.20M,,,547.00M,1.047B,747.20M,,747.20M,,,,,1.241B,1.989B,3.036B,,216.40M,2.575B,1.135B,1.835B,,,,-507.30M,1.583B,,,
2005-09,463.60M,,463.60M,799.60M,799.60M,231.00M,149.30M,189.60M,569.90M,169.40M,184.00M,2.186B,0.00,32.30M,464.50M,1.646B,,37.00M,2.180B,-1.405B,774.50M,,1.119B,1.119B,,66.30M,378.90M,2.339B,4.525B,,388.50M,,,,388.50M,,388.50M,,1.20M,,1.20M,,,551.10M,940.80M,748.20M,,748.20M,,,,,1.187B,1.935B,2.876B,,216.40M,2.494B,1.123B,1.680B,,,,-503.20M,1.649B,,,
2005-06,468.80M,,468.80M,756.10M,756.10M,224.70M,165.20M,205.10M,595.00M,136.00M,122.50M,2.078B,,,,,,,2.106B,-1.335B,771.10M,,1.127B,1.127B,,,260.70M,2.159B,4.237B,,332.00M,,,,332.00M,,332.00M,,0.20M,,0.20M,,,592.20M,924.40M,751.80M,,751.80M,39.90M,39.90M,,,629.30M,1.421B,2.345B,,216.40M,2.371B,1.110B,1.582B,,,,-223.10M,1.892B,,,
2005-03,484.70M,,484.70M,767.60M,767.60M,234.90M,162.40M,222.40M,619.70M,134.30M,101.10M,2.107B,,,,,,,2.127B,-1.335B,792.20M,,1.139B,1.139B,,,264.60M,2.196B,4.303B,,356.60M,,,,356.60M,,356.60M,,0.20M,,0.20M,,,526.30M,883.10M,748.70M,,748.70M,42.70M,42.70M,,,639.80M,1.431B,2.314B,,216.40M,2.330B,1.108B,1.463B,,,,-202.60M,1.989B,,,
2004-12,467.70M,14.90M,482.60M,733.10M,733.10M,232.50M,144.80M,231.50M,608.80M,136.50M,105.00M,2.066B,,,,,,,2.120B,-1.335B,785.00M,,1.148B,1.148B,,,277.10M,2.210B,4.276B,,334.40M,,,,334.40M,,334.40M,,0.20M,,0.20M,,,510.60M,845.20M,754.50M,,754.50M,84.80M,84.80M,,,631.90M,1.471B,2.316B,,216.40M,2.274B,1.076B,1.420B,,,,-187.10M,1.960B,,,
2004-09,473.80M,,473.80M,719.90M,719.90M,218.70M,135.40M,220.20M,574.30M,132.70M,125.40M,2.026B,0.00,32.40M,458.00M,1.606B,,43.30M,2.140B,-1.335B,804.50M,,1.135B,1.135B,,12.10M,235.70M,2.187B,4.213B,,362.20M,,,,362.20M,,362.20M,,0.20M,,0.20M,,,501.20M,863.60M,757.70M,,757.70M,,,,,731.00M,1.489B,2.352B,,216.40M,2.256B,1.051B,1.434B,,,,-227.90M,1.861B,,,
2004-06,329.70M,,329.70M,709.40M,709.40M,205.60M,155.40M,209.70M,570.70M,152.10M,106.60M,1.868B,,,,,,,2.216B,-1.359B,857.20M,,1.144B,1.144B,,,164.60M,2.166B,4.035B,,338.00M,,,,338.00M,,338.00M,,0.30M,,0.30M,,,572.30M,910.60M,752.30M,,752.30M,3.10M,3.10M,,,691.50M,1.447B,2.358B,,216.40M,2.161B,1.034B,1.426B,,,,-307.60M,1.677B,,,
2004-03,353.80M,,353.80M,689.90M,689.90M,203.80M,141.10M,212.90M,557.80M,155.70M,110.70M,1.868B,,,,,,,2.228B,-1.349B,879.90M,,1.147B,1.147B,,,173.60M,2.201B,4.069B,,330.50M,,,,330.50M,,330.50M,,0.30M,,0.30M,,,524.40M,855.20M,766.00M,,766.00M,22.60M,22.60M,,,758.70M,1.547B,2.402B,,216.40M,2.114B,1.030B,1.380B,,,,-313.70M,1.666B,,,
2003-12,315.60M,,315.60M,668.70M,668.70M,195.30M,141.70M,207.20M,544.20M,160.20M,126.20M,1.815B,,,,,,,2.221B,-1.318B,902.80M,,1.151B,1.151B,,,168.90M,2.223B,4.038B,,290.30M,,,,290.30M,,290.30M,,8.70M,,8.70M,,,496.80M,795.80M,759.40M,,759.40M,32.00M,32.00M,,,795.70M,1.587B,2.383B,,216.40M,2.087B,1.025B,1.353B,,,,-319.70M,1.655B,,,
2003-09,226.40M,,226.40M,683.70M,683.70M,198.10M,138.10M,205.40M,541.60M,164.20M,120.50M,1.736B,,,,,,,2.202B,-1.276B,925.40M,,1.142B,1.142B,,,182.20M,2.250B,3.986B,,327.10M,,,,327.10M,170.60M,497.70M,,8.70M,,8.70M,,,313.60M,820.00M,764.00M,,764.00M,37.40M,37.40M,,,778.10M,1.580B,2.400B,,216.40M,2.143B,1.008B,1.436B,,,,-343.80M,1.587B,,,
2003-06,126.00M,,126.00M,661.00M,661.00M,193.00M,146.00M,230.00M,569.00M,186.00M,133.00M,1.675B,,,,,,,2.22B,-1.288B,932.00M,,1.143B,1.143B,,,193.00M,2.268B,3.943B,,316.00M,,,,316.00M,,316.00M,,2.00M,,2.00M,,,533.00M,851.00M,777.00M,,777.00M,127.00M,127.00M,,,488.00M,1.392B,2.243B,,216.00M,2.141B,998.00M,1.496B,,,,-159.00M,1.70B,,,
2003-03,296.00M,,296.00M,636.00M,636.00M,200.00M,142.00M,213.00M,555.00M,181.00M,119.00M,1.787B,,,,,,,2.208B,-1.267B,941.00M,,1.132B,1.132B,,,149.00M,2.222B,4.009B,,305.00M,,,,305.00M,,305.00M,,152.00M,,152.00M,,,469.00M,926.00M,770.00M,,770.00M,150.00M,150.00M,,,530.00M,1.45B,2.376B,,216.00M,2.099B,995.00M,1.502B,,,,-175.00M,1.633B,,,
2002-12,307.00M,,307.00M,622.00M,622.00M,213.00M,144.00M,198.00M,555.00M,178.00M,110.00M,1.772B,,,,,,,2.202B,-1.24B,962.00M,,1.128B,1.128B,,,144.00M,2.234B,4.006B,,291.00M,,,,291.00M,,291.00M,,160.00M,,160.00M,,,479.00M,930.00M,770.00M,,770.00M,158.00M,158.00M,,,536.00M,1.464B,2.394B,,216.00M,2.156B,988.00M,1.567B,,,,-181.00M,1.612B,,,
2002-09,289.00M,,289.00M,645.00M,645.00M,204.00M,158.00M,195.00M,557.00M,175.00M,109.00M,1.775B,0.00,40.00M,505.00M,1.596B,,40.00M,2.181B,-1.193B,988.00M,,1.124B,1.124B,,,137.00M,2.249B,4.024B,,325.00M,,,,325.00M,,325.00M,,162.00M,,162.00M,,,479.00M,966.00M,767.00M,,767.00M,158.00M,158.00M,,,524.00M,1.449B,2.415B,,216.00M,2.165B,987.00M,1.565B,,,,-194.00M,1.609B,,,
2002-06,214.00M,,214.00M,657.00M,657.00M,224.00M,163.00M,202.00M,589.00M,160.00M,159.00M,1.779B,0.00,2.186B,,,,,2.186B,-1.18B,1.006B,766.00M,352.00M,1.118B,,,110.00M,2.234B,4.013B,,370.00M,,,,370.00M,,370.00M,,207.00M,,207.00M,,,506.00M,1.083B,760.00M,,760.00M,122.00M,122.00M,,,468.00M,1.35B,2.433B,,216.00M,2.112B,987.00M,1.569B,,,,-166.00M,1.58B,,,
2002-03,187.00M,,187.00M,599.00M,599.00M,232.00M,155.00M,200.00M,587.00M,153.00M,140.00M,1.666B,,,,2.18B,,,2.18B,-1.161B,1.019B,766.00M,349.00M,1.115B,,,111.00M,2.245B,3.911B,,359.00M,,,,359.00M,149.00M,508.00M,,101.00M,,101.00M,,,274.00M,883.00M,909.00M,,909.00M,118.00M,118.00M,,,469.00M,1.496B,2.379B,,216.00M,2.115B,984.00M,1.611B,,,,-172.00M,1.532B,,,
2001-12,170.00M,,170.00M,610.00M,610.00M,245.00M,153.00M,194.00M,592.00M,152.00M,147.00M,1.671B,0.00,2.174B,,,,,2.174B,-1.132B,1.042B,,1.134B,1.134B,,,111.00M,2.287B,3.958B,,331.00M,,,,331.00M,150.00M,481.00M,,11.00M,,11.00M,,,308.00M,800.00M,922.00M,,922.00M,150.00M,150.00M,,,517.00M,1.589B,2.389B,,216.00M,2.188B,981.00M,1.655B,,,,-161.00M,1.569B,,,
2001-09,121.00M,,121.00M,704.00M,704.00M,242.00M,154.00M,204.00M,600.00M,152.00M,144.00M,1.721B,0.00,2.168B,,,,,2.168B,-1.093B,1.075B,808.00M,384.00M,1.192B,,,110.00M,2.377B,4.098B,,346.00M,,,,346.00M,,346.00M,,10.00M,,10.00M,,,499.00M,855.00M,909.00M,,909.00M,209.00M,209.00M,,,525.00M,1.643B,2.498B,,216.00M,2.242B,981.00M,1.676B,,,,-163.00M,1.60B,,,
2001-06,259.00M,,259.00M,656.00M,656.00M,229.00M,157.00M,223.00M,609.00M,130.00M,105.00M,1.759B,,,,,,,2.25B,-1.162B,1.088B,,1.21B,1.21B,,,117.00M,2.415B,4.174B,,353.00M,,,,353.00M,,353.00M,,71.00M,,71.00M,,,545.00M,969.00M,924.00M,,924.00M,,,,,675.00M,1.599B,2.568B,,216.00M,2.247B,980.00M,1.682B,,,,-155.00M,1.606B,,,
2001-03,190.00M,,190.00M,733.00M,733.00M,243.00M,170.00M,227.00M,640.00M,139.00M,889.00M,2.591B,,,,2.282B,,,2.282B,-1.134B,1.148B,,1.232B,1.232B,,,644.00M,3.024B,5.615B,,384.00M,,,,384.00M,,384.00M,,412.00M,,412.00M,,,522.00M,1.318B,924.00M,,924.00M,,,,,579.00M,1.503B,2.821B,,216.00M,3.507B,974.00M,1.724B,,,,-179.00M,2.794B,,,
2000-12,158.00M,,158.00M,740.00M,740.00M,,,,645.00M,,1.122B,2.665B,,,,,,,2.273B,-1.094B,1.179B,,1.251B,1.251B,,,833.00M,3.263B,5.928B,,472.00M,,,,472.00M,,472.00M,,445.00M,,445.00M,,,591.00M,1.508B,925.00M,,925.00M,,,,,780.00M,1.705B,3.213B,,216.00M,3.448B,969.00M,1.763B,,,,-155.00M,2.715B,,,
2000-09,183.00M,,183.00M,737.00M,737.00M,223.00M,167.00M,220.00M,610.00M,143.00M,770.00M,2.443B,,,,2.254B,,,2.254B,-1.06B,1.194B,,1.255B,1.255B,,,364.00M,2.813B,5.256B,,480.00M,,,,480.00M,,480.00M,,16.00M,,16.00M,,,561.00M,1.057B,924.00M,,924.00M,,,,,606.00M,1.53B,2.587B,,216.00M,3.363B,967.00M,1.709B,,,,-168.00M,2.669B,,,
2000-06,224.00M,,224.00M,,1.233B,,,,1.388B,,421.00M,3.266B,,,,,,,3.179B,-1.629B,1.55B,,1.395B,1.395B,,,151.00M,3.096B,6.362B,,729.00M,,,,729.00M,,729.00M,,23.00M,,23.00M,,,989.00M,1.741B,910.00M,,910.00M,,,,,987.00M,1.897B,3.638B,,216.00M,3.316B,964.00M,1.608B,,,,-164.00M,2.724B,,,
2000-03,165.00M,,165.00M,,1.221B,,,,1.38B,,489.00M,3.255B,,,,,,,3.136B,-1.578B,1.558B,,1.398B,1.398B,,,154.00M,3.11B,6.365B,,724.00M,,,,724.00M,,724.00M,,27.00M,,27.00M,,,1.002B,1.753B,910.00M,,910.00M,,,,,948.00M,1.858B,3.611B,,216.00M,3.244B,964.00M,1.505B,,,,-165.00M,2.754B,,,
1999-12,296.00M,,296.00M,,1.181B,,,,1.337B,,612.00M,3.426B,,,,,,,3.12B,-1.558B,1.562B,,1.372B,1.372B,,,155.00M,3.089B,6.515B,,713.00M,,,,713.00M,,713.00M,,186.00M,,186.00M,,,992.00M,1.891B,911.00M,,911.00M,,,,,1.033B,1.944B,3.835B,,216.00M,3.138B,962.00M,1.477B,,,,-159.00M,2.68B,,,
1999-09,356.00M,,356.00M,1.294B,1.294B,,,,1.176B,,593.00M,3.419B,,,,,,,3.089B,-1.508B,1.581B,,1.39B,1.39B,,,154.00M,3.125B,6.544B,,843.00M,,,,843.00M,,843.00M,,189.00M,,189.00M,,,1.076B,2.108B,911.00M,,911.00M,,,,,985.00M,1.896B,4.004B,,216.00M,2.937B,960.00M,1.42B,,,,-153.00M,2.54B,,,
1999-06,62.00M,,62.00M,,1.148B,,,,1.39B,,529.00M,3.129B,,,,,,,3.007B,-1.421B,1.586B,,1.462B,1.462B,,,187.00M,3.235B,6.364B,,693.00M,,,,693.00M,,693.00M,,128.00M,,128.00M,,,1.099B,1.92B,911.00M,,911.00M,,,,,995.00M,1.906B,3.826B,,,2.893B,,,,,,,2.538B,,,
1999-03,104.00M,,104.00M,,1.153B,,,,1.406B,,525.00M,3.188B,,,,,,,2.984B,-1.421B,1.563B,,1.418B,1.418B,,,208.00M,3.189B,6.377B,,741.00M,,,,741.00M,,741.00M,,192.00M,,192.00M,,,1.099B,2.032B,911.00M,,911.00M,,,,,1.021B,1.932B,3.964B,,,2.866B,,,,,,,2.413B,,,
1998-12,195.00M,,195.00M,,1.136B,,,,1.352B,,547.00M,3.23B,,,,,,,2.939B,-1.421B,1.518B,,1.333B,1.333B,,,237.00M,3.088B,6.318B,,680.00M,,,,680.00M,,680.00M,,331.00M,,331.00M,,,1.017B,2.028B,910.00M,,910.00M,,,,,1.012B,1.922B,3.95B,,,2.84B,,,,,,,2.368B,,,
1998-09,103.00M,,103.00M,,1.223B,,,,1.313B,,1.457B,4.096B,,,,,,,2.956B,-1.421B,1.535B,,1.33B,1.33B,,,209.00M,3.074B,7.17B,,733.00M,,,,733.00M,,733.00M,,156.00M,,156.00M,,,1.094B,1.983B,908.00M,,908.00M,,,,,1.034B,1.942B,3.925B,,,3.697B,,,,,,,3.245B,,,
1998-06,164.00M,,164.00M,,1.074B,,,,1.358B,,1.797B,4.393B,,,,,,,3.304B,-1.879B,1.425B,,1.368B,1.368B,,,267.00M,3.06B,7.453B,,686.00M,,,,686.00M,,686.00M,,180.00M,,180.00M,,,1.216B,2.082B,908.00M,,908.00M,,,,,994.00M,1.902B,3.984B,,,3.839B,,,,,,,3.469B,,,
1998-03,272.00M,,272.00M,,1.274B,,,,1.699B,,535.00M,3.78B,,,,,,,4.177B,-1.879B,2.298B,,1.805B,1.805B,,,240.00M,4.343B,8.123B,,774.00M,,,,774.00M,,774.00M,,84.00M,,84.00M,,,995.00M,1.853B,907.00M,,907.00M,,,,,1.006B,1.913B,3.766B,,,4.447B,,,,,,,4.357B,,,
1997-12,183.00M,,183.00M,,1.294B,,,,1.616B,,522.00M,3.615B,,,,,,,4.125B,-1.879B,2.246B,,1.795B,1.795B,,,248.00M,4.289B,7.904B,,757.00M,,,,757.00M,,757.00M,,342.00M,,342.00M,,,1.031B,2.13B,157.00M,,157.00M,,,,,1.017B,1.174B,3.304B,,,4.438B,,,,,,,4.60B,,,
1997-09,269.00M,,269.00M,,1.096B,,,,1.303B,,1.626B,4.294B,,,,,,,2.766B,-1.336B,1.43B,,1.698B,1.698B,,,220.00M,3.348B,7.642B,,651.00M,,,,651.00M,,651.00M,,52.00M,,52.00M,,,951.00M,1.654B,156.00M,,156.00M,,,,,1.021B,1.177B,2.831B,,,4.409B,,,,,,,4.811B,,,
1997-06,379.00M,,379.00M,,1.221B,,,,1.539B,,1.20B,4.339B,,,,,,,4.701B,-2.594B,2.107B,,1.778B,1.778B,,,272.00M,4.157B,8.496B,,699.00M,,,,699.00M,,699.00M,,346.00M,,346.00M,,,1.107B,2.152B,155.00M,,155.00M,,,,,1.055B,1.21B,3.362B,,,4.592B,,,,,,,5.134B,,,
1997-03,693.00M,,693.00M,,1.165B,,,,1.499B,,1.148B,4.505B,,,,,,,4.627B,-2.594B,2.033B,,1.789B,1.789B,,,216.00M,4.038B,8.543B,,685.00M,,,,685.00M,,685.00M,,246.00M,,246.00M,,,1.106B,2.037B,154.00M,,154.00M,,,,,1.05B,1.204B,3.241B,,,4.504B,,,,,,,5.302B,,,
1996-12,853.00M,,853.00M,,1.633B,,,,1.795B,,685.00M,4.966B,,,,,,,5.232B,-2.594B,2.638B,,1.803B,1.803B,,,268.00M,4.709B,9.675B,,1.027B,,,,1.027B,,1.027B,,104.00M,,104.00M,,,1.518B,2.649B,163.00M,,163.00M,,,,,1.386B,1.549B,4.198B,,,4.564B,,,,,,,5.477B,,,
1996-09,663.00M,,663.00M,,1.206B,,,,1.481B,,1.668B,5.018B,,,,,,,3.682B,-1.674B,2.008B,,1.762B,1.762B,,,188.00M,3.958B,8.976B,,801.00M,,,,801.00M,,801.00M,,323.00M,,323.00M,,,2.42B,3.544B,156.00M,,156.00M,,,,,1.02B,1.176B,4.72B,,,4.466B,,,,,,,4.256B,,,
1996-06,618.00M,,618.00M,,2.324B,,,,2.127B,,1.114B,6.183B,,,,,,,6.907B,-3.904B,3.003B,,1.837B,1.837B,,,1.519B,6.359B,12.54B,,930.00M,,,,930.00M,,930.00M,,703.00M,,703.00M,,,2.112B,3.745B,1.763B,,1.763B,,,,,2.844B,4.607B,8.352B,,1.00M,4.443B,,,1.00M,,,,4.19B,,,
1996-03,583.00M,,583.00M,,2.398B,,,,2.006B,,1.101B,6.088B,,,,,,,6.848B,-3.904B,2.944B,,1.824B,1.824B,,,1.494B,6.262B,12.35B,,941.00M,,,,941.00M,,941.00M,,765.00M,,765.00M,,,1.998B,3.704B,1.764B,,1.764B,,,,,2.832B,4.596B,8.30B,,1.00M,4.381B,,,1.00M,,,,4.05B,,,
1995-12,536.00M,,536.00M,,2.255B,,,,1.955B,,1.114B,5.86B,,,,,,,6.753B,-3.904B,2.849B,,1.847B,1.847B,,,1.471B,6.167B,12.03B,,844.00M,,,,844.00M,,844.00M,,693.00M,,693.00M,,,1.945B,3.482B,1.775B,,1.775B,,,,,2.862B,4.637B,8.119B,,1.00M,4.265B,,,1.00M,,,,3.908B,,,
1995-09,665.00M,,665.00M,,2.51B,,,,2.071B,,559.00M,5.805B,,,,,,,6.93B,-3.904B,3.026B,,2.016B,2.016B,,,1.658B,6.70B,12.50B,,1.138B,,,,1.138B,,1.138B,,655.00M,,655.00M,,,2.318B,4.111B,1.776B,,1.776B,,,,,2.836B,4.612B,8.723B,,1.00M,4.158B,,,1.00M,,,,3.782B,,,
1995-06,577.30M,,577.30M,,2.550B,,,,2.065B,,980.10M,6.173B,,,,,,,6.672B,-3.777B,2.895B,,2.026B,2.026B,,,1.716B,6.637B,12.81B,,941.10M,,,,941.10M,,941.10M,,1.296B,,1.296B,,,2.194B,4.430B,1.778B,,1.778B,,,,,2.941B,4.719B,9.149B,,1.30M,4.061B,,,1.30M,,,,3.661B,,,
1995-03,640.60M,,640.60M,,2.533B,,,,2.028B,,1.038B,6.239B,,,,,,,6.572B,-3.777B,2.795B,,1.994B,1.994B,,,1.633B,6.423B,12.66B,,981.80M,,,,981.80M,,981.80M,,1.686B,,1.686B,,,2.149B,4.816B,1.480B,,1.480B,,,,,2.869B,4.350B,9.166B,,1.30M,3.954B,,,1.30M,,,,3.496B,,,
1994-12,653.60M,,653.60M,,2.264B,,,,1.932B,,1.059B,5.908B,,,,,,,6.407B,-3.777B,2.630B,,1.011B,1.011B,,,2.638B,6.279B,12.19B,,923.90M,,,,923.90M,,923.90M,,927.50M,,927.50M,,,2.619B,4.471B,1.496B,,1.496B,,,,,2.842B,4.338B,8.808B,,1.40M,3.849B,,,1.40M,,,,3.379B,,,
