,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,1.699B,1.699B,954.00M,744.70M,399.60M,,,16.50M,,-16.50M,399.60M,345.10M,,16.50M,-16.50M,-76.90M,-16.50M,251.70M,53.10M,198.60M,,,,,198.60M,198.60M,310.30M,42.10M,268.20M,,1.60,,,1.60,1.60,,1.58,,,1.58,1.58,,124.40M,125.80M,0.92,,AOR,Restated
2018-03,1.651B,1.651B,947.30M,703.90M,386.60M,,,17.30M,,-17.30M,386.60M,317.30M,,17.30M,-17.30M,-0.40M,-17.30M,299.60M,72.20M,227.40M,,,,,227.40M,227.40M,360.10M,43.20M,316.90M,,1.79,,,1.79,1.79,,1.77,,,1.77,1.77,,126.90M,128.50M,0.835,,AOR,Restated
2017-12,1.587B,1.587B,886.40M,700.20M,386.60M,,,20.00M,,-20.00M,386.60M,313.60M,,20.00M,-20.00M,4.20M,-20.00M,297.80M,534.20M,-236.40M,,,,,-236.40M,-236.40M,357.40M,39.60M,317.80M,,-1.84,,,-1.84,-1.84,,-1.84,,,-1.84,-1.84,,128.20M,128.20M,0.835,,AOR,Restated
2017-09,1.668B,1.668B,976.10M,691.40M,391.60M,,,19.50M,,0.10M,391.60M,299.80M,,19.50M,0.10M,-26.40M,0.10M,273.50M,68.90M,204.60M,,,,,204.60M,204.60M,337.90M,44.90M,293.00M,,1.593,,,1.593,1.593,,1.57,,,1.57,1.57,,128.10M,129.60M,0.76,,AOR,Restated
2017-06,1.599B,1.599B,921.50M,677.70M,386.80M,,,19.10M,,-19.10M,386.80M,290.90M,,19.10M,-19.10M,4.20M,-19.10M,276.00M,59.10M,216.90M,,,,,216.90M,216.90M,338.10M,43.00M,295.10M,,1.69,,,1.69,1.69,,1.67,,,1.67,1.67,,128.40M,129.90M,0.76,,AOR,Restated
2017-03,1.554B,1.554B,897.80M,656.50M,409.20M,,,18.90M,,-18.90M,409.20M,247.30M,,18.90M,-18.90M,1.90M,-18.90M,230.30M,40.80M,189.50M,,,,,189.50M,189.50M,289.80M,40.60M,249.20M,,1.47,,,1.47,1.47,,1.45,,,1.45,1.45,,128.70M,130.30M,0.76,,AOR,Restated
2016-12,1.490B,1.490B,848.00M,642.30M,370.00M,,,18.70M,,-18.70M,370.00M,272.30M,,18.70M,-18.70M,4.00M,-18.70M,257.60M,42.90M,214.70M,,,,,214.70M,214.70M,316.70M,40.40M,276.30M,,1.67,,,1.67,1.67,,1.65,,,1.65,1.65,,128.30M,129.70M,0.76,,AOR,Restated
2016-09,1.539B,1.539B,886.70M,651.90M,402.10M,,,18.20M,,-5.50M,402.10M,249.80M,,18.20M,-5.50M,-7.40M,-5.50M,236.90M,51.70M,185.20M,,,,,185.20M,185.20M,298.10M,43.00M,255.10M,,1.441,,,1.441,1.441,,1.43,,,1.43,1.43,,128.70M,129.60M,0.725,,AOR,Restated
2016-06,1.474B,1.474B,857.20M,616.80M,346.70M,,,18.10M,,-18.10M,346.70M,270.10M,,18.10M,-18.10M,0.30M,-18.10M,252.30M,61.30M,191.00M,,,,,191.00M,191.00M,313.20M,42.80M,270.40M,,1.47,,,1.47,1.47,,1.46,,,1.46,1.46,,129.80M,130.80M,0.725,,AOR,Restated
2016-03,1.440B,1.440B,846.20M,594.10M,358.70M,,,17.60M,,-17.60M,358.70M,235.40M,,17.60M,-17.60M,-0.80M,-17.60M,217.00M,49.00M,168.00M,,,,,168.00M,168.00M,279.70M,45.10M,234.60M,,1.29,,,1.29,1.29,,1.28,,,1.28,1.28,,130.50M,131.30M,0.725,,AOR,Restated
2015-12,1.427B,1.427B,813.90M,612.70M,359.90M,,,17.40M,,-17.40M,359.90M,252.80M,,17.40M,-17.40M,1.50M,-17.40M,236.90M,51.40M,185.50M,,,,,185.50M,185.50M,295.60M,41.30M,254.30M,,1.41,,,1.41,1.41,,1.40,,,1.40,1.40,,131.80M,132.60M,0.725,,AOR,Restated
2015-09,1.608B,1.608B,943.30M,664.20M,360.70M,,,16.70M,,-6.00M,360.70M,303.50M,,16.70M,-6.00M,-18.60M,-6.00M,278.90M,77.60M,201.30M,,,,,201.30M,201.30M,337.20M,41.60M,295.60M,,1.520,,,1.520,1.520,,1.50,,,1.50,1.50,,133.30M,134.50M,0.65,,AOR,Restated
2015-06,1.575B,1.575B,897.00M,678.20M,376.40M,,,16.40M,,-16.40M,376.40M,301.80M,,16.40M,-16.40M,-0.80M,-16.40M,284.60M,78.50M,206.10M,,,,,206.10M,206.10M,342.20M,41.20M,301.00M,,1.53,,,1.53,1.53,,1.52,,,1.52,1.52,,134.30M,135.50M,0.65,,AOR,Restated
2015-03,1.551B,1.551B,877.60M,673.20M,382.40M,,,15.70M,,-15.70M,382.40M,290.80M,,15.70M,-15.70M,1.40M,-15.70M,276.50M,70.50M,206.00M,,,,,206.00M,206.00M,331.30M,39.10M,292.20M,,1.53,,,1.53,1.53,,1.51,,,1.51,1.51,,134.90M,136.00M,0.65,,AOR,Restated
2014-12,1.574B,1.574B,886.90M,687.50M,386.90M,,,14.90M,,-14.90M,386.90M,300.60M,,14.90M,-14.90M,1.80M,-14.90M,287.50M,73.30M,214.20M,,,,,214.20M,214.20M,343.00M,40.60M,302.40M,,1.58,,,1.58,1.58,,1.56,,,1.56,1.56,,135.60M,136.90M,0.65,,AOR,Restated
2014-09,1.782B,1.782B,1.029B,752.90M,397.80M,,,15.00M,,-5.50M,397.80M,355.10M,,15.00M,-5.50M,-10.60M,-5.50M,339.00M,90.30M,248.70M,,,,,248.70M,248.70M,392.10M,38.10M,354.00M,,1.819,,,1.819,1.819,,1.79,,,1.79,1.79,,137.10M,138.80M,0.58,,AOR,Restated
2014-06,1.650B,1.650B,968.00M,681.50M,394.40M,,,14.40M,,-14.40M,394.40M,287.10M,,14.40M,-14.40M,1.30M,-14.40M,274.00M,74.30M,199.70M,,,,,199.70M,199.70M,328.50M,40.10M,288.40M,,1.44,,,1.44,1.44,,1.43,,,1.43,1.43,,138.00M,139.60M,0.58,,AOR,Restated
2014-03,1.600B,1.600B,944.70M,655.80M,392.50M,,,15.00M,,-15.00M,392.50M,263.30M,,15.00M,-15.00M,0.10M,-15.00M,248.40M,68.10M,180.30M,,,,,180.30M,180.30M,301.80M,38.40M,263.40M,,1.30,,,1.30,1.30,,1.28,,,1.28,1.28,,138.50M,140.20M,0.58,,AOR,Restated
2013-12,1.592B,1.592B,928.00M,663.70M,385.40M,,,14.90M,,-14.90M,385.40M,278.30M,,14.90M,-14.90M,9.40M,-14.90M,272.80M,74.70M,198.10M,,,,,198.10M,198.10M,323.60M,35.90M,287.70M,,1.43,,,1.43,1.43,,1.41,,,1.41,1.41,,138.60M,140.40M,0.58,,AOR,Restated
2013-09,1.716B,1.716B,1.018B,697.20M,403.70M,,,14.90M,,-5.10M,403.70M,293.50M,,14.90M,-5.10M,-9.20M,-5.10M,279.20M,63.90M,215.30M,,,,,215.30M,215.30M,330.20M,36.10M,294.10M,,1.550,,,1.550,1.550,,1.53,,,1.53,1.53,,138.60M,140.30M,0.52,,AOR,Restated
2013-06,1.624B,1.624B,971.30M,652.90M,383.70M,,,15.30M,,-15.30M,383.70M,269.20M,,15.30M,-15.30M,3.50M,-15.30M,257.40M,53.70M,203.70M,,,,,203.70M,203.70M,310.40M,37.70M,272.70M,,1.46,,,1.46,1.46,,1.45,,,1.45,1.45,,138.90M,140.40M,0.52,,AOR,Restated
2013-03,1.523B,1.523B,906.40M,616.40M,376.80M,,,15.30M,,-15.30M,376.80M,239.60M,,15.30M,-15.30M,2.80M,-15.30M,227.10M,51.20M,175.90M,,,,,175.90M,175.90M,278.60M,36.20M,242.40M,,1.25,,,1.25,1.25,,1.24,,,1.24,1.24,,140.00M,141.80M,0.47,,AOR,Restated
2012-12,1.489B,1.489B,881.90M,607.30M,373.50M,,,15.40M,,-15.40M,373.50M,233.80M,,15.40M,-15.40M,-1.20M,-15.40M,217.20M,55.80M,161.40M,,,,,161.40M,161.40M,267.80M,35.20M,232.60M,,1.16,,,1.16,1.16,,1.14,,,1.14,1.14,,139.30M,141.20M,0.47,,AOR,Restated
2012-09,1.664B,1.664B,1.010B,654.20M,386.40M,,,14.90M,,-7.10M,386.40M,267.80M,,14.90M,-7.10M,-5.80M,-7.10M,254.90M,59.70M,195.20M,,,,,195.20M,195.20M,305.50M,35.70M,269.80M,,1.396,0.00,,1.396,1.396,,1.38,0.00,,1.38,1.38,,140.00M,141.60M,0.47,,AOR,Restated
2012-06,1.560B,1.560B,928.90M,631.50M,369.80M,,,15.20M,,-15.20M,369.80M,261.70M,,15.20M,-15.20M,-1.70M,-15.20M,244.80M,54.10M,190.70M,,,,,190.70M,190.70M,295.10M,35.10M,260.00M,,1.34,,,1.34,1.34,,1.33,,,1.33,1.33,,141.70M,143.50M,0.425,,AOR,Restated
2012-03,1.561B,1.561B,942.80M,618.30M,373.10M,,,15.00M,,-15.00M,373.10M,245.20M,,15.00M,-15.00M,-6.90M,-15.00M,223.30M,55.50M,167.80M,,,,,167.80M,167.80M,273.50M,35.20M,238.30M,,1.18,,,1.18,1.18,,1.16,,,1.16,1.16,,142.50M,144.70M,0.425,,AOR,Restated
2011-12,1.474B,1.474B,855.20M,618.70M,362.40M,,,15.00M,,-15.00M,362.40M,256.30M,,15.00M,-15.00M,1.60M,-15.00M,242.90M,59.60M,183.30M,,,,,183.30M,183.30M,290.50M,32.60M,257.90M,,1.29,,,1.29,1.29,,1.27,,,1.27,1.27,,141.80M,143.90M,0.425,,AOR,Restated
2011-09,1.654B,1.654B,991.10M,663.20M,388.10M,,,14.60M,,-8.60M,388.10M,275.10M,,14.60M,-8.60M,-10.40M,-8.60M,256.10M,54.30M,201.80M,0.00,,,,201.80M,201.80M,305.40M,34.70M,270.70M,,1.42,-0.01,,1.42,1.41,,1.39,-0.01,,1.39,1.41,,142.40M,144.30M,0.425,,AOR,Restated
2011-06,1.516B,1.516B,909.40M,606.80M,370.00M,,-0.90M,14.70M,,-14.70M,370.00M,236.80M,,14.70M,-14.70M,-0.90M,-14.70M,221.20M,42.40M,178.80M,0.70M,,,,179.50M,179.53M,268.80M,32.90M,235.90M,,1.24,0.01,,1.245,1.25,,1.22,0.01,,1.225,1.23,,143.40M,145.90M,0.35,,AOR,Restated
2011-03,1.464B,1.464B,887.60M,576.50M,356.10M,,-1.40M,15.40M,,-15.40M,356.10M,220.40M,,15.40M,-15.40M,-1.40M,-15.40M,203.60M,37.20M,166.40M,,,,,166.40M,167.54M,250.80M,31.80M,219.00M,,1.16,0.00,,1.168,1.16,,1.14,0.00,,1.148,1.14,,143.40M,146.30M,0.35,,AOR,Restated
2010-12,1.366B,1.366B,821.90M,543.90M,347.00M,,4.60M,14.80M,,-14.80M,347.00M,196.90M,,14.80M,-14.80M,4.60M,-14.80M,186.70M,36.60M,150.10M,,,,,150.10M,146.40M,233.40M,31.90M,201.50M,,1.06,0.00,,1.034,1.06,,1.04,0.00,,1.014,1.04,,141.80M,144.50M,0.35,,AOR,Restated
2010-09,1.357B,1.357B,827.70M,529.20M,354.30M,,,15.20M,,-10.20M,354.30M,174.90M,,15.20M,-10.20M,-6.90M,-10.20M,157.80M,26.50M,131.30M,0.00,,,,131.30M,131.30M,206.10M,33.10M,173.00M,,0.92,0.00,,0.92,0.92,,0.91,0.00,,0.91,0.91,,141.70M,143.70M,0.35,,AOR,Restated
2010-06,1.268B,1.268B,760.80M,507.30M,333.30M,,-3.70M,14.80M,,-14.80M,333.30M,174.00M,,14.80M,-14.80M,-3.70M,-14.80M,155.50M,36.10M,119.40M,0.00,,,,119.40M,122.24M,200.90M,30.60M,170.30M,,0.84,0.00,,0.8600,0.84,,0.83,0.00,,0.8497,0.83,,142.00M,144.30M,0.29,,AOR,Restated
2010-03,1.164B,1.164B,691.40M,473.10M,323.20M,,-1.20M,15.10M,,-15.10M,323.20M,149.90M,,15.10M,-15.10M,-1.20M,-15.10M,133.60M,21.70M,111.90M,25.10M,,,,137.00M,112.91M,180.60M,31.90M,148.70M,,0.78,0.18,,0.7871,0.96,,0.77,0.18,,0.7770,0.95,,142.40M,144.40M,0.29,,AOR,Restated
2009-12,1.068B,1.068B,640.70M,426.80M,312.50M,,-1.60M,15.40M,,-15.40M,312.50M,114.30M,,15.40M,-15.40M,-1.60M,-15.40M,97.30M,19.50M,77.80M,-1.20M,,,,76.60M,79.08M,144.40M,31.70M,112.70M,,0.55,-0.01,,0.5590,0.54,,0.54,-0.01,,0.5489,0.53,,142.00M,143.70M,0.29,,AOR,Restated
2009-09,1.074B,1.074B,709.10M,365.30M,316.80M,,-4.50M,15.20M,,-15.20M,316.80M,48.50M,,15.20M,-15.20M,-4.50M,-15.20M,28.80M,-0.10M,28.90M,0.00,,,,28.90M,31.82M,79.30M,35.30M,44.00M,,0.21,0.00,,0.2307,0.21,,0.20,0.00,,0.2204,0.20,,141.60M,143.30M,0.29,,AOR,Restated
2009-06,1.011B,1.011B,640.60M,370.20M,305.00M,,0.40M,15.40M,,-15.40M,305.00M,65.20M,,15.40M,-15.40M,0.40M,-15.40M,50.20M,17.40M,32.80M,0.00,,,,32.80M,32.54M,100.00M,34.40M,65.60M,,0.23,0.00,,0.2282,0.23,,0.23,0.00,,0.2282,0.23,,141.70M,142.30M,0.29,,AOR,Restated
2009-03,1.058B,1.058B,694.50M,363.60M,292.80M,,-0.10M,15.30M,,-15.30M,292.80M,70.80M,,15.30M,-15.30M,-0.10M,-15.30M,55.40M,14.80M,40.60M,0.00,,,,40.60M,40.67M,102.80M,32.10M,70.70M,,0.29,0.00,,0.2905,0.29,,0.29,0.00,,0.2905,0.29,,141.50M,142.00M,0.29,,AOR,Restated
2008-12,1.189B,1.189B,718.80M,470.40M,313.40M,,-2.50M,15.00M,,-15.00M,313.40M,157.00M,,15.00M,-15.00M,-2.50M,-15.00M,139.50M,23.90M,115.60M,2.80M,,,,118.40M,117.67M,186.80M,32.30M,154.50M,,0.81,0.02,,0.8246,0.83,,0.81,0.02,,0.8246,0.83,,141.60M,142.10M,0.29,,,Restated
2008-09,1.484B,1.484B,896.00M,588.30M,397.60M,,2.10M,,,,397.60M,190.70M,,,,2.10M,,176.70M,51.10M,125.60M,,,,,125.60M,124.11M,244.80M,35.60M,209.20M,,0.87,0.00,,0.8596,0.87,,0.87,0.00,,0.8597,0.87,,144.10M,144.90M,0.29,,,Restated
2008-06,1.475B,1.475B,869.40M,605.60M,377.60M,,2.10M,,,,377.60M,228.00M,,,,2.10M,,213.50M,60.90M,152.60M,,,,,152.60M,151.10M,263.30M,35.30M,228.00M,,1.04,0.00,,1.030,1.04,,1.03,0.00,,1.020,1.03,,146.30M,148.10M,0.29,,,
2008-03,1.407B,1.407B,835.30M,571.30M,358.30M,,4.20M,,,,358.30M,213.00M,,,,4.20M,,199.70M,56.90M,142.80M,,,,,142.80M,139.80M,247.30M,34.30M,213.00M,,0.97,0.00,,0.9496,0.97,,0.96,0.00,,0.9398,0.96,,146.90M,148.70M,0.29,,,
2007-12,1.332B,1.332B,756.40M,575.50M,348.60M,,10.10M,,,,348.60M,226.90M,,,,10.10M,,219.00M,62.40M,156.60M,,,,,156.60M,149.38M,258.20M,31.30M,226.90M,,1.05,0.00,,1.001,1.05,,1.04,0.00,,0.9922,1.04,,148.70M,151.00M,0.29,,,
2007-09,1.370B,1.370B,796.40M,574.10M,340.20M,,-17.40M,,,,340.20M,233.90M,,,,-17.40M,,231.20M,67.40M,163.80M,1.40M,,,,165.20M,176.13M,265.70M,31.80M,233.90M,,1.08,0.09,,1.162,1.17,,1.06,0.09,,1.141,1.16,,150.90M,153.10M,0.29,,,
2007-06,1.281B,1.281B,729.50M,551.10M,319.70M,,9.50M,,,,319.70M,231.40M,,,,9.50M,,227.10M,59.60M,167.50M,-3.30M,,,,164.20M,160.49M,259.80M,28.40M,231.40M,,1.09,-0.02,,1.045,1.07,,1.07,-0.02,,1.025,1.05,,154.00M,156.50M,0.29,,,
2007-03,1.206B,1.206B,732.00M,474.50M,325.60M,,10.80M,,,,325.60M,148.90M,,,,10.80M,,143.40M,36.30M,107.10M,622.20M,,,,729.30M,99.03M,178.10M,29.20M,148.90M,,0.66,3.86,,0.6100,4.52,,0.65,3.80,,0.6008,4.45,,161.20M,163.80M,0.29,,,
2006-12,1.146B,1.146B,648.70M,497.60M,293.10M,,0.80M,,,,293.10M,204.50M,,,,0.80M,,186.90M,56.00M,130.90M,298.20M,,,,429.10M,130.34M,233.00M,28.50M,204.50M,,0.78,1.77,,0.7767,2.55,,0.76,1.74,,0.7567,2.50,,168.60M,171.40M,0.29,,,
2006-09,1.194B,1.194B,705.70M,488.30M,290.70M,,15.60M,,,,290.70M,197.60M,,,,17.30M,,207.10M,50.30M,156.80M,26.70M,,,,165.80M,144.99M,226.10M,28.50M,197.60M,,0.90,0.15,,0.8321,0.95,,0.88,0.15,,0.8132,0.93,,173.90M,176.90M,0.225,,,
2006-06,1.172B,1.172B,685.20M,486.50M,295.10M,,0.50M,,,,295.10M,191.40M,,,,0.50M,,178.10M,54.70M,123.40M,25.60M,,,,149.00M,123.05M,220.00M,28.60M,191.40M,,0.70,0.14,,0.6980,0.84,,0.69,0.14,,0.6881,0.83,,176.60M,179.80M,0.225,,,
2006-03,1.121B,1.121B,645.10M,475.90M,290.30M,,4.60M,,,,290.30M,185.60M,,,,4.60M,,176.20M,51.00M,125.20M,21.30M,,,,146.50M,121.93M,219.50M,33.90M,185.60M,,0.71,0.12,,0.6916,0.83,,0.69,0.12,,0.6719,0.81,,177.20M,180.70M,0.225,,,
2005-12,1.070B,1.070B,620.40M,449.30M,264.90M,,3.10M,,,,264.90M,184.40M,,,,3.10M,,174.40M,50.50M,123.90M,21.80M,,,,145.70M,121.70M,210.80M,26.40M,184.40M,,0.70,0.12,,0.6877,0.82,,0.68,0.12,,0.6679,0.80,,178.70M,182.30M,0.225,,,
2005-09,443.50M,443.50M,166.00M,277.50M,184.50M,,-17.40M,,,,184.50M,93.00M,,,,-13.60M,,78.50M,22.70M,55.80M,73.50M,,,,129.30M,68.17M,93.20M,0.20M,93.00M,,0.32,0.3188,,0.3575,0.22,,0.3105,0.3188,,0.3480,0.22,,329.93M,329.93M,0.225,,,
2005-06,1.265B,1.265B,783.70M,481.00M,286.60M,,8.50M,,,,286.60M,194.40M,,,,8.50M,,191.20M,63.90M,127.30M,,,,,127.30M,121.64M,234.50M,40.10M,194.40M,,0.70,0.00,,0.6690,0.70,,0.68,0.00,,0.6496,0.68,,182.70M,186.40M,0.225,,,
2005-03,1.218B,1.218B,762.50M,455.90M,263.30M,,-0.50M,,,,263.30M,192.60M,,,,-0.50M,,180.60M,38.10M,142.50M,7.50M,,,,150.00M,142.89M,233.50M,40.90M,192.60M,,0.77,0.04,,0.7721,0.81,,0.75,0.04,,0.7521,0.79,,184.50M,189.00M,0.165,,,
2004-12,1.185B,1.185B,735.80M,449.10M,263.00M,,4.60M,,,,263.00M,186.10M,,,,4.60M,,179.60M,57.50M,122.10M,11.30M,,,,133.40M,118.97M,232.30M,46.20M,186.10M,,0.66,0.06,,0.6430,0.72,,0.65,0.06,,0.6335,0.71,,184.50M,189.10M,0.165,,,
2004-09,1.206B,1.206B,772.70M,433.50M,271.80M,,-24.10M,,,,271.80M,161.70M,,,,-24.10M,,126.70M,30.10M,96.60M,51.40M,,,,148.00M,114.97M,205.60M,43.90M,161.70M,,0.33,0.2808,,0.4288,0.28,,0.31,0.2808,,0.4059,0.26,,186.00M,191.70M,0.165,,,
2004-06,1.135B,1.135B,723.10M,411.90M,267.60M,,-4.40M,,,,267.60M,144.30M,,,,-4.40M,,129.80M,4.30M,125.50M,0.90M,,,,126.40M,129.75M,193.00M,48.70M,144.30M,,0.68,0.00,,0.7030,0.68,,0.66,0.00,,0.6823,0.66,,185.00M,190.50M,0.165,,,
2004-03,1.080B,1.080B,695.80M,383.80M,268.10M,,0.70M,,,,268.10M,115.70M,,,,0.70M,,106.20M,31.30M,74.90M,3.40M,,,,78.30M,74.41M,162.50M,46.80M,115.70M,,0.40,0.02,,0.3974,0.42,,0.39,0.02,,0.3874,0.41,,186.70M,192.10M,0.165,,,
2003-12,990.30M,990.30M,656.70M,333.60M,251.10M,,3.40M,,,,251.10M,82.50M,,,,3.40M,,75.40M,18.30M,57.10M,5.10M,,,,62.20M,54.53M,129.80M,47.30M,82.50M,,0.30,0.03,,0.2862,0.33,,0.29,0.03,,0.2766,0.32,,186.30M,192.30M,0.165,,,
2003-09,946.30M,946.30M,636.00M,310.30M,209.70M,,-0.50M,,,,209.70M,100.60M,,,,-0.50M,,88.60M,26.20M,62.40M,,,,,67.40M,62.75M,144.20M,43.60M,100.60M,,0.33,0.03,,0.3319,0.36,,0.33,0.03,,0.3318,0.36,,185.40M,190.70M,0.165,,,
2003-06,1.033B,1.033B,689.00M,344.00M,253.00M,,4.00M,,,,253.00M,91.00M,,,,4.00M,,84.00M,-44.00M,128.00M,,,,,128.00M,125.60M,141.00M,50.00M,91.00M,,0.69,0.00,,0.6770,0.69,,0.67,0.00,,0.6574,0.67,,185.00M,189.80M,0.165,,,
2003-03,1.029B,1.029B,693.00M,336.00M,254.00M,,-2.00M,,,,254.00M,82.00M,,,,-2.00M,,65.00M,16.00M,49.00M,,,,,49.00M,50.51M,129.20M,47.20M,82.00M,,0.26,0.00,,0.2681,0.26,,0.26,0.00,,0.2679,0.26,,185.60M,190.40M,0.165,,,
2002-12,983.60M,983.60M,663.20M,320.40M,250.80M,,5.10M,,,,250.80M,69.60M,,,,5.10M,,59.60M,17.90M,41.70M,,,,,41.70M,38.13M,119.40M,49.80M,69.60M,,0.22,0.00,,0.2008,0.22,,0.22,0.00,,0.2012,0.22,,185.60M,189.40M,0.165,,,
2002-09,1.017B,1.017B,698.00M,319.00M,234.00M,,-10.00M,,,,234.00M,85.00M,,,,-10.00M,,64.00M,15.00M,49.00M,0.00,0.00,,,49.00M,56.66M,137.00M,52.00M,85.00M,,0.26,0.00,0.00,0.3012,0.27,,0.26,0.00,0.0009,0.3004,0.26,,185.80M,189.40M,0.165,,,
