,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.955B,2.955B,2.195B,759.91M,271.26M,5.041M,1.692M,-1.692M,0.225M,0.891M,0.666M,,276.30M,483.61M,0.891M,0.225M,0.666M,-0.108M,0.666M,484.17M,67.77M,416.40M,,,416.40M,17.00M,484.39M,,2020-09,1.54,,1.545,1.54,,2020-09,,,1.545,2020-09,268.36M,268.96M,0.12,,2020-09,AOR,
2020-06,2.594B,2.594B,1.935B,659.15M,196.86M,5.045M,2.311M,-2.311M,3.00M,1.326M,-1.674M,,201.90M,457.25M,1.326M,3.00M,-1.674M,1.433M,-1.674M,457.01M,108.39M,348.62M,,,348.62M,16.39M,460.01M,,2020-06,1.29,,1.297,1.29,,2020-06,,,1.297,2020-06,268.32M,269.02M,0.12,,2020-06,AOR,
2020-03,2.295B,2.295B,1.745B,550.15M,263.67M,4.557M,4.332M,-24.52M,0.797M,3.807M,3.01M,,268.23M,281.93M,3.807M,0.797M,3.01M,-21.17M,3.01M,263.77M,60.06M,203.71M,,,203.71M,15.15M,264.57M,,2020-03,0.75,,0.8201,0.75,,2020-03,,,0.8098,2020-03,270.00M,271.22M,0.12,,2020-03,AOR,
2019-12,3.017B,3.017B,2.316B,701.39M,261.55M,3.60M,5.228M,-5.312M,0.147M,3.765M,3.618M,,265.15M,436.25M,3.765M,0.147M,3.618M,-3.913M,3.618M,435.95M,100.15M,335.80M,,,335.80M,13.70M,436.10M,,2019-12,1.23,,1.245,1.23,,2019-12,,,1.235,2019-12,270.78M,271.41M,0.12,,2019-12,AOR,
2019-09,2.710B,2.710B,2.068B,641.88M,270.62M,3.60M,2.455M,-2.455M,0.147M,3.554M,3.407M,,274.22M,367.65M,3.554M,0.147M,3.407M,-4.915M,3.407M,366.15M,93.04M,273.10M,,,273.10M,13.80M,366.29M,,2019-09,0.99,,0.9967,0.99,,2019-09,,,0.9967,2019-09,272.99M,273.63M,0.11,,2019-09,AOR,Restated
2019-06,2.489B,2.489B,1.905B,583.72M,259.44M,3.55M,2.516M,-7.359M,0.146M,4.471M,4.325M,,262.99M,320.72M,4.471M,0.146M,4.325M,-4.274M,4.325M,320.78M,79.74M,241.04M,,,241.04M,13.29M,320.92M,,2019-06,0.86,,0.8800,0.86,,2019-06,,,0.8799,2019-06,276.65M,277.58M,0.11,,2019-06,AOR,Restated
2019-03,1.997B,1.997B,1.526B,470.40M,252.73M,3.45M,2.917M,-2.917M,0.144M,4.949M,4.805M,,256.18M,214.23M,4.949M,0.144M,4.805M,-2.328M,4.805M,216.70M,49.95M,166.76M,,,166.76M,13.21M,216.85M,,2019-03,0.59,,0.5981,0.59,,2019-03,,,0.5981,2019-03,277.64M,278.64M,0.11,,2019-03,AOR,Restated
2018-12,2.999B,2.999B,2.370B,628.90M,292.32M,3.45M,9.594M,-9.594M,0.158M,4.353M,4.195M,,295.77M,333.14M,4.353M,0.158M,4.195M,-7.841M,4.195M,329.49M,91.84M,237.65M,,,237.65M,12.71M,329.65M,,2018-12,0.84,,0.8648,0.84,,2018-12,,,0.8647,2018-12,278.93M,280.18M,0.11,,2018-12,AOR,Restated
2018-09,2.649B,2.649B,2.008B,640.93M,252.76M,3.45M,3.136M,-3.136M,0.152M,1.842M,1.69M,,256.21M,384.73M,1.842M,0.152M,1.69M,-1.728M,1.69M,384.69M,95.15M,289.54M,,,289.54M,12.56M,384.84M,,2018-09,1.01,,1.018,1.01,,2018-09,,,1.018,2018-09,283.49M,284.67M,0.09,,2018-09,AOR,Restated
2018-06,2.570B,2.570B,1.933B,637.18M,226.06M,3.45M,1.652M,-1.728M,0.165M,0.835M,0.67M,,229.51M,407.68M,0.835M,0.165M,0.67M,0.824M,0.67M,409.17M,85.08M,324.09M,,,324.09M,12.27M,409.34M,,2018-06,1.12,,1.125,1.12,,2018-06,,,1.125,2018-06,285.28M,286.65M,0.09,,2018-06,AOR,Restated
