,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2012-07,2.399B,2.399B,1.457B,942.00M,637.00M,637.00M,,79.00M,,-79.00M,,637.00M,305.00M,,79.00M,-79.00M,3.00M,-79.00M,229.00M,86.00M,143.00M,,,,143.00M,96.00M,308.00M,,2012-07,0.50,0.50,0.50,,2012-07,0.49,0.49,0.49,,296.00M,0.25,,2012-07,AOR,Restated
2012-04,2.154B,2.154B,1.252B,902.00M,609.00M,609.00M,,78.00M,,-78.00M,,609.00M,293.00M,,78.00M,-78.00M,-2.00M,-78.00M,213.00M,88.00M,125.00M,,,,125.00M,95.00M,291.00M,,2012-04,0.43,0.43,0.43,,2012-04,0.41,0.41,0.41,,301.00M,0.25,,2012-04,AOR,Restated
2012-01,3.515B,3.515B,1.988B,1.527B,,765.00M,-354.00M,63.00M,,-63.00M,,765.00M,762.00M,,63.00M,-63.00M,-119.00M,-63.00M,580.00M,221.00M,359.00M,,,,359.00M,101.00M,643.00M,,2012-01,1.20,1.943,1.20,,2012-01,1.15,1.868,1.15,,305.00M,0.20,,2012-01,AOR,Restated
2011-10,2.174B,2.174B,1.389B,785.00M,,599.00M,0.00,64.00M,,-64.00M,,599.00M,186.00M,,64.00M,-64.00M,,-64.00M,122.00M,28.00M,94.00M,,,,94.00M,94.00M,186.00M,,2011-10,0.32,0.32,0.32,,2011-10,0.31,0.31,0.31,,308.00M,0.20,,2011-10,AOR,Restated
2011-07,2.458B,2.458B,1.556B,902.00M,,708.00M,146.00M,64.00M,,-64.00M,,708.00M,194.00M,,64.00M,-64.00M,146.00M,-64.00M,276.00M,45.00M,231.00M,,,,231.00M,98.00M,340.00M,,2011-07,0.76,0.3589,0.76,,2011-07,0.73,0.3416,0.73,,315.00M,0.20,,2011-07,AOR,Restated
2011-04,2.217B,2.217B,1.375B,842.00M,,625.00M,87.00M,55.00M,,-55.00M,,625.00M,217.00M,,55.00M,-55.00M,87.00M,-55.00M,249.00M,84.00M,165.00M,,,,165.00M,98.00M,304.00M,,2011-04,0.52,0.3378,0.52,,2011-04,0.50,0.3239,0.50,,328.00M,0.20,,2011-04,AOR,Restated
2011-01,3.456B,3.456B,2.011B,1.445B,,725.00M,-128.00M,48.00M,,-48.00M,,725.00M,720.00M,,48.00M,-48.00M,47.00M,-48.00M,719.00M,266.00M,453.00M,,,,453.00M,103.00M,767.00M,,2011-01,1.40,1.652,1.40,,2011-01,1.36,1.602,1.36,,333.00M,0.15,,2011-01,AOR,Restated
2010-10,1.983B,1.983B,1.269B,714.00M,,565.00M,0.00,48.00M,,-48.00M,,565.00M,149.00M,,48.00M,-48.00M,,-48.00M,101.00M,40.00M,61.00M,,,,61.00M,97.00M,149.00M,,2010-10,0.19,0.19,0.19,,2010-10,0.18,0.18,0.18,,332.00M,0.15,,2010-10,AOR,
2010-07,2.242B,2.242B,1.464B,778.00M,,542.00M,59.00M,51.00M,,-51.00M,,542.00M,236.00M,,51.00M,-51.00M,59.00M,-51.00M,244.00M,66.00M,178.00M,,,,178.00M,97.00M,295.00M,,2010-07,0.55,0.4176,0.55,,2010-07,0.54,0.4111,0.54,,334.00M,0.15,,2010-07,AOR,Restated
2010-04,1.932B,1.932B,1.238B,694.00M,,509.00M,62.00M,61.00M,1.00M,-60.00M,,509.00M,185.00M,1.00M,61.00M,-60.00M,62.00M,-60.00M,187.00M,74.00M,113.00M,,,,113.00M,97.00M,248.00M,,2010-04,0.35,0.2340,0.35,,2010-04,0.34,0.2275,0.34,,333.00M,0.15,,2010-04,AOR,Restated
2010-01,3.063B,3.063B,1.814B,1.249B,,660.00M,8.00M,61.00M,0.00,-61.00M,0.00,660.00M,589.00M,0.00,61.00M,-61.00M,8.00M,-61.00M,536.00M,180.00M,356.00M,,,,356.00M,105.00M,597.00M,,2010-01,1.10,1.083,1.10,,2010-01,1.09,1.074,1.09,,330.00M,0.15,,2010-01,AOR,
2009-10,1.777B,1.777B,1.214B,563.00M,,504.00M,9.00M,56.00M,0.00,-56.00M,,504.00M,59.00M,0.00,56.00M,-56.00M,9.00M,-56.00M,12.00M,-3.00M,15.00M,,,,15.00M,97.00M,68.00M,,2009-10,0.05,0.0318,0.05,,2009-10,0.05,0.0322,0.05,,328.00M,0.15,,2009-10,AOR,Restated
2009-07,2.067B,2.067B,1.399B,668.00M,,519.00M,-2.00M,58.00M,1.00M,-57.00M,-9.00M,510.00M,158.00M,1.00M,58.00M,-57.00M,-2.00M,-57.00M,99.00M,25.00M,74.00M,,,,74.00M,97.00M,157.00M,,2009-07,0.23,0.2346,0.23,,2009-07,0.23,0.2346,0.23,,326.00M,0.15,,2009-07,AOR,Restated
2009-04,1.725B,1.725B,1.177B,548.00M,,483.00M,-1.00M,62.00M,1.00M,-61.00M,,483.00M,65.00M,1.00M,62.00M,-61.00M,-1.00M,-61.00M,3.00M,0.00,3.00M,,,,3.00M,94.00M,65.00M,,2009-04,0.01,0.0131,0.01,,2009-04,0.01,0.0131,0.01,,323.00M,0.15,,2009-04,AOR,Restated
2009-01,2.991B,2.991B,1.967B,1.024B,,656.00M,-324.00M,,,,0.00,656.00M,368.00M,,,,-324.00M,,106.00M,94.00M,12.00M,,,0.00,16.00M,127.00M,194.00M,,2009-01,0.06,0.7120,0.06,,2009-01,0.05,0.7020,0.05,,323.00M,0.15,,2009-01,,Restated
2008-10,1.843B,1.843B,1.263B,580.00M,,539.00M,1.00M,,,,,539.00M,41.00M,,,,1.00M,,3.00M,-1.00M,4.00M,,,,4.00M,66.00M,41.00M,,2008-10,0.01,0.0081,0.01,,2008-10,0.01,0.0081,0.01,,340.00M,0.15,,2008-10,,
2008-07,2.284B,2.284B,1.523B,761.00M,,575.00M,17.00M,47.00M,5.00M,-42.00M,,575.00M,186.00M,5.00M,47.00M,-42.00M,17.00M,-42.00M,161.00M,62.00M,99.00M,,,3.00M,102.00M,92.00M,208.00M,,2008-07,0.30,0.2692,0.30,,2008-07,0.30,0.2693,0.30,,341.00M,0.15,,2008-07,,Restated
2008-04,1.925B,1.925B,1.284B,641.00M,,541.00M,5.00M,45.00M,6.00M,-39.00M,-109.00M,432.00M,209.00M,6.00M,45.00M,-39.00M,5.00M,-39.00M,175.00M,78.00M,97.00M,,,1.00M,98.00M,92.00M,220.00M,,2008-04,0.29,0.2805,0.29,,2008-04,0.28,0.2706,0.28,,344.00M,0.15,,2008-04,,Restated
2008-01,3.276B,3.276B,2.005B,1.271B,,637.00M,-2.00M,,,,,650.00M,621.00M,,,,-2.00M,,591.00M,202.00M,389.00M,,,-1.00M,389.00M,88.00M,621.00M,,2008-01,1.05,1.054,1.05,,2008-01,1.04,1.044,1.04,,352.86M,0.15,,2008-01,,
2007-10,1.923B,1.923B,1.309B,614.00M,,552.00M,1.00M,,,,,552.00M,62.00M,,,,1.00M,,23.00M,11.00M,12.00M,,,1.00M,12.00M,81.00M,62.00M,,2007-10,0.03,0.0282,0.03,,2007-10,0.03,0.0282,0.03,,364.98M,0.15,,2007-10,,
2007-07,2.624B,2.624B,1.803B,821.00M,,732.00M,346.00M,,,,,732.00M,89.00M,,,,346.00M,,423.00M,159.00M,264.00M,,,16.00M,264.00M,88.00M,89.00M,,2007-07,0.68,0.1238,0.68,,2007-07,0.67,0.1220,0.67,,394.03M,0.15,,2007-07,,
2007-04,2.311B,2.311B,1.508B,803.00M,,695.00M,,,,,,695.00M,108.00M,,,,,,92.00M,39.00M,53.00M,,,6.00M,53.00M,95.00M,108.00M,,2007-04,0.13,0.13,0.13,,2007-04,0.13,0.13,0.13,,407.69M,0.15,,2007-04,,
2007-01,4.025B,4.025B,2.413B,1.612B,,885.00M,3.00M,,,,,885.00M,727.00M,,,,3.00M,,706.00M,266.00M,440.00M,,0.00,,440.00M,86.00M,727.00M,,2007-01,1.11,1.105,1.11,,2007-01,1.09,1.085,1.09,,404.87M,0.15,,2007-01,,
2006-10,2.115B,2.115B,1.356B,759.00M,,692.00M,-2.00M,,,,,692.00M,67.00M,,,,-2.00M,,42.00M,18.00M,24.00M,,,,24.00M,78.00M,67.00M,,2006-10,0.06,0.0630,0.06,,2006-10,0.06,0.0630,0.06,,401.90M,0.15,,2006-10,,
2006-07,2.454B,2.454B,1.601B,853.00M,,656.00M,-1.00M,,,,,656.00M,197.00M,,,,-1.00M,,180.00M,67.00M,113.00M,,,,113.00M,78.00M,197.00M,,2006-07,0.29,0.2916,0.29,,2006-07,0.28,0.2816,0.28,,403.57M,0.15,,2006-07,,
2006-04,2.077B,2.077B,1.288B,789.00M,,603.00M,-1.00M,,,,,603.00M,186.00M,,,,-1.00M,,170.00M,71.00M,99.00M,,1.00M,,100.00M,74.00M,186.00M,,2006-04,0.25,0.2515,0.25,,2006-04,0.25,0.2515,0.25,,400.00M,0.15,,2006-04,,
2006-01,3.542B,3.542B,2.098B,1.444B,,750.00M,,,,,,750.00M,694.00M,,,,,,721.00M,202.00M,519.00M,,0.00,,519.00M,78.00M,694.00M,,2006-01,1.29,1.29,1.29,,2006-01,1.26,1.26,1.26,,408.33M,0.15,,2006-01,,
2005-10,1.892B,1.892B,1.286B,606.00M,,586.00M,-1.00M,,,,,586.00M,20.00M,,,,-1.00M,,-2.00M,-1.00M,-1.00M,,,,-1.00M,70.00M,20.00M,,2005-10,-0.0025,-0.0010,-0.0025,,2005-10,-0.0025,-0.0010,-0.0025,,400.80M,0.15,,2005-10,,
2005-07,2.29B,2.29B,1.545B,745.00M,,592.00M,,,,,,592.00M,153.00M,,,,,,135.00M,53.00M,82.00M,,,,82.00M,73.25M,153.00M,,2005-07,0.20,0.20,0.20,,2005-07,0.20,0.20,0.20,,410.00M,0.15,,2005-07,,
2005-04,1.975B,1.975B,1.290B,684.65M,,566.12M,2.628M,,,,,566.12M,118.53M,,,,2.628M,,103.42M,37.00M,66.42M,,16.84M,,83.26M,77.75M,118.53M,,2005-04,0.16,0.1559,0.20,,2005-04,0.16,0.1559,0.20,,416.32M,0.15,,2005-04,,
2005-01,3.328B,3.328B,2.030B,1.298B,,670.64M,4.158M,,,,,670.64M,627.54M,,,,4.158M,,617.07M,235.00M,382.07M,,,,382.07M,105.78M,627.54M,,2005-01,0.83,0.8240,0.83,,2005-01,0.81,0.8042,0.81,,440.37M,0.12,,2005-01,,
2004-10,1.891B,1.891B,1.279B,611.40M,,558.26M,53.31M,,,,,558.26M,53.14M,,,,53.31M,,100.34M,22.00M,78.34M,,,,78.34M,74.53M,53.14M,,2004-10,0.17,0.0816,0.17,,2004-10,0.16,0.0733,0.16,,479.90M,0.12,,2004-10,,
2004-07,2.211B,2.211B,1.413B,797.97M,,571.03M,18.60M,,,,,571.03M,226.94M,,,,18.60M,,241.95M,94.00M,147.95M,,,,147.95M,77.11M,226.94M,,2004-07,0.31,0.2862,0.31,,2004-07,0.31,0.2862,0.31,,477.26M,0.12,,2004-07,,
2004-04,1.978B,1.978B,1.303B,675.65M,,556.28M,40.93M,,,,,556.28M,119.37M,,,,40.93M,,156.64M,60.00M,96.64M,,,,96.64M,75.58M,119.37M,,2004-04,0.19,0.1403,0.19,,2004-04,0.19,0.1403,0.19,,508.62M,0.12,,2004-04,,
2004-01,3.231B,3.231B,1.890B,1.341B,,699.85M,-3.541M,,,,,699.85M,641.41M,,,,-3.541M,,634.84M,247.00M,387.84M,,,,387.84M,59.26M,641.41M,,2004-01,0.75,0.7542,0.75,,2004-01,0.73,0.7341,0.73,,531.06M,0.10,,2004-01,,
2003-10,1.847B,1.847B,1.251B,595.45M,,553.28M,133.42M,,,,,553.28M,42.17M,,,,133.42M,,200.67M,71.00M,129.67M,,,,129.67M,84.56M,42.17M,,2003-10,0.25,0.0833,0.25,,2003-10,0.25,0.0856,0.25,,524.38M,0.10,,2003-10,,
2003-07,2.014B,2.014B,1.312B,702.22M,,531.86M,0.91M,,,,,531.86M,170.37M,,,,0.91M,,167.96M,66.00M,101.96M,,,,101.96M,67.18M,170.37M,,2003-07,0.20,0.1989,0.20,,2003-07,0.19,0.1890,0.19,,536.63M,0.10,,2003-07,,
2003-04,1.842B,1.842B,1.23B,612.00M,,503.00M,71.00M,,,,,503.00M,109.00M,,,,71.00M,,163.00M,65.00M,97.00M,,,,97.00M,77.00M,109.00M,,2003-04,0.19,0.1064,0.19,,2003-04,0.19,0.1064,0.19,,510.53M,0.10,,2003-04,,
2003-01,2.966B,2.966B,1.731B,1.235B,,647.38M,3.418M,,,,0.192M,647.57M,587.64M,,,,3.418M,,592.48M,236.00M,356.48M,-3.357M,,0.063M,353.12M,73.88M,587.64M,,2003-01,0.70,0.6961,0.69,,2003-01,0.68,0.6761,0.67,,532.82M,0.075,,2003-01,,
2002-10,1.768B,1.768B,1.203B,564.16M,,546.81M,5.001M,,,,,546.81M,17.35M,,,,5.001M,,21.63M,8.00M,13.63M,2.141M,,,15.78M,78.63M,17.35M,,2002-10,0.03,0.0240,0.03,,2002-10,0.03,0.0241,0.03,,531.21M,0.075,,2002-10,,
2002-07,1.912B,1.912B,1.239B,672.97M,,534.30M,-2.135M,,,,,534.30M,138.67M,,,,-2.135M,,136.76M,55.00M,81.76M,1.486M,,,83.25M,81.49M,138.67M,,2002-07,0.16,0.1625,0.16,,2002-07,0.15,0.1524,0.15,,536.84M,0.075,,2002-07,,
2002-04,1.799B,1.799B,1.177B,622.00M,,494.00M,-35.00M,,,,34.00M,528.00M,94.00M,,,,-35.00M,,86.00M,42.00M,44.00M,6.00M,,-6.00M,50.00M,76.00M,94.00M,,2002-04,0.10,0.1443,0.11,,2002-04,0.09,0.1331,0.10,,487.00M,0.075,,2002-04,,
2002-01,2.198B,2.198B,1.111B,1.087B,,484.13M,-17.78M,,,,0.00,484.13M,602.77M,,,,-17.78M,,551.61M,238.00M,313.61M,,,-48.75M,326.61M,65.39M,602.77M,,2002-01,0.74,0.7624,0.74,,2002-01,0.72,0.7420,0.72,,484.66M,0.075,,2002-01,,
2001-10,1.906B,1.906B,1.340B,566.58M,,583.13M,172.63M,,,,-170.00M,413.13M,153.46M,,,,172.63M,,149.15M,59.00M,90.15M,,,1.736M,90.15M,60.91M,153.46M,,2001-10,0.21,-0.0332,0.21,,2001-10,0.21,-0.0310,0.21,,433.00M,0.075,,2001-10,,
