,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,246.90M,,,,80.10M,10.60M,90.70M,90.70M,-11.60M,,0.00,45.00M,,1.00M,-47.50M,-106.90M,,48.40M,,,1.00M,-105.00M,267.00M,-147.40M,,,-1.50M,,-43.00M,,-190.40M,,,,,-233.20M,-233.20M,-83.50M,-83.50M,15.50M,,-301.20M,791.30M,-224.60M,566.70M,,,,-233.20M,7.40M,
2020-06,129.80M,,,,77.90M,12.70M,90.60M,90.60M,-2.90M,,11.80M,37.80M,,0.70M,21.50M,-46.50M,,25.90M,,,-10.00M,-9.10M,258.70M,-79.00M,,,-7.40M,,-175.50M,,-254.50M,,,,,-60.70M,-60.70M,-73.50M,-73.50M,8.90M,,-125.30M,912.40M,-121.10M,791.30M,,,,-60.70M,22.30M,
2020-03,181.00M,,,,80.50M,11.30M,91.80M,91.80M,0.20M,,,40.20M,,-31.50M,59.20M,-44.90M,,-6.50M,,,-42.70M,-34.90M,280.40M,-60.90M,,,-0.20M,,104.90M,,44.00M,,,,,-285.90M,-285.90M,-74.90M,-74.90M,20.60M,,-340.20M,928.20M,-15.80M,912.40M,,,,-285.90M,55.00M,
2019-12,257.10M,,,,79.80M,11.40M,91.20M,91.20M,0.90M,,,33.60M,,33.60M,38.50M,7.90M,,-6.70M,,,-24.10M,15.60M,398.40M,-111.20M,,,,,-69.30M,,-180.50M,,,,,-100.80M,-100.80M,-75.10M,-75.10M,34.90M,,-141.00M,851.30M,76.90M,928.20M,,,,-100.80M,26.10M,
2019-09,210.60M,,,,79.50M,13.40M,92.90M,92.90M,6.00M,,0.00,21.50M,,16.70M,92.50M,-29.90M,,-8.50M,,,15.20M,69.30M,417.00M,-97.60M,,,-13.20M,,-4.20M,,-101.80M,,,,,-147.50M,-147.50M,-75.10M,-75.10M,15.90M,,-206.70M,742.80M,108.50M,851.30M,,,,-147.50M,7.90M,
2019-06,144.20M,,,,79.00M,14.70M,93.70M,93.70M,15.50M,,0.00,16.00M,,-3.80M,-14.00M,-22.80M,,-0.60M,,,-18.90M,-56.30M,209.30M,-86.70M,,,1.10M,,-51.80M,,-138.50M,,,,,-86.40M,-86.40M,-65.70M,-65.70M,7.80M,,-144.30M,816.30M,-73.50M,742.80M,,,,-86.40M,29.00M,
2019-03,213.90M,,,,78.90M,13.10M,92.00M,92.00M,-29.40M,,,21.80M,,-0.20M,-19.40M,-61.90M,,-1.70M,,,-23.00M,-106.00M,192.10M,-109.60M,,,-12.90M,,-158.50M,,-268.10M,,,,,-143.10M,-143.10M,-66.00M,-66.00M,15.70M,,-193.40M,1.086B,-269.40M,816.30M,,,,-143.10M,85.90M,
2018-12,284.90M,,,,77.50M,15.50M,93.00M,93.00M,1.80M,,,20.80M,,1.00M,131.40M,-5.00M,,-22.20M,,,43.30M,147.50M,549.00M,-129.50M,,,,,301.00M,,171.50M,,,,,-303.40M,-303.40M,-67.10M,-67.10M,2.40M,,-368.10M,733.30M,352.40M,1.086B,,,,-303.40M,1.60M,
2018-09,285.50M,,,,73.60M,10.20M,83.80M,83.80M,-8.30M,,,21.50M,,-5.10M,-180.10M,22.10M,,-69.70M,45.80M,-216.30M,,-169.80M,207.60M,-112.30M,,,0.00,,175.10M,,-341.20M,,,,,-235.50M,-235.50M,-68.00M,-68.00M,12.30M,,-291.20M,1.158B,-424.80M,733.30M,,,,-235.50M,18.80M,
2018-06,286.50M,,,,69.30M,5.40M,74.70M,74.70M,10.00M,,,19.50M,,-74.30M,-101.20M,-36.50M,,25.90M,-18.70M,5.30M,,-125.20M,258.00M,-194.10M,,,-2.60M,,-490.60M,,-684.70M,,,,,-241.30M,-241.30M,-57.70M,-57.70M,2.50M,,-296.50M,1.881B,-723.20M,1.158B,,,,-241.30M,40.90M,
