,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2013-03,4.04B,4.04B,2.474B,1.566B,650.00M,650.00M,,,95.00M,2.00M,-93.00M,,766.00M,800.00M,2.00M,95.00M,-93.00M,-2.00M,-93.00M,705.00M,234.00M,463.00M,-20.00M,,,,443.00M,463.00M,916.00M,116.00M,800.00M,0.75,-0.03,,0.75,0.71,0.73,-0.03,,0.73,0.69,621.00M,638.00M,0.12
2012-12,2.429B,2.429B,1.447B,982.00M,490.00M,490.00M,,-19.00M,93.00M,1.00M,-92.00M,,442.00M,540.00M,1.00M,93.00M,-92.00M,-17.00M,-92.00M,431.00M,147.00M,277.00M,116.00M,,,,393.00M,289.52M,476.00M,-48.00M,524.00M,0.64,-0.02,,0.6598,0.62,0.62,-0.02,,0.6393,0.6,633.00M,650.00M,0.12
2012-09,3.266B,3.266B,1.717B,1.549B,645.00M,645.00M,,-57.00M,94.00M,1.00M,-93.00M,,761.00M,788.00M,1.00M,94.00M,-93.00M,-60.00M,-93.00M,635.00M,236.00M,385.00M,6.00M,,,,391.00M,420.82M,845.00M,116.00M,729.00M,0.6,0.01,,0.656,0.61,0.59,0.01,,0.6446,0.6,640.00M,656.00M,0.12
2012-06,3.329B,3.329B,1.753B,1.576B,665.00M,665.00M,,0.00,104.00M,1.00M,-103.00M,,784.00M,792.00M,1.00M,104.00M,-103.00M,3.00M,-103.00M,692.00M,228.00M,452.00M,-25.00M,,,,427.00M,452.00M,915.00M,119.00M,796.00M,0.7,-0.04,,0.7,0.66,0.68,-0.04,,0.68,0.65,646.00M,661.00M,0.1
2012-03,3.796B,3.796B,2.347B,1.449B,642.00M,642.00M,,14.00M,110.00M,2.00M,-108.00M,,761.00M,688.00M,2.00M,110.00M,-108.00M,19.00M,-108.00M,599.00M,201.00M,394.00M,-31.00M,,,,363.00M,384.70M,828.00M,119.00M,709.00M,0.61,-0.05,,0.5957,0.56,0.59,-0.05,,0.5761,0.54,650.00M,667.00M,0.1
2011-12,3.176B,3.176B,1.766B,1.41B,,539.00M,,-36.00M,105.00M,1.00M,-104.00M,,622.00M,788.00M,1.00M,105.00M,-104.00M,-47.00M,-104.00M,637.00M,182.00M,456.00M,,,,,370.00M,481.71M,825.00M,83.00M,742.00M,0.69,-0.13,,0.7293,0.57,0.68,-0.13,,0.7184,0.56,655.00M,669.00M,0.1
2011-09,3.365B,3.365B,1.81B,1.555B,,718.00M,,-21.00M,110.00M,2.00M,-108.00M,,852.00M,703.00M,2.00M,110.00M,-108.00M,-21.00M,-108.00M,574.00M,217.00M,338.00M,,,,,338.00M,351.06M,818.00M,134.00M,684.00M,0.51,0.0,,0.5298,0.51,0.5,0.0,,0.5194,0.5,659.00M,675.00M,0.1
2011-06,3.586B,3.586B,2.03B,1.556B,,683.00M,,5.00M,110.00M,1.00M,-109.00M,,822.00M,734.00M,1.00M,110.00M,-109.00M,5.00M,-109.00M,630.00M,230.00M,395.00M,,,,,395.00M,391.83M,879.00M,139.00M,740.00M,0.59,0.0,,0.5853,0.59,0.58,0.0,,0.5754,0.58,669.00M,686.00M,0.1
2011-03,3.51B,3.51B,2.276B,1.234B,,658.00M,,9.00M,110.00M,2.00M,-108.00M,,797.00M,437.00M,2.00M,110.00M,-108.00M,9.00M,-108.00M,338.00M,122.00M,202.00M,,,,,202.00M,196.25M,587.00M,139.00M,448.00M,0.3,0.0,,0.2915,0.3,0.29,0.0,,0.2817,0.29,674.00M,693.00M,0.05
2010-12,3.307B,3.307B,1.955B,1.352B,,553.00M,,-33.00M,128.00M,1.00M,-127.00M,,629.00M,723.00M,1.00M,128.00M,-127.00M,-24.00M,-127.00M,572.00M,187.00M,381.00M,,,,,283.00M,403.21M,776.00M,76.00M,700.00M,0.56,-0.14,,0.5926,0.42,0.54,-0.14,,0.5719,0.4,682.00M,697.00M,0.05
2010-09,3.297B,3.297B,1.916B,1.381B,,624.00M,,17.00M,127.00M,1.00M,-126.00M,,763.00M,618.00M,1.00M,127.00M,-126.00M,17.00M,-126.00M,509.00M,179.00M,317.00M,,,,,317.00M,305.98M,775.00M,139.00M,636.00M,0.47,0.0,,0.4538,0.47,0.46,0.0,,0.4441,0.46,679.00M,694.00M,0.05
2010-06,3.331B,3.331B,2.077B,1.254B,,673.00M,,-57.00M,134.00M,2.00M,-132.00M,,817.00M,437.00M,2.00M,134.00M,-132.00M,-57.00M,-132.00M,248.00M,91.00M,150.00M,,,,,150.00M,186.08M,526.00M,144.00M,382.00M,0.22,0.0,,0.2731,0.22,0.22,0.0,,0.2721,0.22,679.00M,693.00M,0.05
2010-03,3.531B,3.531B,2.564B,967.00M,,616.00M,,-67.00M,138.00M,1.00M,-137.00M,,757.00M,210.00M,1.00M,138.00M,-137.00M,-67.00M,-137.00M,6.00M,21.00M,-26.00M,,,,,-26.00M,17.55M,285.00M,141.00M,144.00M,-0.04,0.0,,0.0244,-0.04,-0.04,0.0,,0.0244,-0.04,676.00M,676.00M,0.05
2009-12,3.498B,3.498B,2.270B,1.228B,,646.10M,,-193.70M,139.50M,1.70M,-137.80M,,793.50M,435.00M,1.70M,139.50M,-137.80M,-193.70M,-137.80M,103.50M,37.40M,58.80M,,,,,58.80M,182.51M,390.40M,147.40M,243.00M,0.09,0.0,,0.2733,0.09,0.08,0.0,,0.2593,0.08,674.80M,690.10M,0.05
2009-09,3.35B,3.35B,2.132B,1.218B,,620.40M,,-16.70M,135.40M,1.60M,-133.80M,,767.80M,449.90M,1.60M,135.40M,-133.80M,-16.70M,-133.80M,299.40M,79.70M,207.60M,,,,,207.60M,219.85M,582.20M,147.40M,434.80M,0.31,0.0,,0.3282,0.31,0.3,0.0,,0.3179,0.3,674.80M,685.10M,0.05
2009-06,3.006B,3.006B,1.984B,1.022B,,625.70M,,-42.80M,133.90M,1.10M,-132.80M,,770.90M,251.00M,1.10M,133.90M,-132.80M,-42.80M,-132.80M,75.40M,56.90M,15.40M,,,,,15.40M,43.22M,354.50M,145.20M,209.30M,0.02,0.0,,0.0613,0.02,0.02,0.0,,0.0609,0.02,673.40M,680.20M,0.05
2009-03,3.160B,3.160B,2.313B,846.80M,,596.20M,,-12.70M,133.20M,1.60M,-131.60M,,738.50M,108.30M,1.60M,133.20M,-131.60M,-12.70M,-131.60M,-35.30M,8.80M,-55.30M,,,,,-55.30M,-47.04M,240.20M,142.30M,97.90M,-0.08,0.0,,-0.0677,-0.08,-0.08,0.0,,-0.0677,-0.08,671.50M,671.50M,0.05
2008-12,3.527B,3.527B,2.252B,1.275B,,678.60M,,-142.90M,,,,,-13.29B,14.56B,,,,-128.50M,,167.00M,28.60M,136.10M,,,,,136.10M,254.53M,525.70M,150.70M,375.00M,0.21,0.0,,0.3865,0.21,0.21,0.0,,0.3865,0.21,671.00M,671.00M,0.27
2008-09,3.376B,3.376B,2.050B,1.326B,,680.80M,,-14.16B,,,,14.12B,14.94B,-13.61B,,,,-14.17B,,-13.79B,-1.332B,-12.46B,,,-0.50M,,-12.46B,333.72M,-13.47B,139.70M,-13.61B,-18.58,0.0,,0.4928,-18.58,-18.58,0.0,,0.4928,-18.58,670.90M,670.90M,0.27
2008-06,3.394B,3.394B,1.962B,1.431B,,668.40M,,122.30M,,,,,791.80M,639.60M,,,,121.10M,,642.80M,232.90M,408.40M,,,-0.30M,,408.40M,330.41M,763.00M,123.40M,639.60M,0.61,0.0,,0.4935,0.61,0.61,0.0,,0.4943,0.61,669.40M,674.30M,0.27
2008-03,3.654B,3.654B,2.386B,1.268B,,580.90M,,-45.10M,,,,,698.70M,569.10M,,,,-52.30M,,402.90M,151.30M,244.30M,,,-0.10M,,244.30M,272.46M,686.90M,117.80M,569.10M,0.37,0.0,,0.4122,0.37,0.36,0.0,,0.4018,0.36,667.90M,673.80M,0.25
2007-12,3.759B,3.759B,2.236B,1.522B,,698.30M,,-28.50M,,,,,817.50M,704.80M,,,,-8.70M,,545.40M,211.10M,273.10M,13.10M,,,,286.20M,290.57M,906.10M,119.20M,786.90M,0.4,0.02,,0.426,0.43,0.4,0.02,,0.4258,0.43,671.20M,678.10M,0.25
2007-09,3.281B,3.281B,1.855B,1.426B,,668.80M,,-8.30M,,,,,780.60M,645.80M,,,,-21.30M,,525.80M,172.50M,340.20M,3.10M,,-0.10M,,343.30M,345.78M,757.60M,111.80M,645.80M,0.48,0.0,,0.4879,0.49,0.48,0.0,,0.4878,0.48,707.10M,715.40M,0.25
2007-06,3.375B,3.375B,1.842B,1.533B,,673.50M,,4.30M,,,,,783.00M,749.90M,,,,-0.60M,,642.50M,233.70M,404.00M,,,0.10M,,404.00M,401.26M,859.40M,109.50M,749.90M,0.56,0.0,,0.5562,0.56,0.55,0.0,,0.5462,0.55,720.80M,729.40M,0.22
2007-03,3.658B,3.658B,2.396B,1.262B,,625.50M,,-1.50M,,,,,740.70M,521.30M,,,,-3.40M,,419.30M,204.20M,213.50M,,,0.30M,,213.50M,214.48M,636.50M,115.20M,521.30M,0.28,0.0,,0.2813,0.28,0.28,0.0,,0.2813,0.28,756.70M,765.10M,0.22
2006-12,3.883B,3.883B,2.301B,1.582B,,721.60M,,-52.20M,,,,,900.20M,681.50M,,,,-146.10M,,593.80M,164.60M,335.00M,0.00,,-0.30M,,335.00M,372.73M,800.30M,118.80M,681.50M,0.44,0.0,,0.4892,0.44,0.43,0.0,,0.4786,0.43,767.30M,776.60M,0.2
2006-09,3.379B,3.379B,1.922B,1.457B,,701.00M,,-9.20M,,,,,810.50M,646.40M,,,,-15.30M,,538.50M,208.40M,323.60M,-6.70M,,-0.40M,,316.90M,329.24M,755.90M,109.50M,646.40M,0.42,-0.01,,0.4274,0.41,0.42,-0.01,,0.4273,0.41,766.00M,774.20M,0.2
2006-06,3.483B,3.483B,1.910B,1.573B,,714.10M,,-17.20M,,,,,822.70M,750.30M,,,,-20.20M,,610.80M,118.00M,489.80M,291.90M,,,,781.70M,503.68M,858.90M,93.50M,750.30M,0.64,0.38,,0.6582,1.02,0.64,0.38,,0.658,1.02,764.60M,769.60M,0.18
2006-03,3.575B,3.575B,2.292B,1.284B,,647.60M,,-6.90M,,,,,755.60M,528.20M,,,,-0.90M,,389.60M,161.20M,234.50M,-7.60M,,0.10M,,226.90M,238.64M,651.30M,123.10M,528.20M,0.31,-0.01,,0.3154,0.3,0.31,-0.01,,0.3154,0.3,762.80M,766.70M,0.16
2005-12,3.789B,3.789B,2.305B,1.484B,,709.20M,,,,,,,10.31B,-8.826B,,,,,,-9.039B,177.60M,-9.232B,95.60M,,-0.20M,,-9.136B,-9.232B,-8.702B,124.80M,-8.826B,-11.68,0.14,,-11.68,-11.54,-11.68,0.14,,-11.68,-11.54,761.20M,761.20M,0.28
2005-09,3.372B,3.372B,1.949B,1.423B,,692.00M,,,,,,,800.90M,622.20M,,,,,,463.30M,210.90M,256.90M,451.60M,,-0.10M,,708.50M,256.90M,731.10M,108.90M,622.20M,0.33,0.58,,0.33,0.9,0.33,0.57,,0.33,0.9,785.10M,789.00M,0.28
2005-06,3.513B,3.513B,1.963B,1.550B,,634.00M,,,,,,,741.50M,808.90M,,,,,,619.00M,242.30M,380.10M,373.70M,,-0.10M,,753.80M,380.10M,916.40M,93.90M,808.90M,0.48,0.47,,0.48,0.94,0.47,0.46,,0.47,0.94,800.10M,804.50M,0.28
2005-03,3.448B,3.448B,2.172B,1.276B,,649.80M,,,,,,,770.70M,505.10M,,,,,,372.70M,152.80M,225.00M,360.00M,,-0.10M,,585.00M,225.00M,626.00M,120.90M,505.10M,0.28,0.44,,0.28,0.72,0.28,0.44,,0.28,0.72,812.50M,817.70M,0.28
2004-12,-1.814B,-1.814B,,,,,,,,,,,,10.36B,,,,,,,,-18.49B,1.366B,,,,-18.44B,-19.80B,10.61B,249.10M,10.36B,-21.55,1.59,,-21.55,-21.51,-21.55,1.59,,-21.55,-21.51,838.50M,838.50M,0.28
2004-09,5.38B,5.38B,2.795B,2.585B,,1.057B,,,,,,,1.242B,1.342B,,,,,,1.183B,433.40M,721.70M,-1.209B,,0.20M,,-487.60M,721.70M,1.528B,185.50M,1.342B,0.84,-1.4,,0.84,-0.56,0.84,-1.4,,0.84,-0.56,862.85M,867.40M,0.24
2004-06,5.354B,5.354B,2.673B,2.681B,,1.115B,,,,,,,1.308B,1.373B,,,,,,1.229B,502.60M,717.20M,36.60M,,-0.90M,,753.80M,717.20M,1.567B,183.50M,1.373B,0.84,0.04,,0.84,0.88,0.82,0.04,,0.82,0.86,862.15M,868.00M,0.24
2004-03,5.298B,5.298B,3.180B,2.119B,,872.30M,,,,,,,1.064B,1.055B,,,,,,868.80M,247.00M,618.40M,92.10M,,-1.30M,,710.50M,618.40M,1.246B,191.80M,1.055B,0.72,0.1,,0.72,0.82,0.7,0.1,,0.7,0.82,865.50M,872.25M,0.24
2003-12,-1.699B,-1.699B,,,,,,,,,,,,9.851B,,,,,,,,-561.70M,176.30M,,,,-385.40M,-580.20M,10.30B,450.90M,9.851B,-0.65,0.2,,-0.65,-0.44,-0.65,0.19,,-0.65,-0.44,879.97M,879.97M,0.24
2003-09,5.259B,5.259B,2.91B,2.349B,,884.50M,,,,,,,1.069B,1.280B,,,,,,1.085B,436.40M,647.90M,51.70M,0.00,-1.20M,,699.60M,647.90M,1.464B,61.30M,1.280B,0.74,0.06,0.0,0.74,0.8,0.74,0.06,0.0,0.74,0.8,872.50M,881.60M,0.24
2003-06,6.418B,6.418B,3.716B,2.702B,,1.140B,,,,,,,1.387B,1.316B,,,,,,1.132B,456.10M,659.60M,,0.00,-14.00M,,659.60M,659.60M,1.562B,246.40M,1.316B,0.76,0.0,0.0,0.76,0.76,0.74,0.0,0.0,0.74,0.74,873.10M,882.65M,
2003-03,6.051B,6.051B,3.873B,2.178B,,949.60M,,,,,,,1.191B,986.80M,,,,,,809.40M,330.20M,461.60M,,-18.50M,-17.60M,,443.10M,461.60M,1.228B,241.20M,986.80M,0.52,-0.02,0.0,0.52,0.5,0.52,-0.02,-0.0212,0.52,0.5,872.95M,880.55M,
