,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,73.60M,,,0.00,,45.10M,,,285.80M,285.80M,1.30M,,0.00,49.70M,,22.40M,-9.40M,-3.50M,12.00M,,,-22.10M,,455.80M,,2020-09,-6.30M,,,,-35.40M,-41.70M,,2020-09,-331.30M,,-331.30M,18.60M,,18.60M,-95.30M,-95.30M,-424.00M,,2020-09,378.20M,,368.30M,,2020-09,18.60M,966.00M,-1.297B,,2020-09,AOR,
2020-06,123.60M,,,-0.20M,,25.70M,,,292.80M,292.80M,-49.40M,,0.00,42.40M,,30.60M,39.70M,24.90M,-46.60M,,,36.10M,,501.80M,,2020-06,-9.50M,,,,-7.40M,-16.90M,,2020-06,-412.10M,,-412.10M,11.00M,,11.00M,-90.40M,-90.40M,-507.70M,,2020-06,401.00M,,378.20M,,2020-06,11.00M,3.42B,-3.832B,,2020-06,AOR,
2020-03,99.90M,,,-1.50M,0.00,-0.70M,,,310.90M,310.90M,-86.10M,0.00,1.70M,40.70M,,35.10M,-126.50M,23.20M,82.70M,,,-29.80M,,371.70M,,2020-03,-11.90M,,,0.00,-28.30M,-35.50M,,2020-03,-851.20M,,-239.30M,20.00M,,20.00M,-88.00M,-88.00M,-332.30M,,2020-03,397.10M,,401.00M,,2020-03,20.00M,955.90M,-1.195B,,2020-03,AOR,
2019-12,311.10M,,,0.00,0.00,0.40M,,,300.00M,300.00M,-293.30M,0.00,2.70M,43.50M,,35.00M,41.10M,25.80M,-103.40M,,,-3.90M,,395.50M,,2019-12,-14.10M,,,0.00,-26.90M,-43.00M,,2019-12,-257.20M,,-257.20M,11.30M,,11.30M,-87.70M,-87.70M,-357.20M,,2019-12,401.80M,,397.10M,,2019-12,11.30M,255.00M,-512.20M,,2019-12,AOR,
2019-09,108.90M,,,-0.20M,,-0.10M,,,297.60M,297.60M,-94.10M,,0.00,45.30M,,34.70M,88.30M,0.30M,-58.10M,,,3.70M,,396.00M,,2019-09,-17.70M,,,,-10.70M,-28.40M,,2019-09,-315.70M,,-315.70M,20.20M,,20.20M,-87.30M,-87.30M,-399.80M,,2019-09,434.00M,,401.80M,,2019-09,20.20M,223.00M,-538.70M,,2019-09,AOR,Restated
2019-06,50.70M,,,-0.80M,,1.10M,,,307.10M,307.10M,-16.80M,,0.50M,40.70M,,34.00M,-56.20M,-20.50M,49.70M,,,-36.70M,,380.60M,,2019-06,-23.90M,,,,-2.40M,-26.30M,,2019-06,-257.70M,,-257.70M,7.30M,,7.30M,-87.10M,-87.10M,-348.90M,,2019-06,428.60M,,434.00M,,2019-06,7.30M,204.00M,-461.70M,,2019-06,AOR,Restated
2019-03,174.70M,,,-6.80M,0.00,1.50M,,,238.70M,238.70M,-33.10M,0.00,6.30M,38.90M,,33.80M,49.40M,-2.90M,-64.50M,,,-57.40M,,403.40M,,2019-03,-40.10M,,,0.00,-5.80M,-43.60M,,2019-03,-277.70M,,-277.70M,15.70M,,15.70M,-86.60M,-86.60M,-363.40M,,2019-03,432.20M,,428.60M,,2019-03,15.70M,691.00M,-968.70M,,2019-03,AOR,Restated
2018-12,49.20M,,,0.60M,0.10M,0.90M,,,243.90M,243.90M,42.50M,0.00,0.50M,39.60M,,33.50M,124.00M,83.00M,-175.90M,,,71.40M,,481.50M,,2018-12,-27.40M,,,0.00,-3.80M,-31.40M,,2018-12,-377.70M,,-377.70M,6.60M,,6.60M,-86.40M,-86.40M,-477.60M,,2018-12,459.70M,,432.20M,,2018-12,6.60M,93.00M,-470.70M,,2018-12,AOR,Restated
2018-09,96.30M,,,1.00M,0.00,5.10M,,,221.00M,221.00M,-158.80M,0.00,1.10M,42.60M,,33.40M,120.60M,177.70M,-115.00M,,,246.80M,,487.50M,,2018-09,-72.00M,,,0.60M,-7.30M,-69.50M,,2018-09,-501.30M,,-501.30M,13.90M,,13.90M,-85.90M,-85.90M,-593.50M,,2018-09,635.20M,,459.70M,,2018-09,13.90M,147.00M,-648.30M,,2018-09,AOR,Restated
2018-06,35.70M,,,5.20M,0.10M,5.30M,,,172.80M,172.80M,87.20M,-0.20M,2.00M,45.30M,,30.40M,-55.20M,83.80M,-16.10M,,,-76.10M,,302.40M,,2018-06,-89.40M,,,-7.851B,-1.50M,-6.666B,,2018-06,6.266B,,6.266B,6.40M,,6.40M,-85.50M,-85.50M,6.098B,,2018-06,901.30M,,635.20M,,2018-06,6.40M,8.475B,-2.208B,,2018-06,AOR,Restated
