,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.174B,1.174B,595.00M,,595.00M,114.00M,5.00M,415.00M,,508.00M,96.00M,,,2.373B,,,,,,,2.988B,-2.055B,933.00M,1.20B,718.00M,1.918B,220.00M,3.071B,5.444B,947.00M,,,947.00M,,947.00M,,,,,1.066B,,1.066B,,2.013B,1.789B,,1.789B,27.00M,27.00M,292.00M,,438.00M,2.594B,4.607B,159.00M,2.704B,956.00M,2.457B,,,-525.00M,837.00M
2017-12,489.00M,489.00M,536.00M,,536.00M,115.00M,6.00M,399.00M,,494.00M,161.00M,,,1.68B,,,,,,,2.966B,-2.031B,935.00M,1.202B,720.00M,1.922B,221.00M,3.078B,4.758B,885.00M,,,885.00M,,885.00M,,,,,495.00M,,495.00M,,1.38B,1.788B,,1.788B,39.00M,39.00M,307.00M,,437.00M,2.618B,3.998B,159.00M,2.649B,941.00M,2.465B,,,-524.00M,760.00M
2017-09,468.00M,468.00M,531.00M,,531.00M,115.00M,5.00M,368.00M,,462.00M,59.00M,,,1.52B,,,,,,,2.949B,-2.015B,934.00M,1.203B,720.00M,1.923B,223.00M,3.08B,4.60B,912.00M,,51.00M,963.00M,,963.00M,,,,,413.00M,,413.00M,,1.376B,1.787B,,1.787B,62.00M,62.00M,,,783.00M,2.632B,4.008B,159.00M,2.524B,922.00M,2.489B,,,-524.00M,592.00M
2017-06,418.00M,418.00M,565.00M,,565.00M,119.00M,3.00M,363.00M,,459.00M,72.00M,,,1.514B,0.0,116.00M,524.00M,2.162B,,130.00M,2.932B,-2.001B,931.00M,1.196B,722.00M,1.918B,210.00M,3.059B,4.573B,501.00M,116.00M,,617.00M,226.00M,843.00M,,403.00M,,401.00M,804.00M,,804.00M,,1.809B,1.391B,,1.391B,61.00M,61.00M,298.00M,,430.00M,2.222B,4.031B,159.00M,2.44B,928.00M,2.442B,,,-543.00M,542.00M
2017-03,431.00M,431.00M,568.00M,,568.00M,108.00M,3.00M,425.00M,,510.00M,,,94.00M,1.603B,,,,,,,2.875B,-1.972B,903.00M,1.193B,725.00M,1.918B,205.00M,3.026B,4.629B,948.00M,,0.00,948.00M,,948.00M,,,,,1.05B,,1.05B,,1.998B,1.39B,,1.39B,49.00M,49.00M,,,788.00M,2.227B,4.225B,159.00M,2.351B,912.00M,2.453B,,,-565.00M,404.00M
2016-12,414.00M,414.00M,514.00M,,514.00M,110.00M,3.00M,414.00M,,501.00M,,,120.00M,1.549B,,,,,,,2.887B,-1.983B,904.00M,1.19B,727.00M,1.917B,198.00M,3.019B,4.568B,878.00M,,0.00,878.00M,,878.00M,,,,,1.159B,,1.159B,,2.037B,1.39B,,1.39B,77.00M,77.00M,,,794.00M,2.261B,4.298B,159.00M,2.284B,895.00M,2.489B,,,-579.00M,270.00M
2016-09,408.00M,408.00M,494.00M,,494.00M,114.00M,3.00M,374.00M,,465.00M,,,49.00M,1.416B,,,,,,,2.861B,-1.944B,917.00M,1.196B,733.00M,1.929B,204.00M,3.05B,4.466B,874.00M,,30.00M,904.00M,,904.00M,,,,,618.00M,,618.00M,,1.522B,1.789B,,1.789B,83.00M,83.00M,,,783.00M,2.655B,4.177B,159.00M,2.238B,881.00M,2.422B,,,-567.00M,289.00M
2016-06,401.00M,401.00M,569.00M,,569.00M,111.00M,3.00M,361.00M,,443.00M,72.00M,,,1.485B,0.0,118.00M,524.00M,2.063B,,112.00M,2.817B,-1.911B,906.00M,1.197B,735.00M,1.932B,187.00M,3.025B,4.51B,490.00M,108.00M,0.00,598.00M,245.00M,843.00M,,522.00M,,1.00M,523.00M,,523.00M,,1.558B,1.789B,,1.789B,82.00M,82.00M,335.00M,,409.00M,2.655B,4.213B,159.00M,2.163B,868.00M,2.323B,,,-570.00M,297.00M
2016-03,414.00M,414.00M,530.00M,,530.00M,110.00M,2.00M,379.00M,,460.00M,,,186.00M,1.59B,,,,,,,2.794B,-1.907B,887.00M,1.059B,573.00M,1.632B,175.00M,2.694B,4.284B,436.00M,,0.00,436.00M,519.00M,955.00M,,,,,432.00M,,432.00M,,1.387B,1.796B,,1.796B,107.00M,107.00M,,,735.00M,2.638B,4.025B,159.00M,2.103B,846.00M,2.307B,,,-542.00M,259.00M
2015-12,390.00M,390.00M,474.00M,,474.00M,112.00M,3.00M,367.00M,,450.00M,,,176.00M,1.49B,,,,,,,2.752B,-1.874B,878.00M,1.051B,579.00M,1.63B,177.00M,2.685B,4.175B,366.00M,,0.00,366.00M,492.00M,858.00M,,,,,500.00M,,500.00M,,1.358B,1.796B,,1.796B,83.00M,83.00M,,,740.00M,2.619B,3.977B,159.00M,2.042B,823.00M,2.265B,,,-561.00M,198.00M
2015-09,383.00M,383.00M,472.00M,,472.00M,107.00M,2.00M,331.00M,,408.00M,,,147.00M,1.41B,,,,,,,2.739B,-1.854B,885.00M,1.052B,582.00M,1.634B,166.00M,2.685B,4.095B,419.00M,,37.00M,456.00M,464.00M,920.00M,,,,,431.00M,,431.00M,,1.351B,1.796B,,1.796B,88.00M,88.00M,293.00M,,414.00M,2.625B,3.976B,159.00M,1.993B,790.00M,2.282B,,,-541.00M,119.00M
2015-06,382.00M,382.00M,519.00M,,519.00M,101.00M,3.00M,316.00M,,385.00M,39.00M,99.00M,5.00M,1.429B,0.0,122.00M,515.00M,2.055B,,65.00M,2.757B,-1.839B,918.00M,1.067B,585.00M,1.652B,165.00M,2.735B,4.164B,431.00M,103.00M,31.00M,565.00M,256.00M,821.00M,,93.00M,,302.00M,395.00M,,395.00M,,1.405B,1.796B,,1.796B,95.00M,95.00M,299.00M,,413.00M,2.641B,4.046B,159.00M,1.923B,775.00M,2.237B,,,-502.00M,118.00M
2015-03,378.00M,378.00M,528.00M,,528.00M,103.00M,2.00M,370.00M,,440.00M,,,149.00M,1.495B,,,,,,,2.741B,-1.824B,917.00M,1.067B,587.00M,1.654B,162.00M,2.733B,4.228B,397.00M,,0.00,397.00M,533.00M,930.00M,,,,,370.00M,,370.00M,,1.30B,1.796B,,1.796B,97.00M,97.00M,281.00M,,412.00M,2.626B,3.926B,159.00M,1.832B,762.00M,1.97B,,,-481.00M,302.00M
2014-12,819.00M,819.00M,473.00M,,473.00M,109.00M,3.00M,369.00M,,446.00M,,,167.00M,1.905B,,,,,,,2.742B,-1.809B,933.00M,1.08B,592.00M,1.672B,164.00M,2.769B,4.674B,375.00M,,0.00,375.00M,492.00M,867.00M,,,,,877.00M,,877.00M,,1.744B,1.795B,,1.795B,81.00M,81.00M,286.00M,,408.00M,2.649B,4.393B,159.00M,1.757B,726.00M,1.908B,,,-453.00M,281.00M
2014-09,355.00M,355.00M,455.00M,,455.00M,105.00M,3.00M,324.00M,,397.00M,,,144.00M,1.351B,,,,,,,2.737B,-1.79B,947.00M,1.087B,599.00M,1.686B,166.00M,2.799B,4.15B,385.00M,,42.00M,427.00M,478.00M,905.00M,,,,,628.00M,,628.00M,,1.533B,1.596B,,1.596B,90.00M,90.00M,281.00M,,406.00M,2.448B,3.981B,159.00M,1.731B,702.00M,2.007B,,,-416.00M,169.00M
2014-06,329.00M,329.00M,546.00M,,546.00M,108.00M,2.00M,312.00M,,386.00M,42.00M,81.00M,11.00M,1.395B,0.0,122.00M,506.00M,2.046B,,79.00M,2.753B,-1.776B,977.00M,1.101B,611.00M,1.712B,174.00M,2.863B,4.258B,440.00M,100.00M,8.00M,548.00M,253.00M,801.00M,,141.00M,,577.00M,718.00M,,718.00M,17.00M,1.638B,1.595B,,1.595B,103.00M,103.00M,289.00M,,403.00M,2.466B,4.104B,159.00M,1.739B,709.00M,2.036B,,,-417.00M,154.00M
2014-03,364.00M,364.00M,551.00M,,551.00M,114.00M,2.00M,383.00M,,447.00M,,,158.00M,1.52B,,,,,,,2.74B,-1.77B,970.00M,1.096B,614.00M,1.71B,174.00M,2.854B,4.374B,388.00M,,0.00,388.00M,481.00M,869.00M,,,,,969.00M,,969.00M,,1.838B,1.595B,,1.595B,124.00M,124.00M,287.00M,,400.00M,2.483B,4.321B,159.00M,1.667B,699.00M,2.054B,,,-418.00M,53.00M
2013-12,341.00M,341.00M,499.00M,,499.00M,123.00M,3.00M,391.00M,,466.00M,,,194.00M,1.50B,,,,,,,2.742B,-1.75B,992.00M,1.10B,619.00M,1.719B,177.00M,2.888B,4.388B,359.00M,,0.00,359.00M,480.00M,839.00M,,,,,342.00M,,342.00M,,1.181B,2.17B,,2.17B,116.00M,116.00M,292.00M,,395.00M,3.051B,4.232B,159.00M,1.623B,693.00M,1.932B,,,-387.00M,156.00M
2013-09,323.00M,323.00M,506.00M,,506.00M,120.00M,3.00M,364.00M,,439.00M,,,152.00M,1.42B,,,,,,,2.727B,-1.72B,1.007B,1.108B,623.00M,1.731B,143.00M,2.881B,4.301B,374.00M,,42.00M,416.00M,468.00M,884.00M,,,,,286.00M,,286.00M,,1.17B,2.17B,,2.17B,118.00M,118.00M,287.00M,,399.00M,3.05B,4.22B,159.00M,1.603B,673.00M,1.986B,,,-368.00M,81.00M
2013-06,299.00M,299.00M,580.00M,,580.00M,121.00M,3.00M,321.00M,,394.00M,41.00M,87.00M,19.00M,1.42B,0.0,119.00M,485.00M,2.032B,,96.00M,2.732B,-1.711B,1.021B,1.105B,627.00M,1.732B,138.00M,2.891B,4.311B,413.00M,96.00M,29.00M,538.00M,239.00M,777.00M,,200.00M,,2.00M,202.00M,,202.00M,3.00M,1.134B,2.17B,,2.17B,119.00M,119.00M,270.00M,,398.00M,3.031B,4.165B,159.00M,1.561B,661.00M,1.868B,,,-367.00M,146.00M
2013-03,423.00M,423.00M,562.00M,,562.00M,122.00M,4.00M,382.00M,,454.00M,,,149.00M,1.588B,,,,,,,2.828B,-1.787B,1.041B,1.118B,633.00M,1.751B,143.00M,2.935B,4.523B,390.00M,,23.00M,413.00M,503.00M,916.00M,,,,,392.00M,,392.00M,,1.308B,2.169B,,2.169B,107.00M,107.00M,322.00M,,394.00M,3.063B,4.371B,159.00M,1.474B,655.00M,1.758B,,,-378.00M,152.00M
2012-12,445.00M,445.00M,511.00M,,511.00M,157.00M,5.00M,334.00M,,444.00M,,,152.00M,1.552B,,,,,,,2.83B,-1.779B,1.051B,1.119B,635.00M,1.754B,145.00M,2.95B,4.502B,365.00M,,10.00M,375.00M,493.00M,868.00M,,,,,505.00M,,505.00M,,1.373B,2.169B,,2.169B,116.00M,116.00M,325.00M,,395.00M,3.073B,4.446B,159.00M,1.43B,644.00M,1.801B,,,-376.00M,56.00M
2012-09,667.00M,667.00M,,,503.00M,123.00M,4.00M,347.00M,,421.00M,,,154.00M,1.745B,,,,,,,2.932B,-1.834B,1.098B,1.123B,639.00M,1.762B,142.00M,3.002B,4.747B,388.00M,,27.00M,415.00M,458.00M,873.00M,2.00M,,,850.00M,852.00M,,852.00M,,1.725B,2.169B,,2.169B,135.00M,135.00M,324.00M,,346.00M,3.042B,4.767B,159.00M,1.395B,631.00M,1.836B,,,-369.00M,-20.00M
2012-06,267.00M,267.00M,576.00M,,576.00M,120.00M,4.00M,307.00M,,384.00M,43.00M,92.00M,14.00M,1.376B,0.0,142.00M,646.00M,1.948B,,149.00M,2.885B,-1.804B,1.081B,1.112B,642.00M,1.754B,144.00M,2.979B,4.355B,412.00M,85.00M,5.00M,502.00M,244.00M,746.00M,,289.00M,,861.00M,1.15B,,1.15B,,2.061B,1.571B,,1.571B,119.00M,119.00M,312.00M,,345.00M,2.429B,4.49B,159.00M,1.35B,633.00M,1.881B,,,-396.00M,-135.00M
2012-03,303.00M,303.00M,,,557.00M,120.00M,4.00M,381.00M,,454.00M,,,128.00M,1.442B,,,,,,,2.859B,-1.82B,1.039B,1.12B,648.00M,1.768B,137.00M,2.944B,4.386B,364.00M,,15.00M,379.00M,472.00M,851.00M,430.00M,,,850.00M,1.28B,,1.28B,,2.131B,1.57B,,1.57B,157.00M,157.00M,,,634.00M,2.361B,4.492B,159.00M,1.263B,624.00M,1.848B,,,-304.00M,-106.00M
2011-12,297.00M,297.00M,,,489.00M,121.00M,3.00M,377.00M,,451.00M,,,111.00M,1.348B,,,,,,,,,1.041B,1.093B,669.00M,1.762B,139.00M,2.942B,4.29B,345.00M,,28.00M,373.00M,438.00M,811.00M,476.00M,,,350.00M,826.00M,,826.00M,,1.637B,2.07B,,2.07B,141.00M,141.00M,,,641.00M,2.852B,4.489B,159.00M,1.21B,616.00M,1.861B,,,-323.00M,-199.00M
2011-09,270.00M,270.00M,,,439.00M,117.00M,3.00M,337.00M,,407.00M,,,122.00M,1.238B,,,,,,,,,1.028B,1.053B,626.00M,1.679B,132.00M,2.839B,4.077B,357.00M,,37.00M,394.00M,434.00M,828.00M,440.00M,,,,440.00M,,440.00M,,1.268B,2.122B,,2.122B,137.00M,137.00M,,,626.00M,2.885B,4.153B,159.00M,1.185B,611.00M,1.717B,,,-314.00M,-76.00M
2011-06,259.00M,259.00M,,,525.00M,104.00M,3.00M,315.00M,,382.00M,,,113.00M,1.279B,0.0,137.00M,615.00M,1.992B,,130.00M,2.874B,-1.835B,1.039B,1.07B,633.00M,1.703B,142.00M,2.884B,4.163B,423.00M,,41.00M,464.00M,442.00M,906.00M,,456.00M,,3.00M,459.00M,,459.00M,,1.365B,2.125B,,2.125B,140.00M,140.00M,215.00M,,315.00M,2.884B,4.249B,159.00M,1.143B,632.00M,1.77B,,,-250.00M,-86.00M
2011-03,153.00M,153.00M,,,499.00M,110.00M,4.00M,363.00M,,435.00M,,,117.00M,1.204B,,,,,,,,,1.006B,1.066B,636.00M,1.702B,139.00M,2.847B,4.051B,360.00M,,77.00M,437.00M,452.00M,889.00M,343.00M,,,,343.00M,,343.00M,,1.232B,2.125B,,2.125B,61.00M,61.00M,,,715.00M,2.901B,4.133B,159.00M,1.059B,623.00M,1.616B,,,-307.00M,-82.00M
2010-12,379.00M,379.00M,,,440.00M,112.00M,4.00M,335.00M,,412.00M,,,113.00M,1.344B,,,,,,,,,973.00M,1.063B,641.00M,1.704B,137.00M,2.814B,4.158B,326.00M,,104.00M,430.00M,443.00M,873.00M,3.00M,,,300.00M,303.00M,,303.00M,,1.176B,2.125B,,2.125B,29.00M,29.00M,,,704.00M,2.858B,4.034B,159.00M,994.00M,610.00M,1.321B,,,-318.00M,124.00M
2010-09,286.00M,286.00M,,,480.00M,103.00M,4.00M,301.00M,,370.00M,,,585.00M,1.721B,,,,,,,,,965.00M,1.317B,645.00M,1.962B,145.00M,3.072B,4.793B,379.00M,,87.00M,466.00M,425.00M,891.00M,506.00M,,,300.00M,806.00M,,806.00M,,1.697B,2.124B,,2.124B,24.00M,24.00M,,,669.00M,2.817B,4.514B,159.00M,1.053B,608.00M,1.204B,,,-337.00M,279.00M
2010-06,87.00M,87.00M,,,540.00M,92.00M,4.00M,274.00M,,332.00M,,,125.00M,1.489B,0.0,126.00M,569.00M,1.868B,,165.00M,2.728B,-1.762B,966.00M,1.303B,646.00M,1.949B,144.00M,3.059B,4.548B,409.00M,,74.00M,483.00M,491.00M,974.00M,,369.00M,,302.00M,671.00M,,671.00M,,1.645B,2.124B,,2.124B,19.00M,19.00M,,,677.00M,2.82B,4.465B,159.00M,920.00M,617.00M,1.242B,,,-371.00M,83.00M
2010-03,241.00M,241.00M,,,556.00M,100.00M,4.00M,360.00M,,423.00M,,,118.00M,1.338B,,,,,,,,,935.00M,1.658B,665.00M,2.323B,147.00M,3.405B,4.743B,342.00M,,66.00M,408.00M,478.00M,886.00M,586.00M,,,300.00M,886.00M,,886.00M,,1.772B,2.132B,,2.132B,49.00M,49.00M,,,610.00M,2.791B,4.563B,159.00M,838.00M,599.00M,1.109B,,,-307.00M,180.00M
2009-12,154.00M,154.00M,,,423.00M,103.00M,5.00M,342.00M,,409.00M,,,117.00M,1.103B,,,,,,,,,937.00M,1.646B,657.00M,2.303B,146.00M,3.386B,4.489B,301.00M,,35.00M,336.00M,436.00M,772.00M,25.00M,,,575.00M,600.00M,,600.00M,,1.372B,2.435B,,2.435B,29.00M,29.00M,,,626.00M,3.09B,4.462B,159.00M,753.00M,576.00M,1.144B,,,-317.00M,27.00M
2009-09,237.00M,237.00M,,,458.00M,104.00M,4.00M,326.00M,,392.00M,,,114.00M,1.201B,,,,,,,,,947.00M,1.64B,659.00M,2.299B,151.00M,3.397B,4.598B,330.00M,,99.00M,429.00M,405.00M,834.00M,457.00M,,,575.00M,1.032B,,1.032B,,1.866B,2.137B,,2.137B,25.00M,25.00M,,,617.00M,2.779B,4.645B,159.00M,720.00M,564.00M,1.169B,,,-321.00M,-47.00M
2009-06,206.00M,206.00M,,,486.00M,99.00M,4.00M,304.00M,,366.00M,,,122.00M,1.18B,0.0,127.00M,568.00M,1.524B,289.00M,146.00M,2.654B,-1.699B,955.00M,1.63B,662.00M,2.292B,149.00M,3.396B,4.576B,381.00M,,86.00M,467.00M,472.00M,939.00M,,,,,998.00M,,998.00M,,1.937B,2.151B,,2.151B,23.00M,23.00M,,,640.00M,2.814B,4.751B,159.00M,640.00M,579.00M,1.206B,,,-347.00M,-175.00M
2009-03,117.00M,117.00M,,,457.00M,95.00M,3.00M,355.00M,,406.00M,,,132.00M,1.112B,,,,,,,,,931.00M,1.609B,663.00M,2.272B,150.00M,3.353B,4.465B,333.00M,,65.00M,398.00M,460.00M,858.00M,543.00M,,,577.00M,1.12B,,1.12B,,1.978B,2.141B,,2.141B,74.00M,74.00M,,,581.00M,2.796B,4.774B,159.00M,542.00M,560.00M,1.211B,,,-359.00M,-309.00M
2008-12,97.00M,97.00M,409.00M,,409.00M,101.00M,3.00M,351.00M,,405.00M,,,130.00M,1.041B,,,,,,,2.563B,-1.634B,929.00M,1.611B,667.00M,2.278B,150.00M,3.357B,4.398B,330.00M,,,330.00M,430.00M,760.00M,637.00M,,,1.00M,638.00M,,638.00M,32.00M,1.43B,2.718B,,2.718B,66.00M,66.00M,,,587.00M,3.371B,4.801B,159.00M,457.00M,548.00M,1.214B,,,-353.00M,-403.00M
2008-09,184.00M,184.00M,455.00M,,455.00M,103.00M,3.00M,363.00M,,421.00M,,,106.00M,1.166B,,,,,,,2.576B,-1.634B,942.00M,1.643B,676.00M,2.319B,160.00M,3.421B,4.587B,392.00M,,,392.00M,367.00M,759.00M,727.00M,,,1.00M,728.00M,,728.00M,75.00M,1.562B,2.719B,,2.719B,75.00M,75.00M,,,595.00M,3.389B,4.951B,159.00M,440.00M,527.00M,1.232B,,,-258.00M,-364.00M
2008-06,214.00M,214.00M,,,505.00M,94.00M,4.00M,320.00M,,384.00M,,,150.00M,1.253B,0.0,123.00M,553.00M,1.436B,373.00M,109.00M,2.594B,-1.634B,960.00M,1.658B,683.00M,2.341B,158.00M,3.459B,4.712B,418.00M,,52.00M,470.00M,440.00M,910.00M,755.00M,,,,755.00M,,755.00M,,1.665B,2.72B,,2.72B,65.00M,65.00M,,,632.00M,3.417B,5.082B,159.00M,386.00M,534.00M,1.27B,,,-179.00M,-370.00M
2008-03,282.00M,282.00M,456.00M,,456.00M,95.00M,5.00M,355.00M,,423.00M,,,108.00M,1.269B,,,,,,,2.395B,-1.452B,943.00M,1.664B,688.00M,2.352B,186.00M,3.481B,4.75B,340.00M,,,340.00M,406.00M,746.00M,959.00M,,,,959.00M,,959.00M,70.00M,1.775B,2.721B,,2.721B,130.00M,130.00M,,,596.00M,3.447B,5.222B,159.00M,295.00M,518.00M,1.282B,,,-162.00M,-472.00M
2007-12,280.00M,280.00M,397.00M,,397.00M,96.00M,5.00M,351.00M,,421.00M,,,117.00M,1.215B,,,,,,,2.419B,-1.452B,967.00M,1.425B,1.059B,2.484B,187.00M,3.638B,4.853B,312.00M,,,312.00M,389.00M,701.00M,1.54B,,,,1.54B,,1.54B,90.00M,2.331B,2.223B,,2.223B,257.00M,257.00M,,,596.00M,3.076B,5.407B,159.00M,248.00M,506.00M,1.289B,,,-178.00M,-554.00M
2007-09,209.00M,209.00M,408.00M,,408.00M,86.00M,4.00M,271.00M,,332.00M,,,115.00M,1.064B,,,,,,,2.418B,-1.452B,966.00M,869.00M,585.00M,1.454B,189.00M,2.609B,3.673B,318.00M,,,318.00M,347.00M,665.00M,872.00M,,,500.00M,1.372B,,1.372B,116.00M,2.153B,1.477B,,1.477B,88.00M,88.00M,,,592.00M,2.157B,4.31B,159.00M,219.00M,491.00M,1.309B,,,-197.00M,-637.00M
