,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.371B,1.371B,757.00M,614.00M,219.00M,219.00M,156.00M,107.00M,,-107.00M,,219.00M,395.00M,,107.00M,-107.00M,221.00M,-107.00M,509.00M,76.00M,433.00M,,,,433.00M,37.00M,616.00M,,2018-03,1.30,0.7316,1.30,,2018-03,1.27,0.715,1.27,,340.00M,0.36,,2018-03,AOR,Restated
2017-12,1.577B,1.577B,807.00M,770.00M,300.00M,300.00M,749.00M,120.00M,,-120.00M,,300.00M,470.00M,,120.00M,-120.00M,742.00M,-120.00M,1.092B,656.00M,436.00M,,,,436.00M,58.00M,1.212B,,2017-12,1.29,-0.0425,1.29,,2017-12,1.26,-0.0302,1.26,,346.00M,0.30,,2017-12,AOR,Restated
2017-09,1.436B,1.436B,778.00M,658.00M,215.00M,215.00M,201.00M,110.00M,,-110.00M,,215.00M,443.00M,,110.00M,-110.00M,191.00M,-110.00M,524.00M,106.00M,418.00M,,,,418.00M,60.00M,634.00M,,2017-09,1.21,0.7428,1.21,,2017-09,1.18,0.7234,1.18,,353.00M,0.30,,2017-09,AOR,Restated
2017-06,1.448B,1.448B,802.00M,646.00M,247.00M,247.00M,19.00M,105.00M,,-105.00M,,247.00M,399.00M,,105.00M,-105.00M,17.00M,-105.00M,311.00M,105.00M,206.00M,,,,206.00M,65.00M,416.00M,,2017-06,0.59,0.5522,0.59,,2017-06,0.58,0.5430,0.58,,358.00M,0.30,,2017-06,AOR,Restated
2017-03,1.417B,1.417B,804.00M,613.00M,237.00M,237.00M,111.00M,110.00M,,-110.00M,,237.00M,376.00M,,110.00M,-110.00M,81.00M,-110.00M,347.00M,67.00M,280.00M,,,,280.00M,70.00M,457.00M,,2017-03,0.78,0.5271,0.78,,2017-03,0.77,0.522,0.77,,364.00M,0.30,,2017-03,AOR,Restated
2016-12,1.886B,1.886B,1.07B,816.00M,362.00M,362.00M,74.00M,116.00M,,-116.00M,,362.00M,454.00M,,116.00M,-116.00M,34.00M,-116.00M,372.00M,64.00M,308.00M,-5.00M,,,303.00M,86.00M,488.00M,,2016-12,0.84,0.6717,0.83,,2016-12,0.83,0.6644,0.82,,370.00M,0.51,,2016-12,AOR,Restated
2016-09,1.518B,1.518B,871.00M,647.00M,270.00M,270.00M,20.00M,98.00M,,-98.00M,,270.00M,377.00M,,98.00M,-98.00M,22.00M,-98.00M,301.00M,83.00M,218.00M,422.00M,,,640.00M,77.00M,399.00M,,2016-09,0.56,0.5226,1.65,,2016-09,0.55,0.5133,1.62,,395.00M,0.46,,2016-09,AOR,Restated
2016-06,1.509B,1.509B,893.00M,616.00M,254.00M,254.00M,47.00M,51.00M,,-51.00M,,254.00M,362.00M,,51.00M,-51.00M,53.00M,-51.00M,364.00M,98.00M,266.00M,70.00M,,,336.00M,74.00M,415.00M,,2016-06,0.65,0.5659,0.82,,2016-06,0.64,0.5573,0.81,,415.00M,0.46,,2016-06,AOR,Restated
2016-03,1.443B,1.443B,856.00M,587.00M,243.00M,243.00M,-2.00M,42.00M,,-42.00M,,243.00M,344.00M,,42.00M,-42.00M,6.00M,-42.00M,308.00M,82.00M,226.00M,138.00M,,,364.00M,73.00M,350.00M,,2016-03,0.55,0.5535,0.88,,2016-03,0.54,0.5435,0.87,,421.00M,0.46,,2016-03,AOR,Restated
2015-12,-2.736B,-2.736B,-2.753B,17.00M,82.00M,82.00M,51.00M,42.00M,,-42.00M,,82.00M,-65.00M,,42.00M,-42.00M,-21.00M,-42.00M,-128.00M,-31.00M,-97.00M,,,,265.00M,-186.00M,-86.00M,,2015-12,0.64,0.5517,0.64,,2015-12,0.63,0.5433,0.63,,437.00M,0.46,,2015-12,AOR,Restated
2015-09,3.427B,3.427B,2.494B,933.00M,328.00M,328.00M,-5.00M,32.00M,,-32.00M,,328.00M,605.00M,,32.00M,-32.00M,-2.00M,-32.00M,571.00M,145.00M,426.00M,,,-5.00M,421.00M,179.00M,603.00M,,2015-09,0.97,0.9991,0.97,,2015-09,0.95,0.9786,0.95,,444.00M,0.41,,2015-09,AOR,Restated
2015-06,3.105B,3.105B,2.295B,810.00M,353.00M,353.00M,-92.00M,33.00M,,-33.00M,,353.00M,457.00M,,33.00M,-33.00M,-86.00M,-33.00M,338.00M,102.00M,236.00M,,,-1.00M,235.00M,187.00M,371.00M,,2015-06,0.54,0.6881,0.54,,2015-06,0.53,0.6755,0.53,,445.00M,0.41,,2015-06,AOR,Restated
2015-03,2.622B,2.622B,1.831B,791.00M,295.00M,295.00M,7.00M,34.00M,,-34.00M,,295.00M,496.00M,,34.00M,-34.00M,10.00M,-34.00M,472.00M,111.00M,361.00M,,,1.00M,362.00M,139.00M,506.00M,,2015-03,0.83,0.8283,0.83,,2015-03,0.81,0.8083,0.81,,446.00M,0.41,,2015-03,AOR,Restated
2014-12,-2.695B,-2.695B,-2.723B,28.00M,82.00M,82.00M,1.00M,53.00M,,-53.00M,,82.00M,-54.00M,,53.00M,-53.00M,-29.00M,-53.00M,-136.00M,-2.00M,-134.00M,,,,-86.00M,-173.00M,-83.00M,,2014-12,-0.20,-0.2045,-0.20,,2014-12,-0.20,-0.2044,-0.20,,447.00M,0.41,,2014-12,AOR,Restated
2014-09,3.354B,3.354B,2.504B,850.00M,323.00M,323.00M,14.00M,28.00M,,-28.00M,,323.00M,527.00M,,28.00M,-28.00M,23.00M,-28.00M,522.00M,119.00M,403.00M,,,1.00M,404.00M,181.00M,550.00M,,2014-09,0.91,0.8856,0.91,,2014-09,0.89,0.8661,0.89,,452.00M,0.37,,2014-09,AOR,Restated
2014-06,3.204B,3.204B,2.364B,840.00M,352.00M,352.00M,-17.00M,29.00M,,-29.00M,,352.00M,488.00M,,29.00M,-29.00M,-9.00M,-29.00M,450.00M,112.00M,338.00M,,,-4.00M,334.00M,180.00M,479.00M,,2014-06,0.75,0.7803,0.75,,2014-06,0.73,0.7597,0.73,,455.00M,0.37,,2014-06,AOR,Restated
2014-03,2.724B,2.724B,1.884B,840.00M,271.00M,271.00M,0.00,33.00M,,-33.00M,,271.00M,569.00M,,33.00M,-33.00M,2.00M,-33.00M,538.00M,139.00M,399.00M,,,0.00,399.00M,140.00M,571.00M,,2014-03,0.89,0.9082,0.89,,2014-03,0.87,0.8879,0.87,,456.00M,0.37,,2014-03,AOR,Restated
2013-12,4.179B,4.179B,3.131B,1.048B,479.00M,479.00M,3.00M,153.00M,,-153.00M,,479.00M,569.00M,,153.00M,-153.00M,2.00M,-153.00M,418.00M,103.00M,315.00M,,,6.00M,321.00M,248.00M,571.00M,,2013-12,0.71,0.7050,0.71,,2013-12,0.70,0.6950,0.70,,455.00M,0.37,,2013-12,AOR,Restated
2013-09,3.466B,3.466B,2.534B,932.00M,327.00M,327.00M,-268.00M,31.00M,,-31.00M,,327.00M,605.00M,,31.00M,-31.00M,-255.00M,-31.00M,319.00M,182.00M,137.00M,,,15.00M,152.00M,173.00M,350.00M,,2013-09,0.34,0.7263,0.34,,2013-09,0.33,0.7079,0.33,,461.00M,0.335,,2013-09,AOR,Restated
2013-06,2.904B,2.904B,2.198B,706.00M,333.00M,333.00M,26.00M,32.00M,,-32.00M,,333.00M,373.00M,,32.00M,-32.00M,17.00M,-32.00M,358.00M,82.00M,276.00M,,,5.00M,281.00M,170.00M,390.00M,,2013-06,0.62,0.5859,0.62,,2013-06,0.61,0.5767,0.61,,464.00M,0.335,,2013-06,AOR,Restated
2013-03,2.535B,2.535B,1.796B,739.00M,273.00M,273.00M,13.00M,31.00M,,-31.00M,,273.00M,466.00M,,31.00M,-31.00M,21.00M,-31.00M,456.00M,120.00M,336.00M,,,1.00M,337.00M,130.00M,487.00M,,2013-03,0.74,0.7174,0.74,,2013-03,0.72,0.6978,0.72,,465.00M,0.335,,2013-03,AOR,Restated
2012-12,4.153B,4.153B,3.115B,1.038B,560.00M,560.00M,9.00M,31.00M,,-42.00M,,560.00M,478.00M,,31.00M,-42.00M,27.00M,-42.00M,463.00M,127.00M,336.00M,,,1.00M,337.00M,223.00M,494.00M,,2012-12,0.74,0.7113,0.74,,2012-12,0.72,0.6918,0.72,,464.00M,0.335,,2012-12,AOR,Restated
2012-09,3.569B,3.569B,2.575B,994.00M,332.00M,332.00M,-2.00M,36.00M,4.00M,-32.00M,,332.00M,662.00M,4.00M,36.00M,-32.00M,9.00M,-32.00M,639.00M,161.00M,478.00M,,,-7.00M,471.00M,157.00M,675.00M,,2012-09,1.02,1.031,1.02,,2012-09,1.00,1.011,1.00,,472.00M,0.285,,2012-09,AOR,Restated
2012-06,3.168B,3.168B,2.365B,803.00M,346.00M,346.00M,9.00M,42.00M,4.00M,-38.00M,,346.00M,457.00M,4.00M,42.00M,-38.00M,16.00M,-38.00M,435.00M,102.00M,333.00M,,,-2.00M,331.00M,158.00M,477.00M,,2012-06,0.71,0.6985,0.71,,2012-06,0.69,0.6788,0.69,,477.00M,0.285,,2012-06,AOR,Restated
2012-03,2.743B,2.743B,1.93B,813.00M,272.00M,272.00M,99.00M,40.00M,3.00M,-37.00M,,272.00M,541.00M,3.00M,40.00M,-37.00M,104.00M,-37.00M,608.00M,147.00M,461.00M,,,-3.00M,458.00M,127.00M,648.00M,,2012-03,0.99,0.8415,0.99,,2012-03,0.96,0.8155,0.96,,478.00M,0.285,,2012-03,AOR,Restated
2011-12,4.111B,4.111B,3.085B,1.026B,499.00M,499.00M,-25.00M,55.00M,9.00M,-46.00M,,499.00M,527.00M,9.00M,55.00M,-46.00M,-20.00M,-46.00M,461.00M,104.00M,357.00M,,,-1.00M,356.00M,211.00M,516.00M,,2011-12,0.76,0.8052,0.76,,2011-12,0.75,0.7940,0.75,,475.00M,0.285,,2011-12,AOR,Restated
2011-09,3.274B,3.274B,2.401B,873.00M,310.00M,310.00M,-91.00M,40.00M,8.00M,-32.00M,,310.00M,563.00M,8.00M,40.00M,-32.00M,-75.00M,-32.00M,456.00M,67.00M,389.00M,,,-6.00M,383.00M,157.00M,496.00M,,2011-09,0.82,0.9801,0.82,,2011-09,0.80,0.9561,0.80,,481.00M,0.25,,2011-09,AOR,Restated
2011-06,2.816B,2.816B,2.078B,738.00M,308.00M,308.00M,-24.00M,41.00M,6.00M,-35.00M,,308.00M,430.00M,6.00M,41.00M,-35.00M,-11.00M,-35.00M,384.00M,62.00M,322.00M,,,-6.00M,316.00M,146.00M,425.00M,,2011-06,0.67,0.7092,0.67,,2011-06,0.65,0.6881,0.65,,484.00M,0.25,,2011-06,AOR,Restated
2011-03,2.425B,2.425B,1.721B,704.00M,,255.00M,-48.00M,48.00M,5.00M,-43.00M,,255.00M,449.00M,5.00M,48.00M,-43.00M,-48.00M,-43.00M,358.00M,91.00M,267.00M,,,-3.00M,264.00M,123.00M,406.00M,,2011-03,0.56,0.6357,0.56,,2011-03,0.54,0.6137,0.54,,486.00M,0.25,,2011-03,AOR,Restated
2010-12,3.562B,3.562B,2.632B,930.00M,464.00M,464.00M,-38.00M,62.00M,8.00M,-54.00M,,464.00M,466.00M,8.00M,62.00M,-54.00M,-26.00M,-54.00M,386.00M,109.00M,277.00M,,,-3.00M,274.00M,206.00M,448.00M,,2010-12,0.57,0.6212,0.57,,2010-12,0.56,0.6099,0.56,,489.00M,0.25,,2010-12,AOR,Restated
2010-09,2.862B,2.862B,2.041B,821.00M,285.00M,285.00M,-3.00M,44.00M,6.00M,-38.00M,,285.00M,536.00M,6.00M,44.00M,-38.00M,8.00M,-38.00M,506.00M,139.00M,367.00M,,,-10.00M,357.00M,127.00M,550.00M,,2010-09,0.76,0.7692,0.76,,2010-09,0.74,0.7490,0.74,,484.00M,0.21,,2010-09,AOR,Restated
2010-06,2.574B,2.574B,1.878B,696.00M,283.00M,283.00M,-2.00M,45.00M,3.00M,-42.00M,,283.00M,413.00M,3.00M,45.00M,-42.00M,8.00M,-42.00M,379.00M,90.00M,289.00M,,,-3.00M,286.00M,137.00M,424.00M,,2010-06,0.61,0.61,0.61,,2010-06,0.59,0.59,0.59,,485.00M,0.21,,2010-06,AOR,Restated
2010-03,2.345B,2.345B,1.656B,689.00M,,268.00M,-67.00M,44.00M,3.00M,-41.00M,-10.00M,258.00M,431.00M,3.00M,44.00M,-41.00M,-67.00M,-41.00M,323.00M,78.00M,245.00M,,,-4.00M,241.00M,119.00M,367.00M,,2010-03,0.51,0.6172,0.51,,2010-03,0.50,0.6048,0.50,,485.00M,0.21,,2010-03,AOR,Restated
2009-12,3.365B,3.365B,2.533B,832.00M,,409.00M,-19.00M,63.00M,7.00M,-56.00M,,409.00M,423.00M,7.00M,63.00M,-56.00M,-48.00M,-56.00M,319.00M,101.00M,218.00M,,,-2.00M,216.00M,195.00M,382.00M,,2009-12,0.46,0.4872,0.46,,2009-12,0.45,0.4767,0.45,,486.00M,0.21,,2009-12,AOR,Restated
2009-09,2.778B,2.778B,2.036B,742.00M,276.00M,276.00M,-9.00M,46.00M,4.00M,-42.00M,,276.00M,466.00M,4.00M,46.00M,-42.00M,4.00M,-42.00M,428.00M,88.00M,340.00M,,,-6.00M,334.00M,139.00M,474.00M,,2009-09,0.71,0.7235,0.71,,2009-09,0.69,0.7031,0.69,,485.00M,0.19,,2009-09,AOR,Restated
2009-06,2.476B,2.476B,1.853B,623.00M,281.00M,281.00M,45.00M,47.00M,4.00M,-43.00M,,281.00M,342.00M,4.00M,47.00M,-43.00M,52.00M,-43.00M,351.00M,45.00M,306.00M,,,-3.00M,303.00M,129.00M,398.00M,,2009-06,0.65,0.5665,0.65,,2009-06,0.63,0.5488,0.63,,483.00M,0.19,,2009-06,AOR,Restated
2009-03,2.217B,2.217B,1.63B,587.00M,,255.00M,-4.00M,57.00M,4.00M,-53.00M,-23.00M,232.00M,355.00M,4.00M,57.00M,-53.00M,-4.00M,-53.00M,298.00M,79.00M,219.00M,,,-1.00M,218.00M,117.00M,355.00M,,2009-03,0.47,0.4763,0.47,,2009-03,0.46,0.4661,0.46,,479.00M,0.19,,2009-03,AOR,Restated
2008-12,3.39B,3.39B,2.579B,811.00M,,487.00M,,82.00M,8.00M,-74.00M,-30.00M,457.00M,354.00M,8.00M,82.00M,-74.00M,,-74.00M,289.00M,83.00M,206.00M,,,-2.00M,204.00M,167.00M,371.00M,,2008-12,0.44,0.44,0.44,,2008-12,0.43,0.43,0.43,,476.00M,0.19,,2008-12,AOR,Restated
2008-09,2.842B,2.842B,2.149B,693.00M,,305.00M,-3.00M,53.00M,6.00M,-47.00M,-26.00M,279.00M,414.00M,6.00M,53.00M,-47.00M,-3.00M,-47.00M,364.00M,79.00M,285.00M,,,-3.00M,282.00M,139.00M,417.00M,,2008-09,0.60,0.6050,0.60,,2008-09,0.58,0.5848,0.58,,487.00M,0.19,,2008-09,,Restated
2008-06,2.659B,2.659B,2.012B,647.00M,,336.00M,-8.00M,59.00M,7.00M,-52.00M,-14.00M,322.00M,325.00M,7.00M,59.00M,-52.00M,-8.00M,-52.00M,265.00M,40.00M,225.00M,,,-1.00M,224.00M,130.00M,324.00M,,2008-06,0.47,0.4842,0.47,,2008-06,0.45,0.4636,0.45,,497.78M,0.15,,2008-06,,Restated
2008-03,2.413B,2.413B,1.786B,627.00M,,295.00M,2.00M,59.00M,6.00M,-53.00M,-92.00M,203.00M,424.00M,6.00M,59.00M,-53.00M,2.00M,-53.00M,373.00M,117.00M,256.00M,,,-2.00M,254.00M,120.00M,432.00M,,2008-03,0.52,0.5172,0.52,,2008-03,0.50,0.4973,0.50,,504.00M,0.15,,2008-03,,Restated
2007-12,3.262B,3.262B,2.506B,756.00M,,433.00M,-10.00M,,,,-19.00M,414.00M,342.00M,,,,7.00M,,276.00M,45.00M,231.00M,,,,231.00M,180.00M,342.00M,,2007-12,0.46,0.4768,0.46,,2007-12,0.44,0.4560,0.44,,523.68M,0.15,,2007-12,,
2007-09,2.564B,2.564B,1.89B,674.00M,,294.00M,1.00M,,,,-20.00M,274.00M,400.00M,,,,20.00M,,363.00M,93.00M,270.00M,,,,270.00M,129.00M,400.00M,,2007-09,0.52,0.5186,0.52,,2007-09,0.50,0.4986,0.50,,540.00M,0.15,,2007-09,,
2007-06,2.367B,2.367B,1.773B,594.00M,,287.00M,3.00M,,,,-12.00M,275.00M,319.00M,,,,3.00M,,272.00M,58.00M,214.00M,,,,214.00M,121.00M,319.00M,,2007-06,0.41,0.4055,0.41,,2007-06,0.39,0.3857,0.39,,548.72M,0.15,,2007-06,,
2007-03,2.223B,2.223B,1.14B,1.083B,,784.00M,17.00M,,,,-21.00M,763.00M,320.00M,,,,17.00M,,280.00M,86.00M,194.00M,,,,194.00M,112.00M,320.00M,,2007-03,0.36,0.3379,0.36,,2007-03,0.35,0.3286,0.35,,551.00M,0.075,,2007-03,,
2006-12,3.016B,3.016B,2.28B,736.00M,,409.00M,39.00M,,,,-36.00M,373.00M,363.00M,,,,2.00M,,280.00M,48.00M,232.00M,,,,232.00M,160.00M,363.00M,,2006-12,0.42,0.3616,0.42,,2006-12,0.41,0.3529,0.41,,566.11M,0.075,,2006-12,,
2006-09,2.278B,2.278B,1.668B,610.00M,,282.00M,0.00,,,,-17.00M,265.00M,345.00M,,,,16.00M,,310.00M,80.00M,230.00M,,,,230.00M,109.00M,345.00M,,2006-09,0.43,0.43,0.43,,2006-09,0.42,0.42,0.42,,547.62M,0.075,,2006-09,,
2006-06,2.182B,2.182B,1.119B,1.063B,,765.00M,9.00M,,,,-27.00M,738.00M,325.00M,,,,9.00M,,271.00M,79.00M,192.00M,,,,192.00M,111.00M,325.00M,,2006-06,0.35,0.3384,0.35,,2006-06,0.34,0.3287,0.34,,564.71M,0.0575,,2006-06,,
2006-03,2.085B,2.085B,1.058B,1.027B,,739.00M,-6.00M,,,,,739.00M,288.00M,,,,-6.00M,,247.00M,77.00M,170.00M,,,,170.00M,99.00M,288.00M,,2006-03,0.31,0.3175,0.31,,2006-03,0.295,0.3022,0.295,,572.00M,0.0575,,2006-03,,
2005-12,2.899B,2.899B,3.695B,-796.00M,,-1.091B,38.00M,,,,5.00M,-1.086B,290.00M,,,,38.00M,,292.00M,66.00M,226.00M,,,,226.00M,150.00M,290.00M,,2005-12,0.40,0.3474,0.40,,2005-12,0.385,0.3341,0.385,,577.26M,0.0575,,2005-12,,
2005-09,2.243B,2.243B,1.18B,1.063B,,777.00M,22.00M,,,,-39.00M,738.00M,325.00M,,,,22.00M,,280.00M,75.00M,205.00M,,,,205.00M,111.00M,325.00M,,2005-09,0.36,0.3317,0.36,,2005-09,0.345,0.3179,0.345,,594.20M,0.0575,,2005-09,,
2005-06,2.153B,2.153B,1.64B,513.00M,,273.00M,21.00M,,,,-38.00M,235.00M,278.00M,,,,21.00M,,231.00M,53.00M,178.00M,,,,178.00M,111.00M,278.00M,,2005-06,0.31,0.2818,0.31,,2005-06,0.295,0.2682,0.295,,603.39M,0.05,,2005-06,,
2005-03,2.054B,2.054B,1.559B,495.00M,,247.00M,3.00M,,,,-14.00M,233.00M,262.00M,,,,3.00M,,223.00M,70.00M,153.00M,,,,153.00M,97.00M,262.00M,,2005-03,0.26,0.2565,0.26,,2005-03,0.25,0.2466,0.25,,608.00M,0.05,,2005-03,,
2004-12,2.785B,2.785B,2.14B,645.00M,,335.00M,-18.00M,,,,-36.00M,299.00M,346.00M,,,,36.00M,,313.00M,78.00M,235.00M,,,,235.00M,146.00M,346.00M,,2004-12,0.40,0.4230,0.40,,2004-12,0.38,0.4020,0.38,,614.70M,0.05,,2004-12,,
2004-09,2.179B,2.179B,1.651B,528.00M,,250.00M,13.00M,,,,-13.00M,237.00M,291.00M,,,,13.00M,,262.00M,77.00M,185.00M,,,,185.00M,107.00M,291.00M,,2004-09,0.32,0.3041,0.32,,2004-09,0.305,0.2899,0.305,,606.56M,0.05,,2004-09,,
2004-06,2.077B,2.077B,1.083B,994.00M,,743.00M,24.00M,,,,-24.00M,719.00M,275.00M,,,,24.00M,,243.00M,65.00M,178.00M,,,,178.00M,100.00M,275.00M,,2004-06,0.305,0.2749,0.305,,2004-06,0.29,0.2614,0.29,,613.79M,,,2004-06,,
2004-03,1.97B,1.97B,1.011B,959.00M,,728.00M,12.00M,,,,-12.00M,716.00M,243.00M,,,,12.00M,,208.00M,66.00M,142.00M,,,,142.00M,95.00M,243.00M,,2004-03,0.245,0.2309,0.245,,2004-03,0.235,0.2216,0.235,,610.00M,,,2004-03,,
2003-12,2.653B,2.653B,1.40B,1.253B,,966.00M,66.00M,,,,-66.00M,900.00M,353.00M,,,,66.00M,,303.00M,89.00M,214.00M,,0.00,,214.00M,128.00M,353.00M,,2003-12,0.365,0.2863,0.365,,2003-12,0.35,0.2740,0.35,,613.56M,,,2003-12,,
2003-09,1.989B,1.989B,1.025B,964.00M,,692.00M,-3.00M,,,,3.00M,695.00M,269.00M,,,,-3.00M,,230.00M,66.00M,164.00M,,,,164.00M,92.00M,269.00M,,2003-09,0.28,0.2836,0.28,,2003-09,0.265,0.2685,0.265,,614.00M,,,2003-09,,
2003-06,1.936B,1.936B,994.00M,942.00M,,681.00M,-41.00M,,,,41.00M,722.00M,220.00M,,,,-41.00M,,178.00M,56.00M,122.00M,,,,122.00M,94.00M,220.00M,,2003-06,0.21,0.2580,0.21,,2003-06,0.20,0.2462,0.20,,608.00M,,,2003-06,,
2003-03,1.802B,1.802B,922.00M,880.00M,,660.00M,-3.00M,,,,3.00M,663.00M,217.00M,,,,-3.00M,,175.00M,57.00M,118.00M,,-1.00M,,117.00M,87.00M,217.00M,,2003-03,0.20,0.2035,0.20,,2003-03,0.195,0.1983,0.195,,606.00M,,,2003-03,,
2002-12,2.461B,2.461B,1.253B,1.208B,,916.00M,13.00M,,,,,928.00M,280.00M,,,,13.00M,,245.00M,73.00M,172.00M,,,,172.00M,126.00M,280.00M,,2002-12,0.29,0.2746,0.29,,2002-12,0.28,0.2650,0.28,,608.85M,,,2002-12,,
2002-09,1.915B,1.915B,967.00M,948.00M,,688.00M,-2.00M,,,,2.00M,690.00M,258.00M,,,,-2.00M,,213.00M,66.00M,147.00M,,,,147.00M,86.00M,258.00M,,2002-09,0.245,0.2473,0.245,,2002-09,0.235,0.2372,0.235,,624.00M,,,2002-09,,
