,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,AsOriginallyReported,Restated
2017-12,1.311B,,,,,-658.00M,,,157.00M,157.00M,-1.632B,,27.00M,125.00M,,5.00M,-153.00M,,909.00M,-3.00M,-64.00M,236.00M,925.00M,34.00M,294.00M,,-33.00M,0.00,-33.00M,905.00M,-182.00M,-20.00M,670.00M,,-630.00M,,-630.00M,,,,-49.00M,-49.00M,9.00M,-14.00M,-684.00M,,1.826B,280.00M,26.00M,2.142B,,,,-630.00M,,,,AOR,Restated
2017-09,-16.00M,,,,,,,,163.00M,163.00M,-127.00M,,6.00M,176.00M,,6.00M,-73.00M,,80.00M,-50.00M,18.00M,-13.00M,-38.00M,7.00M,177.00M,,-25.00M,,-25.00M,-353.00M,-201.00M,-1.00M,-580.00M,,0.00,,0.00,,,,-48.00M,-48.00M,63.00M,-90.00M,-75.00M,,2.306B,-478.00M,8.00M,1.826B,,,,0.00,,,,AOR,Restated
2017-06,-110.00M,,,,,,,,165.00M,165.00M,-62.00M,,14.00M,147.00M,,26.00M,188.00M,,-30.00M,41.00M,-39.00M,-89.00M,71.00M,-38.00M,213.00M,,-47.00M,,-47.00M,-8.00M,0.00,1.00M,-54.00M,,-2.01B,,-2.01B,,,,-66.00M,-66.00M,11.00M,-61.00M,-2.126B,,4.247B,-1.967B,26.00M,2.306B,,,,-2.01B,,,,AOR,Restated
2017-03,-177.00M,,,,,,,,136.00M,136.00M,-201.00M,,,209.00M,,-11.00M,-69.00M,,115.00M,68.00M,-30.00M,226.00M,310.00M,40.00M,355.00M,,-13.00M,,-13.00M,-2.203B,0.00,0.00,-2.216B,,1.048B,,1.048B,,,,-49.00M,-49.00M,42.00M,-32.00M,509.00M,,5.575B,-1.352B,24.00M,4.247B,,,1.076B,-28.00M,,-1.044B,,AOR,Restated
2016-12,-56.00M,,,,,,,,151.00M,151.00M,-16.00M,,,97.00M,,12.00M,-111.00M,,-146.00M,10.00M,-9.00M,167.00M,-89.00M,49.00M,148.00M,,-18.00M,,-18.00M,7.00M,0.00,-5.00M,-16.00M,,-51.00M,,-51.00M,,,,-53.00M,-53.00M,4.00M,-16.00M,-116.00M,,5.61B,16.00M,-51.00M,5.575B,,,-6.00M,-45.00M,,67.00M,,AOR,Restated
2016-09,-69.00M,,,,,,,,133.00M,133.00M,16.00M,,,85.00M,,4.00M,-19.00M,,96.00M,8.00M,-16.00M,-57.00M,12.00M,-123.00M,58.00M,,-17.00M,,-17.00M,-4.533B,1.00M,0.00,-4.549B,,4.005B,,4.005B,,,,-52.00M,-52.00M,48.00M,-10.00M,3.991B,,6.108B,-500.00M,2.00M,5.61B,,,4.005B,0.00,,24.00M,,AOR,Restated
2016-06,66.00M,,,,,,,,72.00M,72.00M,33.00M,,,49.00M,,27.00M,244.00M,,-1.003B,-2.00M,-35.00M,-191.00M,-987.00M,-30.00M,-770.00M,,-22.00M,,-22.00M,0.00,30.00M,7.00M,15.00M,,977.00M,,977.00M,,,,-68.00M,-68.00M,1.00M,-14.00M,896.00M,,5.983B,141.00M,-16.00M,6.108B,,,994.00M,-17.00M,,953.00M,,AOR,Restated
2016-03,-1.013B,,,,,,,,72.00M,72.00M,1.019B,,,43.00M,6.00M,-6.00M,12.00M,,706.00M,-13.00M,99.00M,211.00M,1.015B,-890.00M,256.00M,,-47.00M,,-47.00M,6.535B,17.00M,,6.499B,,518.00M,,518.00M,,-1.00B,-1.00B,-2.718B,-2.718B,2.00M,-28.00M,-3.239B,,2.512B,3.516B,-45.00M,5.983B,,,500.00M,18.00M,-1.00B,103.00M,,AOR,Restated
2015-12,114.00M,,,,,,,,74.00M,74.00M,48.00M,,,38.00M,0.00,6.00M,-82.00M,,-4.00M,-86.00M,-18.00M,63.00M,-127.00M,-41.00M,112.00M,,-114.00M,,-114.00M,0.00,192.00M,,59.00M,,-1.00M,,-1.00M,,-618.00M,-618.00M,-102.00M,-102.00M,19.00M,-10.00M,-717.00M,,3.097B,-546.00M,-39.00M,2.512B,,,0.00,-1.00M,-618.00M,105.00M,,AOR,Restated
2015-09,53.00M,,,,,,,,76.00M,76.00M,-15.00M,,,45.00M,-1.00M,4.00M,-46.00M,,52.00M,30.00M,-6.00M,-88.00M,-58.00M,30.00M,134.00M,,-50.00M,,-50.00M,-4.00M,653.00M,,578.00M,,-350.00M,,-350.00M,,-160.00M,-160.00M,-103.00M,-103.00M,40.00M,-2.00M,-576.00M,,2.981B,136.00M,-20.00M,3.097B,,,0.00,-350.00M,-160.00M,44.00M,,AOR,Restated
2015-06,25.00M,,,,,,,,77.00M,77.00M,30.00M,,,35.00M,-5.00M,4.00M,154.00M,,-81.00M,17.00M,-24.00M,-173.00M,-107.00M,241.00M,300.00M,,-61.00M,,-61.00M,0.00,115.00M,,37.00M,,-17.00M,,-17.00M,,-90.00M,-90.00M,-107.00M,-107.00M,4.00M,-17.00M,-238.00M,,2.874B,99.00M,8.00M,2.981B,,,0.00,-17.00M,-90.00M,50.00M,,AOR,Restated
2015-03,55.00M,,,,,,-173.00M,-92.00M,90.00M,90.00M,-58.00M,,,37.00M,6.00M,-13.00M,-59.00M,,-172.00M,-2.00M,54.00M,129.00M,-50.00M,421.00M,488.00M,,-54.00M,,-54.00M,0.00,-70.00M,,-151.00M,,-2.00M,,-2.00M,,-125.00M,-125.00M,-102.00M,-102.00M,38.00M,6.00M,-189.00M,,2.764B,148.00M,-38.00M,2.874B,,,,-2.00M,-125.00M,,,AOR,Restated
2014-12,-426.00M,,,,,,28.00M,10.00M,38.00M,38.00M,-1.00M,,,5.00M,-1.00M,6.00M,-244.00M,,-128.00M,-15.00M,28.00M,222.00M,-137.00M,874.00M,358.00M,,-50.00M,,-50.00M,-20.00M,-160.00M,,-281.00M,,-1.00M,,-1.00M,,-125.00M,-125.00M,-104.00M,-104.00M,12.00M,7.00M,-218.00M,,2.972B,-141.00M,-67.00M,2.764B,,,,-1.00M,-125.00M,,,AOR,Restated
2014-09,244.00M,,,,,,71.00M,40.00M,111.00M,111.00M,10.00M,,,46.00M,-2.00M,3.00M,-40.00M,,27.00M,16.00M,-34.00M,-208.00M,-239.00M,,173.00M,,-107.00M,,-107.00M,0.00,109.00M,,2.00M,,0.00,,0.00,,-125.00M,-125.00M,-103.00M,-103.00M,43.00M,-3.00M,-188.00M,,3.067B,-13.00M,-82.00M,2.972B,,,,0.00,-125.00M,,,AOR,Restated
2014-06,236.00M,,,,,,74.00M,42.00M,116.00M,116.00M,20.00M,,,43.00M,-3.00M,2.00M,308.00M,,-205.00M,17.00M,-22.00M,-219.00M,-121.00M,,293.00M,,-92.00M,,-92.00M,-19.00M,-613.00M,,-724.00M,,-18.00M,,-18.00M,,-125.00M,-125.00M,-104.00M,-104.00M,23.00M,8.00M,-216.00M,,3.707B,-647.00M,7.00M,3.067B,,,,-18.00M,-125.00M,,,AOR,Restated
2014-03,-590.00M,,,0.00,,0.00,29.00M,-39.00M,-10.00M,-10.00M,37.00M,,,-6.00M,-4.00M,0.00,-109.00M,-11.00M,-271.00M,-14.00M,-28.00M,282.00M,-151.00M,,449.00M,,-11.00M,,-11.00M,0.00,-298.00M,,-375.00M,,0.00,,0.00,,-125.00M,-125.00M,-104.00M,-104.00M,51.00M,3.00M,-187.00M,,3.813B,-113.00M,7.00M,3.707B,,,0.00,0.00,-125.00M,,,AOR,Restated
2013-12,283.00M,,,0.00,,0.00,68.00M,42.00M,110.00M,110.00M,-42.00M,,,34.00M,0.00,-2.00M,-320.00M,3.00M,140.00M,-1.00M,4.00M,120.00M,-54.00M,,329.00M,,-65.00M,,-65.00M,0.00,27.00M,,-38.00M,,0.00,,0.00,,-125.00M,-125.00M,-104.00M,-104.00M,23.00M,-2.00M,-208.00M,,3.727B,83.00M,3.00M,3.813B,,,0.00,0.00,-125.00M,,,AOR,Restated
2013-09,241.00M,,,-16.00M,,-16.00M,69.00M,42.00M,111.00M,111.00M,20.00M,,,38.00M,-4.00M,1.00M,180.00M,2.00M,-91.00M,30.00M,24.00M,-345.00M,-200.00M,,191.00M,,-57.00M,,-57.00M,-17.00M,-67.00M,,-141.00M,,0.00,,0.00,,-125.00M,-125.00M,-105.00M,-105.00M,106.00M,-1.00M,-125.00M,,3.749B,-75.00M,53.00M,3.727B,,,0.00,0.00,-125.00M,,,AOR,Restated
2013-06,157.00M,,,-16.00M,,-16.00M,70.00M,86.00M,156.00M,156.00M,31.00M,,,39.00M,-9.00M,15.00M,285.00M,6.00M,-73.00M,1.00M,21.00M,-301.00M,-61.00M,,312.00M,,-61.00M,,-61.00M,0.00,32.00M,,-29.00M,,-1.00B,,-1.00B,,-125.00M,-125.00M,-105.00M,-105.00M,54.00M,-16.00M,-1.192B,,4.685B,-909.00M,-27.00M,3.749B,,,189.00M,-1.189B,-125.00M,,,AOR,Restated
2013-03,190.00M,,,,,,70.00M,87.00M,157.00M,157.00M,14.00M,,,39.00M,-9.00M,35.00M,37.00M,-9.00M,-29.00M,-19.00M,-31.00M,237.00M,186.00M,,612.00M,,-91.00M,,-91.00M,0.00,0.00,-4.00M,-95.00M,,0.00,,0.00,,-125.00M,-125.00M,0.00,0.00,181.00M,-32.00M,24.00M,,4.20B,541.00M,-56.00M,4.685B,,,0.00,0.00,-125.00M,,,AOR,Restated
2012-12,216.00M,,,,,,72.00M,87.00M,159.00M,159.00M,13.00M,,,42.00M,-1.00M,4.00M,-347.00M,4.00M,23.00M,-21.00M,41.00M,330.00M,30.00M,,463.00M,,-77.00M,,-77.00M,0.00,0.00,1.00M,-76.00M,,0.00,,0.00,,-200.00M,-200.00M,0.00,0.00,25.00M,-2.00M,-177.00M,,4.002B,210.00M,-12.00M,4.20B,,,0.00,0.00,-200.00M,,,AOR,Restated
2012-09,189.00M,,,,,,71.00M,91.00M,162.00M,162.00M,8.00M,,,45.00M,-1.00M,16.00M,-104.00M,4.00M,-12.00M,3.00M,-6.00M,-126.00M,-241.00M,,178.00M,,-89.00M,,-89.00M,0.00,24.00M,0.00,-65.00M,,0.00,,0.00,,-200.00M,-200.00M,0.00,0.00,71.00M,-95.00M,-224.00M,,4.082B,-111.00M,31.00M,4.002B,,,0.00,0.00,-200.00M,,,AOR,Restated
2012-06,160.00M,,,,,,70.00M,90.00M,160.00M,160.00M,-4.00M,,,38.00M,0.00,21.00M,307.00M,1.00M,20.00M,-27.00M,-43.00M,-293.00M,-35.00M,,340.00M,,-79.00M,,-79.00M,-28.00M,22.00M,2.00M,-83.00M,,996.00M,,996.00M,,-301.00M,-301.00M,0.00,0.00,4.00M,-14.00M,685.00M,,3.162B,942.00M,-22.00M,4.082B,,,996.00M,0.00,-301.00M,,,AOR,Restated
2012-03,574.00M,,,,0.00,-523.00M,73.00M,96.00M,169.00M,169.00M,-13.00M,,,41.00M,-2.00M,8.00M,77.00M,5.00M,57.00M,-5.00M,17.00M,278.00M,429.00M,,687.00M,,-87.00M,,-87.00M,376.00M,3.00M,1.00M,293.00M,,-5.00M,,-5.00M,,-200.00M,-200.00M,,,52.00M,-17.00M,-170.00M,,2.327B,810.00M,25.00M,3.162B,,,0.00,-5.00M,-200.00M,,,AOR,Restated
2011-12,241.00M,,,,0.00,0.00,66.00M,95.00M,161.00M,161.00M,23.00M,,,46.00M,-1.00M,13.00M,-319.00M,-5.00M,-98.00M,-6.00M,29.00M,319.00M,-80.00M,,403.00M,,-75.00M,,-75.00M,0.00,-14.00M,-2.00M,-91.00M,,-1.00M,,-1.00M,,-220.00M,-220.00M,,,12.00M,0.00,-209.00M,,2.215B,103.00M,9.00M,2.327B,,,0.00,-1.00M,-220.00M,,,AOR,Restated
2011-09,182.00M,,,,14.00M,14.00M,134.00M,189.00M,162.00M,162.00M,-2.00M,,,38.00M,-1.00M,16.00M,-28.00M,-2.00M,96.00M,7.00M,-1.00M,-173.00M,-101.00M,,308.00M,,-73.00M,,-73.00M,0.00,-33.00M,1.00M,-105.00M,,-1.00M,,-1.00M,,-275.00M,-275.00M,,,48.00M,-1.00M,-229.00M,,2.29B,-26.00M,-49.00M,2.215B,,,0.00,-1.00M,-275.00M,,,AOR,Restated
2011-06,190.00M,,,,13.00M,13.00M,,,161.00M,161.00M,17.00M,,,39.00M,-4.00M,21.00M,359.00M,4.00M,14.00M,-10.00M,2.00M,-303.00M,66.00M,,503.00M,,-51.00M,,-51.00M,-364.00M,0.00,,-415.00M,,-600.00M,,-600.00M,,-198.00M,-198.00M,,,35.00M,-15.00M,-778.00M,,2.95B,-690.00M,30.00M,2.29B,,,0.00,-600.00M,-198.00M,,,AOR,Restated
2011-03,166.00M,,,,10.00M,15.00M,,,156.00M,156.00M,4.00M,-75.00M,,37.00M,,93.00M,-25.00M,2.00M,-54.00M,,,415.00M,273.00M,,689.00M,,-83.00M,0.00,-83.00M,-7.00M,1.00M,7.00M,-82.00M,,0.00,,0.00,-66.00M,-164.00M,-230.00M,,,118.00M,-21.00M,-133.00M,,2.445B,474.00M,31.00M,2.95B,,-66.00M,0.00,0.00,-164.00M,,,AOR,Restated
2010-12,132.00M,,,,10.00M,10.00M,,,163.00M,163.00M,-27.00M,21.00M,,37.00M,,22.00M,-296.00M,-9.00M,-15.00M,,,422.00M,102.00M,,460.00M,,-69.00M,30.00M,-39.00M,-9.00M,19.00M,-2.00M,-31.00M,,-1.00M,,-1.00M,20.00M,-265.00M,-245.00M,,,3.00M,0.00,-243.00M,,2.256B,186.00M,3.00M,2.445B,,20.00M,0.00,-1.00M,-265.00M,,,AOR,
2010-09,134.00M,,,,4.00M,20.00M,,,156.00M,156.00M,19.00M,27.00M,,36.00M,,-11.00M,-52.00M,0.00,86.00M,,,-105.00M,-71.00M,,310.00M,,-64.00M,,-64.00M,-1.166B,0.00,1.00M,-1.229B,,599.00M,,599.00M,36.00M,-226.00M,-190.00M,,,1.00M,-11.00M,399.00M,,2.726B,-520.00M,50.00M,2.256B,,36.00M,1.11B,-511.00M,-226.00M,,,AOR,
2010-06,161.00M,,,,7.00M,7.00M,,,167.00M,167.00M,9.00M,27.00M,,35.00M,,2.00M,285.00M,3.00M,-143.00M,,,-218.00M,-73.00M,,335.00M,,-52.00M,,-52.00M,-362.00M,,-4.00M,-418.00M,,-1.00M,,-1.00M,10.00M,-217.00M,-207.00M,,,,1.00M,-207.00M,,3.029B,-290.00M,-13.00M,2.726B,,10.00M,,-1.00M,-217.00M,,,AOR,Restated
2010-03,-530.00M,-1.00M,,,12.00M,11.00M,,,170.00M,170.00M,-38.00M,27.00M,17.00M,31.00M,-3.00M,707.00M,33.00M,-1.00M,56.00M,,,223.00M,311.00M,,703.00M,,-99.00M,0.00,-99.00M,-15.00M,-3.00M,,-117.00M,,4.00M,,-1.00M,51.00M,-190.00M,-139.00M,,,3.00M,,-137.00M,,2.593B,449.00M,-13.00M,3.029B,,51.00M,0.00,4.00M,-190.00M,,,AOR,Restated
2009-12,301.00M,-46.00M,,,9.00M,-37.00M,-395.00M,-51.00M,117.00M,117.00M,-7.00M,77.00M,10.00M,39.00M,-4.00M,5.00M,-218.00M,-1.00M,-80.00M,,,191.00M,-108.00M,,393.00M,,-41.00M,42.00M,1.00M,-19.00M,1.00M,,-17.00M,,-4.00M,,-4.00M,19.00M,-122.00M,-103.00M,,,10.00M,-2.00M,-99.00M,,2.314B,277.00M,2.00M,2.593B,,19.00M,0.00,-4.00M,-122.00M,,,AOR,Restated
2009-09,155.00M,,,,18.00M,6.00M,395.00M,51.00M,446.00M,446.00M,-7.00M,-246.00M,3.00M,36.00M,-3.00M,-3.00M,-58.00M,1.00M,-8.00M,,142.00M,-238.00M,-161.00M,,226.00M,,-54.00M,1.00M,-53.00M,0.00,6.00M,,-47.00M,,1.00M,,1.00M,43.00M,-138.00M,-95.00M,,,-3.00M,20.00M,-77.00M,,2.192B,102.00M,20.00M,2.314B,,43.00M,0.00,1.00M,-138.00M,,,AOR,Restated
2009-06,74.00M,,,,,12.00M,,,,,11.00M,246.00M,,49.00M,-3.00M,5.00M,229.00M,4.00M,-93.00M,,-142.00M,-21.00M,-23.00M,,371.00M,,-54.00M,2.00M,-52.00M,3.00M,165.00M,,116.00M,,-1.00M,,-1.00M,11.00M,-123.00M,-112.00M,,,3.00M,-18.00M,-128.00M,,1.793B,359.00M,40.00M,2.192B,,11.00M,,-1.00M,-123.00M,,,AOR,Restated
2009-03,-264.00M,0.00,,,20.00M,20.00M,,,308.00M,308.00M,-46.00M,-72.00M,416.00M,34.00M,-2.00M,-6.00M,72.00M,0.00,-51.00M,,,198.00M,219.00M,,607.00M,,-57.00M,0.00,-57.00M,-18.00M,-122.00M,,-197.00M,,-2.00M,0.00,-2.00M,40.00M,-101.00M,-61.00M,,,-16.00M,18.00M,-61.00M,,1.449B,349.00M,-5.00M,1.793B,,40.00M,,-2.00M,-101.00M,,,AOR,Restated
2008-12,-6.849B,5.00M,,,33.00M,7.508M,,,213.43M,213.43M,-80.08M,72.00M,7.049B,123.00M,-16.00M,-89.29M,-256.88M,0.055M,-81.01M,,362.01M,-52.84M,-28.67M,,402.13M,,-89.66M,0.453M,-89.21M,-858.17M,-38.80M,,-986.18M,,-6.00M,-200.00M,-6.00M,3.463M,-215.11M,-211.64M,,,16.00M,2.539M,-199.10M,,2.262B,-783.16M,-29.78M,1.449B,,3.463M,,-206.00M,-215.11M,,,,Restated
2008-09,154.76M,,,,-6.00M,24.49M,,,211.57M,211.57M,2.083M,-24.00M,,-45.00M,,101.29M,-19.12M,-0.055M,130.01M,,-362.01M,73.84M,-177.33M,,247.87M,,-67.34M,39.55M,-27.79M,-20.83M,195.80M,,147.18M,,,200.00M,0.00,110.54M,-199.89M,-89.36M,,,,5.461M,-83.90M,,2.045B,311.16M,-94.22M,2.262B,,110.54M,,200.00M,-199.89M,,,,
2008-06,172.00M,,,,6.00M,6.00M,,,200.00M,200.00M,-3.00M,24.00M,0.00,45.00M,,16.00M,119.00M,6.00M,-131.00M,,,-40.00M,-46.00M,,414.00M,,-58.00M,0.00,-58.00M,-166.00M,299.00M,,75.00M,,,-200.00M,-200.00M,75.00M,-200.00M,-125.00M,,,,-8.00M,-333.00M,,1.89B,156.00M,-1.00M,2.045B,,75.00M,,-200.00M,-200.00M,,,,Restated
2008-03,186.39M,,,,,35.71M,-191.17M,-427.23M,205.70M,205.70M,-1.568M,,,,,-195.91M,158.39M,1.567M,307.62M,,-83.79M,-79.47M,304.31M,,674.37M,,-64.68M,104.72M,40.04M,-11.77M,-200.47M,,-172.20M,,,,-1.811M,59.99M,-200.41M,-140.42M,,,,7.844M,-134.39M,,1.484B,367.77M,37.96M,1.890B,,59.99M,,,-200.41M,,,,Restated
2007-12,131.89M,,,,,0.177M,191.17M,427.23M,200.91M,200.91M,-74.75M,,,,,52.44M,-284.38M,-1.273M,-20.90M,,181.79M,276.09M,151.33M,,462.00M,,-71.09M,,-71.09M,-298.41M,147.98M,,-221.51M,,,,190.09M,33.94M,-403.73M,-369.79M,,,,15.43M,-164.27M,,1.388B,76.22M,19.91M,1.484B,,33.94M,,,-403.73M,,,,
2007-09,50.37M,,,,,3.336M,-66.66M,-146.79M,204.05M,204.05M,-78.78M,,,,,130.46M,-22.40M,2.791M,-5.035M,,-81.52M,127.70M,21.54M,,330.97M,,-63.36M,-0.903M,-64.26M,-11.70M,54.74M,,-21.23M,,,,,68.06M,-397.05M,-328.99M,,,,-0.836M,-329.83M,,1.374B,-20.09M,34.40M,1.388B,,68.06M,,,-397.05M,,,,
