,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,2.659B,2.659B,869.00M,1.79B,984.00M,315.00M,197.00M,-488.00M,86.00M,1.00M,-85.00M,12.00M,1.508B,282.00M,1.00M,86.00M,-85.00M,-425.00M,-85.00M,-227.00M,-72.00M,-155.00M,14.00M,-155.00M,146.20M,56.00M,197.00M,-141.00M,-0.12,,,0.0905,-0.12,-0.12,,,0.0905,-0.12,1.431B,1.431B
2020-06,2.003B,2.003B,791.00M,1.212B,798.00M,242.00M,197.00M,-37.00M,91.00M,0.00,-91.00M,8.00M,1.245B,-33.00M,0.00,91.00M,-91.00M,-56.00M,-91.00M,-181.00M,-33.00M,-148.00M,5.00M,-147.00M,-102.94M,107.00M,197.00M,-90.00M,-0.11,,,-0.0788,-0.11,-0.11,,,-0.0788,-0.11,1.411B,1.411B
2020-03,2.543B,2.543B,806.00M,1.737B,978.00M,300.00M,201.00M,-100.00M,88.00M,1.00M,-87.00M,12.00M,1.491B,246.00M,1.00M,88.00M,-87.00M,-137.00M,-87.00M,22.00M,12.00M,10.00M,,11.00M,105.17M,311.00M,201.00M,110.00M,0.01,,,0.0774,0.01,0.01,,,0.0766,0.01,1.397B,1.414B
2019-12,2.904B,2.904B,851.00M,2.053B,1.092B,308.00M,201.00M,-225.00M,179.00M,1.00M,-178.00M,17.00M,1.618B,435.00M,1.00M,179.00M,-178.00M,-263.00M,-178.00M,-6.00M,-4.002B,3.996B,,3.996B,4.187B,374.00M,201.00M,173.00M,2.87,,,3.0069999999999997,2.87,2.83,,,2.965,2.83,1.394B,1.413B
2019-09,2.707B,2.707B,777.00M,1.93B,1.012B,306.00M,178.00M,-36.00M,95.00M,8.00M,-87.00M,15.00M,1.511B,419.00M,8.00M,95.00M,-87.00M,-241.00M,-87.00M,91.00M,-35.00M,126.00M,,126.00M,307.04M,364.00M,178.00M,186.00M,0.09,,,0.22,0.09,0.09,,,0.2182,0.09,1.393B,1.412B
2019-06,2.631B,2.631B,758.00M,1.873B,968.00M,280.00M,161.00M,-63.00M,89.00M,14.00M,-75.00M,17.00M,1.426B,447.00M,14.00M,89.00M,-75.00M,-227.00M,-75.00M,145.00M,-9.00M,154.00M,,154.00M,316.79M,395.00M,161.00M,234.00M,0.11,,,0.227,0.11,0.11,,,0.2256,0.11,1.391B,1.409B
2019-03,2.493B,2.493B,730.00M,1.763B,869.00M,280.00M,160.00M,103.00M,109.00M,7.00M,-102.00M,16.00M,1.325B,438.00M,7.00M,109.00M,-102.00M,121.00M,-102.00M,457.00M,33.00M,424.00M,,424.00M,308.80M,726.00M,160.00M,566.00M,0.31,,,0.227,0.31,0.3,,,0.2182,0.3,1.388B,1.408B
2018-12,2.561B,2.561B,729.00M,1.832B,953.00M,288.00M,162.00M,-92.00M,64.00M,1.00M,-63.00M,18.00M,1.421B,411.00M,1.00M,64.00M,-63.00M,-54.00M,-63.00M,296.00M,-90.00M,386.00M,,386.00M,419.58M,522.00M,162.00M,360.00M,0.28,,,0.3043,0.28,0.27,,,0.2939,0.27,1.384B,1.406B
2018-09,2.393B,2.393B,672.00M,1.721B,870.00M,289.00M,148.00M,-8.00M,58.00M,0.00,-58.00M,17.00M,1.324B,397.00M,0.00,58.00M,-58.00M,119.00M,-58.00M,456.00M,24.00M,432.00M,,432.00M,315.52M,662.00M,148.00M,514.00M,0.31,,,0.2258,0.31,0.31,,,0.227,0.31,1.383B,1.404B
2018-06,2.49B,2.49B,739.00M,1.751B,886.00M,275.00M,147.00M,-35.00M,57.00M,1.00M,-56.00M,17.00M,1.325B,426.00M,1.00M,57.00M,-56.00M,-24.00M,-56.00M,347.00M,-209.00M,556.00M,,555.00M,573.25M,551.00M,147.00M,404.00M,0.4,,,0.4132,0.4,0.4,,,0.413,0.4,1.380B,1.399B
