,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2009-08,,1.485B,,1.485B,,,798.00M,105.00M,649.00M,233.00M,,987.00M,,,,74.00M,3.344B,268.00M,96.00M,4.473B,11.83B,,47.00M,16.72B,-9.629B,7.089B,,344.00M,344.00M,315.00M,8.115B,11.46B,,2009-08,526.00M,32.00M,83.00M,641.00M,396.00M,1.037B,,,,424.00M,,424.00M,209.00M,209.00M,,222.00M,1.892B,2.379B,,,,1.986B,,4.52B,,2009-08,85.00M,-2.385B,7.257B,,,-4.00M,4.953B,,2009-08,AOR,Restated
2009-05,,1.306B,0.00,1.306B,,,750.00M,117.00M,596.00M,286.00M,,999.00M,,,,73.00M,3.128B,270.00M,99.00M,4.496B,12.48B,,54.00M,17.40B,-9.866B,7.536B,,355.00M,355.00M,306.00M,8.536B,11.66B,,2009-05,483.00M,38.00M,86.00M,607.00M,430.00M,1.037B,,,,372.00M,,372.00M,183.00M,183.00M,,233.00M,1.825B,2.752B,,,,2.13B,,4.837B,,2009-05,85.00M,-2.203B,6.841B,,,-26.00M,4.697B,,2009-05,AOR,Restated
2009-02,,932.00M,,932.00M,654.00M,,654.00M,141.00M,448.00M,270.00M,,859.00M,,,,78.00M,2.523B,0.00,99.00M,4.449B,12.59B,279.00M,69.00M,17.49B,-9.577B,7.91B,,382.00M,382.00M,,9.003B,11.53B,,2009-02,451.00M,,,451.00M,499.00M,950.00M,,,,353.00M,,353.00M,195.00M,195.00M,,139.00M,1.637B,2.542B,,,,2.344B,,4.44B,,2009-02,78.00M,-1.913B,6.584B,,,-7.00M,4.742B,,2009-02,,Restated
2008-11,,1.025B,3.00M,1.028B,1.031B,,1.031B,488.00M,395.00M,,,883.00M,,,,95.00M,3.037B,0.00,99.00M,4.37B,12.93B,282.00M,143.00M,17.83B,-9.368B,8.46B,,354.00M,354.00M,,9.639B,12.68B,,2008-11,513.00M,,,513.00M,430.00M,943.00M,,,,343.00M,,343.00M,192.00M,192.00M,,157.00M,1.635B,2.523B,,,,2.702B,,4.49B,,2008-11,76.00M,-1.162B,6.574B,,,-4.00M,5.484B,,2008-11,,
2008-08,,1.243B,119.00M,1.362B,,,1.032B,176.00M,671.00M,444.00M,,1.291B,,,,94.00M,3.779B,283.00M,99.00M,3.829B,13.59B,,611.00M,18.41B,-9.602B,8.811B,,364.00M,364.00M,84.00M,9.651B,13.43B,,2008-08,597.00M,27.00M,,624.00M,487.00M,1.111B,,,,275.00M,,275.00M,114.00M,114.00M,,98.00M,1.598B,2.451B,,,,2.865B,,4.387B,,2008-08,76.00M,-456.00M,6.566B,,,-8.00M,6.178B,,2008-08,,Restated
2008-05,,1.474B,110.00M,1.584B,995.00M,,995.00M,189.00M,825.00M,439.00M,,1.453B,67.00M,,30.00M,,4.129B,0.00,99.00M,3.778B,13.18B,282.00M,590.00M,17.92B,-9.204B,8.721B,58.00M,375.00M,433.00M,,9.487B,13.62B,,2008-05,1.374B,,,1.374B,,1.374B,,,,262.00M,,262.00M,80.00M,80.00M,,68.00M,1.784B,2.159B,11.00M,,11.00M,2.811B,,4.297B,,2008-05,76.00M,-112.00M,6.558B,,,-14.00M,6.508B,,2008-05,,Restated
2008-02,,1.708B,145.00M,1.853B,894.00M,,894.00M,207.00M,808.00M,434.00M,,1.449B,77.00M,,31.00M,,4.304B,0.00,99.00M,3.713B,12.90B,281.00M,501.00M,17.49B,-8.856B,8.634B,58.00M,382.00M,440.00M,,9.481B,13.78B,,2008-02,711.00M,,,711.00M,588.00M,1.299B,,,,244.00M,,244.00M,73.00M,73.00M,,104.00M,1.72B,2.162B,12.00M,,12.00M,2.808B,,4.239B,,2008-02,76.00M,124.00M,6.544B,,,-6.00M,6.738B,,2008-02,,
2007-11,,1.88B,151.00M,2.031B,1.067B,,1.067B,244.00M,767.00M,432.00M,,1.443B,84.00M,,27.00M,,4.652B,0.00,107.00M,3.658B,12.76B,273.00M,342.00M,17.14B,-8.563B,8.576B,515.00M,392.00M,907.00M,,9.846B,14.50B,,2007-11,811.00M,,,811.00M,506.00M,1.317B,,,,281.00M,,281.00M,87.00M,87.00M,,167.00M,1.852B,1.936B,11.00M,,11.00M,2.76B,,4.237B,,2007-11,76.00M,901.00M,6.532B,,,-8.00M,7.501B,,2007-11,,
2007-08,,2.192B,424.00M,2.616B,739.00M,255.00M,994.00M,243.00M,772.00M,517.00M,,1.532B,67.00M,,25.00M,,5.234B,0.00,107.00M,3.636B,12.38B,267.00M,209.00M,16.60B,-8.319B,8.279B,515.00M,401.00M,916.00M,,9.584B,14.82B,,2007-08,856.00M,,,856.00M,444.00M,1.30B,,,,423.00M,,423.00M,169.00M,169.00M,,134.00M,2.026B,1.987B,25.00M,,25.00M,2.607B,,4.459B,,2007-08,76.00M,1.164B,6.519B,,,-7.00M,7.752B,,2007-08,,
2007-05,,2.667B,253.00M,2.92B,606.00M,233.00M,839.00M,267.00M,740.00M,510.00M,,1.449B,61.00M,,18.00M,,5.287B,0.00,107.00M,3.537B,11.76B,263.00M,235.00M,15.90B,-8.033B,7.866B,514.00M,412.00M,926.00M,,9.13B,14.42B,,2007-05,789.00M,,,789.00M,456.00M,1.245B,,,,411.00M,,411.00M,75.00M,75.00M,,126.00M,1.857B,1.913B,25.00M,,25.00M,2.327B,,4.203B,,2007-05,76.00M,1.323B,6.491B,,,-3.00M,7.887B,,2007-05,,
2007-02,,1.566B,627.00M,2.193B,719.00M,224.00M,943.00M,237.00M,657.00M,451.00M,,1.293B,74.00M,,25.00M,,4.528B,0.00,107.00M,3.425B,11.24B,263.00M,329.00M,15.36B,-7.766B,7.593B,522.00M,416.00M,938.00M,,8.848B,13.38B,,2007-02,835.00M,,,835.00M,541.00M,1.376B,,,,183.00M,,183.00M,70.00M,70.00M,,148.00M,1.777B,639.00M,26.00M,,26.00M,2.283B,,2.844B,,2007-02,76.00M,1.548B,6.628B,,,-3.00M,8.249B,,2007-02,,
2006-11,,1.303B,1.335B,2.638B,778.00M,218.00M,996.00M,229.00M,578.00M,351.00M,,1.114B,81.00M,,24.00M,,4.853B,0.00,107.00M,2.85B,10.57B,253.00M,745.00M,14.53B,-7.519B,7.01B,502.00M,410.00M,912.00M,,8.223B,13.08B,,2006-11,1.087B,,,1.087B,491.00M,1.578B,,,,159.00M,,159.00M,69.00M,69.00M,,119.00M,1.925B,409.00M,27.00M,,27.00M,1.982B,,2.815B,,2006-11,75.00M,1.60B,6.604B,,,,8.279B,,2006-11,,
2006-08,,1.431B,1.648B,3.079B,807.00M,149.00M,956.00M,195.00M,530.00M,273.00M,,963.00M,77.00M,,26.00M,,5.101B,0.00,107.00M,2.763B,9.528B,251.00M,484.00M,13.13B,-7.245B,5.888B,502.00M,388.00M,890.00M,,7.12B,12.22B,,2006-08,854.00M,,,854.00M,465.00M,1.319B,,,,166.00M,,166.00M,53.00M,53.00M,,123.00M,1.661B,405.00M,28.00M,,28.00M,1.568B,,2.539B,,2006-08,75.00M,1.486B,6.555B,,,-2.00M,8.114B,,2006-08,,
2006-05,,1.468B,1.362B,2.83B,805.70M,,805.70M,164.70M,467.10M,189.70M,,799.70M,52.10M,,33.40M,,4.521B,0.00,107.40M,2.677B,9.054B,241.60M,341.00M,12.42B,-6.983B,5.438B,,208.50M,208.50M,,5.780B,10.30B,,2006-05,951.90M,,,951.90M,,951.90M,,,,180.40M,,180.40M,43.40M,43.50M,0.10M,103.20M,1.279B,338.80M,36.90M,,36.90M,1.112B,,2.102B,,2006-05,67.90M,1.422B,5.597B,,,-0.30M,7.087B,,2006-05,,
2006-02,,1.536B,1.049B,2.585B,927.00M,,927.00M,136.00M,375.00M,193.00M,,686.00M,57.00M,,32.00M,-1.00M,4.286B,0.00,107.00M,2.45B,8.466B,234.00M,253.00M,11.51B,-6.798B,4.712B,,252.00M,252.00M,,5.091B,9.377B,,2006-02,910.00M,,,910.00M,,910.00M,,,,148.00M,,148.00M,33.00M,33.00M,,114.00M,1.205B,312.00M,36.00M,,36.00M,499.00M,,1.924B,,2006-02,68.00M,1.334B,5.553B,,,-3.00M,6.954B,,2006-02,,
2005-11,,661.10M,716.30M,1.377B,805.30M,,805.30M,136.10M,358.30M,212.10M,,682.30M,54.70M,,22.20M,,2.942B,0.00,108.50M,2.433B,8.256B,229.40M,243.20M,11.27B,-6.594B,4.677B,,255.90M,255.90M,,5.068B,8.010B,,2005-11,721.00M,,,721.00M,,721.00M,,,,146.20M,,146.20M,31.60M,31.60M,,78.50M,977.30M,960.90M,31.00M,,31.00M,,,2.086B,,2005-11,61.80M,1.141B,4.722B,0.40M,,-0.50M,5.924B,,2005-11,,
2005-08,,525.00M,766.00M,1.291B,794.00M,,794.00M,129.00M,395.00M,271.00M,1.00M,772.00M,38.00M,,32.00M,-1.00M,2.926B,0.00,109.00M,2.419B,8.046B,219.00M,236.00M,11.03B,-6.345B,4.684B,,260.00M,260.00M,,5.08B,8.006B,,2005-08,753.00M,,,753.00M,,753.00M,,,,147.00M,,147.00M,30.00M,30.00M,,49.00M,979.00M,1.02B,35.00M,,35.00M,,,2.159B,,2005-08,62.00M,1.078B,4.707B,,,,5.847B,,2005-08,,
2005-05,,470.30M,825.30M,1.296B,735.40M,,735.40M,135.00M,413.20M,308.90M,,826.70M,37.70M,,25.00M,,2.920B,0.00,108.90M,2.371B,7.977B,213.00M,263.10M,10.93B,-6.162B,4.771B,,263.30M,263.30M,,5.166B,8.086B,,2005-05,733.50M,,,733.50M,,733.50M,,,,248.80M,,248.80M,23.40M,23.40M,,87.60M,1.093B,1.046B,34.70M,,34.70M,,,2.295B,,2005-05,61.50M,1.035B,4.695B,,,-0.30M,5.792B,,2005-05,,
2005-02,,359.50M,774.10M,1.134B,938.20M,,938.20M,128.10M,417.30M,234.50M,,752.70M,45.40M,,18.70M,,2.889B,0.00,108.90M,2.344B,7.789B,204.10M,272.90M,10.72B,-5.927B,4.792B,,267.20M,267.20M,,5.190B,8.079B,,2005-02,734.00M,,,734.00M,,734.00M,,,,283.50M,,283.50M,27.30M,27.30M,,48.30M,1.093B,909.20M,40.30M,,40.30M,,,2.170B,,2005-02,61.40M,1.163B,4.685B,,,-0.50M,5.909B,,2005-02,,
2004-11,,320.80M,731.40M,1.052B,860.80M,,860.80M,125.40M,431.50M,181.60M,,705.40M,45.20M,,26.00M,,2.690B,0.00,108.90M,2.327B,7.622B,197.80M,257.10M,10.51B,-5.707B,4.806B,,271.50M,271.50M,,5.203B,7.893B,,2004-11,788.40M,,,788.40M,,788.40M,,,,258.70M,,258.70M,24.30M,24.30M,,55.80M,1.127B,825.20M,46.80M,,46.80M,,,2.113B,,2004-11,61.30M,1.045B,4.674B,,,-0.60M,5.779B,,2004-11,,
2004-08,,486.00M,745.00M,1.231B,774.00M,,774.00M,116.00M,338.00M,151.00M,-1.00M,578.00M,37.00M,,19.00M,,2.639B,0.00,109.00M,2.311B,7.339B,214.00M,250.00M,10.22B,-5.51B,4.713B,,276.00M,276.00M,,5.121B,7.76B,,2004-08,796.00M,,,796.00M,,796.00M,,,,71.00M,,71.00M,35.00M,35.00M,,70.00M,972.00M,1.028B,42.00M,,42.00M,,,2.145B,,2004-08,61.00M,890.00M,4.664B,,,,5.615B,,2004-08,,
2004-05,,329.10M,802.80M,1.132B,769.70M,,769.70M,110.70M,305.30M,132.20M,,532.30M,32.90M,,18.10M,,2.485B,0.00,109.00M,2.336B,7.099B,216.80M,241.30M,10.00B,-5.388B,4.613B,,280.30M,280.30M,,5.153B,7.638B,,2004-05,390.80M,,,390.80M,359.70M,750.50M,,,,71.60M,,71.60M,34.00M,34.00M,,82.70M,938.80M,952.80M,42.80M,,42.80M,,,2.128B,,2004-05,61.10M,796.60M,4.652B,,,-0.30M,5.510B,,2004-05,,
2004-02,,509.20M,702.50M,1.212B,710.70M,,710.70M,104.50M,257.50M,97.70M,,445.40M,39.80M,,20.20M,,2.428B,0.00,109.00M,2.307B,6.876B,212.20M,255.10M,9.760B,-5.224B,4.536B,,277.60M,277.60M,,5.098B,7.526B,,2004-02,733.80M,,,733.80M,,733.80M,,,,85.30M,,85.30M,33.10M,33.10M,,78.20M,930.40M,1.047B,42.70M,,42.70M,,,2.120B,,2004-02,61.00M,705.70M,4.639B,,,,5.406B,,2004-02,,
2003-11,,488.30M,683.70M,1.172B,723.70M,,723.70M,101.80M,234.60M,87.10M,,407.60M,39.30M,,26.50M,,2.369B,0.00,109.00M,2.311B,6.708B,206.80M,253.80M,9.589B,-5.045B,4.543B,,283.50M,283.50M,,5.183B,7.552B,,2003-11,740.30M,,,740.30M,,740.30M,,,,73.80M,,73.80M,24.80M,24.80M,,147.40M,986.30M,996.00M,43.90M,,43.90M,,,2.123B,,2003-11,60.90M,734.00M,4.634B,,,,5.429B,,2003-11,,
2003-08,,570.30M,351.50M,921.80M,642.50M,,642.50M,102.90M,211.30M,124.60M,,417.40M,27.70M,,27.60M,,2.037B,0.00,106.40M,2.306B,6.488B,205.10M,240.80M,9.346B,-4.836B,4.510B,,289.60M,289.60M,,5.121B,7.158B,,2003-08,714.70M,,,714.70M,,714.70M,,,,88.90M,,88.90M,22.70M,22.70M,,166.70M,993.00M,997.10M,41.30M,,41.30M,,,2.187B,,2003-08,60.80M,733.80M,4.176B,,,0.10M,4.971B,,2003-08,,
2003-05,,679.80M,324.00M,1.004B,495.50M,,495.50M,106.10M,218.30M,128.50M,,431.10M,31.70M,,,,1.962B,0.00,106.40M,2.296B,6.451B,197.90M,244.90M,9.296B,-4.720B,4.576B,,295.40M,295.40M,,5.180B,7.143B,,2003-05,631.30M,,,631.30M,,631.30M,,,,93.70M,,93.70M,21.50M,26.00M,4.50M,144.30M,895.30M,1.003B,,,,,,2.055B,,2003-05,60.70M,858.50M,4.168B,,,0.30M,5.087B,,2003-05,,
2003-02,,915.10M,290.80M,1.206B,482.60M,,482.60M,114.10M,132.10M,148.50M,,367.90M,44.30M,,7.40M,,2.108B,0.00,106.40M,2.287B,6.546B,,239.50M,9.179B,-4.526B,4.653B,,293.10M,293.10M,,5.228B,7.336B,,2003-02,621.80M,,,621.80M,,621.80M,,,,109.00M,,109.00M,18.50M,18.50M,,116.20M,865.50M,1.031B,,,,,,2.040B,,2003-02,60.60M,1.075B,4.160B,,,0.40M,5.296B,,2003-02,,
2002-11,,401.30M,256.70M,658.00M,443.50M,,443.50M,113.10M,260.00M,235.20M,,574.00M,46.90M,,8.90M,,1.731B,0.00,106.30M,2.259B,6.345B,201.00M,298.10M,9.209B,-4.327B,4.882B,,312.70M,312.70M,,5.654B,7.385B,,2002-11,674.30M,,,674.30M,,674.30M,,,,95.80M,,95.80M,25.40M,25.40M,,98.00M,893.50M,340.20M,,,,,,1.367B,,2002-11,60.50M,1.696B,4.260B,,,1.40M,6.018B,,2002-11,,
2002-08,,398.20M,587.50M,985.70M,537.90M,,537.90M,112.40M,202.20M,257.90M,,545.40M,35.60M,,14.20M,,2.119B,0.00,106.30M,2.220B,6.025B,194.60M,294.20M,8.840B,-4.140B,4.700B,,317.00M,317.00M,,5.437B,7.555B,,2002-08,554.10M,,,554.10M,,554.10M,,,,93.10M,,93.10M,25.50M,25.50M,,80.00M,752.70M,360.80M,,,,,,1.249B,,2002-08,60.30M,2.016B,4.230B,,,1.00M,6.306B,,2002-08,,
2002-05,,333.70M,918.10M,1.252B,585.00M,,585.00M,110.90M,295.50M,302.20M,,686.50M,27.20M,,12.80M,,2.563B,0.00,105.30M,2.184B,5.869B,191.00M,285.30M,8.635B,-3.929B,4.706B,,321.30M,321.30M,,5.557B,8.120B,,2002-05,528.30M,,,528.30M,,528.30M,,,,91.50M,,91.50M,26.20M,26.20M,,85.30M,731.30M,360.30M,,,,,,1.168B,,2002-05,118.90M,2.604B,4.230B,,58.70M,0.60M,6.952B,,2002-05,,
2002-02,,677.90M,803.00M,1.481B,462.60M,,462.60M,103.20M,220.00M,231.00M,,547.60M,33.60M,,480.60M,,3.005B,0.00,94.70M,1.969B,5.591B,179.60M,303.40M,8.138B,-3.708B,4.430B,,317.00M,317.00M,,5.191B,8.196B,,2002-02,390.60M,,,390.60M,,390.60M,,,,80.50M,,80.50M,,,,97.40M,568.50M,380.90M,275.60M,,275.60M,,,1.300B,,2002-02,60.10M,2.628B,4.208B,,,0.40M,6.897B,,2002-02,,
2001-11,,357.90M,,357.90M,296.60M,,296.60M,100.20M,81.20M,274.80M,,451.00M,26.30M,1.374B,18.40M,,2.524B,0.00,94.70M,1.896B,5.719B,,352.40M,8.062B,-3.491B,4.571B,,324.10M,324.10M,,5.498B,8.022B,,2001-11,461.40M,,,461.40M,,461.40M,,,,85.60M,,85.60M,25.10M,25.10M,,71.50M,643.60M,404.50M,,,,,,1.119B,,2001-11,60.00M,2.659B,4.182B,,,2.20M,6.903B,,2001-11,,
2001-08,,469.10M,1.209B,1.678B,791.60M,,791.60M,108.20M,139.30M,248.00M,,491.10M,17.30M,,159.40M,,3.138B,0.00,94.70M,1.815B,5.721B,165.50M,402.30M,8.199B,-3.495B,4.704B,,198.40M,198.40M,,5.226B,8.363B,,2001-08,512.90M,,,512.90M,,512.90M,,,,86.20M,,86.20M,26.40M,26.40M,,61.50M,687.00M,445.00M,19.00M,,19.00M,,,1.228B,,2001-08,59.80M,2.925B,4.154B,,,-3.30M,7.135B,,2001-08,,
2001-05,,622.70M,1.106B,1.729B,678.80M,,678.80M,121.20M,190.10M,538.10M,,836.60M,28.80M,,143.20M,,3.416B,0.00,62.00M,1.434B,5.640B,160.60M,804.00M,8.101B,-3.298B,4.802B,,,,,5.432B,8.848B,,2001-05,650.60M,,,650.60M,,650.60M,,,,91.40M,,91.40M,,,,71.70M,813.70M,454.90M,166.00M,,166.00M,124.10M,,1.526B,,2001-05,59.70M,3.500B,3.638B,,,0.40M,7.199B,,2001-05,,
2001-02,,599.90M,1.449B,2.049B,579.40M,,579.40M,105.80M,386.70M,662.40M,,1.141B,34.00M,,126.00M,,3.930B,0.00,46.30M,1.376B,5.512B,,739.60M,7.673B,-3.085B,4.589B,,216.60M,216.60M,,5.187B,9.117B,,2001-02,739.70M,,,739.70M,,739.70M,,,,42.40M,,42.40M,54.80M,54.80M,,44.60M,881.50M,230.20M,306.10M,,306.10M,144.40M,,1.506B,,2001-02,59.50M,3.814B,3.592B,,,1.40M,7.466B,,2001-02,,
2000-11,,568.70M,1.895B,2.464B,992.60M,,992.60M,124.50M,343.90M,568.60M,,1.026B,38.90M,,188.70M,,4.710B,0.00,46.30M,1.372B,5.440B,,666.40M,7.524B,-3.016B,4.508B,,211.90M,211.90M,,5.091B,9.802B,,2000-11,1.281B,,,1.281B,,1.281B,,,,50.20M,,50.20M,58.20M,58.20M,,57.90M,1.447B,242.50M,326.60M,,326.60M,200.40M,,2.105B,,2000-11,59.30M,3.902B,3.533B,,,1.70M,7.496B,,2000-11,,
2000-08,,701.70M,1.765B,2.466B,1.413B,,1.413B,83.00M,330.60M,284.40M,,688.60M,14.90M,,137.10M,,4.720B,0.00,46.30M,1.361B,4.794B,140.20M,611.10M,6.952B,-2.78B,4.172B,,,,,4.672B,9.392B,,2000-08,1.271B,,,1.271B,,1.271B,,,,46.80M,,46.80M,,,,128.90M,1.447B,931.40M,333.50M,,333.50M,177.90M,,2.782B,,2000-08,56.70M,3.550B,2.824B,,,1.50M,6.432B,,2000-08,,
2000-05,,383.20M,1.464B,1.848B,1.144B,,1.144B,97.30M,323.00M,235.60M,,641.70M,25.30M,,98.80M,,3.757B,0.00,50.40M,1.377B,4.700B,,607.40M,6.735B,-2.679B,4.056B,,214.70M,214.70M,,4.453B,8.211B,,2000-05,897.60M,,,897.60M,,897.60M,,,,44.20M,,44.20M,74.90M,74.90M,,35.00M,1.052B,941.90M,345.00M,,345.00M,189.90M,,2.416B,,2000-05,55.30M,2.823B,2.722B,,,4.90M,5.605B,,2000-05,,
2000-02,,429.90M,1.248B,1.678B,875.80M,,875.80M,87.40M,286.60M,331.00M,,690.10M,26.30M,,89.80M,,3.360B,0.00,50.20M,1.228B,4.402B,,740.80M,6.421B,-2.494B,3.927B,,215.80M,215.80M,,4.374B,7.735B,,2000-02,789.80M,,,789.80M,,789.80M,,,,74.20M,,74.20M,37.60M,37.60M,,65.90M,967.50M,1.464B,310.90M,,310.90M,186.00M,,2.815B,,2000-02,27.30M,2.548B,2.121B,,,37.40M,4.734B,,2000-02,,
1999-11,,441.60M,1.445B,1.886B,916.40M,,916.40M,76.90M,246.90M,197.30M,,504.10M,27.20M,,93.40M,,3.428B,0.00,41.80M,1.193B,4.204B,,767.70M,6.206B,-2.378B,3.829B,,206.40M,206.40M,,4.154B,7.581B,,1999-11,883.60M,,,883.60M,,883.60M,,,,108.80M,,108.80M,48.40M,48.40M,,64.20M,1.105B,1.502B,323.90M,,323.90M,183.50M,,3.012B,,1999-11,27.00M,2.387B,1.974B,,,-1.30M,4.386B,,1999-11,,
1999-08,,294.60M,1.319B,1.614B,692.60M,,692.60M,,,,,365.70M,,,,158.20M,2.83B,,,,,,,6.015B,-2.215B,3.800B,,,,,4.135B,6.965B,,1999-08,705.40M,,,705.40M,,705.40M,,,,111.70M,,111.70M,,,,104.90M,922.00M,1.528B,309.10M,,309.10M,168.30M,,2.833B,,1999-08,26.80M,2.045B,1.894B,,,-2.10M,3.964B,,1999-08,,
1999-05,,350.60M,1.310B,1.660B,561.50M,,561.50M,56.30M,146.60M,238.60M,,441.50M,18.50M,,72.80M,,2.755B,0.00,42.20M,1.131B,3.841B,,734.70M,5.748B,-2.104B,3.644B,,213.80M,213.80M,,4.031B,6.786B,,1999-05,597.30M,,,597.30M,,597.30M,,,,105.20M,,105.20M,13.00M,13.00M,,81.80M,797.30M,1.554B,264.30M,,264.30M,162.90M,,2.697B,,1999-05,26.70M,2.063B,1.837B,,,-1.50M,3.926B,,1999-05,,
1999-02,,428.90M,1.354B,1.783B,591.90M,,591.90M,59.60M,146.10M,159.20M,,364.90M,20.00M,,65.40M,,2.825B,0.00,42.20M,1.129B,3.635B,,736.70M,5.543B,-1.961B,3.582B,,215.90M,215.90M,,3.946B,6.771B,,1999-02,560.20M,,,560.20M,,560.20M,,,,102.90M,,102.90M,7.50M,7.50M,,71.10M,741.70M,1.574B,263.90M,,263.90M,160.40M,,2.666B,,1999-02,26.60M,2.090B,1.829B,,,-1.30M,3.945B,,1999-02,,
1998-11,,767.70M,1.157B,1.925B,481.60M,,481.60M,49.40M,189.10M,121.90M,,360.40M,15.70M,,67.20M,,2.850B,0.00,42.40M,1.111B,3.529B,,722.10M,5.405B,-1.803B,3.602B,,219.60M,219.60M,,3.938B,6.788B,,1998-11,627.80M,,,627.80M,,627.80M,,,,114.50M,,114.50M,6.20M,6.20M,,113.20M,861.70M,1.598B,264.50M,,264.50M,157.90M,,2.794B,,1998-11,24.70M,2.068B,1.744B,,,-0.20M,3.836B,,1998-11,,
1998-08,,558.80M,,558.80M,489.50M,,489.50M,,,,,291.60M,,,,161.00M,1.501B,,,,,,,4.681B,-1.645B,3.035B,,,,,3.203B,4.704B,,1998-08,235.60M,,,235.60M,,235.60M,,,,108.70M,,108.70M,,,,401.40M,745.70M,758.80M,284.20M,,284.20M,152.10M,,1.850B,,1998-08,,2.114B,,,,,2.701B,,1998-08,,
1998-05,,507.90M,200.50M,708.40M,397.80M,,397.80M,68.40M,165.60M,144.70M,,378.70M,9.30M,,77.70M,,1.572B,0.00,35.10M,880.10M,2.858B,,713.00M,4.486B,-1.490B,2.996B,,89.10M,89.10M,,3.161B,4.733B,,1998-05,527.10M,,,527.10M,,527.10M,,,,101.80M,,101.80M,5.60M,5.60M,,117.30M,751.80M,718.00M,283.20M,,283.20M,145.40M,,1.814B,,1998-05,21.30M,2.234B,518.60M,,,,2.774B,,1998-05,,
