,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,320.00M,,-4.00M,14.00M,14.00M,94.00M,91.00M,185.00M,185.00M,-1.00M,,72.00M,17.00M,466.00M,,-69.00M,67.00M,-90.00M,440.00M,814.00M,,1.421B,-78.00M,2.00M,2.00M,3.00M,-1.00M,-8.00M,-82.00M,-504.00M,0.00,-504.00M,32.00M,0.00,32.00M,-236.00M,-236.00M,-76.00M,-784.00M,1.711B,555.00M,122.00M,2.388B,32.00M,0.00,-504.00M,0.00
2020-06,580.00M,,6.00M,31.00M,45.00M,91.00M,88.00M,179.00M,179.00M,-2.00M,,75.00M,-15.00M,-76.00M,,124.00M,-47.00M,-78.00M,431.00M,354.00M,,1.216B,-82.00M,1.00M,1.00M,-276.00M,46.00M,-8.00M,-319.00M,-267.00M,-193.00M,-460.00M,22.00M,0.00,22.00M,-234.00M,-234.00M,-47.00M,-719.00M,1.48B,178.00M,53.00M,1.711B,22.00M,-456.00M,-4.00M,0.00
2020-03,767.00M,,-12.00M,2.00M,-13.00M,97.00M,86.00M,183.00M,183.00M,9.00M,,72.00M,-15.00M,-313.00M,,-49.00M,-34.00M,-86.00M,-1.159B,-1.641B,,-638.00M,-118.00M,0.00,0.00,-193.00M,57.00M,9.00M,-245.00M,1.497B,193.00M,1.69B,44.00M,,44.00M,-232.00M,-232.00M,-162.00M,1.34B,1.155B,457.00M,-132.00M,1.48B,44.00M,2.193B,-503.00M,
2019-12,396.00M,,-45.00M,-2.00M,-27.00M,88.00M,79.00M,167.00M,167.00M,-11.00M,,68.00M,15.00M,-46.00M,,168.00M,-43.00M,-87.00M,470.00M,462.00M,,1.07B,-137.00M,6.00M,6.00M,-1.00M,-10.00M,-25.00M,-167.00M,-604.00M,-25.00M,-629.00M,26.00M,-185.00M,-159.00M,-235.00M,-235.00M,-8.00M,-1.031B,1.213B,-128.00M,70.00M,1.155B,26.00M,-325.00M,-304.00M,-185.00M
2019-09,306.00M,,59.00M,-7.00M,67.00M,86.00M,84.00M,170.00M,170.00M,13.00M,,67.00M,-12.00M,353.00M,,-41.00M,34.00M,-85.00M,178.00M,439.00M,,1.05B,-123.00M,2.00M,2.00M,60.00M,-9.00M,-4.00M,-74.00M,-303.00M,-224.00M,-527.00M,24.00M,-200.00M,-176.00M,-233.00M,-233.00M,-51.00M,-987.00M,1.294B,-11.00M,-70.00M,1.213B,24.00M,-224.00M,-303.00M,-200.00M
2019-06,344.00M,,-106.00M,29.00M,-24.00M,85.00M,100.00M,185.00M,185.00M,91.00M,,60.00M,0.00,-128.00M,,-140.00M,33.00M,-82.00M,178.00M,-139.00M,,517.00M,-88.00M,1.00M,1.00M,-5.198B,87.00M,-45.00M,-5.243B,-157.00M,-199.00M,-356.00M,31.00M,-100.00M,-69.00M,-212.00M,-212.00M,-865.00M,-1.502B,7.476B,-6.228B,46.00M,1.294B,31.00M,98.00M,-454.00M,-100.00M
2019-03,727.00M,,-23.00M,-34.00M,-57.00M,74.00M,51.00M,125.00M,125.00M,-9.00M,,57.00M,-30.00M,-309.00M,,175.00M,-37.00M,-73.00M,-845.00M,-1.089B,,-276.00M,-73.00M,1.00M,1.00M,-228.00M,115.00M,-2.00M,-187.00M,6.459B,748.00M,7.207B,77.00M,,77.00M,-210.00M,-210.00M,-248.00M,6.826B,1.066B,6.363B,47.00M,7.476B,77.00M,7.21B,-3.00M,
2018-12,159.00M,,45.00M,329.00M,390.00M,75.00M,48.00M,123.00M,123.00M,-105.00M,,47.00M,-35.00M,132.00M,,-1.00M,7.00M,0.00,392.00M,530.00M,,1.109B,-92.00M,0.00,0.00,-243.00M,5.00M,-7.00M,-337.00M,-254.00M,-75.00M,-329.00M,21.00M,0.00,21.00M,-213.00M,-213.00M,-42.00M,-563.00M,951.00M,209.00M,-94.00M,1.066B,21.00M,-76.00M,-253.00M,0.00
2018-09,279.00M,,-3.00M,152.00M,97.00M,77.00M,47.00M,124.00M,124.00M,32.00M,,47.00M,-84.00M,178.00M,,-64.00M,15.00M,0.00,282.00M,411.00M,,906.00M,-87.00M,2.00M,2.00M,-391.00M,2.00M,1.00M,-473.00M,-4.00M,-100.00M,-104.00M,24.00M,-175.00M,-151.00M,-211.00M,-211.00M,-49.00M,-515.00M,1.036B,-82.00M,-3.00M,951.00M,24.00M,-100.00M,-4.00M,-175.00M
2018-06,536.00M,,41.00M,-28.00M,13.00M,79.00M,43.00M,122.00M,122.00M,23.00M,,49.00M,-75.00M,-31.00M,,-148.00M,2.00M,0.00,286.00M,109.00M,,777.00M,-77.00M,0.00,0.00,-119.00M,-12.00M,-1.00M,-209.00M,-3.00M,-74.00M,-77.00M,16.00M,-250.00M,-234.00M,-194.00M,-194.00M,-21.00M,-526.00M,1.168B,42.00M,-174.00M,1.036B,16.00M,-74.00M,-3.00M,-250.00M
