,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,898.26M,2.498B,3.397B,203.18M,,203.18M,13.71M,141.53M,40.73M,195.97M,115.79M,96.83M,,4.008B,,,,,,,797.87M,-517.62M,280.24M,159.30M,7.446M,166.74M,224.61M,,218.27M,889.86M,4.898B,,74.60M,7.782M,,82.38M,219.17M,301.55M,584.34M,584.34M,,584.34M,47.02M,47.02M,,,932.91M,995.58M,995.58M,348.00M,348.00M,,1.11M,1.360B,2.293B,,2.552M,1.898B,710.30M,,,,,-21.39M,2.605B,,AOR,Restated
2015-09,760.61M,2.535B,3.296B,282.63M,,282.63M,12.01M,163.09M,37.87M,212.97M,89.48M,100.29M,,3.981B,,,,,,,809.66M,-522.28M,287.38M,159.30M,9.214M,168.51M,235.92M,,217.38M,909.19M,4.890B,,75.28M,6.657M,,81.94M,205.12M,287.06M,581.58M,581.58M,,581.58M,81.71M,81.71M,,,950.34M,995.33M,995.33M,308.66M,308.66M,,1.311M,1.318B,2.269B,,2.569M,1.932B,683.14M,,,,,-14.51M,2.622B,,AOR,Restated
2015-06,666.34M,2.666B,3.332B,251.99M,,251.99M,16.01M,179.26M,26.74M,222.01M,82.58M,90.72M,,3.980B,,,,,,,806.73M,-512.24M,294.49M,159.30M,10.98M,170.28M,248.43M,,222.63M,935.82M,4.916B,,81.90M,17.92M,,99.81M,222.80M,322.62M,578.82M,578.82M,,578.82M,55.73M,55.73M,,,957.16M,995.09M,995.09M,301.13M,301.13M,,1.335M,1.311B,2.268B,,2.57M,1.959B,678.21M,,,,,-13.19M,2.648B,,AOR,Restated
2015-03,892.57M,2.410B,3.303B,246.62M,,246.62M,14.17M,183.47M,33.68M,231.33M,74.53M,79.52M,,3.935B,0.00,65.30M,312.61M,426.72M,,,804.62M,-503.58M,301.04M,159.30M,12.75M,172.05M,266.90M,,223.03M,963.01M,4.898B,,80.11M,19.69M,,99.81M,62.48M,162.29M,576.05M,576.05M,,576.05M,66.07M,136.23M,,9.32M,963.21M,994.84M,994.84M,289.87M,289.87M,,1.366M,1.299B,2.263B,,2.583M,1.966B,653.88M,,,,,-11.15M,2.636B,,AOR,Restated
2014-12,1.431B,1.490B,2.921B,187.50M,,187.50M,14.09M,198.27M,34.30M,246.66M,79.35M,80.86M,,3.515B,,,,,,,831.50M,-493.59M,337.91M,159.30M,21.70M,181.00M,654.01M,,227.14M,1.400B,4.915B,,58.23M,15.37M,,73.60M,214.64M,288.24M,573.29M,573.29M,,573.29M,51.49M,51.49M,,,913.02M,994.60M,994.60M,293.14M,293.14M,,1.579M,1.302B,2.215B,,2.611M,1.989B,690.35M,,,,,-7.984M,2.700B,,AOR,Restated
2014-09,714.70M,1.881B,2.596B,290.63M,,290.63M,15.75M,208.41M,38.51M,262.67M,81.29M,73.54M,,3.304B,,,,,,,825.65M,-480.17M,345.48M,159.30M,24.07M,183.37M,950.83M,,233.65M,1.713B,5.017B,,105.69M,2.17M,,107.86M,231.41M,339.27M,570.53M,570.53M,,570.53M,60.85M,60.85M,,,970.65M,994.35M,994.35M,295.64M,295.64M,,1.591M,1.303B,2.274B,,2.644M,1.977B,736.25M,,,,,-2.12M,2.743B,,AOR,Restated
2014-06,625.03M,1.860B,2.485B,281.34M,,281.34M,17.04M,206.90M,32.86M,256.79M,68.04M,77.32M,,3.169B,,,,,,,817.84M,-467.11M,350.74M,159.30M,26.45M,185.74M,1.110B,,239.39M,1.886B,5.054B,,99.57M,17.58M,,117.15M,179.68M,296.83M,567.76M,567.76M,,567.76M,69.26M,69.26M,,,933.85M,994.11M,994.11M,283.49M,283.49M,,1.588M,1.291B,2.225B,,2.671M,2.000B,788.02M,,,,,6.926M,2.830B,,AOR,Restated
2014-03,973.68M,1.484B,2.457B,267.83M,,267.83M,15.31M,192.07M,26.63M,234.00M,51.83M,56.17M,,3.067B,0.00,93.70M,311.41M,404.92M,,,810.03M,-454.94M,355.09M,159.30M,28.87M,188.16M,1.191B,,236.18M,1.970B,5.037B,,149.70M,12.94M,,162.63M,55.26M,217.89M,565.00M,565.00M,,565.00M,55.10M,114.67M,,0.935M,989.36M,993.87M,993.87M,253.43M,253.43M,,1.535M,1.260B,2.250B,,2.686M,1.945B,805.07M,,,,,-0.548M,2.788B,,AOR,Restated
2013-12,631.88M,1.826B,2.457B,207.25M,,207.25M,16.66M,164.34M,25.73M,206.73M,74.36M,2.066M,,2.948B,,,,,,,802.09M,-447.29M,354.80M,159.30M,31.33M,190.62M,1.287B,,221.16M,2.054B,5.002B,,90.12M,4.595M,,94.72M,214.29M,309.01M,934.39M,934.39M,,934.39M,48.08M,188.68M,140.60M,,1.432B,,,279.70M,279.70M,,2.481M,292.75M,1.725B,,2.665M,1.889B,1.038B,,,,,-7.548M,3.277B,,AOR,Restated
2013-09,570.49M,1.694B,2.264B,277.54M,,277.54M,12.85M,148.51M,22.35M,183.71M,73.76M,2.138M,,2.801B,,,,,,,801.66M,-444.24M,357.42M,158.99M,31.22M,190.21M,1.437B,,214.44M,2.199B,5.000B,,88.95M,4.144M,,93.09M,263.97M,357.06M,930.08M,930.08M,,930.08M,68.81M,195.02M,126.21M,,1.482B,,,269.25M,269.25M,,2.211M,286.01M,1.768B,,2.682M,1.814B,1.060B,,,,,-4.561M,3.232B,,AOR,Restated
2013-06,509.41M,1.332B,1.842B,268.15M,,268.15M,11.43M,155.70M,19.67M,186.80M,55.75M,2.10M,,2.355B,,,,,,,794.55M,-431.59M,362.96M,158.99M,33.64M,192.63M,1.634B,,216.73M,2.406B,4.761B,,69.24M,1.587M,,70.83M,200.53M,271.36M,926.78M,926.78M,,926.78M,57.94M,204.34M,146.40M,,1.402B,,,228.22M,228.22M,,2.599M,268.60M,1.671B,,2.648M,1.767B,967.69M,,,,,-10.08M,3.090B,,AOR,Restated
2013-03,623.56M,1.091B,1.715B,229.18M,,229.18M,12.48M,165.03M,23.73M,201.25M,91.76M,60.71M,,2.298B,0.00,93.70M,303.96M,387.14M,,,784.80M,-419.11M,365.69M,158.99M,36.05M,195.04M,1.651B,,220.05M,2.432B,4.729B,,72.77M,60.63M,,133.40M,82.65M,216.05M,,,,,53.36M,103.77M,,,386.79M,922.67M,922.67M,415.44M,415.44M,,3.68M,1.379B,1.766B,,2.636M,1.676B,1.276B,,,,,8.66M,2.963B,,AOR,Restated
2012-12,623.14M,1.063B,1.687B,232.26M,,232.26M,15.17M,189.52M,21.30M,225.98M,59.15M,59.55M,,2.264B,,,,,,,794.09M,-420.72M,373.37M,158.99M,38.54M,197.53M,1.560B,,218.30M,2.349B,4.613B,,98.56M,,,98.56M,186.96M,285.52M,,,,,50.02M,50.02M,,,335.54M,918.88M,918.88M,507.00M,507.00M,,19.60M,1.461B,1.797B,,2.612M,1.603B,1.195B,,,,,15.16M,2.816B,,AOR,Restated
2012-09,595.12M,1.111B,1.706B,222.27M,,222.27M,14.56M,166.67M,22.84M,204.07M,54.43M,62.84M,,2.250B,,,,,,,798.80M,-416.60M,382.21M,158.99M,41.10M,200.09M,1.497B,,218.89M,2.299B,4.549B,,96.48M,,,96.48M,74.17M,170.65M,,,,,47.97M,47.97M,,,342.66M,915.11M,915.11M,499.71M,499.71M,,23.76M,1.454B,1.797B,,2.608M,1.564B,1.167B,,,,,18.57M,2.752B,,AOR,Restated
2012-06,526.19M,1.217B,1.743B,257.94M,,257.94M,12.83M,159.25M,21.24M,193.32M,47.60M,60.19M,,2.302B,,,,,,,794.39M,-405.67M,388.72M,149.54M,34.18M,183.72M,1.400B,,218.92M,2.191B,4.493B,,101.68M,,,101.68M,87.94M,189.62M,,,,,56.70M,56.70M,,,360.16M,911.14M,911.14M,477.62M,477.62M,,24.94M,1.429B,1.789B,,2.612M,1.546B,1.151B,,,,,4.917M,2.704B,,AOR,Restated
2012-03,788.82M,1.129B,1.918B,214.96M,,214.96M,11.71M,164.44M,28.72M,204.87M,48.03M,64.82M,,2.450B,0.00,94.26M,314.46M,379.71M,,,788.42M,-393.44M,394.98M,149.54M,36.33M,185.87M,1.209B,,223.73M,2.014B,4.464B,,78.61M,8.663M,,87.28M,68.08M,155.36M,,,,,67.00M,112.14M,,5.636M,342.78M,906.57M,906.57M,463.04M,463.04M,,29.57M,1.414B,1.756B,,2.636M,1.502B,1.195B,,,,,7.264M,2.708B,,AOR,Restated
2011-12,661.32M,1.099B,1.761B,211.13M,,211.13M,14.81M,200.31M,30.35M,245.48M,57.37M,77.95M,,2.353B,,,,,,,784.46M,-394.45M,390.01M,149.70M,38.31M,188.02M,1.191B,,223.70M,1.993B,4.345B,,98.85M,,,98.85M,104.80M,203.65M,,,,,63.22M,63.22M,,,382.44M,903.06M,903.06M,449.17M,449.17M,,21.36M,1.402B,1.784B,,2.615M,1.430B,1.128B,,,,,0.043M,2.561B,,AOR,Restated
2011-09,602.95M,1.205B,1.808B,216.42M,,216.42M,16.97M,200.14M,30.54M,247.65M,58.06M,84.58M,,2.414B,,,,,,,772.93M,-388.04M,384.89M,149.69M,40.30M,189.99M,1.048B,,230.17M,1.854B,4.268B,,84.19M,,,84.19M,94.19M,178.37M,,,,,72.50M,72.50M,,,367.45M,899.80M,899.80M,433.49M,433.49M,,25.77M,1.408B,1.775B,,2.624M,1.362B,1.122B,,,,,6.37M,2.492B,,AOR,Restated
2011-06,961.24M,1.012B,1.973B,244.68M,,244.68M,17.05M,199.41M,33.70M,250.16M,65.04M,87.77M,,2.621B,,,,,,,758.71M,-378.04M,380.66M,148.56M,42.28M,190.84M,899.57M,,239.06M,1.710B,4.331B,,86.41M,,,86.41M,129.29M,215.70M,,,,,92.12M,92.12M,,,434.13M,894.48M,894.48M,420.58M,420.58M,,34.35M,1.397B,1.831B,,2.643M,1.322B,1.162B,,,,,13.32M,2.500B,,AOR,Restated
2011-03,1.222B,704.05M,1.926B,286.46M,,286.46M,15.46M,214.02M,35.26M,264.74M,57.10M,88.06M,,2.623B,0.00,94.26M,301.64M,352.04M,,,747.94M,-367.37M,380.57M,133.58M,26.90M,160.48M,766.45M,,210.57M,1.518B,4.141B,,99.25M,0.00,,99.25M,43.54M,142.80M,,,,,99.76M,99.76M,,,368.14M,890.98M,890.98M,403.99M,403.99M,45.31M,17.82M,1.358B,1.726B,,2.646M,1.238B,1.163B,,,,,10.52M,2.415B,,AOR,Restated
2010-12,1.101B,663.72M,1.765B,369.66M,,369.66M,19.82M,181.24M,41.47M,242.53M,53.70M,100.00M,,2.531B,,,,,,,745.67M,-368.91M,376.76M,117.96M,,117.96M,660.17M,,172.89M,1.328B,3.858B,,147.16M,0.814M,,147.97M,27.44M,175.41M,,,,,80.54M,80.54M,,,375.02M,887.20M,887.20M,368.52M,368.52M,52.89M,1.201M,1.310B,1.685B,,2.60M,1.120B,1.043B,,,,,7.465M,2.174B,,AOR,Restated
2010-09,774.50M,632.16M,1.407B,556.77M,,556.77M,17.99M,116.12M,36.07M,170.18M,112.14M,98.16M,,2.344B,,,,,,,740.63M,-366.25M,374.38M,117.96M,,117.96M,704.59M,,175.01M,1.372B,3.716B,,131.01M,1.393M,,132.40M,164.82M,297.23M,,,,,93.61M,93.61M,,,390.83M,884.39M,884.39M,350.70M,350.70M,,62.69M,1.298B,1.689B,,2.59M,1.009B,1.007B,,,,,8.406M,2.027B,,AOR,Restated
2010-06,912.44M,631.22M,1.544B,355.41M,,355.41M,18.75M,104.27M,28.60M,151.63M,69.40M,102.08M,,2.222B,,,,,,,727.65M,-355.70M,371.95M,117.96M,,117.96M,580.39M,,180.54M,1.251B,3.473B,,122.36M,8.012M,,130.37M,168.51M,298.88M,,,,,74.21M,74.21M,,,373.09M,849.50M,849.50M,322.66M,322.66M,,60.62M,1.233B,1.606B,,2.58M,886.84M,976.58M,,,,,1.124M,1.867B,,AOR,Restated
2010-03,1.031B,355.15M,1.387B,262.74M,,262.74M,13.26M,85.99M,31.38M,130.63M,25.97M,101.13M,,1.907B,0.00,94.26M,300.39M,320.25M,,,714.90M,-349.03M,365.88M,117.96M,,117.96M,582.20M,,211.22M,1.277B,3.184B,,96.17M,14.45M,,110.62M,51.74M,162.37M,,,,,80.13M,80.13M,,,357.16M,354.80M,354.80M,294.15M,294.15M,56.25M,1.492M,706.69M,1.064B,,2.735M,1.017B,1.102B,,,,,-1.221M,2.120B,,AOR,Restated
2009-12,1.038B,452.43M,1.490B,231.08M,,231.08M,8.413M,85.59M,34.93M,128.94M,25.24M,83.48M,,1.959B,,,,,,,720.99M,-353.48M,367.51M,117.96M,,117.96M,503.11M,,174.65M,1.163B,3.122B,,108.45M,4.028M,,112.48M,172.09M,284.57M,,,,,77.40M,77.40M,,,361.97M,354.46M,354.46M,247.82M,247.82M,,123.79M,726.08M,1.088B,,2.765M,959.91M,1.068B,,,,,3.486M,2.034B,,AOR,Restated
2009-09,1.028B,489.49M,1.518B,226.67M,,226.67M,8.17M,67.37M,25.41M,100.96M,25.26M,73.94M,,1.944B,,,,,,,732.98M,-361.29M,371.69M,117.96M,,117.96M,352.38M,,174.23M,1.016B,2.961B,,92.17M,0.919M,,93.08M,123.62M,216.70M,,,,,75.76M,75.76M,,,292.46M,353.47M,353.47M,206.71M,206.71M,,141.91M,702.09M,994.55M,,2.768M,903.84M,1.055B,,,,,4.715M,1.966B,,AOR,Restated
2009-06,836.38M,588.17M,1.425B,195.93M,,195.93M,11.54M,61.45M,28.17M,101.17M,51.04M,60.51M,,1.833B,,,,,,,742.99M,-363.38M,379.61M,117.96M,,117.96M,350.05M,,164.37M,1.012B,2.845B,,68.45M,0.00,,68.45M,127.13M,195.58M,,,,,49.73M,49.73M,,,245.31M,352.33M,352.33M,196.96M,196.96M,,138.50M,687.79M,933.10M,,2.755M,878.55M,1.034B,,,,,-3.159M,1.912B,,AOR,Restated
2009-03,1.066B,258.95M,1.325B,216.39M,,216.39M,10.02M,79.43M,30.38M,119.83M,27.60M,63.71M,,1.752B,0.00,94.19M,298.54M,384.07M,,,776.81M,-388.90M,387.91M,117.96M,2.493M,120.45M,410.58M,91.66M,48.84M,1.059B,2.812B,,48.20M,10.17M,6.526M,64.90M,79.46M,144.36M,,,,,62.36M,88.70M,,,233.07M,352.11M,352.11M,196.19M,196.19M,,81.78M,630.08M,863.14M,,2.755M,879.12M,1.086B,,,,,-18.86M,1.949B,,AOR,Restated
2008-12,1.008B,282.15M,1.290B,213.59M,,213.59M,15.36M,99.91M,34.15M,149.42M,30.22M,71.10M,,1.754B,,,,,,,816.14M,-421.16M,394.97M,117.96M,3.499M,121.45M,,,610.77M,1.127B,2.881B,,53.41M,,,53.41M,151.57M,204.97M,,,,,,,,74.32M,279.30M,760.11M,760.11M,102.42M,102.42M,,71.15M,933.68M,1.213B,,2.741M,865.97M,819.88M,,,-1.511M,-18.60M,-20.11M,1.668B,,,Restated
