,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks
2005-03,32.00M,,32.00M,139.00M,,139.00M,85.00M,,,256.00M,,,,,,11.81B,-5.689B,6.12B,,9.846B,9.846B,572.00M,16.54B,16.79B,,2005-03,1.256B,,,1.256B,,,,,,,,1.256B,18.93B,,18.93B,,,,656.00M,55.00M,649.00M,19.63B,20.89B,,2005-03,0.00,,,-4.751B,,2005-03
2004-12,650.00M,,650.00M,190.00M,,190.00M,82.00M,,,922.00M,0.00,,578.00M,11.02B,,11.60B,-5.311B,6.289B,,9.878B,9.878B,584.00M,16.75B,17.67B,,2004-12,1.217B,,,1.217B,,,,,,,,1.217B,19.46B,,19.46B,,,,648.00M,55.00M,695.00M,20.21B,21.43B,,2004-12,0.00,,-4.00M,-4.406B,,2004-12
2004-09,129.00M,,129.00M,186.00M,,186.00M,30.00M,,,345.00M,,,,,,11.35B,-4.933B,6.415B,,9.885B,9.885B,439.00M,16.74B,17.08B,,2004-09,1.301B,,,1.301B,,,,,,,,1.301B,18.48B,,18.48B,,,,637.00M,55.00M,689.00M,19.23B,20.53B,,2004-09,0.00,,-9.00M,-4.082B,,2004-09
2004-06,124.00M,,124.00M,185.00M,,185.00M,31.00M,,,340.00M,,,,,,11.11B,-4.57B,6.536B,,13.20B,13.20B,448.00M,20.18B,20.52B,,2004-06,1.15B,,,1.15B,,,,,,,,1.15B,18.41B,,18.41B,,,,713.00M,55.00M,987.00M,19.45B,20.60B,,2004-06,0.00,,-11.00M,-797.00M,,2004-06
2004-03,153.00M,,153.00M,164.00M,,164.00M,39.00M,,,356.00M,,,,,,10.93B,-4.217B,6.71B,,13.20B,13.20B,310.00M,20.22B,20.57B,,2004-03,1.25B,,,1.25B,,,,,,,,1.25B,18.11B,,18.11B,,,,693.00M,55.00M,907.00M,19.07B,20.32B,,2004-03,0.00,,-25.00M,-441.00M,,2004-03
2003-12,127.00M,,127.00M,189.00M,,189.00M,34.00M,,,350.00M,0.00,,583.00M,10.38B,,10.96B,-3.95B,7.014B,,13.68B,13.68B,320.00M,21.01B,21.36B,,2003-12,1.286B,,,1.286B,,,,,,,,1.286B,18.65B,,18.65B,,,,689.00M,55.00M,862.00M,19.56B,20.85B,,2003-12,0.00,,-24.00M,-175.00M,,2003-12
2003-09,135.00M,,135.00M,190.00M,,190.00M,33.00M,,,358.00M,,,,,,10.67B,-3.618B,7.053B,,13.72B,13.72B,319.00M,21.09B,21.45B,,2003-09,1.216B,,,1.216B,,,,,,,,1.216B,18.50B,,18.50B,,,,763.00M,55.00M,1.046B,19.60B,20.82B,,2003-09,0.00,,-31.00M,-127.00M,,2003-09
2003-06,212.00M,,212.00M,228.00M,,228.00M,33.00M,,,473.00M,,,,,,10.56B,-3.363B,7.194B,,13.72B,13.72B,340.00M,21.26B,21.73B,,2003-06,1.18B,,,1.18B,,,,,,,,1.18B,18.87B,,18.87B,,,,714.00M,55.00M,1.088B,20.01B,21.19B,,2003-06,0.00,,-42.00M,-174.00M,,2003-06
2003-03,446.00M,,446.00M,233.00M,,233.00M,46.00M,,,725.00M,,,,,,10.41B,-2.998B,7.408B,,13.72B,13.72B,337.00M,21.47B,22.20B,,2003-03,1.253B,,,1.253B,,,,,,,,1.253B,18.96B,,18.96B,,,,869.00M,55.00M,1.195B,20.21B,21.46B,,2003-03,0.00,,-44.00M,-138.00M,,2003-03
2002-12,321.00M,,321.00M,259.00M,8.00M,267.00M,45.00M,,,633.00M,0.00,580.00M,,9.733B,,10.31B,-2.634B,7.679B,,13.73B,13.73B,345.00M,21.75B,22.38B,,2002-12,1.405B,,,1.405B,,,,,,,,1.405B,18.67B,,18.67B,,,,1.025B,51.00M,1.191B,19.91B,21.32B,,2002-12,0.00,,-47.00M,41.00M,,2002-12
2002-09,508.17M,,508.17M,242.61M,7.313M,249.92M,63.10M,,,821.19M,,,,,,9.984B,-2.587B,7.397B,,18.29B,18.29B,367.25M,26.05B,26.87B,,2002-09,1.265B,,,1.265B,,,,,,,,1.265B,18.45B,,18.45B,,,,3.219B,50.57M,1.689B,20.19B,21.46B,,2002-09,0.295M,,-50.00M,2.197B,,2002-09
2002-06,6.552M,,6.552M,231.07M,6.782M,237.85M,69.26M,,,313.66M,,,,,,9.703B,-2.390B,7.313B,,17.18B,17.18B,373.04M,24.86B,25.17B,,2002-06,1.161B,,,1.161B,,,,,,,,1.161B,17.57B,,17.57B,,,,3.524B,50.57M,387.40M,18.01B,19.17B,,2002-06,0.295M,,-23.03M,2.480B,,2002-06
2002-03,16.75M,,16.75M,224.44M,6.509M,230.95M,70.02M,,,317.72M,,,,9.420B,20.33B,29.75B,-5.458B,24.29B,,,,394.60M,24.68B,25.00B,,2002-03,1.193B,,,1.193B,,,,,,,,1.193B,16.98B,,16.98B,,,,3.778B,50.57M,302.35M,17.34B,18.53B,,2002-03,0.294M,,-9.763M,2.695B,,2002-03
2001-12,2.00M,,2.00M,292.00M,5.00M,297.00M,70.00M,,,369.00M,0.00,506.00M,,8.336B,,8.842B,-1.928B,6.914B,,18.91B,18.91B,269.00M,26.09B,26.46B,,2001-12,1.379B,,,1.379B,,,,,,,,1.379B,16.34B,,16.34B,,,,4.409B,51.00M,1.696B,18.09B,19.47B,,2001-12,0.00,,-17.00M,2.585B,,2001-12
2001-09,15.20M,,15.20M,257.38M,4.181M,261.56M,77.08M,,,353.84M,,,,,,8.485B,-1.758B,6.727B,,17.50B,17.50B,310.09M,24.54B,24.89B,,2001-09,1.296B,,,1.296B,,,,,,,,1.296B,15.65B,,15.65B,,,,4.303B,50.57M,423.87M,16.13B,17.42B,,2001-09,0.294M,,-18.93M,3.166B,,2001-09
2001-06,572.73M,,572.73M,214.33M,1.129M,215.46M,84.20M,,,872.40M,,,,,,7.838B,-1.499B,6.340B,,17.79B,17.79B,323.26M,24.46B,25.33B,,2001-06,1.189B,,,1.189B,,,,,,,,1.189B,15.57B,,15.57B,,,,4.711B,,339.04M,15.91B,17.10B,,2001-06,0.294M,,-6.72M,3.521B,,2001-06
2001-03,19.42M,,19.42M,193.81M,4.592M,198.40M,92.66M,,,310.48M,,,,,,6.745B,-1.244B,5.501B,,16.75B,16.75B,293.66M,22.55B,22.86B,,2001-03,1.170B,,,1.170B,,,,,,,,1.170B,13.71B,,13.71B,,,,4.784B,,345.61M,14.05B,15.22B,,2001-03,0.234M,,-9.085M,2.852B,,2001-03
2000-12,131.00M,,131.00M,224.00M,,224.00M,,,78.00M,433.00M,,,,,,6.329B,-1.061B,5.268B,,17.07B,17.07B,274.00M,22.61B,23.04B,,2000-12,1.367B,,,1.367B,,,,,,,,1.367B,13.06B,,13.06B,,,,4.089B,,1.405B,14.46B,15.83B,,2000-12,0.00,,-1.00M,3.123B,,2000-12
2000-09,44.47M,,44.47M,162.35M,,166.94M,43.76M,,,255.17M,,,,,,5.591B,-909.15M,4.681B,,17.27B,17.27B,229.94M,22.19B,22.44B,,2000-09,1.171B,,,1.184B,,,,,,,,1.184B,12.17B,,12.17B,,,,,,6.419B,18.59B,19.77B,,2000-09,0.207M,,0.947M,2.670B,,2000-09
2000-06,74.02M,,74.02M,122.87M,,122.87M,38.84M,,,235.73M,,,,,,4.709B,-474.88M,4.234B,,17.34B,17.34B,217.31M,21.79B,22.03B,,2000-06,1.017B,,,1.020B,,,,,,,,1.020B,11.61B,,11.61B,,,13.75M,,,6.683B,18.30B,19.32B,,2000-06,0.195M,,0.961M,2.703B,,2000-06
2000-03,130.71M,,130.71M,97.90M,,97.90M,44.28M,,,272.89M,,,,,,4.307B,-474.88M,3.832B,,17.45B,17.45B,253.98M,21.53B,21.80B,,2000-03,745.55M,,,764.90M,,,,,,,,764.90M,11.15B,,11.15B,,,,,,6.976B,18.14B,18.91B,,2000-03,0.195M,,0.676M,2.896B,,2000-03
1999-12,133.70M,,133.70M,93.70M,,93.70M,,,35.20M,262.60M,,,,,,3.808B,-317.10M,3.491B,,14.99B,14.99B,227.50M,18.70B,18.97B,,1999-12,112.20M,,,112.20M,,,,,,,607.80M,720.00M,8.936B,,8.936B,,,,5.381B,,917.60M,9.854B,10.57B,,1999-12,0.20M,,1.40M,3.011B,,1999-12
