,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.553B,25.22B,,25.22B,,,25.22B,,,,,,,,,4.593B,14.16M,4.607B,98.54B,1.736B,,96.80B,8.114B,117.38B,142.60B,,2.166B,2.166B,,2.166B,59.48M,59.48M,59.48M,2.226B,4.382B,,4.382B,119.81B,124.19B,126.41B,,16.19B,,,,1.25B,,16.19B,,AOR,
2020-09,1.489B,21.69B,5.302B,26.99B,5.555B,5.555B,32.54B,,,,,,,,1.147B,4.593B,17.29M,4.610B,98.45B,1.759B,,96.69B,8.939B,111.38B,138.63B,,1.857B,1.857B,,1.857B,46.12M,46.12M,46.12M,1.904B,5.459B,,5.459B,115.16B,120.62B,122.53B,,1.331B,13.13B,6.610B,5.148B,1.25B,175.50M,16.10B,,AOR,
2020-06,1.355B,22.24B,5.821B,28.06B,5.657B,5.657B,33.72B,,,,,,,,1.155B,4.593B,21.21M,4.614B,97.76B,1.638B,,96.12B,9.748B,111.64B,139.54B,,2.250B,2.250B,,2.250B,52.30M,52.30M,52.30M,2.303B,6.321B,,6.321B,114.97B,121.29B,123.59B,,1.331B,12.92B,6.599B,5.149B,1.25B,244.63M,15.95B,,AOR,
2020-03,1.298B,10.19B,6.140B,16.33B,5.672B,5.672B,22.01B,,,,,,,,1.155B,4.593B,25.12M,4.618B,94.14B,1.384B,,92.76B,10.18B,108.71B,124.58B,,2.198B,2.198B,,2.198B,59.18M,59.18M,59.18M,2.257B,6.321B,,6.321B,100.18B,106.50B,108.76B,,1.331B,12.84B,6.588B,5.151B,1.25B,209.83M,15.82B,,AOR,
2019-12,1.433B,8.623B,6.319B,14.94B,5.644B,5.644B,20.59B,96.12M,482.18M,753.96M,436.93M,262.44M,2.032B,-890.70M,1.141B,4.593B,29.03M,4.622B,91.19B,1.051B,-265.66M,89.87B,9.967B,105.60B,119.87B,,2.337B,2.337B,,2.337B,0.00,0.00,0.00,2.502B,6.885B,,6.885B,94.77B,101.65B,104.16B,,1.331B,12.82B,6.594B,4.823B,1.25B,-206.68M,15.72B,,AOR,
2019-09,1.819B,14.31B,6.985B,21.30B,5.409B,5.409B,26.71B,,,,,,,,1.074B,4.593B,33.34M,4.626B,89.82B,1.038B,,88.78B,11.29B,105.78B,125.50B,,2.091B,2.091B,,2.091B,5.514B,5.514B,5.514B,7.605B,7.003B,,7.003B,95.11B,102.12B,109.72B,,1.331B,12.49B,6.585B,4.546B,1.25B,-80.31M,15.78B,,AOR,Restated
2019-06,1.272B,10.06B,7.380B,17.44B,4.886B,4.886B,22.33B,,,,,,,,1.067B,4.593B,38.43M,4.632B,89.88B,1.030B,,88.85B,12.06B,106.61B,121.55B,,1.915B,1.915B,,1.915B,4.611B,4.611B,4.611B,6.527B,7.656B,,7.656B,91.68B,99.34B,105.86B,,1.313B,12.16B,6.578B,4.248B,1.232B,-112.96M,15.69B,,AOR,Restated
2019-03,1.267B,8.870B,8.326B,17.20B,5.040B,5.040B,22.24B,,,,,,,,1.045B,4.593B,43.95M,4.637B,88.64B,1.019B,,87.62B,12.81B,106.12B,120.03B,,1.889B,1.889B,,1.889B,3.603B,3.603B,3.603B,5.492B,8.476B,,8.476B,90.47B,98.95B,104.44B,,1.313B,11.84B,6.568B,3.848B,1.232B,-288.01M,15.59B,,AOR,Restated
2018-12,1.605B,9.711B,8.683B,18.39B,4.774B,4.774B,23.17B,97.08M,465.48M,688.36M,,240.73M,1.492B,-844.25M,647.41M,4.593B,47.07M,4.640B,88.73B,1.019B,-267.02M,87.45B,12.88B,105.61B,120.10B,,1.637B,1.637B,,1.637B,4.20B,4.20B,4.20B,6.445B,8.036B,,8.036B,90.16B,98.19B,104.64B,,1.313B,11.52B,6.579B,3.529B,1.232B,-420.08M,15.46B,,AOR,Restated
2018-09,1.312B,7.835B,9.155B,16.99B,4.852B,4.852B,21.84B,,,,,,,,634.42M,4.593B,52.43M,4.646B,86.68B,1.019B,,85.66B,13.20B,104.14B,116.83B,,1.801B,1.801B,,1.801B,1.310B,1.310B,1.310B,3.111B,9.140B,,9.140B,89.14B,98.28B,101.39B,,1.313B,11.13B,6.585B,3.048B,1.232B,-542.40M,15.44B,,AOR,Restated
