,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,3.437B,-1.484B,,-1.484B,-9.848B,,3.252B,3.252B,-326.00M,,271.00M,91.00M,-1.002B,,279.00M,,,524.00M,-199.00M,,5.042B,,-3.519B,,,-684.00M,-180.00M,-267.00M,351.00M,-4.074B,,-1.701B,0.00,-1.701B,,,,-1.054B,-1.054B,-105.00M,-62.00M,-2.922B,,13.74B,-1.954B,-15.00M,11.77B,,,305.00M,-2.006B,,,AOR,
2020-09,2.031B,115.00M,,115.00M,9.848B,,3.32B,3.32B,-140.00M,,301.00M,254.00M,82.00M,,334.00M,,,-1.069B,-653.00M,,5.228B,,-2.939B,,,-552.00M,-348.00M,-74.00M,-134.00M,-3.495B,,-1.332B,0.00,-1.332B,,,,-1.058B,-1.058B,-160.00M,484.00M,-2.066B,,13.98B,-333.00M,94.00M,13.74B,,,4.727B,-6.059B,,,AOR,
2020-06,3.009B,-392.00M,,-392.00M,-3.264B,,3.264B,3.264B,36.00M,,323.00M,125.00M,702.00M,,-152.00M,,,1.728B,2.278B,,8.643B,,-2.677B,,,-601.00M,1.684B,-402.00M,18.00M,-1.377B,,1.058B,0.00,1.058B,,,,-1.051B,-1.051B,-36.00M,-1.87B,-1.899B,,8.609B,5.367B,0.00,13.98B,,,4.331B,-3.273B,,,AOR,
2020-03,2.224B,791.00M,,791.00M,3.264B,,3.264B,3.264B,-120.00M,,298.00M,227.00M,198.00M,,-727.00M,,,-331.00M,-860.00M,,5.824B,,-2.499B,,,-618.00M,-548.00M,-69.00M,15.00M,-3.101B,,1.842B,0.00,1.842B,,,,-977.00M,-977.00M,-233.00M,-258.00M,374.00M,,5.589B,3.097B,-77.00M,8.609B,,,9.281B,-7.439B,,,AOR,
2019-12,3.20B,146.00M,,146.00M,-9.776B,,3.177B,3.177B,95.00M,,231.00M,107.00M,-417.00M,,802.00M,,,-1.106B,-721.00M,,6.235B,,-3.876B,,,-789.00M,109.00M,-202.00M,40.00M,-3.929B,,584.00M,0.00,584.00M,,,,-957.00M,-957.00M,-72.00M,90.00M,-355.00M,,3.602B,1.951B,36.00M,5.589B,,,4.963B,-4.379B,,,AOR,Restated
2019-09,3.288B,201.00M,,201.00M,9.776B,,3.18B,3.18B,2.00M,,257.00M,142.00M,65.00M,,-334.00M,,,-1.61B,-1.879B,,5.191B,,-3.119B,,,-608.00M,-295.00M,-92.00M,8.00M,-3.498B,,-491.00M,-487.00M,-978.00M,,,,-955.00M,-955.00M,-82.00M,-79.00M,-2.094B,,4.019B,-401.00M,-16.00M,3.602B,,,5.328B,-5.819B,,,AOR,Restated
2019-06,3.203B,131.00M,,131.00M,-3.32B,,3.276B,3.276B,195.00M,,288.00M,91.00M,-154.00M,,-241.00M,,,251.00M,-144.00M,,7.04B,,-2.794B,,,-531.00M,-183.00M,-1.166B,-45.00M,-4.188B,,-1.931B,487.00M,-1.444B,,,,-954.00M,-954.00M,-103.00M,94.00M,-2.407B,,3.597B,445.00M,-23.00M,4.019B,,,141.00M,-2.072B,,,AOR,Restated
2019-03,3.632B,-498.00M,,-498.00M,3.32B,,3.32B,3.32B,271.00M,,245.00M,77.00M,449.00M,,-574.00M,,,309.00M,184.00M,,7.231B,,-2.639B,,,-547.00M,-231.00M,-439.00M,83.00M,-3.226B,,-1.862B,-1.288B,-3.15B,,,,-869.00M,-869.00M,-247.00M,-59.00M,-4.325B,,3.909B,-320.00M,8.00M,3.597B,,,222.00M,-2.084B,,,AOR,Restated
2018-12,2.582B,458.00M,,458.00M,,,3.197B,3.197B,-587.00M,,219.00M,75.00M,-577.00M,,-309.00M,,,732.00M,-154.00M,,5.79B,,-3.727B,,,-560.00M,-38.32B,-417.00M,71.00M,-42.26B,,30.54B,-2.53B,28.01B,,,,-865.00M,-865.00M,-1.038B,-99.00M,26.01B,,14.62B,-10.47B,-245.00M,3.909B,,,34.93B,-4.393B,,,AOR,Restated
2018-09,2.896B,186.00M,,186.00M,,,2.477B,2.477B,63.00M,,197.00M,118.00M,-165.00M,,34.00M,,,164.00M,33.00M,,5.97B,,-2.829B,,,-445.00M,-127.00M,-302.00M,-1.00M,-3.284B,,5.513B,2.886B,8.399B,,,,-871.00M,-871.00M,-1.284B,-150.00M,6.094B,,5.842B,8.78B,0.00,14.62B,,,5.571B,-58.00M,,,AOR,Restated
