,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-06,3.702B,3.702B,2.752B,949.92M,26.12M,-1.368M,10.56M,0.768M,-9.791M,246.16M,360.08M,589.83M,0.768M,10.56M,-9.791M,0.136M,-9.791M,580.18M,206.99M,373.19M,,,-12.36M,360.82M,361.14M,678.54M,87.80M,590.74M,,1.88,,,1.882,1.88,,1.88,,,1.882,1.88,,191.36M,191.45M,0.33,,AOR,Restated
2015-03,3.007B,3.007B,2.245B,761.80M,29.57M,0.00,10.15M,0.962M,-9.192M,263.60M,373.18M,388.62M,0.962M,10.15M,-9.192M,-7.041M,-9.192M,372.39M,129.73M,242.66M,,,-15.78M,226.88M,226.38M,462.56M,80.01M,382.54M,,1.16,,,1.157,1.16,,1.16,,,1.157,1.16,,195.07M,195.12M,0.32,,AOR,Restated
2014-12,4.283B,4.283B,4.187B,96.62M,32.17M,0.00,10.12M,0.837M,-9.288M,318.36M,451.03M,-354.42M,0.837M,10.12M,-9.288M,2.371M,-9.288M,-361.34M,-150.99M,-210.34M,,,-11.86M,-222.20M,-222.20M,-250.71M,100.50M,-351.21M,,-1.13,,,-1.13,-1.13,,-1.13,,,-1.13,-1.13,,195.29M,195.42M,0.32,,AOR,Restated
2014-09,5.318B,5.318B,4.626B,691.66M,27.15M,0.00,11.04M,1.004M,-10.03M,280.96M,389.05M,302.61M,1.004M,11.04M,-10.03M,-1.803M,-10.03M,290.77M,103.22M,187.56M,,,-12.55M,175.01M,175.36M,382.76M,80.94M,301.81M,,0.88,,,0.8818,0.88,,0.88,,,0.8818,0.88,,197.26M,197.54M,0.32,,AOR,Restated
2014-06,5.373B,5.373B,4.675B,697.75M,28.36M,0.00,10.14M,1.184M,-8.952M,271.65M,401.41M,296.34M,1.184M,10.14M,-8.952M,-0.908M,-8.952M,286.48M,101.33M,185.15M,,,-8.724M,176.43M,176.43M,398.01M,101.39M,296.62M,,0.89,,,0.89,0.89,,0.89,,,0.89,0.89,,198.14M,198.38M,0.32,,AOR,Restated
2014-03,4.791B,4.791B,4.139B,652.43M,26.92M,-7.677M,12.35M,1.405M,-10.94M,273.97M,381.44M,271.00M,1.405M,12.35M,-10.94M,-8.478M,-10.94M,251.58M,87.61M,163.96M,,,-11.90M,152.06M,157.07M,344.47M,80.55M,263.92M,,0.76,,,0.7852,0.76,,0.76,,,0.7852,0.76,,198.30M,198.92M,0.30,,AOR,Restated
2013-12,4.827B,4.827B,4.333B,493.91M,35.83M,0.00,12.98M,1.765M,-11.22M,291.89M,406.78M,87.12M,1.765M,12.98M,-11.22M,-1.201M,-11.22M,74.70M,4.911M,69.79M,,,-6.892M,62.90M,62.90M,166.75M,79.06M,87.69M,,0.32,,,0.32,0.32,,0.31,,,0.31,0.31,,198.35M,200.48M,0.30,,AOR,Restated
2013-09,5.327B,5.327B,4.810B,517.13M,28.94M,0.00,13.95M,1.482M,-12.47M,256.32M,367.38M,149.75M,1.482M,13.95M,-12.47M,0.159M,-12.47M,137.44M,48.53M,88.91M,,,-6.619M,82.29M,82.29M,233.52M,82.13M,151.39M,,0.41,,,0.41,0.41,,0.41,,,0.41,0.41,,199.10M,199.51M,0.30,,AOR,Restated
2013-06,5.299B,5.299B,4.457B,842.04M,34.00M,-22.11M,19.79M,0.778M,-19.02M,277.54M,382.03M,460.01M,0.778M,19.79M,-19.02M,-23.20M,-19.02M,417.79M,152.04M,265.75M,,,-8.768M,256.98M,271.04M,508.08M,70.49M,437.59M,,1.27,,,1.340,1.27,,1.27,,,1.340,1.27,,201.54M,201.90M,0.30,,AOR,Restated
2013-03,4.708B,4.708B,3.793B,915.25M,29.20M,0.00,21.32M,1.531M,-19.79M,265.10M,366.06M,549.20M,1.531M,21.32M,-19.79M,0.059M,-19.79M,529.46M,186.09M,343.37M,,,-9.702M,333.67M,333.67M,622.55M,71.76M,550.78M,,1.64,,,1.64,1.64,,1.63,,,1.63,1.63,,202.73M,203.43M,0.30,,AOR,Restated
2012-12,5.148B,5.148B,4.073B,1.074B,39.68M,0.00,22.83M,1.426M,-21.40M,296.75M,401.14M,673.14M,1.426M,22.83M,-21.40M,0.468M,-21.40M,652.21M,252.22M,399.99M,,,-8.389M,391.60M,391.60M,739.74M,64.71M,675.04M,,1.92,,,1.92,1.92,,1.92,,,1.92,1.92,,200.21M,201.13M,0.20,,AOR,Restated
2012-09,5.205B,5.205B,3.899B,1.306B,28.79M,0.00,21.10M,2.219M,-18.88M,233.86M,327.76M,978.30M,2.219M,21.10M,-18.88M,0.852M,-18.88M,960.27M,349.62M,610.65M,,,-10.28M,600.37M,600.37M,1.046B,65.11M,981.38M,,2.95,,,2.95,2.95,,2.94,,,2.94,2.94,,202.66M,203.53M,0.15,,AOR,Restated
2012-06,4.807B,4.807B,3.682B,1.125B,32.11M,0.00,26.94M,0.681M,-26.26M,222.73M,311.78M,813.14M,0.681M,26.94M,-26.26M,1.212M,-26.26M,788.09M,285.72M,502.37M,,,-8.871M,493.50M,493.29M,871.98M,56.95M,815.03M,,2.40,,,2.399,2.40,,2.39,,,2.389,2.39,,205.73M,206.48M,0.15,,AOR,Restated
2012-03,4.932B,4.932B,4.187B,744.82M,27.53M,,33.32M,0.46M,-32.86M,241.63M,325.26M,419.56M,0.46M,33.32M,-32.86M,0.717M,-32.86M,387.43M,140.41M,247.02M,,,-5.324M,241.70M,241.70M,476.84M,56.10M,420.74M,,1.16,,,1.16,1.16,,1.16,,,1.16,1.16,,208.53M,209.14M,0.10,,AOR,Restated
2011-12,4.972B,4.972B,3.756B,1.216B,41.47M,0.00,21.85M,0.338M,-21.51M,,842.88M,373.06M,0.338M,21.85M,-21.51M,0.561M,-21.51M,352.11M,116.26M,235.85M,,,-12.47M,223.38M,223.38M,427.29M,53.33M,373.96M,,0.80,,,0.80,0.80,,0.79,,,0.79,0.79,,207.73M,208.75M,0.10,,AOR,Restated
2011-09,5.173B,5.173B,4.218B,955.59M,43.14M,-9.10M,25.07M,0.204M,-24.87M,,86.38M,869.21M,0.204M,25.07M,-24.87M,-8.568M,-24.87M,835.77M,304.76M,531.01M,,,-7.923M,523.09M,528.87M,904.08M,43.24M,860.84M,,2.50,0.00,,2.528,2.50,,2.48,0.00,,2.507,2.48,,209.58M,210.58M,0.0875,,AOR,Restated
2011-06,2.967B,2.967B,2.586B,380.69M,18.68M,-2.316M,15.19M,0.657M,-14.54M,,50.51M,330.18M,0.657M,15.19M,-14.54M,-1.849M,-14.54M,313.79M,111.96M,201.83M,,,-9.598M,192.24M,193.72M,360.82M,31.83M,328.99M,,1.80,0.00,,1.814,1.80,,1.79,0.00,,1.804,1.79,,106.73M,107.34M,0.075,,AOR,Restated
2011-03,2.327B,2.327B,2.119B,207.22M,16.82M,-3.698M,16.20M,0.085M,-16.12M,,48.13M,159.10M,0.085M,16.20M,-16.12M,-2.958M,-16.12M,140.02M,49.01M,91.01M,,,-6.317M,84.69M,87.10M,187.53M,31.31M,156.23M,,0.79,0.00,,0.8125,0.79,,0.79,0.00,,0.8124,0.79,,106.61M,107.27M,0.075,,AOR,Restated
2010-12,2.212B,2.212B,1.609B,602.40M,20.22M,,18.08M,0.41M,-17.67M,,556.44M,45.96M,0.41M,18.08M,-17.67M,0.798M,-17.67M,29.08M,4.836M,24.25M,,,-9.53M,14.72M,14.72M,78.98M,31.81M,47.17M,,0.14,,,0.14,0.14,,0.14,,,0.14,0.14,,106.71M,107.69M,0.075,,AOR,Restated
2010-09,2.091B,2.091B,1.937B,153.68M,16.92M,,17.37M,0.064M,-17.30M,,46.06M,107.62M,0.064M,17.37M,-17.30M,0.57M,-17.30M,90.88M,31.49M,59.39M,,,-8.213M,51.18M,51.18M,137.39M,29.14M,108.25M,,0.48,0.00,,0.48,0.48,,0.48,0.00,,0.48,0.48,,106.42M,107.13M,0.075,,AOR,Restated
2010-06,2.146B,2.146B,1.969B,176.82M,15.83M,0.00,21.02M,0.635M,-20.39M,,44.65M,132.16M,0.635M,21.02M,-20.39M,0.544M,-20.39M,112.32M,39.65M,72.67M,,,-6.504M,66.16M,66.16M,162.17M,28.82M,133.34M,,0.62,0.00,,0.62,0.62,,0.62,0.00,,0.62,0.62,,106.41M,106.82M,0.075,,AOR,Restated
2010-03,1.874B,1.874B,1.851B,22.88M,17.87M,,17.72M,0.059M,-17.66M,,45.63M,-22.74M,0.059M,17.72M,-17.66M,0.481M,-17.66M,-39.93M,-16.67M,-23.25M,,,-4.84M,-28.09M,-28.09M,5.553M,27.76M,-22.20M,,-0.265,0.00,,-0.265,-0.265,,-0.265,0.00,,-0.265,-0.265,,106.19M,106.19M,0.075,,AOR,Restated
2009-12,1.662B,1.662B,1.666B,-4.358M,16.77M,-1.138M,14.50M,2.484M,-12.01M,,46.16M,-50.51M,2.484M,14.50M,-12.01M,-0.528M,-12.01M,-63.05M,-27.21M,-35.85M,13.49M,,-18.14M,-40.50M,-53.25M,-19.01M,29.54M,-48.56M,,-0.44,0.035,,-0.4328,-0.405,,-0.44,0.035,,-0.4328,-0.405,,102.43M,103.19M,0.075,,AOR,Restated
2009-09,1.488B,1.488B,1.392B,96.34M,16.73M,-0.378M,12.41M,0.231M,-12.18M,,40.75M,55.58M,0.231M,12.41M,-12.18M,0.268M,-12.18M,43.67M,13.50M,30.18M,0.901M,,-7.594M,23.48M,22.84M,80.35M,24.27M,56.08M,,0.23,0.005,,0.2326,0.235,,0.23,0.005,,0.2326,0.235,,100.49M,100.65M,0.075,,AOR,Restated
2009-06,1.036B,1.036B,957.98M,77.80M,15.09M,-1.61M,7.203M,0.134M,-7.069M,,40.35M,37.45M,0.134M,7.203M,-7.069M,-1.122M,-7.069M,29.26M,9.322M,19.94M,1.206M,,-6.539M,14.60M,14.50M,61.96M,25.50M,36.46M,,0.14,0.005,,0.1509,0.145,,0.14,0.005,,0.1509,0.145,,100.34M,100.45M,0.075,,AOR,Restated
2009-03,648.03M,648.03M,578.40M,69.63M,11.76M,,6.239M,2.196M,-4.043M,,31.84M,37.79M,2.196M,6.239M,-4.043M,0.175M,-4.043M,33.92M,11.85M,22.07M,1.331M,,-1.46M,21.94M,20.61M,60.48M,20.32M,40.16M,,0.215,0.005,,0.215,0.22,,0.215,0.005,,0.215,0.22,,100.08M,100.34M,0.075,,AOR,Restated
2008-12,916.63M,916.63M,535.58M,381.05M,15.44M,,,,,,298.17M,82.88M,,,,2.234M,,81.44M,27.73M,53.72M,,,-2.936M,50.56M,47.64M,116.72M,17.81M,98.91M,,0.49,0.015,,0.49,0.505,,0.49,0.01,,0.49,0.50,,99.58M,100.09M,0.075,,AOR,Restated
2008-09,1.720B,1.720B,1.606B,113.88M,14.17M,,,,,,30.91M,82.98M,,,,,,75.65M,25.75M,49.90M,,,-1.847M,49.90M,49.90M,99.72M,16.74M,82.98M,,0.50,0.00,,0.50,0.50,,0.50,0.00,,0.50,0.50,,99.43M,100.06M,0.075,,,
2008-06,1.744B,1.744B,1.695B,49.10M,12.94M,,6.251M,3.826M,-2.425M,,28.87M,20.23M,3.826M,6.251M,-2.425M,0.00,-2.425M,17.80M,5.856M,11.94M,,,-0.493M,11.45M,11.45M,39.98M,15.93M,24.05M,,0.115,0.00,,0.115,0.115,,0.115,0.00,,0.115,0.115,,100.32M,101.03M,0.075,,,Restated
2008-03,1.480B,1.480B,1.444B,35.84M,12.94M,,1.992M,3.555M,1.563M,,26.25M,9.593M,3.555M,1.992M,1.563M,2.99M,1.563M,14.15M,4.695M,9.451M,,,-0.802M,8.649M,8.649M,29.45M,13.31M,16.14M,,0.085,0.00,,0.085,0.085,,0.085,0.00,,0.085,0.085,,102.33M,103.03M,0.075,,,Restated
2007-12,1.440B,1.440B,1.351B,89.19M,12.78M,,,,,,23.61M,65.58M,,,,5.245M,,75.19M,25.35M,49.83M,,,,49.83M,49.83M,110.61M,10.83M,99.77M,,0.46,0.00,,0.46,0.46,,0.45,0.00,,0.45,0.45,,108.89M,110.70M,0.06,,,Restated
2007-09,1.209B,1.209B,1.112B,96.96M,18.80M,,,,,,29.33M,67.63M,,,,5.564M,,77.27M,19.14M,58.13M,,,,58.13M,58.13M,78.16M,10.53M,67.63M,,0.53,0.00,,0.53,0.53,,0.52,0.00,,0.52,0.52,,109.64M,111.71M,0.06,,,
2007-06,1.217B,1.217B,948.46M,268.54M,21.35M,,,,,,31.99M,236.55M,,,,4.954M,,244.76M,86.14M,158.63M,,,,158.63M,158.63M,247.19M,10.64M,236.55M,,1.445,0.00,,1.445,1.445,,1.42,0.00,,1.42,1.42,,109.92M,111.91M,0.06,,,
2007-03,925.87M,925.87M,802.00M,123.87M,15.85M,,,,,,27.30M,96.57M,,,,3.346M,,102.23M,34.69M,67.54M,,,,67.54M,67.54M,108.02M,11.45M,96.57M,,0.61,0.00,,0.61,0.61,,0.60,0.00,,0.60,0.60,,110.38M,112.64M,0.05,,,
2006-12,938.09M,938.09M,839.51M,98.58M,18.44M,,,,,,29.98M,68.60M,,,,4.605M,,75.81M,27.00M,48.81M,-1.149M,,,47.66M,48.81M,80.14M,11.53M,68.60M,,0.44,-0.005,,0.44,0.435,,0.43,-0.005,,0.43,0.425,,111.45M,113.82M,0.04,,,
2006-09,1.173B,1.173B,1.034B,139.14M,12.57M,,,,,,22.05M,117.09M,,,,3.596M,,123.16M,43.96M,79.20M,-0.199M,,,79.00M,79.20M,126.57M,9.48M,117.09M,,0.70,0.00,,0.70,0.70,,0.685,0.00,,0.685,0.685,,113.11M,115.57M,0.04,,,
2006-06,1.121B,1.121B,957.20M,163.64M,18.73M,,,,,,29.41M,134.22M,,,,1.516M,,137.88M,50.15M,87.73M,5.372M,,,93.10M,87.73M,144.91M,10.68M,134.22M,,0.765,0.045,,0.765,0.81,,0.755,0.045,,0.755,0.80,,114.37M,116.73M,0.04,,,
2006-03,791.59M,791.59M,728.08M,63.52M,13.52M,,,,,,21.54M,41.98M,,,,3.212M,,46.65M,15.49M,31.16M,15.64M,,,46.80M,31.16M,50.55M,8.574M,41.98M,,0.2675,0.1325,,0.2675,0.40,,0.26,0.13,,0.26,0.39,,116.92M,120.06M,0.025,,,
2005-12,812.42M,812.42M,730.37M,82.05M,16.16M,,,,,,24.81M,57.24M,,,,3.221M,,62.51M,24.02M,38.49M,,,0.00,41.45M,38.49M,66.72M,9.481M,57.24M,,0.32,0.015,,0.32,0.34,,0.31,0.015,,0.31,0.325,,118.79M,122.19M,0.025,,,
2005-09,880.52M,880.52M,767.64M,112.88M,12.62M,,,,,,21.17M,91.71M,,,,3.296M,,95.71M,35.69M,60.02M,,0.669M,,60.69M,60.02M,101.10M,9.39M,91.71M,,0.495,0.01,0.00,0.495,0.505,,0.485,0.005,0.0053,0.485,0.49,,122.47M,125.54M,0.025,,,
2005-06,728.66M,728.66M,618.34M,110.32M,12.33M,,,,,,24.64M,85.67M,,,,,,81.98M,30.87M,51.10M,1.321M,,-3.119M,52.42M,51.10M,98.80M,13.13M,85.67M,,0.405,0.01,,0.405,0.415,,0.395,0.01,,0.395,0.405,,126.55M,129.44M,0.025,,,
2005-03,624.72M,624.72M,574.99M,49.73M,10.58M,,,,,,21.61M,28.12M,,,,-0.685M,,23.46M,9.04M,14.42M,-0.782M,,-3.602M,13.63M,14.42M,39.94M,11.82M,28.12M,,0.115,-0.0075,,0.115,0.1075,,0.1125,-0.0075,,0.1125,0.105,,126.06M,128.78M,0.02,,,
2004-12,487.00M,487.00M,575.39M,-88.38M,-112.75M,,,,,,-105.13M,16.75M,,,,-0.611M,,12.41M,5.96M,6.45M,,,-3.876M,7.385M,6.45M,27.39M,10.64M,16.75M,,0.0625,0.00,,0.0625,0.0625,,0.0575,0.00,,0.0575,0.0575,,124.91M,126.93M,0.02,,,
2004-09,597.45M,597.45M,507.75M,89.70M,58.76M,,,,,,68.75M,20.95M,,,,0.348M,,18.60M,7.078M,11.52M,,,-2.704M,11.52M,11.52M,30.93M,9.985M,20.95M,,0.0925,0.00,,0.0925,0.0925,,0.09,0.00,,0.09,0.09,,126.05M,129.68M,0.02,,,
2004-06,568.74M,568.74M,465.89M,102.84M,11.69M,,,,,,21.62M,81.22M,,,,0.60M,,83.07M,32.06M,51.01M,,,-0.306M,51.01M,51.01M,91.15M,9.931M,81.22M,,0.4025,0.00,,0.4025,0.4025,,0.39,0.00,,0.39,0.39,,126.42M,130.42M,0.0162,,,
2004-03,463.06M,463.06M,413.69M,49.37M,14.38M,,,,,,24.30M,25.07M,,,,-0.655M,,22.84M,8.882M,13.96M,,,-0.689M,13.96M,13.96M,34.99M,9.924M,25.07M,,0.1125,0.00,,0.1125,0.1125,,0.1075,0.00,,0.1075,0.1075,,124.85M,128.72M,0.0162,,,
2003-12,349.79M,349.79M,422.98M,-73.19M,-82.41M,-1.789M,,,,1.031M,-71.88M,-1.304M,,,,-1.402M,,-2.118M,-1.037M,-1.081M,,,,-1.081M,-0.0076M,8.189M,9.493M,-1.304M,,-0.01,0.00,,-0.0014,-0.01,,-0.01,0.00,,-0.0016,-0.01,,124.09M,128.22M,0.0138,,,
2003-09,415.26M,415.26M,327.88M,87.38M,48.60M,-0.289M,,,,0.393M,58.85M,28.53M,,,,0.727M,,28.65M,11.10M,17.55M,,,-0.328M,17.55M,17.73M,38.38M,9.858M,28.53M,,0.1425,0.00,,0.1439,0.1425,,0.1375,0.00,,0.1389,0.1375,,124.05M,128.23M,0.0138,,,
