,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,103.85M,,,,10.26M,11.09M,21.35M,21.35M,-1.098M,,0.085M,7.49M,,2.854M,-0.962M,27.45M,1.903M,-9.234M,,,19.16M,153.69M,,2020-09,-18.35M,0.116M,-18.24M,,2.68M,0.398M,,2020-09,6.404M,,6.404M,,0.00,0.00,-37.75M,-37.75M,15.62M,-7.13M,,2020-09,746.35M,115.67M,877.76M,,2020-09,,-300.00M,306.40M,0.00,0.326M,,2020-09,AOR,
2020-06,70.86M,,,,10.14M,10.49M,20.63M,20.63M,0.409M,,,6.935M,,7.414M,58.44M,14.19M,-5.272M,-4.154M,,,63.20M,169.45M,,2020-06,-8.323M,2.073M,-6.25M,,0.00,-0.476M,,2020-06,42.34M,,42.34M,,-1.435M,-1.435M,-37.76M,-37.76M,11.02M,-4.317M,,2020-06,569.22M,172.58M,746.35M,,2020-06,,499.10M,-456.76M,-1.435M,15.81M,,2020-06,AOR,
2020-03,102.00M,,,,10.45M,9.544M,20.00M,20.00M,2.012M,,,6.73M,,-0.009M,-24.19M,-23.72M,16.21M,-14.27M,,,-45.97M,84.76M,,2020-03,-12.76M,0.041M,-12.72M,,-120.84M,-0.16M,,2020-03,150.00M,,150.00M,,-108.91M,-108.91M,-38.74M,-38.74M,2.089M,-12.25M,,2020-03,632.58M,-56.76M,569.22M,,2020-03,,150.00M,,-108.91M,0.276M,,2020-03,AOR,
2019-12,96.85M,,,,9.944M,9.586M,19.53M,19.53M,-4.903M,,0.475M,7.049M,,2.89M,24.41M,13.66M,-25.79M,16.82M,,,29.11M,151.16M,,2019-12,-14.14M,0.005M,-14.13M,,0.00,-0.292M,,2019-12,-0.134M,,-0.134M,,0.00,0.00,-37.98M,-37.98M,3.214M,-0.013M,,2019-12,515.98M,101.82M,632.58M,,2019-12,,0.00,-0.134M,0.00,17.85M,,2019-12,AOR,
2019-09,105.19M,,,,9.729M,9.794M,19.52M,19.52M,0.843M,,9.68M,6.207M,,4.384M,12.11M,4.02M,1.911M,-6.804M,,,11.23M,157.06M,,2019-09,-11.03M,0.177M,-10.85M,,-87.18M,-0.094M,,2019-09,-49.92M,,-49.92M,,0.00,0.00,-37.94M,-37.94M,14.83M,-1.01M,,2019-09,543.19M,-15.11M,515.98M,,2019-09,,0.00,-49.92M,0.00,0.55M,,2019-09,AOR,Restated
2019-06,113.21M,,,,10.21M,8.954M,19.16M,19.16M,7.658M,,,6.853M,,-0.004M,7.225M,-2.459M,-15.21M,-5.263M,,,-15.70M,131.18M,,2019-06,-12.87M,0.151M,-12.72M,,0.00,0.696M,,2019-06,0.00,,0.00,,-3.871M,-3.871M,-37.84M,-37.84M,11.89M,-1.83M,,2019-06,456.13M,87.51M,543.19M,,2019-06,,0.00,0.00,-3.871M,17.96M,,2019-06,AOR,Restated
2019-03,110.27M,,,,9.66M,8.999M,18.66M,18.66M,3.027M,,,7.56M,,3.336M,-21.40M,-18.55M,-7.118M,-7.119M,,,-54.19M,88.66M,,2019-03,-12.88M,0.629M,-12.25M,,0.00,-0.195M,,2019-03,0.00,,0.00,,-50.80M,-50.80M,-33.45M,-33.45M,8.87M,-11.61M,,2019-03,466.41M,-10.76M,456.13M,,2019-03,,0.00,,-50.80M,0.323M,,2019-03,AOR,Restated
2018-12,98.14M,,,,9.324M,8.99M,18.31M,18.31M,-2.865M,,0.00,4.94M,,-6.232M,10.64M,4.872M,7.315M,17.53M,,,40.35M,153.59M,,2018-12,-16.23M,0.152M,-16.08M,0.00,0.00,-0.32M,,2018-12,-0.156M,,-0.156M,,-123.27M,-123.27M,-32.56M,-32.56M,0.846M,-0.295M,,2018-12,491.77M,-18.25M,466.41M,,2018-12,,,-0.156M,-123.27M,17.78M,,2018-12,AOR,Restated
2018-09,106.35M,,,,9.768M,8.838M,18.61M,18.61M,1.541M,,0.00,6.562M,,-6.978M,5.987M,0.108M,11.31M,-10.16M,,,7.244M,133.33M,,2018-09,-18.89M,0.211M,-18.68M,0.00,-20.20M,-0.319M,,2018-09,-11.13M,,-11.13M,,-31.16M,-31.16M,-33.00M,-33.00M,13.18M,-0.51M,,2018-09,458.75M,31.51M,491.77M,,2018-09,,,-11.13M,-31.16M,0.324M,,2018-09,AOR,Restated
2018-06,107.13M,,,,9.774M,9.796M,19.57M,19.57M,-0.98M,,,5.60M,,1.228M,-9.228M,-6.895M,3.359M,0.917M,,,-11.85M,120.70M,,2018-06,-14.96M,0.00,-10.96M,-4.00M,,-0.677M,,2018-06,,,,,-19.50M,-19.50M,-32.97M,-32.97M,7.026M,-0.025M,,2018-06,412.97M,59.59M,458.75M,,2018-06,,,,-19.50M,17.87M,,2018-06,AOR,Restated
