,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,3.644B,3.644B,2.356B,1.287B,801.80M,-14.20M,4.00M,69.00M,15.60M,-53.40M,,805.80M,481.30M,15.60M,69.00M,-53.40M,-133.50M,-53.40M,294.40M,1.00M,293.40M,,0.20M,,293.60M,307.76M,491.10M,127.70M,363.40M,,1.96,,,2.055,1.96,,1.93,,,2.023,1.93,,149.75M,152.49M,0.63,,AOR,Restated
2018-03,3.209B,3.209B,2.044B,1.166B,778.80M,-22.90M,6.80M,63.20M,15.80M,-47.40M,,785.60M,380.10M,15.80M,63.20M,-47.40M,-80.90M,-47.40M,251.80M,81.70M,170.10M,,0.50M,,170.60M,186.08M,438.60M,123.60M,315.00M,,1.13,,,1.233,1.13,,1.11,,,1.211,1.11,,150.61M,153.90M,0.63,,AOR,Restated
2017-12,3.464B,3.464B,2.218B,1.246B,798.90M,-9.00M,-3.10M,58.10M,11.50M,-46.60M,,795.80M,450.20M,11.50M,58.10M,-46.60M,-61.90M,-46.60M,341.70M,60.60M,281.10M,,0.40M,,281.50M,288.90M,522.50M,122.70M,399.80M,,1.88,,,1.929,1.88,,1.84,,,1.888,1.84,,150.12M,153.48M,0.63,,AOR,Restated
2017-09,3.359B,3.359B,2.106B,1.253B,763.40M,-22.30M,5.50M,57.20M,10.30M,-46.90M,,768.90M,484.10M,10.30M,57.20M,-46.90M,-82.80M,-46.90M,354.40M,79.90M,274.50M,,0.00,,274.50M,291.78M,532.30M,120.70M,411.60M,,1.83,,,1.945,1.83,,1.80,,,1.913,1.80,,149.69M,152.62M,0.63,,AOR,Restated
2017-06,3.287B,3.287B,2.073B,1.213B,738.60M,-9.20M,5.60M,56.00M,9.70M,-46.30M,,744.20M,469.10M,9.70M,56.00M,-46.30M,-64.50M,-46.30M,358.30M,80.70M,277.60M,,0.00,,277.60M,284.73M,530.10M,115.80M,414.30M,,1.86,,,1.908,1.86,,1.82,,,1.867,1.82,,149.51M,152.23M,0.58,,AOR,Restated
2017-03,2.856B,2.856B,1.790B,1.066B,682.00M,240.90M,8.30M,51.30M,8.60M,-42.70M,,690.30M,375.70M,8.60M,51.30M,-42.70M,140.40M,-42.70M,473.40M,79.70M,393.70M,,0.00,,393.70M,193.27M,626.20M,101.50M,524.70M,,2.64,,,1.297,2.64,,2.60,,,1.277,2.60,,149.21M,151.53M,0.58,,AOR,Restated
2016-12,3.107B,3.107B,2.030B,1.077B,685.40M,-21.70M,7.00M,49.30M,6.80M,-42.50M,,692.40M,385.00M,6.80M,49.30M,-42.50M,-57.00M,-42.50M,285.50M,27.00M,258.50M,,-0.30M,,258.20M,277.85M,437.60M,102.80M,334.80M,,1.74,0.00,,1.873,1.74,,1.71,0.00,,1.841,1.71,,147.52M,149.68M,0.58,,AOR,Restated
2016-09,2.882B,2.882B,1.798B,1.084B,643.80M,-9.10M,1.60M,50.20M,5.10M,-45.10M,,645.40M,438.70M,5.10M,50.20M,-45.10M,-65.90M,-45.10M,327.70M,78.70M,249.00M,,-0.10M,,248.90M,255.82M,481.00M,103.10M,377.90M,,1.71,,,1.758,1.71,,1.68,,,1.727,1.68,,145.41M,147.98M,0.58,,AOR,Restated
2016-06,2.932B,2.932B,1.804B,1.129B,659.70M,-10.20M,7.20M,47.70M,5.50M,-42.20M,,666.90M,462.00M,5.50M,47.70M,-42.20M,-57.80M,-42.20M,362.00M,90.50M,271.50M,,0.00,,271.50M,279.15M,511.70M,102.00M,409.70M,,1.87,,,1.923,1.87,,1.84,,,1.892,1.84,,145.14M,147.26M,0.55,,AOR,Restated
2016-03,2.672B,2.672B,1.694B,977.60M,620.40M,-8.00M,7.40M,47.30M,5.80M,-41.50M,,627.80M,349.80M,5.80M,47.30M,-41.50M,-54.20M,-41.50M,254.10M,65.50M,188.60M,,0.80M,,189.40M,195.34M,401.50M,100.10M,301.40M,,1.30,,,1.341,1.30,,1.28,,,1.320,1.28,,145.87M,147.62M,0.55,,AOR,Restated
2015-12,2.845B,2.845B,1.831B,1.014B,615.50M,-3.70M,-4.90M,44.60M,4.90M,-39.70M,,610.60M,403.60M,4.90M,44.60M,-39.70M,-57.50M,-39.70M,306.40M,39.10M,267.30M,-1.70M,-0.10M,,265.50M,270.43M,456.60M,105.60M,351.00M,,1.83,-0.01,,1.852,1.82,,1.78,-0.01,,1.801,1.77,,146.55M,150.61M,0.55,,AOR,Restated
2015-09,2.830B,2.830B,1.802B,1.027B,598.40M,-14.00M,9.90M,45.20M,3.60M,-41.60M,,608.30M,418.70M,3.60M,45.20M,-41.60M,-68.00M,-41.60M,309.10M,75.70M,233.40M,-5.40M,0.70M,,228.70M,244.67M,458.20M,103.90M,354.30M,,1.60,-0.04,,1.672,1.57,,1.55,-0.04,,1.620,1.52,,145.91M,150.78M,0.55,,AOR,Restated
2015-06,2.867B,2.867B,1.810B,1.057B,631.50M,-5.00M,13.00M,46.20M,3.00M,-43.20M,,644.50M,412.70M,3.00M,46.20M,-43.20M,-55.50M,-43.20M,314.00M,78.50M,235.50M,-8.50M,0.20M,,227.20M,239.45M,462.20M,102.00M,360.20M,,1.59,-0.06,,1.615,1.53,,1.54,-0.06,,1.565,1.49,,148.06M,152.66M,0.52,,AOR,Restated
2015-03,2.63B,2.63B,1.656B,973.60M,613.70M,-24.90M,9.30M,44.40M,3.70M,-40.70M,,623.00M,350.60M,3.70M,44.40M,-40.70M,-88.60M,-40.70M,221.30M,55.30M,166.00M,-4.50M,0.80M,,162.30M,185.48M,368.20M,102.50M,265.70M,,1.10,-0.03,,1.223,1.07,,1.07,-0.03,,1.189,1.04,,152.17M,156.54M,0.52,,AOR,Restated
2014-12,2.982B,2.982B,1.931B,1.051B,651.80M,-24.40M,6.50M,46.30M,4.10M,-42.20M,,658.30M,392.80M,4.10M,46.30M,-42.20M,-84.90M,-42.20M,265.70M,46.70M,219.00M,-73.50M,0.30M,,145.80M,239.41M,424.40M,112.40M,312.00M,,1.41,-0.47,,1.539,0.94,,1.37,-0.47,,1.496,0.91,,155.53M,159.68M,0.52,,AOR,Restated
2014-09,2.879B,2.879B,1.832B,1.047B,637.20M,0.20M,3.90M,43.50M,3.10M,-40.40M,,641.10M,405.50M,3.10M,43.50M,-40.40M,-60.70M,-40.40M,304.40M,58.30M,246.10M,-9.70M,0.30M,,236.70M,246.24M,460.50M,112.60M,347.90M,,1.57,-0.06,,1.569,1.51,,1.53,-0.06,,1.529,1.47,,156.63M,160.58M,0.52,,AOR,Restated
2014-06,2.860B,2.860B,1.812B,1.049B,649.00M,1.70M,6.90M,43.30M,3.00M,-40.30M,,655.90M,392.70M,3.00M,43.30M,-40.30M,-55.60M,-40.30M,296.80M,74.10M,222.70M,-5.30M,-0.90M,,216.50M,220.52M,454.50M,114.40M,340.10M,,1.42,-0.03,,1.412,1.38,,1.39,-0.03,,1.382,1.36,,156.32M,159.67M,0.50,,AOR,Restated
2014-03,2.617B,2.617B,1.661B,956.40M,636.90M,3.70M,3.70M,44.10M,3.40M,-40.70M,,640.60M,315.80M,3.40M,44.10M,-40.70M,-57.20M,-40.70M,217.90M,48.00M,169.90M,-7.80M,-0.20M,,161.90M,166.81M,372.40M,110.40M,262.00M,,1.09,-0.05,,1.071,1.04,,1.07,-0.05,,1.052,1.02,,155.90M,158.95M,0.50,,AOR,Restated
2013-12,2.798B,2.798B,1.796B,1.002B,674.50M,-153.70M,4.60M,41.50M,3.30M,-38.20M,,679.10M,322.80M,3.30M,41.50M,-38.20M,-228.80M,-38.20M,55.80M,-11.70M,67.50M,-11.50M,0.10M,,56.10M,167.50M,215.90M,118.60M,97.30M,,0.42,-0.06,,1.062,0.36,,0.41,-0.06,,1.039,0.35,,155.53M,158.95M,0.50,,AOR,Restated
2013-09,2.758B,2.758B,1.771B,987.60M,665.00M,-28.50M,4.60M,39.10M,3.00M,-36.10M,,669.60M,318.00M,3.00M,39.10M,-36.10M,-95.10M,-36.10M,186.80M,17.30M,169.50M,-3.80M,0.30M,,166.00M,195.65M,334.70M,108.80M,225.90M,,1.10,-0.02,,1.267,1.07,,1.07,-0.02,,1.233,1.04,,155.04M,158.92M,0.50,,AOR,Restated
2013-06,2.858B,2.858B,1.852B,1.006B,673.80M,30.90M,3.40M,39.60M,3.30M,-36.30M,,677.20M,328.50M,3.30M,39.60M,-36.30M,-40.50M,-36.30M,251.70M,54.40M,197.30M,-10.50M,0.30M,,187.10M,173.37M,399.40M,108.10M,291.30M,,1.27,-0.07,,1.114,1.21,,1.25,-0.07,,1.097,1.18,,155.06M,158.35M,0.49,,AOR,Restated
2013-03,2.476B,2.476B,1.568B,908.60M,663.20M,-42.90M,1.50M,39.90M,3.20M,-36.70M,,664.70M,243.90M,3.20M,39.90M,-36.70M,-113.70M,-36.70M,93.50M,8.80M,84.70M,-4.00M,0.40M,,81.10M,123.97M,239.20M,105.80M,133.40M,,0.55,-0.03,,0.7999,0.52,,0.53,-0.03,,0.7745,0.51,,155.55M,158.99M,0.49,,AOR,Restated
2012-12,2.534B,2.534B,1.626B,907.90M,609.30M,-57.50M,1.80M,38.70M,2.80M,-35.90M,,611.10M,296.80M,2.80M,38.70M,-35.90M,-137.00M,-35.90M,123.90M,-7.10M,131.00M,361.40M,-0.40M,,492.00M,167.98M,277.30M,114.70M,162.60M,,0.81,2.24,,1.042,3.05,,0.79,2.20,,1.018,2.99,,160.76M,164.10M,0.49,,AOR,Restated
2012-09,2.517B,2.517B,1.605B,911.90M,604.60M,-98.40M,4.60M,36.70M,2.50M,-34.20M,,609.20M,302.70M,2.50M,36.70M,-34.20M,-165.60M,-34.20M,102.90M,12.90M,90.00M,25.00M,0.20M,,115.20M,176.30M,245.40M,105.80M,139.60M,,0.55,0.15,,1.078,0.71,,0.54,0.15,,1.059,0.69,,162.99M,166.04M,0.49,,AOR,Restated
2012-06,2.567B,2.567B,1.637B,930.30M,622.90M,-24.40M,3.30M,34.60M,2.20M,-32.40M,,626.20M,304.10M,2.20M,34.60M,-32.40M,-106.90M,-32.40M,164.80M,38.60M,126.20M,28.30M,0.30M,,154.80M,145.19M,308.40M,109.00M,199.40M,,0.77,0.17,,0.8839,0.94,,0.75,0.17,,0.8613,0.92,,164.08M,167.92M,0.41,,AOR,Restated
2012-03,2.426B,2.426B,1.514B,912.00M,635.00M,-40.00M,2.30M,33.90M,2.50M,-31.40M,,637.30M,274.70M,2.50M,33.90M,-31.40M,-107.90M,-31.40M,135.40M,29.80M,105.60M,15.50M,0.70M,,121.80M,137.50M,285.10M,115.80M,169.30M,,0.65,0.09,,0.8396,0.74,,0.63,0.09,,0.8147,0.72,,164.53M,168.95M,0.41,,AOR,Restated
2011-12,1.792B,1.792B,1.150B,642.20M,483.40M,-17.00M,2.50M,36.90M,6.20M,-30.70M,,284.20M,358.00M,6.20M,36.90M,-30.70M,-271.30M,-30.70M,56.00M,-33.70M,89.70M,73.80M,0.50M,,164.00M,101.25M,205.00M,112.10M,92.90M,,0.55,0.45,,0.6175,1.00,,0.55,0.44,,0.6160,0.98,,163.76M,167.49M,0.41,,AOR,Restated
2011-09,2.620B,2.620B,1.651B,968.30M,635.90M,-14.90M,3.80M,34.80M,8.00M,-26.80M,89.60M,729.30M,239.00M,8.00M,34.80M,-26.80M,-14.90M,-26.80M,197.30M,35.10M,162.20M,-6.90M,-0.70M,,154.60M,173.75M,332.40M,100.30M,232.10M,,0.98,-0.04,,1.054,0.94,,0.96,-0.04,,1.033,0.92,,164.96M,168.90M,0.41,,AOR,Restated
2011-06,2.603B,2.603B,1.640B,962.90M,624.10M,-21.00M,6.10M,34.00M,7.20M,-26.80M,59.60M,689.80M,273.10M,7.20M,34.00M,-26.80M,-21.00M,-26.80M,225.30M,27.70M,197.60M,-0.30M,0.00,,197.30M,216.02M,353.10M,93.80M,259.30M,,1.17,0.00,,1.280,1.17,,1.14,0.00,,1.246,1.14,,168.12M,173.08M,0.41,,AOR,Restated
2011-03,2.362B,2.362B,1.484B,877.40M,599.00M,-13.30M,2.70M,34.70M,5.10M,-29.60M,52.50M,654.20M,223.20M,5.10M,34.70M,-29.60M,-13.30M,-29.60M,180.30M,23.20M,157.10M,1.30M,0.30M,,158.70M,168.99M,318.90M,103.90M,215.00M,,0.94,0.01,,1.009,0.95,,0.92,0.01,,0.9874,0.92,,167.26M,171.94M,0.41,,AOR,Restated
2010-12,1.500B,1.500B,889.10M,611.10M,454.60M,-208.60M,0.10M,34.50M,2.80M,-31.70M,,272.40M,338.70M,2.80M,34.50M,-31.70M,-208.60M,-31.70M,98.40M,8.70M,89.70M,,0.50M,,137.80M,280.36M,242.80M,109.90M,132.90M,,0.59,0.32,,1.738,0.91,,0.58,0.32,,1.703,0.90,,165.68M,169.37M,0.34,,AOR,Restated
2010-09,2.369B,2.369B,1.515B,854.30M,579.30M,-24.80M,3.30M,29.20M,2.50M,-26.70M,52.30M,634.90M,219.40M,2.50M,29.20M,-26.70M,-24.80M,-26.70M,167.90M,44.80M,123.10M,,0.10M,,123.20M,141.38M,283.50M,86.40M,197.10M,,0.74,0.00,,0.8497,0.74,,0.73,0.00,,0.8377,0.73,,165.79M,168.89M,0.34,,AOR,Restated
2010-06,2.366B,2.366B,1.597B,769.00M,581.10M,-85.80M,3.10M,26.80M,2.20M,-24.60M,65.10M,649.30M,119.70M,2.20M,26.80M,-24.60M,-85.80M,-24.60M,9.30M,-37.00M,46.30M,,-0.50M,,45.80M,101.57M,128.80M,92.70M,36.10M,,0.28,0.00,,0.6225,0.28,,0.28,0.00,,0.6158,0.28,,162.85M,166.08M,0.33,,AOR,Restated
2010-03,1.262B,1.262B,806.10M,455.90M,378.50M,-97.40M,4.00M,19.30M,1.20M,-18.10M,64.90M,447.40M,8.50M,1.20M,19.30M,-18.10M,-97.40M,-18.10M,-107.00M,1.50M,-108.50M,,-0.10M,,-108.60M,-45.29M,-28.00M,59.70M,-87.70M,,-1.11,0.00,,-0.4618,-1.11,,-1.11,0.00,,-0.4618,-1.11,,97.67M,97.67M,0.33,,AOR,Restated
2009-12,969.40M,969.40M,575.20M,394.20M,265.00M,-15.10M,4.00M,15.00M,1.00M,-14.00M,44.00M,313.00M,81.20M,1.00M,15.00M,-14.00M,-15.10M,-14.00M,52.10M,-3.60M,55.90M,0.80M,0.20M,,56.70M,66.72M,118.40M,51.30M,67.10M,,0.69,0.01,-0.0128,0.8117,0.70,,0.68,0.01,-0.0128,0.8001,0.69,,80.66M,81.73M,0.33,,AOR,Restated
2009-09,935.50M,935.50M,549.10M,386.40M,248.60M,-6.60M,2.80M,15.50M,0.50M,-15.00M,33.60M,285.00M,101.40M,0.50M,15.50M,-15.00M,-6.60M,-15.00M,79.80M,17.70M,61.80M,-1.40M,-0.30M,,60.40M,65.24M,147.20M,51.90M,95.30M,,0.77,-0.02,0.0213,0.8342,0.75,,0.77,-0.02,0.0211,0.8338,0.75,,79.97M,80.56M,0.33,,AOR,Restated
2009-06,919.20M,919.20M,552.60M,366.60M,253.20M,-9.90M,2.10M,16.20M,0.90M,-15.30M,-12.60M,242.70M,123.90M,0.90M,16.20M,-15.30M,-9.90M,-15.30M,98.70M,26.70M,70.80M,-1.30M,-1.20M,,69.50M,75.52M,163.80M,48.90M,114.90M,,0.89,-0.02,0.0315,0.9810,0.88,,0.89,-0.02,0.0314,0.9806,0.87,,79.33M,79.74M,0.32,,AOR,Restated
2009-03,913.00M,913.00M,551.90M,361.10M,247.60M,-9.10M,5.10M,17.00M,0.70M,-16.30M,30.30M,283.00M,78.10M,0.70M,17.00M,-16.30M,-9.10M,-16.30M,52.70M,13.70M,38.30M,-0.60M,-0.70M,,37.70M,43.73M,117.70M,48.00M,69.70M,,0.48,-0.01,0.0164,0.5650,0.48,,0.48,-0.01,0.0164,0.5647,0.47,,79.21M,79.47M,0.32,,AOR,Restated
2008-12,1.086B,1.086B,693.40M,392.50M,268.30M,8.00M,7.00M,22.70M,1.80M,-20.90M,,377.50M,15.00M,1.80M,22.70M,-20.90M,8.00M,-20.90M,2.10M,-2.00M,4.10M,-4.30M,-0.50M,,-0.70M,-5.40M,79.30M,54.50M,24.80M,,0.05,-0.06,0.0486,-0.0158,-0.01,,0.05,-0.06,0.0486,-0.0155,-0.01,,78.99M,79.42M,0.32,,AOR,Restated
2008-09,1.118B,1.118B,686.20M,431.40M,269.20M,-32.70M,5.60M,23.50M,2.70M,-20.80M,,274.80M,156.60M,2.70M,23.50M,-20.80M,-32.70M,-20.80M,103.10M,25.40M,77.70M,85.90M,-0.60M,,163.00M,188.24M,173.80M,47.20M,126.60M,,0.98,1.09,-1.098,1.293,2.06,,0.97,1.08,-1.098,1.279,2.04,,78.81M,79.85M,0.32,,,Restated
2008-06,1.152B,1.152B,710.10M,441.60M,280.10M,-37.50M,2.80M,24.00M,3.70M,-20.30M,,282.90M,158.70M,3.70M,24.00M,-20.30M,-37.50M,-20.30M,100.90M,26.30M,74.60M,3.90M,-0.40M,,78.10M,101.93M,165.40M,40.50M,124.90M,,0.94,0.05,,1.293,0.99,,0.93,0.05,,1.277,0.98,,78.65M,79.83M,0.31,,,Restated
2008-03,1.071B,1.071B,665.10M,405.90M,272.40M,-23.30M,2.20M,21.90M,1.00M,-20.90M,,274.60M,131.30M,1.00M,21.90M,-20.90M,-23.30M,-20.90M,87.10M,22.80M,64.10M,2.40M,-0.20M,,66.50M,83.50M,149.80M,40.80M,109.00M,,0.81,0.03,-0.0278,1.027,0.84,,0.80,0.03,-0.0278,1.014,0.83,,79.18M,80.40M,0.31,,,Restated
2007-12,1.044B,1.044B,649.60M,394.50M,245.40M,67.60M,,,,,,341.80M,52.70M,,,,67.60M,,100.80M,19.80M,81.00M,,,,92.30M,26.68M,87.10M,42.10M,45.00M,,0.99,0.14,,0.3227,1.13,,0.98,0.13,,0.3250,1.11,,81.40M,82.93M,0.31,,,Restated
2007-09,1.131B,1.131B,700.20M,431.10M,256.50M,-28.80M,,,,,,256.50M,174.60M,,,,-28.80M,,125.60M,34.20M,91.40M,,,,91.40M,112.36M,216.80M,42.20M,174.60M,,1.11,0.00,,1.365,1.11,,1.09,0.00,,1.340,1.09,,82.29M,84.00M,0.31,,,
2007-06,1.096B,1.096B,673.30M,422.40M,263.40M,-27.10M,,,,,,263.40M,159.00M,,,,-27.10M,,111.60M,29.00M,82.60M,2.70M,,,85.30M,102.66M,199.70M,40.70M,159.00M,,1.00,0.03,,1.242,1.03,,0.98,0.03,,1.217,1.01,,82.81M,84.54M,0.30,,,
2007-03,1.062B,1.062B,666.80M,395.30M,259.00M,-23.90M,,,,,,259.00M,136.30M,,,,-23.90M,,92.20M,24.60M,67.60M,,,,67.60M,85.12M,173.50M,37.20M,136.30M,,0.82,0.00,,1.032,0.82,,0.80,0.00,,1.007,0.80,,82.85M,84.77M,0.30,,,
2006-12,1.019B,1.019B,647.20M,372.10M,239.90M,-15.70M,,,,,,239.90M,132.20M,,,,-15.70M,,101.10M,14.10M,87.00M,-0.40M,,,86.60M,100.51M,162.10M,29.90M,132.20M,,1.06,0.00,,1.226,1.06,,1.04,0.00,,1.201,1.03,,81.56M,83.68M,0.30,,,
2006-09,1.013B,1.013B,634.90M,377.80M,231.90M,-16.30M,,,,,,231.90M,145.90M,,,,-16.30M,,113.10M,22.90M,90.20M,0.30M,,,90.50M,103.20M,175.90M,30.00M,145.90M,,1.11,0.00,,1.270,1.11,,1.09,0.00,,1.247,1.09,,81.21M,82.87M,0.30,,,
2006-06,1.018B,1.018B,641.20M,376.70M,244.60M,-12.70M,,,,,,244.60M,132.10M,,,,-12.70M,,102.00M,27.00M,75.00M,-0.30M,,,74.70M,84.34M,163.10M,31.00M,132.10M,,0.92,0.00,,1.035,0.92,,0.90,0.00,,1.013,0.90,,81.13M,82.98M,0.29,,,
2006-03,968.70M,968.70M,636.80M,331.90M,238.80M,-26.60M,,,,,,238.80M,93.10M,,,,-26.60M,,50.90M,12.40M,38.50M,-0.80M,,,37.70M,58.62M,123.40M,30.30M,93.10M,,0.46,-0.01,,0.7027,0.45,,0.45,-0.01,,0.6873,0.44,,82.89M,84.80M,0.29,,,
2005-12,839.40M,839.40M,550.10M,289.30M,184.90M,-14.50M,,,,,,184.90M,104.40M,,,,-14.50M,,80.00M,15.80M,64.20M,-4.00M,,,60.20M,75.84M,130.20M,25.80M,104.40M,,0.76,-0.05,,0.8979,0.71,,0.75,-0.05,,0.8860,0.70,,84.39M,85.54M,0.29,,,
2005-09,834.90M,834.90M,530.60M,304.30M,179.10M,-14.90M,,,,,,179.10M,125.20M,,,,-14.90M,,102.20M,25.80M,76.40M,0.50M,,,76.90M,87.54M,148.60M,23.40M,125.20M,,0.92,0.00,,1.053,0.92,,0.89,0.00,,1.020,0.90,,83.57M,85.48M,0.29,,,
2005-06,814.70M,814.70M,514.00M,300.70M,188.40M,-13.60M,,,,,,188.40M,112.30M,,,,-13.60M,,90.50M,25.20M,65.30M,0.60M,,,65.90M,75.11M,136.20M,23.90M,112.30M,,0.78,0.01,,0.8982,0.79,,0.77,0.01,,0.8855,0.78,,83.02M,84.98M,0.28,,,
2005-03,796.30M,796.30M,509.30M,287.00M,184.40M,-9.50M,,,,,,184.40M,102.60M,,,,-9.50M,,85.50M,19.70M,65.80M,0.80M,,,66.60M,73.11M,126.00M,23.40M,102.60M,,0.79,0.01,,0.8783,0.80,,0.77,0.01,,0.8559,0.78,,82.82M,85.16M,0.28,,,
2004-12,756.90M,756.90M,472.10M,284.80M,180.10M,-19.00M,,,,,,180.10M,104.70M,,,,-19.00M,,75.90M,14.00M,61.90M,26.20M,,,88.10M,77.40M,129.40M,24.70M,104.70M,,0.75,0.31,,0.9376,1.07,,0.73,0.30,,0.9128,1.04,,82.61M,84.77M,0.28,,,
