,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2020-09,318.55M,318.55M,1.122B,,1.122B,,288.22M,,,1.729B,,,,,5.842B,-2.160B,3.682B,,,192.65M,,175.41M,4.050B,5.779B,603.52M,,,603.52M,491.90M,1.095B,,,,,,,,,1.095B,1.303B,,1.303B,711.30M,711.30M,181.56M,2.196B,3.292B,,,,,,,2.487B
2020-06,274.65M,274.65M,950.64M,,950.64M,,319.41M,,,1.545B,,,,,5.731B,-2.104B,3.626B,,,196.04M,,186.50M,4.009B,5.554B,513.52M,,,513.52M,457.16M,970.68M,,,,,,,,,970.68M,1.307B,,1.307B,699.70M,699.70M,185.39M,2.192B,3.163B,,,,,,,2.391B
2020-03,48.45M,48.45M,978.28M,,978.28M,,371.24M,,,1.398B,,,,,5.683B,-2.064B,3.618B,,,199.44M,,164.34M,3.982B,5.380B,497.65M,,,497.65M,411.73M,909.38M,,,,,,,,,909.38M,1.303B,,1.303B,714.55M,714.55M,170.94M,2.188B,3.098B,1.671M,4.669B,388.58M,2.777B,,,2.282B
2019-12,35.00M,35.00M,1.012B,230.33M,1.242B,21.11M,183.03M,,,1.481B,,58.69M,5.280B,302.18M,5.641B,-2.020B,3.621B,96.33M,106.50M,202.83M,,165.86M,3.990B,5.471B,602.60M,,,602.60M,433.16M,1.036B,,,,,,,,,1.036B,1.296B,,1.296B,699.08M,699.08M,173.24M,2.168B,3.204B,1.671M,4.593B,374.05M,2.702B,,,2.267B
2019-09,75.13M,75.13M,1.051B,,1.051B,,257.30M,,,1.383B,,,,,5.615B,-1.965B,3.650B,88.30M,101.60M,189.90M,,162.66M,4.003B,5.386B,654.96M,,,654.96M,420.06M,1.075B,,,,,,,,,1.075B,1.293B,,1.293B,644.10M,644.10M,180.37M,2.118B,3.193B,1.671M,4.476B,367.94M,2.652B,,,2.194B
2019-06,6.875M,6.875M,1.040B,,1.040B,,337.34M,,,1.384B,,,,,5.636B,-1.958B,3.678B,88.30M,105.10M,193.40M,,164.89M,4.036B,5.421B,640.32M,,,640.32M,421.20M,1.062B,,,,,,,,,1.062B,1.372B,,1.372B,676.06M,676.06M,175.66M,2.224B,3.285B,,,,,,,2.135B
2019-03,52.36M,52.36M,1.002B,,1.002B,,383.31M,,,1.438B,,,,,5.454B,-1.914B,3.540B,68.54M,128.40M,196.94M,,152.44M,3.889B,5.327B,594.70M,,,594.70M,403.54M,998.24M,,,,,,,,,998.24M,1.285B,,1.285B,668.49M,668.49M,172.24M,2.125B,3.124B,,,,,,,2.204B
2018-12,7.60M,7.60M,1.052B,274.51M,1.326B,21.98M,147.20M,,,1.503B,,49.49M,5.042B,238.20M,5.329B,-1.884B,3.445B,40.09M,65.10M,105.19M,,38.40M,3.589B,5.092B,709.74M,,,709.74M,391.91M,1.102B,250.71M,250.71M,,250.71M,,,,,1.352B,898.40M,,898.40M,643.46M,643.46M,96.06M,1.638B,2.990B,1.671M,4.188B,340.46M,2.429B,,,2.101B
2018-09,7.587M,7.587M,1.096B,,1.096B,,239.26M,,,1.342B,,,,,5.064B,-1.823B,3.242B,,,,,137.68M,3.379B,4.722B,569.45M,,,569.45M,394.53M,963.98M,,248.68M,,248.68M,,,,,1.213B,820.86M,,820.86M,518.43M,518.43M,89.14M,1.428B,2.641B,,,,,,,2.081B
2018-06,15.19M,15.19M,1.020B,,1.020B,,272.61M,,,1.307B,,,,,4.925B,-1.782B,3.142B,,,,,139.44M,3.282B,4.589B,551.72M,,,551.72M,357.39M,909.10M,,249.44M,,249.44M,,,,,1.159B,755.58M,,755.58M,552.87M,552.87M,88.90M,1.397B,2.556B,,,,,,,2.033B
