,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,1.212B,617.00M,1.829B,1.498B,,1.498B,569.00M,66.00M,415.00M,,703.00M,5.438B,502.00M,4.043B,28.86B,-8.168B,20.69B,1.059B,362.00M,1.421B,1.282B,1.474B,94.00M,2.176B,27.14B,32.57B,,1.317B,,1.317B,1.471B,2.788B,,2.025B,2.025B,,,63.00M,4.876B,17.66B,17.66B,1.207B,1.207B,189.00M,2.332B,851.00M,2.264B,22.17B,27.05B,,8.00M,-1.525B,8.397B,1.879B,,,-1.808B,3.193B,,AOR,Restated
2017-12,949.00M,424.00M,1.373B,1.463B,,1.463B,562.00M,62.00M,274.00M,,630.00M,6.398B,502.00M,3.617B,28.24B,-7.942B,20.30B,1.059B,366.00M,1.425B,1.197B,0.00,130.00M,3.666B,26.71B,33.11B,,1.371B,252.00M,1.623B,1.208B,2.831B,,2.164B,2.164B,,,1.033B,6.028B,17.80B,17.80B,1.006B,1.006B,,2.38B,837.00M,2.595B,22.24B,28.27B,,8.00M,-2.276B,8.501B,1.892B,,,-1.876B,2.465B,,AOR,Restated
2017-09,1.398B,563.00M,1.961B,2.357B,,2.357B,660.00M,89.00M,437.00M,,1.08B,6.66B,798.00M,3.841B,34.56B,-10.20B,24.36B,1.157B,474.00M,1.631B,1.164B,,760.00M,4.263B,32.17B,38.83B,,2.091B,,2.091B,2.373B,4.464B,,2.257B,2.257B,,,15.00M,6.736B,19.78B,19.78B,742.00M,742.00M,1.387B,2.993B,967.00M,3.047B,25.92B,32.66B,,8.00M,-934.00M,8.67B,1.892B,,,-2.666B,3.186B,,AOR,Restated
2017-06,1.213B,740.00M,1.953B,2.173B,,2.173B,633.00M,83.00M,313.00M,,1.061B,6.318B,776.00M,3.56B,33.03B,-9.841B,23.19B,1.157B,397.00M,1.554B,683.00M,,757.00M,3.965B,30.15B,36.47B,,1.684B,,1.684B,2.118B,3.802B,,2.572B,2.572B,,,37.00M,6.411B,18.20B,18.20B,746.00M,746.00M,1.347B,3.053B,791.00M,2.905B,23.98B,30.40B,,8.00M,-1.086B,8.732B,1.892B,,,-2.741B,3.021B,,AOR,Restated
2017-03,1.588B,634.00M,2.222B,2.134B,,2.134B,645.00M,118.00M,218.00M,,1.04B,6.401B,795.00M,3.44B,32.92B,-9.777B,23.15B,1.157B,353.00M,1.51B,674.00M,,778.00M,3.997B,30.11B,36.51B,,1.657B,,1.657B,2.408B,4.065B,,1.137B,1.137B,,,41.00M,5.243B,19.20B,19.20B,758.00M,758.00M,1.411B,3.138B,774.00M,2.996B,25.14B,30.38B,,8.00M,-1.139B,8.731B,1.892B,,,-2.717B,2.991B,,AOR,Restated
2016-12,1.244B,530.00M,1.774B,1.421B,,1.421B,622.00M,72.00M,277.00M,,657.00M,6.416B,518.00M,2.905B,28.33B,-7.919B,20.42B,1.157B,287.00M,1.444B,621.00M,,227.00M,7.001B,29.71B,36.12B,,1.238B,,1.238B,1.333B,2.571B,,1.052B,1.052B,,,1.654B,5.277B,18.40B,18.40B,804.00M,804.00M,237.00M,2.906B,782.00M,2.327B,25.15B,30.42B,,8.00M,-1.146B,8.592B,1.904B,,,-2.756B,2.794B,,AOR,Restated
2016-09,1.325B,596.00M,1.921B,2.081B,,2.081B,637.00M,92.00M,291.00M,,1.266B,7.294B,780.00M,3.30B,33.17B,-9.884B,23.28B,1.157B,227.00M,1.384B,626.00M,,503.00M,4.018B,29.81B,37.11B,,1.426B,,1.426B,2.394B,3.82B,,1.091B,1.091B,,,802.00M,5.713B,19.74B,19.74B,1.042B,1.042B,1.035B,2.886B,775.00M,3.035B,25.63B,31.34B,,8.00M,-114.00M,8.645B,1.904B,,,-3.753B,2.882B,,AOR,Restated
2016-06,1.265B,544.00M,1.809B,2.087B,,2.087B,655.00M,91.00M,250.00M,,1.441B,7.381B,785.00M,3.539B,32.74B,-9.705B,23.04B,1.157B,219.00M,1.376B,615.00M,,483.00M,4.084B,29.59B,36.97B,,1.434B,,1.434B,2.331B,3.765B,,1.61B,1.61B,,,841.00M,6.216B,19.17B,19.17B,1.036B,1.036B,1.054B,2.907B,753.00M,3.072B,25.08B,31.30B,,8.00M,-284.00M,8.714B,1.904B,,,-3.768B,2.766B,,AOR,Restated
2016-03,1.185B,628.00M,1.813B,2.581B,,2.581B,682.00M,116.00M,294.00M,,1.461B,6.947B,751.00M,3.436B,33.18B,-9.768B,23.42B,1.157B,209.00M,1.366B,611.00M,,599.00M,3.961B,29.95B,36.90B,,1.739B,,1.739B,2.613B,4.352B,,2.22B,2.22B,,,,6.572B,18.34B,18.34B,1.118B,1.118B,985.00M,2.983B,672.00M,3.032B,24.14B,30.72B,,8.00M,198.00M,8.706B,1.904B,,,-3.807B,3.201B,,AOR,Restated
2015-12,1.257B,469.00M,1.726B,2.302B,,2.302B,671.00M,106.00M,295.00M,,1.318B,6.842B,702.00M,2.977B,30.96B,-8.939B,22.02B,1.157B,340.00M,1.497B,610.00M,,410.00M,5.089B,29.63B,36.47B,,1.571B,,1.571B,2.522B,4.093B,,2.172B,2.172B,,,661.00M,6.926B,17.91B,17.91B,1.09B,1.09B,919.00M,3.022B,538.00M,2.794B,23.37B,30.30B,,8.00M,143.00M,8.718B,1.837B,,,-3.883B,3.149B,,AOR,Restated
2015-09,1.437B,453.00M,1.89B,2.477B,,2.477B,670.00M,121.00M,341.00M,155.00M,1.514B,7.22B,704.00M,2.716B,31.73B,-9.264B,22.46B,1.473B,251.00M,1.724B,601.00M,,503.00M,4.489B,29.78B,37.00B,,1.729B,,1.729B,2.475B,4.204B,2.30B,2.30B,2.30B,,,30.00M,6.534B,18.40B,18.40B,1.185B,1.185B,978.00M,2.894B,538.00M,2.906B,24.00B,30.54B,,8.00M,370.00M,8.71B,1.763B,,,-3.758B,3.567B,,AOR,Restated
2015-06,1.022B,439.00M,1.461B,2.877B,,2.877B,734.00M,115.00M,308.00M,213.00M,1.799B,7.515B,801.00M,2.499B,33.44B,-9.996B,23.44B,1.473B,241.00M,1.714B,562.00M,,571.00M,4.782B,31.07B,38.58B,,1.994B,,1.994B,2.561B,4.555B,1.999B,1.999B,1.999B,,,9.00M,6.563B,18.76B,18.76B,1.281B,1.281B,1.183B,3.22B,538.00M,3.11B,24.94B,31.50B,,8.00M,258.00M,8.705B,1.662B,,,-3.445B,3.864B,,AOR,Restated
2015-03,1.337B,582.00M,1.919B,2.807B,,2.807B,707.00M,129.00M,318.00M,173.00M,1.562B,7.642B,780.00M,2.343B,32.50B,-9.652B,22.85B,1.465B,261.00M,1.726B,586.00M,,597.00M,4.598B,30.36B,38.00B,,2.051B,,2.051B,2.691B,4.742B,1.831B,1.831B,1.831B,,,9.00M,6.582B,18.57B,18.57B,1.223B,1.223B,1.142B,3.013B,323.00M,3.06B,24.38B,30.96B,,8.00M,423.00M,8.53B,1.39B,,,-3.549B,4.022B,,AOR,Restated
2014-12,1.539B,709.00M,2.248B,2.709B,,2.709B,702.00M,175.00M,283.00M,275.00M,1.434B,7.826B,870.00M,3.784B,35.11B,-9.962B,25.15B,1.458B,281.00M,1.739B,537.00M,,662.00M,3.051B,31.14B,38.97B,,2.278B,,2.278B,2.586B,4.864B,2.133B,2.133B,2.133B,,,,6.997B,18.72B,18.72B,1.277B,1.277B,1.342B,3.053B,78.00M,3.222B,24.64B,31.64B,,8.00M,512.00M,8.409B,1.371B,,,-3.286B,4.272B,,AOR,Restated
2014-09,1.67B,686.00M,2.356B,2.755B,,2.755B,741.00M,208.00M,487.00M,148.00M,1.192B,7.887B,903.00M,3.475B,35.05B,-9.981B,25.07B,1.468B,283.00M,1.751B,704.00M,,693.00M,2.881B,31.10B,38.98B,,2.203B,,2.203B,2.523B,4.726B,2.347B,2.347B,2.347B,,,,7.073B,18.72B,18.72B,1.165B,1.165B,1.224B,3.169B,78.00M,3.158B,24.34B,31.42B,,8.00M,413.00M,8.355B,1.203B,,,-3.176B,4.397B,,AOR,Restated
2014-06,1.515B,424.00M,1.939B,2.689B,,2.689B,710.00M,177.00M,482.00M,190.00M,1.22B,7.407B,958.00M,3.444B,35.72B,-10.10B,25.63B,1.468B,299.00M,1.767B,1.00B,,656.00M,2.975B,32.03B,39.43B,,2.13B,,2.13B,2.442B,4.572B,2.095B,2.095B,2.095B,,,,6.667B,19.63B,19.63B,1.114B,1.114B,1.332B,3.297B,78.00M,3.106B,25.26B,31.92B,,8.00M,-75.00M,8.396B,1.095B,,,-3.023B,4.211B,,AOR,Restated
2014-03,1.413B,621.00M,2.034B,2.586B,,2.586B,687.00M,199.00M,589.00M,181.00M,1.252B,7.989B,942.00M,3.203B,35.30B,-9.943B,25.35B,1.468B,293.00M,1.761B,1.03B,,680.00M,4.16B,32.98B,40.97B,,2.632B,,2.632B,2.321B,4.953B,2.075B,2.075B,2.075B,,,812.00M,7.84B,19.41B,19.41B,1.145B,1.145B,1.29B,3.448B,78.00M,3.191B,25.49B,33.33B,,8.00M,-208.00M,8.424B,1.064B,,,-2.967B,4.193B,,AOR,Restated
2013-12,1.642B,668.00M,2.31B,2.363B,,2.363B,684.00M,179.00M,597.00M,166.00M,976.00M,7.739B,922.00M,3.198B,34.72B,-9.604B,25.11B,1.622B,297.00M,1.919B,1.01B,,666.00M,3.965B,32.67B,40.41B,,2.259B,,2.259B,2.377B,4.636B,2.18B,2.18B,2.18B,,,837.00M,7.653B,18.87B,18.87B,1.119B,1.119B,1.31B,3.321B,78.00M,3.299B,25.11B,32.76B,,8.00M,-150.00M,8.443B,1.089B,,,-2.882B,4.33B,,AOR,Restated
2013-09,2.031B,898.00M,2.929B,2.326B,,2.326B,711.00M,199.00M,620.00M,172.00M,836.00M,8.251B,952.00M,2.826B,34.61B,-9.531B,25.08B,1.941B,325.00M,2.266B,1.025B,,821.00M,3.805B,33.00B,41.25B,,2.156B,,2.156B,2.512B,4.668B,2.503B,2.503B,2.503B,,,838.00M,8.009B,18.53B,18.53B,1.116B,1.116B,2.138B,3.153B,78.00M,3.042B,25.28B,33.28B,,8.00M,56.00M,8.497B,830.00M,,,-2.918B,4.813B,,AOR,Restated
2013-06,1.611B,703.00M,2.314B,2.417B,,2.417B,763.00M,187.00M,765.00M,207.00M,1.157B,7.81B,957.00M,2.60B,35.62B,-9.747B,25.87B,1.999B,408.00M,2.407B,1.177B,,896.00M,2.678B,33.03B,40.84B,,2.622B,,2.622B,2.61B,5.232B,3.041B,3.041B,3.041B,,,,8.273B,18.03B,18.03B,1.195B,1.195B,2.203B,3.058B,78.00M,3.251B,24.76B,33.03B,,8.00M,-15.00M,8.481B,786.00M,,,-2.939B,4.749B,,AOR,Restated
2013-03,2.301B,851.00M,3.152B,2.633B,,2.633B,755.00M,256.00M,760.00M,231.00M,1.403B,9.258B,1.019B,2.528B,35.76B,-9.745B,26.01B,1.999B,417.00M,2.416B,1.195B,,986.00M,2.851B,33.46B,42.72B,,2.951B,,2.951B,2.666B,5.617B,3.615B,3.615B,3.615B,,,54.00M,9.286B,18.27B,18.27B,1.239B,1.239B,2.389B,3.108B,78.00M,3.713B,25.69B,34.98B,,8.00M,-182.00M,8.527B,768.00M,,,-2.952B,4.633B,,AOR,Restated
2012-12,1.90B,693.00M,2.593B,2.539B,,2.539B,719.00M,222.00M,734.00M,199.00M,1.072B,8.465B,1.005B,2.497B,33.78B,-9.145B,24.64B,1.999B,324.00M,2.323B,1.196B,,940.00M,4.271B,33.36B,41.83B,,2.545B,,2.545B,2.634B,5.179B,2.505B,2.505B,2.505B,,,635.00M,8.319B,18.22B,18.22B,1.179B,1.179B,2.418B,2.945B,78.00M,3.523B,26.00B,34.32B,,8.00M,-264.00M,8.525B,780.00M,,,-2.92B,4.569B,,AOR,Restated
2012-09,1.943B,873.00M,2.816B,2.671B,,2.671B,796.00M,226.00M,735.00M,431.00M,1.009B,8.684B,1.036B,2.581B,35.05B,-9.562B,25.48B,1.967B,462.00M,2.429B,1.334B,,671.00M,2.754B,32.67B,41.36B,,2.327B,,2.327B,2.864B,5.191B,,2.335B,2.335B,,,,7.526B,19.22B,19.22B,1.417B,1.417B,1.555B,3.412B,78.00M,3.719B,25.99B,33.52B,,8.00M,-439.00M,8.54B,780.00M,,,-2.905B,4.424B,,AOR,Restated
2012-06,1.727B,883.00M,2.61B,2.628B,,2.628B,826.00M,159.00M,574.00M,433.00M,1.087B,8.317B,1.037B,2.318B,34.37B,-9.274B,25.10B,3.801B,507.00M,4.308B,1.392B,,658.00M,2.977B,34.43B,42.75B,,2.171B,,2.171B,2.57B,4.741B,,2.298B,2.298B,,,,7.039B,19.43B,19.43B,1.354B,1.354B,1.593B,3.378B,78.00M,3.756B,26.21B,33.25B,,8.00M,1.159B,8.53B,709.00M,,,-2.865B,6.123B,,AOR,Restated
2012-03,1.688B,1.74B,3.428B,2.735B,,2.735B,799.00M,238.00M,448.00M,480.00M,1.394B,9.559B,1.113B,1.992B,34.88B,-9.29B,25.59B,3.732B,550.00M,4.282B,1.43B,,736.00M,3.835B,35.87B,45.43B,,2.014B,,2.014B,3.547B,5.561B,,2.215B,2.215B,,,202.00M,7.978B,20.02B,20.02B,1.445B,1.445B,1.755B,3.982B,78.00M,3.132B,26.98B,34.96B,,8.00M,1.019B,8.516B,479.00M,,,-2.575B,6.489B,,AOR,Restated
2011-12,1.695B,1.356B,3.051B,2.522B,,2.522B,775.00M,157.00M,477.00M,454.00M,1.56B,9.229B,1.089B,1.788B,33.94B,-8.944B,25.00B,3.82B,545.00M,4.365B,1.422B,,715.00M,4.614B,36.12B,45.35B,,2.008B,,2.008B,3.716B,5.724B,2.428B,2.428B,2.428B,,,286.00M,8.438B,19.59B,19.59B,1.321B,1.321B,1.729B,3.783B,78.00M,3.111B,27.18B,35.62B,,8.00M,678.00M,8.507B,489.00M,,,-2.758B,5.946B,,AOR,Restated
2011-09,3.392B,1.053B,4.445B,2.364B,28.00M,2.392B,668.00M,190.00M,795.00M,278.00M,1.128B,10.07B,1.029B,2.096B,33.07B,-9.257B,23.81B,1.246B,493.00M,1.739B,1.401B,,585.00M,3.278B,30.82B,40.88B,,1.792B,,1.792B,3.014B,4.806B,,2.174B,2.174B,,,261.00M,7.241B,18.70B,18.70B,621.00M,621.00M,1.31B,3.624B,60.00M,2.978B,23.78B,31.03B,,8.00M,887.00M,8.499B,434.00M,,,-2.727B,6.233B,,AOR,Restated
2011-06,3.624B,1.231B,4.855B,2.614B,25.00M,2.639B,654.00M,180.00M,530.00M,298.00M,855.00M,10.17B,1.184B,2.825B,35.27B,-9.727B,25.55B,1.267B,527.00M,1.794B,1.542B,,661.00M,2.918B,32.46B,42.64B,,1.892B,,1.892B,2.738B,4.63B,,2.331B,2.331B,,,232.00M,7.193B,19.10B,19.10B,891.00M,891.00M,1.549B,3.926B,60.00M,2.938B,24.60B,31.80B,,8.00M,1.018B,8.471B,308.00M,,,-2.278B,6.911B,,AOR,Restated
2011-03,2.008B,1.713B,3.721B,2.489B,,2.496B,634.00M,203.00M,512.00M,310.00M,741.00M,8.746B,1.147B,4.853B,34.39B,-9.366B,25.02B,1.269B,515.00M,1.784B,1.544B,,998.00M,2.405B,31.75B,40.50B,,1.873B,,1.873B,2.656B,4.529B,,2.81B,2.81B,,,212.00M,7.551B,16.64B,16.64B,907.00M,907.00M,1.523B,4.25B,,2.713B,21.85B,29.40B,,8.00M,844.00M,8.46B,272.00M,,,-2.248B,6.852B,,AOR,Restated
2010-12,2.525B,1.718B,4.243B,2.256B,27.00M,2.283B,552.00M,215.00M,404.00M,300.00M,1.024B,9.446B,1.124B,4.434B,32.07B,-8.643B,23.43B,1.271B,448.00M,1.719B,1.32B,,589.00M,4.008B,31.06B,40.51B,,1.988B,,1.988B,2.75B,4.738B,,2.996B,2.996B,,,331.00M,8.065B,15.79B,15.79B,892.00M,892.00M,1.505B,3.94B,60.00M,2.566B,22.03B,30.10B,,8.00M,620.00M,8.444B,216.00M,,,-2.383B,6.473B,,AOR,Restated
2010-09,2.848B,1.645B,4.493B,2.349B,32.00M,2.381B,611.00M,190.00M,609.00M,244.00M,1.142B,9.768B,1.104B,4.222B,34.13B,-9.151B,24.98B,1.276B,610.00M,1.886B,1.313B,,1.071B,2.767B,32.01B,41.78B,,4.523B,,4.523B,375.00M,4.898B,,2.055B,2.055B,,,76.00M,7.029B,17.92B,17.92B,1.249B,1.249B,1.306B,3.893B,60.00M,3.025B,23.97B,31.00B,,8.00M,1.056B,8.462B,132.00M,,,-2.504B,6.89B,,AOR,Restated
2010-06,2.891B,1.716B,4.607B,2.184B,16.00M,2.20B,551.00M,172.00M,572.00M,257.00M,1.086B,9.564B,1.083B,3.803B,33.18B,-9.099B,24.09B,1.293B,574.00M,1.867B,1.227B,,978.00M,2.979B,31.14B,40.70B,,4.067B,,4.067B,259.00M,4.326B,,1.904B,1.904B,,,134.00M,6.364B,17.77B,17.77B,1.208B,1.208B,1.257B,3.967B,65.00M,2.742B,23.68B,30.05B,,8.00M,942.00M,8.457B,118.00M,,,-2.602B,6.687B,,AOR,Restated
2010-03,3.392B,1.731B,5.123B,2.244B,15.00M,2.259B,575.00M,221.00M,565.00M,235.00M,1.482B,10.46B,30.15B,3.88B,34.03B,-9.205B,24.83B,1.297B,508.00M,1.805B,1.175B,,1.028B,2.587B,31.42B,41.88B,,4.057B,,4.057B,351.00M,4.408B,,2.336B,2.336B,,,150.00M,6.894B,18.31B,18.31B,1.13B,1.13B,1.285B,4.289B,60.00M,3.671B,24.45B,31.35B,,8.00M,791.00M,8.447B,118.00M,,,-2.881B,6.247B,,AOR,Restated
2009-12,1.782B,1.648B,3.43B,2.118B,24.00M,2.142B,560.00M,161.00M,407.00M,210.00M,1.557B,8.787B,27.93B,4.644B,32.57B,-8.774B,23.80B,1.299B,510.00M,1.809B,1.157B,,964.00M,3.022B,30.75B,39.54B,,1.862B,,1.862B,2.60B,4.462B,,1.932B,1.932B,,,227.00M,6.621B,17.60B,17.60B,1.09B,1.09B,1.322B,4.205B,60.00M,3.146B,24.03B,30.66B,,7.00M,650.00M,6.868B,126.00M,,,-2.724B,4.675B,,AOR,Restated
2009-09,2.02B,1.357B,3.377B,2.387B,28.00M,2.415B,578.00M,274.00M,510.00M,158.00M,1.416B,8.728B,28.56B,4.466B,33.02B,-8.799B,24.23B,1.423B,487.00M,1.91B,1.109B,,1.065B,2.223B,30.53B,39.26B,,1.223B,,1.223B,3.444B,4.667B,,1.571B,1.571B,,,,6.238B,18.09B,18.09B,1.316B,1.316B,1.158B,3.982B,60.00M,3.835B,24.46B,30.70B,,7.00M,698.00M,6.859B,126.00M,,,-2.855B,4.583B,,AOR,Restated
2009-06,1.735B,1.152B,2.887B,2.293B,21.00M,2.314B,577.00M,350.00M,444.00M,201.00M,1.249B,8.022B,27.45B,3.971B,31.42B,-8.368B,23.05B,1.43B,486.00M,1.916B,1.043B,,1.025B,2.358B,29.40B,37.42B,,1.038B,,1.038B,2.975B,4.013B,,1.384B,1.384B,,,,5.397B,17.84B,17.84B,1.237B,1.237B,1.11B,3.839B,60.00M,3.547B,23.79B,29.19B,,7.00M,513.00M,6.845B,126.00M,,,-2.847B,4.392B,,AOR,Restated
2009-03,1.267B,1.134B,2.401B,2.18B,22.00M,2.202B,502.00M,347.00M,435.00M,174.00M,1.152B,7.213B,25.76B,3.631B,29.39B,-7.685B,21.70B,1.417B,484.00M,1.901B,949.00M,,924.00M,2.146B,27.62B,34.84B,,1.087B,,1.087B,2.495B,3.582B,,943.00M,943.00M,,,,4.525B,17.01B,17.01B,1.135B,1.135B,997.00M,3.782B,,3.47B,22.62B,27.14B,,7.00M,210.00M,6.834B,127.00M,,,-3.009B,3.915B,,AOR,Restated
