,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,206.00M,,1.00M,,57.00M,,103.00M,103.00M,23.00M,31.00M,12.00M,26.00M,-1.00M,75.00M,-137.00M,,-3.00M,-40.00M,,392.00M,,-49.00M,0.00,0.00,-180.00M,1.00M,,-228.00M,,2020-09,,-311.00M,59.00M,-154.00M,-95.00M,-109.00M,-109.00M,0.00,-515.00M,,2020-09,1.341B,17.00M,1.007B,,2020-09,59.00M,892.00M,-1.203B,-154.00M,40.00M,69.00M,,AOR,
2020-06,136.00M,,,,,,98.00M,98.00M,-3.00M,31.00M,11.00M,11.00M,1.00M,-153.00M,88.00M,,-11.00M,-64.00M,,209.00M,,-54.00M,0.00,0.00,-66.00M,5.00M,,-115.00M,,2020-06,,-304.00M,,-39.00M,-39.00M,-109.00M,-109.00M,-4.00M,-456.00M,,2020-06,1.672B,31.00M,1.341B,,2020-06,,0.00,-304.00M,-39.00M,28.00M,48.00M,,AOR,
2020-03,198.00M,,,,,,99.00M,99.00M,4.00M,38.00M,-51.00M,275.00M,2.00M,-301.00M,48.00M,,-4.00M,20.00M,,308.00M,,-48.00M,56.00M,56.00M,-36.00M,2.00M,,-26.00M,,2020-03,,796.00M,,-248.00M,-248.00M,-109.00M,-109.00M,,439.00M,,2020-03,1.001B,-50.00M,1.672B,,2020-03,,800.00M,-4.00M,-248.00M,22.00M,61.00M,,AOR,
2019-12,243.00M,,-1.00M,,358.00M,,104.00M,104.00M,-125.00M,31.00M,8.00M,-109.00M,14.00M,341.00M,-55.00M,,-15.00M,176.00M,,795.00M,,-59.00M,7.00M,7.00M,-86.00M,6.00M,,-132.00M,,2019-12,,-604.00M,32.00M,-145.00M,-113.00M,-98.00M,-98.00M,0.00,-815.00M,,2019-12,1.14B,13.00M,1.001B,,2019-12,32.00M,0.00,-604.00M,-145.00M,27.00M,45.00M,,AOR,
2019-09,268.00M,,0.00,,3.00M,,99.00M,99.00M,24.00M,30.00M,23.00M,-80.00M,-27.00M,202.00M,-24.00M,,8.00M,79.00M,,526.00M,,-60.00M,0.00,0.00,-252.00M,0.00,,-312.00M,,2019-09,,64.00M,82.00M,-70.00M,12.00M,-94.00M,-94.00M,0.00,-18.00M,,2019-09,964.00M,-20.00M,1.14B,,2019-09,82.00M,1.159B,-1.095B,-70.00M,41.00M,64.00M,,AOR,Restated
2019-06,208.00M,,-3.00M,,40.00M,,96.00M,96.00M,23.00M,30.00M,-6.00M,-58.00M,2.00M,-84.00M,-8.00M,,8.00M,-140.00M,,251.00M,,-63.00M,0.00,0.00,-3.00M,8.00M,,-58.00M,,2019-06,,-13.00M,,0.00,0.00,-94.00M,-94.00M,-3.00M,-110.00M,,2019-06,897.00M,-16.00M,964.00M,,2019-06,,645.00M,-658.00M,0.00,47.00M,40.00M,,AOR,Restated
2019-03,152.00M,,-1.00M,,-1.00M,,95.00M,95.00M,-6.00M,27.00M,10.00M,168.00M,-63.00M,-261.00M,136.00M,,-6.00M,-26.00M,,251.00M,,-66.00M,0.00,0.00,-368.00M,2.00M,,-432.00M,,2019-03,,-8.00M,,-100.00M,-100.00M,-93.00M,-93.00M,,-201.00M,,2019-03,1.257B,22.00M,897.00M,,2019-03,,0.00,-8.00M,-100.00M,23.00M,72.00M,,AOR,Restated
2018-12,423.00M,,0.00,,0.00,,93.00M,93.00M,-10.00M,20.00M,0.00,-124.00M,10.00M,441.00M,-114.00M,,73.00M,286.00M,,812.00M,,-69.00M,,,-6.00M,5.00M,,-70.00M,,2018-12,,-116.00M,29.00M,-66.00M,-37.00M,-85.00M,-85.00M,-76.00M,-314.00M,,2018-12,851.00M,-22.00M,1.257B,,2018-12,29.00M,195.00M,-311.00M,-66.00M,40.00M,40.00M,,AOR,Restated
2018-09,248.00M,,-6.00M,,-12.00M,,89.00M,89.00M,-12.00M,19.00M,50.00M,-20.00M,24.00M,170.00M,-180.00M,,-38.00M,-44.00M,,338.00M,,-46.00M,,,-5.00M,11.00M,,-40.00M,,2018-09,,-384.00M,80.00M,0.00,80.00M,-84.00M,-84.00M,0.00,-388.00M,,2018-09,941.00M,0.00,851.00M,,2018-09,80.00M,0.00,-384.00M,0.00,23.00M,71.00M,,AOR,Restated
2018-06,181.00M,,1.00M,,1.00M,,96.00M,96.00M,24.00M,17.00M,3.00M,11.00M,46.00M,10.00M,41.00M,,-5.00M,103.00M,,425.00M,,-41.00M,,,-28.00M,2.00M,,-67.00M,,2018-06,,-148.00M,6.00M,0.00,6.00M,-84.00M,-84.00M,-1.00M,-227.00M,,2018-06,858.00M,-48.00M,941.00M,,2018-06,6.00M,-1.00M,-147.00M,0.00,20.00M,38.00M,,AOR,Restated
