,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,795.00M,,795.00M,1.179B,862.00M,2.136B,,342.00M,233.00M,441.00M,63.00M,,186.00M,3.621B,0.00,11.00M,348.00M,2.187B,,,2.546B,-1.646B,900.00M,1.535B,1.436B,2.971B,174.00M,101.00M,1.065B,68.00M,,2018-03,601.00M,84.00M,67.00M,,752.00M,482.00M,1.234B,,,,492.00M,,492.00M,1.069B,1.157B,,3.096B,5.304B,,5.304B,415.00M,1.507B,15.00M,,268.00M,,2018-03,2.00M,531.00M,421.00M,,,-2.508B,-1.554B,,2018-03,AOR,Restated
2017-12,1.205B,,1.205B,1.523B,611.00M,2.224B,,282.00M,178.00M,327.00M,63.00M,,131.00M,3.95B,0.00,11.00M,,2.122B,,316.00M,2.449B,-1.593B,856.00M,938.00M,861.00M,1.799B,247.00M,101.00M,1.023B,99.00M,,2017-12,744.00M,84.00M,107.00M,,935.00M,547.00M,1.482B,,,,52.00M,,52.00M,1.041B,1.124B,,2.931B,4.419B,,4.419B,284.00M,2.019B,15.00M,,282.00M,,2017-12,2.00M,467.00M,351.00M,,,-2.562B,-1.742B,,2017-12,AOR,Restated
2017-09,653.00M,0.00,653.00M,1.382B,595.00M,2.121B,,315.00M,178.00M,364.00M,64.00M,,134.00M,3.336B,0.00,11.00M,282.00M,2.153B,,,2.446B,-1.557B,889.00M,932.00M,896.00M,1.828B,249.00M,24.00M,2.115B,39.00M,,2017-09,627.00M,76.00M,168.00M,,871.00M,536.00M,1.407B,,,,47.00M,,47.00M,877.00M,877.00M,,2.563B,4.423B,,4.423B,382.00M,1.797B,12.00M,,271.00M,,2017-09,2.00M,981.00M,313.00M,,,-2.126B,-830.00M,,2017-09,AOR,Restated
2017-06,742.00M,50.00M,792.00M,1.211B,529.00M,1.85B,,321.00M,197.00M,391.00M,63.00M,,115.00M,3.211B,0.00,10.00M,267.00M,2.078B,,,2.355B,-1.496B,859.00M,749.00M,868.00M,1.617B,248.00M,35.00M,2.16B,40.00M,,2017-06,614.00M,76.00M,134.00M,,824.00M,555.00M,1.379B,,,,46.00M,,46.00M,814.00M,814.00M,,2.41B,4.421B,,4.421B,381.00M,1.80B,12.00M,,259.00M,,2017-06,2.00M,945.00M,264.00M,,,-2.199B,-988.00M,,2017-06,AOR,Restated
2017-03,766.00M,45.00M,811.00M,1.07B,550.00M,1.714B,,298.00M,175.00M,345.00M,63.00M,,140.00M,3.073B,0.00,12.00M,391.00M,1.924B,,,2.327B,-1.507B,820.00M,737.00M,878.00M,1.615B,237.00M,30.00M,2.198B,49.00M,,2017-03,587.00M,77.00M,93.00M,,757.00M,544.00M,1.301B,,,,44.00M,,44.00M,864.00M,864.00M,,2.385B,4.414B,,4.414B,329.00M,1.795B,13.00M,,254.00M,,2017-03,2.00M,970.00M,242.00M,,,-2.264B,-1.05B,,2017-03,AOR,Restated
2016-12,967.00M,46.00M,1.013B,1.41B,476.00M,1.976B,,253.00M,151.00M,273.00M,63.00M,,124.00M,3.468B,0.00,12.00M,306.00M,1.921B,,,2.239B,-1.45B,789.00M,728.00M,821.00M,1.549B,238.00M,49.00M,2.219B,49.00M,,2016-12,733.00M,77.00M,111.00M,,921.00M,620.00M,1.541B,,,,4.00M,,4.00M,873.00M,873.00M,,2.668B,4.392B,,4.392B,308.00M,1.799B,12.00M,,248.00M,,2016-12,2.00M,1.148B,203.00M,,,-2.317B,-964.00M,,2016-12,AOR,Restated
2016-09,1.687B,45.00M,1.732B,1.164B,413.00M,1.677B,,265.00M,154.00M,283.00M,,,112.00M,3.804B,0.00,14.00M,293.00M,1.92B,,,2.227B,-1.447B,780.00M,597.00M,769.00M,1.366B,238.00M,43.00M,2.187B,38.00M,,2016-09,565.00M,68.00M,72.00M,,705.00M,522.00M,1.227B,,,,5.00M,,5.00M,733.00M,733.00M,,2.161B,5.044B,,5.044B,321.00M,1.486B,11.00M,,255.00M,,2016-09,2.00M,1.096B,174.00M,,,-1.931B,-659.00M,,2016-09,AOR,Restated
2016-06,1.545B,47.00M,1.592B,1.083B,350.00M,1.54B,,261.00M,160.00M,284.00M,,,131.00M,3.547B,0.00,16.00M,543.00M,1.897B,,,2.456B,-1.678B,778.00M,597.00M,824.00M,1.421B,223.00M,42.00M,2.261B,52.00M,,2016-06,546.00M,70.00M,65.00M,,681.00M,541.00M,1.222B,,,,5.00M,,5.00M,652.00M,652.00M,,2.045B,5.028B,,5.028B,347.00M,1.493B,11.00M,,232.00M,,2016-06,2.00M,1.08B,117.00M,,,-1.888B,-689.00M,,2016-06,AOR,Restated
2016-03,1.94B,47.00M,1.987B,1.148B,324.00M,1.582B,,271.00M,163.00M,287.00M,,,145.00M,4.001B,0.00,17.00M,521.00M,2.109B,,,2.647B,-1.65B,997.00M,590.00M,669.00M,1.259B,228.00M,29.00M,2.33B,70.00M,,2016-03,557.00M,72.00M,49.00M,,678.00M,483.00M,1.161B,,,,4.00M,,4.00M,700.00M,700.00M,,2.032B,5.023B,,5.023B,336.00M,1.557B,10.00M,,238.00M,,2016-03,2.00M,1.597B,99.00M,,,-1.845B,-147.00M,,2016-03,AOR,Restated
2015-12,1.98B,438.00M,2.418B,1.362B,374.00M,1.78B,,287.00M,151.00M,296.00M,,,98.00M,4.619B,0.00,17.00M,523.00M,1.585B,,,2.125B,-1.638B,487.00M,420.00M,49.00M,469.00M,231.00M,47.00M,2.278B,87.00M,,2015-12,653.00M,71.00M,48.00M,,772.00M,449.00M,1.221B,,,,4.00M,,4.00M,727.00M,727.00M,,2.193B,4.345B,,4.345B,125.00M,1.561B,10.00M,,218.00M,,2015-12,2.00M,1.716B,42.00M,,,-1.866B,-106.00M,,2015-12,AOR,Restated
2015-09,2.20B,,2.20B,1.222B,397.00M,1.696B,,323.00M,153.00M,334.00M,,430.00M,100.00M,4.787B,0.00,18.00M,528.00M,1.536B,,,2.082B,-1.615B,467.00M,423.00M,50.00M,473.00M,292.00M,16.00M,1.889B,162.00M,,2015-09,443.00M,60.00M,59.00M,,562.00M,527.00M,1.089B,,,,4.00M,,4.00M,720.00M,720.00M,,2.029B,4.386B,,4.386B,116.00M,1.637B,9.00M,,216.00M,,2015-09,2.00M,1.689B,8.00M,,,-2.006B,-307.00M,,2015-09,AOR,Restated
2015-06,3.112B,,3.112B,1.141B,385.00M,1.616B,,337.00M,165.00M,364.00M,,422.00M,118.00M,5.632B,0.00,18.00M,555.00M,1.695B,,,2.268B,-1.726B,542.00M,423.00M,52.00M,475.00M,285.00M,18.00M,2.118B,90.00M,,2015-06,417.00M,70.00M,68.00M,,555.00M,551.00M,1.106B,,,,4.00M,,4.00M,681.00M,681.00M,,1.971B,3.393B,,3.393B,121.00M,1.639B,8.00M,,213.00M,,2015-06,2.00M,3.485B,313.00M,,,-1.985B,1.815B,,2015-06,AOR,Restated
2015-03,3.353B,,3.353B,1.084B,367.00M,1.541B,,336.00M,178.00M,381.00M,,416.00M,193.00M,5.884B,0.00,17.00M,557.00M,1.658B,,,2.232B,-1.702B,530.00M,390.00M,38.00M,428.00M,285.00M,26.00M,2.179B,93.00M,,2015-03,437.00M,72.00M,49.00M,,558.00M,574.00M,1.132B,,,,4.00M,,4.00M,683.00M,683.00M,,1.977B,3.392B,,3.392B,141.00M,1.605B,8.00M,,216.00M,,2015-03,2.00M,3.412B,585.00M,,,-1.913B,2.086B,,2015-03,AOR,Restated
2014-12,3.954B,0.00,3.954B,1.409B,466.00M,1.978B,,313.00M,163.00M,345.00M,,431.00M,171.00M,6.879B,0.00,18.00M,559.00M,1.672B,,,2.249B,-1.70B,549.00M,383.00M,23.00M,406.00M,316.00M,31.00M,2.151B,91.00M,,2014-12,671.00M,75.00M,91.00M,,837.00M,506.00M,1.343B,,,,4.00M,,4.00M,713.00M,713.00M,,2.25B,3.396B,,3.396B,139.00M,1.66B,31.00M,,212.00M,,2014-12,2.00M,3.41B,1.178B,,,-1.855B,2.735B,,2014-12,AOR,Restated
2014-09,2.845B,,2.845B,1.162B,456.00M,1.675B,,313.00M,147.00M,331.00M,,1.192B,91.00M,7.168B,0.00,20.00M,558.00M,1.833B,,,2.411B,-1.747B,664.00M,383.00M,24.00M,407.00M,240.00M,21.00M,2.141B,1.554B,,2014-09,501.00M,82.00M,74.00M,,657.00M,522.00M,1.179B,53.00M,,,4.00M,,4.00M,706.00M,706.00M,846.00M,3.024B,3.401B,,3.401B,148.00M,1.989B,31.00M,,227.00M,,2014-09,2.00M,3.284B,2.55B,,,-2.625B,3.211B,,2014-09,AOR,Restated
2014-06,2.876B,,2.876B,1.185B,374.00M,1.623B,,313.00M,142.00M,330.00M,,1.205B,75.00M,7.066B,0.00,21.00M,554.00M,1.84B,,,2.415B,-1.733B,682.00M,383.00M,24.00M,407.00M,236.00M,18.00M,1.909B,1.55B,,2014-06,453.00M,78.00M,76.00M,,607.00M,518.00M,1.125B,44.00M,,,4.00M,,4.00M,687.00M,687.00M,852.00M,2.924B,2.446B,,2.446B,150.00M,1.772B,30.00M,,229.00M,,2014-06,3.00M,3.219B,3.162B,,,-2.245B,4.139B,,2014-06,AOR,Restated
2014-03,3.141B,,3.141B,1.727B,392.00M,2.19B,,508.00M,257.00M,576.00M,,624.00M,136.00M,6.781B,0.00,36.00M,651.00M,1.979B,,,2.666B,-1.871B,795.00M,1.531B,103.00M,1.634B,260.00M,47.00M,2.004B,94.00M,,2014-03,655.00M,79.00M,92.00M,,826.00M,649.00M,1.475B,107.00M,,,4.00M,,4.00M,1.164B,1.164B,,3.026B,2.462B,,2.462B,293.00M,1.832B,30.00M,,255.00M,,2014-03,3.00M,2.473B,3.511B,,,-2.27B,3.717B,,2014-03,AOR,Restated
2013-12,3.225B,,3.225B,1.369B,405.00M,1.881B,,315.00M,157.00M,347.00M,,451.00M,123.00M,7.02B,0.00,22.00M,582.00M,1.642B,,,2.246B,-1.636B,610.00M,361.00M,6.00M,367.00M,232.00M,1.00M,1.99B,1.631B,,2013-12,583.00M,79.00M,85.00M,52.00M,799.00M,578.00M,1.377B,,,,4.00M,,4.00M,654.00M,654.00M,870.00M,3.22B,2.457B,,2.457B,162.00M,1.868B,30.00M,,284.00M,,2013-12,3.00M,2.425B,3.518B,,,-2.287B,3.659B,,2013-12,AOR,Restated
2013-09,1.721B,1.169B,2.89B,1.823B,413.00M,2.334B,,462.00M,234.00M,521.00M,,586.00M,138.00M,6.58B,0.00,37.00M,748.00M,1.926B,,,2.711B,-1.87B,841.00M,1.507B,92.00M,1.599B,259.00M,19.00M,2.668B,92.00M,,2013-09,633.00M,80.00M,54.00M,,767.00M,647.00M,1.414B,126.00M,,,4.00M,,4.00M,977.00M,977.00M,,2.84B,2.458B,,2.458B,311.00M,3.436B,29.00M,,308.00M,,2013-09,3.00M,2.162B,3.783B,,,-3.272B,2.676B,,2013-09,AOR,Restated
2013-06,1.457B,1.759B,3.216B,1.707B,424.00M,2.234B,,436.00M,231.00M,498.00M,,641.00M,137.00M,6.841B,0.00,36.00M,736.00M,1.894B,,,2.666B,-1.836B,830.00M,1.502B,96.00M,1.598B,142.00M,22.00M,2.53B,197.00M,,2013-06,597.00M,71.00M,123.00M,,791.00M,575.00M,1.366B,120.00M,,,4.00M,,4.00M,1.008B,1.008B,,2.794B,2.452B,,2.452B,296.00M,3.501B,28.00M,,298.00M,,2013-06,3.00M,1.935B,4.162B,,,-3.309B,2.791B,,2013-06,AOR,Restated
2013-03,1.47B,2.248B,3.718B,1.644B,429.00M,2.215B,,433.00M,247.00M,515.00M,,621.00M,173.00M,7.366B,0.00,37.00M,745.00M,1.946B,,,2.728B,-1.903B,825.00M,1.505B,98.00M,1.603B,148.00M,30.00M,2.422B,203.00M,,2013-03,593.00M,71.00M,75.00M,,739.00M,595.00M,1.334B,106.00M,,,4.00M,,4.00M,1.116B,1.116B,,2.889B,2.45B,,2.45B,319.00M,3.521B,25.00M,,296.00M,,2013-03,3.00M,1.746B,4.667B,,,-3.319B,3.097B,,2013-03,AOR,Restated
2012-12,1.468B,2.135B,3.603B,1.881B,416.00M,2.392B,,432.00M,244.00M,513.00M,,604.00M,148.00M,7.401B,0.00,38.00M,739.00M,1.932B,,,2.709B,-1.87B,839.00M,1.51B,109.00M,1.619B,240.00M,60.00M,2.416B,104.00M,,2012-12,705.00M,72.00M,95.00M,,872.00M,684.00M,1.556B,144.00M,,,4.00M,,4.00M,1.207B,1.207B,,3.335B,1.859B,,1.859B,304.00M,3.556B,25.00M,,335.00M,,2012-12,3.00M,1.625B,4.937B,,,-3.30B,3.265B,,2012-12,AOR,Restated
2012-09,1.779B,1.76B,3.539B,1.704B,,1.704B,,378.00M,323.00M,538.00M,,662.00M,828.00M,7.271B,0.00,56.00M,760.00M,1.917B,,,2.733B,-1.873B,860.00M,1.43B,30.00M,1.46B,162.00M,43.00M,2.017B,207.00M,,2012-09,646.00M,73.00M,,,719.00M,1.251B,1.97B,,,,4.00M,,4.00M,799.00M,799.00M,,3.125B,1.86B,,1.86B,,,25.00M,,3.138B,,2012-09,3.00M,1.361B,5.161B,,,-2.653B,3.872B,,2012-09,AOR,Restated
2012-06,1.772B,1.933B,3.705B,1.59B,,1.59B,,346.00M,315.00M,488.00M,,679.00M,761.00M,7.223B,0.00,55.00M,754.00M,2.14B,,,2.949B,-2.092B,857.00M,1.43B,36.00M,1.466B,200.00M,50.00M,2.19B,207.00M,,2012-06,637.00M,63.00M,93.00M,,793.00M,1.115B,1.908B,,,,4.00M,,4.00M,788.00M,788.00M,,2.99B,1.861B,,1.861B,,,25.00M,,3.469B,,2012-06,3.00M,1.228B,5.41B,,,-2.793B,3.848B,,2012-06,AOR,Restated
2012-03,1.72B,2.047B,3.767B,1.717B,,1.717B,,334.00M,307.00M,471.00M,,640.00M,772.00M,7.377B,0.00,62.00M,761.00M,2.131B,,,2.954B,-2.08B,874.00M,1.43B,,1.43B,168.00M,,2.318B,276.00M,,2012-03,594.00M,,,,594.00M,2.573B,3.167B,,,,404.00M,,404.00M,,,12.00M,3.583B,1.126B,,1.126B,,,25.00M,,3.624B,,2012-03,3.00M,1.109B,5.80B,,,-2.827B,4.085B,,2012-03,AOR,Restated
2011-12,1.881B,3.21B,5.091B,1.866B,302.00M,2.253B,,363.00M,319.00M,512.00M,,613.00M,157.00M,8.768B,0.00,69.00M,774.00M,2.052B,,,2.895B,-1.999B,896.00M,1.428B,48.00M,1.476B,166.00M,37.00M,2.375B,211.00M,,2011-12,677.00M,70.00M,126.00M,,873.00M,917.00M,1.79B,125.00M,,,405.00M,,405.00M,1.024B,1.024B,,3.815B,1.13B,,1.13B,275.00M,2.97B,60.00M,,465.00M,,2011-12,3.00M,1.016B,7.071B,,,-2.876B,5.214B,,2011-12,AOR,Restated
2011-09,1.785B,4.465B,6.25B,1.535B,,1.535B,,280.00M,433.00M,548.00M,,629.00M,743.00M,9.715B,0.00,70.00M,768.00M,2.125B,,,2.963B,-2.074B,889.00M,1.449B,,1.449B,167.00M,,2.074B,477.00M,,2011-09,641.00M,72.00M,116.00M,,829.00M,1.496B,2.325B,,,,605.00M,,605.00M,810.00M,810.00M,12.00M,4.169B,1.538B,,1.538B,,,60.00M,,2.906B,,2011-09,3.00M,902.00M,7.347B,,,-2.154B,6.098B,,2011-09,AOR,Restated
2011-06,2.203B,4.424B,6.627B,1.546B,,1.546B,,284.00M,398.00M,522.00M,,729.00M,729.00M,10.27B,0.00,70.00M,769.00M,2.115B,,,2.954B,-2.055B,899.00M,1.429B,,1.429B,203.00M,,2.063B,734.00M,,2011-06,625.00M,,146.00M,,771.00M,1.884B,2.655B,,606.00M,,606.00M,,606.00M,760.00M,760.00M,110.00M,4.131B,1.548B,,1.548B,,,85.00M,,3.094B,,2011-06,3.00M,846.00M,8.03B,,,-2.14B,6.739B,,2011-06,AOR,Restated
2011-03,2.764B,3.455B,6.219B,1.406B,,1.406B,,289.00M,390.00M,521.00M,,911.00M,1.804B,10.86B,0.00,76.00M,814.00M,2.079B,,,2.969B,-2.054B,915.00M,1.429B,196.00M,1.625B,195.00M,287.00M,1.984B,693.00M,,2011-03,560.00M,,120.00M,,680.00M,1.932B,2.612B,,605.00M,,605.00M,,605.00M,741.00M,741.00M,946.00M,4.904B,2.093B,,2.093B,,,96.00M,,3.157B,,2011-03,3.00M,497.00M,7.95B,,,-2.14B,6.31B,,2011-03,AOR,Restated
2010-12,4.208B,4.655B,8.863B,3.268B,,3.268B,,1.016B,893.00M,1.364B,,1.338B,1.342B,17.15B,0.00,116.00M,1.52B,3.759B,,,5.395B,-3.666B,1.729B,2.825B,679.00M,3.504B,380.00M,325.00M,1.80B,685.00M,,2010-12,2.462B,,293.00M,194.00M,2.949B,3.146B,6.095B,,605.00M,,605.00M,,605.00M,1.071B,1.071B,939.00M,8.71B,2.194B,,2.194B,,,102.00M,,3.686B,,2010-12,3.00M,4.46B,8.644B,,,-2.222B,10.88B,,2010-12,AOR,Restated
2010-09,3.848B,5.046B,8.894B,3.236B,,3.236B,,1.04B,861.00M,1.354B,,1.23B,1.442B,17.37B,0.00,115.00M,1.579B,3.47B,,,5.164B,-3.396B,1.768B,2.752B,,2.752B,304.00M,,1.762B,1.966B,,2010-09,2.379B,,340.00M,257.00M,2.976B,888.00M,3.864B,,,,532.00M,,532.00M,1.061B,1.061B,2.68B,8.709B,2.864B,,2.864B,,,105.00M,,3.639B,,2010-09,24.00M,4.167B,8.565B,,,-2.315B,10.44B,,2010-09,AOR,Restated
2010-06,2.893B,5.338B,8.231B,3.465B,,3.465B,,1.229B,809.00M,1.299B,,1.212B,1.807B,16.01B,0.00,125.00M,1.803B,4.681B,,,6.609B,-4.641B,1.968B,2.828B,,2.828B,427.00M,,1.882B,1.693B,,2010-06,2.336B,,201.00M,445.00M,2.982B,2.625B,5.607B,,531.00M,,531.00M,,531.00M,1.442B,1.442B,307.00M,7.887B,2.907B,,2.907B,,,104.00M,,3.798B,,2010-06,23.00M,4.058B,8.411B,,,-2.376B,10.12B,,2010-06,AOR,Restated
2010-03,3.188B,5.18B,8.368B,,,3.086B,,1.179B,854.00M,1.251B,,1.125B,2.066B,15.90B,0.00,123.00M,1.773B,5.135B,,,7.031B,-4.943B,2.088B,2.83B,,2.83B,524.00M,,2.253B,1.669B,,2010-03,2.147B,,,,2.147B,5.194B,7.341B,,532.00M,,532.00M,,532.00M,,,,7.873B,3.372B,,3.372B,,,101.00M,,3.97B,,2010-03,23.00M,3.896B,8.336B,,,-2.311B,9.944B,,2010-03,AOR,Restated
2009-12,2.869B,5.094B,7.963B,2.845B,,2.845B,,887.00M,883.00M,1.097B,,1.082B,1.389B,16.03B,0.00,115.00M,1.479B,3.496B,,,5.09B,-3.271B,1.819B,2.714B,846.00M,3.56B,522.00M,244.00M,2.569B,857.00M,,2009-12,1.998B,,246.00M,235.00M,2.479B,2.824B,5.303B,,536.00M,,536.00M,,536.00M,836.00M,836.00M,1.586B,8.261B,3.365B,,3.365B,,,108.00M,,4.094B,,2009-12,3.00M,3.827B,8.231B,,,-2.286B,9.775B,,2009-12,AOR,Restated
