,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.868B,1.868B,959.00M,909.00M,313.00M,313.00M,175.00M,54.00M,0.00,-71.00M,60.00M,2.00M,-58.00M,,542.00M,367.00M,2.00M,60.00M,-58.00M,-58.00M,-58.00M,251.00M,45.00M,206.00M,,268.14M,414.00M,103.00M,311.00M,,,1.582,1.21,,2020-09,1.544,1.18,,173.50M,0.64,,2020-09,AOR,
2020-06,1.618B,1.618B,852.00M,766.00M,297.00M,297.00M,161.00M,51.00M,0.00,-39.00M,60.00M,2.00M,-58.00M,,509.00M,257.00M,2.00M,60.00M,-58.00M,-23.00M,-58.00M,176.00M,40.00M,136.00M,,171.96M,334.00M,98.00M,236.00M,,,1.007,0.79,,2020-06,0.9929,0.78,,173.60M,0.64,,2020-06,AOR,
2020-03,1.655B,1.655B,868.00M,787.00M,341.00M,341.00M,168.00M,53.00M,0.00,34.00M,55.00M,3.00M,-52.00M,,562.00M,225.00M,3.00M,55.00M,-52.00M,51.00M,-52.00M,224.00M,26.00M,198.00M,,165.32M,378.00M,99.00M,279.00M,,,0.9643,1.15,,2020-03,0.9399,1.12,,175.90M,0.64,,2020-03,AOR,
2019-12,2.376B,2.376B,1.156B,1.22B,368.00M,368.00M,182.00M,54.00M,2.00M,-386.00M,59.00M,4.00M,-55.00M,,605.00M,615.00M,4.00M,59.00M,-55.00M,-367.00M,-55.00M,193.00M,-50.00M,243.00M,,529.16M,356.00M,104.00M,252.00M,,,3.108,1.43,,2019-12,3.022,1.39,,175.30M,0.64,,2019-12,AOR,
2019-09,1.994B,1.994B,987.00M,1.007B,359.00M,359.00M,172.00M,52.00M,5.00M,-19.00M,60.00M,6.00M,-54.00M,,583.00M,424.00M,6.00M,60.00M,-54.00M,-22.00M,-54.00M,348.00M,80.00M,268.00M,,286.25M,507.00M,99.00M,408.00M,,,1.715,1.60,,2019-09,1.619,1.51,,176.40M,0.57,,2019-09,AOR,Restated
2019-06,1.86B,1.86B,929.00M,931.00M,351.00M,351.00M,170.00M,52.00M,3.00M,-55.00M,59.00M,3.00M,-56.00M,,573.00M,358.00M,3.00M,59.00M,-56.00M,-27.00M,-56.00M,275.00M,67.00M,208.00M,,254.12M,430.00M,96.00M,334.00M,,,1.536,1.25,,2019-06,1.448,1.18,,176.10M,0.57,,2019-06,AOR,Restated
2019-03,1.657B,1.657B,884.00M,773.00M,327.00M,327.00M,162.00M,50.00M,8.00M,-13.00M,60.00M,5.00M,-55.00M,,539.00M,234.00M,5.00M,60.00M,-55.00M,6.00M,-55.00M,185.00M,33.00M,152.00M,,167.40M,340.00M,95.00M,245.00M,,,1.02,0.92,,2019-03,0.9539,0.86,,174.60M,0.57,,2019-03,AOR,Restated
2018-12,2.254B,2.254B,1.166B,1.088B,336.00M,336.00M,165.00M,48.00M,6.00M,-28.00M,62.00M,3.00M,-59.00M,0.00,549.00M,539.00M,3.00M,62.00M,-59.00M,-15.00M,-59.00M,465.00M,42.00M,423.00M,,455.66M,620.00M,93.00M,527.00M,,,2.786,2.58,,2018-12,2.634,2.44,,173.20M,0.57,,2018-12,AOR,Restated
2018-09,1.862B,1.862B,961.00M,901.00M,323.00M,323.00M,158.00M,46.00M,0.00,-17.00M,62.00M,3.00M,-59.00M,57.00M,584.00M,317.00M,3.00M,62.00M,-59.00M,12.00M,-59.00M,270.00M,22.00M,248.00M,,262.61M,421.00M,89.00M,332.00M,,,1.616,1.52,,2018-09,1.520,1.43,,172.60M,0.52,,2018-09,AOR,Restated
2018-06,1.76B,1.76B,938.00M,822.00M,316.00M,316.00M,162.00M,53.00M,0.00,-18.00M,63.00M,5.00M,-58.00M,,531.00M,291.00M,5.00M,63.00M,-58.00M,-6.00M,-58.00M,227.00M,46.00M,181.00M,,201.60M,386.00M,96.00M,290.00M,,,1.243,1.11,,2018-06,1.176,1.05,,171.70M,0.52,,2018-06,AOR,Restated
2018-03,1.468B,1.468B,799.00M,669.00M,279.00M,279.00M,152.00M,41.00M,,-26.00M,54.00M,8.00M,-46.00M,,472.00M,197.00M,8.00M,54.00M,-46.00M,-11.00M,-46.00M,140.00M,23.00M,117.00M,,142.20M,276.00M,82.00M,194.00M,,,0.8861,0.73,,2018-03,0.8377,0.69,,170.60M,0.52,,2018-03,AOR,Restated
2017-12,1.957B,1.957B,987.00M,970.00M,265.00M,265.00M,155.00M,40.00M,3.00M,-9.00M,51.00M,4.00M,-47.00M,,460.00M,510.00M,4.00M,51.00M,-47.00M,3.00M,-47.00M,466.00M,1.039B,-573.00M,,-569.00M,606.00M,89.00M,517.00M,,0.00,-3.523,-3.56,,2017-12,-3.523,-3.56,,162.00M,0.52,,2017-12,AOR,Restated
2017-09,1.645B,1.645B,851.00M,794.00M,259.00M,259.00M,141.00M,39.00M,2.00M,-29.00M,55.00M,3.00M,-52.00M,,439.00M,355.00M,3.00M,55.00M,-52.00M,-17.00M,-52.00M,286.00M,73.00M,213.00M,,236.42M,429.00M,88.00M,341.00M,,,1.450,1.30,,2017-09,1.394,1.25,,169.00M,0.47,,2017-09,AOR,Restated
2017-06,1.497B,1.497B,807.00M,690.00M,254.00M,254.00M,138.00M,37.00M,0.00,-16.00M,55.00M,4.00M,-51.00M,,429.00M,261.00M,4.00M,55.00M,-51.00M,-5.00M,-51.00M,205.00M,73.00M,132.00M,,143.16M,346.00M,86.00M,260.00M,,,0.8746,0.80,,2017-06,0.8520,0.78,,169.00M,0.47,,2017-06,AOR,Restated
2017-03,1.281B,1.281B,711.00M,570.00M,244.00M,244.00M,135.00M,36.00M,-42.00M,9.00M,54.00M,3.00M,-51.00M,,415.00M,155.00M,3.00M,54.00M,-51.00M,16.00M,-51.00M,120.00M,42.00M,78.00M,,75.05M,254.00M,80.00M,174.00M,,,0.4581,0.47,,2017-03,0.4385,0.45,,169.90M,0.47,,2017-03,AOR,Restated
2016-12,1.883B,1.883B,955.00M,928.00M,322.00M,322.00M,142.00M,30.00M,23.00M,-80.00M,56.00M,8.00M,-48.00M,,494.00M,434.00M,8.00M,56.00M,-48.00M,-24.00M,-48.00M,362.00M,118.00M,244.00M,,295.57M,493.00M,75.00M,418.00M,,0.00,1.788,1.47,,2016-12,1.739,1.43,,170.40M,0.47,,2016-12,AOR,Restated
2016-09,1.532B,1.532B,770.00M,762.00M,247.00M,247.00M,137.00M,31.00M,2.00M,-8.00M,58.00M,4.00M,-54.00M,,415.00M,347.00M,4.00M,58.00M,-54.00M,3.00M,-54.00M,293.00M,100.00M,193.00M,,195.30M,427.00M,76.00M,351.00M,,,1.170,1.15,,2016-09,1.149,1.13,,169.60M,0.41,,2016-09,AOR,Restated
2016-06,1.43B,1.43B,754.00M,676.00M,240.00M,240.00M,138.00M,38.00M,,-36.00M,59.00M,5.00M,-54.00M,,416.00M,260.00M,5.00M,59.00M,-54.00M,-39.00M,-54.00M,167.00M,59.00M,108.00M,,132.35M,308.00M,82.00M,226.00M,,,0.7675,0.62,,2016-06,0.7550,0.61,,174.80M,0.41,,2016-06,AOR,Restated
2016-03,1.193B,1.193B,691.00M,502.00M,234.00M,234.00M,135.00M,13.00M,,-20.00M,53.00M,4.00M,-49.00M,,382.00M,120.00M,4.00M,53.00M,-49.00M,-49.00M,-49.00M,22.00M,5.00M,17.00M,,54.73M,137.00M,62.00M,75.00M,,,0.3162,0.10,,2016-03,0.3132,0.10,,177.00M,0.41,,2016-03,AOR,Restated
2015-12,1.682B,1.682B,844.00M,838.00M,252.00M,252.00M,152.00M,2.00M,40.00M,-46.00M,54.00M,3.00M,-51.00M,,406.00M,432.00M,3.00M,54.00M,-51.00M,-4.00M,-51.00M,377.00M,99.00M,278.00M,2.00M,285.11M,468.00M,37.00M,431.00M,,0.02,1.626,1.60,,2015-12,1.605,1.57,,179.60M,0.41,,2015-12,AOR,Restated
2015-09,1.422B,1.422B,737.00M,685.00M,259.00M,259.00M,153.00M,2.00M,0.00,-40.00M,47.00M,4.00M,-43.00M,,414.00M,271.00M,4.00M,47.00M,-43.00M,-31.00M,-43.00M,197.00M,71.00M,126.00M,-11.00M,146.47M,276.00M,32.00M,244.00M,,-0.05,0.7327,0.58,,2015-09,0.7317,0.57,,201.30M,0.34,,2015-09,AOR,Restated
2015-06,1.368B,1.368B,720.00M,648.00M,254.00M,254.00M,156.00M,3.00M,3.00M,16.00M,42.00M,3.00M,-39.00M,,413.00M,235.00M,3.00M,42.00M,-39.00M,19.00M,-39.00M,215.00M,64.00M,151.00M,-8.00M,138.10M,297.00M,40.00M,257.00M,,-0.04,0.6628,0.68,,2015-06,0.6632,0.68,,209.50M,0.34,,2015-06,AOR,Restated
