,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalDeposits,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2016-09,3.444B,93.50B,96.95B,5.787B,,5.787B,104.91B,,2.273B,,2.273B,11.92B,95.31B,,115.29B,266.60B,,,5.654B,5.654B,5.654B,250.00M,,250.00M,250.00M,5.904B,5.457B,5.457B,43.00M,43.00M,1.999B,,,137.00M,,,7.636B,250.28B,5.909B,7.037B,,,,,3.377B,16.32B
2016-06,4.113B,92.34B,96.45B,5.91B,,5.91B,104.97B,,2.273B,,2.273B,11.78B,94.15B,,113.97B,263.03B,,,6.297B,6.297B,6.297B,250.00M,,250.00M,250.00M,6.547B,5.46B,5.46B,61.00M,61.00M,2.019B,,,134.00M,,,7.674B,247.11B,6.009B,6.716B,,,,,3.195B,15.92B
2016-03,3.177B,88.91B,92.08B,5.998B,,5.998B,100.17B,,2.273B,,2.273B,11.47B,90.77B,,108.81B,255.72B,,,5.017B,5.017B,5.017B,,,,,5.017B,5.65B,5.65B,79.00M,79.00M,597.00M,,,111.00M,,,6.437B,241.06B,6.162B,6.565B,,,,,1.931B,14.66B
2015-12,3.146B,85.80B,88.94B,5.999B,,5.999B,96.48B,,2.273B,,2.273B,11.24B,87.65B,,105.25B,251.91B,,,4.657B,4.657B,4.657B,,,,,4.657B,5.553B,5.553B,98.00M,98.00M,638.00M,,,87.00M,,,6.376B,238.29B,6.298B,6.474B,,,,,845.00M,13.62B
2015-09,3.772B,86.35B,90.12B,5.942B,,5.942B,98.08B,,2.273B,,2.273B,11.10B,88.26B,,105.72B,249.53B,,,5.297B,5.297B,5.297B,0.00,,0.00,0.00,5.297B,5.604B,5.604B,116.00M,116.00M,676.00M,,,116.00M,,,6.512B,235.13B,6.38B,6.358B,,,,,1.663B,14.40B
2015-06,2.327B,86.25B,88.57B,6.023B,,6.023B,95.94B,,2.273B,,2.273B,10.85B,88.20B,,105.61B,255.21B,,,4.587B,4.587B,4.587B,0.00,,0.00,0.00,4.587B,5.529B,5.529B,134.00M,134.00M,718.00M,,,120.00M,,,6.501B,240.52B,6.469B,6.286B,,,,,1.944B,14.70B
2015-03,3.487B,89.62B,93.11B,6.05B,,6.05B,101.25B,,2.273B,,2.273B,10.34B,91.70B,,107.86B,258.48B,,,5.046B,5.046B,5.046B,250.00M,,250.00M,250.00M,5.296B,5.627B,5.627B,153.00M,153.00M,717.00M,,,165.00M,,,6.662B,242.26B,6.493B,6.077B,,,,,3.653B,16.22B
2014-12,3.919B,87.07B,90.99B,6.203B,,6.203B,99.05B,,2.273B,,2.273B,10.26B,89.13B,,105.16B,253.38B,,,4.409B,4.409B,4.409B,250.00M,,250.00M,250.00M,4.659B,5.27B,5.27B,171.00M,171.00M,764.00M,,,150.00M,,,6.355B,237.64B,6.622B,6.022B,,,,,3.096B,15.74B
2014-09,1.821B,86.18B,88.00B,6.354B,,6.354B,95.79B,,2.273B,,2.273B,10.16B,88.31B,,104.92B,248.45B,,,3.853B,3.853B,3.853B,,250.00M,250.00M,250.00M,4.103B,5.186B,5.186B,190.00M,190.00M,806.00M,,,141.00M,,,6.323B,232.99B,6.696B,5.834B,,,,,2.922B,15.45B
2014-06,1.509B,86.36B,87.87B,6.472B,,6.472B,95.49B,,2.273B,,2.273B,9.811B,88.70B,,105.31B,249.12B,,,3.571B,3.571B,3.571B,250.00M,,250.00M,250.00M,3.821B,5.17B,5.17B,208.00M,208.00M,842.00M,,,155.00M,,,6.375B,233.67B,6.739B,5.513B,,,,,3.199B,15.45B
2014-03,1.849B,83.79B,85.64B,6.488B,,6.488B,93.17B,,2.273B,,2.273B,9.818B,86.11B,,102.79B,241.95B,,,3.519B,3.519B,3.519B,0.00,,0.00,0.00,3.519B,5.38B,5.38B,226.00M,226.00M,843.00M,,,135.00M,,,6.584B,227.46B,6.805B,5.228B,,,,,2.453B,14.49B
2013-12,2.364B,80.98B,83.34B,6.461B,,6.461B,90.68B,,2.273B,,2.273B,9.934B,83.26B,,98.97B,236.94B,,,3.238B,3.238B,3.238B,500.00M,0.00,500.00M,500.00M,3.738B,5.32B,5.32B,245.00M,245.00M,867.00M,,,108.00M,,,6.54B,223.49B,6.876B,5.013B,,,,,1.563B,13.45B
2013-09,2.65B,81.02B,83.67B,6.955B,,6.955B,91.74B,,2.273B,,2.273B,9.862B,83.37B,,99.00B,229.92B,,,3.553B,3.553B,3.553B,503.00M,,503.00M,503.00M,4.056B,5.365B,5.365B,263.00M,263.00M,898.00M,,,121.00M,,,6.647B,216.54B,6.886B,4.753B,,,,,1.75B,13.39B
2013-06,2.574B,81.14B,83.72B,6.815B,,6.815B,92.21B,,2.273B,,2.273B,9.793B,83.53B,,99.04B,223.32B,,,4.252B,4.252B,4.252B,506.00M,,506.00M,506.00M,4.758B,5.05B,5.05B,282.00M,282.00M,926.00M,,,131.00M,,,6.389B,210.00B,6.937B,4.487B,,,,,1.893B,13.32B
2013-03,3.107B,83.57B,86.67B,6.929B,,6.929B,95.87B,,2.273B,,2.273B,9.849B,86.10B,,101.58B,224.34B,,,4.107B,4.107B,4.107B,,706.00M,706.00M,706.00M,4.813B,4.889B,4.889B,301.00M,301.00M,926.00M,,,199.00M,,,6.315B,209.48B,7.043B,4.238B,,,,,3.581B,14.86B
2012-12,4.23B,82.90B,87.13B,6.829B,,6.829B,96.61B,,2.273B,,2.273B,9.86B,85.46B,,101.00B,218.87B,,,4.181B,4.181B,4.181B,200.00M,,200.00M,200.00M,4.381B,5.439B,5.439B,319.00M,319.00M,940.00M,,,215.00M,,,6.913B,203.90B,7.121B,4.044B,,,,,3.808B,14.97B
2012-09,4.373B,1.123B,5.496B,366.00M,,366.00M,8.934B,,2.273B,,2.273B,9.47B,85.81B,,100.90B,215.46B,987.00M,,4.566B,5.553B,5.553B,,200.00M,200.00M,200.00M,5.753B,5.494B,5.494B,338.00M,338.00M,,,,215.00M,,,6.047B,200.22B,0.00,3.873B,7.214B,,,,4.15B,15.24B
2012-06,5.257B,1.041B,6.298B,388.00M,,388.00M,10.08B,,2.273B,,2.273B,9.633B,83.74B,,98.98B,211.11B,999.00M,,5.07B,6.069B,6.069B,,300.00M,300.00M,300.00M,6.369B,5.719B,5.719B,356.00M,356.00M,,,,185.00M,,,6.26B,196.93B,7.31B,3.493B,,,,,3.379B,14.18B
2012-03,3.516B,1.043B,4.559B,437.00M,,437.00M,7.24B,,2.273B,,2.273B,9.78B,80.78B,,96.18B,208.02B,1.043B,,2.875B,3.918B,3.918B,,300.00M,300.00M,300.00M,4.218B,5.606B,5.606B,375.00M,375.00M,,,,158.00M,,,6.139B,194.76B,7.448B,3.191B,,,,,2.622B,13.26B
2011-12,4.51B,76.27B,80.78B,6.934B,,6.934B,90.87B,,2.273B,,2.273B,9.963B,78.95B,,94.59B,201.49B,,,3.733B,3.733B,3.733B,,300.00M,300.00M,300.00M,4.033B,5.391B,5.391B,394.00M,394.00M,1.045B,,,168.00M,,,6.998B,188.39B,7.59B,2.831B,,,,,2.68B,13.10B
2011-09,4.833B,1.105B,5.938B,383.00M,,383.00M,9.35B,,3.019B,,3.019B,9.767B,79.26B,,95.36B,197.75B,1.072B,,3.855B,4.927B,4.927B,,550.00M,550.00M,550.00M,5.477B,5.348B,5.348B,412.00M,412.00M,,,,177.00M,,,5.937B,182.83B,7.792B,4.664B,,,,,2.463B,14.92B
2011-06,2.912B,1.001B,3.913B,370.00M,,370.00M,5.38B,,3.019B,,3.019B,9.748B,75.28B,,91.36B,201.55B,1.107B,,1.805B,2.912B,2.912B,,251.00M,251.00M,251.00M,3.163B,5.729B,5.729B,431.00M,431.00M,,,,119.00M,,,6.279B,187.97B,7.938B,4.536B,,,,,1.112B,13.59B
2011-03,2.216B,1.029B,3.245B,401.00M,,401.00M,4.592B,,3.019B,,3.019B,9.586B,73.59B,,89.49B,198.32B,1.135B,,1.554B,2.689B,2.689B,,351.00M,351.00M,351.00M,3.04B,5.37B,5.37B,450.00M,450.00M,,,,91.00M,,,5.911B,185.23B,8.064B,4.243B,,,,,783.00M,13.09B
2010-12,2.741B,1.038B,3.779B,335.00M,,335.00M,5.19B,,3.019B,,3.019B,9.617B,72.44B,,88.45B,193.82B,1.149B,,1.659B,2.808B,2.808B,,351.00M,351.00M,351.00M,3.159B,5.399B,5.399B,468.00M,468.00M,,,,102.00M,,,5.969B,181.02B,8.124B,3.934B,,,,,748.00M,12.81B
2010-09,3.547B,1.096B,4.643B,308.00M,,308.00M,6.855B,,3.019B,,3.019B,9.678B,74.31B,,90.14B,190.49B,1.136B,,2.567B,3.703B,3.703B,,101.00M,101.00M,101.00M,3.804B,5.943B,5.943B,487.00M,487.00M,,,,,,,6.43B,176.93B,8.142B,3.755B,,,,,1.662B,13.56B
2010-06,3.70B,1.136B,4.836B,317.00M,,317.00M,7.142B,,3.013B,,3.013B,9.784B,70.96B,,86.70B,180.13B,1.196B,,2.376B,3.572B,3.572B,,99.00M,99.00M,99.00M,3.671B,5.865B,5.865B,506.00M,506.00M,,,,,,,6.371B,167.49B,8.188B,3.512B,,,,,938.00M,12.64B
2010-03,3.445B,1.047B,4.492B,397.00M,,397.00M,5.881B,,3.013B,,3.013B,9.916B,67.35B,,83.30B,181.62B,1.216B,,1.828B,3.044B,3.044B,,101.00M,101.00M,101.00M,3.145B,5.06B,5.06B,525.00M,525.00M,,,,,,,5.585B,169.25B,8.657B,3.409B,,812.00M,,,302.00M,12.37B
2009-12,4.025B,1.057B,5.082B,321.00M,,321.00M,6.413B,,3.013B,,3.013B,10.08B,64.66B,,81.58B,177.43B,1.261B,,1.907B,3.168B,3.168B,,350.00M,350.00M,350.00M,3.518B,5.05B,5.05B,543.00M,543.00M,,,,31.00M,,,5.624B,165.73B,8.646B,3.316B,,806.00M,,,-262.00M,11.70B
2009-09,3.161B,1.08B,4.241B,323.00M,,323.00M,5.846B,,3.096B,,3.096B,10.17B,64.58B,,88.52B,181.49B,1.22B,,2.24B,3.46B,3.46B,,400.00M,400.00M,400.00M,3.86B,4.789B,4.789B,511.00M,511.00M,,,,,,,5.30B,169.83B,8.642B,3.234B,,800.00M,,,-220.00M,11.66B
2009-06,2.539B,1.187B,3.726B,429.00M,,429.00M,5.389B,,3.344B,,3.344B,10.36B,58.79B,,82.32B,167.04B,1.222B,,1.712B,2.934B,2.934B,,455.00M,455.00M,455.00M,3.389B,4.775B,4.775B,529.00M,529.00M,,,,,,,5.304B,157.97B,7.681B,3.101B,,,,,-1.707B,9.075B
2009-03,5.613B,1.476B,7.089B,489.00M,,489.00M,9.804B,,,3.344B,3.344B,10.52B,53.28B,,70.52B,157.43B,,,,2.386B,2.386B,,1.436B,1.436B,1.436B,3.822B,4.345B,4.345B,548.00M,548.00M,,,,,,,4.893B,150.10B,7.033B,3.265B,,,,,-2.975B,7.323B
2008-12,5.926B,1.624B,7.55B,481.00M,,481.00M,11.43B,,,3.944B,3.944B,10.64B,53.18B,,71.23B,163.14B,,,,3.706B,3.706B,,815.00M,815.00M,815.00M,4.521B,4.731B,4.731B,619.00M,619.00M,,,,0.00,,,5.35B,155.16B,7.035B,3.745B,,,,,-2.803B,7.977B
2008-09,2.16B,1.193B,3.353B,463.00M,,463.00M,5.078B,,4.041B,,4.041B,10.56B,56.01B,,73.37B,173.27B,2.062B,,1.668B,3.73B,3.73B,,635.00M,635.00M,635.00M,4.365B,4.569B,4.569B,,,,,,,,,4.569B,163.77B,7.006B,4.304B,,,,,-1.81B,9.50B
2008-06,1.921B,1.163B,3.084B,399.00M,,399.00M,4.373B,,4.045B,,4.045B,10.48B,58.70B,,75.80B,184.28B,2.069B,,1.49B,3.559B,3.559B,,900.00M,900.00M,900.00M,4.459B,4.102B,4.102B,,,,,,,,,4.102B,173.78B,0.00,4.283B,,,,,-808.00M,10.50B
2008-03,2.447B,,2.447B,468.00M,,468.00M,2.915B,,4.128B,,4.128B,10.34B,56.10B,,86.82B,185.35B,,,,,,,411.00M,411.00M,411.00M,411.00M,4.627B,4.627B,677.00M,677.00M,,,,,,,5.304B,174.26B,7.075B,4.333B,,,,,-322.00M,11.09B
2007-12,1.665B,1.075B,2.74B,401.00M,,401.00M,3.948B,,,4.144B,4.144B,10.31B,60.60B,,68.74B,191.44B,,,,1.135B,1.135B,,550.00M,550.00M,550.00M,1.685B,4.618B,4.618B,696.00M,696.00M,,,,219.00M,,,5.533B,179.72B,7.20B,4.293B,,,,,225.00M,11.72B
2007-09,1.326B,,1.326B,8.227B,401.00M,8.628B,9.954B,,4.522B,,4.522B,10.07B,156.00M,,79.11B,192.22B,,,,,,,326.00M,326.00M,326.00M,326.00M,4.408B,4.408B,715.00M,715.00M,,15.09B,,,,,20.22B,180.25B,7.31B,4.456B,,1.00M,,,197.00M,11.96B
2007-06,989.00M,,989.00M,8.179B,432.00M,8.611B,9.60B,,4.521B,,4.521B,10.10B,6.134B,,78.59B,187.65B,,,,,,,230.00M,230.00M,230.00M,230.00M,4.108B,4.108B,734.00M,734.00M,,15.03B,,,,,19.87B,175.81B,7.364B,4.323B,,1.00M,,,149.00M,11.84B
2007-03,900.00M,,900.00M,8.132B,375.00M,8.507B,9.407B,,4.521B,,4.521B,10.18B,56.97B,,79.32B,181.33B,,,,,,,593.00M,593.00M,593.00M,593.00M,4.109B,4.109B,741.00M,741.00M,,15.01B,,,,,19.86B,169.29B,7.319B,4.054B,,1.00M,168.00M,491.00M,659.00M,12.03B
2006-12,1.622B,881.00M,2.503B,356.00M,,356.00M,3.274B,,4.137B,,4.137B,10.14B,60.47B,,69.08B,178.50B,2.094B,,,2.094B,2.094B,,658.00M,658.00M,658.00M,2.752B,3.458B,3.458B,,,,,,,,,3.458B,166.29B,7.45B,4.138B,,1.00M,,,613.00M,12.20B
2006-09,1.108B,,1.108B,8.007B,346.00M,8.353B,9.461B,,4.498B,,4.498B,10.31B,56.49B,,78.81B,171.73B,,,,,,,559.00M,559.00M,559.00M,559.00M,3.735B,3.735B,779.00M,779.00M,,14.72B,,,,,19.23B,159.68B,7.449B,3.986B,,1.00M,137.00M,471.00M,608.00M,12.04B
2006-06,1.50B,,1.50B,7.967B,344.00M,8.311B,9.811B,,4.503B,,4.503B,10.46B,54.60B,,77.27B,167.38B,,,,,,,560.00M,560.00M,560.00M,560.00M,2.66B,2.66B,798.00M,798.00M,,14.72B,,,,,18.18B,155.98B,7.427B,4.013B,,1.00M,128.00M,-164.00M,-36.00M,11.40B
2006-03,1.974B,,1.974B,6.90B,363.00M,7.263B,9.237B,,1.194B,996.00M,2.19B,5.446B,33.07B,,46.27B,128.39B,,,,,,,11.00M,11.00M,11.00M,11.00M,1.331B,1.331B,817.00M,817.00M,,47.00B,,,,,49.15B,122.06B,1.819B,4.236B,,1.00M,89.00M,194.00M,283.00M,6.338B
2005-12,2.312B,,2.312B,6.926B,343.00M,7.269B,9.581B,,1.194B,,1.194B,1.862B,33.59B,,45.84B,124.86B,,,,,,,120.00M,120.00M,120.00M,120.00M,1.333B,1.333B,836.00M,836.00M,,11.70B,,,,,13.87B,118.48B,1.776B,4.081B,,1.00M,83.00M,444.00M,527.00M,6.384B
2005-09,1.602B,,1.602B,7.211B,332.59M,7.544B,9.145B,,1.195B,1.035B,2.230B,5.553B,34.48B,,47.68B,122.10B,,31.46M,,31.46M,31.46M,,165.10M,165.10M,165.10M,196.56M,1.335B,1.335B,855.21M,855.21M,,47.53B,,,335.92M,,49.72B,115.48B,1.741B,3.923B,,0.536M,99.50M,521.29M,620.80M,6.284B
2005-06,1.659B,,1.659B,7.242B,222.76M,7.464B,9.123B,,1.195B,1.060B,2.254B,5.618B,35.13B,,48.50B,118.95B,,160.81M,,160.81M,160.81M,,222.53M,222.53M,222.53M,383.34M,1.339B,1.339B,874.47M,874.47M,,47.61B,,,338.67M,,49.83B,112.25B,1.691B,3.758B,,0.548M,109.35M,805.77M,915.13M,6.363B
2005-03,1.499B,,1.499B,7.337B,299.32M,7.636B,9.135B,,1.196B,1.092B,2.288B,5.666B,34.38B,4.987M,47.55B,116.35B,,0.00,,0.00,0.00,,193.97M,193.97M,193.97M,193.97M,1.383B,1.383B,893.72M,893.72M,,47.54B,,,336.56M,,49.81B,109.97B,1.689B,3.677B,,0.55M,146.48M,530.61M,677.09M,6.043B
2004-12,1.662B,386.83M,2.049B,232.94M,,232.94M,2.281B,,1.196B,1.116B,2.312B,5.728B,35.25B,0.00,48.08B,116.22B,,77.62M,,77.62M,77.62M,,214.42M,214.42M,214.42M,292.04M,1.388B,1.388B,912.98M,912.98M,,47.40B,,,339.80M,,49.70B,109.70B,1.655B,3.590B,,0.566M,154.30M,776.40M,930.70M,6.176B
2004-09,1.996B,,1.996B,7.032B,248.81M,7.281B,9.277B,,1.195B,1.129B,2.324B,5.703B,34.40B,0.00,47.54B,110.38B,,83.84M,,83.84M,83.84M,,0.00,0.00,0.00,83.84M,1.657B,1.657B,932.42M,932.42M,,47.17B,,,,,49.76B,104.41B,1.596B,3.514B,,0.572M,116.90M,744.09M,860.99M,5.971B
2004-06,2.214B,,2.214B,7.139B,265.19M,7.404B,9.618B,,1.235B,1.186B,2.421B,5.737B,32.99B,204.03M,46.09B,109.32B,,,,,,,30.00M,30.00M,30.00M,30.00M,1.651B,1.651B,888.38M,888.38M,,47.14B,,,,,49.68B,103.80B,1.590B,3.433B,,0.591M,120.74M,374.51M,495.26M,5.519B
2004-03,2.256B,379.77M,2.635B,7.866B,337.50M,8.203B,10.84B,,1.235B,1.212B,2.447B,5.865B,34.24B,0.00,47.31B,109.87B,,108.07M,,108.07M,108.07M,,38.00M,38.00M,38.00M,146.07M,1.662B,1.662B,,,,47.57B,,,,,49.23B,103.73B,1.576B,3.428B,,0.592M,128.89M,1.010B,1.139B,6.144B
2003-12,1.711B,374.18M,2.085B,7.839B,352.12M,8.191B,10.28B,,1.235B,1.230B,2.465B,6.119B,33.34B,45.90M,93.13B,106.74B,,0.00,,0.00,0.00,,43.98M,43.98M,43.98M,43.98M,1.459B,1.459B,924.85M,924.85M,,47.32B,,,,,49.70B,100.93B,1.529B,3.413B,,0.593M,,,869.03M,5.812B
2003-09,1.961B,400.01M,2.361B,7.538B,306.48M,7.844B,10.20B,,1.234B,1.228B,2.462B,6.062B,36.03B,0.00,46.26B,100.83B,,37.10M,,37.10M,37.10M,,76.50M,76.50M,76.50M,113.60M,1.452B,1.452B,,,,46.72B,,,333.60M,,48.17B,94.91B,1.509B,3.282B,66.99M,0.634M,,,795.68M,5.586B
2003-06,1.946B,400.60M,2.346B,7.377B,395.99M,7.773B,10.12B,,1.234B,1.259B,2.492B,6.234B,36.01B,0.00,46.62B,99.53B,,71.95M,,71.95M,71.95M,,83.40M,83.40M,83.40M,155.35M,1.121B,1.121B,,,,46.17B,,,397.15M,397.15M,47.69B,93.32B,1.455B,3.244B,,0.638M,68.32M,1.048B,1.116B,5.816B
2003-03,1.635B,384.13M,2.020B,7.323B,194.01M,7.517B,9.537B,,1.233B,1.263B,2.496B,6.164B,34.52B,89.07M,44.99B,92.50B,,,,,,,125.40M,125.40M,125.40M,125.40M,1.119B,1.119B,,,,45.46B,,,390.80M,390.80M,46.97B,86.66B,1.447B,3.163B,,0.64M,39.80M,799.68M,839.48M,5.450B
2002-12,,,,212.94M,,212.94M,212.94M,,,2.525B,2.525B,6.151B,,,53.29B,93.18B,,,,,,,153.04M,153.04M,153.04M,153.04M,1.119B,1.119B,,,,,,,392.66M,,1.119B,87.44B,1.431B,3.181B,,,50.78M,,50.78M,5.348B
2002-09,1.600B,383.34M,1.983B,7.094B,577.24M,7.672B,9.655B,,1.233B,1.331B,2.563B,6.184B,32.82B,292.94M,43.37B,90.44B,,,,,,,120.00M,120.00M,120.00M,120.00M,1.118B,1.118B,,,,43.62B,,,390.59M,390.59M,45.13B,84.66B,1.283B,3.261B,,0.671M,35.35M,809.61M,844.96M,5.389B
2002-06,2.265B,405.51M,2.671B,6.510B,461.40M,6.971B,9.642B,,1.212B,1.367B,2.580B,6.301B,30.55B,438.42M,41.20B,95.07B,,,,,,,211.02M,211.02M,211.02M,211.02M,1.112B,1.112B,,,,41.86B,,,380.02M,380.02M,43.35B,89.38B,1.306B,3.669B,,0.681M,21.95M,310.51M,332.46M,5.308B
