,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2021-01,11.79B,18.80B,30.59B,4.307B,,5.027B,9.334B,,,,,1.436B,,,2.553B,43.91B,,,,,,2.386B,34.73B,1.462B,36.20B,,,5.10B,,4.109B,3.90B,51.69B,95.60B,,1.867B,763.00M,2.63B,,2.63B,,,,5.00B,5.00B,11.55B,11.55B,4.791B,27.27B,9.554B,9.554B,,9.294B,9.294B,,2.28B,29.21B,56.48B,,,,,,,39.12B,,AOR,
2020-10,10.82B,19.19B,30.01B,3.98B,2.733B,2.372B,9.085B,571.00M,19.00M,700.00M,13.00M,1.303B,,,2.589B,42.99B,4.273B,6.752B,,11.02B,-8.613B,2.412B,34.54B,1.581B,36.12B,,3.12B,2.396B,,4.138B,3.832B,52.01B,95.00B,,2.294B,810.00M,3.104B,,3.104B,,,5.002B,5.002B,5.002B,11.27B,11.27B,4.636B,26.99B,9.564B,9.564B,,9.202B,9.202B,,2.303B,29.86B,56.85B,,41.36B,-2.756B,,,-447.00M,38.16B,,AOR,
2020-07,11.81B,17.61B,29.42B,5.472B,,5.051B,10.52B,640.00M,25.00M,601.00M,16.00M,1.282B,,,2.349B,43.57B,4.252B,6.762B,,11.01B,-8.561B,2.453B,33.81B,1.576B,35.38B,,,5.714B,,3.99B,3.741B,51.28B,94.85B,,2.218B,839.00M,3.057B,,3.057B,,,3.005B,3.005B,3.005B,11.41B,11.41B,4.741B,25.33B,11.58B,11.58B,,9.04B,9.04B,,2.147B,31.60B,56.93B,,41.20B,-2.763B,,,-519.00M,37.92B,,AOR,
2020-04,10.37B,18.21B,28.57B,4.569B,2.474B,2.229B,9.272B,628.00M,20.00M,549.00M,15.00M,1.212B,,,2.249B,41.31B,4.405B,6.732B,,11.14B,-8.602B,2.535B,33.45B,1.744B,35.20B,,2.699B,2.071B,,3.909B,3.676B,50.09B,91.39B,,2.393B,1.047B,3.44B,,3.44B,,0.00,4.506B,4.506B,4.506B,10.71B,10.71B,4.341B,25.94B,11.58B,11.58B,,7.938B,7.938B,,1.948B,29.75B,55.69B,,40.69B,-3.874B,,,-1.109B,35.71B,,AOR,
2020-01,8.475B,18.59B,27.06B,4.33B,2.496B,2.331B,9.157B,596.00M,12.00M,726.00M,19.00M,1.353B,,,2.481B,40.05B,4.438B,6.899B,,11.34B,-8.716B,2.621B,33.61B,1.906B,35.52B,,2.706B,2.051B,,3.896B,3.581B,50.37B,90.43B,,1.935B,819.00M,2.754B,,2.754B,,0.00,1.499B,1.499B,1.499B,10.64B,10.64B,4.507B,22.09B,14.49B,14.49B,,8.048B,8.048B,,2.036B,32.80B,54.89B,,40.62B,-4.384B,,,-700.00M,35.53B,,AOR,
2019-10,8.587B,19.45B,28.04B,4.878B,2.575B,2.451B,9.904B,650.00M,9.00M,663.00M,22.00M,1.344B,,,2.433B,41.72B,4.413B,7.398B,,11.81B,-9.142B,2.669B,33.58B,2.107B,35.68B,,2.679B,2.152B,,3.963B,3.628B,50.78B,92.49B,,2.016B,794.00M,2.81B,,2.81B,,0.00,4.00B,4.00B,4.00B,10.65B,10.65B,4.406B,24.60B,14.50B,14.50B,,7.956B,7.956B,,2.10B,33.47B,58.07B,,40.32B,-5.083B,,,-815.00M,34.42B,,AOR,Restated
2019-07,11.75B,21.66B,33.41B,5.491B,,5.095B,10.59B,599.00M,10.00M,752.00M,22.00M,1.383B,,,2.373B,47.76B,4.545B,7.494B,,12.04B,-9.25B,2.789B,33.53B,2.201B,35.73B,,,4.958B,,4.065B,2.496B,50.04B,97.79B,,2.059B,1.149B,3.208B,,3.208B,,4.193B,5.998B,10.19B,10.19B,10.67B,10.67B,4.424B,31.71B,14.48B,14.48B,,7.799B,7.799B,,1.309B,32.51B,64.22B,,40.27B,-5.903B,,,-792.00M,33.57B,,AOR,Restated
2019-04,10.25B,24.39B,34.64B,3.795B,,5.029B,8.824B,615.00M,12.00M,864.00M,22.00M,1.513B,,,2.331B,47.31B,4.554B,7.561B,,12.12B,-9.281B,2.834B,33.54B,2.398B,35.94B,,,4.862B,,4.023B,2.315B,49.98B,97.29B,,2.022B,953.00M,2.975B,,2.975B,,3.283B,4.494B,7.777B,7.777B,10.12B,10.12B,4.172B,27.91B,15.92B,15.92B,,7.339B,7.339B,,1.272B,32.57B,60.48B,,40.58B,-2.877B,,,-896.00M,36.80B,,AOR,Restated
2019-01,9.835B,30.55B,40.38B,3.745B,,5.057B,8.802B,696.00M,,982.00M,23.00M,1.701B,,,2.231B,53.12B,4.731B,7.479B,,12.21B,-9.279B,2.931B,33.29B,2.27B,35.56B,,,4.565B,,4.081B,2.205B,49.34B,102.46B,,1.655B,1.11B,2.765B,,2.765B,,,,9.737B,9.737B,9.976B,9.976B,4.402B,29.48B,15.89B,15.89B,,7.285B,7.285B,,1.256B,32.19B,61.67B,,41.36B,538.00M,,,-1.11B,40.79B,,AOR,Restated
2018-10,8.41B,34.18B,42.59B,4.536B,,4.851B,9.387B,669.00M,0.00,874.00M,29.00M,1.572B,,,2.134B,55.69B,4.707B,7.587B,,12.29B,-9.338B,2.956B,33.39B,2.716B,36.10B,,,4.644B,,3.96B,2.081B,49.74B,105.43B,,1.805B,1.084B,2.889B,,2.889B,,,,7.241B,7.241B,9.637B,9.637B,4.025B,26.41B,18.32B,18.32B,,7.177B,7.177B,,1.451B,35.17B,61.58B,,41.90B,3.169B,,,-1.218B,43.85B,,AOR,Restated
