,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,1.526B,1.526B,503.21M,1.023B,165.12M,280.24M,,108.01M,-8.051M,48.59M,0.527M,-48.07M,,553.36M,469.72M,0.527M,48.59M,-48.07M,-4.347M,-48.07M,417.31M,30.78M,386.53M,,,,386.53M,393.98M,668.12M,202.22M,465.90M,1.05,,,1.07,1.05,1.04,,,1.06,1.04,369.28M,372.32M,0.62
2020-07,1.456B,1.456B,483.56M,972.58M,153.75M,260.79M,,107.08M,-31.83M,45.91M,0.504M,-45.41M,,521.62M,450.95M,0.504M,45.91M,-45.41M,-32.52M,-45.41M,373.03M,10.36M,362.66M,,,,362.66M,393.60M,620.41M,201.46M,418.94M,0.98,,,1.064,0.98,0.97,,,1.053,0.97,368.79M,372.00M,0.62
2020-04,1.317B,1.317B,470.39M,846.67M,141.78M,252.41M,,107.15M,-1.32M,49.98M,1.334M,-48.65M,,501.33M,345.34M,1.334M,49.98M,-48.65M,-1.628M,-48.65M,295.06M,27.36M,267.70M,,,,267.70M,268.89M,548.36M,203.31M,345.05M,0.73,,,0.7333,0.73,0.72,,,0.7232,0.72,368.22M,371.30M,0.62
2020-01,1.304B,1.304B,455.42M,848.14M,199.28M,257.07M,,107.22M,-11.14M,48.81M,1.94M,-46.87M,,563.58M,284.56M,1.94M,48.81M,-46.87M,-11.47M,-46.87M,226.22M,22.34M,203.87M,,,,203.87M,213.91M,478.96M,203.93M,275.03M,0.55,,,0.5772,0.55,0.55,,,0.577,0.55,368.24M,372.26M,0.54
2019-10,1.443B,1.443B,501.03M,942.19M,154.80M,277.02M,,107.22M,-64.79M,50.78M,1.988M,-48.79M,,539.04M,403.15M,1.988M,50.78M,-48.79M,-66.54M,-48.79M,287.83M,10.13M,277.69M,,,,277.69M,340.20M,543.77M,205.16M,338.60M,0.75,,,0.9194,0.75,0.74,,,0.9078,0.74,369.05M,372.58M,0.54
2019-07,1.480B,1.480B,482.33M,997.81M,162.82M,280.10M,,107.23M,-0.927M,59.87M,2.625M,-57.25M,,550.16M,447.65M,2.625M,59.87M,-57.25M,-0.849M,-57.25M,389.56M,27.18M,362.37M,,,,362.37M,363.24M,653.56M,204.13M,449.43M,0.98,,,0.9823,0.98,0.97,,,0.9723,0.97,369.53M,373.08M,0.54
2019-04,1.527B,1.527B,492.51M,1.034B,163.13M,285.85M,,107.26M,-8.162M,59.70M,2.928M,-56.77M,,556.24M,477.86M,2.928M,59.70M,-56.77M,-12.69M,-56.77M,408.40M,40.46M,367.94M,,,,367.94M,375.29M,669.47M,201.38M,468.10M,0.99,,,1.01,0.99,0.98,,,0.9997,0.98,369.25M,373.34M,0.54
2019-01,1.541B,1.541B,501.44M,1.040B,167.34M,287.38M,,107.32M,-21.78M,58.73M,2.688M,-56.04M,,562.05M,477.61M,2.688M,58.73M,-56.04M,-21.62M,-56.04M,399.95M,44.94M,355.01M,,,,355.01M,374.35M,659.26M,200.58M,458.67M,0.96,,,1.012,0.96,0.95,,,1.002,0.95,368.70M,372.51M,0.48
2018-10,1.536B,1.536B,490.36M,1.046B,175.00M,295.34M,,107.34M,-1.842M,59.10M,2.791M,-56.31M,,577.68M,468.08M,2.791M,59.10M,-56.31M,-2.438M,-56.31M,409.34M,4.481M,404.86M,,,,404.86M,406.68M,669.63M,201.19M,468.44M,1.08,,,1.085,1.08,1.07,,,1.075,1.07,371.09M,375.11M,0.48
2018-07,1.558B,1.558B,497.63M,1.061B,171.49M,291.64M,,107.41M,-1.069M,61.66M,2.588M,-59.08M,,570.54M,490.02M,2.588M,61.66M,-59.08M,-0.437M,-59.08M,430.51M,21.95M,408.56M,,,,408.56M,409.57M,692.04M,199.86M,492.17M,1.1,,,1.103,1.1,1.08,,,1.083,1.08,371.32M,375.82M,0.48
