,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-12,549.05M,443.26M,198.67M,244.59M,21.48M,21.48M,,84.37M,-89.83M,,71.88M,,-71.88M,,158.32M,86.27M,,71.88M,-71.88M,-65.35M,-71.88M,-50.96M,13.30M,-57.92M,,,-0.778M,,-58.70M,-25.08M,157.76M,136.83M,20.92M,,-0.13,,,,-0.0583,-0.13,,-0.13,,,,-0.0583,-0.13,,469.11M,469.26M,0.37,,AOR,Restated
2017-09,417.16M,454.02M,155.34M,298.68M,23.52M,23.52M,,25.33M,-80.14M,,71.33M,,-71.33M,,154.11M,144.57M,,71.33M,-71.33M,-85.51M,-71.33M,-12.26M,-5.481M,-5.72M,,,-1.937M,,-7.657M,37.31M,189.65M,130.59M,59.06M,,-0.02,,,,0.0759,-0.02,,-0.02,,,,0.0759,-0.02,,468.98M,468.98M,0.37,,AOR,Restated
2017-06,423.67M,458.93M,153.16M,305.76M,21.29M,21.29M,,56.68M,-57.55M,,77.79M,,-77.79M,,152.04M,153.73M,,77.79M,-77.79M,-57.07M,-77.79M,18.87M,-2.987M,22.10M,,,-2.718M,,19.38M,53.67M,227.41M,130.75M,96.66M,,0.04,,,,0.1132,0.04,,0.04,,,,0.1131,0.04,,468.65M,468.84M,0.37,,AOR,Restated
2017-03,458.49M,492.17M,159.08M,333.09M,22.48M,22.48M,,,-1.057M,,86.72M,,-86.72M,,159.03M,174.06M,,86.72M,-86.72M,367.41M,-86.72M,454.75M,-6.162M,464.18M,,,-3.032M,,461.14M,271.42M,678.02M,136.55M,541.46M,,0.98,,,,0.5749,0.98,,0.97,,,,0.5707,0.97,,468.30M,475.17M,0.37,,AOR,Restated
2016-12,639.66M,539.94M,195.65M,344.30M,20.60M,20.60M,,0.00,-49.78M,,103.15M,,-103.15M,,167.53M,176.77M,,103.15M,-103.15M,-6.097M,-103.15M,67.52M,3.372M,79.54M,-18.24M,,-2.639M,,58.66M,81.35M,317.60M,146.93M,170.67M,,0.1639,-0.0390,,,0.1734,0.12,,0.1638,-0.0390,,,0.1733,0.12,,467.99M,468.22M,0.37,,AOR,Restated
2016-09,495.75M,530.56M,187.71M,342.84M,34.78M,34.78M,,0.00,-2.763M,,117.86M,,-117.86M,,176.19M,166.66M,,117.86M,-117.86M,-1.34M,-117.86M,47.46M,-0.424M,45.83M,108.21M,,-2.789M,,151.25M,44.70M,306.72M,141.41M,165.32M,,0.09,0.23,,,0.0936,0.32,,0.09,0.23,,,0.0936,0.32,,467.63M,467.84M,0.575,,AOR,Restated
2016-06,504.80M,538.34M,179.08M,359.26M,22.78M,22.78M,,0.00,-0.823M,,121.33M,,-121.33M,,162.70M,196.56M,,121.33M,-121.33M,121.13M,-121.33M,196.36M,-2.179M,197.47M,107.38M,,-3.125M,,301.72M,123.07M,457.61M,139.92M,317.69M,,0.42,0.23,,,0.2674,0.65,,0.42,0.22,,,0.2688,0.64,,467.08M,471.42M,0.575,,AOR,Restated
2016-03,489.08M,520.46M,175.96M,344.50M,25.45M,25.45M,,,-2.475M,,122.06M,,-122.06M,,165.31M,179.19M,,122.06M,-122.06M,-1.183M,-122.06M,55.95M,3.704M,51.34M,68.41M,,-3.626M,,116.12M,50.02M,317.87M,139.86M,178.01M,,0.10,0.15,,,0.1050,0.25,,0.10,0.15,,,0.1050,0.25,,466.07M,466.26M,0.575,,AOR,Restated
2015-12,34.92M,65.58M,168.79M,-103.21M,21.81M,21.81M,,-484.57M,480.61M,,122.03M,,-122.03M,,157.09M,-260.30M,,122.03M,-122.03M,483.70M,-122.03M,101.37M,-3.187M,104.47M,,,-4.251M,,-598.87M,-188.15M,359.66M,136.26M,223.40M,,0.22,,,,-0.4001,-1.29,,0.22,,,,-0.4001,-1.29,,465.06M,465.06M,0.565,,AOR,Restated
2015-09,624.42M,657.50M,173.52M,483.98M,20.53M,20.53M,,69.62M,-71.18M,,122.16M,,-122.16M,,155.24M,328.75M,,122.16M,-122.16M,-71.70M,-122.16M,134.89M,-1.98M,117.95M,,,-2.592M,,115.36M,158.04M,391.76M,134.36M,257.05M,,0.25,,,,0.3421,0.25,,0.25,,,,0.3421,0.25,,463.34M,463.59M,0.565,,AOR,Restated
2015-06,575.70M,607.53M,136.34M,471.19M,28.84M,28.84M,,44.84M,-63.24M,,118.63M,,-118.63M,,149.25M,321.94M,,118.63M,-118.63M,-52.13M,-118.63M,151.18M,-4.563M,167.75M,,,-2.863M,,164.88M,202.79M,390.22M,120.14M,269.82M,,0.36,,,,0.4421,0.36,,0.36,,,,0.4420,0.36,,461.87M,462.11M,0.565,,AOR,Restated
2015-03,580.44M,610.79M,132.03M,478.76M,24.77M,24.77M,,478.46M,-481.85M,,116.78M,,-116.78M,,139.30M,339.46M,,116.78M,-116.78M,-473.87M,-116.78M,-251.18M,-0.077M,-237.50M,,,-3.111M,,-240.61M,234.83M,-19.88M,114.14M,-134.40M,,-0.52,,,,0.5116,-0.52,,-0.52,,,,0.5116,-0.52,,460.88M,460.88M,0.565,,AOR,Restated
2014-12,-52.37M,-25.92M,127.12M,-153.04M,19.73M,19.73M,,,-3.766M,,114.99M,,-114.99M,,131.25M,-284.29M,,114.99M,-114.99M,3.024M,-114.99M,-396.25M,-3.346M,-435.90M,635.53M,,-3.047M,,196.58M,-435.21M,-169.75M,111.19M,-281.27M,,-0.96,1.39,,,-0.9519,0.43,,-0.96,1.38,,,-0.9519,0.42,,459.34M,459.76M,0.545,,AOR,Restated
2014-09,566.87M,596.64M,99.60M,497.04M,19.48M,19.48M,,,-5.475M,,111.28M,,-111.28M,,142.45M,354.58M,,111.28M,-111.28M,-2.364M,-111.28M,240.95M,0.055M,251.06M,,,-3.405M,,247.65M,253.13M,475.20M,122.70M,352.22M,,0.54,0.00,,,0.5519,0.54,,0.54,0.00,,,0.5519,0.54,,458.80M,459.14M,0.545,,AOR,Restated
2014-06,508.57M,536.12M,78.87M,457.25M,21.66M,21.66M,,,-7.406M,,106.84M,,-106.84M,,134.79M,322.46M,,106.84M,-106.84M,-6.697M,-106.84M,208.93M,1.339M,222.28M,,,-3.394M,,218.88M,226.24M,428.90M,112.96M,315.77M,,0.48,0.00,,,0.4961,0.48,,0.48,0.00,,,0.4960,0.48,,458.25M,458.59M,0.545,,AOR,Restated
2014-03,504.11M,529.99M,75.71M,454.28M,20.90M,20.90M,,,-0.495M,,106.64M,,-106.64M,,128.29M,326.00M,,106.64M,-106.64M,1.435M,-106.64M,220.80M,1.446M,233.88M,29.75M,,-4.512M,,259.11M,229.86M,434.82M,107.22M,327.43M,,0.50,0.06,,,0.5011,0.56,,0.50,0.06,,,0.5011,0.56,,457.29M,457.67M,0.545,,AOR,Restated
2013-12,504.47M,530.30M,76.29M,454.00M,13.00M,13.00M,,,,,109.60M,,-109.60M,,119.14M,334.87M,,109.60M,-109.60M,-5.007M,-109.60M,220.26M,2.262M,238.15M,59.49M,,-4.544M,,293.10M,233.61M,436.00M,105.91M,329.86M,,0.51,0.13,,,0.51,0.64,,0.51,0.13,,,0.51,0.64,,456.35M,456.64M,0.525,,AOR,Restated
2013-09,519.77M,546.16M,75.42M,470.74M,45.33M,45.33M,,,,,108.09M,,-108.09M,,150.11M,320.63M,,108.09M,-108.09M,1.632M,-108.09M,214.18M,1.034M,227.03M,9.825M,,-3.102M,,233.76M,223.93M,427.05M,104.44M,322.26M,,0.49,0.02,,,0.49,0.51,,0.49,0.02,,,0.49,0.51,,455.34M,456.08M,0.525,,AOR,Restated
2013-06,486.60M,512.24M,73.89M,438.35M,24.06M,24.06M,,,,,108.45M,,-108.45M,,133.27M,305.08M,,108.45M,-108.45M,3.288M,-108.45M,199.92M,1.604M,213.90M,2.828M,,-3.324M,,213.40M,210.57M,417.58M,103.22M,308.37M,,0.46,0.01,,,0.46,0.47,,0.46,0.01,,,0.46,0.47,,454.62M,455.43M,0.525,,AOR,Restated
2013-03,486.54M,511.19M,72.69M,438.50M,20.66M,20.66M,,,,,109.11M,,-109.11M,,123.84M,314.66M,,109.11M,-109.11M,12.11M,-109.11M,217.67M,0.916M,231.55M,2.232M,,-3.199M,,230.58M,228.35M,429.96M,103.10M,326.78M,,0.50,0.01,,,0.50,0.51,,0.50,0.01,,,0.50,0.51,,453.65M,454.61M,0.525,,AOR,Restated
2012-12,483.53M,508.97M,70.68M,438.29M,14.12M,14.12M,,0.00,-10.98M,,106.77M,,-106.77M,,113.36M,324.93M,,106.77M,-106.77M,-10.24M,-106.77M,207.92M,-0.509M,220.08M,26.18M,,-5.232M,0.00,241.03M,221.99M,413.94M,98.86M,314.70M,,0.47,0.07,,,0.4859,0.54,,0.47,0.06,,,0.4859,0.53,,448.04M,449.05M,0.50,,AOR,Restated
2012-09,444.18M,468.07M,72.65M,395.41M,19.42M,19.42M,,7.878M,-7.878M,,103.36M,,-103.36M,,106.58M,288.83M,,103.36M,-103.36M,-7.108M,-103.36M,178.36M,-0.602M,192.36M,6.68M,,-2.935M,,196.11M,194.55M,368.89M,83.87M,281.72M,,0.44,0.02,,,0.4519,0.46,,0.44,0.01,,,0.4519,0.45,,429.56M,430.78M,0.50,,AOR,Restated
2012-06,436.36M,460.42M,70.08M,390.34M,14.80M,14.80M,,,,,102.35M,,-102.35M,,99.67M,290.66M,,102.35M,-102.35M,1.028M,-102.35M,189.34M,0.171M,204.90M,0.075M,,-2.951M,,202.02M,201.95M,376.57M,84.16M,291.69M,,0.48,0.00,,,0.48,0.48,,0.48,0.00,,,0.48,0.48,,420.47M,421.67M,0.50,,AOR,Restated
2012-03,432.68M,455.83M,67.33M,388.49M,20.09M,20.09M,,,,,103.75M,,-103.75M,,105.37M,283.12M,,103.75M,-103.75M,0.436M,-103.75M,179.81M,-0.709M,194.19M,2.371M,,-3.184M,17.01M,193.38M,191.01M,368.84M,84.58M,283.56M,,0.42,0.01,,,0.42,0.43,,0.42,0.01,,,0.42,0.43,,410.02M,411.66M,0.50,,AOR,Restated
2011-12,345.33M,439.66M,67.60M,372.06M,,19.59M,,,-142.06M,,99.76M,,-99.76M,,99.90M,272.16M,,99.76M,-99.76M,-129.12M,-99.76M,43.28M,1.012M,56.22M,14.57M,,-2.943M,,67.84M,192.01M,223.35M,74.79M,143.04M,,0.11,0.03,,,0.4500,0.14,,0.11,0.03,,,0.4485,0.14,,408.01M,409.83M,0.48,,AOR,Restated
2011-09,441.23M,441.23M,57.66M,383.57M,,19.65M,,,-16.17M,,103.46M,,-103.46M,,106.32M,277.25M,,103.46M,-103.46M,-16.17M,-103.46M,157.62M,0.005M,174.66M,0.809M,,-3.276M,,172.20M,187.56M,348.45M,87.38M,261.08M,,0.41,0.00,,,0.4497,0.41,,0.41,0.00,,,0.4496,0.41,,407.08M,408.65M,0.48,,AOR,Restated
2011-06,488.12M,488.12M,46.62M,441.51M,,34.87M,,,7.518M,,105.13M,,-105.13M,,124.69M,316.82M,,105.13M,-105.13M,7.518M,-105.13M,219.21M,0.248M,233.92M,0.337M,,-5.493M,5.283M,228.76M,220.91M,414.16M,88.86M,324.34M,,0.55,0.00,,,0.5315,0.55,,0.55,0.00,,,0.5318,0.55,,406.19M,411.71M,0.48,,AOR,Restated
2011-03,331.13M,331.13M,46.84M,284.28M,,21.95M,,,10.31M,,108.58M,,-108.58M,,113.13M,171.15M,,108.58M,-108.58M,10.31M,-108.58M,72.88M,0.037M,73.64M,0.341M,,-3.891M,5.283M,70.09M,59.45M,272.64M,90.51M,181.46M,,0.17,0.00,,,0.1423,0.17,,0.17,0.00,,,0.1424,0.17,,372.12M,373.96M,0.48,,AOR,Restated
2010-12,232.78M,326.46M,58.23M,268.23M,,17.98M,,,-7.151M,,65.21M,,-65.21M,,90.97M,177.26M,,65.21M,-65.21M,9.043M,-65.21M,121.10M,-1.397M,123.18M,22.34M,,-3.609M,5.282M,141.92M,124.22M,259.29M,70.50M,186.31M,,0.36,0.08,,,0.3743,0.44,,0.36,0.07,,,0.3742,0.43,,324.57M,326.20M,0.465,,AOR,Restated
2010-09,317.05M,317.05M,60.43M,256.62M,,19.59M,,,6.657M,,71.60M,,-71.60M,,97.90M,158.72M,,71.60M,-71.60M,6.657M,-71.60M,93.78M,0.867M,21.43M,4.745M,,-3.518M,5.282M,22.66M,11.31M,243.69M,76.88M,165.38M,,0.04,0.01,,,0.0187,0.05,,0.04,0.01,,,0.0188,0.05,,309.45M,311.09M,0.465,,AOR,Restated
2010-06,301.88M,301.88M,45.42M,256.46M,,20.52M,,,0.181M,,72.74M,,-72.74M,,98.22M,158.24M,,72.74M,-72.74M,0.181M,-72.74M,85.67M,0.571M,87.59M,1.008M,,-3.494M,5.283M,85.10M,83.91M,236.12M,76.11M,158.42M,,0.27,0.00,,,0.2694,0.27,,0.27,0.00,,,0.2694,0.27,,294.88M,296.04M,0.465,,AOR,Restated
2010-03,294.82M,294.82M,46.09M,248.73M,,24.92M,,,12.21M,,75.95M,,-75.95M,,102.86M,145.88M,,75.95M,-75.95M,12.21M,-75.95M,82.14M,0.372M,83.15M,0.954M,,-3.065M,5.283M,81.04M,67.92M,236.02M,77.07M,158.09M,,0.25,0.01,,,0.2085,0.26,,0.25,0.00,,,0.2087,0.25,,293.22M,294.09M,0.465,,AOR,Restated
2009-12,294.17M,294.17M,45.94M,248.23M,,-85.12M,,,-174.70M,,72.82M,,-160.61M,,-29.61M,277.84M,,72.82M,-160.61M,-174.70M,-160.61M,30.32M,0.515M,31.33M,4.156M,,-3.45M,5.282M,32.03M,199.61M,179.56M,75.42M,103.14M,,0.07,0.02,,,0.6562,0.09,,0.07,0.02,,,0.6533,0.09,,292.95M,294.40M,0.46,,AOR,Restated
2009-09,287.07M,287.07M,46.16M,240.91M,,124.83M,,,5.983M,,74.04M,33.94M,-40.10M,15.12M,221.13M,19.78M,33.94M,74.04M,-40.10M,5.983M,-40.10M,-48.28M,-0.325M,-46.62M,3.403M,,-3.466M,5.282M,-46.69M,-56.03M,106.94M,80.68M,25.76M,,-0.20,0.02,,,-0.2209,-0.18,,-0.20,0.02,,,-0.2209,-0.18,,284.81M,284.81M,0.46,,AOR,Restated
2009-06,292.49M,292.49M,45.68M,246.80M,,20.23M,,,1.648M,,75.34M,,-75.34M,5.781M,105.31M,141.50M,,75.34M,-75.34M,1.648M,-75.34M,67.81M,0.84M,68.09M,33.08M,,-3.719M,5.283M,97.46M,62.75M,222.44M,71.31M,143.15M,,0.22,0.13,,,0.2139,0.35,,0.22,0.13,,,0.2139,0.35,,265.42M,265.54M,0.46,,AOR,Restated
2009-03,250.24M,277.01M,47.95M,229.06M,,18.53M,,,-2.438M,,76.67M,26.77M,-49.90M,,98.75M,130.30M,26.77M,76.67M,-49.90M,-2.438M,-49.90M,51.19M,0.888M,49.84M,2.868M,,-3.826M,5.283M,48.88M,48.41M,208.09M,77.94M,127.86M,,0.16,0.01,,,0.1695,0.17,,0.16,0.01,,,0.1695,0.17,,253.34M,253.42M,0.46,,AOR,Restated
2008-12,261.67M,392.54M,49.27M,343.26M,17.84M,17.84M,,,12.85M,,83.90M,2.525M,-81.38M,,98.67M,244.59M,2.525M,83.90M,-81.38M,12.85M,-81.38M,45.20M,-0.079M,44.87M,0.348M,,-4.926M,5.282M,40.29M,31.59M,209.93M,79.06M,129.10M,,0.14,0.00,,,0.1069,0.14,,0.14,0.00,,,0.1069,0.14,,252.61M,252.78M,0.455,,AOR,Restated
2008-09,267.85M,267.85M,49.10M,218.75M,17.08M,17.08M,,,-3.71M,,82.81M,62.28M,-20.53M,,94.37M,124.38M,62.28M,82.81M,-20.53M,-3.71M,-20.53M,100.14M,0.853M,100.51M,31.04M,,-6.659M,5.282M,124.90M,97.53M,260.24M,75.72M,182.95M,,0.36,0.13,,,0.3750,0.49,,0.36,0.13,,,0.3750,0.49,,244.57M,245.48M,0.455,,AOR,Restated
2008-06,248.78M,248.78M,46.45M,202.32M,,18.73M,,,-1.574M,,85.45M,30.74M,-54.71M,,96.59M,105.73M,30.74M,85.45M,-54.71M,-1.574M,-54.71M,49.45M,1.274M,49.40M,188.68M,,-6.907M,5.283M,231.17M,44.02M,212.76M,77.81M,134.90M,,0.16,0.80,,,0.1665,0.96,,0.16,0.80,,,0.1665,0.96,,235.12M,236.10M,0.455,,AOR,Restated
2008-03,244.79M,244.79M,48.22M,196.57M,,20.44M,,,0.00,,96.26M,35.32M,-60.94M,,98.08M,98.50M,35.32M,96.26M,-60.94M,,-60.94M,37.55M,2.241M,36.60M,19.53M,,-6.266M,5.283M,49.86M,30.34M,214.02M,80.21M,133.82M,,0.12,0.09,,,0.12,0.21,,0.12,0.09,,,0.12,0.21,,216.77M,217.39M,0.455,,AOR,Restated
2007-12,341.27M,249.32M,47.80M,201.52M,,14.51M,,,0.00,,101.04M,20.86M,-80.19M,,89.32M,112.20M,20.86M,101.04M,-80.19M,0.00,-80.19M,32.01M,2.32M,26.04M,24.26M,,-5.544M,5.282M,50.30M,26.04M,209.48M,76.43M,133.06M,,0.09,0.09,,,0.09,0.18,,0.09,0.09,,,0.09,0.18,,215.73M,217.00M,0.445,,AOR,Restated
2007-09,207.19M,243.58M,49.91M,193.66M,,16.50M,,,0.00,,103.71M,21.54M,-82.17M,,86.92M,106.75M,21.54M,103.71M,-82.17M,,-82.17M,24.58M,-0.318M,20.12M,302.03M,,-6.018M,5.282M,322.15M,20.12M,200.98M,72.69M,128.29M,,0.07,1.47,,,0.07,1.54,,0.07,1.46,,,0.07,1.53,,206.19M,207.07M,0.445,,AOR,Restated
2007-06,179.96M,206.85M,37.21M,169.63M,,17.29M,,,10.14M,,72.97M,18.72M,-54.25M,,73.96M,95.68M,18.72M,72.97M,-54.25M,10.14M,-54.25M,51.57M,-0.395M,46.53M,24.76M,,-6.739M,5.283M,71.28M,39.93M,186.45M,61.90M,124.54M,,0.20,0.12,,,0.1680,0.32,,0.20,0.12,,,0.1682,0.32,,205.76M,207.02M,0.445,,AOR,Restated
2007-03,184.17M,213.64M,42.22M,171.43M,,20.11M,,,,,157.49M,14.47M,-143.02M,,78.43M,93.00M,14.47M,157.49M,-143.02M,,-143.02M,24.70M,0.467M,24.23M,121.06M,,-5.235M,5.283M,145.29M,24.23M,246.28M,64.10M,182.18M,,0.09,0.60,,,0.09,0.69,,0.09,0.59,,,0.09,0.68,,204.00M,205.91M,0.445,,AOR,Restated
2006-12,178.48M,186.06M,32.27M,153.79M,22.06M,22.06M,,,,,,,,-157.84M,78.52M,75.27M,,,,,,,,-2.395M,243.67M,,-3.347M,5.282M,241.27M,-2.395M,143.33M,68.07M,75.27M,,-0.09,1.58,,,-0.09,1.49,,-0.09,1.58,,,-0.09,1.49,,183.74M,183.74M,0.425,,AOR,Restated
2006-09,119.82M,119.82M,19.90M,99.91M,8.261M,8.261M,,,,,,,,,36.04M,63.87M,,,,,,,,24.68M,52.14M,,-3.511M,5.282M,76.82M,24.68M,96.66M,32.79M,63.87M,,0.14,0.38,,,0.14,0.52,,0.14,0.38,,,0.14,0.52,,136.68M,137.58M,0.425,,AOR,Restated
2006-06,116.23M,116.23M,19.14M,97.09M,8.396M,8.396M,,,0.00,,,,,,35.37M,61.72M,,,,0.00,,,,26.78M,14.79M,,-4.17M,5.283M,41.57M,26.78M,98.61M,36.89M,61.72M,,0.16,0.11,,,0.16,0.27,,0.16,0.10,,,0.16,0.26,,136.48M,137.19M,0.425,,AOR,Restated
2006-03,124.71M,120.88M,17.44M,103.44M,8.49M,8.49M,,,,-53.33M,,,,53.33M,35.88M,67.56M,,,,,,,,35.55M,22.34M,,-3.777M,5.283M,57.89M,35.55M,98.41M,30.86M,67.56M,,0.22,0.17,,,0.22,0.39,,0.22,0.16,,,0.22,0.38,,136.04M,136.86M,0.425,,AOR,Restated
2005-12,29.17M,29.17M,16.65M,12.52M,8.421M,8.421M,,,,,,,,,18.50M,-5.98M,,,,,,,,-16.91M,58.42M,,-3.357M,5.282M,41.51M,-16.91M,26.06M,32.04M,-5.98M,,-0.17,0.44,,,-0.17,0.27,,-0.17,0.43,,,-0.17,0.26,,135.54M,136.37M,0.42,,AOR,Restated
2005-09,119.22M,119.22M,13.37M,105.85M,7.301M,7.301M,,,,-47.36M,,,,47.36M,33.99M,71.86M,,,,,,,,40.18M,4.858M,,-3.415M,5.282M,45.04M,40.18M,99.59M,27.73M,71.86M,,0.26,0.03,,,0.26,0.29,,0.26,0.03,,,0.26,0.29,,135.22M,136.14M,0.42,,AOR,Restated
