,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-09,-786.00M,,,,-12.00M,155.00M,9.00M,164.00M,164.00M,-17.00M,,,1.289B,-138.00M,42.00M,665.00M,-139.00M,18.00M,-38.00M,410.00M,-30.00M,1.066B,,-246.00M,38.00M,620.00M,,54.00M,-236.00M,-24.00M,-414.00M,,,,-221.00M,0.00,0.00,,0.00,,-111.00M,-228.00M,,189.00M,424.00M,,674.00M,,,,,0.00,,AOR,Restated
2007-06,396.00M,,,,22.00M,182.00M,12.00M,194.00M,194.00M,3.00M,,,,-351.00M,-102.00M,274.00M,-166.00M,30.00M,-60.00M,-375.00M,0.00,240.00M,,-141.00M,28.00M,-113.00M,,-17.00M,0.00,-64.00M,-194.00M,,,,-3.00M,-3.00M,-3.00M,,-65.00M,,42.00M,-29.00M,,33.00M,17.00M,,189.00M,,,,,-3.00M,,,
2007-03,228.00M,,,,26.00M,176.00M,12.00M,188.00M,188.00M,-54.00M,,,-15.00M,-277.00M,-43.00M,400.00M,44.00M,-42.00M,-30.00M,52.00M,30.00M,455.00M,,-211.00M,9.00M,-202.00M,,35.00M,2.00M,0.00,-165.00M,,,,-270.00M,-23.00M,-23.00M,,-126.00M,,49.00M,-370.00M,,252.00M,-80.00M,,33.00M,,,,,-23.00M,,,
2006-12,162.00M,,,,-4.00M,174.00M,12.00M,186.00M,186.00M,5.00M,,,15.00M,149.00M,-47.00M,-274.00M,-1.00M,-6.00M,-33.00M,-212.00M,,152.00M,,-230.00M,8.00M,-222.00M,,,1.00M,-57.00M,-278.00M,,,,61.00M,,,,-4.00M,,28.00M,85.00M,,293.00M,-41.00M,,252.00M,,,,,,,,
2006-09,-668.00M,,,,-76.00M,167.00M,14.00M,181.00M,181.00M,-61.00M,,,1.088B,170.00M,83.00M,-161.00M,-74.00M,-156.00M,-32.00M,-170.00M,,355.00M,,-273.00M,77.00M,515.00M,,-32.00M,129.00M,0.00,-99.00M,,,,-282.00M,,,,-55.00M,,-143.00M,-383.00M,,380.00M,-127.00M,,293.00M,,,,,,,AOR,Restated
2006-06,338.00M,,,,18.00M,168.00M,10.00M,178.00M,178.00M,-263.00M,,,51.00M,93.00M,-119.00M,288.00M,16.00M,-61.00M,138.00M,355.00M,,677.00M,,-176.00M,0.00,-176.00M,,-11.00M,-20.00M,0.00,-207.00M,,,,-221.00M,,,,-54.00M,,31.00M,-244.00M,,154.00M,226.00M,,380.00M,,,,,,,,
2006-03,165.00M,,,,19.00M,169.00M,12.00M,181.00M,181.00M,-83.00M,,,,30.00M,-53.00M,-9.00M,30.00M,111.00M,-20.00M,89.00M,,371.00M,,-193.00M,7.00M,-186.00M,,-22.00M,-21.00M,0.00,-229.00M,,,,-114.00M,,,,-105.00M,,63.00M,-156.00M,,168.00M,-14.00M,,154.00M,,,,,,,,
2005-12,165.00M,,,,24.00M,157.00M,8.00M,165.00M,165.00M,3.00M,,,,-49.00M,12.00M,-381.00M,-4.00M,106.00M,-27.00M,-343.00M,,14.00M,,-69.00M,6.00M,-63.00M,,-2.564B,20.00M,66.00M,-2.541B,,,,2.466B,,,,-4.00M,,62.00M,2.524B,,171.00M,-3.00M,,168.00M,,,,,,,,
2005-09,-626.00M,,,,-186.00M,161.00M,6.00M,167.00M,167.00M,-12.00M,,,976.00M,-402.00M,0.00,289.00M,-13.00M,15.00M,-33.00M,-144.00M,,175.00M,,-277.00M,28.00M,415.00M,,457.00M,14.00M,0.00,-465.00M,,,,109.00M,,,,-48.00M,,-80.00M,47.00M,,385.00M,-243.00M,,171.00M,,,,,,,AOR,Restated
2005-06,255.00M,,,,22.00M,145.00M,6.00M,151.00M,151.00M,84.00M,,,0.00,-120.00M,-62.00M,7.00M,-11.00M,50.00M,-29.00M,-165.00M,,347.00M,,-104.00M,3.00M,-101.00M,,-73.00M,-29.00M,-677.00M,-193.00M,,,,4.00M,,,,-48.00M,,30.00M,-14.00M,,245.00M,140.00M,,385.00M,,,,,,,,
2005-03,214.80M,,,,-150.40M,157.20M,6.10M,163.30M,163.30M,-96.60M,,,46.00M,-443.10M,4.90M,358.90M,-31.50M,-74.70M,164.00M,-21.50M,34.40M,190.00M,,-142.90M,3.80M,-139.10M,,0.10M,20.70M,678.70M,560.40M,,,,-522.60M,,,,-92.40M,,1.90M,-613.10M,,107.90M,137.30M,,245.00M,,,,,,,,
2004-12,156.20M,,,,-6.60M,151.80M,5.90M,157.70M,157.70M,-0.40M,,,,194.10M,-6.90M,-245.90M,-58.50M,9.70M,,-107.50M,-34.40M,165.00M,,-140.10M,4.20M,-135.90M,,-33.10M,-7.70M,-63.70M,-240.40M,,,,75.60M,,,,-3.60M,,12.10M,84.10M,,99.20M,8.70M,,107.90M,,,,,,,,
2004-09,222.30M,,,,-89.60M,115.30M,2.50M,117.80M,117.80M,63.30M,,,,-123.70M,22.80M,35.40M,1.20M,-63.00M,41.80M,-85.50M,,254.30M,,-161.00M,31.60M,654.10M,,-383.00M,-3.10M,41.20M,-474.30M,,,,221.00M,,,,-42.80M,,-5.10M,173.10M,,120.80M,25.00M,,99.20M,,,,,,,AOR,Restated
2004-06,241.50M,,,,61.90M,153.80M,6.90M,160.70M,160.70M,-15.50M,,,,-58.90M,-38.90M,219.10M,28.50M,17.10M,-65.70M,101.20M,-26.10M,523.70M,,-214.20M,0.80M,-213.40M,,0.00,-20.50M,-52.50M,-286.40M,,,,-309.60M,,,,-42.60M,,9.30M,-342.90M,,226.40M,-105.60M,,120.80M,,,,,,,,
2004-03,143.80M,,,,-89.10M,141.10M,4.50M,145.60M,145.60M,45.50M,,,,-302.40M,2.40M,309.90M,-26.40M,-11.50M,65.70M,37.70M,-5.30M,278.20M,,-210.70M,9.60M,-201.10M,,0.00,-7.20M,5.40M,-196.90M,,,,-126.30M,,,,-79.90M,,23.30M,-157.50M,,469.10M,-76.20M,,226.40M,,,,,,,,
2003-12,159.20M,,,,13.80M,140.10M,4.90M,145.00M,145.00M,7.20M,,,,176.70M,10.70M,-384.70M,30.30M,57.40M,,-109.60M,31.40M,247.00M,,-197.60M,8.90M,-188.70M,,-36.60M,5.20M,-49.10M,-275.20M,,,,218.70M,,,,-5.40M,,6.80M,194.70M,,302.60M,166.50M,,469.10M,,,,,,,,
2003-09,-462.60M,,,,-28.10M,139.30M,5.30M,144.60M,144.60M,103.90M,,,,-158.50M,46.50M,3.90M,-11.00M,51.50M,,-67.60M,,419.40M,,-252.90M,45.10M,456.60M,,-116.60M,-18.70M,-15.60M,-358.70M,,,,-156.80M,,,,-34.20M,,3.40M,-187.60M,,253.70M,-126.90M,,136.10M,,,,,,,AOR,Restated
2003-06,190.00M,,,,-178.70M,138.60M,4.60M,143.20M,143.20M,13.10M,,,,-48.80M,-35.60M,67.40M,-7.70M,10.50M,,-14.20M,,153.40M,,-170.80M,-3.40M,-174.20M,,-37.40M,20.10M,-38.80M,-230.30M,,,,97.60M,,,,-34.10M,,-11.00M,52.50M,,278.10M,-24.40M,,253.70M,,,,,,,,
2003-03,132.20M,,,,-47.50M,130.90M,5.80M,136.70M,136.70M,2.10M,,,,-73.70M,-8.40M,176.90M,-27.80M,-49.60M,,17.40M,,240.90M,,-134.10M,4.50M,-129.60M,,-11.80M,0.50M,,-140.90M,,,,-140.60M,,,,-62.80M,,29.90M,-173.50M,,351.60M,-73.50M,,278.10M,,,,,,,,
2002-12,140.40M,,,,-9.90M,129.00M,4.50M,133.50M,133.50M,3.60M,,,,249.80M,-10.10M,-448.80M,-32.30M,-24.70M,,-266.10M,,1.50M,,-106.60M,6.00M,-100.60M,,-218.90M,36.30M,,-283.20M,,,,386.80M,,,,-5.20M,,-10.30M,371.30M,,262.00M,89.60M,,351.60M,,,,,,,,
2002-09,-410.00M,,,,-39.30M,133.90M,4.40M,138.30M,138.30M,-41.10M,,,,-74.20M,-4.70M,141.20M,10.70M,16.90M,,89.90M,,412.20M,,-163.10M,15.90M,349.00M,,-1.40M,44.50M,,-98.90M,,,,-182.00M,,,,-31.30M,,-36.80M,-250.10M,,206.80M,63.20M,,262.00M,,,,,,,AOR,Restated
2002-06,175.30M,,,,15.00M,124.20M,3.30M,127.50M,127.50M,8.60M,,,,-119.60M,0.10M,125.60M,-11.50M,2.50M,,-2.90M,,323.50M,,-105.60M,11.70M,-93.90M,,-62.50M,-27.00M,,-183.40M,,,,-107.90M,,,,-31.30M,,-10.20M,-149.40M,,216.10M,-9.30M,,206.80M,,,,,,,,
2002-03,114.80M,,,,0.20M,121.40M,5.00M,126.40M,126.40M,14.80M,,,,-152.20M,3.00M,97.80M,-7.50M,18.60M,,-40.30M,,215.90M,,-133.50M,18.50M,-115.00M,,11.20M,-8.20M,,-112.00M,,,,-134.00M,,,,-31.40M,,16.60M,-148.80M,,261.00M,-44.90M,,216.10M,,,,,,,,
2001-12,119.90M,,,,7.00M,119.90M,4.70M,124.60M,124.60M,10.30M,,,,73.40M,12.10M,-258.90M,32.90M,-13.80M,,-154.30M,,107.50M,,-94.00M,8.00M,-86.00M,,-592.00M,-9.30M,,-687.30M,,,,508.80M,,,,-31.30M,,-11.30M,466.20M,,374.60M,-113.60M,,261.00M,,,,,,,,
2001-09,-322.00M,,,,12.60M,114.50M,20.60M,135.10M,135.10M,38.80M,,,,-181.20M,-27.50M,1.50M,41.60M,-27.30M,,-192.90M,,162.60M,,-160.90M,114.10M,574.70M,,-23.80M,-18.70M,,-89.30M,,,,57.60M,,,,-29.50M,,-9.20M,18.90M,,298.80M,92.20M,,374.60M,,,,,,,,Restated
2001-06,136.50M,,,,-1.40M,107.40M,20.50M,127.90M,127.90M,7.60M,,,,19.40M,27.00M,105.60M,-11.40M,19.80M,,160.40M,,431.00M,,-179.50M,13.50M,-166.00M,,-144.00M,1.90M,,-308.10M,,,,-70.30M,,,,-29.90M,,3.40M,-96.80M,,352.30M,26.10M,,298.80M,,,,,,,,
2001-03,83.00M,,,,-11.60M,109.70M,20.80M,130.50M,130.50M,16.90M,,,,-194.40M,11.20M,197.90M,30.90M,-55.50M,,-9.90M,,208.90M,,-142.50M,8.10M,-134.40M,,-3.00M,-11.40M,,-148.80M,,,,-106.80M,,,,-29.00M,,-6.80M,-142.60M,,355.20M,-82.50M,,352.30M,,,,,,,,
2000-12,102.50M,,,,-6.50M,102.10M,20.30M,122.40M,122.40M,3.30M,,,,57.60M,-9.80M,-232.60M,76.10M,57.50M,,-51.20M,,170.50M,,-138.60M,5.30M,-133.30M,,-60.30M,-20.60M,,-214.20M,,,,119.20M,,,,-29.20M,,33.30M,123.30M,,275.60M,79.60M,,355.20M,,,,,,,,
2000-09,151.20M,,,,-15.60M,,,114.60M,114.60M,70.60M,,,,-5.40M,-44.80M,-83.40M,-23.80M,-76.90M,,-234.30M,,86.50M,,-164.20M,30.70M,-133.50M,,-69.90M,12.80M,,-230.60M,,,,237.10M,,,,-26.50M,,-8.90M,201.70M,,234.10M,57.60M,,275.60M,,,,,,,,
2000-06,133.40M,,,,12.80M,,,113.20M,113.20M,-12.80M,,,,93.70M,-7.80M,38.00M,-58.90M,9.10M,,74.10M,,320.70M,,-116.50M,77.40M,-39.10M,,0.00,-9.70M,,-48.80M,,,,-255.70M,,,,-26.60M,,0.30M,-282.00M,,244.20M,-10.10M,,234.10M,,,,,,,,
2000-03,88.80M,,,,-14.10M,,,116.50M,116.50M,0.40M,,,,-126.50M,25.60M,188.40M,11.40M,-79.30M,,19.60M,,211.20M,,-138.30M,5.40M,-132.90M,,-11.00M,-0.60M,,-144.50M,,,,-114.20M,,,,-26.60M,,2.40M,-138.40M,,315.90M,-71.70M,,244.20M,,,,,,,,
1999-12,99.00M,,,,-7.60M,,,117.50M,117.50M,-1.90M,,,,-161.70M,-12.30M,30.90M,2.00M,61.60M,,-79.50M,,127.50M,,-127.70M,4.00M,-123.70M,,,-2.50M,,-126.20M,,,,51.10M,,,,-26.50M,,13.80M,38.40M,,276.20M,39.70M,,315.90M,,,,,,,,
1999-09,130.50M,,,,17.00M,,,113.80M,113.80M,-97.80M,,,,-59.80M,-45.00M,-20.70M,-19.40M,136.80M,,-8.10M,,155.40M,,-184.40M,72.60M,-111.80M,,-21.90M,17.80M,-23.70M,-139.60M,,,,45.40M,,,,-23.80M,,-6.90M,14.70M,,248.60M,30.50M,,276.20M,,,,,,,,
1999-06,111.10M,,,,10.10M,,,102.40M,102.40M,-12.00M,,,,-110.10M,-9.10M,143.80M,-26.50M,29.30M,,27.40M,,239.00M,,-89.10M,33.80M,-55.30M,,-44.50M,50.10M,,-49.70M,,,,-183.80M,,,,-23.90M,,-1.80M,-209.50M,,268.80M,-20.20M,,248.60M,,,,,,,,
1999-03,98.30M,,,,-62.20M,,,114.20M,114.20M,-1.50M,,,,136.60M,-2.40M,93.40M,-8.20M,-63.60M,,155.80M,,304.60M,,-35.30M,293.10M,257.80M,,-94.70M,32.00M,-15.00M,180.10M,,,,-532.60M,,,,-24.20M,,11.70M,-545.10M,,329.20M,-60.40M,,268.80M,,,,,,,,
1998-12,79.70M,,,,25.40M,,,115.20M,115.20M,0.60M,,,,-182.80M,-36.90M,220.30M,40.40M,51.00M,,92.00M,,312.90M,,-205.20M,20.00M,-185.20M,,,-99.90M,15.00M,-270.10M,,,,172.30M,,,,-23.90M,,4.00M,152.40M,,134.00M,195.20M,,329.20M,,,,,,,,
1998-09,136.00M,,,,-52.50M,,,105.20M,105.20M,-40.10M,,,,-83.00M,-21.80M,28.00M,7.60M,60.50M,,-8.70M,,139.90M,,-165.00M,224.70M,59.70M,,-539.30M,,-26.60M,-506.20M,,,,391.70M,,,,-22.20M,,-2.50M,367.00M,,139.10M,0.70M,,134.00M,,,,,,,,
1998-06,83.90M,,,,5.30M,,,93.60M,93.60M,-4.60M,,,,4.80M,2.00M,21.90M,-8.40M,22.00M,,42.30M,,220.50M,,-106.50M,9.90M,-96.60M,,-6.70M,,7.80M,-95.50M,,,,-125.10M,,,,-22.30M,,-0.20M,-147.60M,,0.00,-22.60M,,139.10M,,,,,,,,
1998-03,52.50M,,,,-12.70M,,,92.50M,92.50M,3.60M,,,,-2.10M,-1.60M,117.20M,-35.90M,-59.70M,,17.90M,,153.80M,,-110.80M,3.20M,-107.60M,,,,-21.10M,-128.70M,,,,-95.00M,,,,-22.20M,,5.70M,-111.50M,,248.10M,-86.40M,,0.00,,,,,,,,
1997-12,65.30M,,,,-6.20M,,,92.90M,92.90M,-0.20M,,,,-149.50M,-13.40M,80.10M,-40.50M,30.40M,,-92.90M,,58.90M,,-86.00M,0.40M,-85.60M,,,,-1.50M,-87.10M,,,,184.90M,,,,-22.10M,,1.70M,164.50M,,111.80M,136.30M,,248.10M,,,,,,,,
1997-09,92.90M,,,,46.50M,,,91.50M,91.50M,12.90M,,,,-26.50M,-22.70M,-7.70M,37.00M,-53.00M,,-72.90M,0.00,170.90M,,-131.40M,9.50M,-121.90M,,-2.60M,,-11.40M,-135.90M,,,,-108.30M,,,,-20.50M,,12.40M,-116.40M,,200.50M,-81.40M,,111.80M,,,,,,,,
1997-06,74.40M,,,,-28.60M,,,85.10M,85.10M,-37.90M,,,,47.70M,17.10M,170.30M,-31.50M,-3.20M,,200.40M,0.00,293.40M,,-93.70M,2.80M,-90.90M,,-31.50M,,2.90M,-119.50M,,,,-91.90M,,,,-21.00M,,-37.10M,-150.00M,,176.60M,23.90M,,200.50M,,,,,,,,
1997-03,68.10M,,,,-9.60M,,,91.50M,91.50M,-20.80M,,,-0.10M,22.70M,-11.50M,84.70M,-32.90M,-20.20M,,42.80M,-2.40M,169.50M,,-82.80M,652.10M,569.30M,,-81.30M,,-20.00M,468.00M,,,,-600.10M,,,,-21.00M,,20.80M,-600.30M,,139.40M,37.20M,,176.60M,,,,,,,,
1996-12,53.10M,,,,2.80M,,,86.80M,86.80M,0.40M,,,0.10M,-114.70M,-24.60M,-66.20M,11.90M,31.50M,,-162.10M,-6.00M,-24.90M,,-63.00M,0.80M,-62.20M,,-1.149B,,-14.90M,-1.226B,,,,1.239B,,,,-20.90M,,7.00M,1.225B,,165.20M,-25.80M,,139.40M,,,,,,,,
1996-09,82.00M,,,,-24.70M,,,9.20M,9.20M,45.10M,,,,29.10M,13.90M,-39.60M,21.80M,-70.90M,,-45.70M,,131.00M,,-61.40M,-3.60M,-65.00M,,-29.10M,,-28.10M,-122.20M,,,,0.90M,,,,-19.90M,,34.10M,15.10M,,164.30M,23.90M,,165.20M,,,,,,,,
1996-06,69.30M,,,,2.70M,,,81.00M,81.00M,-6.80M,,,,-102.20M,-7.50M,134.70M,-16.10M,27.50M,,36.40M,,182.60M,,-77.90M,3.90M,-74.00M,,-0.20M,,-11.00M,-85.20M,,,,-33.20M,,,,-20.20M,,-4.80M,-58.20M,,125.10M,39.20M,,164.30M,,,,,,,,
1996-03,36.40M,,,,5.10M,,,94.30M,94.30M,0.80M,,,,-52.10M,-26.30M,113.30M,-29.80M,-31.90M,,-26.80M,,109.80M,,-103.60M,2.40M,-101.20M,,13.60M,,-5.70M,-93.30M,,,,16.30M,,,,-19.90M,,-0.50M,-4.10M,,112.70M,12.40M,,125.10M,,,,,,,,
1995-12,47.00M,,,,0.10M,,,78.00M,78.00M,-4.80M,,,,-77.20M,-23.20M,-47.80M,14.80M,57.30M,,-76.10M,,44.20M,,-79.40M,9.60M,-69.80M,,-132.60M,,-4.20M,-206.60M,,,,188.80M,,,,-20.00M,,2.50M,171.30M,,103.80M,8.90M,,112.70M,,,,,,,,
1995-09,67.00M,,,,11.70M,,,63.90M,63.90M,6.60M,,,,6.80M,0.80M,69.40M,-53.90M,-32.10M,,-9.00M,,140.20M,,-111.70M,5.30M,-106.40M,,0.00,,8.60M,-97.80M,,,,-31.20M,,,,-18.80M,,-0.70M,-50.70M,,111.60M,-8.30M,,103.80M,,,,,,,,
1995-06,55.30M,,,,-11.50M,,,81.70M,81.70M,-0.30M,,,,-59.70M,17.20M,46.20M,0.80M,20.40M,,24.90M,,150.10M,,-108.70M,1.30M,-107.40M,,-7.00M,,-1.50M,-115.90M,,,,-39.70M,,,,-19.20M,,7.10M,-51.80M,,129.20M,-17.60M,,111.60M,,,,,,,,
1995-03,32.30M,,,,11.80M,,,69.50M,69.50M,-6.60M,,,,-132.60M,-25.80M,106.80M,-12.20M,-39.40M,,-103.20M,,3.80M,,-122.80M,7.60M,-115.20M,,-23.60M,,7.30M,-131.50M,,,,124.60M,,,,-19.20M,,0.50M,105.90M,,151.00M,-21.80M,,129.20M,,,,,,,,
1994-12,41.20M,,,,-13.60M,,,73.40M,73.40M,-1.40M,,,,-30.90M,-32.20M,-41.40M,24.70M,56.30M,,-23.50M,,76.10M,,-107.50M,3.10M,-104.40M,,,,-2.40M,-106.80M,,,,65.40M,,,,-19.10M,,2.80M,49.10M,,132.60M,18.40M,,151.00M,,,,,,,,
1994-09,56.00M,,,,16.40M,,,66.20M,66.20M,8.50M,,,,-5.00M,4.20M,48.10M,-9.30M,-27.30M,,10.70M,,157.80M,,-3.60M,16.40M,12.80M,,,-9.00M,-167.90M,-164.10M,,,,61.50M,,,,-17.70M,,-1.00M,42.80M,,0.00,36.50M,,0.00,,,,,,,,
1994-06,45.60M,,,,-14.90M,,,63.00M,63.00M,-13.00M,,,,-33.10M,-3.50M,95.90M,-15.80M,25.30M,,68.80M,,149.50M,,-199.00M,3.90M,-195.10M,,,-0.60M,5.10M,-190.60M,,,,88.10M,,,,-17.90M,,0.70M,70.90M,,0.00,29.80M,,0.00,,,,,,,,
1994-03,25.50M,,,,-7.40M,,,68.70M,68.70M,-0.40M,,,,-55.60M,6.10M,84.40M,4.90M,-27.10M,,12.70M,,99.10M,,-77.80M,1.90M,-75.90M,,,0.60M,-1.20M,-76.50M,,,,-42.20M,,,,-17.90M,,1.80M,-58.30M,,0.00,-35.70M,,0.00,,,,,,,,
1993-12,38.10M,,,,4.30M,,,60.40M,60.40M,-4.50M,,,,-9.60M,-14.80M,-41.70M,0.60M,8.00M,,-57.50M,,40.80M,,-67.10M,6.10M,-61.00M,,,-1.20M,-3.70M,-65.90M,,,,51.40M,,,,-17.90M,,2.90M,36.40M,,87.70M,11.30M,,0.00,,,,,,,,
1993-09,39.80M,,,,-94.70M,,,28.30M,28.30M,-8.10M,,,,-64.70M,12.20M,75.40M,-64.70M,139.10M,,97.30M,,62.60M,,-57.10M,7.50M,-49.60M,,,1.70M,-52.10M,-100.00M,,,,32.40M,,,,-17.20M,,-20.50M,-5.30M,,0.00,-42.70M,,0.00,,,,,,,,
1993-06,42.20M,,,,6.00M,,,61.10M,61.10M,-6.90M,,,,-15.40M,-2.30M,90.00M,1.50M,21.70M,,95.50M,,197.90M,,-112.80M,0.30M,-112.50M,,,,44.20M,-68.30M,,,,-102.60M,,,,-17.00M,,9.60M,-110.00M,,0.00,19.60M,,0.00,,,,,,,,
1993-03,21.30M,,,,-4.60M,,,71.10M,71.10M,-3.90M,,,,52.70M,11.80M,18.60M,1.70M,-28.80M,,56.00M,,139.90M,,-70.50M,4.10M,-66.40M,,,3.90M,-44.90M,-107.40M,,,,29.70M,,,,-16.90M,,12.10M,24.90M,,0.00,57.40M,,0.00,,,,,,,,
1992-12,34.60M,,,,9.00M,,,51.60M,51.60M,-5.00M,,,,-27.90M,-2.30M,,18.30M,13.00M,,1.10M,,91.30M,,-57.90M,4.40M,-53.50M,,,-3.90M,-2.40M,-59.80M,,,,-54.10M,,,,-17.00M,,8.20M,-62.90M,,96.20M,-31.40M,,0.00,,,,,,,,
1992-09,41.70M,,,,15.10M,,,53.80M,53.80M,3.50M,,,,26.40M,0.40M,,-5.20M,39.10M,,60.70M,,174.80M,,-111.00M,11.80M,-99.20M,,,8.90M,6.80M,-83.50M,,,,-13.10M,,,,-16.20M,,16.80M,-12.50M,,0.00,78.80M,,0.00,,,,,,,,
1992-06,36.40M,,,,7.10M,,,46.90M,46.90M,-3.50M,,,,-54.60M,4.30M,,24.20M,53.60M,,27.50M,,114.40M,,-62.40M,2.50M,-59.90M,,,-2.30M,-1.70M,-63.90M,,,,-32.20M,,,,-16.10M,,-0.10M,-48.40M,,0.00,2.10M,,0.00,,,,,,,,
1992-03,16.50M,,,,-0.40M,,,43.40M,43.40M,-3.10M,,,,24.80M,-5.80M,,11.20M,-54.20M,,-24.00M,,32.40M,,-48.90M,0.90M,-48.00M,,,,-0.80M,-48.80M,,,,9.40M,,,,-16.10M,,-2.30M,-9.00M,,0.00,-25.40M,,0.00,,,,,,,,
1991-12,28.40M,,,,9.40M,,,44.70M,44.70M,-3.40M,,,,-21.20M,8.20M,,-15.60M,38.80M,,10.20M,,89.30M,,-41.60M,0.90M,-40.70M,,,,37.30M,-3.40M,,,,-120.30M,,,,-15.90M,,-9.30M,-145.50M,,91.70M,-59.60M,,0.00,,,,,,,,
1991-09,31.30M,,,,9.10M,,,43.20M,43.20M,-5.80M,,,,-16.10M,-5.70M,,-51.60M,102.70M,,29.30M,,107.10M,,-53.00M,8.60M,-44.40M,,,,-11.10M,-55.50M,,,,7.40M,,,,-16.70M,,4.80M,-4.50M,,0.00,47.10M,,0.00,,,,,,,,
1991-06,29.30M,,,,5.80M,,,41.90M,41.90M,-2.80M,,,,-54.50M,27.50M,,-10.10M,37.10M,,0.00,,74.20M,,-32.80M,2.30M,-30.50M,,,,-6.40M,-36.90M,,,,-33.00M,,,,-14.50M,,6.00M,-41.50M,,0.00,-4.20M,,0.00,,,,,,,,
1991-03,10.00M,,,,8.00M,,,44.00M,44.00M,-2.00M,,,,37.10M,15.90M,,-12.10M,-53.50M,,-12.60M,,47.40M,,-29.10M,1.80M,-27.30M,,,,1.80M,-25.50M,,,,-31.90M,,,,-15.60M,,-0.40M,-47.90M,,0.00,-26.00M,,0.00,,,,,,,,
1990-12,24.50M,,,,10.30M,,,39.90M,39.90M,1.50M,,,,19.40M,-5.00M,,10.70M,-25.40M,,-0.30M,,75.90M,,-41.00M,0.50M,-40.50M,,,,-1.00M,-41.50M,,,,2.70M,,,,-15.60M,,-1.00M,-13.90M,,54.30M,20.50M,,0.00,,,,,,,,
1990-09,29.00M,,,,16.90M,,,40.40M,40.40M,5.10M,,,,-13.00M,-21.70M,99.20M,-34.70M,-37.70M,,-7.90M,,83.50M,,-58.40M,7.50M,-50.90M,,,,-25.50M,-76.40M,,,,27.20M,,,,-15.60M,,1.90M,13.50M,,0.00,20.60M,,0.00,,,,,,,,
1990-06,27.00M,,,,16.20M,,,34.10M,34.10M,2.30M,,,,-44.00M,-5.70M,-3.30M,10.90M,53.00M,,10.90M,,90.50M,,-50.30M,-0.10M,-50.40M,,,,4.30M,-46.10M,,,,-52.10M,,,,-18.80M,,-3.80M,-74.70M,,0.00,-30.30M,,0.00,,,,,,,,
1990-03,8.10M,,,,5.10M,,,39.40M,39.40M,1.50M,,,,50.10M,4.40M,6.60M,22.40M,-25.10M,,58.40M,,112.50M,,-66.90M,3.10M,-63.80M,,,,-3.10M,-66.90M,,,,6.70M,,,,-11.40M,,3.70M,-1.00M,,0.00,44.60M,,0.00,,,,,,,,
1989-12,28.30M,,,,3.70M,,,38.00M,38.00M,2.80M,,,,-47.90M,-6.10M,-3.30M,3.60M,22.30M,,-31.40M,,41.40M,,-59.90M,3.60M,-56.30M,,,,-58.90M,-115.20M,,,,80.50M,,,,-15.10M,,0.80M,66.20M,,27.00M,-7.60M,,0.00,,,,,,,,
