,NetIncome,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2015-06,,,,,,211.00M,-88.00M,-7.00M,175.00M,,,80.00M,,291.00M,-38.00M,1.00M,1.00M,-16.00M,-4.00M,-14.00M,-71.00M,200.00M,-500.00M,-300.00M,0.00,-104.00M,-104.00M,-30.00M,-30.00M,,-87.00M,-521.00M,1.578B,-301.00M,20.00M,1.297B,0.00,200.00M,-500.00M,-104.00M
2015-03,,,,,,144.00M,-244.00M,-56.00M,4.00M,,,-296.00M,,-152.00M,-32.00M,3.00M,3.00M,-26.00M,81.00M,-15.00M,11.00M,,497.00M,497.00M,0.00,-103.00M,-103.00M,-32.00M,-32.00M,,,362.00M,1.383B,221.00M,-26.00M,1.578B,0.00,497.00M,,-103.00M
2014-12,,,,,,-548.00M,176.00M,34.00M,-66.00M,,,144.00M,,296.00M,-46.00M,4.00M,4.00M,0.00,5.00M,-3.00M,-40.00M,0.00,0.00,0.00,0.00,-119.00M,-119.00M,-31.00M,-31.00M,,13.00M,-137.00M,1.282B,119.00M,-18.00M,1.383B,0.00,4.00M,-4.00M,-119.00M
2014-09,,,,,,198.00M,61.00M,20.00M,-34.00M,,,47.00M,,245.00M,-28.00M,4.00M,4.00M,0.00,-66.00M,-10.00M,-100.00M,-2.00M,-1.00M,-3.00M,0.00,0.00,0.00,-32.00M,-32.00M,,0.00,-35.00M,1.195B,110.00M,-23.00M,1.282B,0.00,-1.00M,-2.00M,0.00
2014-06,,,,,,224.00M,-91.00M,-54.00M,226.00M,,,81.00M,,305.00M,-28.00M,3.00M,3.00M,0.00,87.00M,-16.00M,46.00M,0.00,1.00M,1.00M,1.00M,0.00,1.00M,-27.00M,-27.00M,,-34.00M,-59.00M,906.00M,292.00M,-3.00M,1.195B,1.00M,1.00M,0.00,0.00
2014-03,,,,,,121.00M,-227.00M,-75.00M,-63.00M,,,-365.00M,,-244.00M,-26.00M,5.00M,5.00M,-2.00M,17.00M,,-6.00M,,0.00,0.00,,-39.00M,-39.00M,-27.00M,-27.00M,,,-66.00M,1.223B,-316.00M,-1.00M,906.00M,,0.00,,-39.00M
2013-12,,,,,,-475.00M,217.00M,16.00M,-56.00M,,,177.00M,,295.00M,-38.00M,3.00M,3.00M,15.00M,-36.00M,0.00,-56.00M,0.00,0.00,0.00,0.00,0.00,0.00,-26.00M,-26.00M,,0.00,-26.00M,1.011B,213.00M,-1.00M,1.223B,0.00,3.00M,-3.00M,0.00
2013-09,,,,,,190.00M,46.00M,29.00M,26.00M,,,101.00M,,291.00M,-29.00M,17.00M,17.00M,0.00,-71.00M,0.00,-83.00M,-2.00M,-200.00M,-202.00M,0.00,0.00,0.00,-27.00M,-27.00M,,0.00,-229.00M,1.028B,-21.00M,4.00M,1.011B,0.00,,-202.00M,0.00
2013-06,,,,,,169.00M,-85.00M,-26.00M,211.00M,,,100.00M,,269.00M,-28.00M,2.00M,2.00M,0.00,19.00M,-1.00M,-8.00M,0.00,,0.00,0.00,0.00,0.00,-28.00M,-28.00M,,-34.00M,-62.00M,828.00M,199.00M,1.00M,1.028B,0.00,0.00,,0.00
2013-03,,,,,,130.00M,-263.00M,-43.00M,-34.00M,,,-340.00M,,-210.00M,-31.00M,5.00M,5.00M,-5.00M,105.00M,-4.00M,70.00M,,,,,-35.00M,-35.00M,-26.00M,-26.00M,,-4.00M,-65.00M,1.04B,-205.00M,-7.00M,828.00M,,,,-35.00M
2012-12,,,,,,-219.00M,195.00M,42.00M,-100.00M,,,137.00M,,191.00M,-39.00M,42.00M,42.00M,8.00M,-20.00M,-3.00M,-12.00M,-1.00M,0.00,-1.00M,,0.00,0.00,-27.00M,-27.00M,,0.00,-28.00M,889.00M,151.00M,0.00,1.04B,,4.00M,-5.00M,0.00
2012-09,,,,,,82.00M,58.00M,23.00M,-69.00M,,,12.00M,,94.00M,-28.00M,1.00M,1.00M,1.00M,30.00M,-6.00M,-2.00M,1.00M,-745.00M,-744.00M,,0.00,0.00,-27.00M,-27.00M,,0.00,-771.00M,1.853B,-679.00M,18.00M,889.00M,,0.00,-744.00M,0.00
2012-06,,,,,,19.00M,-31.00M,-31.00M,206.00M,,,144.00M,,163.00M,-28.00M,16.00M,16.00M,0.00,6.00M,-7.00M,-13.00M,0.00,0.00,0.00,,0.00,0.00,-27.00M,-27.00M,,-40.00M,-67.00M,1.788B,83.00M,-18.00M,1.853B,,0.00,0.00,0.00
2012-03,,,,,,90.00M,-272.00M,-50.00M,65.00M,,,-257.00M,,-167.00M,-24.00M,8.00M,8.00M,0.00,22.00M,-8.00M,-2.00M,-1.00M,350.00M,349.00M,,-8.00M,-8.00M,-26.00M,-26.00M,,-25.00M,290.00M,1.656B,121.00M,11.00M,1.788B,,396.00M,-47.00M,-8.00M
2011-12,,,,,,-157.00M,185.00M,64.00M,-136.00M,,,113.00M,,144.00M,-45.00M,5.00M,5.00M,-10.00M,-14.00M,-11.00M,-75.00M,-2.00M,0.00,-2.00M,,0.00,0.00,-27.00M,-27.00M,,0.00,-29.00M,1.61B,40.00M,-7.00M,1.353B,,4.00M,-6.00M,0.00
2011-09,,,,,,87.00M,48.00M,33.00M,-42.00M,,,39.00M,,126.00M,-39.00M,9.00M,9.00M,0.00,27.00M,-10.00M,-13.00M,-1.00M,-58.00M,-59.00M,,0.00,0.00,-26.00M,-26.00M,,0.00,-85.00M,1.611B,28.00M,-29.00M,1.61B,,0.00,-59.00M,0.00
2011-06,,,,,,82.00M,-73.00M,-58.00M,178.00M,,,47.00M,,129.00M,-38.00M,8.00M,8.00M,,45.00M,3.00M,18.00M,-2.00M,0.00,-2.00M,,0.00,0.00,-54.00M,-27.00M,,-18.00M,-47.00M,1.505B,100.00M,6.00M,1.611B,,0.00,-2.00M,0.00
2011-03,,,,,,41.00M,-220.00M,-93.00M,112.00M,,,-201.00M,,-160.00M,-29.00M,2.00M,2.00M,,13.00M,,-14.00M,0.00,0.00,0.00,,-30.00M,-30.00M,,-27.00M,,-1.00M,-58.00M,1.715B,-232.00M,22.00M,1.505B,,0.00,0.00,-30.00M
2010-12,,,,,,-304.00M,216.00M,66.00M,-70.00M,,,212.00M,,229.00M,-49.00M,2.00M,2.00M,,31.00M,-6.00M,-22.00M,-1.00M,0.00,-1.00M,,0.00,0.00,-108.00M,-12.00M,,-11.00M,-24.00M,1.537B,183.00M,-5.00M,1.715B,,2.00M,-3.00M,0.00
2010-09,,,,,,121.00M,68.00M,58.00M,-78.00M,,,48.00M,,169.00M,-26.00M,10.00M,10.00M,,9.00M,-13.00M,-20.00M,-1.00M,0.00,-1.00M,,0.00,0.00,,-27.00M,,0.00,-28.00M,1.384B,121.00M,32.00M,1.537B,,0.00,-1.00M,0.00
2010-06,,,,,,120.00M,-24.00M,-50.00M,141.00M,,,67.00M,,187.00M,-36.00M,3.00M,3.00M,,1.00M,-7.00M,-39.00M,-1.00M,-59.00M,-60.00M,,0.00,0.00,27.00M,-42.00M,,-9.00M,-111.00M,1.378B,37.00M,-31.00M,1.384B,,0.00,-60.00M,0.00
2010-03,,,,,,92.00M,-180.00M,-72.00M,40.00M,,,-212.00M,,-120.00M,-26.00M,3.00M,3.00M,,1.00M,-6.00M,-28.00M,1.00M,194.00M,195.00M,,-45.00M,-45.00M,-27.00M,-27.00M,,,123.00M,1.413B,-25.00M,-10.00M,1.378B,,496.00M,-301.00M,-45.00M
2009-12,,,,,,-326.00M,207.00M,49.00M,-45.00M,,,211.00M,,290.00M,-55.00M,3.00M,3.00M,5.00M,5.00M,-2.00M,-44.00M,-3.00M,,-3.00M,,0.00,0.00,,-27.00M,,,-23.00M,1.199B,223.00M,-9.00M,1.413B,,-1.00M,-2.00M,0.00
2009-09,,,,,,167.00M,38.00M,81.00M,19.00M,,,138.00M,,305.00M,-20.00M,11.00M,11.00M,3.00M,1.00M,-8.00M,-13.00M,-5.00M,0.00,-5.00M,,0.00,0.00,128.00M,-27.00M,,,-32.00M,926.00M,260.00M,13.00M,1.199B,,2.00M,-7.00M,0.00
2009-06,,,,,,164.00M,-69.00M,38.00M,25.00M,,,-6.00M,,158.00M,-23.00M,9.00M,9.00M,0.00,-1.00M,-8.00M,-23.00M,-1.00M,,-1.00M,,0.00,0.00,-128.00M,-43.00M,,,-44.00M,813.00M,91.00M,22.00M,926.00M,,1.00M,-2.00M,0.00
2009-03,,,,,,53.00M,-156.00M,30.00M,25.00M,,,-101.00M,,-48.00M,-27.00M,,0.00,-8.00M,6.00M,-9.00M,-38.00M,-2.00M,,-2.00M,,-11.00M,-11.00M,,-85.00M,,,-98.00M,1.028B,-184.00M,-31.00M,813.00M,,1.00M,-3.00M,-11.00M
2008-12,,,,,,-435.00M,398.00M,109.00M,-335.00M,,,172.00M,,280.00M,-58.00M,-4.00M,-4.00M,-2.00M,6.00M,-12.00M,-70.00M,-11.00M,,-11.00M,,0.00,0.00,,-84.00M,,,-176.00M,1.03B,34.00M,-36.00M,1.028B,,0.00,-11.00M,0.00
2008-09,,,,,,143.00M,89.00M,73.00M,33.00M,,,195.00M,,338.00M,-50.00M,-7.00M,-7.00M,26.00M,22.00M,-8.00M,-17.00M,-9.00M,,-9.00M,,-13.00M,-13.00M,,-83.00M,,,-105.00M,853.00M,216.00M,-39.00M,1.03B,,0.00,-9.00M,-13.00M
2008-06,,,,,,195.00M,-19.00M,-14.00M,125.00M,,,92.00M,,287.00M,-49.00M,10.00M,10.00M,126.00M,17.00M,-10.00M,94.00M,-8.00M,,-8.00M,,-47.00M,-47.00M,,-106.00M,,,-161.00M,630.00M,220.00M,-5.00M,853.00M,,-5.00M,-3.00M,-47.00M
2008-03,,,,,,190.00M,-174.00M,-64.00M,-60.00M,,,-298.00M,,-108.00M,-43.00M,2.00M,2.00M,8.00M,13.00M,-1.00M,-21.00M,-5.00M,,-5.00M,,-100.00M,-100.00M,,-84.00M,,,-189.00M,922.00M,-318.00M,34.00M,630.00M,,5.00M,-10.00M,-100.00M
2007-12,-151.00M,-336.00M,,,,,380.00M,90.00M,-152.00M,,,318.00M,,455.00M,-74.00M,4.00M,178.00M,21.00M,-8.00M,-34.00M,-91.00M,,,1.405B,0.00,-53.00M,-53.00M,,-85.00M,,,-152.00M,690.00M,212.00M,16.00M,922.00M,0.00,,,-53.00M
2007-09,-1.00M,313.00M,,,,,120.00M,76.00M,-74.00M,,,122.00M,,434.00M,-58.00M,13.00M,-45.00M,7.00M,79.00M,-18.00M,23.00M,,,-338.00M,2.00M,-164.00M,-162.00M,,-87.00M,,,-587.00M,804.00M,-130.00M,19.00M,690.00M,2.00M,,,-164.00M
2007-06,395.00M,-59.00M,,,,,-80.00M,10.00M,27.00M,,,-43.00M,,293.00M,-61.00M,19.00M,-42.00M,-183.00M,39.00M,-34.00M,-220.00M,,,15.00M,46.00M,-366.00M,-320.00M,,-88.00M,,,-393.00M,1.115B,-320.00M,10.00M,804.00M,46.00M,,,-366.00M
2007-03,143.00M,59.00M,,,,,-177.00M,-19.00M,82.00M,,,-114.00M,,88.00M,-55.00M,9.00M,-46.00M,-3.00M,-2.00M,5.00M,-46.00M,,,-538.00M,12.00M,-274.00M,-262.00M,,-87.00M,,,-887.00M,1.958B,-845.00M,2.00M,1.115B,12.00M,,,-274.00M
2006-12,-187.00M,-333.00M,,,,,297.00M,52.00M,-131.00M,,,218.00M,,435.00M,-106.00M,12.00M,-94.00M,2.00M,119.00M,-81.00M,-54.00M,,,957.00M,3.00M,-65.00M,-62.00M,,-87.00M,,,826.00M,744.00M,1.207B,7.00M,1.958B,3.00M,,,-65.00M
2006-09,252.00M,93.00M,,,,,115.00M,0.00,-56.00M,,,59.00M,,404.00M,-71.00M,4.00M,-67.00M,135.00M,-33.00M,49.00M,84.00M,,,-1.00M,4.00M,-175.00M,-171.00M,,-88.00M,,,-260.00M,606.00M,228.00M,4.00M,744.00M,4.00M,,,-175.00M
2006-06,219.00M,170.00M,,,,,-50.00M,-53.00M,52.00M,,,-51.00M,,338.00M,-100.00M,,-100.00M,-5.00M,69.00M,-13.00M,-49.00M,,,-5.00M,14.00M,-290.00M,-276.00M,,-90.00M,,,-371.00M,682.00M,-82.00M,6.00M,606.00M,14.00M,,,-290.00M
2006-03,204.00M,110.00M,,,,,-256.00M,-125.00M,98.00M,,,-283.00M,,31.00M,-111.00M,,-111.00M,,10.00M,-12.00M,-113.00M,,,-800.00M,7.00M,-324.00M,-317.00M,,-84.00M,,,-1.201B,1.964B,-1.283B,1.00M,682.00M,7.00M,,,-324.00M
2005-12,173.00M,-365.00M,,,,,222.00M,19.00M,81.00M,,,322.00M,,631.00M,-91.00M,-66.00M,-157.00M,277.00M,-74.00M,-36.00M,10.00M,,,-24.00M,3.00M,-216.00M,-213.00M,,-85.00M,,,-322.00M,1.56B,319.00M,-9.00M,1.87B,3.00M,,,-216.00M
2005-09,108.00M,289.00M,,,,,-28.00M,50.00M,-95.00M,,,-73.00M,,324.00M,-65.00M,103.00M,38.00M,-19.00M,71.00M,-116.00M,-26.00M,,,-28.00M,6.00M,-163.00M,-157.00M,,-87.00M,,,-272.00M,1.538B,26.00M,-4.00M,1.56B,6.00M,,,-163.00M
2005-06,428.00M,-63.00M,,,,,-125.00M,-54.00M,114.00M,,,-65.00M,,300.00M,-68.00M,,-68.00M,-68.00M,42.00M,119.00M,25.00M,,,486.00M,14.00M,-142.00M,-128.00M,,-87.00M,,,271.00M,940.00M,596.00M,2.00M,1.538B,14.00M,,,-142.00M
2005-03,231.00M,63.00M,,,,,-163.00M,-72.00M,60.00M,,,-175.00M,,119.00M,-58.00M,,-58.00M,63.00M,60.00M,18.00M,83.00M,,,-27.00M,10.00M,-465.00M,-455.00M,,-80.00M,,,-562.00M,1.294B,-360.00M,6.00M,940.00M,10.00M,,,-465.00M
2004-12,105.00M,-367.00M,,,,301.00M,219.00M,25.00M,-92.00M,,,152.00M,,519.00M,-122.00M,-141.00M,-263.00M,170.00M,123.00M,-68.00M,-38.00M,,,-3.00M,23.00M,-126.00M,-103.00M,,-80.00M,,0.00,-186.00M,969.00M,295.00M,30.00M,1.256B,23.00M,,,-126.00M
2004-09,253.00M,347.00M,,,,-218.00M,15.00M,11.00M,43.00M,,,69.00M,,451.00M,-64.00M,178.00M,114.00M,-1.00M,127.00M,-2.00M,238.00M,,,-143.00M,13.00M,-98.00M,-85.00M,,-73.00M,,0.00,-301.00M,527.00M,388.00M,9.00M,969.00M,13.00M,,,-98.00M
2004-06,289.00M,-32.00M,,,,180.00M,-112.00M,-101.00M,130.00M,,,-83.00M,32.00M,386.00M,-69.00M,,-69.00M,-13.00M,127.00M,1.00M,46.00M,,,-151.00M,12.00M,-297.00M,-285.00M,,-73.00M,,0.00,-509.00M,624.00M,-77.00M,-7.00M,527.00M,12.00M,,,-297.00M
2004-03,246.00M,32.00M,,,,,-236.00M,-73.00M,161.00M,,,-148.00M,-32.00M,98.00M,-55.00M,,-55.00M,,-47.00M,17.00M,-85.00M,,,284.00M,10.00M,-422.00M,-412.00M,,-76.00M,,55.00M,-149.00M,763.00M,-136.00M,-3.00M,624.00M,10.00M,,,-422.00M
2003-12,92.00M,54.00M,,,,,184.00M,38.00M,-294.00M,,,-72.00M,,497.00M,-73.00M,2.00M,-71.00M,-31.00M,-2.00M,-98.00M,-202.00M,,,-169.00M,37.00M,-224.00M,-187.00M,,-77.00M,,1.00M,-432.00M,908.00M,-137.00M,25.00M,795.00M,37.00M,,,-224.00M
2003-09,319.00M,-19.00M,,,,-1.00M,-129.00M,77.00M,198.00M,,,146.00M,,445.00M,-59.00M,282.00M,223.00M,-9.00M,-83.00M,97.00M,228.00M,,,-329.00M,-7.00M,-144.00M,-151.00M,,-69.00M,,-1.00M,-550.00M,785.00M,123.00M,-2.00M,908.00M,-7.00M,,,-144.00M
2003-06,229.20M,64.47M,,,,1.00M,-67.48M,-16.99M,168.06M,,,83.59M,,378.26M,-61.02M,,-61.02M,-147.35M,169.06M,-48.80M,-88.11M,,,-16.53M,7.00M,-197.77M,-190.77M,,-69.05M,,,-276.35M,748.45M,13.80M,23.32M,785.00M,7.00M,,,-197.77M
2003-03,165.80M,56.53M,,,,,-113.52M,-59.01M,50.94M,,,-121.59M,,100.74M,-77.98M,,-77.98M,-51.65M,45.94M,17.80M,-65.89M,,,-26.47M,,-261.23M,-261.23M,,-70.95M,,,-358.65M,1.067B,-323.80M,5.68M,748.45M,,,,-261.23M
2002-12,195.10M,-143.04M,,,,,253.69M,18.20M,-145.78M,,,126.11M,,534.17M,-109.55M,5.57M,-103.98M,-75.21M,-14.10M,-6.68M,-199.97M,,,269.09M,-0.34M,-106.20M,-106.54M,,-71.50M,,,92.05M,600.09M,426.25M,40.65M,1.067B,-0.34M,,,-106.20M
2002-09,30.40M,273.89M,,,,,-99.31M,35.44M,61.66M,,,-2.21M,,302.08M,-58.19M,15.43M,-42.76M,-458.23M,-183.96M,-30.80M,-715.75M,,,497.21M,0.00,-62.80M,-62.80M,,-67.75M,,,366.66M,628.75M,-47.01M,18.35M,600.09M,0.00,,,-62.80M
2002-06,214.30M,84.96M,,,,,-72.60M,-48.55M,74.38M,,,-46.77M,,252.49M,-60.59M,-15.43M,-76.02M,-192.28M,-61.22M,22.39M,-307.13M,,,-81.05M,598.34M,-7.62M,590.72M,,-64.44M,,,445.23M,238.16M,390.59M,,628.75M,598.34M,,,-7.62M
2002-03,150.20M,75.19M,,,,,-180.78M,5.91M,85.74M,,,-89.13M,,136.26M,-56.67M,15.43M,-41.24M,-10.28M,-16.72M,-4.91M,-73.15M,,,-51.25M,,-21.38M,-21.38M,,-64.31M,,,-136.94M,311.99M,-73.83M,,238.16M,,,,-21.38M
2001-12,127.50M,-596.54M,-70.00M,199.49M,199.49M,,77.99M,73.72M,39.67M,,,191.38M,,413.58M,-73.84M,42.46M,-31.38M,-15.41M,,126.70M,77.77M,,,-245.69M,,-15.71M,-15.71M,,-64.27M,,,-325.67M,146.31M,165.68M,,311.99M,,,,-15.71M
2001-09,-183.00M,489.18M,23.90M,23.90M,23.90M,,-36.28M,52.99M,-6.65M,,,10.06M,,340.14M,-67.78M,189.63M,121.85M,-340.00M,,-44.24M,-262.39M,,,64.26M,,-42.21M,-42.21M,,-59.98M,,,-37.93M,106.49M,39.82M,,146.31M,,,,-42.21M
2001-06,139.00M,76.59M,23.10M,23.10M,23.10M,,-31.83M,-33.57M,71.33M,,,5.93M,,244.62M,-67.55M,,-67.55M,-156.03M,,-52.37M,-275.95M,,,117.43M,,-9.27M,-9.27M,,-59.77M,,,48.39M,89.43M,17.06M,,106.49M,,,,-9.27M
