,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.983B,1.983B,1.231B,752.00M,328.00M,,,0.00,40.00M,,-40.00M,,328.00M,424.00M,,40.00M,-40.00M,-4.00M,-40.00M,380.00M,87.00M,293.00M,0.00,,-18.00M,275.00M,271.92M,420.00M,,420.00M,1.05,0.0,,,1.038,1.05,1.05,0.0,,,1.038,1.05,261.00M,261.00M,0.135
2020-06,1.764B,1.764B,1.136B,628.00M,289.00M,,,0.00,35.00M,,-35.00M,,289.00M,339.00M,,35.00M,-35.00M,-2.00M,-35.00M,302.00M,82.00M,220.00M,14.00M,,-10.00M,224.00M,204.89M,337.00M,,337.00M,0.8,0.05,,,0.7805,0.85,0.8,0.05,,,0.7806,0.85,262.00M,263.00M,0.135
2020-03,1.581B,1.581B,1.034B,547.00M,322.00M,,,0.00,35.00M,,-35.00M,,322.00M,225.00M,,35.00M,-35.00M,-16.00M,-35.00M,174.00M,33.00M,141.00M,397.00M,,-8.00M,530.00M,139.48M,209.00M,,209.00M,0.49,1.44,,,0.5137,1.93,0.48,1.44,,,0.5036,1.92,273.00M,274.00M,0.135
2019-12,1.639B,1.639B,1.074B,565.00M,310.00M,,,0.00,40.00M,,-40.00M,,310.00M,255.00M,,40.00M,-40.00M,2.00M,-40.00M,217.00M,49.00M,168.00M,295.00M,,-10.00M,453.00M,153.35M,257.00M,,257.00M,0.5733,1.07,,,0.5568,1.6440000000000001,0.56,1.03,,,0.5435,1.59,281.00M,282.00M,0.135
2019-09,1.716B,1.716B,1.105B,611.00M,322.00M,,,0.00,39.00M,,-39.00M,,322.00M,289.00M,,39.00M,-39.00M,-9.00M,-39.00M,241.00M,66.00M,175.00M,-37.00M,,-12.00M,126.00M,165.92M,280.00M,,280.00M,0.57,-0.13,,,0.5802,0.44,0.56,-0.13,,,0.5702,0.44,286.00M,287.00M,0.12
2019-06,1.839B,1.839B,1.166B,673.00M,326.00M,,,0.00,41.00M,,-41.00M,,326.00M,347.00M,,41.00M,-41.00M,-3.00M,-41.00M,303.00M,80.00M,223.00M,29.00M,,-12.00M,240.00M,209.52M,344.00M,,344.00M,0.73,0.1,,,0.7249,0.82,0.72,0.1,,,0.7149,0.82,289.00M,290.00M,0.12
2019-03,1.513B,1.513B,991.00M,522.00M,316.00M,,,-9.00M,39.00M,,-39.00M,,316.00M,206.00M,,39.00M,-39.00M,-14.00M,-39.00M,153.00M,35.00M,118.00M,9.00M,,-11.00M,116.00M,113.16M,192.00M,,192.00M,0.36,0.03,,,0.381,0.39,0.36,0.03,,,0.381,0.39,293.00M,294.00M,0.12
2018-12,911.00M,911.00M,495.00M,416.00M,209.00M,,,0.00,39.00M,,-39.00M,,209.00M,207.00M,,39.00M,-39.00M,-2.00M,-39.00M,166.00M,33.00M,133.00M,75.00M,,-14.00M,194.00M,119.00M,205.00M,,205.00M,0.6601,0.25,,,0.6601,0.6601,0.64,0.25,,,0.64,0.64,299.00M,301.00M,0.12
2018-09,1.904B,1.904B,1.281B,623.00M,337.00M,,,0.00,38.00M,,-38.00M,,337.00M,286.00M,,38.00M,-38.00M,2.00M,-38.00M,248.00M,67.00M,181.00M,10.00M,,-11.00M,180.00M,168.54M,286.00M,,286.00M,0.56,0.03,,,0.5552,0.59,0.55,0.03,,,0.5452,0.58,304.00M,306.00M,0.105
2018-06,2.297B,2.297B,1.547B,750.00M,392.00M,,,0.00,38.00M,,-38.00M,,392.00M,358.00M,,38.00M,-38.00M,-8.00M,-38.00M,312.00M,88.00M,224.00M,,,-13.00M,211.00M,214.60M,350.00M,,350.00M,0.69,,,,0.7018,0.69,0.68,,,,0.6916,0.68,306.00M,309.00M,0.105
