,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2014-10,1.482B,1.482B,945.30M,536.50M,252.40M,25.20M,-2.80M,16.20M,,-16.20M,1.30M,278.90M,257.60M,,16.20M,-16.20M,-2.50M,-16.20M,238.90M,80.60M,158.30M,,,158.30M,160.16M,255.10M,,2014-10,1.55,,1.55,,2014-10,1.55,,1.55,,2014-10,0.64,,2014-10,AOR,Restated
2014-07,1.324B,1.324B,845.10M,478.70M,253.40M,24.90M,-8.60M,17.40M,,-17.40M,0.20M,278.50M,200.20M,,17.40M,-17.40M,-7.30M,-17.40M,175.50M,59.50M,116.00M,,,116.00M,121.68M,192.90M,,2014-07,1.14,,1.14,,2014-07,1.14,,1.14,,2014-07,0.58,,2014-07,AOR,Restated
2014-04,1.234B,1.234B,794.00M,440.30M,218.00M,24.80M,-5.80M,16.70M,,-16.70M,0.30M,243.10M,197.20M,,16.70M,-16.70M,3.20M,-16.70M,183.70M,65.20M,118.50M,,,118.50M,122.24M,200.40M,,2014-04,1.16,,1.16,,2014-04,1.16,,1.16,,2014-04,0.58,,2014-04,AOR,Restated
2014-01,1.466B,1.466B,920.30M,545.20M,250.30M,24.90M,-7.10M,18.40M,,-18.40M,-0.60M,274.60M,270.60M,,18.40M,-18.40M,-5.70M,-18.40M,246.50M,79.80M,166.70M,,,166.70M,171.50M,264.90M,,2014-01,1.59,,1.59,,2014-01,1.59,,1.59,,2014-01,0.58,,2014-01,AOR,Restated
2013-10,1.560B,1.560B,1.007B,552.60M,270.30M,24.70M,-6.90M,20.50M,,-20.50M,-0.10M,294.90M,257.70M,,20.50M,-20.50M,-7.20M,-20.50M,230.00M,76.60M,153.40M,,,153.40M,158.00M,250.50M,,2013-10,1.46,,1.46,,2013-10,1.46,,1.46,,2013-10,0.58,,2013-10,AOR,Restated
2013-07,1.351B,1.351B,858.00M,492.90M,250.20M,24.50M,-5.80M,23.80M,,-23.80M,-0.90M,273.80M,219.10M,,23.80M,-23.80M,-5.80M,-23.80M,189.50M,62.90M,126.60M,,,126.60M,130.47M,213.30M,,2013-07,1.19,,1.19,,2013-07,1.19,,1.19,,2013-07,0.52,,2013-07,AOR,Restated
2013-04,1.340B,1.340B,860.00M,479.70M,233.50M,24.20M,-7.30M,22.10M,,-22.10M,0.70M,258.40M,221.30M,,22.10M,-22.10M,-7.40M,-22.10M,191.80M,61.50M,130.30M,,,130.30M,135.26M,213.90M,,2013-04,1.22,,1.22,,2013-04,1.22,,1.22,,2013-04,0.52,,2013-04,AOR,Restated
2013-01,1.560B,1.560B,1.023B,536.20M,251.00M,24.20M,-6.80M,23.80M,,-23.80M,-4.10M,271.10M,265.10M,,23.80M,-23.80M,-7.30M,-23.80M,234.00M,79.80M,154.20M,,,154.20M,158.68M,257.80M,,2013-01,1.42,,1.42,,2013-01,1.42,,1.42,,2013-01,0.52,,2013-01,AOR,Restated
2012-10,1.629B,1.629B,1.087B,541.90M,257.20M,24.20M,-11.50M,23.90M,,-23.90M,1.40M,282.80M,259.10M,,23.90M,-23.90M,-11.00M,-23.90M,224.20M,75.40M,148.80M,,,148.80M,156.43M,248.10M,,2012-10,1.36,,1.36,,2012-10,1.36,,1.36,,2012-10,0.52,,2012-10,AOR,Restated
2012-07,1.370B,1.370B,899.90M,469.80M,232.20M,24.20M,-23.90M,23.60M,,-23.60M,-1.00M,255.40M,214.40M,,23.60M,-23.60M,-23.50M,-23.60M,167.30M,56.40M,110.90M,,,110.90M,126.75M,190.90M,,2012-07,1.00,,1.00,,2012-07,1.00,,1.00,,2012-07,0.48,,2012-07,AOR,Restated
2012-04,1.355B,1.355B,905.61M,449.76M,214.53M,25.28M,-25.88M,21.33M,,-22.42M,-1.542M,238.26M,211.50M,,21.33M,-22.42M,-25.14M,-22.42M,163.94M,59.85M,104.09M,,,104.09M,120.52M,185.27M,,2012-04,0.93,,0.93,,2012-04,0.93,,0.93,,2012-04,0.48,,2012-04,AOR,Restated
2012-01,1.468B,1.468B,1.002B,465.68M,225.02M,22.03M,-19.42M,23.60M,0.464M,-23.14M,-1.15M,245.90M,219.79M,0.464M,23.60M,-23.14M,-19.42M,-23.14M,177.24M,60.39M,116.84M,,,116.84M,129.64M,200.83M,,2012-01,1.03,,1.03,,2012-01,1.03,,1.03,,2012-01,0.48,,2012-01,AOR,Restated
2011-10,1.514B,1.514B,1.015B,498.67M,236.60M,20.56M,-28.51M,19.45M,0.324M,-19.12M,1.38M,258.54M,240.13M,0.324M,19.45M,-19.12M,-27.80M,-19.12M,193.20M,65.95M,127.25M,,,127.25M,146.03M,212.65M,,2011-10,1.12,,1.12,,2011-10,1.12,,1.12,,2011-10,0.48,,2011-10,AOR,Restated
2011-07,1.189B,1.189B,757.80M,431.08M,216.55M,20.24M,-14.58M,15.42M,0.302M,-15.12M,-0.988M,235.80M,195.28M,0.302M,15.42M,-15.12M,-13.34M,-15.12M,166.83M,55.30M,111.52M,,,111.52M,121.27M,182.25M,,2011-07,0.98,,0.98,,2011-07,0.98,,0.98,,2011-07,0.44,,2011-07,AOR,Restated
2011-04,1.187B,1.187B,766.14M,420.98M,222.69M,18.29M,-16.51M,13.92M,,-15.71M,-2.641M,238.34M,182.64M,,13.92M,-15.71M,-16.99M,-15.71M,149.94M,55.04M,94.90M,,,94.90M,105.35M,163.86M,,2011-04,0.83,,0.83,,2011-04,0.82,,0.82,,2011-04,0.44,,2011-04,AOR,Restated
2011-01,1.312B,1.312B,837.94M,474.41M,214.32M,18.52M,-28.32M,18.13M,0.779M,-17.35M,0.297M,233.14M,241.28M,0.779M,18.13M,-17.35M,-28.14M,-17.35M,195.78M,63.78M,132.00M,,,132.00M,151.09M,213.91M,,2011-01,1.12,,1.12,,2011-01,1.11,,1.11,,2011-01,0.40,,2011-01,AOR,Restated
2010-10,1.279B,1.279B,784.24M,494.67M,222.82M,18.50M,-11.12M,18.50M,0.572M,-17.93M,2.194M,243.52M,251.15M,0.572M,18.50M,-17.93M,-11.49M,-17.93M,221.73M,72.00M,149.73M,,,149.73M,157.23M,240.23M,,2010-10,1.25,,1.25,,2010-10,1.25,,1.25,,2010-10,0.40,,2010-10,AOR,Restated
2010-07,1.047B,1.047B,638.88M,408.44M,203.26M,18.50M,-20.82M,16.54M,0.433M,-16.11M,,221.76M,186.68M,0.433M,16.54M,-16.11M,-20.82M,-16.11M,149.75M,46.87M,102.88M,,,102.88M,117.18M,166.29M,,2010-07,0.86,0.00,0.86,,2010-07,0.86,0.00,0.86,,2010-07,0.40,,2010-07,AOR,Restated
2010-04,1.069B,1.069B,638.97M,430.11M,229.65M,18.40M,7.477M,14.53M,0.426M,-14.10M,,258.36M,171.74M,0.426M,14.53M,-14.10M,9.715M,-14.10M,167.36M,46.75M,120.61M,,,120.61M,115.22M,181.88M,,2010-04,1.01,,1.01,,2010-04,1.01,,1.01,,2010-04,0.35,,2010-04,AOR,Restated
2010-01,1.206B,1.206B,747.64M,458.30M,214.41M,18.57M,-14.24M,14.24M,0.31M,-13.93M,,232.98M,225.32M,0.31M,14.24M,-13.93M,-14.24M,-13.93M,197.16M,61.68M,135.48M,,,135.48M,145.26M,211.40M,,2010-01,1.14,0.00,1.14,,2010-01,1.14,0.00,1.14,,2010-01,0.35,,2010-01,AOR,Restated
2009-10,1.279B,1.279B,786.50M,492.25M,232.98M,18.31M,-9.164M,17.47M,0.686M,-16.79M,,251.30M,240.95M,0.686M,17.47M,-16.79M,-9.164M,-16.79M,215.00M,75.01M,139.99M,,,139.99M,145.96M,232.48M,,2009-10,1.18,0.00,1.18,,2009-10,1.18,0.00,1.18,,2009-10,0.35,,2009-10,AOR,Restated
2009-07,1.052B,1.052B,645.50M,406.03M,201.18M,18.38M,-16.50M,18.95M,1.371M,-17.58M,1.165M,220.72M,185.31M,1.371M,18.95M,-17.58M,-16.50M,-17.58M,151.23M,53.17M,98.06M,,,98.06M,108.76M,170.18M,,2009-07,0.83,0.00,0.83,,2009-07,0.83,0.00,0.83,,2009-07,0.35,,2009-07,AOR,Restated
2009-04,1.069B,1.069B,669.35M,399.19M,181.71M,16.06M,-43.82M,18.46M,1.932M,-16.53M,,197.80M,201.39M,1.932M,18.46M,-16.53M,-43.82M,-16.53M,141.04M,46.77M,94.27M,,,94.27M,123.56M,159.50M,,2009-04,0.82,0.00,0.82,,2009-04,0.82,0.00,0.82,,2009-04,0.32,,2009-04,AOR,Restated
2009-01,1.183B,1.183B,781.55M,401.04M,211.63M,19.81M,-34.78M,21.96M,1.822M,-20.14M,0.325M,231.77M,169.27M,1.822M,21.96M,-20.14M,-34.78M,-20.14M,114.36M,36.42M,77.94M,,,77.94M,101.65M,136.32M,,2009-01,0.68,0.00,0.68,,2009-01,0.68,0.00,0.68,,2009-01,0.32,,2009-01,,Restated
2008-10,843.14M,843.14M,599.72M,243.42M,151.29M,,-5.489M,,,,-0.507M,150.78M,92.63M,,,,-5.489M,,77.22M,25.77M,51.45M,,,51.45M,55.11M,92.63M,,2008-10,0.95,0.00,0.95,,2008-10,0.94,0.00,0.94,,2008-10,0.32,,2008-10,,
2008-07,663.66M,663.66M,455.88M,207.78M,131.88M,,-3.042M,,,,0.148M,132.03M,75.75M,,,,-3.042M,,63.45M,21.16M,42.29M,,,42.29M,44.32M,75.75M,,2008-07,0.78,0.00,0.78,,2008-07,0.77,0.00,0.77,,2008-07,0.32,,2008-07,,
2008-04,590.00M,590.00M,407.76M,182.24M,119.65M,,-1.497M,,,,,115.77M,66.47M,,,,-1.497M,,52.93M,15.88M,37.05M,,,37.05M,38.10M,66.47M,,2008-04,0.68,0.00,0.68,,2008-04,0.67,0.00,0.67,,2008-04,0.30,,2008-04,,
2008-01,665.37M,665.37M,469.92M,195.45M,122.91M,,-3.355M,,,,,122.91M,72.55M,,,,-3.355M,,62.16M,19.76M,42.40M,,,42.40M,44.69M,72.55M,,2008-01,0.75,0.00,0.75,,2008-01,0.75,0.00,0.75,,2008-01,0.30,,2008-01,,
2007-10,707.89M,707.89M,489.40M,218.49M,131.36M,,-4.16M,,,,,131.36M,87.13M,,,,-4.16M,,75.88M,25.71M,50.17M,,,50.17M,52.92M,87.13M,,2007-10,0.88,0.00,0.88,,2007-10,0.87,0.00,0.87,,2007-10,0.30,,2007-10,,
2007-07,561.51M,561.51M,375.53M,185.98M,116.75M,,1.187M,,,,,116.75M,69.23M,,,,1.187M,,63.82M,23.06M,40.76M,,,40.76M,40.00M,69.23M,,2007-07,0.72,0.00,0.72,,2007-07,0.71,0.00,0.71,,2007-07,0.30,,2007-07,,
2007-04,493.47M,493.47M,313.57M,179.90M,109.54M,,-1.552M,,,,,109.54M,70.36M,,,,-1.552M,,65.73M,23.23M,42.50M,,,42.50M,43.50M,70.36M,,2007-04,0.76,0.00,0.76,,2007-04,0.75,0.00,0.75,,2007-04,0.28,,2007-04,,
2007-01,523.08M,523.08M,350.11M,172.97M,108.79M,,-0.703M,,,,,108.79M,64.18M,,,,-0.703M,,60.45M,20.02M,40.43M,,,40.43M,40.90M,64.18M,,2007-01,0.72,0.00,0.72,,2007-01,0.71,0.00,0.71,,2007-01,0.28,,2007-01,,
2006-10,604.96M,604.96M,413.76M,191.19M,116.09M,,-0.544M,,,,,116.09M,75.10M,,,,-0.544M,,70.64M,25.07M,45.57M,,,45.57M,45.92M,75.10M,,2006-10,0.80,0.00,0.80,,2006-10,0.80,0.00,0.80,,2006-10,0.28,,2006-10,,
2006-07,526.51M,526.51M,368.52M,157.99M,108.40M,,-1.30M,,,,,108.40M,49.60M,,,,-1.30M,,44.19M,15.47M,28.72M,,,28.72M,29.57M,49.60M,,2006-07,0.51,0.00,0.51,,2006-07,0.50,0.00,0.50,,2006-07,0.28,,2006-07,,
2006-04,501.68M,501.68M,341.68M,160.00M,104.20M,,-3.801M,,,,,105.06M,54.93M,,,,-3.801M,,47.86M,12.16M,35.70M,,,35.70M,38.54M,54.93M,,2006-04,0.63,0.00,0.63,,2006-04,0.62,0.00,0.62,,2006-04,0.27,,2006-04,,
2006-01,536.45M,536.45M,372.60M,163.85M,103.61M,,-6.397M,,,,,103.61M,60.24M,,,,-6.397M,,49.57M,18.26M,31.31M,,,31.31M,35.35M,60.24M,,2006-01,0.54,0.00,0.54,,2006-01,0.54,0.00,0.54,,2006-01,0.27,,2006-01,,
2005-10,606.26M,606.26M,402.84M,203.42M,120.02M,,-6.143M,,,,,120.02M,83.40M,,,,-6.143M,,72.56M,26.12M,46.44M,,,46.44M,50.38M,83.40M,,2005-10,0.80,0.00,0.80,,2005-10,0.79,0.00,0.79,,2005-10,0.27,,2005-10,,
2005-07,510.33M,510.33M,345.62M,164.71M,110.62M,,-4.223M,,,,,110.62M,54.09M,,,,-4.223M,,45.58M,15.68M,29.90M,,,29.90M,32.67M,54.09M,,2005-07,0.51,0.00,0.51,,2005-07,0.51,0.00,0.51,,2005-07,0.27,,2005-07,,
2005-04,491.45M,491.45M,341.30M,150.15M,95.27M,,-9.333M,,,,,95.27M,54.88M,,,,-9.333M,,41.60M,14.82M,26.79M,-4.674M,,22.11M,32.79M,54.88M,,2005-04,0.46,-0.09,0.37,,2005-04,0.45,-0.09,0.37,,2005-04,0.25,,2005-04,,
2005-01,550.23M,550.23M,376.04M,174.20M,106.46M,,-7.106M,,,,,106.46M,67.73M,,,,-7.106M,,55.52M,19.99M,35.52M,0.584M,,36.11M,40.07M,67.73M,,2005-01,0.61,0.01,0.62,,2005-01,0.60,0.01,0.61,,2005-01,0.25,,2005-01,,
2004-10,588.92M,588.92M,400.04M,188.88M,115.28M,,-4.352M,,,,,115.28M,73.60M,,,,-4.352M,,64.14M,23.47M,40.66M,-2.658M,,38.00M,43.42M,73.60M,,2004-10,0.70,-0.05,0.65,,2004-10,0.69,-0.05,0.65,,2004-10,0.25,,2004-10,,
2004-07,413.27M,413.27M,269.08M,144.19M,90.83M,,-6.30M,,,,,90.83M,53.36M,,,,-6.30M,,43.36M,15.87M,27.49M,5.361M,,32.85M,31.48M,53.36M,,2004-07,0.51,0.10,0.61,,2004-07,0.50,0.10,0.60,,2004-07,0.25,,2004-07,,
2004-04,312.39M,312.39M,208.71M,103.68M,68.50M,,-0.575M,,,,,68.50M,35.18M,,,,-0.575M,,34.12M,13.01M,21.10M,1.078M,,22.18M,21.46M,35.18M,,2004-04,0.43,0.02,0.45,,2004-04,0.43,0.02,0.45,,2004-04,0.23,,2004-04,,
2004-01,343.79M,343.79M,217.26M,126.53M,74.96M,,-1.691M,,,,,74.96M,51.57M,,,,-1.691M,,49.36M,18.24M,31.12M,0.198M,,31.32M,32.19M,51.57M,,2004-01,0.62,0.01,0.63,,2004-01,0.62,0.00,0.62,,2004-01,0.23,,2004-01,,
2003-10,374.20M,374.20M,241.23M,132.97M,78.78M,,-1.422M,,,,,78.78M,54.20M,,,,-1.422M,,51.89M,19.17M,32.72M,-0.652M,,32.07M,33.62M,54.20M,,2003-10,0.66,-0.02,0.64,,2003-10,0.65,-0.02,0.64,,2003-10,0.23,,2003-10,,
2003-07,341.91M,341.91M,223.51M,118.40M,75.06M,,-1.373M,,,,,75.06M,43.34M,,,,-1.373M,,40.39M,15.15M,25.25M,0.539M,,25.78M,26.10M,43.34M,,2003-07,0.51,0.01,0.52,,2003-07,0.50,0.01,0.51,,2003-07,0.23,,2003-07,,
2003-04,329.01M,329.01M,214.62M,114.39M,72.96M,,-2.483M,,,,,72.96M,41.43M,,,,-2.483M,,37.49M,14.25M,23.24M,,,23.24M,24.78M,41.43M,,2003-04,0.42,0.05,0.47,,2003-04,0.41,0.05,0.46,,2003-04,0.20,,2003-04,,
2003-01,340.83M,340.83M,217.90M,122.93M,71.91M,,-4.049M,,,,,71.91M,51.02M,,,,-4.049M,,45.15M,17.16M,27.99M,,,27.99M,30.50M,51.02M,,2003-01,0.56,0.00,0.56,,2003-01,0.56,0.00,0.56,,2003-01,0.20,,2003-01,,
2002-10,366.98M,366.98M,240.56M,126.41M,74.95M,,-2.859M,,,,,74.95M,51.46M,,,,-2.859M,,46.92M,17.83M,29.09M,,,29.09M,30.86M,51.46M,,2002-10,0.59,0.00,0.59,,2002-10,0.58,0.00,0.58,,2002-10,0.20,,2002-10,,
2002-07,274.94M,274.94M,182.58M,92.35M,59.95M,,-4.827M,,,,,59.95M,32.40M,,,,-4.827M,,25.83M,9.817M,16.02M,,,16.02M,19.01M,32.40M,,2002-07,0.39,0.00,0.39,,2002-07,0.39,0.00,0.39,,2002-07,0.1693,,2002-07,,
2002-04,176.12M,176.12M,119.13M,56.99M,42.39M,,-2.039M,,,,,42.39M,14.60M,,,,-2.039M,,10.53M,3.876M,6.653M,,,6.653M,7.941M,14.60M,,2002-04,0.2224,0.06,0.2824,,2002-04,0.2130,0.06,0.2730,,2002-04,0.1693,,2002-04,,
2002-01,168.39M,168.39M,113.39M,55.00M,39.79M,,-0.493M,,,,,39.79M,15.21M,,,,-0.493M,,13.03M,5.081M,7.947M,,,7.947M,8.248M,15.21M,,2002-01,0.3386,0.00,0.3386,,2002-01,0.3386,0.00,0.3386,,2002-01,0.1693,,2002-01,,
2001-10,172.84M,172.84M,116.76M,56.08M,41.31M,,-0.13M,,,,,41.31M,14.78M,,,,-0.13M,,12.89M,5.028M,7.864M,,,7.864M,7.943M,14.78M,,2001-10,0.3386,0.00,0.3386,,2001-10,0.3386,0.00,0.3386,,2001-10,0.1693,,2001-10,,
