,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,4.358B,4.358B,2.964B,1.394B,753.30M,,50.30M,2.60M,-47.70M,,753.30M,640.30M,2.60M,50.30M,-47.70M,-6.10M,-47.70M,586.50M,128.00M,458.50M,-5.90M,,-4.50M,448.10M,455.41M,731.20M,94.40M,636.80M,,1.83,-0.02,,1.836,1.81,,1.82,-0.03,,1.826,1.79,,247.50M,250.10M,0.45,,AOR,Restated
2018-03,3.384B,3.384B,2.420B,964.30M,720.90M,,72.90M,3.60M,-69.30M,,720.90M,243.40M,3.60M,72.90M,-69.30M,-7.60M,-69.30M,166.50M,33.00M,133.50M,-9.40M,,-3.70M,120.40M,135.65M,332.80M,93.40M,239.40M,,0.52,-0.04,,0.5434,0.48,,0.51,-0.04,,0.5331,0.48,,250.40M,253.00M,0.45,,AOR,Restated
2017-12,3.618B,3.618B,2.542B,1.076B,689.00M,,53.80M,2.70M,-51.10M,,689.00M,386.60M,2.70M,53.80M,-51.10M,-10.50M,-51.10M,325.00M,-163.00M,488.00M,-30.90M,,2.80M,459.90M,493.98M,470.20M,91.40M,378.80M,,1.967,-0.1235,,1.980,1.843,,1.93,-0.1235,,1.943,1.81,,250.40M,253.30M,0.45,,AOR,Restated
2017-09,3.670B,3.670B,2.490B,1.181B,674.50M,,53.90M,2.30M,-51.60M,,674.50M,506.10M,2.30M,53.90M,-51.60M,-9.90M,-51.60M,444.60M,76.40M,368.20M,3.70M,,-4.90M,367.00M,364.96M,586.30M,87.80M,498.50M,,1.43,0.02,,1.437,1.45,,1.41,0.02,,1.416,1.43,,253.30M,256.70M,0.45,,AOR,Restated
2017-06,3.908B,3.908B,2.653B,1.255B,697.70M,,54.10M,1.30M,-52.80M,,697.70M,557.60M,1.30M,54.10M,-52.80M,-12.80M,-52.80M,492.00M,138.10M,353.90M,8.30M,,-3.60M,358.60M,352.75M,633.50M,87.40M,546.10M,,1.37,0.03,,1.380,1.40,,1.35,0.03,,1.359,1.38,,256.40M,259.70M,0.40,,AOR,Restated
2017-03,3.001B,3.001B,2.126B,874.50M,659.50M,,54.00M,3.10M,-50.90M,,659.50M,215.00M,3.10M,54.00M,-50.90M,-7.80M,-50.90M,156.30M,28.70M,127.60M,-6.50M,,-4.00M,117.10M,122.05M,297.00M,86.70M,210.30M,,0.48,-0.03,,0.4740,0.45,,0.47,-0.03,,0.4641,0.45,,259.40M,262.60M,0.40,,AOR,Restated
2016-12,3.359B,3.359B,2.347B,1.012B,658.70M,0.00,53.80M,2.60M,-51.20M,,658.70M,352.80M,2.60M,53.80M,-51.20M,-33.50M,-51.20M,268.10M,63.90M,204.20M,-1.40M,,-4.00M,198.80M,206.45M,409.40M,87.50M,321.90M,,0.7730,-0.0054,,0.7970,0.7675,,0.76,-0.01,,0.7838,0.75,,259.80M,262.60M,0.40,,AOR,Restated
2016-09,3.568B,3.568B,2.413B,1.155B,643.20M,0.00,54.50M,0.80M,-53.70M,,643.20M,511.70M,0.80M,54.50M,-53.70M,-7.10M,-53.70M,450.90M,83.20M,367.70M,14.20M,,-4.50M,377.40M,365.73M,594.10M,88.70M,505.40M,,1.40,0.05,,1.410,1.45,,1.39,0.05,,1.400,1.44,,259.20M,261.80M,0.32,,AOR,Restated
2016-06,3.688B,3.688B,2.506B,1.182B,668.40M,397.80M,56.50M,2.60M,-53.90M,,668.40M,513.30M,2.60M,56.50M,-53.90M,392.30M,-53.90M,851.70M,92.50M,759.20M,-6.80M,,-4.80M,747.60M,396.57M,996.20M,88.00M,908.20M,,2.91,-0.03,,1.530,2.88,,2.88,-0.03,,1.512,2.86,,259.20M,261.60M,0.32,,AOR,Restated
2016-03,2.894B,2.894B,2.041B,852.90M,627.50M,,56.70M,2.00M,-54.70M,,627.50M,225.40M,2.00M,56.70M,-54.70M,-0.10M,-54.70M,170.60M,41.90M,128.70M,26.90M,,-3.20M,152.40M,121.35M,315.30M,88.00M,227.30M,,0.48,0.10,,0.4640,0.58,,0.48,0.10,,0.4641,0.58,,259.40M,261.30M,0.32,,AOR,Restated
2015-12,3.326B,3.326B,2.317B,1.009B,616.00M,0.00,56.30M,2.80M,-53.50M,,616.00M,393.00M,2.80M,56.30M,-53.50M,-6.00M,-53.50M,308.10M,68.70M,239.40M,-0.90M,,-5.00M,233.50M,240.54M,459.30M,94.90M,364.40M,,0.8972,-0.0034,,0.9206,0.8938,,0.88,-0.0034,,0.9032,0.88,,263.00M,265.10M,0.29,,AOR,Restated
2015-09,3.487B,3.487B,2.379B,1.108B,632.10M,0.00,55.80M,2.50M,-53.30M,,632.10M,475.40M,2.50M,55.80M,-53.30M,9.70M,-53.30M,431.80M,113.80M,318.00M,-12.00M,,-5.10M,300.90M,309.88M,576.10M,88.50M,487.60M,,1.18,-0.05,,1.169,1.13,,1.17,-0.05,,1.159,1.12,,265.60M,268.30M,0.29,,AOR,Restated
2015-06,3.600B,3.600B,2.494B,1.106B,653.50M,0.00,55.80M,2.40M,-53.40M,,653.50M,452.20M,2.40M,55.80M,-53.40M,19.60M,-53.40M,418.40M,331.40M,87.00M,-4.10M,,-4.00M,78.90M,83.06M,567.00M,92.80M,474.20M,,0.31,-0.02,,0.3102,0.29,,0.31,-0.02,,0.3102,0.29,,266.50M,269.40M,0.29,,AOR,Restated
2015-03,2.888B,2.888B,2.087B,801.10M,630.00M,,55.10M,2.90M,-52.20M,,630.00M,171.10M,2.90M,55.10M,-52.20M,-29.30M,-52.20M,89.60M,26.90M,62.70M,-7.30M,,-4.10M,51.30M,81.28M,232.60M,87.90M,144.70M,,0.22,-0.03,,0.3055,0.19,,0.22,-0.03,,0.3045,0.19,,265.40M,268.50M,0.29,,AOR,Restated
2014-12,3.240B,3.240B,2.261B,979.40M,633.10M,,68.00M,3.80M,-64.20M,,633.10M,346.30M,3.80M,68.00M,-64.20M,6.00M,-64.20M,288.10M,71.20M,216.90M,43.30M,,-4.70M,255.50M,210.47M,438.00M,81.90M,356.10M,,0.8072,0.1647,,0.8006,0.9719,,0.79,0.16,,0.7836,0.95,,265.40M,269.50M,0.25,,AOR,Restated
2014-09,3.385B,3.385B,2.327B,1.058B,618.00M,,52.30M,3.00M,-49.30M,,618.00M,440.00M,3.00M,52.30M,-49.30M,6.60M,-49.30M,397.30M,94.10M,303.20M,-7.00M,,-4.90M,291.30M,299.06M,531.90M,82.30M,449.60M,,1.11,-0.02,,1.113,1.09,,1.10,-0.03,,1.103,1.07,,267.90M,271.60M,0.25,,AOR,Restated
2014-06,3.543B,3.543B,2.440B,1.103B,639.70M,,53.00M,3.60M,-49.40M,,639.70M,463.30M,3.60M,53.00M,-49.40M,5.00M,-49.40M,418.90M,103.70M,315.20M,-4.60M,,-4.60M,306.00M,308.49M,557.80M,85.90M,471.90M,,1.15,-0.02,,1.142,1.13,,1.13,-0.02,,1.122,1.12,,270.40M,274.20M,0.25,,AOR,Restated
2014-03,2.723B,2.723B,1.955B,768.10M,613.10M,,52.00M,2.80M,-49.20M,,613.10M,155.00M,2.80M,52.00M,-49.20M,-0.60M,-49.20M,105.20M,24.50M,80.70M,2.90M,,-4.60M,79.00M,79.32M,239.50M,82.30M,157.20M,,0.27,0.01,,0.2816,0.28,,0.27,0.01,,0.2814,0.28,,278.30M,282.30M,0.25,,AOR,Restated
2013-12,3.099B,3.099B,2.215B,884.20M,666.20M,,53.40M,3.30M,-50.10M,,666.20M,218.00M,3.30M,53.40M,-50.10M,-4.00M,-50.10M,163.90M,80.70M,83.20M,-29.40M,,-6.10M,47.70M,79.64M,301.10M,83.80M,217.30M,,0.2727,-0.1044,,0.2815,0.1684,,0.26,-0.1044,,0.2686,0.16,,288.70M,293.80M,0.21,,AOR,Restated
2013-09,3.214B,3.214B,2.218B,996.50M,617.00M,,102.80M,3.60M,-99.20M,,617.00M,379.50M,3.60M,102.80M,-99.20M,2.40M,-99.20M,282.70M,55.10M,227.60M,-46.70M,,-15.00M,165.90M,215.34M,468.40M,82.90M,385.50M,,0.76,-0.19,,0.7694,0.57,,0.75,-0.19,,0.7593,0.56,,291.60M,295.50M,0.21,,AOR,Restated
2013-06,3.398B,3.398B,2.378B,1.021B,633.40M,,61.90M,2.60M,-59.30M,,633.40M,387.50M,2.60M,61.90M,-59.30M,-5.00M,-59.30M,323.20M,48.70M,274.50M,50.20M,,-7.50M,317.20M,273.28M,468.40M,83.30M,385.10M,,0.91,0.16,,0.9311,1.07,,0.89,0.16,,0.9109,1.05,,297.50M,301.20M,0.21,,AOR,Restated
2013-03,2.639B,2.639B,1.913B,726.40M,606.40M,,60.60M,3.40M,-57.20M,,606.40M,120.00M,3.40M,60.60M,-57.20M,-2.90M,-57.20M,59.90M,4.50M,55.40M,39.20M,,-6.60M,88.00M,48.24M,204.20M,83.70M,120.50M,,0.17,0.12,,0.1681,0.29,,0.17,0.12,,0.1682,0.29,,298.90M,302.50M,0.21,,AOR,Restated
2012-12,1.424B,1.424B,1.186B,237.80M,299.10M,,59.90M,3.70M,-56.20M,,299.10M,-61.30M,3.70M,59.90M,-56.20M,-1.30M,-56.20M,-118.80M,-101.90M,-16.90M,258.70M,,-6.20M,235.60M,-25.90M,-10.50M,48.40M,-58.90M,,0.7940,0.0030,,0.7847,0.7971,,0.77,0.0030,,0.7608,0.78,,299.40M,303.70M,0.16,,AOR,Restated
2012-09,3.593B,3.593B,2.454B,1.138B,690.60M,0.00,60.60M,4.00M,-56.60M,,690.60M,447.80M,4.00M,60.60M,-56.60M,13.40M,-56.60M,404.60M,65.30M,339.30M,-12.30M,,-5.40M,321.60M,334.99M,557.50M,92.30M,465.20M,,1.09,-0.04,,1.094,1.05,,1.07,-0.04,,1.073,1.03,,307.70M,312.00M,0.16,,AOR,Restated
2012-06,3.821B,3.821B,2.644B,1.177B,703.60M,4.20M,62.10M,3.90M,-58.20M,,703.60M,473.70M,3.90M,62.10M,-58.20M,4.40M,-58.20M,419.90M,54.80M,365.10M,7.80M,,-7.10M,365.80M,355.22M,577.10M,95.10M,482.00M,,1.16,0.02,,1.151,1.18,,1.14,0.02,,1.131,1.16,,309.20M,314.40M,0.16,,AOR,Restated
2012-03,3.151B,3.151B,2.249B,901.30M,689.60M,0.30M,69.40M,4.70M,-64.70M,,689.60M,211.70M,4.70M,69.40M,-64.70M,-4.60M,-64.70M,142.40M,38.00M,104.40M,-2.20M,,-6.60M,95.60M,98.90M,309.80M,98.00M,211.80M,,0.33,-0.01,,0.3337,0.32,,0.31,-0.01,,0.3135,0.31,,299.20M,312.40M,0.16,,AOR,Restated
2011-12,1.486B,1.486B,1.292B,193.20M,280.20M,-675.50M,68.80M,,-43.30M,,-371.40M,564.60M,,68.80M,-43.30M,-672.60M,-43.30M,-151.30M,-123.60M,-27.70M,275.80M,,-5.80M,242.30M,405.58M,-25.80M,56.70M,-82.50M,,-0.07,0.83,,1.364,0.76,,-0.07,0.80,,1.320,0.72,,306.20M,315.90M,0.12,,AOR,Restated
2011-09,3.910B,3.910B,2.756B,1.154B,708.60M,21.30M,69.70M,,-69.70M,264.80M,973.40M,180.50M,,69.70M,-69.70M,21.30M,-69.70M,132.10M,28.40M,103.70M,-10.20M,,-7.30M,86.20M,79.68M,298.60M,96.80M,201.80M,,0.29,-0.03,,0.2390,0.26,,0.28,-0.03,,0.2308,0.25,,327.70M,340.20M,0.12,,AOR,Restated
2011-06,4.091B,4.091B,2.863B,1.228B,729.20M,-197.10M,71.70M,6.70M,-65.00M,,729.20M,499.20M,6.70M,71.70M,-65.00M,-204.80M,-65.00M,229.40M,99.80M,129.60M,-30.30M,,-7.00M,92.30M,255.72M,407.80M,106.70M,301.10M,,0.37,-0.09,,0.7688,0.28,,0.35,-0.09,,0.7294,0.26,,333.80M,350.90M,0.12,,AOR,Restated
2011-03,3.274B,3.274B,2.369B,905.20M,677.10M,4.90M,68.30M,,-68.30M,186.30M,863.40M,41.80M,,68.30M,-68.30M,4.90M,-68.30M,-21.60M,40.80M,-62.40M,-9.10M,,-6.10M,-77.60M,-71.68M,145.00M,98.30M,46.70M,,-0.21,-0.02,,-0.2196,-0.23,,-0.21,-0.02,,-0.2196,-0.23,,331.10M,331.10M,0.07,,AOR,Restated
2010-12,3.634B,3.634B,2.624B,1.010B,691.20M,-22.30M,70.90M,,-55.70M,,691.20M,318.70M,,70.90M,-55.70M,-5.00M,-55.70M,258.00M,38.70M,219.30M,0.20M,,-7.40M,212.10M,230.86M,436.30M,107.40M,328.90M,,0.65,0.00,,0.7078,0.65,,0.62,0.00,,0.6750,0.62,,327.70M,344.60M,0.07,,AOR,Restated
2010-09,3.730B,3.730B,2.644B,1.086B,675.80M,8.70M,70.20M,,-70.20M,,675.80M,410.70M,,70.20M,-70.20M,8.70M,-70.20M,349.20M,72.10M,277.10M,-39.50M,,-5.40M,232.20M,264.80M,539.00M,119.60M,419.40M,,0.84,-0.12,,0.8187,0.72,,0.80,-0.12,,0.7796,0.68,,324.70M,339.00M,0.07,,AOR,Restated
2010-06,3.482B,3.482B,2.473B,1.009B,645.60M,3.40M,71.10M,4.90M,-66.20M,,645.60M,363.40M,4.90M,71.10M,-66.20M,3.50M,-66.20M,300.70M,54.90M,245.80M,-43.90M,,-5.50M,196.40M,237.44M,476.50M,104.70M,371.80M,,0.74,-0.13,,0.7312,0.61,,0.71,-0.13,,0.7016,0.58,,323.80M,339.10M,0.07,,AOR,Restated
2010-03,2.766B,2.766B,2.009B,756.70M,617.20M,5.80M,71.00M,,-71.00M,,617.20M,139.50M,,71.00M,-71.00M,5.80M,-71.00M,74.30M,54.10M,20.20M,-14.20M,,-4.60M,1.40M,11.83M,250.40M,105.10M,145.30M,,0.05,-0.05,,0.0383,0.00,,0.05,-0.05,,0.0388,0.00,,322.70M,336.60M,0.07,,AOR,Restated
2009-12,3.281B,3.281B,2.385B,895.70M,668.60M,2.90M,76.20M,,-76.20M,,668.60M,227.10M,,76.20M,-76.20M,2.90M,-76.20M,153.80M,17.30M,111.80M,11.40M,,-8.50M,139.40M,125.63M,338.30M,108.30M,230.00M,,0.40,0.04,,0.3920,0.44,,0.38,0.04,,0.3724,0.41,,322.00M,337.20M,0.07,,AOR,Restated
2009-09,3.459B,3.459B,2.463B,996.30M,671.70M,0.00,76.30M,,-76.30M,,671.70M,324.60M,,76.30M,-76.30M,,-76.30M,248.30M,14.80M,233.50M,-10.90M,,-6.00M,216.60M,227.50M,434.90M,110.30M,324.60M,,0.71,-0.04,,0.71,0.67,,0.69,-0.04,,0.69,0.65,,321.00M,331.80M,0.07,,AOR,Restated
2009-06,3.452B,3.452B,2.516B,936.20M,677.10M,2.80M,81.80M,,-81.80M,,677.10M,259.10M,,81.80M,-81.80M,2.80M,-81.80M,180.10M,34.40M,145.70M,-18.10M,,-5.50M,122.10M,137.93M,362.60M,100.70M,261.90M,,0.44,-0.06,,0.4329,0.38,,0.43,-0.06,,0.4230,0.38,,320.80M,325.00M,0.18,,AOR,Restated
2009-03,2.933B,2.933B,2.206B,726.50M,676.60M,6.80M,67.40M,4.30M,-63.10M,,676.60M,49.90M,4.30M,67.40M,-63.10M,8.20M,-63.10M,-5.00M,10.50M,-15.50M,-6.30M,,-4.90M,-26.70M,-24.82M,164.90M,102.50M,62.40M,,-0.06,-0.02,,-0.0738,-0.08,,-0.06,-0.02,,-0.0738,-0.08,,320.50M,320.50M,0.18,,AOR,Restated
2008-12,3.670B,3.670B,2.802B,868.40M,688.20M,-3.734B,89.00M,8.70M,-80.30M,,688.20M,180.20M,8.70M,89.00M,-80.30M,-3.733B,-80.30M,-3.633B,-361.80M,-3.271B,-15.00M,,-4.10M,-3.290B,86.57M,-3.421B,123.30M,-3.544B,,-10.94,-0.05,,-0.4574,-10.99,,-10.94,-0.05,,-0.5094,-10.99,,320.70M,322.30M,0.18,,,Restated
2008-09,4.313B,4.313B,3.209B,1.104B,756.40M,-9.50M,83.70M,9.90M,-73.80M,,756.40M,347.40M,9.90M,83.70M,-73.80M,-8.10M,-73.80M,265.50M,26.30M,239.20M,-6.00M,,-5.50M,227.70M,242.26M,551.80M,202.60M,349.20M,,0.73,-0.02,,0.7567,0.71,,0.72,-0.02,,0.7464,0.70,,320.20M,324.10M,0.18,,,Restated
2008-06,3.081B,3.081B,2.196B,884.70M,523.10M,,,,,,523.10M,361.60M,,,,1.20M,,342.20M,79.70M,262.50M,-6.40M,,-6.50M,256.10M,262.50M,450.70M,89.10M,361.60M,,0.91,-0.02,,0.91,0.89,,0.90,-0.02,,0.90,0.88,,287.40M,291.10M,0.18,,,
2008-03,2.163B,2.163B,1.541B,622.40M,375.40M,-2.40M,,,,,375.40M,247.00M,,,,-2.40M,,258.90M,47.20M,211.70M,-30.10M,,-3.80M,181.60M,213.66M,285.10M,38.10M,247.00M,,0.77,-0.11,,0.7771,0.66,,0.77,-0.11,,0.7771,0.66,,275.15M,275.15M,0.18,,,
2007-12,2.323B,2.323B,1.658B,665.10M,366.30M,15.00M,,,,,366.30M,298.80M,,,,15.00M,,277.40M,106.50M,170.90M,2.348B,,,2.518B,161.66M,338.60M,39.80M,298.80M,,0.62,8.13,,0.5863,8.75,,0.61,8.00,,0.5770,8.61,,274.33M,279.83M,0.18,,,
2007-09,2.239B,2.239B,1.608B,630.80M,354.50M,-7.60M,,,,,354.50M,276.30M,,,,-7.60M,,235.40M,37.80M,197.60M,69.00M,,,266.60M,203.98M,304.70M,28.40M,276.30M,,0.70,0.24,,0.7225,0.94,,0.68,0.24,,0.7020,0.92,,283.62M,289.78M,0.18,,,
2007-06,2.225B,2.225B,1.590B,634.90M,360.80M,8.60M,,,,,360.80M,274.10M,,,,8.60M,,251.90M,43.90M,208.00M,756.10M,,,964.10M,200.90M,308.70M,34.60M,274.10M,,0.69,2.52,,0.6664,3.21,,0.68,2.49,,0.6567,3.17,,300.34M,304.13M,0.18,,,
2007-03,1.976B,1.976B,1.416B,560.20M,351.60M,-0.10M,,,,,351.60M,208.60M,,,,-0.10M,,172.90M,16.30M,156.60M,60.90M,,,217.50M,156.69M,244.60M,36.00M,208.60M,,0.51,0.20,,0.5103,0.71,,0.50,0.20,,0.5003,0.70,,306.34M,310.71M,0.18,,,
2006-12,2.143B,2.143B,1.539B,603.70M,324.60M,-4.90M,,,,,324.60M,279.10M,,,,-4.90M,,238.20M,28.10M,210.10M,11.80M,,,221.90M,214.42M,355.80M,76.70M,279.10M,,0.68,0.05,,0.6941,0.73,,0.67,0.05,,0.6839,0.72,,305.92M,310.06M,0.18,,,
2006-09,2.038B,2.038B,1.465B,572.60M,303.70M,-2.40M,,,,,303.70M,268.90M,,,,-2.40M,,235.00M,34.60M,200.40M,43.40M,,,243.80M,202.45M,307.40M,38.50M,268.90M,,0.63,0.14,,0.6365,0.77,,0.63,0.13,,0.6364,0.76,,316.62M,320.79M,0.18,,,
2006-06,2.048B,2.048B,1.463B,584.90M,332.40M,-6.20M,,,,,332.40M,252.50M,,,,-6.20M,,215.50M,18.40M,197.10M,116.40M,,,313.50M,202.77M,281.80M,29.30M,252.50M,,0.60,0.36,,0.6174,0.96,,0.60,0.35,,0.6172,0.95,,326.56M,330.00M,0.16,,,
2006-03,2.523B,2.523B,1.851B,672.00M,354.70M,3.90M,,,,,354.70M,317.30M,,,,3.90M,,285.90M,41.50M,244.40M,8.80M,,,253.20M,241.07M,363.50M,46.20M,317.30M,,0.74,0.03,,0.7299,0.77,,0.73,0.03,,0.7200,0.76,,328.83M,333.16M,0.16,,,
2005-12,2.713B,2.713B,1.994B,719.60M,373.90M,26.00M,,,,,373.90M,345.70M,,,,26.00M,,324.50M,51.60M,272.90M,18.60M,,,291.50M,251.03M,397.30M,51.60M,345.70M,,-0.13,1.00,,-0.1953,0.87,,-0.13,1.00,,-0.1953,0.87,,334.61M,334.61M,0.16,,,
2005-09,2.615B,2.615B,1.921B,694.60M,354.60M,9.60M,,,,,354.60M,340.00M,,,,9.60M,,314.10M,58.00M,256.10M,-1.90M,,,254.20M,248.27M,386.10M,46.10M,340.00M,,0.76,0.00,,0.7366,0.76,,0.75,0.00,,0.7269,0.75,,334.47M,338.93M,0.16,,,
2005-06,2.760B,2.760B,2.019B,740.40M,361.30M,10.20M,,,,,361.30M,379.10M,,,,10.20M,,351.60M,59.80M,291.80M,-6.40M,,,285.40M,283.33M,424.80M,45.70M,379.10M,,0.86,-0.02,,0.8351,0.84,,0.85,-0.02,,0.8254,0.83,,339.76M,343.86M,0.125,,,
2005-03,2.459B,2.459B,1.811B,648.10M,351.20M,7.30M,,,,,351.20M,296.90M,,,,7.30M,,267.60M,35.30M,232.30M,-9.20M,,,223.10M,225.96M,349.20M,52.30M,296.90M,,0.67,-0.02,,0.6515,0.65,,0.67,-0.03,,0.6518,0.64,,343.23M,348.59M,0.125,,,
2004-12,2.459B,2.459B,1.778B,681.30M,383.40M,16.80M,,,,,383.40M,297.90M,,,,16.80M,,261.70M,39.40M,222.30M,292.90M,,,515.20M,208.03M,345.20M,47.30M,297.90M,,-0.15,1.64,,-0.1913,1.49,,-0.15,1.62,,-0.1908,1.47,,345.23M,349.59M,0.125,,,
2004-09,2.368B,2.368B,1.739B,629.20M,351.00M,5.10M,,,,,351.00M,278.20M,,,,5.10M,,247.60M,42.00M,205.60M,32.20M,,,237.80M,201.37M,304.10M,25.90M,278.20M,,0.60,0.09,,0.5877,0.69,,0.59,0.09,,0.5779,0.68,,344.64M,349.71M,0.125,,,
2004-06,2.444B,2.444B,1.783B,661.40M,342.70M,-1.50M,,,,,342.70M,318.70M,,,,-1.50M,,277.50M,38.30M,239.20M,38.30M,,,277.50M,240.49M,378.00M,59.30M,318.70M,,0.69,0.135,,0.6938,0.825,,0.68,0.135,,0.6838,0.815,,336.36M,340.49M,0.095,,,
