,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,448.00M,,,-2.00M,9.00M,7.00M,132.00M,132.00M,12.00M,,14.00M,-13.00M,-155.00M,65.00M,310.00M,8.00M,14.00M,242.00M,0.00,842.00M,-78.00M,,,0.00,7.00M,-9.00M,-80.00M,-1.718B,800.00M,-918.00M,17.00M,0.00,17.00M,-127.00M,-127.00M,-4.00M,-1.032B,2.252B,-270.00M,26.00M,2.008B,17.00M,82.00M,-993.00M,0.00,106.00M,39.00M
2020-06,97.00M,,,8.00M,10.00M,25.00M,123.00M,123.00M,-4.00M,,8.00M,116.00M,150.00M,177.00M,-290.00M,46.00M,32.00M,115.00M,1.00M,481.00M,-55.00M,,,-1.00M,1.00M,3.00M,-52.00M,857.00M,-807.00M,50.00M,1.00M,0.00,1.00M,-121.00M,-121.00M,-15.00M,-85.00M,1.886B,344.00M,22.00M,2.252B,1.00M,1.359B,-1.309B,0.00,97.00M,34.00M
2020-03,248.00M,,,-4.00M,10.00M,6.00M,129.00M,129.00M,-4.00M,,7.00M,-111.00M,-58.00M,-206.00M,-115.00M,-28.00M,-27.00M,-434.00M,,-159.00M,-37.00M,,,-44.00M,8.00M,14.00M,-59.00M,1.158B,,1.158B,5.00M,0.00,5.00M,-120.00M,-120.00M,-31.00M,1.012B,1.216B,794.00M,-124.00M,1.886B,5.00M,1.171B,-13.00M,0.00,90.00M,48.00M
2019-12,303.00M,,,0.00,16.00M,16.00M,134.00M,134.00M,21.00M,,11.00M,-4.00M,309.00M,194.00M,-189.00M,-25.00M,39.00M,328.00M,0.00,809.00M,-189.00M,,,-79.00M,2.00M,5.00M,-261.00M,-634.00M,100.00M,-534.00M,29.00M,-150.00M,-121.00M,-121.00M,-121.00M,-23.00M,-799.00M,1.432B,-251.00M,35.00M,1.216B,29.00M,0.00,-634.00M,-150.00M,66.00M,34.00M
2019-09,372.00M,,,-2.00M,13.00M,11.00M,133.00M,133.00M,-19.00M,,9.00M,-21.00M,243.00M,48.00M,55.00M,0.00,-42.00M,304.00M,0.00,789.00M,-91.00M,,,-203.00M,5.00M,-2.00M,-291.00M,124.00M,0.00,124.00M,10.00M,0.00,10.00M,-120.00M,-120.00M,-5.00M,9.00M,963.00M,507.00M,-38.00M,1.432B,10.00M,119.00M,-1.00M,0.00,88.00M,25.00M
2019-06,277.00M,,,10.00M,13.00M,23.00M,126.00M,126.00M,25.00M,,10.00M,149.00M,-132.00M,55.00M,21.00M,-14.00M,12.00M,-58.00M,-4.00M,548.00M,-86.00M,,,-304.00M,3.00M,16.00M,-371.00M,137.00M,6.00M,143.00M,15.00M,0.00,15.00M,-114.00M,-114.00M,-44.00M,0.00,784.00M,177.00M,2.00M,963.00M,15.00M,167.00M,-24.00M,0.00,100.00M,28.00M
2019-03,317.00M,,,-4.00M,12.00M,8.00M,118.00M,118.00M,-32.00M,,9.00M,25.00M,-299.00M,-152.00M,18.00M,-56.00M,-22.00M,-511.00M,,-66.00M,-47.00M,,,-57.00M,10.00M,8.00M,-86.00M,308.00M,,308.00M,7.00M,-175.00M,-168.00M,-113.00M,-113.00M,5.00M,32.00M,902.00M,-120.00M,2.00M,784.00M,7.00M,309.00M,-1.00M,-175.00M,94.00M,40.00M
2018-12,259.00M,,,-4.00M,13.00M,-17.00M,127.00M,127.00M,50.00M,-9.00M,16.00M,80.00M,350.00M,176.00M,-179.00M,10.00M,-63.00M,294.00M,0.00,800.00M,-185.00M,,,-280.00M,-2.00M,-13.00M,-453.00M,-1.00M,-7.00M,-8.00M,1.00M,-408.00M,-407.00M,-115.00M,-115.00M,-5.00M,-535.00M,1.103B,-188.00M,-13.00M,902.00M,1.00M,0.00,-1.00M,-408.00M,60.00M,40.00M
2018-09,372.00M,,,-3.00M,10.00M,7.00M,122.00M,122.00M,8.00M,0.00,3.00M,-119.00M,207.00M,-15.00M,85.00M,0.00,-114.00M,163.00M,-20.00M,536.00M,-108.00M,,,0.00,11.00M,3.00M,-94.00M,-2.00M,-6.00M,-8.00M,4.00M,-250.00M,-246.00M,-116.00M,-116.00M,5.00M,-365.00M,1.02B,77.00M,6.00M,1.103B,4.00M,0.00,-2.00M,-250.00M,86.00M,15.00M
2018-06,375.00M,,,10.00M,10.00M,20.00M,125.00M,125.00M,-8.00M,9.00M,9.00M,25.00M,-253.00M,-68.00M,39.00M,41.00M,45.00M,-196.00M,0.00,359.00M,-43.00M,,,-2.00M,-1.00M,7.00M,-39.00M,-2.00M,3.00M,1.00M,1.00M,-463.00M,-462.00M,-110.00M,-110.00M,-29.00M,-600.00M,1.346B,-280.00M,-46.00M,1.02B,1.00M,0.00,-2.00M,-463.00M,116.00M,29.00M
