,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.685B,3.685B,2.026B,1.659B,836.00M,92.00M,96.00M,36.00M,0.00,34.00M,4.00M,-30.00M,,1.06B,599.00M,4.00M,34.00M,-30.00M,3.00M,-30.00M,572.00M,124.00M,448.00M,0.00,,-6.00M,442.00M,442.00M,738.00M,132.00M,606.00M,1.87,0.0,,1.87,1.87,1.86,0.0,,1.86,1.86,236.80M,237.90M,0.54
2020-06,3.015B,3.015B,1.703B,1.312B,766.00M,86.00M,91.00M,32.00M,-165.00M,41.00M,5.00M,-36.00M,,975.00M,337.00M,5.00M,41.00M,-36.00M,-175.00M,-36.00M,126.00M,29.00M,97.00M,3.00M,,2.00M,102.00M,226.05M,290.00M,123.00M,167.00M,0.42,0.01,,0.957,0.43,0.42,0.01,,0.9547,0.43,236.60M,237.60M,0.51
2020-03,3.377B,3.377B,1.908B,1.469B,905.00M,101.00M,93.00M,36.00M,-7.00M,32.00M,9.00M,-23.00M,,1.135B,334.00M,9.00M,32.00M,-23.00M,8.00M,-23.00M,319.00M,71.00M,248.00M,,,-5.00M,243.00M,248.44M,480.00M,129.00M,351.00M,1.03,,,1.053,1.03,1.02,,,1.043,1.02,236.50M,237.70M,0.51
2019-12,3.672B,3.672B,2.111B,1.561B,894.00M,109.00M,99.00M,35.00M,6.00M,33.00M,9.00M,-24.00M,,1.129B,432.00M,9.00M,33.00M,-24.00M,-10.00M,-24.00M,398.00M,95.00M,303.00M,-3.00M,,-8.00M,292.00M,290.43M,565.00M,134.00M,431.00M,1.24,-0.01,,1.2209999999999999,1.23,1.23,-0.01,,1.2109999999999999,1.22,236.90M,238.20M,0.51
2019-09,3.826B,3.826B,2.181B,1.645B,887.00M,107.00M,99.00M,34.00M,-2.00M,33.00M,10.00M,-23.00M,,1.127B,518.00M,10.00M,33.00M,-23.00M,-14.00M,-23.00M,481.00M,109.00M,372.00M,1.00M,,-6.00M,367.00M,367.55M,647.00M,133.00M,514.00M,1.55,0.0,,1.557,1.55,1.54,0.0,,1.546,1.54,237.10M,238.50M,0.51
2019-06,4.024B,4.024B,2.288B,1.736B,934.00M,111.00M,91.00M,35.00M,-176.00M,35.00M,7.00M,-28.00M,,1.171B,565.00M,7.00M,35.00M,-28.00M,-174.00M,-28.00M,363.00M,86.00M,277.00M,2.00M,,-7.00M,272.00M,404.29M,524.00M,126.00M,398.00M,1.14,0.01,,1.7069999999999999,1.15,1.13,0.01,,1.694,1.14,236.90M,238.30M,0.48
2019-03,3.624B,3.624B,2.073B,1.551B,889.00M,105.00M,86.00M,32.00M,3.00M,31.00M,6.00M,-25.00M,,1.112B,439.00M,6.00M,31.00M,-25.00M,5.00M,-25.00M,419.00M,102.00M,317.00M,,,-5.00M,312.00M,309.73M,568.00M,118.00M,450.00M,1.32,,,1.31,1.32,1.31,,,1.3,1.31,236.70M,238.00M,0.48
2018-12,3.645B,3.645B,2.188B,1.457B,855.00M,105.00M,87.00M,40.00M,38.00M,30.00M,5.00M,-25.00M,,1.077B,380.00M,5.00M,30.00M,-25.00M,-13.00M,-25.00M,342.00M,83.00M,259.00M,2.00M,,-3.00M,258.00M,227.22M,499.00M,127.00M,372.00M,1.07,0.01,,0.9492,1.08,1.07,0.01,,0.9499,1.08,238.20M,239.70M,0.48
2018-09,3.817B,3.817B,2.253B,1.564B,867.00M,110.00M,89.00M,33.00M,12.00M,31.00M,6.00M,-25.00M,,1.099B,465.00M,6.00M,31.00M,-25.00M,11.00M,-25.00M,451.00M,79.00M,372.00M,10.00M,,-4.00M,378.00M,358.10M,604.00M,122.00M,482.00M,1.52,0.04,,1.479,1.56,1.51,0.04,,1.469,1.55,242.20M,243.60M,0.48
2018-06,4.131B,4.131B,2.379B,1.752B,945.00M,114.00M,91.00M,34.00M,-83.00M,31.00M,7.00M,-24.00M,,1.184B,568.00M,7.00M,31.00M,-24.00M,-65.00M,-24.00M,479.00M,104.00M,375.00M,0.00,,-4.00M,371.00M,435.99M,635.00M,125.00M,510.00M,1.51,0.0,,1.775,1.51,1.51,0.0,,1.774,1.51,244.90M,246.40M,0.45
