,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,-211.00M,50.00M,52.00M,402.00M,,,,399.00M,-38.00M,8.00M,,38.00M,-13.00M,37.00M,,,70.00M,-88.00M,64.00M,-58.00M,25.00M,194.00M,804.00M,,-657.00M,47.00M,41.00M,,,,-790.00M,,-1.111B,,-1.111B,,-71.00M,-71.00M,,,-32.00M,-32.00M,,-38.00M,-1.213B,,2.684B,-1.199B,-15.00M,1.47B,,,,,-1.111B,-71.00M,1.00M,76.00M,,AOR,Restated
2017-12,-681.00M,138.00M,220.00M,339.00M,,,,-131.00M,55.00M,139.00M,,12.00M,-35.00M,-111.00M,,,75.00M,2.00M,-32.00M,-45.00M,-111.00M,1.138B,725.00M,,-321.00M,38.00M,33.00M,,,,-774.00M,,0.00,,0.00,,0.00,0.00,,,-32.00M,-32.00M,,11.00M,-115.00M,,2.854B,-164.00M,-6.00M,2.684B,,,,,0.00,0.00,78.00M,194.00M,,AOR,Restated
2017-09,194.00M,-74.00M,168.00M,-76.00M,,,,370.00M,-25.00M,16.00M,,33.00M,1.00M,-102.00M,,,-1.00M,26.00M,69.00M,-4.00M,-12.00M,200.00M,701.00M,,-473.00M,280.00M,274.00M,,,,-384.00M,,0.00,,0.00,,0.00,0.00,,,-30.00M,-30.00M,,-1.00M,156.00M,,2.369B,473.00M,12.00M,2.854B,,,,,0.00,0.00,,51.00M,,AOR,Restated
2017-06,203.00M,-64.00M,-115.00M,-206.00M,,,,241.00M,-20.00M,15.00M,,26.00M,-51.00M,26.00M,,,42.00M,8.00M,37.00M,-16.00M,97.00M,328.00M,737.00M,,-191.00M,75.00M,62.00M,,-190.00M,3.00M,-587.00M,,-226.00M,,-226.00M,-55.00M,0.00,-55.00M,,,-33.00M,-33.00M,,317.00M,92.00M,,2.119B,242.00M,8.00M,2.369B,,,-55.00M,-813.00M,587.00M,0.00,-3.00M,144.00M,,AOR,Restated
2017-03,317.00M,,-224.00M,-227.00M,,,,528.00M,-12.00M,49.00M,,55.00M,104.00M,48.00M,,,77.00M,-21.00M,-89.00M,21.00M,36.00M,,746.00M,,-673.00M,32.00M,12.00M,,190.00M,-3.00M,-454.00M,,226.00M,,226.00M,55.00M,,55.00M,,,-32.00M,-32.00M,,-373.00M,-124.00M,,1.959B,168.00M,-8.00M,2.119B,,,55.00M,813.00M,-587.00M,,3.00M,92.00M,,AOR,Restated
2016-12,3.45B,,-24.00M,-21.00M,,,,172.00M,343.00M,-4.301B,,40.00M,115.00M,-252.00M,,,-71.00M,84.00M,3.00M,35.00M,-201.00M,,263.00M,,1.067B,1.131B,1.923B,,,-7.00M,810.00M,,-1.615B,0.00,-1.615B,-835.00M,,-835.00M,,,-31.00M,-31.00M,,74.00M,-1.433B,,2.385B,-360.00M,-66.00M,1.959B,,,-835.00M,-1.662B,47.00M,,,167.00M,,AOR,Restated
2016-09,1.007B,,-43.00M,-1.394B,,,,394.00M,86.00M,319.00M,,23.00M,146.00M,87.00M,,,6.00M,98.00M,-54.00M,9.00M,146.00M,,727.00M,,-424.00M,1.68B,1.677B,,0.00,34.00M,1.29B,,-1.439B,0.00,-1.439B,59.00M,,59.00M,,,-32.00M,-32.00M,,66.00M,-1.346B,,1.723B,671.00M,-9.00M,2.385B,,,59.00M,816.00M,-2.255B,,,691.00M,,AOR,Restated
2016-06,-1.563B,,179.00M,179.00M,,,,484.00M,-179.00M,1.497B,,32.00M,56.00M,-154.00M,,,65.00M,-107.00M,53.00M,-18.00M,-161.00M,,345.00M,,-500.00M,191.00M,180.00M,,0.00,-26.00M,-335.00M,,160.00M,0.00,160.00M,49.00M,,49.00M,,,-33.00M,-33.00M,,-86.00M,90.00M,,1.635B,100.00M,-12.00M,1.723B,,,49.00M,450.00M,-290.00M,,0.00,-174.00M,,AOR,Restated
2016-03,-3.468B,,90.00M,90.00M,,,,542.00M,-207.00M,3.035B,,108.00M,-175.00M,261.00M,,,-222.00M,251.00M,-76.00M,26.00M,240.00M,,165.00M,,-2.376B,18.00M,-1.609B,,0.00,-1.00M,-2.359B,,137.00M,-626.00M,-489.00M,2.196B,,2.196B,,,-125.00M,-125.00M,,-89.00M,1.493B,,2.31B,-701.00M,26.00M,1.635B,,,2.196B,396.00M,-885.00M,,0.00,-115.00M,,AOR,Restated
2015-12,-3.354B,,643.00M,650.00M,,,,1.534B,-628.00M,2.168B,,,198.00M,99.00M,,,-293.00M,-21.00M,-143.00M,142.00M,-216.00M,,596.00M,,-1.135B,72.00M,-505.00M,,,-8.00M,-1.071B,,583.00M,625.00M,1.208B,12.00M,,12.00M,,,-100.00M,-100.00M,,-110.00M,1.01B,,1.787B,535.00M,-12.00M,2.31B,,,12.00M,1.444B,-236.00M,,0.00,154.00M,,AOR,Restated
2015-09,-3.909B,,249.00M,249.00M,,,,744.00M,-1.708B,5.851B,,,171.00M,371.00M,,,-138.00M,-30.00M,-136.00M,88.00M,155.00M,,1.553B,,-1.193B,27.00M,-86.00M,,,-3.00M,-1.169B,,25.00M,-169.00M,-144.00M,9.00M,,9.00M,,,-99.00M,-99.00M,,-66.00M,-300.00M,,1.725B,84.00M,-22.00M,1.787B,,,9.00M,277.00M,-421.00M,,,113.00M,,AOR,Restated
2015-06,-2.793B,,769.00M,769.00M,,,,814.00M,-1.593B,4.168B,,,41.00M,452.00M,,,-34.00M,-338.00M,-269.00M,-116.00M,-305.00M,,1.101B,,-1.445B,6.00M,-7.00M,,,-8.00M,-1.447B,,1.06B,-778.00M,282.00M,87.00M,,87.00M,,,-98.00M,-98.00M,,-61.00M,210.00M,,1.858B,-136.00M,3.00M,1.725B,,,87.00M,2.079B,-1.797B,,0.00,112.00M,,AOR,Restated
2015-03,-3.589B,,289.00M,289.00M,,,,930.00M,-2.047B,5.46B,,,225.00M,404.00M,,,-251.00M,332.00M,-270.00M,165.00M,380.00M,,1.648B,,-2.121B,2.00M,-402.00M,,,3.00M,-2.116B,,470.00M,15.00M,485.00M,571.00M,,571.00M,,,-99.00M,-99.00M,,-65.00M,892.00M,,1.48B,424.00M,-46.00M,1.858B,,,571.00M,972.00M,-487.00M,,,118.00M,,AOR,Restated
2014-12,-379.00M,,-1.722B,-1.722B,,,,910.00M,1.091B,1.953B,,,-23.00M,-314.00M,,,-902.00M,-102.00M,602.00M,-274.00M,-990.00M,,1.003B,,-2.182B,-82.00M,-289.00M,,0.00,2.00M,-2.262B,,-1.782B,933.00M,-849.00M,338.00M,,338.00M,,,-99.00M,-99.00M,-92.00M,47.00M,-655.00M,,3.408B,-1.914B,-14.00M,1.48B,,,338.00M,1.182B,-2.031B,,1.113B,869.00M,,AOR,Restated
2014-09,1.041B,,-760.00M,-760.00M,,,,842.00M,23.00M,0.00,,,128.00M,209.00M,,,414.00M,-90.00M,-237.00M,-11.00M,285.00M,,1.559B,,-1.703B,2.26B,2.229B,,0.00,3.00M,560.00M,,163.00M,-456.00M,-293.00M,52.00M,,52.00M,,,-98.00M,-98.00M,9.00M,-59.00M,-389.00M,,1.706B,1.73B,-28.00M,3.408B,,,52.00M,438.00M,-731.00M,,-101.00M,-590.00M,,AOR,Restated
2014-06,700.00M,,263.00M,-794.00M,,,,828.00M,569.00M,0.00,,,106.00M,190.00M,,,142.00M,28.00M,262.00M,18.00M,640.00M,,2.049B,,-2.047B,2.80B,2.511B,,0.00,47.00M,800.00M,,-2.039B,-1.119B,-3.158B,20.00M,,20.00M,,,-99.00M,-99.00M,72.00M,-29.00M,-3.194B,,2.027B,-345.00M,24.00M,1.706B,,,20.00M,117.00M,-3.275B,,-151.00M,98.00M,,AOR,Restated
2014-03,329.00M,,253.00M,238.00M,,,,739.00M,208.00M,0.00,,,123.00M,-424.00M,,,411.00M,-58.00M,-81.00M,-75.00M,-227.00M,,1.41B,,-7.518B,142.00M,-5.793B,,57.00M,37.00M,-7.282B,,1.769B,257.00M,2.026B,0.00,,0.00,,,-90.00M,-90.00M,11.00M,-103.00M,1.844B,,6.066B,-4.028B,-11.00M,2.027B,,,0.00,3.603B,-1.577B,,38.00M,137.00M,,AOR,Restated
2013-12,207.00M,,200.00M,198.00M,,,,711.00M,278.00M,16.00M,,,114.00M,28.00M,,,-129.00M,-52.00M,-41.00M,107.00M,-87.00M,,1.437B,,-1.539B,103.00M,-153.00M,,0.00,-86.00M,-1.522B,,2.233B,-295.00M,1.938B,,,,,,-89.00M,-89.00M,2.00M,-1.00M,1.85B,,4.32B,1.765B,-19.00M,6.066B,,,,2.233B,-295.00M,,13.00M,64.00M,,AOR,Restated
2013-09,429.00M,,166.00M,177.00M,,,,691.00M,260.00M,7.00M,,,19.00M,13.00M,,,52.00M,0.00,-41.00M,-6.00M,18.00M,,1.601B,,-1.65B,282.00M,282.00M,,869.00M,1.00M,-498.00M,,0.00,-82.00M,-82.00M,0.00,,0.00,,,-89.00M,-89.00M,0.00,0.00,-171.00M,,3.363B,932.00M,25.00M,4.32B,,,0.00,0.00,-82.00M,,0.00,134.00M,,AOR,Restated
2013-06,683.00M,,-373.00M,-373.00M,,,,674.00M,182.00M,40.00M,,,93.00M,-178.00M,,,52.00M,73.00M,83.00M,67.00M,97.00M,,1.396B,,-1.643B,5.00M,5.00M,,356.00M,85.00M,-1.197B,,0.00,-2.003B,-2.003B,0.00,,0.00,,,-89.00M,-89.00M,1.00M,2.00M,-2.089B,,5.275B,-1.89B,-22.00M,3.363B,,,0.00,-508.00M,-1.495B,,0.00,69.00M,,AOR,Restated
2013-03,-1.339B,,419.00M,419.00M,,,,704.00M,-623.00M,1.913B,,,83.00M,-122.00M,,,86.00M,-1.00M,-121.00M,3.00M,-155.00M,,1.002B,,-1.926B,29.00M,29.00M,0.00,1.118B,-3.00M,-782.00M,,0.00,508.00M,508.00M,,,,,,-81.00M,-81.00M,0.00,3.00M,430.00M,,4.637B,650.00M,-12.00M,5.275B,,,,508.00M,0.00,,0.00,139.00M,,AOR,Restated
2012-12,-357.00M,,,,,,,731.00M,-188.00M,896.00M,-173.00M,,117.00M,-190.00M,,,-32.00M,161.00M,-37.00M,23.00M,-75.00M,0.00,1.143B,,-1.997B,71.00M,71.00M,,-179.00M,-4.00M,-2.11B,,-7.00M,361.00M,354.00M,,,,,,-82.00M,-82.00M,2.00M,0.00,274.00M,,5.338B,-693.00M,-8.00M,4.637B,,,,-7.00M,361.00M,,100.00M,334.00M,,AOR,Restated
2012-09,-719.00M,,,,,,,716.00M,-401.00M,1.128B,535.00M,,22.00M,-109.00M,,,169.00M,-43.00M,17.00M,46.00M,80.00M,0.00,1.361B,,-1.961B,533.00M,533.00M,,-1.22B,4.00M,-2.644B,,0.00,600.00M,600.00M,,,,,,-80.00M,-80.00M,3.00M,4.00M,527.00M,,6.101B,-756.00M,-7.00M,5.338B,,,,0.00,600.00M,,-88.00M,-169.00M,,AOR,Restated
2012-06,477.00M,,,,,,,684.00M,226.00M,0.00,-384.00M,,60.00M,104.00M,,,285.00M,-138.00M,84.00M,28.00M,363.00M,0.00,1.426B,,-2.179B,864.00M,864.00M,,338.00M,15.00M,-962.00M,,1.715B,-1.855B,-140.00M,,,,,,-82.00M,-82.00M,2.00M,0.00,-220.00M,,5.828B,244.00M,29.00M,6.101B,,,,2.108B,-2.248B,,55.00M,33.00M,,AOR,Restated
2012-03,414.00M,,,,,,,680.00M,179.00M,0.00,22.00M,,54.00M,280.00M,,,-411.00M,-53.00M,-137.00M,-28.00M,-349.00M,26.00M,1.026B,,-2.088B,0.00,0.00,,221.00M,-1.00M,-1.81B,,750.00M,357.00M,1.107B,,,,,,-80.00M,-80.00M,20.00M,1.00M,1.048B,,5.555B,264.00M,9.00M,5.828B,,,,1.107B,,,33.00M,136.00M,,AOR,Restated
2011-12,521.00M,,,,,,,626.00M,115.00M,0.00,661.00M,,56.00M,-67.00M,,,29.00M,274.00M,252.00M,-47.00M,441.00M,-9.00M,2.01B,,-2.019B,116.00M,116.00M,,-272.00M,-6.00M,-2.197B,,0.00,530.00M,530.00M,,-345.00M,-345.00M,,,-69.00M,-69.00M,0.00,2.00M,118.00M,,5.618B,-69.00M,6.00M,5.555B,,,,3.726B,0.00,-345.00M,-113.00M,27.00M,,AOR,Restated
2011-09,1.04B,,,,,,,566.00M,746.00M,0.00,-587.00M,,103.00M,-18.00M,,,40.00M,-108.00M,-133.00M,-252.00M,-471.00M,7.00M,1.404B,,-1.795B,8.00M,8.00M,,2.136B,9.00M,350.00M,,461.00M,856.00M,1.317B,,-697.00M,-697.00M,,,-69.00M,-69.00M,5.00M,-1.00M,555.00M,,3.351B,2.309B,-42.00M,5.618B,,,,2.221B,-1.76B,-697.00M,113.00M,298.00M,,AOR,Restated
2011-06,184.00M,,,,,,,550.00M,1.158B,,-327.00M,,46.00M,-40.00M,,,-16.00M,69.00M,69.00M,-129.00M,-47.00M,-14.00M,1.55B,,-1.893B,5.00M,5.00M,,-1.731B,-28.00M,-425.00M,,-1.197B,2.34B,1.143B,,-584.00M,-584.00M,,,-72.00M,-72.00M,8.00M,3.00M,498.00M,,1.716B,1.623B,12.00M,3.351B,,,,-1.197B,0.00,-584.00M,-9.00M,-137.00M,,AOR,Restated
2011-03,389.00M,,,,,,,506.00M,280.00M,,253.00M,,36.00M,-60.00M,,,155.00M,-110.00M,-156.00M,-27.00M,-198.00M,-6.00M,1.26B,,-1.827B,,,,-1.491B,-4.00M,-3.374B,,1.197B,,1.197B,,-706.00M,-706.00M,,,-68.00M,-68.00M,88.00M,9.00M,520.00M,,3.29B,-1.594B,20.00M,1.716B,,,,1.197B,,-706.00M,9.00M,137.00M,,AOR,Restated
2010-12,478.00M,,,,,,,489.00M,370.00M,,243.00M,,61.00M,-162.00M,,,7.00M,10.00M,-292.00M,-94.00M,-531.00M,132.00M,1.242B,,-1.683B,179.00M,179.00M,,-165.00M,15.00M,-1.755B,,1.432B,,0.00,,-239.00M,-239.00M,,,-70.00M,-70.00M,93.00M,9.00M,-207.00M,,3.998B,-720.00M,12.00M,3.29B,,,,0.00,0.00,-239.00M,210.00M,21.00M,,AOR,Restated
2010-09,429.00M,,,,,,,463.00M,580.00M,,95.00M,,73.00M,186.00M,,,120.00M,-33.00M,-690.00M,70.00M,-347.00M,51.00M,1.344B,,-1.572B,2.00M,2.00M,,2.00M,-13.00M,288.00M,,0.00,,0.00,,-499.00M,-499.00M,,,-69.00M,-69.00M,3.00M,1.00M,-564.00M,,2.916B,1.068B,14.00M,3.998B,,,,0.00,0.00,-499.00M,439.00M,136.00M,,AOR,Restated
2010-06,352.00M,,,,,,,489.00M,-446.00M,,292.00M,,25.00M,77.00M,,,-71.00M,46.00M,479.00M,35.00M,566.00M,119.00M,1.397B,,-1.974B,2.872B,2.872B,,10.00M,,1.444B,,-590.00M,,-590.00M,,-430.00M,-430.00M,,,-70.00M,-70.00M,7.00M,3.00M,-1.08B,,1.182B,1.761B,-27.00M,2.916B,,,,,-1.782B,-430.00M,256.00M,65.00M,,AOR,Restated
2010-03,1.074B,,,,,,,489.00M,215.00M,,-523.00M,,56.00M,-78.00M,,,29.00M,-2.00M,101.00M,-20.00M,30.00M,154.00M,1.495B,,-1.247B,1.257B,1.257B,,8.00M,,-89.00M,,-1.192B,,-1.192B,,0.00,0.00,,,-72.00M,-72.00M,8.00M,3.00M,-1.253B,,1.011B,153.00M,18.00M,1.182B,,,,,,0.00,50.00M,137.00M,,AOR,Restated
2009-12,557.00M,,,,,,,486.00M,203.00M,,-129.00M,,-6.302B,-143.00M,,,35.00M,41.00M,135.00M,6.00M,74.00M,148.00M,1.445B,,-1.072B,11.00M,11.00M,,1.00M,,-1.20B,,-177.00M,63.00M,-114.00M,,0.00,0.00,,,-71.00M,-71.00M,23.00M,2.00M,-160.00M,,912.00M,85.00M,14.00M,1.011B,,,,0.00,-177.00M,0.00,68.00M,314.00M,,AOR,Restated
2009-09,382.00M,,,,,,,488.00M,4.00M,,113.00M,,57.00M,109.00M,,,11.00M,-2.00M,-89.00M,-61.00M,-32.00M,203.00M,1.215B,,-862.00M,21.00M,21.00M,,2.00M,,-961.00M,,0.00,363.00M,363.00M,,,,,,-71.00M,-71.00M,10.00M,-324.00M,-22.00M,,656.00M,232.00M,24.00M,912.00M,,,,0.00,0.00,,-139.00M,-138.00M,,AOR,Restated
2009-06,190.00M,,,36.00M,,,,504.00M,51.00M,,71.00M,,91.00M,-25.00M,,,-155.00M,-21.00M,10.00M,161.00M,-30.00M,117.00M,1.03B,,-1.019B,1.00M,1.00M,,2.00M,,-1.163B,,0.00,111.00M,111.00M,,0.00,0.00,,,-72.00M,-72.00M,5.00M,328.00M,372.00M,,401.00M,239.00M,16.00M,656.00M,,,,0.00,111.00M,0.00,139.00M,138.00M,,AOR,Restated
2009-03,-3.882B,,,-36.00M,,,,630.00M,-2.272B,,,,6.442B,201.00M,,,-30.00M,194.00M,-122.00M,-115.00M,128.00M,37.00M,1.047B,,-1.926B,1.00M,1.00M,,2.00M,,-2.03B,,1.186B,-111.00M,1.075B,,,,,,-70.00M,-70.00M,4.00M,2.00M,1.011B,,384.00M,28.00M,-11.00M,401.00M,,,,1.187B,-112.00M,,,,,AOR,Restated
2008-12,-6.793B,,,,,,,737.00M,-2.953B,,140.00M,,9.836B,155.00M,,,-607.00M,21.00M,-115.00M,-33.00M,-579.00M,839.00M,1.227B,,-2.659B,1.00M,1.00M,,283.00M,,-2.911B,,0.00,1.005B,1.005B,,0.00,0.00,0.00,0.00,216.00M,-73.00M,7.00M,2.00M,941.00M,,1.196B,-743.00M,-69.00M,384.00M,,,,1.00M,0.00,0.00,,,,,Restated
2008-09,2.509B,,,,,,,848.00M,1.00B,,-1.832B,,95.00M,636.00M,,,0.00,-23.00M,-142.00M,-111.00M,360.00M,15.00M,2.995B,,-2.314B,8.00M,8.00M,,2.00M,,-2.157B,,-984.00M,0.00,-984.00M,,-413.00M,-413.00M,0.00,0.00,-70.00M,-70.00M,5.00M,3.00M,-1.459B,,1.845B,-621.00M,-28.00M,1.196B,,,,121.00M,-1.105B,-413.00M,,,,,Restated
2008-06,496.00M,,,,,,-794.00M,824.00M,253.00M,,1.692B,,-819.00M,-276.00M,,,311.00M,-5.00M,215.00M,134.00M,379.00M,106.00M,2.931B,,-2.008B,3.00M,1.865B,,25.00M,,-220.00M,,-1.497B,-1.004B,-2.372B,-74.00M,-188.00M,-262.00M,-150.00M,-150.00M,-146.00M,-73.00M,104.00M,28.00M,-2.725B,,1.883B,-125.00M,0.00,1.845B,,-111.00M,-74.00M,1.62B,-3.117B,-338.00M,,,,,Restated
2008-03,749.00M,,,,,,794.00M,794.00M,138.00M,,,,941.00M,-328.00M,,,157.00M,-39.00M,-167.00M,10.00M,-367.00M,,2.255B,,-1.862B,105.00M,-1.757B,,220.00M,,-1.585B,,,,-129.00M,74.00M,-64.00M,10.00M,,,,-73.00M,,27.00M,-165.00M,,1.373B,616.00M,-19.00M,1.883B,,111.00M,74.00M,,,-64.00M,,,,,
2007-12,1.316B,,,0.00,,,775.00M,775.00M,126.00M,,,,-41.00M,-317.00M,,,-68.00M,27.00M,-236.00M,-40.00M,-634.00M,,1.542B,,-1.681B,37.00M,-1.644B,,-31.00M,,-1.037B,,,,-26.00M,20.00M,-193.00M,-173.00M,,,,-66.00M,,24.00M,-241.00M,,1.421B,-396.00M,7.00M,1.373B,,-660.00M,20.00M,,,-193.00M,,,,,
2007-09,735.00M,,,0.00,,,756.00M,756.00M,221.00M,,,,112.00M,-44.00M,,,64.00M,-38.00M,-21.00M,-25.00M,-64.00M,,1.76B,,-1.487B,2.00M,-1.485B,,-26.00M,,-1.587B,,,,288.00M,11.00M,-123.00M,-112.00M,,,,-64.00M,,3.00M,115.00M,,1.067B,656.00M,28.00M,1.421B,,368.00M,11.00M,,,-123.00M,,,,,
2007-06,904.00M,,,-1.00M,,,694.00M,694.00M,156.00M,,,,20.00M,61.00M,,,27.00M,-17.00M,-7.00M,-5.00M,59.00M,,1.832B,,-1.506B,12.00M,-1.494B,,-40.00M,,-1.658B,,,,165.00M,37.00M,-10.00M,27.00M,,,,-65.00M,,12.00M,139.00M,,678.00M,375.00M,14.00M,1.067B,,62.00M,37.00M,,,-10.00M,,,,,
